reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes,reaction_setup_json
synthesis_of_alkylboronic_esters_from_alkyl_iodide,Alkyl_Iodide_Borylation,,50,56,CCCCCCCCI.CC1(C)OB(B2OC(C)(C(C)(O2)C)C)OC1(C)C>>CCCCCCCCB3OC(C)(C(C)(O3)C)C,"Synthesis of Alkylboronic Esters from Alkyl Iodides. Organic Syntheses, Vol. 99, pp. 15-28 (2022). DOI: 10.15227/orgsyn.099.0015. URL: https://www.orgsyn.org/demo.aspx?prep=v99p0015","628-17-1, 73183-34-3",,"1907-33-1, 7732-18-5",,67-56-1,,,,,,,1,2,,,,,,,,General LiOtBu/MeOH borylation of primary alkyl iodide with B2pin2 to give R闂備胶鍋ㄩ崕鎻掝嚕?pin).,"[{""chemicals"":[{""name"":""1-Iodooctane"",""abbreviation"":null,""cas"":""628-17-1"",""smiles"":""CCCCCCCCI"",""amount"":{""weight_g"":50.0,""mmol"":208.0,""volume_ml"":37.8,""equivalents"":1.0},""role"":""starting_material""},{""name"":""Bis(pinacolato)diboron"",""abbreviation"":""B2pin2"",""cas"":""73183-34-3"",""smiles"":""B(B1OC(C)(C)C(C)(C)O1)B2OC(C)(C)C(C)(C)O2"",""amount"":{""weight_g"":211.0,""mmol"":833.0,""volume_ml"":null,""equivalents"":4.0},""role"":""starting_material""},{""name"":""Lithium tert-butoxide"",""abbreviation"":""t-BuOLi"",""cas"":""1907-33-1"",""smiles"":""[Li+].[O-]C(C)(C)C"",""amount"":{""weight_g"":33.3,""mmol"":416.0,""volume_ml"":null,""equivalents"":2.0},""role"":""base""},{""name"":""Methanol"",""abbreviation"":""MeOH"",""cas"":""67-56-1"",""smiles"":""CO"",""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":420.0,""equivalents"":null},""role"":""solvent""},{""name"":""Water"",""abbreviation"":""H2O"",""cas"":""7732-18-5"",""smiles"":""O"",""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":4.2,""equivalents"":null},""role"":""additive""}],""conditions"":[{""temperature_C"":25.0,""time_h"":0.017,""atmosphere"":""air (pre-stir before base)""},{""temperature_C"":50.0,""time_h"":56.0,""atmosphere"":""N2 (vacuum/refill cycles, reflux condenser)""}]}]"
arylation_of_cyclopentanones_by_palladium_enamin,Pd/Enamine_婵?Arylation_C(sp3)-C(sp2),,130,24,O=C1CCCC1.Brc2ccc(C(C)=O)cc2>>O=C(C)c3ccc(C4C(CCC4)=O)cc3,"婵?Arylation of Cyclopentanones by Palladium/Enamine Cooperative Catalysis. Organic Syntheses, Vol. 100, pp. 99-112 (2023). DOI: 10.15227/orgsyn.100.0099. URL: https://www.orgsyn.org/demo.aspx?prep=v100p0099","120-92-3, 99-90-1",,127-09-3,"3375-31-3, 6163-58-2, 123-75-1, 107-45-9",123-91-1,,,,,,,1,3,,,,,,,,"Step A only (first step): 婵?arylation of cyclopentanone with p-bromoacetophenone under Pd/enamine cooperative catalysis in 1,4-dioxane.","[{""chemicals"":[{""name"":""Cyclopentanone"",""abbreviation"":null,""cas"":""120-92-3"",""smiles"":""O=C1CCCC1"",""amount"":{""weight_g"":1.68,""mmol"":20.0,""volume_ml"":null,""equivalents"":1.0},""role"":""starting_material""},{""name"":""4'-Bromoacetophenone"",""abbreviation"":null,""cas"":""99-90-1"",""smiles"":""CC(=O)c1ccc(Br)cc1"",""amount"":{""weight_g"":5.18,""mmol"":26.0,""volume_ml"":null,""equivalents"":1.3},""role"":""starting_material""},{""name"":""Palladium(II) acetate"",""abbreviation"":""Pd(OAc)2"",""cas"":""3375-31-3"",""smiles"":null,""amount"":{""weight_g"":0.045,""mmol"":0.2,""volume_ml"":null,""equivalents"":0.01},""role"":""metal_catalyst""},{""name"":""Tri(o-tolyl)phosphine"",""abbreviation"":""P(o-tol)3"",""cas"":""6163-58-2"",""smiles"":""CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C"",""amount"":{""weight_g"":0.122,""mmol"":0.4,""volume_ml"":null,""equivalents"":0.02},""role"":""ligand""},{""name"":""Sodium acetate (anhydrous)"",""abbreviation"":""NaOAc"",""cas"":""127-09-3"",""smiles"":""CC(=O)[O-].[Na+]"",""amount"":{""weight_g"":1.64,""mmol"":20.0,""volume_ml"":null,""equivalents"":1.0},""role"":""base""},{""name"":""Pyrrolidine"",""abbreviation"":null,""cas"":""123-75-1"",""smiles"":""C1CCNC1"",""amount"":{""weight_g"":null,""mmol"":6.0,""volume_ml"":0.5,""equivalents"":0.3},""role"":""co_catalyst""},{""name"":""1,1,3,3-Tetramethylbutylamine (tert-octylamine)"",""abbreviation"":null,""cas"":""107-45-9"",""smiles"":""CC(C)(C)CC(C)(C)N"",""amount"":{""weight_g"":null,""mmol"":6.0,""volume_ml"":0.96,""equivalents"":0.3},""role"":""co_catalyst""},{""name"":""1,4-Dioxane"",""abbreviation"":null,""cas"":""123-91-1"",""smiles"":""O1CCOCC1"",""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":100.0,""equivalents"":null},""role"":""solvent""}],""conditions"":[{""temperature_C"":25,""time_h"":0.008,""atmosphere"":""Ar blow 7000 mL/min for 30 s""},{""temperature_C"":25,""time_h"":0.333,""atmosphere"":""Ar bubble 260 mL/min for 20 min""},{""temperature_C"":130,""time_h"":24.0,""atmosphere"":""Ar; sealed heavy-walled pressure vessel; oil bath""}]}]"
palladium_catalyzed_buchwald_hartwig_amination_and,Suzuki_Miyaura_Cross_Coupling_OMs,,120,24,CC(C)(C)c1ccc(OS(=O)(=O)C)cc1.B(O)(O)c2ccccc2>>CC(C)(C)c1ccc(-c2ccccc2)cc1,"Palladium-catalyzed Buchwald闂備胶鍋ㄩ崕鎻掝嚕缁櫢twig Amination and Suzuki闂備胶鍋ㄩ崕鑼躲亹閸ф檴aura Cross-coupling Reaction of Aryl Mesylates. Organic Syntheses, Vol. 92, pp. 195-212 (2015). DOI: 10.15227/orgsyn.092.0195. URL: https://www.orgsyn.org/demo.aspx?prep=v92p0195",98-80-6,,"121-44-8, 7778-53-2",3375-31-3,"75-09-2, 75-65-0",,,,,,,1,3,,,,,,,,Step C only (Suzuki of aryl mesylate with phenylboronic acid). Pd(OAc)2/CM-phos with K3PO4 in tert-butanol; pre-activation in CH2Cl2/Et3N then solvent removal; N2 atmosphere; 120 闂佺娅ｉ悡? 24 h.,"[{""chemicals"":[{""name"":""Palladium(II) acetate"",""abbreviation"":""Pd(OAc)2"",""cas"":""3375-31-3"",""smiles"":""CC(=O)[O-].[O-]C(=O)C.[Pd+2]"",""amount"":{""weight_g"":0.0393,""mmol"":0.175,""volume_ml"":null,""equivalents"":0.01},""role"":""metal_catalyst""},{""name"":""CM-phos"",""abbreviation"":null,""cas"":null,""smiles"":null,""amount"":{""weight_g"":0.282,""mmol"":0.7,""volume_ml"":null,""equivalents"":0.04},""role"":""ligand""},{""name"":""Dichloromethane"",""abbreviation"":""CH2Cl2"",""cas"":""75-09-2"",""smiles"":""ClCCl"",""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":18.0,""equivalents"":null},""role"":""solvent""},{""name"":""Triethylamine"",""abbreviation"":""Et3N"",""cas"":""121-44-8"",""smiles"":""CCN(CC)CC"",""amount"":{""weight_g"":1.31,""mmol"":12.9,""volume_ml"":1.8,""equivalents"":0.74},""role"":""base""},{""name"":""Potassium phosphate (tribasic)"",""abbreviation"":""K3PO4"",""cas"":""7778-53-2"",""smiles"":null,""amount"":{""weight_g"":11.1,""mmol"":52.5,""volume_ml"":null,""equivalents"":3.0},""role"":""base""},{""name"":""Phenylboronic acid"",""abbreviation"":null,""cas"":""98-80-6"",""smiles"":""B(O)(O)c1ccccc1"",""amount"":{""weight_g"":4.27,""mmol"":35.0,""volume_ml"":null,""equivalents"":2.0},""role"":""starting_material""},{""name"":""4-(tert-Butyl)phenyl methanesulfonate"",""abbreviation"":null,""cas"":null,""smiles"":""CC(C)(C)c1ccc(OS(=O)(=O)C)cc1"",""amount"":{""weight_g"":3.99,""mmol"":17.5,""volume_ml"":null,""equivalents"":1.0},""role"":""starting_material""},{""name"":""tert-Butyl alcohol"",""abbreviation"":""tBuOH"",""cas"":""75-65-0"",""smiles"":""CC(C)(C)O"",""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":88.0,""equivalents"":null},""role"":""solvent""}],""conditions"":[{""temperature_C"":50.0,""time_h"":0.083,""atmosphere"":""N2; pre-activation in CH2Cl2/Et3N (sealed flask)""},{""temperature_C"":25.0,""time_h"":0.167,""atmosphere"":""N2; after adding tBuOH, pre-stir 10 min at rt""},{""temperature_C"":120.0,""time_h"":24.0,""atmosphere"":""N2; oil bath; sealed Schlenk flask""}]}]"
preparation_of_1h_indazole_3_carbonitrile,Aryl_Iodide_Cyanation,,95,14,IC1=NNC2=C1C=CC=C2>>N#CC3=NNC4=CC=CC=C43,"Preparation of 1H-Indazole-3-carbonitrile. Organic Syntheses, Vol. 97, pp. 314-326 (2020). DOI: 10.15227/orgsyn.097.0314. URL: https://orgsyn.org/demo.aspx?prep=v97p0314","66607-27-0, 14459-95-1",,7732-18-5,"12012-95-2, 161265-03-8",127-19-5,,,,,,,1,3,,,,,,,,Pd闂備胶鍋ㄩ崕鑼躲亹閻掑tphos-catalyzed cyanation of 3-iodo-1H-indazole using K4[Fe(CN)6]闁?H2O in DMAc/H2O under argon to give 1H-indazole-3-carbonitrile.,"[{""chemicals"":[{""name"":""3-Iodo-1H-indazole"",""abbreviation"":null,""cas"":""66607-27-0"",""smiles"":""C1=CC2=C(NN=C2C=C1)I"",""amount"":{""weight_g"":20.0,""mmol"":82.0,""volume_ml"":null,""equivalents"":1.0},""role"":""starting_material""},{""name"":""Dimethylacetamide"",""abbreviation"":""DMAc"",""cas"":""127-19-5"",""smiles"":""CC(=O)N(C)C"",""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":160.0,""equivalents"":null},""role"":""solvent""},{""name"":""Potassium ferrocyanide trihydrate"",""abbreviation"":""K4[Fe(CN)6]\u00b73H2O"",""cas"":""14459-95-1"",""smiles"":null,""amount"":{""weight_g"":17.3,""mmol"":41.0,""volume_ml"":null,""equivalents"":0.5},""role"":""starting_material""},{""name"":""Water"",""abbreviation"":""H2O"",""cas"":""7732-18-5"",""smiles"":""O"",""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":120.0,""equivalents"":null},""role"":""additive""},{""name"":""Allylpalladium(II) chloride dimer"",""abbreviation"":""[PdCl(C3H5)]2"",""cas"":""12012-95-2"",""smiles"":""Cl[Pd]CC=C.Cl[Pd]CC=C"",""amount"":{""weight_g"":0.15,""mmol"":0.41,""volume_ml"":null,""equivalents"":0.005},""role"":""metal_catalyst""},{""name"":""Xantphos"",""abbreviation"":null,""cas"":""161265-03-8"",""smiles"":""O6c1c(cccc1P(c2ccccc2)c3ccccc3)C(c7cccc(P(c4ccccc4)c5ccccc5)c67)(C)C"",""amount"":{""weight_g"":0.474,""mmol"":0.82,""volume_ml"":null,""equivalents"":0.01},""role"":""ligand""}],""conditions"":[{""temperature_C"":27.0,""time_h"":1.0,""atmosphere"":""argon (bubbled 150 mL/min)""},{""temperature_C"":60.0,""time_h"":1.0,""atmosphere"":""argon (bubbled 150 mL/min)""},{""temperature_C"":95.0,""time_h"":14.0,""atmosphere"":""argon (flow 300 mL/min)""}]}]"
copper_catalyzed_cyanation_of_alkenyl_iodides,Cyanation_Cu_Alkenyl_Iodide,,110,48,IC=CCCCCCC.CC(C)(O)C#N>>N#CC=CCCCCCC,"Copper-catalyzed Cyanation of Alkenyl Iodides. Organic Syntheses, Vol. 93, pp. 163-177 (2016). DOI: 10.15227/orgsyn.093.0163. URL: https://www.orgsyn.org/demo.aspx?prep=v93p0163",75-86-5,,102-82-9,"7681-65-4, 66-71-7",68-12-2,,,,,,,1,3,,,,,,,,,
ring_closing_metathesis_synthesis_of_n_boc_3_pyrro,Olefin_Metathesis_RCM,,25,16,CC(C)(C)OC(=O)N(CC=C)CC=C>>CC(C)(C)OC(=O)N1CCC=C1,"RING-CLOSING METATHESIS SYNTHESIS OF N-Boc-3-PYRROLINE. Organic Syntheses, Vol. 80, pp. 85 (2003). DOI: 10.15227/orgsyn.080.0085. URL: https://www.orgsyn.org/demo.aspx?prep=v80p0085",151259-38-0,,"2767-80-8, 121-44-8",172222-30-9,"75-09-2, 67-56-1",,,,,,,1,3,,,,,,,,Reaction SMILES are approximate; used to reflect diallylamine闂?-pyrroline RCM transformation.,"[{""chemicals"":[{""name"":""Bis(tricyclohexylphosphine)benzylidene ruthenium dichloride (Grubbs 1st generation)"",""abbreviation"":""Grubbs I"",""cas"":""172222-30-9"",""smiles"":null,""amount"":{""weight_g"":0.732,""mmol"":0.89,""volume_ml"":null,""equivalents"":0.005},""role"":""metal_catalyst""},{""name"":""Dichloromethane"",""abbreviation"":""DCM"",""cas"":""75-09-2"",""smiles"":""ClCCl"",""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":445,""equivalents"":null},""role"":""solvent""},{""name"":""N-Boc-diallylamine"",""abbreviation"":null,""cas"":""151259-38-0"",""smiles"":""CC(C)(C)OC(=O)N(CC=C)CC=C"",""amount"":{""weight_g"":null,""mmol"":178,""volume_ml"":38.3,""equivalents"":1.0},""role"":""starting_material""},{""name"":""Tris(hydroxymethyl)phosphine (aqueous methanolic solution, prepared per Note 5)"",""abbreviation"":""THP"",""cas"":""2767-80-8"",""smiles"":""C(O)P(CO)CO"",""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":108,""equivalents"":null},""role"":""additive""},{""name"":""Triethylamine"",""abbreviation"":""TEA"",""cas"":""121-44-8"",""smiles"":""CCN(CC)CC"",""amount"":{""weight_g"":null,""mmol"":1.78,""volume_ml"":0.247,""equivalents"":0.01},""role"":""base""},{""name"":""Methanol (rinse for transfer of THP solution)"",""abbreviation"":null,""cas"":""67-56-1"",""smiles"":""CO"",""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":5.0,""equivalents"":null},""role"":""solvent""}],""conditions"":[{""temperature_C"":25,""time_h"":0.25,""atmosphere"":""N2""},{""temperature_C"":40,""time_h"":2.5,""atmosphere"":""N2""},{""temperature_C"":25,""time_h"":16,""atmosphere"":""N2""}]}]"
synthesis_of_aryl_ketones_via_the_nickel_catalyz,Hydroacylation_Ni_aryl_alkene+acyl_fluoride,,22,0.33,CC(=O)Oc1ccc(C=C)cc1.O=C(F)c2ccccc2>>CC(=O)Oc1ccc(C(C)C(=O)c2ccccc2)cc1,"Synthesis of 婵?Aryl Ketones via the Nickel-Catalyzed Hydroacylation of Aryl Alkenes with Aroyl Fluorides. Organic Syntheses, Vol. 102, pp. 367-380 (2025). DOI: 10.15227/orgsyn.102.0367. URL: https://www.orgsyn.org/demo.aspx?prep=v102p0367","2623-07-8, 455-61-0",,"7778-53-2, 998-30-1",,68-12-2,,,,,,,1,2,,,,,,,,"NiCl2(dme) (15 mol%), K3PO4 (3.0 equiv), triethoxysilane (1.1 equiv) in DMF (37.5 mL), 21闂?2 闂佺娅ｉ悡? N2, 24 h; quenched with sat. NaHCO3 then extracted; purified by flash chromatography; 62% yield (two runs).","[{""chemicals"":[{""name"":""4-Acetoxystyrene"",""abbreviation"":null,""cas"":""2623-07-8"",""smiles"":""CC(=O)Oc1ccc(C=C)cc1"",""amount"":{""weight_g"":null,""mmol"":15.0,""volume_ml"":2.3,""equivalents"":1.0},""role"":""starting_material""},{""name"":""Benzoyl fluoride"",""abbreviation"":null,""cas"":""455-61-0"",""smiles"":""O=C(F)c1ccccc1"",""amount"":{""weight_g"":null,""mmol"":22.5,""volume_ml"":2.4,""equivalents"":1.5},""role"":""starting_material""},{""name"":""Nickel(II) chloride ethylene glycol dimethyl ether complex (NiCl2\u00b7dme)"",""abbreviation"":""NiCl2(dme)"",""cas"":null,""smiles"":null,""amount"":{""weight_g"":0.494,""mmol"":2.25,""volume_ml"":null,""equivalents"":0.15},""role"":""metal_catalyst""},{""name"":""Potassium phosphate tribasic"",""abbreviation"":""K3PO4"",""cas"":""7778-53-2"",""smiles"":null,""amount"":{""weight_g"":9.55,""mmol"":45.0,""volume_ml"":null,""equivalents"":3.0},""role"":""base""},{""name"":""Triethoxysilane"",""abbreviation"":""HSi(OEt)3"",""cas"":""998-30-1"",""smiles"":null,""amount"":{""weight_g"":null,""mmol"":16.5,""volume_ml"":3.0,""equivalents"":1.1},""role"":""reagent""},{""name"":""N,N-Dimethylformamide (anhydrous)"",""abbreviation"":""DMF"",""cas"":""68-12-2"",""smiles"":""CN(C=O)C"",""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":37.5,""equivalents"":null},""role"":""solvent""}],""conditions"":[{""temperature_C"":22,""time_h"":24,""atmosphere"":""N2""},{""temperature_C"":22,""time_h"":0.33,""atmosphere"":""air""}]}]"
nickel_catalyzed_synthesis_of_ketones_from_alkyl_h,Ni_Cross_Electrophile_Acylation,,23,4.5,CCCCCCCCI.CCOC(=O)CC(=O)Cl>>CCOC(=O)CC(=O)CCCCCCCC,"Nickel-Catalyzed Synthesis of Ketones from Alkyl Halides and Acid Chlorides: Preparation of Ethyl 4闂備胶鍋ㄩ崕鏌ュ储缁犲潵dodecanoate. Organic Syntheses, Vol. 93, pp. 50-62 (2016). DOI: 10.15227/orgsyn.093.0050. URL: https://www.orgsyn.org/demo.aspx?prep=v93p0050","629-27-6, 14794-31-1",,7439-96-5,"29046-78-4, 72914-19-3",127-19-5,,,,,,,1,4,,,,,,,,NiCl2(dme)/dtbbpy with Mn powder in DMAc under N2 couples 1闂備胶鍋ㄩ崕鏌ュ触閺€鎭塷octane and ethyl succinyl chloride to give ethyl 4闂備胶鍋ㄩ崕鏌ュ船閻′狗dodecanoate; 0闂? 闂佺娅ｉ悡?then rt.,"[{""chemicals"":[{""name"":""Nickel(II) chloride dimethoxyethane complex"",""abbreviation"":""NiCl2(dme)"",""cas"":""29046-78-4"",""smiles"":null,""amount"":{""weight_g"":1.11,""mmol"":4.9,""volume_ml"":null,""equivalents"":0.05},""role"":""metal_catalyst""},{""name"":""4,4'-Di-tert-butyl-2,2'-bipyridine"",""abbreviation"":""dtbbpy"",""cas"":""72914-19-3"",""smiles"":null,""amount"":{""weight_g"":1.48,""mmol"":5.39,""volume_ml"":null,""equivalents"":0.055},""role"":""ligand""},{""name"":""Manganese powder"",""abbreviation"":null,""cas"":""7439-96-5"",""smiles"":""[Mn]"",""amount"":{""weight_g"":16.68,""mmol"":303.6,""volume_ml"":null,""equivalents"":3.1},""role"":""reagent""},{""name"":""N,N-Dimethylacetamide (anhydrous)"",""abbreviation"":""DMAc"",""cas"":""127-19-5"",""smiles"":""CC(=O)N(C)C"",""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":200.0,""equivalents"":null},""role"":""solvent""},{""name"":""1-Iodooctane"",""abbreviation"":null,""cas"":""629-27-6"",""smiles"":""CCCCCCCCI"",""amount"":{""weight_g"":24.0,""mmol"":98.0,""volume_ml"":null,""equivalents"":1.0},""role"":""starting_material""},{""name"":""Ethyl succinyl chloride"",""abbreviation"":null,""cas"":""14794-31-1"",""smiles"":""CCOC(=O)CC(=O)Cl"",""amount"":{""weight_g"":25.45,""mmol"":146.9,""volume_ml"":null,""equivalents"":1.5},""role"":""starting_material""}],""conditions"":[{""temperature_C"":23.0,""time_h"":1.0,""atmosphere"":""N2 (stir pre-catalyst slurry)""},{""temperature_C"":1.0,""time_h"":0.5,""atmosphere"":""N2 (cool before additions)""},{""temperature_C"":1.0,""time_h"":14.0,""atmosphere"":""N2 (after additions)""},{""temperature_C"":23.0,""time_h"":4.5,""atmosphere"":""N2 (warm to rt and stir 3\u20136 h)""}]}]"
nickel_catalyzed_suzuki_miyaura_coupling_in_t_amyl,Ni_Suzuki_ArylHalide+BoronicAcid_tAmOH,,120,1,Brc1cncnc1.OB(O)c1ccoc1>>C1(C2=COC=C2)=CN=CN=C1,"Nickel-Catalyzed Suzuki-Miyaura Coupling in t-Amyl Alcohol for the Preparation of 5-(Furan-3-yl)pyrimidine. Organic Syntheses, Vol. 93, pp. 306-318 (2016). DOI: 10.15227/orgsyn.093.0306. URL: https://www.orgsyn.org/demo.aspx?prep=v93p0306","4595-59-9, 55552-70-0",,7778-53-2,19999-87-2,75-85-4,,,,,,,1,2,,,,,,,,"Coupling of heterocyclic substrates with aryl boronic acids, NiCl2(PCy3)2-catalyzed Suzuki闂備胶鍋ㄩ崕鑼躲亹閸ф檴aura coupling of 5-bromopyrimidine with 3-furanylboronic acid in tert-amyl alcohol under nitrogen.","[{""chemicals"":[{""name"":""Potassium phosphate tribasic (anhydrous)"",""abbreviation"":""K3PO4"",""cas"":""7778-53-2"",""smiles"":""O=P([O-])([O-])[O-].[K+].[K+].[K+]"",""amount"":{""weight_g"":60.0,""mmol"":283.0,""volume_ml"":null,""equivalents"":4.5},""role"":""base""},{""name"":""5-Bromopyrimidine"",""abbreviation"":null,""cas"":""4595-59-9"",""smiles"":""Brc1cncnc1"",""amount"":{""weight_g"":10.0,""mmol"":63.0,""volume_ml"":null,""equivalents"":1.0},""role"":""starting_material""},{""name"":""3-Furanylboronic acid"",""abbreviation"":null,""cas"":""55552-70-0"",""smiles"":""OB(O)c1ccoc1"",""amount"":{""weight_g"":17.6,""mmol"":158.0,""volume_ml"":null,""equivalents"":2.5},""role"":""starting_material""},{""name"":""Bis(tricyclohexylphosphine)nickel(II) chloride"",""abbreviation"":""NiCl2(PCy3)2"",""cas"":""19999-87-2"",""smiles"":null,""amount"":{""weight_g"":0.22,""mmol"":0.315,""volume_ml"":null,""equivalents"":0.005},""role"":""metal_catalyst""},{""name"":""tert-Amyl alcohol (2-methyl-2-butanol)"",""abbreviation"":""t-AmOH"",""cas"":""75-85-4"",""smiles"":""CCC(C)(C)O"",""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":210.0,""equivalents"":null},""role"":""solvent""}],""conditions"":[{""temperature_C"":23,""time_h"":1.0,""atmosphere"":""N2; stirred at 900 rpm (positive pressure)""},{""temperature_C"":120,""time_h"":1.0,""atmosphere"":""N2; oil bath; reflux condenser""}]}]"
palladium_catalyzed_acetylation_of_arylbromides,Pd_Acetylation_ArylBr_SilylEnol,,75,24,BrC1=CC=CC=C1.CC([Si](C)(C)C)=O>>CC(C2=CC=CC=C2)=O,"Palladium-Catalyzed Acetylation of Arylbromides. Organic Syntheses, Vol. 98, pp. 68-83 (2021). DOI: 10.15227/orgsyn.098.0068. URL: https://www.orgsyn.org/demo.aspx?prep=v98p0068","17347-32-9, 13411-48-8",,13400-13-0,14221-01-3,107-06-2,,,,,,,1,2,,,,,,,,"Step A only: acetylation of 6-bromobenzothiophene with acetyltrimethylsilane using Pd(PPh3)4 and CsF in 1,2-dichloroethane at 75 闂佺娅ｉ悡?for 24 h under inert atmosphere.","[{""chemicals"":[{""name"":""6-Bromobenzothiophene"",""abbreviation"":null,""cas"":""17347-32-9"",""smiles"":""BrC2=CC1=C(C=CS1)C=C2"",""amount"":{""weight_g"":8.0,""mmol"":37.5,""volume_ml"":null,""equivalents"":1.0},""role"":""starting_material""},{""name"":""Acetyltrimethylsilane"",""abbreviation"":null,""cas"":""13411-48-8"",""smiles"":""CC(=O)[Si](C)(C)C"",""amount"":{""weight_g"":null,""mmol"":75.0,""volume_ml"":10.8,""equivalents"":2.0},""role"":""starting_material""},{""name"":""Tetrakis(triphenylphosphine)palladium(0)"",""abbreviation"":""Pd(PPh3)4"",""cas"":""14221-01-3"",""smiles"":null,""amount"":{""weight_g"":2.17,""mmol"":1.88,""volume_ml"":null,""equivalents"":0.05},""role"":""metal_catalyst""},{""name"":""Cesium fluoride"",""abbreviation"":""CsF"",""cas"":""13400-13-0"",""smiles"":""[Cs+].[F-]"",""amount"":{""weight_g"":22.8,""mmol"":150.0,""volume_ml"":null,""equivalents"":4.0},""role"":""reagent""},{""name"":""1,2-Dichloroethane"",""abbreviation"":""DCE"",""cas"":""107-06-2"",""smiles"":""ClCCCl"",""amount"":{""weight_g"":null,""mmol"":null,""volume_ml"":38.0,""equivalents"":null},""role"":""solvent""}],""conditions"":[{""temperature_C"":23,""time_h"":0.083,""atmosphere"":""Set up under argon; purge 5 min""},{""temperature_C"":75,""time_h"":24.0,""atmosphere"":""Inert (argon) with air condenser; oil bath; vigorous stirring (\u2248800 rpm)""}]}]"
