reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-031-CAS-13235233,C_N_Coupling,90,,,c1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccccc32)C(=O)Nc2ccccc21,"Organic Letters (2014), 16(9), 2394-2397","496-15-1, 917614-61-0",1227090-13-2,7778-53-2,"373-02-4, 229184-98-9",109-99-9,,,,,,"General/Typical Procedure: General procedure for the amination reaction of 3-bromooxindoles with indolines : The mixture of 3-bromooxindole 2 (0.1 mmol), DABCO (0.15 mmol) and catalyst Ni(OAc)2-3e (0.02 mmol) were added to a solution of indoline 1 (0.12 mmol) in MTBE (1.5 ml), the resulting solution was then stirred at room temperature. After the starting material was completely consumed as monitored by TLC, the mixture was concentrated in vacuo. The crude products was purified by flash column chromatography (EA/CH2Cl2 = 1:100-1:20) to give product. (S)-3'-(2-azidoethyl)-[1,3'-biindolin]-2'-one. (4a). Yield 90%, 21% ee. Solvent: THF, base K3PO4, time: 5 h. 1H NMR (300 MHz, DMSO) δ 10.77 (s, 1 H), 7.28 (t, J = 7.7 Hz, 2 H), 6.96 (dd, J =17.5,7.7 Hz, 3 H), 6.64 (t, J = 7.6 Hz, 1 H), 6.50 (t, J = 7.3 Hz, 1 H), 5.59 (d, J = 7.8 Hz, 1 H), 3.97-3.77 (m, 2 H), 3.24 (ddd, J = 19.9, 10.4, 4.8 Hz, 2 H), 2.87 (t, J = 9.3 Hz, 2 H), 2.42-2.29 (m, 2 H). 13C NMR (75 MHz, DMSO) δ 177.8, 149.6, 141.5, 130.7, 129.3, 129.1, 126.7, 124.3, 124.2, 122.2, 118.2, 110.2, 108.0, 64.5, 49.5, 45.8, 35.8, 27.4. IR: 3243, 2924, 2852, 2099, 1717, 1469, 1263, 743,489 cm-1; [α]25D = -45 (c 0.7, CHCl3). HRMS (ESI): C18H17N5O+H, Calc: 320.1506, Found: 320.1508; HPLC: Chiralcel OD, Hexane/iPrOH = 70/30, flow rate = 1.0 mL/min, retention time: tmajor = 6.7, tminor = 13.9.",1,1,90,,,,,,,"stereoselective, 21% ee, optimization study (optimized on catalyst, base and solvent)"
31-113-CAS-23355913,C_N_Coupling,5,,,C1CCNC1.CC(C)(C)c1ccc(Br)cc1>>CC(C)(C)c1ccccc1.CC(C)(C)c1ccc(O)cc1.CC(C)(C)c1ccc(N2CCCC2)cc1,"Nature Catalysis (2020), 3(8), 611-620","120-72-9, 108-86-1","948-65-2, 1504-16-1, 16096-33-6",,"207569-11-7, 2363044-86-2",127-19-5,,,,,,,1,1,5,3.0,92.0,,,,,"photochemical, ultrasound, catalyst prepared and used, reusable catalyst, sealed vial used, blue LEDs (520nm) used"
31-170-CAS-21439473,C_N_Coupling,86,,,Brc1ccccc1I.COc1ccc(-c2nc(-c3ccccc3O)[nH]c2-c2ccc(OC)cc2)cc1>>COc1ccc(-c2nc3n(c2-c2ccc(OC)cc2)-c2ccccc2Oc2ccccc2-3)cc1,"Journal of Heterocyclic Chemistry (2020), 57(2), 851-858","347161-74-4, 2451911-04-7",2451911-14-9,534-17-8,"66-71-7, 7681-65-4",127-19-5,,,,,,,1,1,86,,,,,,,Ullmann reaction
31-172-CAS-11395948,C_N_Coupling,80,,,C1COCCN1.COc1ccc(Cl)cc1>>COc1ccc(N2CCOCC2)cc1,"ACS Catalysis (2014), 4(9), 3289-3293","51-17-2, 623-12-1",2622-61-9,"87-85-4, 865-48-5, 24388-23-6","29046-78-4, 258278-25-0",96-47-9,,,,,,"General/Typical Procedure: Representative Procedure (coupling of naphthylsulfamate SI-1 is used as an example). A 4 mL reaction vial with a magnetic stir bar was charged with Ph-B(pin) (36.6 mg, 0.175 mmol, 0.35 equiv), anhydrous powdered NaOtBu (108.1 mg, 1.125 mmol, 2.25 equiv), NiCl2(DME) (5.5 mg, 0.025 mmol, 5 mol %), hexamethylbenzene (8.1 mg, 0.050 mmol, 0.1 equiv), and SIPr·HCl (21.7 mg, 0.0506 mmol, 10 mol %). Subsequently, 2-Me-THF (2.5 ml), naphthylsulfamate 4 (125.7 mg, 0.5002 mmol, 1.0 equiv), and morpholine (87.1 μL, 0.900 mmol, 1.8 equiv) were added, sequentially. The resulting heterogenous mixture was stirred for 1 min while purging with N2, and the vial was sealed with a Teflon-lined screw cap. The mixture was stirred at 23 °C for 1 h, and then at 80 °C for 3 h in a preheated aluminum heating block. The reaction vessel was allowed to cool to 23 °C and the mixture was filtered by passage over a plug of silica gel (EtOAC eluent, 5 mL), and then concentrated under reduced pressure. The yield was determined by 1H NMR analysis with hexamethylbenzene as an internal standard. Spectral data match those previously reported.6 6 (Figure 3). The yield was determined by 1H NMR analysis with hexamethylbenzene as an internal standard. Spectral data match those previously reported.8 Compound 6: Yield 80%.",1,1,80,,,,,,,"green chemistry-solvent, sealed vial used, Suzuki-Miyaura coupling reaction, alternative preparation shown"
31-172-CAS-17232294,C_N_Coupling,80,,,COc1ccc(I)cc1.CCCCNC(=O)c1ccccn1>>CCCCN(C(=O)c1ccccn1)c1ccc(OC)cc1,"Asian Journal of Organic Chemistry (2017), 6(3), 269-273","95-20-5, 1606128-30-6",1903786-68-4,"7646-69-7, 64-17-5",7718-54-9,68-12-2,,,,,,,2,1,80,,,,,,,"optimization study, optimized on catalyst, reagent and solvent, alternative preparation shown"
31-172-CAS-19352969,C_N_Coupling,63,,,Cc1cc(Cl)ccc1C(=O)Nc1cccc2cccnc12.O=C(O)c1cccnc1F.[Na]>>Cc1cc(Cl)cc2c1c(=O)n(-c1cccc3cccnc13)c1ncccc21,"Organic Letters (2018), 20(22), 7216-7219","402-43-7, 627-35-0",2415130-59-3,"497-19-8, 7761-88-8",373-02-4,127-19-5,,,,,,,1,1,63,,,,,,,
31-172-CAS-20917463,C_N_Coupling,91,,,NC(=O)C1CC1.O=[N+]([O-])c1ccc(Oc2ccnc(Cl)c2)c(F)c1>>O=C(Nc1cc(Oc2ccc([N+](=O)[O-])cc2F)ccn1)C1CC1,"European Journal of Medicinal Chemistry (2020), 185111803","110-91-8, 2776241-94-0",2776241-97-3,534-17-8,"12150-46-8, 51364-51-3",123-91-1,,,,,,,1,1,91,,,,,,,
31-172-CAS-21455549,C_N_Coupling,93,,,c1ccc2c(c1)[nH]c1ccccc12.Ic1ccccc1>>c1ccc(-n2c3ccccc3c3ccccc32)cc1,"ChemistrySelect (2020), 5(1), 40-48","106-38-7, 288-32-4",25372-10-5,584-08-7,2409651-49-4,"68-12-2, 7732-18-5",,,,,,,1,1,93,,,,,,,"solid-supported catalyst, reusable catalyst, Ullmann type reaction, mesoporous silica MCM-41 supported copper catalyst prepared and used, alternative preparation shown"
31-172-CAS-21561239,C_N_Coupling,95,,,O=[N+]([O-])c1ccc(Cl)c2nonc12.CN(C)C(=O)[C@@H]1CCCN1>>CN(C)C(=O)[C@@H]1CCCN1c1ccc([N+](=O)[O-])c2nonc12,"Angewandte Chemie, International Edition (2020), 59(12), 4785-4792","109-73-9, 2757396-08-8",2757395-77-8,584-08-7,,"109-99-9, 7789-20-0",,,,,,,2,1,95,,,,,,,
31-172-CAS-21640626,C_N_Coupling,77,,,COc1ccc2nc3cc(Cl)ccc3c(Cl)c2c1.O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCNCC1>>COc1ccc2nc3cc(Cl)ccc3c(N3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)CC3)c2c1,"Chinese Chemical Letters (2020), 31(2), 404-408","625-95-6, 6146-52-7",2411004-57-2,,,108-95-2,,,,,,,1,1,77,,,,,,,
