reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-006-CAS-10047627,31-006-CAS-10047627,Reaction_20251104_1453 (3).rdf,Aldol (classic & Mukaiyama),82,,,O=Cc1ccc(Cl)cc1.C=C(O[Si](C)(C)C)c1ccccc1,CC(=O)c1ccccc1.O=C(CC(O)c1ccc(Cl)cc1)c1ccccc1,O=Cc1ccc(Cl)cc1.C=C(O[Si](C)(C)C)c1ccccc1>>CC(=O)c1ccccc1.O=C(CC(O)c1ccc(Cl)cc1)c1ccccc1,"Highly efficient ""on water"" catalyst-free nucleophilic addition reactions using difluoroenoxysilanes: Dramatic fluorine effects","Yu, Jin-Sheng; Liu, Yun-Lin; Tang, Jing; Wang, Xin; Zhou, Jian","Angewandte Chemie, International Edition (2014), 53(36), 9512-9516","Highly efficient ""on water"" catalyst-free nucleophilic addition reactions using difluoroenoxysilanes: Dramatic fluorine effects | Yu, Jin-Sheng; Liu, Yun-Lin; Tang, Jing; Wang, Xin; Zhou, Jian | Angewandte Chemie, International Edition (2014), 53(36), 9512-9516","104-88-1, 13735-81-4","98-86-2, 82959-14-6",,,67-56-1,,,,,,,1,1,82,8,,,,,,"{""1"": 82, ""2"": 8}","[{""index"": 1, ""cas_rn"": ""104-88-1"", ""smiles"": ""O=Cc1ccc(Cl)cc1""}, {""index"": 2, ""cas_rn"": ""13735-81-4"", ""smiles"": ""C=C(O[Si](C)(C)C)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""98-86-2"", ""yield_pct"": ""82"", ""smiles"": ""CC(=O)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""82959-14-6"", ""yield_pct"": ""8"", ""smiles"": ""O=C(CC(O)c1ccc(Cl)cc1)c1ccccc1""}]",[],[],"[{""index"": 1, ""cas_rn"": ""67-56-1""}]",,
31-006-CAS-10107023,31-006-CAS-10107023,Reaction_20251104_1453 (2).rdf,Aldol (classic & Mukaiyama),84,,,C=C(/C=C(/OC)O[Si](C)(C)C)O[Si](C)(C)C.CC(C)(C)OC(=O)N=Cc1ccc2ccccc2c1,COC(=O)CC(=O)C[C@@H](NC(=O)OC(C)(C)C)c1ccc2ccccc2c1,C=C(/C=C(/OC)O[Si](C)(C)C)O[Si](C)(C)C.CC(C)(C)OC(=O)N=Cc1ccc2ccccc2c1>>COC(=O)CC(=O)C[C@@H](NC(=O)OC(C)(C)C)c1ccc2ccccc2c1,Disulfonimide-Catalyzed Asymmetric Synthesis of δ-Amino-β-Keto Esters,"Wang, Qinggang; List, Benjamin","Synlett (2015), 26(6), 807-809","Disulfonimide-Catalyzed Asymmetric Synthesis of δ-Amino-β-Keto Esters | Wang, Qinggang; List, Benjamin | Synlett (2015), 26(6), 807-809","81114-98-9, 479423-45-5",1661828-72-3,76-05-1,1464815-28-8,"108-88-3, 75-09-2",,,,,,,2,1,84,,,,,,,"{""1"": 84}","[{""index"": 1, ""cas_rn"": ""81114-98-9"", ""smiles"": ""C=C(/C=C(/OC)O[Si](C)(C)C)O[Si](C)(C)C""}, {""index"": 2, ""cas_rn"": ""479423-45-5"", ""smiles"": ""CC(C)(C)OC(=O)N=Cc1ccc2ccccc2c1""}]","[{""index"": 1, ""cas_rn"": ""1661828-72-3"", ""yield_pct"": ""84"", ""smiles"": ""COC(=O)CC(=O)C[C@@H](NC(=O)OC(C)(C)C)c1ccc2ccccc2c1""}]","[{""index"": 1, ""cas_rn"": ""76-05-1""}]","[{""index"": 1, ""cas_rn"": ""1464815-28-8""}]","[{""index"": 1, ""cas_rn"": ""108-88-3""}, {""index"": 2, ""cas_rn"": ""75-09-2""}]","stereoselective, enantiomeric ratio = 94:6, Mukaiyama-Mannich reaction, capped vial used",
31-006-CAS-11055383,31-006-CAS-11055383,Reaction_20251104_1453 (2).rdf,Aldol (classic & Mukaiyama),81,,,O=Cc1ccccc1.C=C(/C=C(/OC)O[Si](C)(C)C)O[Si](C)(C)C,COC(=O)CC(=O)C[C@H](O)c1ccccc1,O=Cc1ccccc1.C=C(/C=C(/OC)O[Si](C)(C)C)O[Si](C)(C)C>>COC(=O)CC(=O)C[C@H](O)c1ccccc1,Total synthesis of (-)-diospongin A and (+)-cryptofolione via asymmetric aldol reaction,"Kumar, Rayala Naveen; Meshram, H. M.","Tetrahedron Letters (2011), 52(9), 1003-1007","Total synthesis of (-)-diospongin A and (+)-cryptofolione via asymmetric aldol reaction | Kumar, Rayala Naveen; Meshram, H. M. | Tetrahedron Letters (2011), 52(9), 1003-1007","100-52-7, 81114-98-9",245344-29-0,"546-68-9, 18531-99-2, 76-05-1, 144-55-8",,"109-99-9, 7732-18-5",,,,,,,4,1,81,,,,,,,"{""1"": 81}","[{""index"": 1, ""cas_rn"": ""100-52-7"", ""smiles"": ""O=Cc1ccccc1""}, {""index"": 2, ""cas_rn"": ""81114-98-9"", ""smiles"": ""C=C(/C=C(/OC)O[Si](C)(C)C)O[Si](C)(C)C""}]","[{""index"": 1, ""cas_rn"": ""245344-29-0"", ""yield_pct"": ""81"", ""smiles"": ""COC(=O)CC(=O)C[C@H](O)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""546-68-9""}, {""index"": 2, ""cas_rn"": ""18531-99-2""}, {""index"": 3, ""cas_rn"": ""76-05-1""}, {""index"": 4, ""cas_rn"": ""144-55-8""}]",[],"[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]","stereoselective, molecular sieves used",
31-006-CAS-11193665,31-006-CAS-11193665,Reaction_20251104_1453 (1).rdf,Aldol (classic & Mukaiyama),86,,,COC(CCC(C)=O)(OC)c1ccccc1.CCOC(O[Si](C)(C)C(C)(C)C)=C(OC)OC,CCOC(=O)CC(CCC(C)(OC)O[Si](C)(C)C(C)(C)C)(OC)c1ccccc1,COC(CCC(C)=O)(OC)c1ccccc1.CCOC(O[Si](C)(C)C(C)(C)C)=C(OC)OC>>CCOC(=O)CC(CCC(C)(OC)O[Si](C)(C)C(C)(C)C)(OC)c1ccccc1,Chemoselective Two-Directional Reaction of Bifunctionalized Substrates: Formal Ketal-Selective Mukaiyama Aldol Type Reaction,"Yanai, Hikaru; Sasaki, Yuichi; Yamamoto, Yuki; Matsumoto, Takashi","Synlett (2015), 26(17), 2457-2461","Chemoselective Two-Directional Reaction of Bifunctionalized Substrates: Formal Ketal-Selective Mukaiyama Aldol Type Reaction | Yanai, Hikaru; Sasaki, Yuichi; Yamamoto, Yuki; Matsumoto, Takashi | Synlett (2015), 26(17), 2457-2461","1809636-78-9, 1809636-84-7",1809636-90-5,121-44-8,1586034-88-9,60-29-7,,,,,,,2,1,86,,,,,,,"{""1"": 86}","[{""index"": 1, ""cas_rn"": ""1809636-78-9"", ""smiles"": ""COC(CCC(C)=O)(OC)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""1809636-84-7"", ""smiles"": ""CCOC(O[Si](C)(C)C(C)(C)C)=C(OC)OC""}]","[{""index"": 1, ""cas_rn"": ""1809636-90-5"", ""yield_pct"": ""86"", ""smiles"": ""CCOC(=O)CC(CCC(C)(OC)O[Si](C)(C)C(C)(C)C)(OC)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""121-44-8""}]","[{""index"": 1, ""cas_rn"": ""1586034-88-9""}]","[{""index"": 1, ""cas_rn"": ""60-29-7""}]","chemoselective, Mukaiyama Aldol addition, dr ratio 1:1.1",
31-006-CAS-11627033,31-006-CAS-11627033,Reaction_20251104_1453 (1).rdf,Aldol (classic & Mukaiyama),88,,,C=C(/C=C(/OC)O[Si](C)(C)C)O[Si](C)(C)C.CC(C)(C)OC(=O)N=Cc1cccc(F)c1,COC(=O)CC(=O)C[C@@H](NC(=O)OC(C)(C)C)c1cccc(F)c1,C=C(/C=C(/OC)O[Si](C)(C)C)O[Si](C)(C)C.CC(C)(C)OC(=O)N=Cc1cccc(F)c1>>COC(=O)CC(=O)C[C@@H](NC(=O)OC(C)(C)C)c1cccc(F)c1,Disulfonimide-Catalyzed Asymmetric Synthesis of δ-Amino-β-Keto Esters,"Wang, Qinggang; List, Benjamin","Synlett (2015), 26(6), 807-809","Disulfonimide-Catalyzed Asymmetric Synthesis of δ-Amino-β-Keto Esters | Wang, Qinggang; List, Benjamin | Synlett (2015), 26(6), 807-809","81114-98-9, 1046828-41-4",1661828-77-8,76-05-1,1464815-28-8,"108-88-3, 75-09-2",,,,,,,2,1,88,,,,,,,"{""1"": 88}","[{""index"": 1, ""cas_rn"": ""81114-98-9"", ""smiles"": ""C=C(/C=C(/OC)O[Si](C)(C)C)O[Si](C)(C)C""}, {""index"": 2, ""cas_rn"": ""1046828-41-4"", ""smiles"": ""CC(C)(C)OC(=O)N=Cc1cccc(F)c1""}]","[{""index"": 1, ""cas_rn"": ""1661828-77-8"", ""yield_pct"": ""88"", ""smiles"": ""COC(=O)CC(=O)C[C@@H](NC(=O)OC(C)(C)C)c1cccc(F)c1""}]","[{""index"": 1, ""cas_rn"": ""76-05-1""}]","[{""index"": 1, ""cas_rn"": ""1464815-28-8""}]","[{""index"": 1, ""cas_rn"": ""108-88-3""}, {""index"": 2, ""cas_rn"": ""75-09-2""}]","stereoselective, enantiomeric ratio = 91.5:8.5, Mukaiyama-Mannich reaction, capped vial used",
31-006-CAS-1172563,31-006-CAS-1172563,Reaction_20251104_1453 (3).rdf,Aldol (classic & Mukaiyama),76,,,C=C(C)C=O.COC=C(C=C(OC(C)(C)C)O[Si](C)(C)C)O[Si](C)(C)C,C=C(C)C(O)C(OC)C(=O)CC(=O)OC(C)(C)C,C=C(C)C=O.COC=C(C=C(OC(C)(C)C)O[Si](C)(C)C)O[Si](C)(C)C>>C=C(C)C(O)C(OC)C(=O)CC(=O)OC(C)(C)C,"A Novel, Efficient, Diastereo- and Enantioselective Mukaiyama Aldol-Based Synthesis of a Vinyl Cyclopentanone Core Derivative of Viridenomycin","Batsanov, Andrei S.; Knowles, Jonathan P.; Lightfoot, Andrew P.; Maw, Graham; Thirsk, Carl E.; Twiddle, Steven J. R.; Whiting, Andrew","Organic Letters (2007), 9(26), 5565-5568","A Novel, Efficient, Diastereo- and Enantioselective Mukaiyama Aldol-Based Synthesis of a Vinyl Cyclopentanone Core Derivative of Viridenomycin | Batsanov, Andrei S.; Knowles, Jonathan P.; Lightfoot, Andrew P.; Maw, Graham; Thirsk, Carl E.; Twiddle, Steven J. R.; Whiting, Andrew | Organic Letters (2007), 9(26), 5565-5568","78-85-3, 1001202-34-1",1001202-35-2,"13283-31-3, 144-55-8, 76-05-1",68005-71-0,"75-09-2, 109-99-9, 7732-18-5",,,,,,"tert-Butyl 5-hydroxy-4-methoxy-6-methyl-3-oxo-6-heptenoate 9bTo a solution of N-Ts-D-valine (0.20 g, 25 mol %, 0.75 mmol) in dry DCM (10mL) was added BH3 (0.75 mL of a 1.0 M solution in THF, 25 mol %, 0.75 mmol) dropwise over 0.5h.The mixture was stirred for a further 0.5h, and the temperature lowered to -78 °C. Methacrolein (0.26 mL, 3.00 mmol) was added dropwise, followed by a solution of 7b (1.00g, 3.00 mmol) in dry DCM (5 mL). The reaction was stirred for 6h at -78 °C then warmed to room temperature and stirred for a further 16h. After this time, saturated NaHCO3 (3 mL) was added and the reaction stirred for a further 0.5 h. The reaction mixture was diluted with DCM (20 mL), and the organic layer was washed with brine (20 mL), dried over MgSO4 and concentrated in vacuo. The residue was treated with cold hexane and filtered to recover the N-Ts-D-valine (with typically 90% recovery). The solution was re-concentrated in vacuo, and the residue diluted with THF (25 mL), cooled to 0 °C, and treated dropwise with a 10%aqueous solution of TFA (5 mL). After stirring for 2h, the solution was warmed to room temperature and partitioned between Et2O and H2O. The organic layer was washed with saturated NaHCO3 solution (20 mL) and finally brine (20 mL), before being dried over MgSO4 and concentrated in vacuo. Purification by column chromatography (silica gel, 4:1hexane / EtOAc as eluant) gave (0.59 g, 76%). tert-Butyl 5-hydroxy-4-methoxy-6-methyl-3-oxo-6-heptenoate 9b, yield 76%. νmax (film)/cm-1 3456 (b., O-H str.), 2979-2925 (several strong bands, C-H. str.), 1716 (strong, C=O str. ketone), 1649 (weak, C=C str.enol), 1367 (strong, -C(CH3)3 C-H str.), 1159 (2 bands, medium, C-O str.); δH (400 MHz)1.45 (9H, s, 3x(CH3)3), 1.79 (3H, d, J 4.5Hz, :CH(CH3)), 2.60 (1H, bs, -OH, exchanges with D2O), 3.45 (2H, s, -CH2-), 3.50 (3H, s, -OCH3), 3.80 (1H, d, J 4.5Hz, -CH(OMe)), 4.31 (1H,d, J 4.5Hz, -CH(OH)), 5.05 (1H, d, J 8.1Hz, :CH), 5.09 (1H, d, J 8.1Hz, :CH); δC (100 MHz)17.9 (:CH(CH3), 26.9 (-C(CH3)3), 46.4 (-CH2-), 58.9 (-OCH3), 74.3 (-CH(OH)), 79.6 (Cq, -C(CH3)3), 86.8 (-HC(OCH3), 112.0 (:CH2), 142.4 (Cq, -C:CH2), 165.7 (Cq, C=O ester), 204.0(Cq, C=O ketone); m/z (FAB+) 297 (MK+, 100%), 259 (MH+, 60%); (ES+) 259.1544 (100%,MH+, C13H23O5+ requires 259.1545).",4,1,76,,,,,,,"{""1"": 76}","[{""index"": 1, ""cas_rn"": ""78-85-3"", ""smiles"": ""C=C(C)C=O""}, {""index"": 2, ""cas_rn"": ""1001202-34-1"", ""smiles"": ""COC=C(C=C(OC(C)(C)C)O[Si](C)(C)C)O[Si](C)(C)C""}]","[{""index"": 1, ""cas_rn"": ""1001202-35-2"", ""yield_pct"": ""76"", ""smiles"": ""C=C(C)C(O)C(OC)C(=O)CC(=O)OC(C)(C)C""}]","[{""index"": 1, ""cas_rn"": ""13283-31-3""}, {""index"": 2, ""cas_rn"": ""144-55-8""}, {""index"": 3, ""cas_rn"": ""76-05-1""}]","[{""index"": 1, ""cas_rn"": ""68005-71-0""}]","[{""index"": 1, ""cas_rn"": ""75-09-2""}, {""index"": 2, ""cas_rn"": ""109-99-9""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}]",aldol condensation,
31-006-CAS-11905598,31-006-CAS-11905598,Reaction_20251104_1453.rdf,Aldol (classic & Mukaiyama),94,,,C=C(/C=C(/OC)O[Si](C)(C)C)O[Si](C)(C)C.Cc1cc(C)cc(C=NC(=O)OC(C)(C)C)c1,COC(=O)CC(=O)C[C@@H](NC(=O)OC(C)(C)C)c1cc(C)cc(C)c1,C=C(/C=C(/OC)O[Si](C)(C)C)O[Si](C)(C)C.Cc1cc(C)cc(C=NC(=O)OC(C)(C)C)c1>>COC(=O)CC(=O)C[C@@H](NC(=O)OC(C)(C)C)c1cc(C)cc(C)c1,Disulfonimide-Catalyzed Asymmetric Synthesis of δ-Amino-β-Keto Esters,"Wang, Qinggang; List, Benjamin","Synlett (2015), 26(6), 807-809","Disulfonimide-Catalyzed Asymmetric Synthesis of δ-Amino-β-Keto Esters | Wang, Qinggang; List, Benjamin | Synlett (2015), 26(6), 807-809","81114-98-9, 957201-91-1",1661828-79-0,76-05-1,1464815-28-8,"108-88-3, 75-09-2",,,,,,,2,1,94,,,,,,,"{""1"": 94}","[{""index"": 1, ""cas_rn"": ""81114-98-9"", ""smiles"": ""C=C(/C=C(/OC)O[Si](C)(C)C)O[Si](C)(C)C""}, {""index"": 2, ""cas_rn"": ""957201-91-1"", ""smiles"": ""Cc1cc(C)cc(C=NC(=O)OC(C)(C)C)c1""}]","[{""index"": 1, ""cas_rn"": ""1661828-79-0"", ""yield_pct"": ""94"", ""smiles"": ""COC(=O)CC(=O)C[C@@H](NC(=O)OC(C)(C)C)c1cc(C)cc(C)c1""}]","[{""index"": 1, ""cas_rn"": ""76-05-1""}]","[{""index"": 1, ""cas_rn"": ""1464815-28-8""}]","[{""index"": 1, ""cas_rn"": ""108-88-3""}, {""index"": 2, ""cas_rn"": ""75-09-2""}]","stereoselective, enantiomeric ratio = 90:10, Mukaiyama-Mannich reaction, capped vial used",
31-006-CAS-12233499,31-006-CAS-12233499,Reaction_20251104_1453 (2).rdf,Aldol (classic & Mukaiyama),79,,,C=C(/C=C(/OC)O[Si](C)(C)C)O[Si](C)(C)C.COc1ccc2cc(C=NC(=O)OC(C)(C)C)ccc2c1,COC(=O)CC(=O)C[C@@H](NC(=O)OC(C)(C)C)c1ccc2cc(OC)ccc2c1,C=C(/C=C(/OC)O[Si](C)(C)C)O[Si](C)(C)C.COc1ccc2cc(C=NC(=O)OC(C)(C)C)ccc2c1>>COC(=O)CC(=O)C[C@@H](NC(=O)OC(C)(C)C)c1ccc2cc(OC)ccc2c1,Disulfonimide-Catalyzed Asymmetric Synthesis of δ-Amino-β-Keto Esters,"Wang, Qinggang; List, Benjamin","Synlett (2015), 26(6), 807-809","Disulfonimide-Catalyzed Asymmetric Synthesis of δ-Amino-β-Keto Esters | Wang, Qinggang; List, Benjamin | Synlett (2015), 26(6), 807-809","81114-98-9, 1661828-69-8",1661828-73-4,76-05-1,1464815-28-8,"108-88-3, 75-09-2",,,,,,,2,1,79,,,,,,,"{""1"": 79}","[{""index"": 1, ""cas_rn"": ""81114-98-9"", ""smiles"": ""C=C(/C=C(/OC)O[Si](C)(C)C)O[Si](C)(C)C""}, {""index"": 2, ""cas_rn"": ""1661828-69-8"", ""smiles"": ""COc1ccc2cc(C=NC(=O)OC(C)(C)C)ccc2c1""}]","[{""index"": 1, ""cas_rn"": ""1661828-73-4"", ""yield_pct"": ""79"", ""smiles"": ""COC(=O)CC(=O)C[C@@H](NC(=O)OC(C)(C)C)c1ccc2cc(OC)ccc2c1""}]","[{""index"": 1, ""cas_rn"": ""76-05-1""}]","[{""index"": 1, ""cas_rn"": ""1464815-28-8""}]","[{""index"": 1, ""cas_rn"": ""108-88-3""}, {""index"": 2, ""cas_rn"": ""75-09-2""}]","stereoselective, enantiomeric ratio = 92.5:7.5, Mukaiyama-Mannich reaction, capped vial used",
31-006-CAS-12675136,31-006-CAS-12675136,Reaction_20251104_1453.rdf,Aldol (classic & Mukaiyama),91,,,COC(CCC(=O)CC(C)C)(OC)c1ccccc1.CCOC(O[Si](C)(C)C(C)(C)C)=C(OC)OC,CCOC(=O)CC(CCC(=O)CC(C)C)(OC)c1ccccc1,COC(CCC(=O)CC(C)C)(OC)c1ccccc1.CCOC(O[Si](C)(C)C(C)(C)C)=C(OC)OC>>CCOC(=O)CC(CCC(=O)CC(C)C)(OC)c1ccccc1,Chemoselective Two-Directional Reaction of Bifunctionalized Substrates: Formal Ketal-Selective Mukaiyama Aldol Type Reaction,"Yanai, Hikaru; Sasaki, Yuichi; Yamamoto, Yuki; Matsumoto, Takashi","Synlett (2015), 26(17), 2457-2461","Chemoselective Two-Directional Reaction of Bifunctionalized Substrates: Formal Ketal-Selective Mukaiyama Aldol Type Reaction | Yanai, Hikaru; Sasaki, Yuichi; Yamamoto, Yuki; Matsumoto, Takashi | Synlett (2015), 26(17), 2457-2461","1809636-80-3, 1809636-84-7",1809636-98-3,"121-44-8, 64-19-7",1586034-88-9,"60-29-7, 67-64-1, 7732-18-5",,,,,,,3,1,91,,,,,,,"{""1"": 91}","[{""index"": 1, ""cas_rn"": ""1809636-80-3"", ""smiles"": ""COC(CCC(=O)CC(C)C)(OC)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""1809636-84-7"", ""smiles"": ""CCOC(O[Si](C)(C)C(C)(C)C)=C(OC)OC""}]","[{""index"": 1, ""cas_rn"": ""1809636-98-3"", ""yield_pct"": ""91"", ""smiles"": ""CCOC(=O)CC(CCC(=O)CC(C)C)(OC)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""121-44-8""}, {""index"": 2, ""cas_rn"": ""64-19-7""}]","[{""index"": 1, ""cas_rn"": ""1586034-88-9""}]","[{""index"": 1, ""cas_rn"": ""60-29-7""}, {""index"": 2, ""cas_rn"": ""67-64-1""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}]","chemoselective, Mukaiyama Aldol addition",
31-006-CAS-13006523,31-006-CAS-13006523,Reaction_20251104_1453 (2).rdf,Aldol (classic & Mukaiyama),83,,,COC(CCC(C)=O)(OC)c1ccccc1.CCOC(O[Si](C)(C)C(C)(C)C)=C(OC)OC,CCOC(=O)CC(CCC(C)=O)(OC)c1ccccc1,COC(CCC(C)=O)(OC)c1ccccc1.CCOC(O[Si](C)(C)C(C)(C)C)=C(OC)OC>>CCOC(=O)CC(CCC(C)=O)(OC)c1ccccc1,Chemoselective Two-Directional Reaction of Bifunctionalized Substrates: Formal Ketal-Selective Mukaiyama Aldol Type Reaction,"Yanai, Hikaru; Sasaki, Yuichi; Yamamoto, Yuki; Matsumoto, Takashi","Synlett (2015), 26(17), 2457-2461","Chemoselective Two-Directional Reaction of Bifunctionalized Substrates: Formal Ketal-Selective Mukaiyama Aldol Type Reaction | Yanai, Hikaru; Sasaki, Yuichi; Yamamoto, Yuki; Matsumoto, Takashi | Synlett (2015), 26(17), 2457-2461","1809636-78-9, 1809636-84-7",1809636-96-1,"121-44-8, 64-19-7",1586034-88-9,"60-29-7, 67-64-1, 7732-18-5",,,,,,,3,1,83,,,,,,,"{""1"": 83}","[{""index"": 1, ""cas_rn"": ""1809636-78-9"", ""smiles"": ""COC(CCC(C)=O)(OC)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""1809636-84-7"", ""smiles"": ""CCOC(O[Si](C)(C)C(C)(C)C)=C(OC)OC""}]","[{""index"": 1, ""cas_rn"": ""1809636-96-1"", ""yield_pct"": ""83"", ""smiles"": ""CCOC(=O)CC(CCC(C)=O)(OC)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""121-44-8""}, {""index"": 2, ""cas_rn"": ""64-19-7""}]","[{""index"": 1, ""cas_rn"": ""1586034-88-9""}]","[{""index"": 1, ""cas_rn"": ""60-29-7""}, {""index"": 2, ""cas_rn"": ""67-64-1""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}]","chemoselective, Mukaiyama Aldol addition",
