reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-001-CAS-14203887,31-001-CAS-14203887,Reaction_20251106_1107.rdf,Anhydride coupling,70,,,CCCCN.O=C1CC(CC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)O1,CCCCN1C(=O)CC(CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1=O,CCCCN.O=C1CC(CC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)O1>>CCCCN1C(=O)CC(CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1=O,"New succinamic acids, -γ-lactones, and -succinimides from (3-perfluoroalkyl-2-iodoalkyl)succinic acid anhydrides and amines","Brace, Neal O.; Mull, Steven G.","Journal of Fluorine Chemistry (2006), 127(1), 108-125","New succinamic acids, -γ-lactones, and -succinimides from (3-perfluoroalkyl-2-iodoalkyl)succinic acid anhydrides and amines | Brace, Neal O.; Mull, Steven G. | Journal of Fluorine Chemistry (2006), 127(1), 108-125","109-73-9, 674786-55-1",915798-04-8,,,"67-66-3, 108-88-3",,,,,,,2,1,70,,,,,,,"{""1"": 70}","[{""index"": 1, ""cas_rn"": ""109-73-9"", ""smiles"": ""CCCCN""}, {""index"": 2, ""cas_rn"": ""674786-55-1"", ""smiles"": ""O=C1CC(CC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(=O)O1""}]","[{""index"": 1, ""cas_rn"": ""915798-04-8"", ""yield_pct"": ""70"", ""smiles"": ""CCCCN1C(=O)CC(CC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C1=O""}]",[],[],"[{""index"": 1, ""cas_rn"": ""67-66-3""}, {""index"": 2, ""cas_rn"": ""108-88-3""}]","Dean-Stark trap used in stage 2, other product also detected",
31-012-CAS-16838169,31-012-CAS-16838169,Reaction_20251106_1106 (1).rdf,Anhydride coupling,89,,,Nc1ccccc1.OCC(F)(F)F.C=CCO.CC(=O)OC(C)=O,CC(=O)N1c2ccccc2CCC1OCC(F)(F)F,Nc1ccccc1.OCC(F)(F)F.C=CCO.CC(=O)OC(C)=O>>CC(=O)N1c2ccccc2CCC1OCC(F)(F)F,A Four-Component Cascade C-H Functionalization/Cyclization/Nucleophilic Substitution Reaction To Construct α-Functionalized Tetrahydroquinolines by the Strategy of in Situ Directing Group Formation,"Bai, Peng; Li, Ya-Qiong; Huang, Zhi-Zhen","Organic Letters (2017), 19(6), 1374-1377","A Four-Component Cascade C-H Functionalization/Cyclization/Nucleophilic Substitution Reaction To Construct α-Functionalized Tetrahydroquinolines by the Strategy of in Situ Directing Group Formation | Bai, Peng; Li, Ya-Qiong; Huang, Zhi-Zhen | Organic Letters (2017), 19(6), 1374-1377","62-53-3, 75-89-8, 107-18-6, 108-24-7",2085262-91-3,"75-98-9, 142-71-2","12354-85-7, 14104-20-2",75-89-8,,,,,,,1,1,89,,,,,,,"{""1"": 89}","[{""index"": 1, ""cas_rn"": ""62-53-3"", ""smiles"": ""Nc1ccccc1""}, {""index"": 2, ""cas_rn"": ""75-89-8"", ""smiles"": ""OCC(F)(F)F""}, {""index"": 3, ""cas_rn"": ""107-18-6"", ""smiles"": ""C=CCO""}, {""index"": 4, ""cas_rn"": ""108-24-7"", ""smiles"": ""CC(=O)OC(C)=O""}]","[{""index"": 1, ""cas_rn"": ""2085262-91-3"", ""yield_pct"": ""89"", ""smiles"": ""CC(=O)N1c2ccccc2CCC1OCC(F)(F)F""}]","[{""index"": 1, ""cas_rn"": ""75-98-9""}, {""index"": 2, ""cas_rn"": ""142-71-2""}]","[{""index"": 1, ""cas_rn"": ""12354-85-7""}, {""index"": 2, ""cas_rn"": ""14104-20-2""}]","[{""index"": 1, ""cas_rn"": ""75-89-8""}]",,
31-012-CAS-16839136,31-012-CAS-16839136,Reaction_20251106_1106 (1).rdf,Anhydride coupling,91,,,OCC(F)(F)F.Cc1ccc(N)cc1.C=CCO.CC(=O)OC(C)=O,CC(=O)N1c2ccc(C)cc2CCC1OCC(F)(F)F,OCC(F)(F)F.Cc1ccc(N)cc1.C=CCO.CC(=O)OC(C)=O>>CC(=O)N1c2ccc(C)cc2CCC1OCC(F)(F)F,A Four-Component Cascade C-H Functionalization/Cyclization/Nucleophilic Substitution Reaction To Construct α-Functionalized Tetrahydroquinolines by the Strategy of in Situ Directing Group Formation,"Bai, Peng; Li, Ya-Qiong; Huang, Zhi-Zhen","Organic Letters (2017), 19(6), 1374-1377","A Four-Component Cascade C-H Functionalization/Cyclization/Nucleophilic Substitution Reaction To Construct α-Functionalized Tetrahydroquinolines by the Strategy of in Situ Directing Group Formation | Bai, Peng; Li, Ya-Qiong; Huang, Zhi-Zhen | Organic Letters (2017), 19(6), 1374-1377","75-89-8, 106-49-0, 107-18-6, 108-24-7",2085262-92-4,"75-98-9, 142-71-2","12354-85-7, 14104-20-2",75-89-8,,,,,,,1,1,91,,,,,,,"{""1"": 91}","[{""index"": 1, ""cas_rn"": ""75-89-8"", ""smiles"": ""OCC(F)(F)F""}, {""index"": 2, ""cas_rn"": ""106-49-0"", ""smiles"": ""Cc1ccc(N)cc1""}, {""index"": 3, ""cas_rn"": ""107-18-6"", ""smiles"": ""C=CCO""}, {""index"": 4, ""cas_rn"": ""108-24-7"", ""smiles"": ""CC(=O)OC(C)=O""}]","[{""index"": 1, ""cas_rn"": ""2085262-92-4"", ""yield_pct"": ""91"", ""smiles"": ""CC(=O)N1c2ccc(C)cc2CCC1OCC(F)(F)F""}]","[{""index"": 1, ""cas_rn"": ""75-98-9""}, {""index"": 2, ""cas_rn"": ""142-71-2""}]","[{""index"": 1, ""cas_rn"": ""12354-85-7""}, {""index"": 2, ""cas_rn"": ""14104-20-2""}]","[{""index"": 1, ""cas_rn"": ""75-89-8""}]",scalable,
31-012-CAS-16839137,31-012-CAS-16839137,Reaction_20251106_1106 (1).rdf,Anhydride coupling,85,,,OCC(F)(F)F.COc1ccc(N)cc1.C=CCO.CC(=O)OC(C)=O,COc1ccc2c(c1)CCC(OCC(F)(F)F)N2C(C)=O,OCC(F)(F)F.COc1ccc(N)cc1.C=CCO.CC(=O)OC(C)=O>>COc1ccc2c(c1)CCC(OCC(F)(F)F)N2C(C)=O,A Four-Component Cascade C-H Functionalization/Cyclization/Nucleophilic Substitution Reaction To Construct α-Functionalized Tetrahydroquinolines by the Strategy of in Situ Directing Group Formation,"Bai, Peng; Li, Ya-Qiong; Huang, Zhi-Zhen","Organic Letters (2017), 19(6), 1374-1377","A Four-Component Cascade C-H Functionalization/Cyclization/Nucleophilic Substitution Reaction To Construct α-Functionalized Tetrahydroquinolines by the Strategy of in Situ Directing Group Formation | Bai, Peng; Li, Ya-Qiong; Huang, Zhi-Zhen | Organic Letters (2017), 19(6), 1374-1377","75-89-8, 104-94-9, 107-18-6, 108-24-7",2085262-93-5,"75-98-9, 142-71-2","12354-85-7, 14104-20-2",75-89-8,,,,,,,1,1,85,,,,,,,"{""1"": 85}","[{""index"": 1, ""cas_rn"": ""75-89-8"", ""smiles"": ""OCC(F)(F)F""}, {""index"": 2, ""cas_rn"": ""104-94-9"", ""smiles"": ""COc1ccc(N)cc1""}, {""index"": 3, ""cas_rn"": ""107-18-6"", ""smiles"": ""C=CCO""}, {""index"": 4, ""cas_rn"": ""108-24-7"", ""smiles"": ""CC(=O)OC(C)=O""}]","[{""index"": 1, ""cas_rn"": ""2085262-93-5"", ""yield_pct"": ""85"", ""smiles"": ""COc1ccc2c(c1)CCC(OCC(F)(F)F)N2C(C)=O""}]","[{""index"": 1, ""cas_rn"": ""75-98-9""}, {""index"": 2, ""cas_rn"": ""142-71-2""}]","[{""index"": 1, ""cas_rn"": ""12354-85-7""}, {""index"": 2, ""cas_rn"": ""14104-20-2""}]","[{""index"": 1, ""cas_rn"": ""75-89-8""}]",,
31-012-CAS-16839142,31-012-CAS-16839142,Reaction_20251106_1106 (2).rdf,Anhydride coupling,75,,,OCC(F)(F)F.CCOC(=O)c1ccc(N)cc1.C=CCO.CC(=O)OC(C)=O,CCOC(=O)c1ccc2c(c1)CCC(OCC(F)(F)F)N2C(C)=O,OCC(F)(F)F.CCOC(=O)c1ccc(N)cc1.C=CCO.CC(=O)OC(C)=O>>CCOC(=O)c1ccc2c(c1)CCC(OCC(F)(F)F)N2C(C)=O,A Four-Component Cascade C-H Functionalization/Cyclization/Nucleophilic Substitution Reaction To Construct α-Functionalized Tetrahydroquinolines by the Strategy of in Situ Directing Group Formation,"Bai, Peng; Li, Ya-Qiong; Huang, Zhi-Zhen","Organic Letters (2017), 19(6), 1374-1377","A Four-Component Cascade C-H Functionalization/Cyclization/Nucleophilic Substitution Reaction To Construct α-Functionalized Tetrahydroquinolines by the Strategy of in Situ Directing Group Formation | Bai, Peng; Li, Ya-Qiong; Huang, Zhi-Zhen | Organic Letters (2017), 19(6), 1374-1377","75-89-8, 94-09-7, 107-18-6, 108-24-7",2085262-98-0,"75-98-9, 142-71-2","12354-85-7, 14104-20-2",75-89-8,,,,,,,1,1,75,,,,,,,"{""1"": 75}","[{""index"": 1, ""cas_rn"": ""75-89-8"", ""smiles"": ""OCC(F)(F)F""}, {""index"": 2, ""cas_rn"": ""94-09-7"", ""smiles"": ""CCOC(=O)c1ccc(N)cc1""}, {""index"": 3, ""cas_rn"": ""107-18-6"", ""smiles"": ""C=CCO""}, {""index"": 4, ""cas_rn"": ""108-24-7"", ""smiles"": ""CC(=O)OC(C)=O""}]","[{""index"": 1, ""cas_rn"": ""2085262-98-0"", ""yield_pct"": ""75"", ""smiles"": ""CCOC(=O)c1ccc2c(c1)CCC(OCC(F)(F)F)N2C(C)=O""}]","[{""index"": 1, ""cas_rn"": ""75-98-9""}, {""index"": 2, ""cas_rn"": ""142-71-2""}]","[{""index"": 1, ""cas_rn"": ""12354-85-7""}, {""index"": 2, ""cas_rn"": ""14104-20-2""}]","[{""index"": 1, ""cas_rn"": ""75-89-8""}]",,
31-012-CAS-16839146,31-012-CAS-16839146,Reaction_20251106_1106 (2).rdf,Anhydride coupling,78,,,OCC(F)(F)F.Nc1ccc(Cl)cc1.C=CCO.CC(=O)OC(C)=O,CC(=O)N1c2ccc(Cl)cc2CCC1OCC(F)(F)F,OCC(F)(F)F.Nc1ccc(Cl)cc1.C=CCO.CC(=O)OC(C)=O>>CC(=O)N1c2ccc(Cl)cc2CCC1OCC(F)(F)F,A Four-Component Cascade C-H Functionalization/Cyclization/Nucleophilic Substitution Reaction To Construct α-Functionalized Tetrahydroquinolines by the Strategy of in Situ Directing Group Formation,"Bai, Peng; Li, Ya-Qiong; Huang, Zhi-Zhen","Organic Letters (2017), 19(6), 1374-1377","A Four-Component Cascade C-H Functionalization/Cyclization/Nucleophilic Substitution Reaction To Construct α-Functionalized Tetrahydroquinolines by the Strategy of in Situ Directing Group Formation | Bai, Peng; Li, Ya-Qiong; Huang, Zhi-Zhen | Organic Letters (2017), 19(6), 1374-1377","75-89-8, 106-47-8, 107-18-6, 108-24-7",2085263-02-9,"75-98-9, 142-71-2","12354-85-7, 14104-20-2",75-89-8,,,,,,,1,1,78,,,,,,,"{""1"": 78}","[{""index"": 1, ""cas_rn"": ""75-89-8"", ""smiles"": ""OCC(F)(F)F""}, {""index"": 2, ""cas_rn"": ""106-47-8"", ""smiles"": ""Nc1ccc(Cl)cc1""}, {""index"": 3, ""cas_rn"": ""107-18-6"", ""smiles"": ""C=CCO""}, {""index"": 4, ""cas_rn"": ""108-24-7"", ""smiles"": ""CC(=O)OC(C)=O""}]","[{""index"": 1, ""cas_rn"": ""2085263-02-9"", ""yield_pct"": ""78"", ""smiles"": ""CC(=O)N1c2ccc(Cl)cc2CCC1OCC(F)(F)F""}]","[{""index"": 1, ""cas_rn"": ""75-98-9""}, {""index"": 2, ""cas_rn"": ""142-71-2""}]","[{""index"": 1, ""cas_rn"": ""12354-85-7""}, {""index"": 2, ""cas_rn"": ""14104-20-2""}]","[{""index"": 1, ""cas_rn"": ""75-89-8""}]",,
31-012-CAS-16839147,31-012-CAS-16839147,Reaction_20251106_1107.rdf,Anhydride coupling,70,,,OCC(F)(F)F.Nc1ccc(Br)cc1.C=CCO.CC(=O)OC(C)=O,CC(=O)N1c2ccc(Br)cc2CCC1OCC(F)(F)F,OCC(F)(F)F.Nc1ccc(Br)cc1.C=CCO.CC(=O)OC(C)=O>>CC(=O)N1c2ccc(Br)cc2CCC1OCC(F)(F)F,A Four-Component Cascade C-H Functionalization/Cyclization/Nucleophilic Substitution Reaction To Construct α-Functionalized Tetrahydroquinolines by the Strategy of in Situ Directing Group Formation,"Bai, Peng; Li, Ya-Qiong; Huang, Zhi-Zhen","Organic Letters (2017), 19(6), 1374-1377","A Four-Component Cascade C-H Functionalization/Cyclization/Nucleophilic Substitution Reaction To Construct α-Functionalized Tetrahydroquinolines by the Strategy of in Situ Directing Group Formation | Bai, Peng; Li, Ya-Qiong; Huang, Zhi-Zhen | Organic Letters (2017), 19(6), 1374-1377","75-89-8, 106-40-1, 107-18-6, 108-24-7",2085263-03-0,"75-98-9, 142-71-2","12354-85-7, 14104-20-2",75-89-8,,,,,,,1,1,70,,,,,,,"{""1"": 70}","[{""index"": 1, ""cas_rn"": ""75-89-8"", ""smiles"": ""OCC(F)(F)F""}, {""index"": 2, ""cas_rn"": ""106-40-1"", ""smiles"": ""Nc1ccc(Br)cc1""}, {""index"": 3, ""cas_rn"": ""107-18-6"", ""smiles"": ""C=CCO""}, {""index"": 4, ""cas_rn"": ""108-24-7"", ""smiles"": ""CC(=O)OC(C)=O""}]","[{""index"": 1, ""cas_rn"": ""2085263-03-0"", ""yield_pct"": ""70"", ""smiles"": ""CC(=O)N1c2ccc(Br)cc2CCC1OCC(F)(F)F""}]","[{""index"": 1, ""cas_rn"": ""75-98-9""}, {""index"": 2, ""cas_rn"": ""142-71-2""}]","[{""index"": 1, ""cas_rn"": ""12354-85-7""}, {""index"": 2, ""cas_rn"": ""14104-20-2""}]","[{""index"": 1, ""cas_rn"": ""75-89-8""}]",,
31-012-CAS-16839156,31-012-CAS-16839156,Reaction_20251106_1106 (2).rdf,Anhydride coupling,73,,,Cc1ccc(N)cc1.C=CCO.CC(=O)OC(C)=O.OCC(F)F,CC(=O)N1c2ccc(C)cc2CCC1OCC(F)F,Cc1ccc(N)cc1.C=CCO.CC(=O)OC(C)=O.OCC(F)F>>CC(=O)N1c2ccc(C)cc2CCC1OCC(F)F,A Four-Component Cascade C-H Functionalization/Cyclization/Nucleophilic Substitution Reaction To Construct α-Functionalized Tetrahydroquinolines by the Strategy of in Situ Directing Group Formation,"Bai, Peng; Li, Ya-Qiong; Huang, Zhi-Zhen","Organic Letters (2017), 19(6), 1374-1377","A Four-Component Cascade C-H Functionalization/Cyclization/Nucleophilic Substitution Reaction To Construct α-Functionalized Tetrahydroquinolines by the Strategy of in Situ Directing Group Formation | Bai, Peng; Li, Ya-Qiong; Huang, Zhi-Zhen | Organic Letters (2017), 19(6), 1374-1377","106-49-0, 107-18-6, 108-24-7, 359-13-7",2085263-09-6,"75-98-9, 142-71-2","12354-85-7, 14104-20-2",359-13-7,,,,,,,1,1,73,,,,,,,"{""1"": 73}","[{""index"": 1, ""cas_rn"": ""106-49-0"", ""smiles"": ""Cc1ccc(N)cc1""}, {""index"": 2, ""cas_rn"": ""107-18-6"", ""smiles"": ""C=CCO""}, {""index"": 3, ""cas_rn"": ""108-24-7"", ""smiles"": ""CC(=O)OC(C)=O""}, {""index"": 4, ""cas_rn"": ""359-13-7"", ""smiles"": ""OCC(F)F""}]","[{""index"": 1, ""cas_rn"": ""2085263-09-6"", ""yield_pct"": ""73"", ""smiles"": ""CC(=O)N1c2ccc(C)cc2CCC1OCC(F)F""}]","[{""index"": 1, ""cas_rn"": ""75-98-9""}, {""index"": 2, ""cas_rn"": ""142-71-2""}]","[{""index"": 1, ""cas_rn"": ""12354-85-7""}, {""index"": 2, ""cas_rn"": ""14104-20-2""}]","[{""index"": 1, ""cas_rn"": ""359-13-7""}]",,
31-012-CAS-16839160,31-012-CAS-16839160,Reaction_20251106_1106 (1).rdf,Anhydride coupling,85,,,CC(C)(C)CO.Cc1ccc(N)cc1.C=CCO.CC(=O)OC(C)=O,CC(=O)N1c2ccc(C)cc2CCC1OCC(C)(C)C,CC(C)(C)CO.Cc1ccc(N)cc1.C=CCO.CC(=O)OC(C)=O>>CC(=O)N1c2ccc(C)cc2CCC1OCC(C)(C)C,A Four-Component Cascade C-H Functionalization/Cyclization/Nucleophilic Substitution Reaction To Construct α-Functionalized Tetrahydroquinolines by the Strategy of in Situ Directing Group Formation,"Bai, Peng; Li, Ya-Qiong; Huang, Zhi-Zhen","Organic Letters (2017), 19(6), 1374-1377","A Four-Component Cascade C-H Functionalization/Cyclization/Nucleophilic Substitution Reaction To Construct α-Functionalized Tetrahydroquinolines by the Strategy of in Situ Directing Group Formation | Bai, Peng; Li, Ya-Qiong; Huang, Zhi-Zhen | Organic Letters (2017), 19(6), 1374-1377","75-84-3, 106-49-0, 107-18-6, 108-24-7",2085263-17-6,"75-98-9, 142-71-2","12354-85-7, 14104-20-2",123-91-1,,,,,,,1,1,85,,,,,,,"{""1"": 85}","[{""index"": 1, ""cas_rn"": ""75-84-3"", ""smiles"": ""CC(C)(C)CO""}, {""index"": 2, ""cas_rn"": ""106-49-0"", ""smiles"": ""Cc1ccc(N)cc1""}, {""index"": 3, ""cas_rn"": ""107-18-6"", ""smiles"": ""C=CCO""}, {""index"": 4, ""cas_rn"": ""108-24-7"", ""smiles"": ""CC(=O)OC(C)=O""}]","[{""index"": 1, ""cas_rn"": ""2085263-17-6"", ""yield_pct"": ""85"", ""smiles"": ""CC(=O)N1c2ccc(C)cc2CCC1OCC(C)(C)C""}]","[{""index"": 1, ""cas_rn"": ""75-98-9""}, {""index"": 2, ""cas_rn"": ""142-71-2""}]","[{""index"": 1, ""cas_rn"": ""12354-85-7""}, {""index"": 2, ""cas_rn"": ""14104-20-2""}]","[{""index"": 1, ""cas_rn"": ""123-91-1""}]",,
31-012-CAS-16839161,31-012-CAS-16839161,Reaction_20251106_1106 (2).rdf,Anhydride coupling,73,,,Cc1ccc(N)cc1.C=CCO.CC(=O)OC(C)=O.OCC1CC1,CC(=O)N1c2ccc(C)cc2CCC1OCC1CC1,Cc1ccc(N)cc1.C=CCO.CC(=O)OC(C)=O.OCC1CC1>>CC(=O)N1c2ccc(C)cc2CCC1OCC1CC1,A Four-Component Cascade C-H Functionalization/Cyclization/Nucleophilic Substitution Reaction To Construct α-Functionalized Tetrahydroquinolines by the Strategy of in Situ Directing Group Formation,"Bai, Peng; Li, Ya-Qiong; Huang, Zhi-Zhen","Organic Letters (2017), 19(6), 1374-1377","A Four-Component Cascade C-H Functionalization/Cyclization/Nucleophilic Substitution Reaction To Construct α-Functionalized Tetrahydroquinolines by the Strategy of in Situ Directing Group Formation | Bai, Peng; Li, Ya-Qiong; Huang, Zhi-Zhen | Organic Letters (2017), 19(6), 1374-1377","106-49-0, 107-18-6, 108-24-7, 2516-33-8",2085263-18-7,"75-98-9, 142-71-2","12354-85-7, 14104-20-2",2516-33-8,,,,,,,1,1,73,,,,,,,"{""1"": 73}","[{""index"": 1, ""cas_rn"": ""106-49-0"", ""smiles"": ""Cc1ccc(N)cc1""}, {""index"": 2, ""cas_rn"": ""107-18-6"", ""smiles"": ""C=CCO""}, {""index"": 3, ""cas_rn"": ""108-24-7"", ""smiles"": ""CC(=O)OC(C)=O""}, {""index"": 4, ""cas_rn"": ""2516-33-8"", ""smiles"": ""OCC1CC1""}]","[{""index"": 1, ""cas_rn"": ""2085263-18-7"", ""yield_pct"": ""73"", ""smiles"": ""CC(=O)N1c2ccc(C)cc2CCC1OCC1CC1""}]","[{""index"": 1, ""cas_rn"": ""75-98-9""}, {""index"": 2, ""cas_rn"": ""142-71-2""}]","[{""index"": 1, ""cas_rn"": ""12354-85-7""}, {""index"": 2, ""cas_rn"": ""14104-20-2""}]","[{""index"": 1, ""cas_rn"": ""2516-33-8""}]",,
31-012-CAS-16839166,31-012-CAS-16839166,Reaction_20251106_1106 (2).rdf,Anhydride coupling,78,,,Cc1ccc(N)cc1.C=CCO.CC(=O)OC(C)=O.OC1CCCCC1,CC(=O)N1c2ccc(C)cc2CCC1OC1CCCCC1,Cc1ccc(N)cc1.C=CCO.CC(=O)OC(C)=O.OC1CCCCC1>>CC(=O)N1c2ccc(C)cc2CCC1OC1CCCCC1,A Four-Component Cascade C-H Functionalization/Cyclization/Nucleophilic Substitution Reaction To Construct α-Functionalized Tetrahydroquinolines by the Strategy of in Situ Directing Group Formation,"Bai, Peng; Li, Ya-Qiong; Huang, Zhi-Zhen","Organic Letters (2017), 19(6), 1374-1377","A Four-Component Cascade C-H Functionalization/Cyclization/Nucleophilic Substitution Reaction To Construct α-Functionalized Tetrahydroquinolines by the Strategy of in Situ Directing Group Formation | Bai, Peng; Li, Ya-Qiong; Huang, Zhi-Zhen | Organic Letters (2017), 19(6), 1374-1377","106-49-0, 107-18-6, 108-24-7, 108-93-0",2085263-23-4,"75-98-9, 142-71-2","12354-85-7, 14104-20-2",108-93-0,,,,,,,1,1,78,,,,,,,"{""1"": 78}","[{""index"": 1, ""cas_rn"": ""106-49-0"", ""smiles"": ""Cc1ccc(N)cc1""}, {""index"": 2, ""cas_rn"": ""107-18-6"", ""smiles"": ""C=CCO""}, {""index"": 3, ""cas_rn"": ""108-24-7"", ""smiles"": ""CC(=O)OC(C)=O""}, {""index"": 4, ""cas_rn"": ""108-93-0"", ""smiles"": ""OC1CCCCC1""}]","[{""index"": 1, ""cas_rn"": ""2085263-23-4"", ""yield_pct"": ""78"", ""smiles"": ""CC(=O)N1c2ccc(C)cc2CCC1OC1CCCCC1""}]","[{""index"": 1, ""cas_rn"": ""75-98-9""}, {""index"": 2, ""cas_rn"": ""142-71-2""}]","[{""index"": 1, ""cas_rn"": ""12354-85-7""}, {""index"": 2, ""cas_rn"": ""14104-20-2""}]","[{""index"": 1, ""cas_rn"": ""108-93-0""}]",,
