reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-012-CAS-20124655,31-012-CAS-20124655,Reaction_20251111_1650.rdf,Appel halogenation,82,,,COc1cccc(C(=O)N2CCC(COc3ccc(CO)cc3)CC2)c1,COc1cccc(C(=O)N2CCC(COc3ccc(COCc4ccc(OCC5CCN(C(=O)c6cccc(OC)c6)CC5)cc4)cc3)CC2)c1.COc1cccc(C(=O)N2CCC(COc3ccc(CCl)cc3)CC2)c1,COc1cccc(C(=O)N2CCC(COc3ccc(CO)cc3)CC2)c1>>COc1cccc(C(=O)N2CCC(COc3ccc(COCc4ccc(OCC5CCN(C(=O)c6cccc(OC)c6)CC5)cc4)cc3)CC2)c1.COc1cccc(C(=O)N2CCC(COc3ccc(CCl)cc3)CC2)c1,In Pursuit of Fluorinated Sigma Receptor Ligand Candidates Related to [18F]-FPS*,"Jwad, Rasha S.; Pang, Alan H. C.; Hunter, Luke; Read, Roger W.","Australian Journal of Chemistry (2019), 72(3), 213-225","In Pursuit of Fluorinated Sigma Receptor Ligand Candidates Related to [18F]-FPS* | Jwad, Rasha S.; Pang, Alan H. C.; Hunter, Luke; Read, Roger W. | Australian Journal of Chemistry (2019), 72(3), 213-225",2304548-96-5,"2304549-01-5, 2304549-03-7","121-44-8, 124-63-0",,75-09-2,,,,,,,1,1,,82,,,,,,"{""2"": 82}","[{""index"": 1, ""cas_rn"": ""2304548-96-5"", ""smiles"": ""COc1cccc(C(=O)N2CCC(COc3ccc(CO)cc3)CC2)c1""}]","[{""index"": 1, ""cas_rn"": ""2304549-01-5"", ""smiles"": ""COc1cccc(C(=O)N2CCC(COc3ccc(COCc4ccc(OCC5CCN(C(=O)c6cccc(OC)c6)CC5)cc4)cc3)CC2)c1""}, {""index"": 2, ""cas_rn"": ""2304549-03-7"", ""yield_pct"": ""82"", ""smiles"": ""COc1cccc(C(=O)N2CCC(COc3ccc(CCl)cc3)CC2)c1""}]","[{""index"": 1, ""cas_rn"": ""121-44-8""}, {""index"": 2, ""cas_rn"": ""124-63-0""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",,
31-012-CAS-20124656,31-012-CAS-20124656,Reaction_20251111_1650.rdf,Appel halogenation,76,,,COc1ccc(C(=O)N2CCC(COc3ccc(CO)cc3)CC2)cc1,COc1ccc(C(=O)N2CCC(COc3ccc(CCl)cc3)CC2)cc1.COc1ccc(C(=O)N2CCC(COc3ccc(COCc4ccc(OCC5CCN(C(=O)c6ccc(OC)cc6)CC5)cc4)cc3)CC2)cc1,COc1ccc(C(=O)N2CCC(COc3ccc(CO)cc3)CC2)cc1>>COc1ccc(C(=O)N2CCC(COc3ccc(CCl)cc3)CC2)cc1.COc1ccc(C(=O)N2CCC(COc3ccc(COCc4ccc(OCC5CCN(C(=O)c6ccc(OC)cc6)CC5)cc4)cc3)CC2)cc1,In Pursuit of Fluorinated Sigma Receptor Ligand Candidates Related to [18F]-FPS*,"Jwad, Rasha S.; Pang, Alan H. C.; Hunter, Luke; Read, Roger W.","Australian Journal of Chemistry (2019), 72(3), 213-225","In Pursuit of Fluorinated Sigma Receptor Ligand Candidates Related to [18F]-FPS* | Jwad, Rasha S.; Pang, Alan H. C.; Hunter, Luke; Read, Roger W. | Australian Journal of Chemistry (2019), 72(3), 213-225",2304548-97-6,"2304548-99-8, 2304549-00-4","121-44-8, 124-63-0",,75-09-2,,,,,,,1,1,76,,,,,,,"{""1"": 76}","[{""index"": 1, ""cas_rn"": ""2304548-97-6"", ""smiles"": ""COc1ccc(C(=O)N2CCC(COc3ccc(CO)cc3)CC2)cc1""}]","[{""index"": 1, ""cas_rn"": ""2304548-99-8"", ""yield_pct"": ""76"", ""smiles"": ""COc1ccc(C(=O)N2CCC(COc3ccc(CCl)cc3)CC2)cc1""}, {""index"": 2, ""cas_rn"": ""2304549-00-4"", ""smiles"": ""COc1ccc(C(=O)N2CCC(COc3ccc(COCc4ccc(OCC5CCN(C(=O)c6ccc(OC)cc6)CC5)cc4)cc3)CC2)cc1""}]","[{""index"": 1, ""cas_rn"": ""121-44-8""}, {""index"": 2, ""cas_rn"": ""124-63-0""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",,
31-048-CAS-10500392,31-048-CAS-10500392,Reaction_20251111_1650.rdf,Appel halogenation,98,,,COC(=O)c1ccc(CO)cc1,COC(=O)c1ccc(CCl)cc1,COC(=O)c1ccc(CO)cc1>>COC(=O)c1ccc(CCl)cc1,The use of bromotrichloromethane in chlorination reactions,"Newman, Stephen G.; Bryan, Christopher S.; Perez, Didier; Lautens, Mark","Synthesis (2011), (2), 342-346","The use of bromotrichloromethane in chlorination reactions | Newman, Stephen G.; Bryan, Christopher S.; Perez, Didier; Lautens, Mark | Synthesis (2011), (2), 342-346",6908-41-4,34040-64-7,"75-62-7, 603-35-0",,75-09-2,,,,,,"General/Typical Procedure: Benzyl Chlorides 4 from Alcohols 3; General Procedure B: Ph3P (3 equiv) and CH2Cl2 (2 mL per 3.0 mmol Ph3P) were added to a flask equipped with a magnetic stir bar. CBrCl3 (1.2 equiv) was added, the flask was closed with a septum, and the mixture was stirred under air at r.t. for 40 min, during which the colorless soln turned deep brown. A soln of the requisite alcohol 3 (1.0 equiv) in CH2Cl2 (3 mL per 1.0 mmol alcohol) was added dropwise, and the mixture was stirred at r.t. until the starting material had been consumed (as indicated by TLC; approximately 10 min). The mixture was diluted with a Et2O-pentane mixture (3:1) until solid Ph3PO began to precipitate. The heterogeneous mixture was then filtered through a pad of silica gel, which was rinsed with a Et2O-pentane mixture (3:1). Rotary evaporation provided clean 4 after most reactions, as indicated by 1H NMR spectroscopy. The products were purified additionally by flash chromatography. The product was purified by flash column chromatography (silica gel, pentane); this provided 4a. Methyl 4-(Chloromethyl)benzoate (4b): General procedure B was followed (5 mmol scale). The product was purified by flash column chromatography (silica gel, Et2O-pentane, 5:95); this provided 4b as a white solid, yield 910 mg, 98%. mp 38-39°C (Lit.15 39-40°C). 1H NMR (400 MHz, CDCl3): δ = 8.04 (d, J = 8.3 Hz, 2 H), 7.47 (d, J = 8.3 Hz, 2 H), 4.62 (s, 2 H), 3.92 (s, 3 H). 13C NMR (100 MHz, CDCl3): δ = 166.5, 142.2, 130.1, 130.0, 128.5, 52.2, 45.4.",2,1,98,,,,,,,"{""1"": 98}","[{""index"": 1, ""cas_rn"": ""6908-41-4"", ""smiles"": ""COC(=O)c1ccc(CO)cc1""}]","[{""index"": 1, ""cas_rn"": ""34040-64-7"", ""yield_pct"": ""98"", ""smiles"": ""COC(=O)c1ccc(CCl)cc1""}]","[{""index"": 1, ""cas_rn"": ""75-62-7""}, {""index"": 2, ""cas_rn"": ""603-35-0""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",Appel reaction,
31-048-CAS-10742547,31-048-CAS-10742547,Reaction_20251111_1650.rdf,Appel halogenation,84,,,CCCCCCC#CC#CCO,CCCCCCC#CC#CCBr,CCCCCCC#CC#CCO>>CCCCCCC#CC#CCBr,"A mild and efficient method for bromination of alcohols using α,α-dibromo-β-dicarbonyl compounds as halogen sources","Cui, Xiao-Meng; Guan, Yong-Hong; Li, Na; Lv, Hao; Fu, Lin-An; Guo, Kun; Fan, Xiaohui","Tetrahedron Letters (2014), 55(1), 90-93","A mild and efficient method for bromination of alcohols using α,α-dibromo-β-dicarbonyl compounds as halogen sources | Cui, Xiao-Meng; Guan, Yong-Hong; Li, Na; Lv, Hao; Fu, Lin-An; Guo, Kun; Fan, Xiaohui | Tetrahedron Letters (2014), 55(1), 90-93",171667-56-4,108294-12-8,"603-35-0, 89415-67-8, 7732-18-5",,107-06-2,,,,,,,2,1,84,,,,,,,"{""1"": 84}","[{""index"": 1, ""cas_rn"": ""171667-56-4"", ""smiles"": ""CCCCCCC#CC#CCO""}]","[{""index"": 1, ""cas_rn"": ""108294-12-8"", ""yield_pct"": ""84"", ""smiles"": ""CCCCCCC#CC#CCBr""}]","[{""index"": 1, ""cas_rn"": ""603-35-0""}, {""index"": 2, ""cas_rn"": ""89415-67-8""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}]",[],"[{""index"": 1, ""cas_rn"": ""107-06-2""}]",mechanism studied,
31-048-CAS-10846910,31-048-CAS-10846910,Reaction_20251111_1650.rdf,Appel halogenation,80,,,C[C@]12CC[C@@H]3c4ccc(OCc5ccccc5)cc4CC[C@H]3[C@@H]1C[C@H](CO)[C@H]2O,C[C@]12CC[C@@H]3c4ccc(OCc5ccccc5)cc4CC[C@H]3[C@@H]1C[C@H](CBr)[C@H]2O,C[C@]12CC[C@@H]3c4ccc(OCc5ccccc5)cc4CC[C@H]3[C@@H]1C[C@H](CO)[C@H]2O>>C[C@]12CC[C@@H]3c4ccc(OCc5ccccc5)cc4CC[C@H]3[C@@H]1C[C@H](CBr)[C@H]2O,"Neighboring group participation. Part 16. Stereoselective synthesis and receptor-binding examination of the four stereoisomers of 16-bromomethyl-3,17-estradiols","Szajli, Agota; Woelfling, Janos; Mernyak, Erzsebet; Minorics, Renata; Marki, Arpad; Falkay, George; Schneider, Gyula","Steroids (2006), 71(2), 141-153","Neighboring group participation. Part 16. Stereoselective synthesis and receptor-binding examination of the four stereoisomers of 16-bromomethyl-3,17-estradiols | Szajli, Agota; Woelfling, Janos; Mernyak, Erzsebet; Minorics, Renata; Marki, Arpad; Falkay, George; Schneider, Gyula | Steroids (2006), 71(2), 141-153",438536-57-3,925910-80-1,"558-13-4, 603-35-0",,75-09-2,,,,,,,1,1,80,,,,,,,"{""1"": 80}","[{""index"": 1, ""cas_rn"": ""438536-57-3"", ""smiles"": ""C[C@]12CC[C@@H]3c4ccc(OCc5ccccc5)cc4CC[C@H]3[C@@H]1C[C@H](CO)[C@H]2O""}]","[{""index"": 1, ""cas_rn"": ""925910-80-1"", ""yield_pct"": ""80"", ""smiles"": ""C[C@]12CC[C@@H]3c4ccc(OCc5ccccc5)cc4CC[C@H]3[C@@H]1C[C@H](CBr)[C@H]2O""}]","[{""index"": 1, ""cas_rn"": ""558-13-4""}, {""index"": 2, ""cas_rn"": ""603-35-0""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]","regioselective, Appel bromination",
31-048-CAS-10891965,31-048-CAS-10891965,Reaction_20251111_1650.rdf,Appel halogenation,85,,,OCCc1ccccc1Br,BrCCc1ccccc1Br,OCCc1ccccc1Br>>BrCCc1ccccc1Br,"Synthesis of 2,3-Dihydro-1-phenylbenzo[b]phosphole (1-Phenylphosphindane) and Its Use as a Mechanistic Test in the Asymmetric Appel Reaction: Decisive Evidence against Involvement of Pseudorotation in the Stereoselecting Step","Carr, Damien J.; Kudavalli, Jaya Satyanarayana; Dunne, Katherine S.; Muller-Bunz, Helge; Gilheany, Declan G.","Journal of Organic Chemistry (2013), 78(20), 10500-10505","Synthesis of 2,3-Dihydro-1-phenylbenzo[b]phosphole (1-Phenylphosphindane) and Its Use as a Mechanistic Test in the Asymmetric Appel Reaction: Decisive Evidence against Involvement of Pseudorotation in the Stereoselecting Step | Carr, Damien J.; Kudavalli, Jaya Satyanarayana; Dunne, Katherine S.; Muller-Bunz, Helge; Gilheany, Declan G. | Journal of Organic Chemistry (2013), 78(20), 10500-10505",1074-16-4,1074-15-3,"7789-60-8, 144-55-8",,"75-09-2, 7732-18-5",,,,,,"2-(2-Bromophen-1-yl)ethyl Bromide (4).21 The oil from the previous procedure was added to a nitrogen-flushed two-neck roundbottom flask equipped with a condenser. To this neat PBr3 (3.8 mL, 40 mmol, 1.2 equiv) was added slowly via syringe dropwise over 30 min at room temperature. The mixture was heated to 80 °C and stirred at this temperature for 2 h. The solution was then cooled to 0 °C, diluted with DCM (100 mL), quenched with sat. NaHCO3 (2 × 50 mL), and finally washed with distilled H2O (2 × 50 mL). The organic layer was dried over Na2SO4 and concentrated under reduced pressure to an oil. This was purified using flash chromatography on silica (80:20 cyclohexane/ethyl acetate). A clear oil (7.57 g, 85%). In accordance with the literature, used without further purification. 1H NMR (300 MHz, CDCl3): δ 7.5 (d, J = 8.4 Hz, 1H, ArH), 7.27-7.24 (m, 2H, ArH), 7.14-7.08 (m, 1H, ArH), 3.58 (t, J = 7.5 Hz, 2H, Br-CH2 ), 3.28 (t, J = 7.6 Hz, 2H, Ar-CH2 ).",2,1,85,,,,,,,"{""1"": 85}","[{""index"": 1, ""cas_rn"": ""1074-16-4"", ""smiles"": ""OCCc1ccccc1Br""}]","[{""index"": 1, ""cas_rn"": ""1074-15-3"", ""yield_pct"": ""85"", ""smiles"": ""BrCCc1ccccc1Br""}]","[{""index"": 1, ""cas_rn"": ""7789-60-8""}, {""index"": 2, ""cas_rn"": ""144-55-8""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",slow addition of PBr3 (stage 1),
31-048-CAS-10896165,31-048-CAS-10896165,Reaction_20251111_1650.rdf,Appel halogenation,73,,,CCOC(=O)N1C(=O)N(OS(=O)(=O)c2ccc(C)cc2)[C@]23C[C@@H](O)CN2C(=O)c2cccn2[C@H]13,CCOC(=O)N1C(=O)N(OS(=O)(=O)c2ccc(C)cc2)[C@]23C[C@H](Br)CN2C(=O)c2cccn2[C@H]13,CCOC(=O)N1C(=O)N(OS(=O)(=O)c2ccc(C)cc2)[C@]23C[C@@H](O)CN2C(=O)c2cccn2[C@H]13>>CCOC(=O)N1C(=O)N(OS(=O)(=O)c2ccc(C)cc2)[C@]23C[C@H](Br)CN2C(=O)c2cccn2[C@H]13,Enantioselective total synthesis of (-)-dibromophakellstatin,"Zoellinger, Michael; Mayer, Peter; Lindel, Thomas","Synlett (2007), (17), 2756-2758","Enantioselective total synthesis of (-)-dibromophakellstatin | Zoellinger, Michael; Mayer, Peter; Lindel, Thomas | Synlett (2007), (17), 2756-2758",1000612-08-7,1000612-09-8,"558-13-4, 603-35-0",,,,,,,,"First, the secondary alcohol 15 was converted into secondary bromide 16 by treatment with CBr4/PPh3 (Scheme 3).17,18. Compound (+)-16, yield 73%. [α]D 25 +46.1 (c 1.2 mg/10.0 mL, MeOH). TLC (silica, EtOAc): Rf = 0.83. 1H NMR (600 MHz, CDCl3): δ = 1.40 (t, 3 H, 3J = 7.1 Hz, OCH2CH3), 2.42 (s, 3 H, ArCH3), 2.90-3.00 (m, 2 H, CCH2), 3.63 (dd, 1 H, 2J = 11.7 Hz, 3J = 9.9 Hz, NCHH), 4.12-4.18 (m, 1 H, CHBr), 4.42 (dq, 1 H, 2J = 11.5 Hz, 3J = 7.1 Hz, OCHH), 4.44 (dq, 1 H, 2J = 11.5 Hz, 3J = 7.1 Hz, OCHH), 4.53 (dd, 1 H, 2J = 11.7 Hz, 3J = 7.5 Hz, NCHH), 6.05 (s, 1 H, NCHN), 6.36 (dd, 1 H, 3J = 3.6, 3.1 Hz, CHCHCHN), 6.87 (dd, 1 H, 3J = 2.7 Hz, 4J = 1.6 Hz, CHCHCHN), 7.07 (dd, 1 H, 3J = 3.9 Hz, 4J = 1.5 Hz, CHCHCHN), 7.22 [d, 2 H, 3J = 8.3 Hz, MeC(CH)2], 7.61 [d, 2 H, 3J = 8.3 Hz, O2SC(CH)2]. 13C NMR (150 MHz, CDCl3): δ = 14.1 (OCH2CH3), 21.9 (PhCH3), 35.5 (CHBr), 41.7 (CCH2), 53.5 (NCH2), 65.2 (OCH2), 66.3 (NCHN), 83.5 (CCH2), 112.1 (CHCHCHN), 115.3 (CHCHCHN), 123.0 (CHCHCHN), 123.4 (CCHCHCHN), 129.4 [2 C, O2SC(CH)2], 129.5 [MeC(CH)2], 129.9 [2 C, MeC(CH)2], 146.9 [SO2C(CH)2], 149.0 [O(CO)N], 151.0 [N(CO)N], 154.2 [(CO)N]. MS (ESI+, FTMS): m/z (%) = 553/555 (100/94.5) [M + H+]. HRMS (ESI+): m/z calcd for [C21H21 79BrN4O7S + H]: 553.0393; found: 553.0375.",1,1,73,,,,,,,"{""1"": 73}","[{""index"": 1, ""cas_rn"": ""1000612-08-7"", ""smiles"": ""CCOC(=O)N1C(=O)N(OS(=O)(=O)c2ccc(C)cc2)[C@]23C[C@@H](O)CN2C(=O)c2cccn2[C@H]13""}]","[{""index"": 1, ""cas_rn"": ""1000612-09-8"", ""yield_pct"": ""73"", ""smiles"": ""CCOC(=O)N1C(=O)N(OS(=O)(=O)c2ccc(C)cc2)[C@]23C[C@H](Br)CN2C(=O)c2cccn2[C@H]13""}]","[{""index"": 1, ""cas_rn"": ""558-13-4""}, {""index"": 2, ""cas_rn"": ""603-35-0""}]",[],[],"stereoselective, Appel reaction",
31-048-CAS-11038413,31-048-CAS-11038413,Reaction_20251111_1650.rdf,Appel halogenation,99,,,O=C(NCc1cc(F)cc(C(F)(F)F)c1)C(CCO)c1ccc(F)cc1,O=C(NCc1cc(F)cc(C(F)(F)F)c1)C(CCBr)c1ccc(F)cc1,O=C(NCc1cc(F)cc(C(F)(F)F)c1)C(CCO)c1ccc(F)cc1>>O=C(NCc1cc(F)cc(C(F)(F)F)c1)C(CCBr)c1ccc(F)cc1,Synthesis and biological evaluation of spirocyclic antagonists of CCR2 (chemokine CC receptor subtype 2),"Strunz, Ann Kathrin; Zweemer, Annelien J. M.; Weiss, Christina; Schepmann, Dirk; Junker, Anna; Heitman, Laura H.; Koch, Michael; Wuensch, Bernhard","Bioorganic & Medicinal Chemistry (2015), 23(14), 4034-4049","Synthesis and biological evaluation of spirocyclic antagonists of CCR2 (chemokine CC receptor subtype 2) | Strunz, Ann Kathrin; Zweemer, Annelien J. M.; Weiss, Christina; Schepmann, Dirk; Junker, Anna; Heitman, Laura H.; Koch, Michael; Wuensch, Bernhard | Bioorganic & Medicinal Chemistry (2015), 23(14), 4034-4049",1679331-18-0,1679331-14-6,"558-13-4, 603-35-0",,75-05-8,,,,,,,1,1,99,,,,,,,"{""1"": 99}","[{""index"": 1, ""cas_rn"": ""1679331-18-0"", ""smiles"": ""O=C(NCc1cc(F)cc(C(F)(F)F)c1)C(CCO)c1ccc(F)cc1""}]","[{""index"": 1, ""cas_rn"": ""1679331-14-6"", ""yield_pct"": ""99"", ""smiles"": ""O=C(NCc1cc(F)cc(C(F)(F)F)c1)C(CCBr)c1ccc(F)cc1""}]","[{""index"": 1, ""cas_rn"": ""558-13-4""}, {""index"": 2, ""cas_rn"": ""603-35-0""}]",[],"[{""index"": 1, ""cas_rn"": ""75-05-8""}]","solid-supported reagent, Appel reaction, triphenylphosphine supported on unspecified polymer",
31-048-CAS-11229876,31-048-CAS-11229876,Reaction_20251111_1650.rdf,Appel halogenation,95,,,CCOC(=O)[C@H](C)O,CCOC(=O)[C@@H](C)Cl,CCOC(=O)[C@H](C)O>>CCOC(=O)[C@@H](C)Cl,Catalytic Phosphorus(V)-Mediated Nucleophilic Substitution Reactions: Development of a Catalytic Appel Reaction,"Denton, Ross M.; An, Jie; Adeniran, Beatrice; Blake, Alexander J.; Lewis, William; Poulton, Andrew M.","Journal of Organic Chemistry (2011), 76(16), 6749-6767","Catalytic Phosphorus(V)-Mediated Nucleophilic Substitution Reactions: Development of a Catalytic Appel Reaction | Denton, Ross M.; An, Jie; Adeniran, Beatrice; Blake, Alexander J.; Lewis, William; Poulton, Andrew M. | Journal of Organic Chemistry (2011), 76(16), 6749-6767",687-47-8,42411-39-2,79-37-8,791-28-6,67-66-3,,,,,,"General/Typical Procedure: 1-Chlorodecane (8a): General Procedure 2. To a solution of triphenylphosphine oxide (42 mg, 0.15 mmol) in either CHCl3 or CDCl3 (1.5 mL) was added oxalyl chloride (15.0 μL, 0.177 mmol), and the reaction mixture was stirred for 5 min. The appropriate alcoho (1.00 equiv) and oxalyl chloride (87.0 μL, 1.03 mmol) as solutions in either CHCl3 or CDCl3 (1.0 mL) were then added simultaneously over 7 h via syringe pump at rt. The solvent was removed in vacuo. Purification by flash chromatography (silica, 5-100% Et2O/petroleum ether) gave the pure chlorides. (R)-2-Chloropropanoic Acid Ethyl Ester (8d) as a colorless oil, yield 130 mg, 95%. 1H NMR (400 MHz, CDCl3) δ 4.37 (q, J = 7.0 Hz, 1H, ClCH), 4.21 (q, J = 7.2 Hz, 2H, H2CCH3), 1.67 (d, J = 7.0 Hz, 3H, H3CCHCl), 1.29 (t, J = 7.2 Hz, 2H, H2CCH3); 13C NMR (100 MHz, CDCl3) δ 170.1, 62.0, 52.6, 21.5, 14.0.",2,1,95,,,,,,,"{""1"": 95}","[{""index"": 1, ""cas_rn"": ""687-47-8"", ""smiles"": ""CCOC(=O)[C@H](C)O""}]","[{""index"": 1, ""cas_rn"": ""42411-39-2"", ""yield_pct"": ""95"", ""smiles"": ""CCOC(=O)[C@@H](C)Cl""}]","[{""index"": 1, ""cas_rn"": ""79-37-8""}]","[{""index"": 1, ""cas_rn"": ""791-28-6""}]","[{""index"": 1, ""cas_rn"": ""67-66-3""}]","stereoselective, Appel reaction, slow simultaneous addition of alcohol and oxalyl chloride stage 2",
31-048-CAS-11270847,31-048-CAS-11270847,Reaction_20251111_1650.rdf,Appel halogenation,12,,,CC(=O)O.C[C@]12CC[C@@H]3c4ccc(OCc5ccccc5)cc4CC[C@H]3[C@@H]1C[C@H](CO)[C@@H]2O,CC(=O)OC[C@H]1C[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]2(C)[C@H]1OC(C)=O.CC(=O)O[C@H]1[C@@H](CBr)C[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,CC(=O)O.C[C@]12CC[C@@H]3c4ccc(OCc5ccccc5)cc4CC[C@H]3[C@@H]1C[C@H](CO)[C@@H]2O>>CC(=O)OC[C@H]1C[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]2(C)[C@H]1OC(C)=O.CC(=O)O[C@H]1[C@@H](CBr)C[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,"Neighboring group participation. Part 16. Stereoselective synthesis and receptor-binding examination of the four stereoisomers of 16-bromomethyl-3,17-estradiols","Szajli, Agota; Woelfling, Janos; Mernyak, Erzsebet; Minorics, Renata; Marki, Arpad; Falkay, George; Schneider, Gyula","Steroids (2006), 71(2), 141-153","Neighboring group participation. Part 16. Stereoselective synthesis and receptor-binding examination of the four stereoisomers of 16-bromomethyl-3,17-estradiols | Szajli, Agota; Woelfling, Janos; Mernyak, Erzsebet; Minorics, Renata; Marki, Arpad; Falkay, George; Schneider, Gyula | Steroids (2006), 71(2), 141-153","64-19-7, 438536-55-1","925910-85-6, 925910-89-0",10035-10-6,,64-19-7,,,,,,,1,1,12,75,,,,,,"{""1"": 12, ""2"": 75}","[{""index"": 1, ""cas_rn"": ""64-19-7"", ""smiles"": ""CC(=O)O""}, {""index"": 2, ""cas_rn"": ""438536-55-1"", ""smiles"": ""C[C@]12CC[C@@H]3c4ccc(OCc5ccccc5)cc4CC[C@H]3[C@@H]1C[C@H](CO)[C@@H]2O""}]","[{""index"": 1, ""cas_rn"": ""925910-85-6"", ""yield_pct"": ""12"", ""smiles"": ""CC(=O)OC[C@H]1C[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]2(C)[C@H]1OC(C)=O""}, {""index"": 2, ""cas_rn"": ""925910-89-0"", ""yield_pct"": ""75"", ""smiles"": ""CC(=O)O[C@H]1[C@@H](CBr)C[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C""}]","[{""index"": 1, ""cas_rn"": ""10035-10-6""}]",[],"[{""index"": 1, ""cas_rn"": ""64-19-7""}]","regioselective, stereoselective",
31-048-CAS-1136610,31-048-CAS-1136610,Reaction_20251111_1650.rdf,Appel halogenation,73,,,OC1C=CCCC1,BrC1C=CCCC1,OC1C=CCCC1>>BrC1C=CCCC1,Catalytic Phosphorus(V)-Mediated Nucleophilic Substitution Reactions: Development of a Catalytic Appel Reaction,"Denton, Ross M.; An, Jie; Adeniran, Beatrice; Blake, Alexander J.; Lewis, William; Poulton, Andrew M.","Journal of Organic Chemistry (2011), 76(16), 6749-6767","Catalytic Phosphorus(V)-Mediated Nucleophilic Substitution Reactions: Development of a Catalytic Appel Reaction | Denton, Ross M.; An, Jie; Adeniran, Beatrice; Blake, Alexander J.; Lewis, William; Poulton, Andrew M. | Journal of Organic Chemistry (2011), 76(16), 6749-6767",822-67-3,1521-51-3,"79-37-8, 7550-35-8",791-28-6,67-66-3,,,,,,"General/Typical Procedure: General Procedure 3. To a solution of triphenylphosphine oxide (42 mg, 0.15 mmol) in either CHCl3 or CDCl3 (1.5 mL) were added oxalyl chloride (16.5 μL, 0.195mmol) and LiBr (130-304mg, 1.50-3.50 mmol), and the reaction mixture stirred for 5 min. The appropriate alcohol (1.00 equiv) and oxalyl chloride (93.5 μL, 1.11 mmol) as solutions in either CHCl3 or CDCl3 (1.0 mL) were then added simultaneously over 5 h via syringe pump at rt. The reaction mixture was filtered. The solvent was removed in vacuo. Further purification by flash chromatography (silica, 5-10% Et2O/petroleum ether) gave the pure bromides. Bromocyclohexene (11k), yield 118 mg, 73%. 1H NMR (400 MHz, CDCl3) δ 5.95-5.89 (m, 1H, HC=CHCHCBr), 5.85-5.79 (m, 1H, HC=CHCHBr), 4.85 (m, 1H, HC=CHCHBr), 2.28-1.61 (m, 6H, CH2CH2CH2CH=CH); 13C NMR (100 MHz, CDCl3) δ 131.1, 128.9, 49.1, 32.7, 24.7, 18.6.",2,1,73,,,,,,,"{""1"": 73}","[{""index"": 1, ""cas_rn"": ""822-67-3"", ""smiles"": ""OC1C=CCCC1""}]","[{""index"": 1, ""cas_rn"": ""1521-51-3"", ""yield_pct"": ""73"", ""smiles"": ""BrC1C=CCCC1""}]","[{""index"": 1, ""cas_rn"": ""79-37-8""}, {""index"": 2, ""cas_rn"": ""7550-35-8""}]","[{""index"": 1, ""cas_rn"": ""791-28-6""}]","[{""index"": 1, ""cas_rn"": ""67-66-3""}]","Appel reaction, slow simultaneous addition of alcohol and oxalyl chloride stage 2",
