reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-116-CAS-1698613,31-116-CAS-1698613,1.rdf,Brown Hydroboration,100,,,[2H]/C=C/C(C)(C)C.Fc1c(F)c(F)c(Bc2c(F)c(F)c(F)c(F)c2F)c(F)c1F,[2H][C@@H](B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)[C@H]([2H])C(C)(C)C,[2H]/C=C/C(C)(C)C.Fc1c(F)c(F)c(Bc2c(F)c(F)c(F)c(F)c2F)c(F)c1F>>[2H][C@@H](B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)[C@H]([2H])C(C)(C)C,"Bis(pentafluorophenyl)borane: synthesis, properties, and hydroboration chemistry of a highly electrophilic borane reagent","Parks, Daniel J.; von H. Spence, Rupert E.; Piers, Warren E.","Angewandte Chemie, International Edition in English (1995), 34(7), 809-11","Bis(pentafluorophenyl)borane: synthesis, properties, and hydroboration chemistry of a highly electrophilic borane reagent | Parks, Daniel J.; von H. Spence, Rupert E.; Piers, Warren E. | Angewandte Chemie, International Edition in English (1995), 34(7), 809-11","57002-05-8, 165612-94-2",165612-87-3,,,71-43-2,,,,,,,1,1,100,,,,,,,"{""1"": 100}","[{""index"": 1, ""cas_rn"": ""57002-05-8"", ""smiles"": ""[2H]/C=C/C(C)(C)C""}, {""index"": 2, ""cas_rn"": ""165612-94-2"", ""smiles"": ""Fc1c(F)c(F)c(Bc2c(F)c(F)c(F)c(F)c2F)c(F)c1F""}]","[{""index"": 1, ""cas_rn"": ""165612-87-3"", ""yield_pct"": ""100"", ""smiles"": ""[2H][C@@H](B(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F)[C@H]([2H])C(C)(C)C""}]",[],[],"[{""index"": 1, ""cas_rn"": ""71-43-2""}]","regioselective, stereoselective, ultrasound",
31-116-CAS-19148395,31-116-CAS-19148395,Reaction_20251104_1608 (2).rdf,Brown Hydroboration,84,,,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.C(=C\c1ccccc1)/c1ccccc1,[2H]C(Cc1ccccc1)(B1OC(C)(C)C(C)(C)O1)c1ccccc1,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.C(=C\c1ccccc1)/c1ccccc1>>[2H]C(Cc1ccccc1)(B1OC(C)(C)C(C)(C)O1)c1ccccc1,Ni-catalyzed hydroboration and hydrosilylation of olefins with diboron and silylborane,"Kamei, Toshiyuki; Nishino, Sohshi; Shimada, Toyoshi","Tetrahedron Letters (2018), 59(30), 2896-2899","Ni-catalyzed hydroboration and hydrosilylation of olefins with diboron and silylborane | Kamei, Toshiyuki; Nishino, Sohshi; Shimada, Toyoshi | Tetrahedron Letters (2018), 59(30), 2896-2899","73183-34-3, 103-30-0",2231198-01-7,7789-20-0,"1295-35-8, 2622-14-2",108-88-3,,,,,,,2,1,84,,,,,,,"{""1"": 84}","[{""index"": 1, ""cas_rn"": ""73183-34-3"", ""smiles"": ""CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C""}, {""index"": 2, ""cas_rn"": ""103-30-0"", ""smiles"": ""C(=C\\c1ccccc1)/c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""2231198-01-7"", ""yield_pct"": ""84"", ""smiles"": ""[2H]C(Cc1ccccc1)(B1OC(C)(C)C(C)(C)O1)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""7789-20-0""}]","[{""index"": 1, ""cas_rn"": ""1295-35-8""}, {""index"": 2, ""cas_rn"": ""2622-14-2""}]","[{""index"": 1, ""cas_rn"": ""108-88-3""}]","sealed Schlenk tube used, sealed reaction vessel used",
31-116-CAS-23691782,31-116-CAS-23691782,Reaction_20251104_1608 (2).rdf,Brown Hydroboration,82,,,O=C(C=Cc1ccccc1)c1ccccc1.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C,[2H]C(C(=O)c1ccccc1)C(B1OC(C)(C)C(C)(C)O1)c1ccccc1,O=C(C=Cc1ccccc1)c1ccccc1.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C>>[2H]C(C(=O)c1ccccc1)C(B1OC(C)(C)C(C)(C)O1)c1ccccc1,"Recyclable Copper Nanoparticles-Catalyzed Hydroboration of Alkenes and β-Borylation of α,β-Unsaturated Carbonyl Compounds with Bis(Pinacolato)Diboron","Shegavi, Mahadev L.; Saini, Suresh; Bhawar, Ramesh; Vishwantha, Meghana Desai; Bose, Shubhankar Kumar","Advanced Synthesis & Catalysis (2021), 363(9), 2408-2416","Recyclable Copper Nanoparticles-Catalyzed Hydroboration of Alkenes and β-Borylation of α,β-Unsaturated Carbonyl Compounds with Bis(Pinacolato)Diboron | Shegavi, Mahadev L.; Saini, Suresh; Bhawar, Ramesh; Vishwantha, Meghana Desai; Bose, Shubhankar Kumar | Advanced Synthesis & Catalysis (2021), 363(9), 2408-2416","94-41-7, 73183-34-3",2219291-67-3,"584-08-7, 811-98-3",1317-61-9,108-88-3,,,,copper and dopamine-supported,,,1,1,82,,,,,,,"{""1"": 82}","[{""index"": 1, ""cas_rn"": ""94-41-7"", ""smiles"": ""O=C(C=Cc1ccccc1)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""73183-34-3"", ""smiles"": ""CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C""}]","[{""index"": 1, ""cas_rn"": ""2219291-67-3"", ""yield_pct"": ""82"", ""smiles"": ""[2H]C(C(=O)c1ccccc1)C(B1OC(C)(C)C(C)(C)O1)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""584-08-7""}, {""index"": 2, ""cas_rn"": ""811-98-3""}]","[{""index"": 1, ""cas_rn"": ""1317-61-9"", ""amd"": ""copper and dopamine-supported""}]","[{""index"": 1, ""cas_rn"": ""108-88-3""}]","regioselective, solid-supported catalyst (copper nanoparticles supported on dopamine functionalized nano ferrite catalyst used), selective hydroboration, catalyst prepared and used, recyclable catalyst",
31-116-CAS-6361403,31-116-CAS-6361403,Reaction_20251104_1608 (1).rdf,Brown Hydroboration,90,,,[2H]B([2H])([2H])=C1N(CC=C)C=CN1C1=C(C)C=C(C)C=C1C,[2H]CC1CN2C=CN(C3=C(C)C=C(C)C=C3C)C2=B1([2H])[2H],[2H]B([2H])([2H])=C1N(CC=C)C=CN1C1=C(C)C=C(C)C=C1C>>[2H]CC1CN2C=CN(C3=C(C)C=C(C)C=C3C)C2=B1([2H])[2H],Asymmetric Rhodium-Directed anti-Markovnikov Regioselective Boracyclopentannulation,"Toure, Momar; Chuzel, Olivier; Parrain, Jean-Luc","Journal of the American Chemical Society (2012), 134(43), 17892-17895","Asymmetric Rhodium-Directed anti-Markovnikov Regioselective Boracyclopentannulation | Toure, Momar; Chuzel, Olivier; Parrain, Jean-Luc | Journal of the American Chemical Society (2012), 134(43), 17892-17895",1403777-59-2,1403777-75-2,,"36620-11-8, 362634-22-8",75-09-2,,,,,,"General/Typical Procedure: 4. Asymmetric Rhodium-Directed anti-Markovnikov Regioselective Boracyclopentannulation General Procedure: A 10 mL oven-dried Schlenk flask was charged with the appropriate NHC-BH3 (0.125 mmol), [Rh(nbd)2]BF4 (2.5 mg, 6.2 μmol, 5 mol%) and (S)-Xylyl-MeO-BIPHEP (3.6 mg, 6.2 μmol, 5 mol%) under argon. Then, dry degassed dichloromethane (1 mL) was added and the mixture was stirred at room temperature under argon for 2 minutes. The crude product was filtered through a short plug of silica gel using dichloromethane (10 mL) as eluent to give the desired cyclic NHC-borane. The title compound was filtered through a short plug of silica gel using dichloromethane (10 mL) as eluent to give 2b•D3in 90% yield as a white solid. m.p. 194.3 °C 1H NMR (400 MHz, CD2Cl2) δ (ppm) 1.07 (d, 2H, 3J = 7.0 Hz), 1.92 (bs, 1H), 2.04 (s, 6H), 2.32 (s, 3H), 3.59 (dd, 1H, 2J = 10.7 Hz, 3J = 4.6 Hz), 4.19 (dd, 1H, 2J = 10.7 Hz, 3J = 7.7 Hz), 6.79 (d, 1H, 3J = 1.8 Hz), 6.95 (s, 2H), 7.01 (d, 1H, 3J = 1.8 Hz) 13C NMR (100 MHz, CD2Cl2) δ (ppm) 17.6, 21.0, 21.7 (t, 1J = 19.0 Hz), 27.8(HMQC), 59.1, 116.6, 123.0, 129.0, 134.9, 135.1, 138.9. 11B NMR (128 MHz, CDCl3) δ (ppm) -23.2 (s). HRMS (ES, [M+Na]+) calcd for [C15H18D3BN2Na ]+: 266.1881; found: 266.1877 FT-IR (ATR) ν (cm-1) 3332 (w), 3159 (w), 3131 (w), 2923 (w), 2863 (w), 2317, 2163 (w), 1735 (w), 1650 (w), 1611 (w), 1570 (w), 1551 (w), 1496 (w), 1452 (w), 1375 (w), 1277 (w), 1205 (w), 1159 (w), 1131 (w), 1068 (w), 1038 (w), 860 (w), 731 (m), 670 (w), 646 (w), 588 (w). HPLC: Enantiomeric excess was determined by HPLC with a Chiralpak IC, Hexane/Isopropanol 95/5, 1 mL/min, 220nm; rt (minor) = 10.0 min, rt (major) = 11.6 min; 1.3:98.7 er. [α]20 D: -10.3, c = 1, CHCl3.",1,1,90,,,,,,,"{""1"": 90}","[{""index"": 1, ""cas_rn"": ""1403777-59-2"", ""smiles"": ""[2H]B([2H])([2H])=C1N(CC=C)C=CN1C1=C(C)C=C(C)C=C1C""}]","[{""index"": 1, ""cas_rn"": ""1403777-75-2"", ""yield_pct"": ""90"", ""smiles"": ""[2H]CC1CN2C=CN(C3=C(C)C=C(C)C=C3C)C2=B1([2H])[2H]""}]",[],"[{""index"": 1, ""cas_rn"": ""36620-11-8""}, {""index"": 2, ""cas_rn"": ""362634-22-8""}]","[{""index"": 1, ""cas_rn"": ""75-09-2""}]","regioselective, stereoselective, anti-Morkovnikov reaction",reactant_smiles_validation_failed | product_smiles_validation_failed
31-117-CAS-6840532,31-117-CAS-6840532,Reaction_20251104_1608 (3).rdf,Brown Hydroboration,83,,,C=CC/C=C\C.C=CC/C=C/C.CC1(C)OBOC1(C)C,C/C=C/CCCB1OC(C)(C)C(C)(C)O1.C/C=C\CCCB1OC(C)(C)C(C)(C)O1,C=CC/C=C\C.C=CC/C=C/C.CC1(C)OBOC1(C)C>>C/C=C/CCCB1OC(C)(C)C(C)(C)O1.C/C=C\CCCB1OC(C)(C)C(C)(C)O1,"Iron-Catalyzed, Atom-Economical, Chemo- and Regioselective Alkene Hydroboration with Pinacolborane","Zhang, Lei; Peng, Dongjie; Leng, Xuebing; Huang, Zheng","Angewandte Chemie, International Edition (2013), 52(13), 3676-3680","Iron-Catalyzed, Atom-Economical, Chemo- and Regioselective Alkene Hydroboration with Pinacolborane | Zhang, Lei; Peng, Dongjie; Leng, Xuebing; Huang, Zheng | Angewandte Chemie, International Edition (2013), 52(13), 3676-3680","7318-67-4, 7319-00-8, 25015-63-8","1470074-02-2, 1470074-03-3",17979-81-6,1433218-45-1,109-99-9,,,,,,,1,1,83,7,,,,,,"{""1"": 83, ""2"": 7}","[{""index"": 1, ""cas_rn"": ""7318-67-4"", ""smiles"": ""C=CC/C=C\\C""}, {""index"": 2, ""cas_rn"": ""7319-00-8"", ""smiles"": ""C=CC/C=C/C""}, {""index"": 3, ""cas_rn"": ""25015-63-8"", ""smiles"": ""CC1(C)OBOC1(C)C""}]","[{""index"": 1, ""cas_rn"": ""1470074-02-2"", ""yield_pct"": ""83"", ""smiles"": ""C/C=C/CCCB1OC(C)(C)C(C)(C)O1""}, {""index"": 2, ""cas_rn"": ""1470074-03-3"", ""yield_pct"": ""7"", ""smiles"": ""C/C=C\\CCCB1OC(C)(C)C(C)(C)O1""}]","[{""index"": 1, ""cas_rn"": ""17979-81-6""}]","[{""index"": 1, ""cas_rn"": ""1433218-45-1""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}]","chemoselective, regioselective, reaction quenched by exposing to air",
31-142-CAS-17099223,31-142-CAS-17099223,Reaction_20251104_1608 (3).rdf,Brown Hydroboration,11,,,C=CCCCC.[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H].CC1(C)OBOC1(C)C,CCCCCCB1OC(C)(C)C(C)(C)O1.[2H]c1c([2H])c([2H])c(B2OC(C)(C)C(C)(C)O2)c([2H])c1[2H],C=CCCCC.[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H].CC1(C)OBOC1(C)C>>CCCCCCB1OC(C)(C)C(C)(C)O1.[2H]c1c([2H])c([2H])c(B2OC(C)(C)C(C)(C)O2)c([2H])c1[2H],High-Turnover Aromatic C-H Borylation Catalyzed by POCOP-Type Pincer Complexes of Iridium,"Press, Loren P.; Kosanovich, Alex J.; McCulloch, Billy J.; Ozerov, Oleg V.","Journal of the American Chemical Society (2016), 138(30), 9487-9497","High-Turnover Aromatic C-H Borylation Catalyzed by POCOP-Type Pincer Complexes of Iridium | Press, Loren P.; Kosanovich, Alex J.; McCulloch, Billy J.; Ozerov, Oleg V. | Journal of the American Chemical Society (2016), 138(30), 9487-9497","592-41-6, 1076-43-3, 25015-63-8","86308-26-1, 245043-33-8",,1949800-63-8,,,,,,,,1,1,11,88,,,,,,"{""1"": 11, ""2"": 88}","[{""index"": 1, ""cas_rn"": ""592-41-6"", ""smiles"": ""C=CCCCC""}, {""index"": 2, ""cas_rn"": ""1076-43-3"", ""smiles"": ""[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H]""}, {""index"": 3, ""cas_rn"": ""25015-63-8"", ""smiles"": ""CC1(C)OBOC1(C)C""}]","[{""index"": 1, ""cas_rn"": ""86308-26-1"", ""yield_pct"": ""11"", ""smiles"": ""CCCCCCB1OC(C)(C)C(C)(C)O1""}, {""index"": 2, ""cas_rn"": ""245043-33-8"", ""yield_pct"": ""88"", ""smiles"": ""[2H]c1c([2H])c([2H])c(B2OC(C)(C)C(C)(C)O2)c([2H])c1[2H]""}]",[],"[{""index"": 1, ""cas_rn"": ""1949800-63-8""}]",[],"no solvent, catalyst prepared and used, optimization study, optimized on precatalyst, glovebox used, J. Young tube used, alternative preparations shown",
31-142-CAS-17099233,31-142-CAS-17099233,Reaction_20251104_1608 (3).rdf,Brown Hydroboration,17,,,C=C.[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H].CC1(C)OBOC1(C)C,CCB1OC(C)(C)C(C)(C)O1.[2H]c1c([2H])c([2H])c(B2OC(C)(C)C(C)(C)O2)c([2H])c1[2H],C=C.[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H].CC1(C)OBOC1(C)C>>CCB1OC(C)(C)C(C)(C)O1.[2H]c1c([2H])c([2H])c(B2OC(C)(C)C(C)(C)O2)c([2H])c1[2H],High-Turnover Aromatic C-H Borylation Catalyzed by POCOP-Type Pincer Complexes of Iridium,"Press, Loren P.; Kosanovich, Alex J.; McCulloch, Billy J.; Ozerov, Oleg V.","Journal of the American Chemical Society (2016), 138(30), 9487-9497","High-Turnover Aromatic C-H Borylation Catalyzed by POCOP-Type Pincer Complexes of Iridium | Press, Loren P.; Kosanovich, Alex J.; McCulloch, Billy J.; Ozerov, Oleg V. | Journal of the American Chemical Society (2016), 138(30), 9487-9497","74-85-1, 1076-43-3, 25015-63-8","82954-89-0, 245043-33-8",,1949800-58-1,,,,,,,,1,1,17,83,,,,,,"{""1"": 17, ""2"": 83}","[{""index"": 1, ""cas_rn"": ""74-85-1"", ""smiles"": ""C=C""}, {""index"": 2, ""cas_rn"": ""1076-43-3"", ""smiles"": ""[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H]""}, {""index"": 3, ""cas_rn"": ""25015-63-8"", ""smiles"": ""CC1(C)OBOC1(C)C""}]","[{""index"": 1, ""cas_rn"": ""82954-89-0"", ""yield_pct"": ""17"", ""smiles"": ""CCB1OC(C)(C)C(C)(C)O1""}, {""index"": 2, ""cas_rn"": ""245043-33-8"", ""yield_pct"": ""83"", ""smiles"": ""[2H]c1c([2H])c([2H])c(B2OC(C)(C)C(C)(C)O2)c([2H])c1[2H]""}]",[],"[{""index"": 1, ""cas_rn"": ""1949800-58-1""}]",[],"no solvent, catalyst prepared and used, optimization study, optimized on stoichiometry of catalyst, glovebox used, J. Young tube used, alternative preparations shown",
31-142-CAS-23613406,31-142-CAS-23613406,Reaction_20251104_1608 (3).rdf,Brown Hydroboration,13,,,C=CCCCC.[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H].CC1(C)OBOC1(C)C,CCCCCCB1OC(C)(C)C(C)(C)O1.[2H]c1c([2H])c([2H])c(B2OC(C)(C)C(C)(C)O2)c([2H])c1[2H],C=CCCCC.[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H].CC1(C)OBOC1(C)C>>CCCCCCB1OC(C)(C)C(C)(C)O1.[2H]c1c([2H])c([2H])c(B2OC(C)(C)C(C)(C)O2)c([2H])c1[2H],Examination of a Series of Ir and Rh PXL Pincer Complexes as (Pre)catalysts for Aromatic C-H Borylation,"Hung, Ming-Uei; Press, Loren P.; Bhuvanesh, Nattamai; Ozerov, Oleg V.","Organometallics (2021), 40(7), 1004-1013","Examination of a Series of Ir and Rh PXL Pincer Complexes as (Pre)catalysts for Aromatic C-H Borylation | Hung, Ming-Uei; Press, Loren P.; Bhuvanesh, Nattamai; Ozerov, Oleg V. | Organometallics (2021), 40(7), 1004-1013","592-41-6, 1076-43-3, 25015-63-8","86308-26-1, 245043-33-8",,2422012-66-4,,,,,,,,1,1,13,85,,,,,,"{""1"": 13, ""2"": 85}","[{""index"": 1, ""cas_rn"": ""592-41-6"", ""smiles"": ""C=CCCCC""}, {""index"": 2, ""cas_rn"": ""1076-43-3"", ""smiles"": ""[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H]""}, {""index"": 3, ""cas_rn"": ""25015-63-8"", ""smiles"": ""CC1(C)OBOC1(C)C""}]","[{""index"": 1, ""cas_rn"": ""86308-26-1"", ""yield_pct"": ""13"", ""smiles"": ""CCCCCCB1OC(C)(C)C(C)(C)O1""}, {""index"": 2, ""cas_rn"": ""245043-33-8"", ""yield_pct"": ""85"", ""smiles"": ""[2H]c1c([2H])c([2H])c(B2OC(C)(C)C(C)(C)O2)c([2H])c1[2H]""}]",[],"[{""index"": 1, ""cas_rn"": ""2422012-66-4""}]",[],"catalyst prepared and used, no solvent",
31-142-CAS-23616058,31-142-CAS-23616058,Reaction_20251104_1608 (3).rdf,Brown Hydroboration,11,,,C=CCCCC.[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H].CC1(C)OBOC1(C)C,CCCCCCB1OC(C)(C)C(C)(C)O1.[2H]c1c([2H])c([2H])c(B2OC(C)(C)C(C)(C)O2)c([2H])c1[2H],C=CCCCC.[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H].CC1(C)OBOC1(C)C>>CCCCCCB1OC(C)(C)C(C)(C)O1.[2H]c1c([2H])c([2H])c(B2OC(C)(C)C(C)(C)O2)c([2H])c1[2H],Examination of a Series of Ir and Rh PXL Pincer Complexes as (Pre)catalysts for Aromatic C-H Borylation,"Hung, Ming-Uei; Press, Loren P.; Bhuvanesh, Nattamai; Ozerov, Oleg V.","Organometallics (2021), 40(7), 1004-1013","Examination of a Series of Ir and Rh PXL Pincer Complexes as (Pre)catalysts for Aromatic C-H Borylation | Hung, Ming-Uei; Press, Loren P.; Bhuvanesh, Nattamai; Ozerov, Oleg V. | Organometallics (2021), 40(7), 1004-1013","592-41-6, 1076-43-3, 25015-63-8","86308-26-1, 245043-33-8",,2620570-67-2,,,,,,,,1,1,11,89,,,,,,"{""1"": 11, ""2"": 89}","[{""index"": 1, ""cas_rn"": ""592-41-6"", ""smiles"": ""C=CCCCC""}, {""index"": 2, ""cas_rn"": ""1076-43-3"", ""smiles"": ""[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H]""}, {""index"": 3, ""cas_rn"": ""25015-63-8"", ""smiles"": ""CC1(C)OBOC1(C)C""}]","[{""index"": 1, ""cas_rn"": ""86308-26-1"", ""yield_pct"": ""11"", ""smiles"": ""CCCCCCB1OC(C)(C)C(C)(C)O1""}, {""index"": 2, ""cas_rn"": ""245043-33-8"", ""yield_pct"": ""89"", ""smiles"": ""[2H]c1c([2H])c([2H])c(B2OC(C)(C)C(C)(C)O2)c([2H])c1[2H]""}]",[],"[{""index"": 1, ""cas_rn"": ""2620570-67-2""}]",[],"catalyst prepared and used, no solvent, optimization study, optimized on stoichiometry of reactants, optimized on stoichiometry of catalyst, optimized on catalyst, alternative reaction conditions shown",
31-142-CAS-23620328,31-142-CAS-23620328,Reaction_20251104_1608 (3).rdf,Brown Hydroboration,11,,,C=CCCCC.[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H].CC1(C)OBOC1(C)C,CCCCCCB1OC(C)(C)C(C)(C)O1.[2H]c1c([2H])c([2H])c(B2OC(C)(C)C(C)(C)O2)c([2H])c1[2H],C=CCCCC.[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H].CC1(C)OBOC1(C)C>>CCCCCCB1OC(C)(C)C(C)(C)O1.[2H]c1c([2H])c([2H])c(B2OC(C)(C)C(C)(C)O2)c([2H])c1[2H],Examination of a Series of Ir and Rh PXL Pincer Complexes as (Pre)catalysts for Aromatic C-H Borylation,"Hung, Ming-Uei; Press, Loren P.; Bhuvanesh, Nattamai; Ozerov, Oleg V.","Organometallics (2021), 40(7), 1004-1013","Examination of a Series of Ir and Rh PXL Pincer Complexes as (Pre)catalysts for Aromatic C-H Borylation | Hung, Ming-Uei; Press, Loren P.; Bhuvanesh, Nattamai; Ozerov, Oleg V. | Organometallics (2021), 40(7), 1004-1013","592-41-6, 1076-43-3, 25015-63-8","86308-26-1, 245043-33-8",,2620660-71-9,,,,,,,,1,1,11,89,,,,,,"{""1"": 11, ""2"": 89}","[{""index"": 1, ""cas_rn"": ""592-41-6"", ""smiles"": ""C=CCCCC""}, {""index"": 2, ""cas_rn"": ""1076-43-3"", ""smiles"": ""[2H]c1c([2H])c([2H])c([2H])c([2H])c1[2H]""}, {""index"": 3, ""cas_rn"": ""25015-63-8"", ""smiles"": ""CC1(C)OBOC1(C)C""}]","[{""index"": 1, ""cas_rn"": ""86308-26-1"", ""yield_pct"": ""11"", ""smiles"": ""CCCCCCB1OC(C)(C)C(C)(C)O1""}, {""index"": 2, ""cas_rn"": ""245043-33-8"", ""yield_pct"": ""89"", ""smiles"": ""[2H]c1c([2H])c([2H])c(B2OC(C)(C)C(C)(C)O2)c([2H])c1[2H]""}]",[],"[{""index"": 1, ""cas_rn"": ""2620660-71-9""}]",[],"catalyst prepared and used, no solvent",
