reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-006-CAS-5755057,31-006-CAS-5755057,2000.rdf,C_S_Coupling,94,,,SCc1ccccc1.CC(=O)NC1(CCc2ccc(-c3ccc(Br)cc3F)cc2)COC(C)(C)OC1,Cl.NC(CO)(CO)CCc1ccc(-c2ccc(SCc3ccccc3)cc2F)cc1,SCc1ccccc1.CC(=O)NC1(CCc2ccc(-c3ccc(Br)cc3F)cc2)COC(C)(C)OC1>>Cl.NC(CO)(CO)CCc1ccc(-c2ccc(SCc3ccccc3)cc2F)cc1,"Removal of Sphingosine 1-Phosphate Receptor-3 (S1P3) Agonism is Essential, But Inadequate to Obtain Immunomodulating 2-Aminopropane-1,3-diol S1P1 Agonists with Reduced Effect on Heart Rate","Hamada, Maiko; Nakamura, Mitsuharu; Kiuchi, Masatoshi; Marukawa, Kaoru; Tomatsu, Ayumi; Shimano, Kyoko; Sato, Noriko; Sugahara, Kunio; Asayama, Mahoko; Takagi, Kan; Adachi, Kunitomo","Journal of Medicinal Chemistry (2010), 53(8), 3154-3168","Removal of Sphingosine 1-Phosphate Receptor-3 (S1P3) Agonism is Essential, But Inadequate to Obtain Immunomodulating 2-Aminopropane-1,3-diol S1P1 Agonists with Reduced Effect on Heart Rate | Hamada, Maiko; Nakamura, Mitsuharu; Kiuchi, Masatoshi; Marukawa, Kaoru; Tomatsu, Ayumi; Shimano, Kyoko; Sato, Noriko; Sugahara, Kunio; Asayama, Mahoko; Takagi, Kan; Adachi, Kunitomo | Journal of Medicinal Chemistry (2010), 53(8), 3154-3168","100-53-8, 956037-35-7",1222497-66-6,"7087-68-5, 7647-01-0","52522-40-4, 161265-03-8","123-91-1, 67-56-1, 7732-18-5",,,,,,"General/Typical Procedure: A mixture of 13a (450 mg, 0.999 mmol), benzyl mercaptan (137 mg, 1.13 mmol), tris(di-benzylideneacetone)dipalladium(0)-chloroform adduct (25.9 mg, 0.0250 mmol), 4,5-bis(diphenylphosphino)-9,9-dimethylxanthene (Xantphos, 29.8 mg, 0.0515 mmol), and N,N-diisopropylethylamine (258 mg, 1.99 mmol) in 1,4-dioxane (5.0 mL) was refluxed for 7 h. After being poured into water, the mixture was extracted with EtOAc. The organic layer was washed with brine, dried over Na2SO4, and concentrated in vacuo. Purification of the residue by silica gel chromatography (hexane/EtOAc) gave the protected title compound. The compound was dissolved in MeOH (6.0 mL), and 35% HCl (3.0 mL) was added to the solution. The mixture was stirred at 70 °C for 3.5 h, concentrated in vacuo, and diluted with diisopropyl ether. 2-Amino-2-[2-(4'-benzylthio-2'-fluorobiphenyl-4-yl)ethyl]propane-1,3-diol Hydrochloride (6b). yield: (362 mg, 94%) as a pale-yellow solid. mp 218-219 °C; MS (ESI+) m/z 412 [M + H]. 1H NMR (DMSO-d6) δ 1.80-1.85 (2H, m), 2.63-2.68 (2H, m), 3.54 (4H, d,J= 4.5 Hz), 4.34 (2H, s), 5.40 (2H, t,J= 4.9 Hz), 7.22-7.35 (7H, m), 7.41-7.47 (5H, m), 7.83 (3H, brs). Anal. (C24H26FNO2S·HCl) C, H, N.",2,1,94,,,,,,,"{""1"": 94}","[{""index"": 1, ""cas_rn"": ""100-53-8"", ""smiles"": ""SCc1ccccc1""}, {""index"": 2, ""cas_rn"": ""956037-35-7"", ""smiles"": ""CC(=O)NC1(CCc2ccc(-c3ccc(Br)cc3F)cc2)COC(C)(C)OC1""}]","[{""index"": 1, ""cas_rn"": ""1222497-66-6"", ""yield_pct"": ""94"", ""smiles"": ""Cl.NC(CO)(CO)CCc1ccc(-c2ccc(SCc3ccccc3)cc2F)cc1""}]","[{""index"": 1, ""cas_rn"": ""7087-68-5""}, {""index"": 2, ""cas_rn"": ""7647-01-0""}]","[{""index"": 1, ""cas_rn"": ""52522-40-4""}, {""index"": 2, ""cas_rn"": ""161265-03-8""}]","[{""index"": 1, ""cas_rn"": ""123-91-1""}, {""index"": 2, ""cas_rn"": ""67-56-1""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}]",chemoselective,
31-008-CAS-18889921,31-008-CAS-18889921,6500.rdf,C_S_Coupling,80,,,CC(C)(C)c1ccc(O)c(Br)c1.FC(F)(F)S.[Cs],CC(C)(C)c1ccc2c(c1)SC(F)(F)O2,CC(C)(C)c1ccc(O)c(Br)c1.FC(F)(F)S.[Cs]>>CC(C)(C)c1ccc2c(c1)SC(F)(F)O2,"Copper-catalyzed synthesis of 2,2-difluoro-1,3-benzoxathioles(selenoles) and their insecticidal activities: the selenium effect","Zhang, Mengjia; Lu, Jiaqing; Weng, Zhiqiang","Organic & Biomolecular Chemistry (2018), 16(24), 4558-4562","Copper-catalyzed synthesis of 2,2-difluoro-1,3-benzoxathioles(selenoles) and their insecticidal activities: the selenium effect | Zhang, Mengjia; Lu, Jiaqing; Weng, Zhiqiang | Organic & Biomolecular Chemistry (2018), 16(24), 4558-4562","2198-66-5, 515823-31-1",2171527-50-5,13400-13-0,"66-71-7, 7681-65-4",75-05-8,,,,,,,1,1,80,,,,,,,"{""1"": 80}","[{""index"": 1, ""cas_rn"": ""2198-66-5"", ""smiles"": ""CC(C)(C)c1ccc(O)c(Br)c1""}, {""index"": 2, ""cas_rn"": ""515823-31-1"", ""smiles"": ""FC(F)(F)S.[Cs]""}]","[{""index"": 1, ""cas_rn"": ""2171527-50-5"", ""yield_pct"": ""80"", ""smiles"": ""CC(C)(C)c1ccc2c(c1)SC(F)(F)O2""}]","[{""index"": 1, ""cas_rn"": ""13400-13-0""}]","[{""index"": 1, ""cas_rn"": ""66-71-7""}, {""index"": 2, ""cas_rn"": ""7681-65-4""}]","[{""index"": 1, ""cas_rn"": ""75-05-8""}]","glove box used, sealed pressure tube used",
31-008-CAS-18889922,31-008-CAS-18889922,7500.rdf,C_S_Coupling,76,,,COc1ccc(O)c(Br)c1.FC(F)(F)S.[Cs],COc1ccc2c(c1)SC(F)(F)O2,COc1ccc(O)c(Br)c1.FC(F)(F)S.[Cs]>>COc1ccc2c(c1)SC(F)(F)O2,"Copper-catalyzed synthesis of 2,2-difluoro-1,3-benzoxathioles(selenoles) and their insecticidal activities: the selenium effect","Zhang, Mengjia; Lu, Jiaqing; Weng, Zhiqiang","Organic & Biomolecular Chemistry (2018), 16(24), 4558-4562","Copper-catalyzed synthesis of 2,2-difluoro-1,3-benzoxathioles(selenoles) and their insecticidal activities: the selenium effect | Zhang, Mengjia; Lu, Jiaqing; Weng, Zhiqiang | Organic & Biomolecular Chemistry (2018), 16(24), 4558-4562","17332-11-5, 515823-31-1",2162166-99-4,13400-13-0,"66-71-7, 7681-65-4",75-05-8,,,,,,,1,1,76,,,,,,,"{""1"": 76}","[{""index"": 1, ""cas_rn"": ""17332-11-5"", ""smiles"": ""COc1ccc(O)c(Br)c1""}, {""index"": 2, ""cas_rn"": ""515823-31-1"", ""smiles"": ""FC(F)(F)S.[Cs]""}]","[{""index"": 1, ""cas_rn"": ""2162166-99-4"", ""yield_pct"": ""76"", ""smiles"": ""COc1ccc2c(c1)SC(F)(F)O2""}]","[{""index"": 1, ""cas_rn"": ""13400-13-0""}]","[{""index"": 1, ""cas_rn"": ""66-71-7""}, {""index"": 2, ""cas_rn"": ""7681-65-4""}]","[{""index"": 1, ""cas_rn"": ""75-05-8""}]","glove box used, sealed pressure tube used",
31-008-CAS-18889923,31-008-CAS-18889923,3000.rdf,C_S_Coupling,91,,,CCOc1cc(C=O)cc(Br)c1O.FC(F)(F)S.[Cs],CCOc1cc(C=O)cc2c1OC(F)(F)S2,CCOc1cc(C=O)cc(Br)c1O.FC(F)(F)S.[Cs]>>CCOc1cc(C=O)cc2c1OC(F)(F)S2,"Copper-catalyzed synthesis of 2,2-difluoro-1,3-benzoxathioles(selenoles) and their insecticidal activities: the selenium effect","Zhang, Mengjia; Lu, Jiaqing; Weng, Zhiqiang","Organic & Biomolecular Chemistry (2018), 16(24), 4558-4562","Copper-catalyzed synthesis of 2,2-difluoro-1,3-benzoxathioles(selenoles) and their insecticidal activities: the selenium effect | Zhang, Mengjia; Lu, Jiaqing; Weng, Zhiqiang | Organic & Biomolecular Chemistry (2018), 16(24), 4558-4562","3111-37-3, 515823-31-1",2162166-88-1,13400-13-0,"66-71-7, 7681-65-4",123-91-1,,,,,,,1,1,91,,,,,,,"{""1"": 91}","[{""index"": 1, ""cas_rn"": ""3111-37-3"", ""smiles"": ""CCOc1cc(C=O)cc(Br)c1O""}, {""index"": 2, ""cas_rn"": ""515823-31-1"", ""smiles"": ""FC(F)(F)S.[Cs]""}]","[{""index"": 1, ""cas_rn"": ""2162166-88-1"", ""yield_pct"": ""91"", ""smiles"": ""CCOc1cc(C=O)cc2c1OC(F)(F)S2""}]","[{""index"": 1, ""cas_rn"": ""13400-13-0""}]","[{""index"": 1, ""cas_rn"": ""66-71-7""}, {""index"": 2, ""cas_rn"": ""7681-65-4""}]","[{""index"": 1, ""cas_rn"": ""123-91-1""}]","glove box used, sealed pressure tube used",
31-008-CAS-18889924,31-008-CAS-18889924,5000.rdf,C_S_Coupling,85,,,O=Cc1cccc(O)c1Br.FC(F)(F)S.[Cs],O=Cc1cccc2c1SC(F)(F)O2,O=Cc1cccc(O)c1Br.FC(F)(F)S.[Cs]>>O=Cc1cccc2c1SC(F)(F)O2,"Copper-catalyzed synthesis of 2,2-difluoro-1,3-benzoxathioles(selenoles) and their insecticidal activities: the selenium effect","Zhang, Mengjia; Lu, Jiaqing; Weng, Zhiqiang","Organic & Biomolecular Chemistry (2018), 16(24), 4558-4562","Copper-catalyzed synthesis of 2,2-difluoro-1,3-benzoxathioles(selenoles) and their insecticidal activities: the selenium effect | Zhang, Mengjia; Lu, Jiaqing; Weng, Zhiqiang | Organic & Biomolecular Chemistry (2018), 16(24), 4558-4562","196081-71-7, 515823-31-1",2162166-87-0,13400-13-0,"66-71-7, 7681-65-4",123-91-1,,,,,,,1,1,85,,,,,,,"{""1"": 85}","[{""index"": 1, ""cas_rn"": ""196081-71-7"", ""smiles"": ""O=Cc1cccc(O)c1Br""}, {""index"": 2, ""cas_rn"": ""515823-31-1"", ""smiles"": ""FC(F)(F)S.[Cs]""}]","[{""index"": 1, ""cas_rn"": ""2162166-87-0"", ""yield_pct"": ""85"", ""smiles"": ""O=Cc1cccc2c1SC(F)(F)O2""}]","[{""index"": 1, ""cas_rn"": ""13400-13-0""}]","[{""index"": 1, ""cas_rn"": ""66-71-7""}, {""index"": 2, ""cas_rn"": ""7681-65-4""}]","[{""index"": 1, ""cas_rn"": ""123-91-1""}]","glove box used, sealed pressure tube used",
31-008-CAS-18889926,31-008-CAS-18889926,500.rdf,C_S_Coupling,99,,,COC(=O)c1ccc(O)c(Br)c1.FC(F)(F)S.[Cs],COC(=O)c1ccc2c(c1)SC(F)(F)O2,COC(=O)c1ccc(O)c(Br)c1.FC(F)(F)S.[Cs]>>COC(=O)c1ccc2c(c1)SC(F)(F)O2,"Copper-catalyzed synthesis of 2,2-difluoro-1,3-benzoxathioles(selenoles) and their insecticidal activities: the selenium effect","Zhang, Mengjia; Lu, Jiaqing; Weng, Zhiqiang","Organic & Biomolecular Chemistry (2018), 16(24), 4558-4562","Copper-catalyzed synthesis of 2,2-difluoro-1,3-benzoxathioles(selenoles) and their insecticidal activities: the selenium effect | Zhang, Mengjia; Lu, Jiaqing; Weng, Zhiqiang | Organic & Biomolecular Chemistry (2018), 16(24), 4558-4562","29415-97-2, 515823-31-1",2171527-52-7,13400-13-0,"66-71-7, 7681-65-4",123-91-1,,,,,,,1,1,99,,,,,,,"{""1"": 99}","[{""index"": 1, ""cas_rn"": ""29415-97-2"", ""smiles"": ""COC(=O)c1ccc(O)c(Br)c1""}, {""index"": 2, ""cas_rn"": ""515823-31-1"", ""smiles"": ""FC(F)(F)S.[Cs]""}]","[{""index"": 1, ""cas_rn"": ""2171527-52-7"", ""yield_pct"": ""99"", ""smiles"": ""COC(=O)c1ccc2c(c1)SC(F)(F)O2""}]","[{""index"": 1, ""cas_rn"": ""13400-13-0""}]","[{""index"": 1, ""cas_rn"": ""66-71-7""}, {""index"": 2, ""cas_rn"": ""7681-65-4""}]","[{""index"": 1, ""cas_rn"": ""123-91-1""}]","glove box used, sealed pressure tube used",
31-008-CAS-18889927,31-008-CAS-18889927,500.rdf,C_S_Coupling,99,,,N#Cc1ccc(O)c(Br)c1.FC(F)(F)S.[Cs],N#Cc1ccc2c(c1)SC(F)(F)O2,N#Cc1ccc(O)c(Br)c1.FC(F)(F)S.[Cs]>>N#Cc1ccc2c(c1)SC(F)(F)O2,"Copper-catalyzed synthesis of 2,2-difluoro-1,3-benzoxathioles(selenoles) and their insecticidal activities: the selenium effect","Zhang, Mengjia; Lu, Jiaqing; Weng, Zhiqiang","Organic & Biomolecular Chemistry (2018), 16(24), 4558-4562","Copper-catalyzed synthesis of 2,2-difluoro-1,3-benzoxathioles(selenoles) and their insecticidal activities: the selenium effect | Zhang, Mengjia; Lu, Jiaqing; Weng, Zhiqiang | Organic & Biomolecular Chemistry (2018), 16(24), 4558-4562","2315-86-8, 515823-31-1",2162166-86-9,13400-13-0,"66-71-7, 7681-65-4",123-91-1,,,,,,,1,1,99,,,,,,,"{""1"": 99}","[{""index"": 1, ""cas_rn"": ""2315-86-8"", ""smiles"": ""N#Cc1ccc(O)c(Br)c1""}, {""index"": 2, ""cas_rn"": ""515823-31-1"", ""smiles"": ""FC(F)(F)S.[Cs]""}]","[{""index"": 1, ""cas_rn"": ""2162166-86-9"", ""yield_pct"": ""99"", ""smiles"": ""N#Cc1ccc2c(c1)SC(F)(F)O2""}]","[{""index"": 1, ""cas_rn"": ""13400-13-0""}]","[{""index"": 1, ""cas_rn"": ""66-71-7""}, {""index"": 2, ""cas_rn"": ""7681-65-4""}]","[{""index"": 1, ""cas_rn"": ""123-91-1""}]","glove box used, sealed pressure tube used",
31-008-CAS-18889929,31-008-CAS-18889929,2000.rdf,C_S_Coupling,95,,,Oc1ccc(Br)c(O)c1.FC(F)(F)S.[Cs],Oc1ccc2c(c1)OC(F)(F)S2,Oc1ccc(Br)c(O)c1.FC(F)(F)S.[Cs]>>Oc1ccc2c(c1)OC(F)(F)S2,"Copper-catalyzed synthesis of 2,2-difluoro-1,3-benzoxathioles(selenoles) and their insecticidal activities: the selenium effect","Zhang, Mengjia; Lu, Jiaqing; Weng, Zhiqiang","Organic & Biomolecular Chemistry (2018), 16(24), 4558-4562","Copper-catalyzed synthesis of 2,2-difluoro-1,3-benzoxathioles(selenoles) and their insecticidal activities: the selenium effect | Zhang, Mengjia; Lu, Jiaqing; Weng, Zhiqiang | Organic & Biomolecular Chemistry (2018), 16(24), 4558-4562","6626-15-9, 515823-31-1",2162166-91-6,13400-13-0,"66-71-7, 7681-65-4",123-91-1,,,,,,,1,1,95,,,,,,,"{""1"": 95}","[{""index"": 1, ""cas_rn"": ""6626-15-9"", ""smiles"": ""Oc1ccc(Br)c(O)c1""}, {""index"": 2, ""cas_rn"": ""515823-31-1"", ""smiles"": ""FC(F)(F)S.[Cs]""}]","[{""index"": 1, ""cas_rn"": ""2162166-91-6"", ""yield_pct"": ""95"", ""smiles"": ""Oc1ccc2c(c1)OC(F)(F)S2""}]","[{""index"": 1, ""cas_rn"": ""13400-13-0""}]","[{""index"": 1, ""cas_rn"": ""66-71-7""}, {""index"": 2, ""cas_rn"": ""7681-65-4""}]","[{""index"": 1, ""cas_rn"": ""123-91-1""}]","glove box used, sealed pressure tube used",
31-008-CAS-18889930,31-008-CAS-18889930,6500.rdf,C_S_Coupling,80,,,Oc1ccc(F)cc1Br.FC(F)(F)S.[Cs],Fc1ccc2c(c1)SC(F)(F)O2,Oc1ccc(F)cc1Br.FC(F)(F)S.[Cs]>>Fc1ccc2c(c1)SC(F)(F)O2,"Copper-catalyzed synthesis of 2,2-difluoro-1,3-benzoxathioles(selenoles) and their insecticidal activities: the selenium effect","Zhang, Mengjia; Lu, Jiaqing; Weng, Zhiqiang","Organic & Biomolecular Chemistry (2018), 16(24), 4558-4562","Copper-catalyzed synthesis of 2,2-difluoro-1,3-benzoxathioles(selenoles) and their insecticidal activities: the selenium effect | Zhang, Mengjia; Lu, Jiaqing; Weng, Zhiqiang | Organic & Biomolecular Chemistry (2018), 16(24), 4558-4562","496-69-5, 515823-31-1",2171527-57-2,13400-13-0,"66-71-7, 7681-65-4",75-05-8,,,,,,,1,1,80,,,,,,,"{""1"": 80}","[{""index"": 1, ""cas_rn"": ""496-69-5"", ""smiles"": ""Oc1ccc(F)cc1Br""}, {""index"": 2, ""cas_rn"": ""515823-31-1"", ""smiles"": ""FC(F)(F)S.[Cs]""}]","[{""index"": 1, ""cas_rn"": ""2171527-57-2"", ""yield_pct"": ""80"", ""smiles"": ""Fc1ccc2c(c1)SC(F)(F)O2""}]","[{""index"": 1, ""cas_rn"": ""13400-13-0""}]","[{""index"": 1, ""cas_rn"": ""66-71-7""}, {""index"": 2, ""cas_rn"": ""7681-65-4""}]","[{""index"": 1, ""cas_rn"": ""75-05-8""}]","glove box used, sealed pressure tube used",
31-008-CAS-18889931,31-008-CAS-18889931,7000.rdf,C_S_Coupling,77,,,Oc1cc(F)ccc1Br.FC(F)(F)S.[Cs],Fc1ccc2c(c1)OC(F)(F)S2,Oc1cc(F)ccc1Br.FC(F)(F)S.[Cs]>>Fc1ccc2c(c1)OC(F)(F)S2,"Copper-catalyzed synthesis of 2,2-difluoro-1,3-benzoxathioles(selenoles) and their insecticidal activities: the selenium effect","Zhang, Mengjia; Lu, Jiaqing; Weng, Zhiqiang","Organic & Biomolecular Chemistry (2018), 16(24), 4558-4562","Copper-catalyzed synthesis of 2,2-difluoro-1,3-benzoxathioles(selenoles) and their insecticidal activities: the selenium effect | Zhang, Mengjia; Lu, Jiaqing; Weng, Zhiqiang | Organic & Biomolecular Chemistry (2018), 16(24), 4558-4562","147460-41-1, 515823-31-1",2171527-56-1,13400-13-0,"66-71-7, 7681-65-4",75-05-8,,,,,,,1,1,77,,,,,,,"{""1"": 77}","[{""index"": 1, ""cas_rn"": ""147460-41-1"", ""smiles"": ""Oc1cc(F)ccc1Br""}, {""index"": 2, ""cas_rn"": ""515823-31-1"", ""smiles"": ""FC(F)(F)S.[Cs]""}]","[{""index"": 1, ""cas_rn"": ""2171527-56-1"", ""yield_pct"": ""77"", ""smiles"": ""Fc1ccc2c(c1)OC(F)(F)S2""}]","[{""index"": 1, ""cas_rn"": ""13400-13-0""}]","[{""index"": 1, ""cas_rn"": ""66-71-7""}, {""index"": 2, ""cas_rn"": ""7681-65-4""}]","[{""index"": 1, ""cas_rn"": ""75-05-8""}]","glove box used, sealed pressure tube used",
