reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-008-CAS-11138598,31-008-CAS-11138598,Reaction_20251110_1700 (2).rdf,"Chlorination (SOCl2, oxalyl chloride)",72,,,ClCC1CO1.C=CCOCC(O)CO,C=CCOCC(CCl)OCC1CO1,ClCC1CO1.C=CCOCC(O)CO>>C=CCOCC(CCl)OCC1CO1,"Ionic telomerization of 1-chloro-2,3-epoxypropane with allyl alcohol and properties of products obtained","Kerimov, A. Kh.; Orudzheva, A. T.; Mamedova, Kh. A.; Alieva, U. A.","Russian Journal of Applied Chemistry (2013), 86(9), 1364-1369","Ionic telomerization of 1-chloro-2,3-epoxypropane with allyl alcohol and properties of products obtained | Kerimov, A. Kh.; Orudzheva, A. T.; Mamedova, Kh. A.; Alieva, U. A. | Russian Journal of Applied Chemistry (2013), 86(9), 1364-1369","106-89-8, 123-34-2",74944-70-0,1310-73-2,109-63-7,60-29-7,,,,,,"Independent synthesis of VIII. To a mixture of 75.3 g (0.5 mol) of compound XV prepared from allyl alcohol and 1-chloro-2,3-epoxypropane following the procedure described in [20] and of 0.2 mL of boron trifluoride etherate, 9.3 g (0.1 mol) of 1-chloro-2,3-epoxypropane was added dropwise with stirring over a period of 60 min at 20-22°C. After adding the whole amount of 1-chloro-2,3-epoxypropane, the mixture was stirred for an additional 2 h. The catalyst was removed by washing with a 5% aqueous sodium carbonate solution, excess chlorohydrin XV was distilled off at 73-75°C (1 mm Hg), and the residue (66 g) was added dropwise into a flask charged with 6.0 g (0.15 mol) of powdered NaOH and 80 mL of diethyl ether. The mixture was stirred for 3.5-4 h at 35-40°C. Then, the ether phase was separated, and the salt precipitate was dissolved in water and extracted with ether. The combined extracts were washed with 5% aqueous acetic acid and water and dried over MgSO4. The ether was distilled off, and the residue was distilled in a vacuum. 1,2-Epoxy-3-(1-chloromethyl-2-allyloxy)ethoxypropane (VIII). Yield 14.9 g (72.0%). Tb, °C/P, mm Hg: 107-108/1, n20D: 1.4650, d204: 1.1247, Epoxy number, % found: 20.65, calculated: 20.83. MRD found: 50.79, calculated: 50.89, Found, %: C 52.14, H 7.38, Cl 16.88, Formula: C9H15ClO3, Calculated, %: C 52.30, H 7.32, Cl 17.15.",2,1,72,,,,,,,"{""1"": 72}","[{""index"": 1, ""cas_rn"": ""106-89-8"", ""smiles"": ""ClCC1CO1""}, {""index"": 2, ""cas_rn"": ""123-34-2"", ""smiles"": ""C=CCOCC(O)CO""}]","[{""index"": 1, ""cas_rn"": ""74944-70-0"", ""yield_pct"": ""72"", ""smiles"": ""C=CCOCC(CCl)OCC1CO1""}]","[{""index"": 1, ""cas_rn"": ""1310-73-2""}]","[{""index"": 1, ""cas_rn"": ""109-63-7""}]","[{""index"": 1, ""cas_rn"": ""60-29-7""}]",,
31-012-CAS-10362630,31-012-CAS-10362630,Reaction_20251110_1700 (1).rdf,"Chlorination (SOCl2, oxalyl chloride)",30,,,C[C@@H](CO)C[C@H](CO)CS(=O)c1ccccc1,C[C@@H](CO)C[C@H](CCl)CS(=O)(=O)c1ccccc1.C[C@H]1COC[C@H](CS(=O)(=O)c2ccccc2)C1,C[C@@H](CO)C[C@H](CO)CS(=O)c1ccccc1>>C[C@@H](CO)C[C@H](CCl)CS(=O)(=O)c1ccccc1.C[C@H]1COC[C@H](CS(=O)(=O)c2ccccc2)C1,The sily-Durst chlorination of hydroxy sulfoxides,"Oddon, G.; Uguen, D.","Tetrahedron Letters (1997), 38(25), 4407-4410","The sily-Durst chlorination of hydroxy sulfoxides | Oddon, G.; Uguen, D. | Tetrahedron Letters (1997), 38(25), 4407-4410",193278-19-2,"193278-14-7, 193278-21-6",7719-09-7,,75-09-2,,,,,,,1,1,30,70,,,,,,"{""1"": 30, ""2"": 70}","[{""index"": 1, ""cas_rn"": ""193278-19-2"", ""smiles"": ""C[C@@H](CO)C[C@H](CO)CS(=O)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""193278-14-7"", ""yield_pct"": ""30"", ""smiles"": ""C[C@@H](CO)C[C@H](CCl)CS(=O)(=O)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""193278-21-6"", ""yield_pct"": ""70"", ""smiles"": ""C[C@H]1COC[C@H](CS(=O)(=O)c2ccccc2)C1""}]","[{""index"": 1, ""cas_rn"": ""7719-09-7""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",product mix sensitive to reactant concn.,
31-012-CAS-12166183,31-012-CAS-12166183,Reaction_20251110_1700 (1).rdf,"Chlorination (SOCl2, oxalyl chloride)",10,,,C[C@@H](CO)C[C@H](CO)CS(=O)c1ccccc1,C[C@@H](CCl)C[C@H](CCl)CS(=O)(=O)c1ccccc1.C[C@@H](CO)C[C@H](CO)CS(=O)(=O)c1ccccc1.C[C@H]1COC[C@H](CS(=O)(=O)c2ccccc2)C1,C[C@@H](CO)C[C@H](CO)CS(=O)c1ccccc1>>C[C@@H](CCl)C[C@H](CCl)CS(=O)(=O)c1ccccc1.C[C@@H](CO)C[C@H](CO)CS(=O)(=O)c1ccccc1.C[C@H]1COC[C@H](CS(=O)(=O)c2ccccc2)C1,The sily-Durst chlorination of hydroxy sulfoxides,"Oddon, G.; Uguen, D.","Tetrahedron Letters (1997), 38(25), 4407-4410","The sily-Durst chlorination of hydroxy sulfoxides | Oddon, G.; Uguen, D. | Tetrahedron Letters (1997), 38(25), 4407-4410",193278-19-2,"193278-16-9, 193278-17-0, 193278-21-6",7719-09-7,10247-90-2,75-09-2,,,,,,,1,1,10,10,80,,,,,"{""1"": 10, ""2"": 10, ""3"": 80}","[{""index"": 1, ""cas_rn"": ""193278-19-2"", ""smiles"": ""C[C@@H](CO)C[C@H](CO)CS(=O)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""193278-16-9"", ""yield_pct"": ""10"", ""smiles"": ""C[C@@H](CCl)C[C@H](CCl)CS(=O)(=O)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""193278-17-0"", ""yield_pct"": ""10"", ""smiles"": ""C[C@@H](CO)C[C@H](CO)CS(=O)(=O)c1ccccc1""}, {""index"": 3, ""cas_rn"": ""193278-21-6"", ""yield_pct"": ""80"", ""smiles"": ""C[C@H]1COC[C@H](CS(=O)(=O)c2ccccc2)C1""}]","[{""index"": 1, ""cas_rn"": ""7719-09-7""}]","[{""index"": 1, ""cas_rn"": ""10247-90-2""}]","[{""index"": 1, ""cas_rn"": ""75-09-2""}]",product mix sensitive to reactant concn.,
31-012-CAS-13911084,31-012-CAS-13911084,Reaction_20251110_1700 (1).rdf,"Chlorination (SOCl2, oxalyl chloride)",80,,,OC(c1ccc(Cl)cc1)c1ccc(Cl)cc1,Clc1ccc(C(Cl)c2ccc(Cl)cc2)cc1.Clc1ccc(C(OC(c2ccc(Cl)cc2)c2ccc(Cl)cc2)c2ccc(Cl)cc2)cc1,OC(c1ccc(Cl)cc1)c1ccc(Cl)cc1>>Clc1ccc(C(Cl)c2ccc(Cl)cc2)cc1.Clc1ccc(C(OC(c2ccc(Cl)cc2)c2ccc(Cl)cc2)c2ccc(Cl)cc2)cc1,Chlorination of Benzylic and Allylic Alcohols with Trimethylsilyl Chloride Enhanced by Natural Sodium Montmorillonite,"Tandiary, Michael Andreas; Masui, Yoichi; Onaka, Makoto","Synlett (2014), 25(18), 2639-2643","Chlorination of Benzylic and Allylic Alcohols with Trimethylsilyl Chloride Enhanced by Natural Sodium Montmorillonite | Tandiary, Michael Andreas; Masui, Yoichi; Onaka, Makoto | Synlett (2014), 25(18), 2639-2643",90-97-1,"782-08-1, 74562-99-5",75-77-4,1318-93-0,75-09-2,,,,,,,1,1,80,13,,,,,,"{""1"": 80, ""2"": 13}","[{""index"": 1, ""cas_rn"": ""90-97-1"", ""smiles"": ""OC(c1ccc(Cl)cc1)c1ccc(Cl)cc1""}]","[{""index"": 1, ""cas_rn"": ""782-08-1"", ""yield_pct"": ""80"", ""smiles"": ""Clc1ccc(C(Cl)c2ccc(Cl)cc2)cc1""}, {""index"": 2, ""cas_rn"": ""74562-99-5"", ""yield_pct"": ""13"", ""smiles"": ""Clc1ccc(C(OC(c2ccc(Cl)cc2)c2ccc(Cl)cc2)c2ccc(Cl)cc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""75-77-4""}]","[{""index"": 1, ""cas_rn"": ""1318-93-0""}]","[{""index"": 1, ""cas_rn"": ""75-09-2""}]",,
31-012-CAS-19425032,31-012-CAS-19425032,Reaction_20251110_1700 (1).rdf,"Chlorination (SOCl2, oxalyl chloride)",6,,,COc1ccc(CO)cc1.CCOC(C)=O,COc1ccc(COC(C)=O)cc1.COc1ccc(CCl)cc1.COc1ccc(COCc2ccc(OC)cc2)cc1,COc1ccc(CO)cc1.CCOC(C)=O>>COc1ccc(COC(C)=O)cc1.COc1ccc(CCl)cc1.COc1ccc(COCc2ccc(OC)cc2)cc1,A General Catalytic Method for Highly Cost- and Atom-Efficient Nucleophilic Substitutions,"Huy, Peter H.; Filbrich, Isabel","Chemistry - A European Journal (2018), 24(29), 7410-7416","A General Catalytic Method for Highly Cost- and Atom-Efficient Nucleophilic Substitutions | Huy, Peter H.; Filbrich, Isabel | Chemistry - A European Journal (2018), 24(29), 7410-7416","105-13-5, 141-78-6","104-21-2, 824-94-2, 5405-95-8",108-77-0,3760-54-1,,,,,,,,1,1,6,82,7,,,,,"{""1"": 6, ""2"": 82, ""3"": 7}","[{""index"": 1, ""cas_rn"": ""105-13-5"", ""smiles"": ""COc1ccc(CO)cc1""}, {""index"": 2, ""cas_rn"": ""141-78-6"", ""smiles"": ""CCOC(C)=O""}]","[{""index"": 1, ""cas_rn"": ""104-21-2"", ""yield_pct"": ""6"", ""smiles"": ""COc1ccc(COC(C)=O)cc1""}, {""index"": 2, ""cas_rn"": ""824-94-2"", ""yield_pct"": ""82"", ""smiles"": ""COc1ccc(CCl)cc1""}, {""index"": 3, ""cas_rn"": ""5405-95-8"", ""yield_pct"": ""7"", ""smiles"": ""COc1ccc(COCc2ccc(OC)cc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""108-77-0""}]","[{""index"": 1, ""cas_rn"": ""3760-54-1""}]",[],"safety, toxic cyanuric chloride, sealed vial used, time dependent product formation, reagent (cyanuric chloride) prepared and used",
31-012-CAS-19425072,31-012-CAS-19425072,Reaction_20251110_1700 (1).rdf,"Chlorination (SOCl2, oxalyl chloride)",79,,,CCCCCCCCCCCCO.O=CN1CCCC1,CCCCCCCCCCCCCl.CCCCCCCCCCCCOCCCCCCCCCCCC.CCCCCCCCCCCCOC=O,CCCCCCCCCCCCO.O=CN1CCCC1>>CCCCCCCCCCCCCl.CCCCCCCCCCCCOCCCCCCCCCCCC.CCCCCCCCCCCCOC=O,A General Catalytic Method for Highly Cost- and Atom-Efficient Nucleophilic Substitutions,"Huy, Peter H.; Filbrich, Isabel","Chemistry - A European Journal (2018), 24(29), 7410-7416","A General Catalytic Method for Highly Cost- and Atom-Efficient Nucleophilic Substitutions | Huy, Peter H.; Filbrich, Isabel | Chemistry - A European Journal (2018), 24(29), 7410-7416","112-53-8, 3760-54-1","112-52-7, 4542-57-8, 28303-42-6",108-77-0,,75-05-8,,,,,,,1,1,79,9,3,,,,,"{""1"": 79, ""2"": 9, ""3"": 3}","[{""index"": 1, ""cas_rn"": ""112-53-8"", ""smiles"": ""CCCCCCCCCCCCO""}, {""index"": 2, ""cas_rn"": ""3760-54-1"", ""smiles"": ""O=CN1CCCC1""}]","[{""index"": 1, ""cas_rn"": ""112-52-7"", ""yield_pct"": ""79"", ""smiles"": ""CCCCCCCCCCCCCl""}, {""index"": 2, ""cas_rn"": ""4542-57-8"", ""yield_pct"": ""9"", ""smiles"": ""CCCCCCCCCCCCOCCCCCCCCCCCC""}, {""index"": 3, ""cas_rn"": ""28303-42-6"", ""yield_pct"": ""3"", ""smiles"": ""CCCCCCCCCCCCOC=O""}]","[{""index"": 1, ""cas_rn"": ""108-77-0""}]",[],"[{""index"": 1, ""cas_rn"": ""75-05-8""}]","safety, toxic cyanuric chloride, sealed vial used, reagent prepared and used",
31-012-CAS-2087494,31-012-CAS-2087494,Reaction_20251110_1700 (2).rdf,"Chlorination (SOCl2, oxalyl chloride)",83,,,O=C1c2ccccc2C2(O)C([N+](=O)[O-])=C3N(Cc4ccc(Cl)nc4)CCN3C12O.CCO,CCOC12C(=O)c3ccccc3C1(Cl)C([N+](=O)[O-])=C1N(Cc3ccc(Cl)nc3)CCN12,O=C1c2ccccc2C2(O)C([N+](=O)[O-])=C3N(Cc4ccc(Cl)nc4)CCN3C12O.CCO>>CCOC12C(=O)c3ccccc3C1(Cl)C([N+](=O)[O-])=C1N(Cc3ccc(Cl)nc3)CCN12,"Tetrahydroindeno[1',2':4,5]pyrrolo[1,2-a]imidazol-5(1H)-ones as Novel Neonicotinoid Insecticides: Reaction Selectivity and Substituent Effects on the Activity Level","Chen, Nanyang; Meng, Xiaoqing; Zhu, Fengjuan; Cheng, Jiagao; Shao, Xusheng; Li, Zhong","Journal of Agricultural and Food Chemistry (2015), 63(5), 1360-1369","Tetrahydroindeno[1',2':4,5]pyrrolo[1,2-a]imidazol-5(1H)-ones as Novel Neonicotinoid Insecticides: Reaction Selectivity and Substituent Effects on the Activity Level | Chen, Nanyang; Meng, Xiaoqing; Zhu, Fengjuan; Cheng, Jiagao; Shao, Xusheng; Li, Zhong | Journal of Agricultural and Food Chemistry (2015), 63(5), 1360-1369","1651178-21-0, 64-17-5",1651178-37-8,7719-09-7,,"67-66-3, 64-17-5",,,,,,"General/Typical Procedure: General Procedure for the Preparation of Chlorine-Substituted Products 6a-6c. A mixture of 2 (1 mmol) and dry chloroform (10 mL) was stirred at reflux. Then SOCl2 (5 mmol) was added to the solution, and the process was monitored by TLC. After completion, to the solution was added the corresponding alcoholic solvents (1 mL), then the solvent was removed by vacuum, and the solid was further purified by silica gel column chromatography (EtOAc) affording the pure products. 9b-Chloro-1-((6-chloropyridin-3-yl)methyl)-4a-ethoxy-10-nitro-2,3,4a,9b-tetrahydroindeno[1′,2′:4,5]pyrrolo[1,2-a]imidazol-5(1H)-one (6c). Yield, 83%. mp, 98.5-100.1 °C; 1H NMR (400 MHz, DMSO-d 6) δ 8.38 (d, J = 2.2 Hz, 1H), 8.21 (d, J = 7.8 Hz, 1H), 7.95-7.88 (m, 1H), 7.85 (d, J = 7.6 Hz, 1H), 7.81 (dd, J 1 =2.4 Hz, J 2= 8.4 Hz, 1H), 7.68 (t, J = 7.6 Hz, 1H), 7.52 (d, J = 8.2 Hz, 1H), 5.20 (d, J =15.8 Hz, 1H), 5.04 (d, J =15.8 Hz, 1H), 3.96-4.08 (m, 1H), 3.85-3.96 (m, 1H), 3.77-3.86 (m, 1H), 3.65-3.76 (m, 2H), 3.48-3.60 (m, 1H), 1.20 (t, J = 7.0 Hz, 3H); 13C NMR (100 MHz, DMSO-d 6) δ 189.0, 155.6, 149.9, 149.5, 149.1, 139.2, 137.1, 131.7, 131.2, 130.6, 128.4, 124.5, 124.2, 103.7, 91.5, 86.5, 61.4, 54.2, 48.6, 40.6, 14.8; HRMS (ES+) calcd for C21H19 35Cl2N4O4 (M + H)+, 461.0783; found, 461.0779. Calcd for C21H19 35Cl 37ClN4O4 (M + H)+, 463.0754; found, 463.0750.",2,1,83,,,,,,,"{""1"": 83}","[{""index"": 1, ""cas_rn"": ""1651178-21-0"", ""smiles"": ""O=C1c2ccccc2C2(O)C([N+](=O)[O-])=C3N(Cc4ccc(Cl)nc4)CCN3C12O""}, {""index"": 2, ""cas_rn"": ""64-17-5"", ""smiles"": ""CCO""}]","[{""index"": 1, ""cas_rn"": ""1651178-37-8"", ""yield_pct"": ""83"", ""smiles"": ""CCOC12C(=O)c3ccccc3C1(Cl)C([N+](=O)[O-])=C1N(Cc3ccc(Cl)nc3)CCN12""}]","[{""index"": 1, ""cas_rn"": ""7719-09-7""}]",[],"[{""index"": 1, ""cas_rn"": ""67-66-3""}, {""index"": 2, ""cas_rn"": ""64-17-5""}]",,
31-012-CAS-2208350,31-012-CAS-2208350,Reaction_20251110_1700 (1).rdf,"Chlorination (SOCl2, oxalyl chloride)",25,,,OCc1ccccc1,ClCc1ccccc1.c1ccc(COCc2ccccc2)cc1,OCc1ccccc1>>ClCc1ccccc1.c1ccc(COCc2ccccc2)cc1,BiCl3: an efficient agent for selective chlorination of alcohols or for halogen exchange reaction,"Boyer, Bernard; Keramane, El Mehdi; Montero, Jean-Louis; Roque, Jean-Pierre","Synthetic Communications (1998), 28(10), 1737-1741","BiCl3: an efficient agent for selective chlorination of alcohols or for halogen exchange reaction | Boyer, Bernard; Keramane, El Mehdi; Montero, Jean-Louis; Roque, Jean-Pierre | Synthetic Communications (1998), 28(10), 1737-1741",100-51-6,"100-44-7, 103-50-4",7787-60-2,,56-23-5,,,,,,"General/Typical Procedure: General reaction conditions: anhydrous CCl4d (5 ml) was stirred in the presence of BiCl3 (1.25 mmole) and the alcohol (1.25 mmole) at 25°C (or reflux) under nitrogen atmosphere. The reaction was followed by GC until complete alcohol consumption. The mixture was filtered and solvent evaporation led to chlorides in the yields shown. Entry 8, yield 25%; dibenzyl ether, yield (75%)",1,1,25,75,,,,,,"{""1"": 25, ""2"": 75}","[{""index"": 1, ""cas_rn"": ""100-51-6"", ""smiles"": ""OCc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""100-44-7"", ""yield_pct"": ""25"", ""smiles"": ""ClCc1ccccc1""}, {""index"": 2, ""cas_rn"": ""103-50-4"", ""yield_pct"": ""75"", ""smiles"": ""c1ccc(COCc2ccccc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""7787-60-2""}]",[],"[{""index"": 1, ""cas_rn"": ""56-23-5""}]",,
31-012-CAS-5260024,31-012-CAS-5260024,Reaction_20251110_1700 (1).rdf,"Chlorination (SOCl2, oxalyl chloride)",97,,,OC(c1ccccc1)c1ccccc1,ClC(c1ccccc1)c1ccccc1.c1ccc(C(OC(c2ccccc2)c2ccccc2)c2ccccc2)cc1,OC(c1ccccc1)c1ccccc1>>ClC(c1ccccc1)c1ccccc1.c1ccc(C(OC(c2ccccc2)c2ccccc2)c2ccccc2)cc1,Chlorination of Benzylic and Allylic Alcohols with Trimethylsilyl Chloride Enhanced by Natural Sodium Montmorillonite,"Tandiary, Michael Andreas; Masui, Yoichi; Onaka, Makoto","Synlett (2014), 25(18), 2639-2643","Chlorination of Benzylic and Allylic Alcohols with Trimethylsilyl Chloride Enhanced by Natural Sodium Montmorillonite | Tandiary, Michael Andreas; Masui, Yoichi; Onaka, Makoto | Synlett (2014), 25(18), 2639-2643",91-01-0,"90-99-3, 574-42-5",75-77-4,1318-93-0,75-09-2,,,,,,,1,1,97,1,,,,,,"{""1"": 97, ""2"": 1}","[{""index"": 1, ""cas_rn"": ""91-01-0"", ""smiles"": ""OC(c1ccccc1)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""90-99-3"", ""yield_pct"": ""97"", ""smiles"": ""ClC(c1ccccc1)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""574-42-5"", ""yield_pct"": ""1"", ""smiles"": ""c1ccc(C(OC(c2ccccc2)c2ccccc2)c2ccccc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""75-77-4""}]","[{""index"": 1, ""cas_rn"": ""1318-93-0""}]","[{""index"": 1, ""cas_rn"": ""75-09-2""}]","optimization study, optimized on catalyst, solvent and time",
31-012-CAS-6956079,31-012-CAS-6956079,Reaction_20251110_1700 (2).rdf,"Chlorination (SOCl2, oxalyl chloride)",85,,,O=C1c2ccccc2C2(O)C([N+](=O)[O-])=C3N(Cc4ccc(Cl)nc4)CCN3C12O.CO,COC12C(=O)c3ccccc3C1(Cl)C([N+](=O)[O-])=C1N(Cc3ccc(Cl)nc3)CCN12,O=C1c2ccccc2C2(O)C([N+](=O)[O-])=C3N(Cc4ccc(Cl)nc4)CCN3C12O.CO>>COC12C(=O)c3ccccc3C1(Cl)C([N+](=O)[O-])=C1N(Cc3ccc(Cl)nc3)CCN12,"Tetrahydroindeno[1',2':4,5]pyrrolo[1,2-a]imidazol-5(1H)-ones as Novel Neonicotinoid Insecticides: Reaction Selectivity and Substituent Effects on the Activity Level","Chen, Nanyang; Meng, Xiaoqing; Zhu, Fengjuan; Cheng, Jiagao; Shao, Xusheng; Li, Zhong","Journal of Agricultural and Food Chemistry (2015), 63(5), 1360-1369","Tetrahydroindeno[1',2':4,5]pyrrolo[1,2-a]imidazol-5(1H)-ones as Novel Neonicotinoid Insecticides: Reaction Selectivity and Substituent Effects on the Activity Level | Chen, Nanyang; Meng, Xiaoqing; Zhu, Fengjuan; Cheng, Jiagao; Shao, Xusheng; Li, Zhong | Journal of Agricultural and Food Chemistry (2015), 63(5), 1360-1369","1651178-21-0, 67-56-1",1651178-36-7,7719-09-7,,"67-66-3, 67-56-1",,,,,,"General Procedure for the Preparation of Chlorine-Substituted Products 6a-6c. A mixture of 2 (1 mmol) and dry chloroform (10 mL) was stirred at reflux. Then SOCl2 (5 mmol) was added to the solution, and the process was monitored by TLC. After completion, to the solution was added the corresponding alcoholic solvents (1 mL), then the solvent was removed by vacuum, and the solid was further purified by silica gel column chromatography (EtOAc) affording the pure products. 9b-Chloro-1-((6-chloropyridin-3-yl)methyl)-4a-methoxy-10-nitro-2,3,4a,9b-tetrahydroindeno[1′,2′:4,5]pyrrolo[1,2-a]imidazol-5(1H)-one (6b). Yield, 85%. mp, 169.2-170.6 °C; 1H NMR (400 MHz, DMSO-d 6) δ 8.39 (s, 1H), 8.20 (d, J = 7.8 Hz, 1H), 7.92 (t, J = 7.6 Hz, 1H), 7.86 (d, J = 7.6 Hz, 1H), 7.82 (d, J = 8.2 Hz, 1H), 7.69 (t, J = 7.6 Hz, 1H), 7.52 (d, J = 7.8 Hz, 1H), 5.23 (d, J =15.8 Hz, 1H), 5.05 (d, J = 15.8 Hz, 1H), 3.97-4.10 (m, 1H), 3.77-3.97 (m, 2H), 3.67-3.77 (m, 1H), 3.43 (s, 3H); 13C NMR (100 MHz, DMSO-d 6) δ 189.0, 155.7, 149.8, 149.5, 149.1, 139.2, 137.1, 131.7, 131.3, 130.7, 128.3, 124.6, 124.2, 102.9, 91.8, 86.4, 54.2, 53.6, 48.6, 40.6; HRMS (ES+) calcd for C20H17 35Cl2N4O4 (M + H)+, 447.0627; found, 447.0622. Calcd for C20H17 35Cl 37ClN4O4 (M + H)+, 449.0597; found, 449.0597.",2,1,85,,,,,,,"{""1"": 85}","[{""index"": 1, ""cas_rn"": ""1651178-21-0"", ""smiles"": ""O=C1c2ccccc2C2(O)C([N+](=O)[O-])=C3N(Cc4ccc(Cl)nc4)CCN3C12O""}, {""index"": 2, ""cas_rn"": ""67-56-1"", ""smiles"": ""CO""}]","[{""index"": 1, ""cas_rn"": ""1651178-36-7"", ""yield_pct"": ""85"", ""smiles"": ""COC12C(=O)c3ccccc3C1(Cl)C([N+](=O)[O-])=C1N(Cc3ccc(Cl)nc3)CCN12""}]","[{""index"": 1, ""cas_rn"": ""7719-09-7""}]",[],"[{""index"": 1, ""cas_rn"": ""67-66-3""}, {""index"": 2, ""cas_rn"": ""67-56-1""}]",,
