reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-049-CAS-8984809,31-049-CAS-8984809,Reaction_20251104_2157.rdf,Curtius rearrangement,,,,CCCCCO.C[C@H]1CCCCc2cccc(O[Si](C)(C)C(C)(C)C)c2C(=O)O[C@@H](C/C=C/C(=O)N=[N+]=[N-])C[C@H]1O[Si](C)(C)C(C)(C)C,CCCCCOC(=O)N/C=C/C[C@H]1C[C@@H](O)[C@@H](C)CCCCc2cccc(O)c2C(=O)O1,CCCCCO.C[C@H]1CCCCc2cccc(O[Si](C)(C)C(C)(C)C)c2C(=O)O[C@@H](C/C=C/C(=O)N=[N+]=[N-])C[C@H]1O[Si](C)(C)C(C)(C)C>>CCCCCOC(=O)N/C=C/C[C@H]1C[C@@H](O)[C@@H](C)CCCCc2cccc(O)c2C(=O)O1,Total synthesis and initial structure-function analysis of the potent V-ATPase inhibitors salicylihalamide A and related compounds,"Wu, Yusheng; Liao, Xibin; Wang, Ruifang; Xie, Xiao-Song; De Brabander, Jef K.","Journal of the American Chemical Society (2002), 124(13), 3245-3253","Total synthesis and initial structure-function analysis of the potent V-ATPase inhibitors salicylihalamide A and related compounds | Wu, Yusheng; Liao, Xibin; Wang, Ruifang; Xie, Xiao-Song; De Brabander, Jef K. | Journal of the American Chemical Society (2002), 124(13), 3245-3253","71-41-0, 398478-29-0",320573-72-6,"110-86-1, 32001-55-1",,"71-43-2, 109-99-9",,,,,,"General/Typical Procedure: (12E)-(7S,9R,10S)-4,9-Dihydroxy-10-methyl-7-[(2E)-N-(pentoxycarbonyl)-3-aminoprop-2-enyl]-7,8,9,10,11,14-hexahydro-6-oxa-benzocyclodecen-5-one (50). A solution of acyl azide 40 (10.0 mg; 0.0163 mmol) and 1-pentanol (11 µL; 0.1019 mmol) in benzene (1 mL) was stirred for 8 h at 80°C. After removal of the solvent, the residue was treated with 780 µL of a solution prepared from 0.5 g commercial HF·pyridine in 1.25 mL pyridine and 6.75 mL THF. After stirring for 24 h at RT, the reaction were quenched with a phosphate buffer (pH 7.0; 10 mL), extracted with EtOAc (4×), dried (Na2SO4) and concentrated. Purification by FC (25% acetone in hexanes). (7S,9R,10S)-4,9-Dihydroxy-10-methyl-7-[(2E)-N-(pentyloxycarbonyl)-3-aminoprop-2-enyl]-7,8,9,10,11,12,13,14-octahydro-6-oxa-benzocyclodecen-5-one (58). According to the procedure described for the synthesis of carbamate 50, acyl azide S13 (15 mg, 0.02435 mmol) gave 4.7 mg of carbamate 58. [α]D = -13.2 (c 0.24, MeOH); IR 3387, 2933, 1727, 1710, 1680, 1603, 1293, 1243, 1113 cm-1; 1H NMR (400 MHz, CD3OD) δ 7.25 (1H, app.t, J = 7.6 Hz), 6.75 (1H, d, J = 8.4 Hz), 6.73 (1H, d, J = 7.6 Hz), 6.44 (1H, d, J = 14.0 Hz), 5.14-5.22 (1H, m), 5.05 (1H, app.dt, J = 7.6, 14.0 Hz), 4.04 (2H, t, J = 6.4 Hz), 3.82-3.88 (1H, m), 3.66 (1H, ddd, 3.6, 12.4, 12.4 Hz), 2.39 (2H, app.t, J = 6.6 Hz), 2.21 (1H, ddd, J = 6.4, 12.4, 12.4 Hz), 2.10-2.20 (1H, m), 1.40-1.80 (9H, m), 1.30-1.40 (5H, m), 0.95 (3H, d, J = 6.8 Hz), 0.92 (3H, t, J = 6.4 Hz); 13C NMR (75 MHz, CD3OD) δ 172.5, 162.3, 156.6, 147.0, 134.8, 128.5, 123.4, 116.3, 115.2, 105.5, 76.3, 66.4, 37.4, 34.4, 32.7, 29.9, 29.3, 23.5, 16.6, 14.5; MS (ES) m/z 448.20 ([MH]+, 100), 470.19 ([MNa]+, 32). HRMS (FAB, MNBA, added LiI) Calcd for C25H37NO6Li ([MLi]+): 454.2781. Found: 454.2779.",2,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""71-41-0"", ""smiles"": ""CCCCCO""}, {""index"": 2, ""cas_rn"": ""398478-29-0"", ""smiles"": ""C[C@H]1CCCCc2cccc(O[Si](C)(C)C(C)(C)C)c2C(=O)O[C@@H](C/C=C/C(=O)N=[N+]=[N-])C[C@H]1O[Si](C)(C)C(C)(C)C""}]","[{""index"": 1, ""cas_rn"": ""320573-72-6"", ""smiles"": ""CCCCCOC(=O)N/C=C/C[C@H]1C[C@@H](O)[C@@H](C)CCCCc2cccc(O)c2C(=O)O1""}]","[{""index"": 1, ""cas_rn"": ""110-86-1""}, {""index"": 2, ""cas_rn"": ""32001-55-1""}]",[],"[{""index"": 1, ""cas_rn"": ""71-43-2""}, {""index"": 2, ""cas_rn"": ""109-99-9""}]",,
31-128-CAS-10266987,31-128-CAS-10266987,Reaction_20251104_2157 (1).rdf,Curtius rearrangement,70,,,OCc1ccccc1.CCOC(=O)[C@]1(C)C[C@H]1C(=O)N=[N+]=[N-],CCOC(=O)[C@]1(C)C[C@H]1NC(=O)OCc1ccccc1,OCc1ccccc1.CCOC(=O)[C@]1(C)C[C@H]1C(=O)N=[N+]=[N-]>>CCOC(=O)[C@]1(C)C[C@H]1NC(=O)OCc1ccccc1,Enantioselective synthetic approaches to cyclopropane and cyclobutane β-amino acids: synthesis and structural study of a conformationally constrained β-dipeptide,"Martin-Vila, Marta; Muray, Elena; Aguado, Gemma P.; Alvarez-Larena, Angel; Branchadell, Vicenc; Minguillon, Cristina; Giralt, Ernest; Ortuno, Rosa M.","Tetrahedron: Asymmetry (2000), 11(17), 3569-3584","Enantioselective synthetic approaches to cyclopropane and cyclobutane β-amino acids: synthesis and structural study of a conformationally constrained β-dipeptide | Martin-Vila, Marta; Muray, Elena; Aguado, Gemma P.; Alvarez-Larena, Angel; Branchadell, Vicenc; Minguillon, Cristina; Giralt, Ernest; Ortuno, Rosa M. | Tetrahedron: Asymmetry (2000), 11(17), 3569-3584","100-51-6, 316363-46-9",316363-47-0,,,,,,,,,,1,1,70,,,,,,,"{""1"": 70}","[{""index"": 1, ""cas_rn"": ""100-51-6"", ""smiles"": ""OCc1ccccc1""}, {""index"": 2, ""cas_rn"": ""316363-46-9"", ""smiles"": ""CCOC(=O)[C@]1(C)C[C@H]1C(=O)N=[N+]=[N-]""}]","[{""index"": 1, ""cas_rn"": ""316363-47-0"", ""yield_pct"": ""70"", ""smiles"": ""CCOC(=O)[C@]1(C)C[C@H]1NC(=O)OCc1ccccc1""}]",[],[],[],stereoselective,
31-128-CAS-10449091,31-128-CAS-10449091,Reaction_20251104_2157.rdf,Curtius rearrangement,,,,OCc1ccccc1.CCOC(=O)N[C@@H](CC(C)C)C(=O)N=[N+]=[N-],CCOC(=O)N[C@@H](CC(C)C)NC(=O)OCc1ccccc1,OCc1ccccc1.CCOC(=O)N[C@@H](CC(C)C)C(=O)N=[N+]=[N-]>>CCOC(=O)N[C@@H](CC(C)C)NC(=O)OCc1ccccc1,Some applications of the Curtius rearrangement,"Moutevelis-Minakakis, Panagiota; Photaki, Iphigenia","Journal of the Chemical Society, Perkin Transactions 1: Organic and Bio-Organic Chemistry (1972-1999) (1985), (11), 2277-81","Some applications of the Curtius rearrangement | Moutevelis-Minakakis, Panagiota; Photaki, Iphigenia | Journal of the Chemical Society, Perkin Transactions 1: Organic and Bio-Organic Chemistry (1972-1999) (1985), (11), 2277-81","100-51-6, 102195-77-7",88491-30-9,,,71-43-2,,,,,,,1,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""100-51-6"", ""smiles"": ""OCc1ccccc1""}, {""index"": 2, ""cas_rn"": ""102195-77-7"", ""smiles"": ""CCOC(=O)N[C@@H](CC(C)C)C(=O)N=[N+]=[N-]""}]","[{""index"": 1, ""cas_rn"": ""88491-30-9"", ""smiles"": ""CCOC(=O)N[C@@H](CC(C)C)NC(=O)OCc1ccccc1""}]",[],[],"[{""index"": 1, ""cas_rn"": ""71-43-2""}]",,
31-128-CAS-11242390,31-128-CAS-11242390,Reaction_20251104_2157 (1).rdf,Curtius rearrangement,79,,,CC(C)(C)O.[N-]=[N+]=NC(=O)C1C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c2c2c4c4c%12c5c6c5c8c9c%10c2c45)C713,CC(C)(C)OC(=O)NC1C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c2c2c4c4c%12c5c6c5c8c9c%10c2c45)C713,CC(C)(C)O.[N-]=[N+]=NC(=O)C1C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c2c2c4c4c%12c5c6c5c8c9c%10c2c45)C713>>CC(C)(C)OC(=O)NC1C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c2c2c4c4c%12c5c6c5c8c9c%10c2c45)C713,"Synthesis of 2,2-[60]fullerenoalkylamines via the curtius rearrangement","Tada, Tomoyuki; Ishida, Yasuhiro; Saigo, Kazuhiko","Synlett (2007), (2), 235-238","Synthesis of 2,2-[60]fullerenoalkylamines via the curtius rearrangement | Tada, Tomoyuki; Ishida, Yasuhiro; Saigo, Kazuhiko | Synlett (2007), (2), 235-238","75-65-0, 849612-48-2",849612-52-8,,,95-47-6,,,,,,"The key reaction, the Curtius rearrangement reaction of the acyl azides 3a-g, was performed in the presence of a large excess of tert-butyl alcohol in o-xylene under reflux for six hours. Like most Curtius rearrangement reactions, those described herein took place easily, regardless of the congestion around the carbon at the C2 position of the acyl azides 3a-g, and without any side reactions with the [60] fullerene core, to afford the carbamates 4a-g in 75-90% yields. Compound 4a: yield 79%.",1,1,79,,,,,,,"{""1"": 79}","[{""index"": 1, ""cas_rn"": ""75-65-0"", ""smiles"": ""CC(C)(C)O""}, {""index"": 2, ""cas_rn"": ""849612-48-2"", ""smiles"": ""[N-]=[N+]=NC(=O)C1C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c2c2c4c4c%12c5c6c5c8c9c%10c2c45)C713""}]","[{""index"": 1, ""cas_rn"": ""849612-52-8"", ""yield_pct"": ""79"", ""smiles"": ""CC(C)(C)OC(=O)NC1C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c2c2c4c4c%12c5c6c5c8c9c%10c2c45)C713""}]",[],[],"[{""index"": 1, ""cas_rn"": ""95-47-6""}]",,
31-128-CAS-11246230,31-128-CAS-11246230,Reaction_20251104_2157.rdf,Curtius rearrangement,30,,,CO.COc1ccc([C@H]2[C@@H](C(=O)N=[N+]=[N-])c3ccccc3C(=O)N2C)cc1OC,COC(=O)N[C@@H]1c2ccccc2C(=O)N(C)[C@H]1c1ccc(OC)c(OC)c1,CO.COc1ccc([C@H]2[C@@H](C(=O)N=[N+]=[N-])c3ccccc3C(=O)N2C)cc1OC>>COC(=O)N[C@@H]1c2ccccc2C(=O)N(C)[C@H]1c1ccc(OC)c(OC)c1,Curtius rearrangement of 1(2H)-isoquinolinone and 1H-2-benzopyran-1-one carboxylic acids,"Atanasova, I.; Khaimova, M.; Stanoeva, E.","Izvestiya po Khimiya (1984), 17(2), 172-9","Curtius rearrangement of 1(2H)-isoquinolinone and 1H-2-benzopyran-1-one carboxylic acids | Atanasova, I.; Khaimova, M.; Stanoeva, E. | Izvestiya po Khimiya (1984), 17(2), 172-9","67-56-1, 94974-79-5",94974-57-9,,,,,,,,,,1,1,30,,,,,,,"{""1"": 30}","[{""index"": 1, ""cas_rn"": ""67-56-1"", ""smiles"": ""CO""}, {""index"": 2, ""cas_rn"": ""94974-79-5"", ""smiles"": ""COc1ccc([C@H]2[C@@H](C(=O)N=[N+]=[N-])c3ccccc3C(=O)N2C)cc1OC""}]","[{""index"": 1, ""cas_rn"": ""94974-57-9"", ""yield_pct"": ""30"", ""smiles"": ""COC(=O)N[C@@H]1c2ccccc2C(=O)N(C)[C@H]1c1ccc(OC)c(OC)c1""}]",[],[],[],,
31-128-CAS-11372962,31-128-CAS-11372962,Reaction_20251104_2157 (1).rdf,Curtius rearrangement,81,,,CO.COc1ccc(CC(=O)N=[N+]=[N-])cc1,COC(=O)NCc1ccc(OC)cc1,CO.COc1ccc(CC(=O)N=[N+]=[N-])cc1>>COC(=O)NCc1ccc(OC)cc1,Facile preparation of protected benzylic and heteroarylmethyl amines via room temperature Curtius rearrangement,"Leathen, Matthew L.; Peterson, Emily A.","Tetrahedron Letters (2010), 51(21), 2888-2891","Facile preparation of protected benzylic and heteroarylmethyl amines via room temperature Curtius rearrangement | Leathen, Matthew L.; Peterson, Emily A. | Tetrahedron Letters (2010), 51(21), 2888-2891","67-56-1, 87721-45-7",99075-91-9,,,67-56-1,,,,,,,1,1,81,,,,,,,"{""1"": 81}","[{""index"": 1, ""cas_rn"": ""67-56-1"", ""smiles"": ""CO""}, {""index"": 2, ""cas_rn"": ""87721-45-7"", ""smiles"": ""COc1ccc(CC(=O)N=[N+]=[N-])cc1""}]","[{""index"": 1, ""cas_rn"": ""99075-91-9"", ""yield_pct"": ""81"", ""smiles"": ""COC(=O)NCc1ccc(OC)cc1""}]",[],[],"[{""index"": 1, ""cas_rn"": ""67-56-1""}]",,
31-128-CAS-11779853,31-128-CAS-11779853,Reaction_20251104_2157.rdf,Curtius rearrangement,51,,,OCc1ccccc1.COC(c1ccccc1)(c1ccccc1)[C@@H]1OB([C@@H]2C[C@@H]2C(=O)N=[N+]=[N-])O[C@H]1C(OC)(c1ccccc1)c1ccccc1,COC(c1ccccc1)(c1ccccc1)[C@@H]1OB([C@@H]2C[C@@H]2NC(=O)OCc2ccccc2)O[C@H]1C(OC)(c1ccccc1)c1ccccc1,OCc1ccccc1.COC(c1ccccc1)(c1ccccc1)[C@@H]1OB([C@@H]2C[C@@H]2C(=O)N=[N+]=[N-])O[C@H]1C(OC)(c1ccccc1)c1ccccc1>>COC(c1ccccc1)(c1ccccc1)[C@@H]1OB([C@@H]2C[C@@H]2NC(=O)OCc2ccccc2)O[C@H]1C(OC)(c1ccccc1)c1ccccc1,Enantiomerically Pure Cyclopropylamines from Cyclopropylboronic Esters,"Pietruszka, Joerg; Solduga, Gemma","European Journal of Organic Chemistry (2009), (34), 5998-6008, S5998/1-S5998/10","Enantiomerically Pure Cyclopropylamines from Cyclopropylboronic Esters | Pietruszka, Joerg; Solduga, Gemma | European Journal of Organic Chemistry (2009), (34), 5998-6008, S5998/1-S5998/10","100-51-6, 1204315-45-6",1204315-46-7,,,108-88-3,,,,,,,1,1,51,,,,,,,"{""1"": 51}","[{""index"": 1, ""cas_rn"": ""100-51-6"", ""smiles"": ""OCc1ccccc1""}, {""index"": 2, ""cas_rn"": ""1204315-45-6"", ""smiles"": ""COC(c1ccccc1)(c1ccccc1)[C@@H]1OB([C@@H]2C[C@@H]2C(=O)N=[N+]=[N-])O[C@H]1C(OC)(c1ccccc1)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""1204315-46-7"", ""yield_pct"": ""51"", ""smiles"": ""COC(c1ccccc1)(c1ccccc1)[C@@H]1OB([C@@H]2C[C@@H]2NC(=O)OCc2ccccc2)O[C@H]1C(OC)(c1ccccc1)c1ccccc1""}]",[],[],"[{""index"": 1, ""cas_rn"": ""108-88-3""}]","stereoselective, Curtius rearrangement",
31-128-CAS-12115135,31-128-CAS-12115135,Reaction_20251104_2157 (1).rdf,Curtius rearrangement,84,,,[N-]=[N+]=NC(=O)[C@@H]1[C@H](C(=O)OCc2ccccc2)[C@@H]2O[C@H]1C(Br)C2Br.COc1ccc(CO)cc1,COc1ccc(COC(=O)N[C@@H]2[C@H](C(=O)OCc3ccccc3)[C@@H]3O[C@H]2C(Br)C3Br)cc1,[N-]=[N+]=NC(=O)[C@@H]1[C@H](C(=O)OCc2ccccc2)[C@@H]2O[C@H]1C(Br)C2Br.COc1ccc(CO)cc1>>COc1ccc(COC(=O)N[C@@H]2[C@H](C(=O)OCc3ccccc3)[C@@H]3O[C@H]2C(Br)C3Br)cc1,A Novel Highly Selective Chiral Auxiliary for the Asymmetric Synthesis of L- and D-α-Amino Acid Derivatives via a Multicomponent Ugi Reaction,"Basso, Andrea; Banfi, Luca; Riva, Renata; Guanti, Giuseppe","Journal of Organic Chemistry (2005), 70(2), 575-579","A Novel Highly Selective Chiral Auxiliary for the Asymmetric Synthesis of L- and D-α-Amino Acid Derivatives via a Multicomponent Ugi Reaction | Basso, Andrea; Banfi, Luca; Riva, Renata; Guanti, Giuseppe | Journal of Organic Chemistry (2005), 70(2), 575-579","844865-26-5, 105-13-5",844865-27-6,,,108-88-3,,,,,,"Crude 5 was then dissolved in toluene (40 mL) and heated at reflux for 30 min until the release of nitrogen ceased. 4-Methoxybenzyl alcohol (1.2 mL, 9.36 mmol) was then added, and the solution was allowed to cool to room temperature overnight. The crude material was partially crystallized, and the mother waters were purified by flash chromatography (eluent: gradient from EtOAc/PE 2:8 to EtOAc/PE 3:7). The solid and the product of the chromatography were combined, yielding 2.1 g (3.62 mmol, 81%) of product as two diastereoisomers.",2,1,84,,,,,,,"{""1"": 84}","[{""index"": 1, ""cas_rn"": ""844865-26-5"", ""smiles"": ""[N-]=[N+]=NC(=O)[C@@H]1[C@H](C(=O)OCc2ccccc2)[C@@H]2O[C@H]1C(Br)C2Br""}, {""index"": 2, ""cas_rn"": ""105-13-5"", ""smiles"": ""COc1ccc(CO)cc1""}]","[{""index"": 1, ""cas_rn"": ""844865-27-6"", ""yield_pct"": ""84"", ""smiles"": ""COc1ccc(COC(=O)N[C@@H]2[C@H](C(=O)OCc3ccccc3)[C@@H]3O[C@H]2C(Br)C3Br)cc1""}]",[],[],"[{""index"": 1, ""cas_rn"": ""108-88-3""}]",Curtius rearrangement,
31-128-CAS-13227955,31-128-CAS-13227955,Reaction_20251104_2157 (1).rdf,Curtius rearrangement,92,,,OCc1ccccc1.CC(=O)[C@@H]1C[C@H](C(=O)N=[N+]=[N-])C1(C)C,CC(=O)[C@@H]1C[C@H](NC(=O)OCc2ccccc2)C1(C)C,OCc1ccccc1.CC(=O)[C@@H]1C[C@H](C(=O)N=[N+]=[N-])C1(C)C>>CC(=O)[C@@H]1C[C@H](NC(=O)OCc2ccccc2)C1(C)C,Stereodivergent synthesis of the first bis(cyclobutane) γ-dipeptides and mixed γ-oligomers,"Aguilera, Jordi; Moglioni, Albertina G.; Moltrasio, Graciela Y.; Ortuno, Rosa M.","Tetrahedron: Asymmetry (2008), 19(3), 302-308","Stereodivergent synthesis of the first bis(cyclobutane) γ-dipeptides and mixed γ-oligomers | Aguilera, Jordi; Moglioni, Albertina G.; Moltrasio, Graciela Y.; Ortuno, Rosa M. | Tetrahedron: Asymmetry (2008), 19(3), 302-308","100-51-6, 1017279-74-1",1017279-96-7,,,108-88-3,,,,,,,1,1,92,,,,,,,"{""1"": 92}","[{""index"": 1, ""cas_rn"": ""100-51-6"", ""smiles"": ""OCc1ccccc1""}, {""index"": 2, ""cas_rn"": ""1017279-74-1"", ""smiles"": ""CC(=O)[C@@H]1C[C@H](C(=O)N=[N+]=[N-])C1(C)C""}]","[{""index"": 1, ""cas_rn"": ""1017279-96-7"", ""yield_pct"": ""92"", ""smiles"": ""CC(=O)[C@@H]1C[C@H](NC(=O)OCc2ccccc2)C1(C)C""}]",[],[],"[{""index"": 1, ""cas_rn"": ""108-88-3""}]",Curtius rearrangement,
31-128-CAS-13867488,31-128-CAS-13867488,Reaction_20251104_2157.rdf,Curtius rearrangement,43,,,Oc1ccc(F)cc1.CSc1nc(C)cc(OCC(=O)N=[N+]=[N-])n1,CSc1nc(C)cc(OCNC(=O)Oc2ccc(F)cc2)n1,Oc1ccc(F)cc1.CSc1nc(C)cc(OCC(=O)N=[N+]=[N-])n1>>CSc1nc(C)cc(OCNC(=O)Oc2ccc(F)cc2)n1,Synthesis of (pyrimidin-4-yloxy)- and (pyrimidin-3-yl)acetyl azides and their rearrangement to carbamates and ureas,"Jakubkiene, Virginija; Kacnova, Zana; Burbuliene, Milda M.; Vainilavicius, Povilas","ARKIVOC (Gainesville, FL, United States) (2010), (11), 39-48","Synthesis of (pyrimidin-4-yloxy)- and (pyrimidin-3-yl)acetyl azides and their rearrangement to carbamates and ureas | Jakubkiene, Virginija; Kacnova, Zana; Burbuliene, Milda M.; Vainilavicius, Povilas | ARKIVOC (Gainesville, FL, United States) (2010), (11), 39-48","371-41-5, 880637-20-7",1242742-48-8,,,71-43-2,,,,,,,1,1,43,,,,,,,"{""1"": 43}","[{""index"": 1, ""cas_rn"": ""371-41-5"", ""smiles"": ""Oc1ccc(F)cc1""}, {""index"": 2, ""cas_rn"": ""880637-20-7"", ""smiles"": ""CSc1nc(C)cc(OCC(=O)N=[N+]=[N-])n1""}]","[{""index"": 1, ""cas_rn"": ""1242742-48-8"", ""yield_pct"": ""43"", ""smiles"": ""CSc1nc(C)cc(OCNC(=O)Oc2ccc(F)cc2)n1""}]",[],[],"[{""index"": 1, ""cas_rn"": ""71-43-2""}]",Curtius rearrangement,
