reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-138-CAS-2914869,31-138-CAS-2914869,Reaction_20251106_1710.rdf,DIBAL‑H Partial reductions,71,,,CC(C)[CH2][AlH][CH2]C(C)C.COC(=O)[C@H](CO)NC(=O)OC(C)(C)C,CC(C)(C)OC(=O)N1[C@H](C=O)COC1(C)C,CC(C)[CH2][AlH][CH2]C(C)C.COC(=O)[C@H](CO)NC(=O)OC(C)(C)C>>CC(C)(C)OC(=O)N1[C@H](C=O)COC1(C)C,Caged Ceramide 1-Phosphate Analogs: Synthesis and Properties,"Lankalapalli, Ravi S.; Ouro, Alberto; Arana, Lide; Gomez-Munoz, Antonio; Bittman, Robert","Journal of Organic Chemistry (2009), 74(22), 8844-8847","Caged Ceramide 1-Phosphate Analogs: Synthesis and Properties | Lankalapalli, Ravi S.; Ouro, Alberto; Arana, Lide; Gomez-Munoz, Antonio; Bittman, Robert | Journal of Organic Chemistry (2009), 74(22), 8844-8847","1191-15-7, 2766-43-0",102308-32-7,7647-01-0,,"108-88-3, 67-56-1, 7732-18-5",,,,,,"(S)-tert-Butyl-4-formyl-2,2-dimethyloxazolidine-3-carboxylate (3). A solution of N-Boc-( S)-serine methyl ester (12.0 g, 46.3 mmol) in toluene (100 mL) was cooled to -78 °C under nitrogen. To the cooled solution was slowly added DIBAL-H (83 mL, a 1.5 M solution in toluene). The reaction mixture was stirred for 2 h at -78 °C, and the reaction was quenched by slowly adding 100 mL of cold MeOH. The resulting white emulsion was slowly poured into 200 mL of ice-cold 1 M HCl with swirling over 20 min, and the aqueous mixture was extracted with EtOAc (3 x 120 mL). The combined organic layers were washed with brine (150 mL), dried (Na2SO4), and concentrated to give the crude product as a colorless oil, which was vacuum distilled to provide aldehyde 3 (7.5 g, 71%) as a colorless liquid. bp 115-125 °C (9.0 mm Hg).",3,1,71,,,,,,,"{""1"": 71}","[{""index"": 1, ""cas_rn"": ""1191-15-7"", ""smiles"": ""CC(C)[CH2][AlH][CH2]C(C)C""}, {""index"": 2, ""cas_rn"": ""2766-43-0"", ""smiles"": ""COC(=O)[C@H](CO)NC(=O)OC(C)(C)C""}]","[{""index"": 1, ""cas_rn"": ""102308-32-7"", ""yield_pct"": ""71"", ""smiles"": ""CC(C)(C)OC(=O)N1[C@H](C=O)COC1(C)C""}]","[{""index"": 1, ""cas_rn"": ""7647-01-0""}]",[],"[{""index"": 1, ""cas_rn"": ""108-88-3""}, {""index"": 2, ""cas_rn"": ""67-56-1""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}]",,
31-233-CAS-5046055,31-233-CAS-5046055,Reaction_20251106_1710.rdf,DIBAL‑H Partial reductions,78,,,C#CC(=O)OCC,O=C/C=C\I,C#CC(=O)OCC>>O=C/C=C\I,Highly selective synthesis of conjugated dienoic and trienoic esters via alkyne elementometalation-Pd-catalyzed cross-coupling,"Wang, Guangwei; Mohan, Swathi; Negishi, Ei-ichi","Proceedings of the National Academy of Sciences of the United States of America (2011), 108(28), 11344-11349, S11344/1-S11344/35","Highly selective synthesis of conjugated dienoic and trienoic esters via alkyne elementometalation-Pd-catalyzed cross-coupling | Wang, Guangwei; Mohan, Swathi; Negishi, Ei-ichi | Proceedings of the National Academy of Sciences of the United States of America (2011), 108(28), 11344-11349, S11344/1-S11344/35",623-47-2,138102-13-3,"7681-82-5, 1191-15-7",,64-19-7,,,,,,,2,1,78,,,,,,,"{""1"": 78}","[{""index"": 1, ""cas_rn"": ""623-47-2"", ""smiles"": ""C#CC(=O)OCC""}]","[{""index"": 1, ""cas_rn"": ""138102-13-3"", ""yield_pct"": ""78"", ""smiles"": ""O=C/C=C\\I""}]","[{""index"": 1, ""cas_rn"": ""7681-82-5""}, {""index"": 2, ""cas_rn"": ""1191-15-7""}]",[],"[{""index"": 1, ""cas_rn"": ""64-19-7""}]",stereoselective,
31-260-CAS-18533005,31-260-CAS-18533005,Reaction_20251106_1710.rdf,DIBAL‑H Partial reductions,80,,,C/C=C1/C(=O)OC=C(C(=O)OC(C)(C)C)[C@H]1CCO[Si](C)(C)C(C)(C)C.CC(=O)OC(C)=O,C/C=C(/COC(C)=O)[C@H](CCO[Si](C)(C)C(C)(C)C)/C(=C\OC(C)=O)C(=O)OC(C)(C)C.C/C=C(/C=O)[C@H](CCO[Si](C)(C)C(C)(C)C)/C(=C\OC(C)=O)C(=O)OC(C)(C)C,C/C=C1/C(=O)OC=C(C(=O)OC(C)(C)C)[C@H]1CCO[Si](C)(C)C(C)(C)C.CC(=O)OC(C)=O>>C/C=C(/COC(C)=O)[C@H](CCO[Si](C)(C)C(C)(C)C)/C(=C\OC(C)=O)C(=O)OC(C)(C)C.C/C=C(/C=O)[C@H](CCO[Si](C)(C)C(C)(C)C)/C(=C\OC(C)=O)C(=O)OC(C)(C)C,NHC catalyzed enantioselective Coates-Claisen rearrangement: a rapid access to the dihydropyran core for oleuropein based secoiridoids,"Vedachalam, Seenuvasan; Murugesh, Nithya; Chakraborty, Priyanka; Karvembu, Ramasamy; Liu, Xue-Wei","New Journal of Chemistry (2018), 42(3), 1832-1839","NHC catalyzed enantioselective Coates-Claisen rearrangement: a rapid access to the dihydropyran core for oleuropein based secoiridoids | Vedachalam, Seenuvasan; Murugesh, Nithya; Chakraborty, Priyanka; Karvembu, Ramasamy; Liu, Xue-Wei | New Journal of Chemistry (2018), 42(3), 1832-1839","2172981-34-7, 108-24-7","2172981-36-9, 2172981-37-0","1191-15-7, 110-86-1, 12125-02-9, 304-59-6",1122-58-3,"75-09-2, 108-88-3, 7732-18-5",,,,,,,5,1,80,5,,,,,,"{""1"": 80, ""2"": 5}","[{""index"": 1, ""cas_rn"": ""2172981-34-7"", ""smiles"": ""C/C=C1/C(=O)OC=C(C(=O)OC(C)(C)C)[C@H]1CCO[Si](C)(C)C(C)(C)C""}, {""index"": 2, ""cas_rn"": ""108-24-7"", ""smiles"": ""CC(=O)OC(C)=O""}]","[{""index"": 1, ""cas_rn"": ""2172981-36-9"", ""yield_pct"": ""80"", ""smiles"": ""C/C=C(/COC(C)=O)[C@H](CCO[Si](C)(C)C(C)(C)C)/C(=C\\OC(C)=O)C(=O)OC(C)(C)C""}, {""index"": 2, ""cas_rn"": ""2172981-37-0"", ""yield_pct"": ""5"", ""smiles"": ""C/C=C(/C=O)[C@H](CCO[Si](C)(C)C(C)(C)C)/C(=C\\OC(C)=O)C(=O)OC(C)(C)C""}]","[{""index"": 1, ""cas_rn"": ""1191-15-7""}, {""index"": 2, ""cas_rn"": ""110-86-1""}, {""index"": 3, ""cas_rn"": ""12125-02-9""}, {""index"": 4, ""cas_rn"": ""304-59-6""}]","[{""index"": 1, ""cas_rn"": ""1122-58-3""}]","[{""index"": 1, ""cas_rn"": ""75-09-2""}, {""index"": 2, ""cas_rn"": ""108-88-3""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}]","stereoselective, 5% reactant also recovered, optimization study, optimized on stoichiometry of reagent, optimized on solvent",
31-301-CAS-14311598,31-301-CAS-14311598,Reaction_20251106_1710.rdf,DIBAL‑H Partial reductions,,,,CC(C)[CH2][AlH][CH2]C(C)C.COC(=O)C[C@H](C)CC[C@H](O)C(C)C,CC(C)[C@@H]1CC[C@@H](C)C[C@@H](O)O1.CC(C)CO[C@@H]1C[C@H](C)CC[C@@H](C(C)C)O1.CC(C)[C@@H](O)CC[C@@H](C)CC=O,CC(C)[CH2][AlH][CH2]C(C)C.COC(=O)C[C@H](C)CC[C@H](O)C(C)C>>CC(C)[C@@H]1CC[C@@H](C)C[C@@H](O)O1.CC(C)CO[C@@H]1C[C@H](C)CC[C@@H](C(C)C)O1.CC(C)[C@@H](O)CC[C@@H](C)CC=O,Low-temperature reduction of acyclic (-)-mentholactone derivatives with diisobutylaluminum hydride in methylene chloride,"Ishmuratov, G. Yu.; Vydrina, V. A.; Galkina, Yu. A.; Yakovleva, M. P.; Kravchenko, A. A.; Muslukhov, R. R.; Tolstikov, A. G.","Russian Journal of Organic Chemistry (2015), 51(7), 947-950","Low-temperature reduction of acyclic (-)-mentholactone derivatives with diisobutylaluminum hydride in methylene chloride | Ishmuratov, G. Yu.; Vydrina, V. A.; Galkina, Yu. A.; Yakovleva, M. P.; Kravchenko, A. A.; Muslukhov, R. R.; Tolstikov, A. G. | Russian Journal of Organic Chemistry (2015), 51(7), 947-950","1191-15-7, 146512-80-3","1111101-42-8, 1111101-43-9, 1111101-49-5",7732-18-5,,"75-09-2, 108-88-3, 109-99-9",,,,,,,2,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""1191-15-7"", ""smiles"": ""CC(C)[CH2][AlH][CH2]C(C)C""}, {""index"": 2, ""cas_rn"": ""146512-80-3"", ""smiles"": ""COC(=O)C[C@H](C)CC[C@H](O)C(C)C""}]","[{""index"": 1, ""cas_rn"": ""1111101-42-8"", ""smiles"": ""CC(C)[C@@H]1CC[C@@H](C)C[C@@H](O)O1""}, {""index"": 2, ""cas_rn"": ""1111101-43-9"", ""smiles"": ""CC(C)CO[C@@H]1C[C@H](C)CC[C@@H](C(C)C)O1""}, {""index"": 3, ""cas_rn"": ""1111101-49-5"", ""smiles"": ""CC(C)[C@@H](O)CC[C@@H](C)CC=O""}]","[{""index"": 1, ""cas_rn"": ""7732-18-5""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}, {""index"": 2, ""cas_rn"": ""108-88-3""}, {""index"": 3, ""cas_rn"": ""109-99-9""}]","stereoselective, mixture yield, 60",
31-301-CAS-22769975,31-301-CAS-22769975,Reaction_20251106_1710.rdf,DIBAL‑H Partial reductions,,,,CC(C)[CH2][AlH][CH2]C(C)C.COC(=O)CCCCCO,O=CCCCCCO.CC(C)COC1CCCCCO1,CC(C)[CH2][AlH][CH2]C(C)C.COC(=O)CCCCCO>>O=CCCCCCO.CC(C)COC1CCCCCO1,Influence of Some Factors on the Progress of a New Reaction in the Chemistry of Organoaluminum Compounds,"Yakovleva, M. P.; Vydrina, V. A.; Ishmuratov, G. Yu.","Russian Journal of Organic Chemistry (2020), 56(8), 1353-1358","Influence of Some Factors on the Progress of a New Reaction in the Chemistry of Organoaluminum Compounds | Yakovleva, M. P.; Vydrina, V. A.; Ishmuratov, G. Yu. | Russian Journal of Organic Chemistry (2020), 56(8), 1353-1358","1191-15-7, 4547-43-7","34067-76-0, 2505486-68-8",,,"75-09-2, 108-88-3, 109-99-9, 7732-18-5",,,,,,,1,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""1191-15-7"", ""smiles"": ""CC(C)[CH2][AlH][CH2]C(C)C""}, {""index"": 2, ""cas_rn"": ""4547-43-7"", ""smiles"": ""COC(=O)CCCCCO""}]","[{""index"": 1, ""cas_rn"": ""34067-76-0"", ""smiles"": ""O=CCCCCCO""}, {""index"": 2, ""cas_rn"": ""2505486-68-8"", ""smiles"": ""CC(C)COC1CCCCCO1""}]",[],[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}, {""index"": 2, ""cas_rn"": ""108-88-3""}, {""index"": 3, ""cas_rn"": ""109-99-9""}, {""index"": 4, ""cas_rn"": ""7732-18-5""}]",,
31-313-CAS-19056968,31-313-CAS-19056968,Reaction_20251106_1710.rdf,DIBAL‑H Partial reductions,,,,CCOC(=O)c1ccccc1.C1CCNCC1,OCc1ccccc1.O=Cc1ccccc1.c1ccc(CN2CCCCC2)cc1,CCOC(=O)c1ccccc1.C1CCNCC1>>OCc1ccccc1.O=Cc1ccccc1.c1ccc(CN2CCCCC2)cc1,Product subclass 2: aluminum hydrides,"Saito, S.","Science of Synthesis (2004), 715-94","Product subclass 2: aluminum hydrides | Saito, S. | Science of Synthesis (2004), 715-94","93-89-0, 110-89-4","100-51-6, 100-52-7, 2905-56-8",,,,,,,,,,1,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""93-89-0"", ""smiles"": ""CCOC(=O)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""110-89-4"", ""smiles"": ""C1CCNCC1""}]","[{""index"": 1, ""cas_rn"": ""100-51-6"", ""smiles"": ""OCc1ccccc1""}, {""index"": 2, ""cas_rn"": ""100-52-7"", ""smiles"": ""O=Cc1ccccc1""}, {""index"": 3, ""cas_rn"": ""2905-56-8"", ""smiles"": ""c1ccc(CN2CCCCC2)cc1""}]",[],[],[],"Go to Science of Synthesis, a critically reviewed reference work of synthetic methodology, for more information.",
31-339-CAS-19299044,31-339-CAS-19299044,Reaction_20251106_1710.rdf,DIBAL‑H Partial reductions,35,,,CC1=C(C=O)C(C)(C)CC=C1.CCOC(=O)CP(=O)(OCC)OCC,CC1=C(/C=C/C=O)C(C)(C)CC=C1,CC1=C(C=O)C(C)(C)CC=C1.CCOC(=O)CP(=O)(OCC)OCC>>CC1=C(/C=C/C=O)C(C)(C)CC=C1,Production of a Light-Gated Proton Channel by Replacing the Retinal Chromophore with Its Synthetic Vinylene Derivative,"Takayama, Riho; Kaneko, Akimasa; Okitsu, Takashi; Tsunoda, Satoshi P.; Shimono, Kazumi; Mizuno, Misao; Kojima, Keiichi; Tsukamoto, Takashi; Kandori, Hideki; Mizutani, Yasuhisa; Wada, Akimori; Sudo, Yuki","Journal of Physical Chemistry Letters (2018), 9(11), 2857-2862","Production of a Light-Gated Proton Channel by Replacing the Retinal Chromophore with Its Synthetic Vinylene Derivative | Takayama, Riho; Kaneko, Akimasa; Okitsu, Takashi; Tsunoda, Satoshi P.; Shimono, Kazumi; Mizuno, Misao; Kojima, Keiichi; Tsukamoto, Takashi; Kandori, Hideki; Mizutani, Yasuhisa; Wada, Akimori; Sudo, Yuki | Journal of Physical Chemistry Letters (2018), 9(11), 2857-2862","116-26-7, 867-13-0",84750-76-5,"7646-69-7, 16853-85-3, 1313-13-9",,"109-99-9, 60-29-7",,,,,,,3,1,35,,,,,,,"{""1"": 35}","[{""index"": 1, ""cas_rn"": ""116-26-7"", ""smiles"": ""CC1=C(C=O)C(C)(C)CC=C1""}, {""index"": 2, ""cas_rn"": ""867-13-0"", ""smiles"": ""CCOC(=O)CP(=O)(OCC)OCC""}]","[{""index"": 1, ""cas_rn"": ""84750-76-5"", ""yield_pct"": ""35"", ""smiles"": ""CC1=C(/C=C/C=O)C(C)(C)CC=C1""}]","[{""index"": 1, ""cas_rn"": ""7646-69-7""}, {""index"": 2, ""cas_rn"": ""16853-85-3""}, {""index"": 3, ""cas_rn"": ""1313-13-9""}]",[],"[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""60-29-7""}]","stereoselective, Wittig-Horner reaction (stage 1)",
31-339-CAS-19299045,31-339-CAS-19299045,Reaction_20251106_1710.rdf,DIBAL‑H Partial reductions,66,,,CCOC(=O)/C=C(\C)CP(=O)(OCC)OCC.CC1=C(/C=C/C=O)C(C)(C)CC=C1,CC1=C(/C=C/C=C/C(C)=C/C=O)C(C)(C)CC=C1,CCOC(=O)/C=C(\C)CP(=O)(OCC)OCC.CC1=C(/C=C/C=O)C(C)(C)CC=C1>>CC1=C(/C=C/C=C/C(C)=C/C=O)C(C)(C)CC=C1,Production of a Light-Gated Proton Channel by Replacing the Retinal Chromophore with Its Synthetic Vinylene Derivative,"Takayama, Riho; Kaneko, Akimasa; Okitsu, Takashi; Tsunoda, Satoshi P.; Shimono, Kazumi; Mizuno, Misao; Kojima, Keiichi; Tsukamoto, Takashi; Kandori, Hideki; Mizutani, Yasuhisa; Wada, Akimori; Sudo, Yuki","Journal of Physical Chemistry Letters (2018), 9(11), 2857-2862","Production of a Light-Gated Proton Channel by Replacing the Retinal Chromophore with Its Synthetic Vinylene Derivative | Takayama, Riho; Kaneko, Akimasa; Okitsu, Takashi; Tsunoda, Satoshi P.; Shimono, Kazumi; Mizuno, Misao; Kojima, Keiichi; Tsukamoto, Takashi; Kandori, Hideki; Mizutani, Yasuhisa; Wada, Akimori; Sudo, Yuki | Journal of Physical Chemistry Letters (2018), 9(11), 2857-2862","39760-56-0, 84750-76-5",2231040-67-6,"109-72-8, 7226-23-5, 1191-15-7, 1313-13-9",,"109-99-9, 60-29-7",,,,,,,3,1,66,,,,,,,"{""1"": 66}","[{""index"": 1, ""cas_rn"": ""39760-56-0"", ""smiles"": ""CCOC(=O)/C=C(\\C)CP(=O)(OCC)OCC""}, {""index"": 2, ""cas_rn"": ""84750-76-5"", ""smiles"": ""CC1=C(/C=C/C=O)C(C)(C)CC=C1""}]","[{""index"": 1, ""cas_rn"": ""2231040-67-6"", ""yield_pct"": ""66"", ""smiles"": ""CC1=C(/C=C/C=C/C(C)=C/C=O)C(C)(C)CC=C1""}]","[{""index"": 1, ""cas_rn"": ""109-72-8""}, {""index"": 2, ""cas_rn"": ""7226-23-5""}, {""index"": 3, ""cas_rn"": ""1191-15-7""}, {""index"": 4, ""cas_rn"": ""1313-13-9""}]",[],"[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""60-29-7""}]","stereoselective, Wittig-Horner reaction (stage 1)",
31-339-CAS-19299046,31-339-CAS-19299046,Reaction_20251106_1710.rdf,DIBAL‑H Partial reductions,39,,,CC1=C(C=O)C(C)(C)CC=C1.CCOC(=O)/C=C(\C)CP(=O)(OCC)OCC,CC1=C(/C=C/C(C)=C/C=O)C(C)(C)CC=C1,CC1=C(C=O)C(C)(C)CC=C1.CCOC(=O)/C=C(\C)CP(=O)(OCC)OCC>>CC1=C(/C=C/C(C)=C/C=O)C(C)(C)CC=C1,Production of a Light-Gated Proton Channel by Replacing the Retinal Chromophore with Its Synthetic Vinylene Derivative,"Takayama, Riho; Kaneko, Akimasa; Okitsu, Takashi; Tsunoda, Satoshi P.; Shimono, Kazumi; Mizuno, Misao; Kojima, Keiichi; Tsukamoto, Takashi; Kandori, Hideki; Mizutani, Yasuhisa; Wada, Akimori; Sudo, Yuki","Journal of Physical Chemistry Letters (2018), 9(11), 2857-2862","Production of a Light-Gated Proton Channel by Replacing the Retinal Chromophore with Its Synthetic Vinylene Derivative | Takayama, Riho; Kaneko, Akimasa; Okitsu, Takashi; Tsunoda, Satoshi P.; Shimono, Kazumi; Mizuno, Misao; Kojima, Keiichi; Tsukamoto, Takashi; Kandori, Hideki; Mizutani, Yasuhisa; Wada, Akimori; Sudo, Yuki | Journal of Physical Chemistry Letters (2018), 9(11), 2857-2862","116-26-7, 39760-56-0",25528-87-4,"109-72-8, 7226-23-5, 1191-15-7, 1313-13-9",,"109-99-9, 60-29-7",,,,,,,3,1,39,,,,,,,"{""1"": 39}","[{""index"": 1, ""cas_rn"": ""116-26-7"", ""smiles"": ""CC1=C(C=O)C(C)(C)CC=C1""}, {""index"": 2, ""cas_rn"": ""39760-56-0"", ""smiles"": ""CCOC(=O)/C=C(\\C)CP(=O)(OCC)OCC""}]","[{""index"": 1, ""cas_rn"": ""25528-87-4"", ""yield_pct"": ""39"", ""smiles"": ""CC1=C(/C=C/C(C)=C/C=O)C(C)(C)CC=C1""}]","[{""index"": 1, ""cas_rn"": ""109-72-8""}, {""index"": 2, ""cas_rn"": ""7226-23-5""}, {""index"": 3, ""cas_rn"": ""1191-15-7""}, {""index"": 4, ""cas_rn"": ""1313-13-9""}]",[],"[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""60-29-7""}]","stereoselective, Wittig-Horner reaction (stage 1)",
31-339-CAS-19299047,31-339-CAS-19299047,Reaction_20251106_1710.rdf,DIBAL‑H Partial reductions,49,,,CCOC(=O)CP(=O)(OCC)OCC.CC1=C(/C=C/C(C)=C/C=O)C(C)(C)CC=C1,CC1=C(/C=C/C(C)=C/C=C/C=O)C(C)(C)CC=C1,CCOC(=O)CP(=O)(OCC)OCC.CC1=C(/C=C/C(C)=C/C=O)C(C)(C)CC=C1>>CC1=C(/C=C/C(C)=C/C=C/C=O)C(C)(C)CC=C1,Production of a Light-Gated Proton Channel by Replacing the Retinal Chromophore with Its Synthetic Vinylene Derivative,"Takayama, Riho; Kaneko, Akimasa; Okitsu, Takashi; Tsunoda, Satoshi P.; Shimono, Kazumi; Mizuno, Misao; Kojima, Keiichi; Tsukamoto, Takashi; Kandori, Hideki; Mizutani, Yasuhisa; Wada, Akimori; Sudo, Yuki","Journal of Physical Chemistry Letters (2018), 9(11), 2857-2862","Production of a Light-Gated Proton Channel by Replacing the Retinal Chromophore with Its Synthetic Vinylene Derivative | Takayama, Riho; Kaneko, Akimasa; Okitsu, Takashi; Tsunoda, Satoshi P.; Shimono, Kazumi; Mizuno, Misao; Kojima, Keiichi; Tsukamoto, Takashi; Kandori, Hideki; Mizutani, Yasuhisa; Wada, Akimori; Sudo, Yuki | Journal of Physical Chemistry Letters (2018), 9(11), 2857-2862","867-13-0, 25528-87-4",1935686-37-5,"7646-69-7, 1191-15-7, 1313-13-9",,"109-99-9, 60-29-7",,,,,,,3,1,49,,,,,,,"{""1"": 49}","[{""index"": 1, ""cas_rn"": ""867-13-0"", ""smiles"": ""CCOC(=O)CP(=O)(OCC)OCC""}, {""index"": 2, ""cas_rn"": ""25528-87-4"", ""smiles"": ""CC1=C(/C=C/C(C)=C/C=O)C(C)(C)CC=C1""}]","[{""index"": 1, ""cas_rn"": ""1935686-37-5"", ""yield_pct"": ""49"", ""smiles"": ""CC1=C(/C=C/C(C)=C/C=C/C=O)C(C)(C)CC=C1""}]","[{""index"": 1, ""cas_rn"": ""7646-69-7""}, {""index"": 2, ""cas_rn"": ""1191-15-7""}, {""index"": 3, ""cas_rn"": ""1313-13-9""}]",[],"[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""60-29-7""}]","stereoselective, Wittig-Horner reaction (stage 1)",
31-339-CAS-19299048,31-339-CAS-19299048,Reaction_20251106_1710.rdf,DIBAL‑H Partial reductions,41,,,CC1=C(/C=C/C(C)=C/C=O)C(C)(C)CC=C1.CCOC(=O)/C=C(\C)CP(=O)(OCC)OCC,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CC=C1,CC1=C(/C=C/C(C)=C/C=O)C(C)(C)CC=C1.CCOC(=O)/C=C(\C)CP(=O)(OCC)OCC>>CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CC=C1,Production of a Light-Gated Proton Channel by Replacing the Retinal Chromophore with Its Synthetic Vinylene Derivative,"Takayama, Riho; Kaneko, Akimasa; Okitsu, Takashi; Tsunoda, Satoshi P.; Shimono, Kazumi; Mizuno, Misao; Kojima, Keiichi; Tsukamoto, Takashi; Kandori, Hideki; Mizutani, Yasuhisa; Wada, Akimori; Sudo, Yuki","Journal of Physical Chemistry Letters (2018), 9(11), 2857-2862","Production of a Light-Gated Proton Channel by Replacing the Retinal Chromophore with Its Synthetic Vinylene Derivative | Takayama, Riho; Kaneko, Akimasa; Okitsu, Takashi; Tsunoda, Satoshi P.; Shimono, Kazumi; Mizuno, Misao; Kojima, Keiichi; Tsukamoto, Takashi; Kandori, Hideki; Mizutani, Yasuhisa; Wada, Akimori; Sudo, Yuki | Journal of Physical Chemistry Letters (2018), 9(11), 2857-2862","25528-87-4, 39760-56-0",472-87-7,"109-72-8, 7226-23-5, 1191-15-7, 1313-13-9",,"109-99-9, 60-29-7",,,,,,,3,1,41,,,,,,,"{""1"": 41}","[{""index"": 1, ""cas_rn"": ""25528-87-4"", ""smiles"": ""CC1=C(/C=C/C(C)=C/C=O)C(C)(C)CC=C1""}, {""index"": 2, ""cas_rn"": ""39760-56-0"", ""smiles"": ""CCOC(=O)/C=C(\\C)CP(=O)(OCC)OCC""}]","[{""index"": 1, ""cas_rn"": ""472-87-7"", ""yield_pct"": ""41"", ""smiles"": ""CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CC=C1""}]","[{""index"": 1, ""cas_rn"": ""109-72-8""}, {""index"": 2, ""cas_rn"": ""7226-23-5""}, {""index"": 3, ""cas_rn"": ""1191-15-7""}, {""index"": 4, ""cas_rn"": ""1313-13-9""}]",[],"[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""60-29-7""}]","stereoselective, overall yield 16% from safranal, Wittig-Horner reaction (stage 1)",
