reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-001-CAS-10861095,31-001-CAS-10861095,Reaction_20251110_1616 (2).rdf,Deoxy fluorination,70,,,CCN(CC)C(F)(F)C(F)C(F)(F)F.CC(O)COC(=O)c1ccccc1,CCN(CC)C(=O)C(F)C(F)(F)F.CC(F)COC(=O)c1ccccc1,CCN(CC)C(F)(F)C(F)C(F)(F)F.CC(O)COC(=O)c1ccccc1>>CCN(CC)C(=O)C(F)C(F)(F)F.CC(F)COC(=O)c1ccccc1,"Reactions of monoesters of ethylene glycol with N,N-diethyl-1,1,2,3,3,3-hexafluoropropylamine","Watanabe, S.; Fujita, T.; Sakamoto, M.; Kuramochi, T.; Kitazume, T.","Journal of Fluorine Chemistry (1987), 36(3), 361-72","Reactions of monoesters of ethylene glycol with N,N-diethyl-1,1,2,3,3,3-hexafluoropropylamine | Watanabe, S.; Fujita, T.; Sakamoto, M.; Kuramochi, T.; Kitazume, T. | Journal of Fluorine Chemistry (1987), 36(3), 361-72","309-88-6, 37086-84-3","392-63-2, 113435-79-3",,,75-09-2,,,,,,,1,1,,70,,,,,,"{""2"": 70}","[{""index"": 1, ""cas_rn"": ""309-88-6"", ""smiles"": ""CCN(CC)C(F)(F)C(F)C(F)(F)F""}, {""index"": 2, ""cas_rn"": ""37086-84-3"", ""smiles"": ""CC(O)COC(=O)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""392-63-2"", ""smiles"": ""CCN(CC)C(=O)C(F)C(F)(F)F""}, {""index"": 2, ""cas_rn"": ""113435-79-3"", ""yield_pct"": ""70"", ""smiles"": ""CC(F)COC(=O)c1ccccc1""}]",[],[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",,
31-001-CAS-3427359,31-001-CAS-3427359,Reaction_20251110_1616 (2).rdf,Deoxy fluorination,72,,12.0,CCCCOC(=O)CCCCO.CCN(CC)C(F)(F)c1cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,CCCCOC(=O)CCCCF.CCN(CC)C(=O)c1cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.CCCCOC(=O)CCCCOC(=O)c1cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,CCCCOC(=O)CCCCO.CCN(CC)C(F)(F)c1cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1>>CCCCOC(=O)CCCCF.CCN(CC)C(=O)c1cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.CCCCOC(=O)CCCCOC(=O)c1cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,Fluorination of alcohols and diols with a novel fluorous deoxy-fluorination reagent,"Furuya, Tsukasa; Nomoto, Takashi; Fukuhara, Tsuyoshi; Hara, Shoji","Journal of Fluorine Chemistry (2009), 130(3), 348-353","Fluorination of alcohols and diols with a novel fluorous deoxy-fluorination reagent | Furuya, Tsukasa; Nomoto, Takashi; Fukuhara, Tsuyoshi; Hara, Shoji | Journal of Fluorine Chemistry (2009), 130(3), 348-353","756826-56-9, 959705-51-2","756826-58-1, 959705-61-4, 1186076-77-6",,,142-82-5,,,,,,,1,1,72,,,,,,,"{""1"": 72}","[{""index"": 1, ""cas_rn"": ""756826-56-9"", ""smiles"": ""CCCCOC(=O)CCCCO""}, {""index"": 2, ""cas_rn"": ""959705-51-2"", ""smiles"": ""CCN(CC)C(F)(F)c1cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1""}]","[{""index"": 1, ""cas_rn"": ""756826-58-1"", ""yield_pct"": ""72"", ""smiles"": ""CCCCOC(=O)CCCCF""}, {""index"": 2, ""cas_rn"": ""959705-61-4"", ""smiles"": ""CCN(CC)C(=O)c1cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1""}, {""index"": 3, ""cas_rn"": ""1186076-77-6"", ""smiles"": ""CCCCOC(=O)CCCCOC(=O)c1cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1""}]",[],[],"[{""index"": 1, ""cas_rn"": ""142-82-5""}]","green chemistry, N,N-diethyl-3,5-bis(1H,1H,2H,2H-perfluorodecyl)benzamide:1-fluorodecane:4-butoxycarbonylbutyl3,5-bis(1H,1H,2H,2H-perfluorodecyl)benzoate=95:2:3, tight screw cap Teflon PFA reaction vessel used",
31-001-CAS-6290790,31-001-CAS-6290790,Reaction_20251110_1616 (2).rdf,Deoxy fluorination,70,,,CCCCCCOCCOCCO.CCN(CC)C(F)(F)C(F)C(F)(F)F,CCN(CC)C(=O)C(F)C(F)(F)F.CCCCCCOCCOCCF.CCCCCCOCCOCCOC(=O)C(F)C(F)(F)F,CCCCCCOCCOCCO.CCN(CC)C(F)(F)C(F)C(F)(F)F>>CCN(CC)C(=O)C(F)C(F)(F)F.CCCCCCOCCOCCF.CCCCCCOCCOCCOC(=O)C(F)C(F)(F)F,"Reactions of monoesters of ethylene glycol with N,N-diethyl-1,1,2,3,3,3-hexafluoropropylamine","Watanabe, S.; Fujita, T.; Sakamoto, M.; Kuramochi, T.; Kitazume, T.","Journal of Fluorine Chemistry (1987), 36(3), 361-72","Reactions of monoesters of ethylene glycol with N,N-diethyl-1,1,2,3,3,3-hexafluoropropylamine | Watanabe, S.; Fujita, T.; Sakamoto, M.; Kuramochi, T.; Kitazume, T. | Journal of Fluorine Chemistry (1987), 36(3), 361-72","112-59-4, 309-88-6","392-63-2, 113435-95-3, 113456-61-4",,,75-09-2,,,,,,,1,1,,70,15,,,,,"{""2"": 70, ""3"": 15}","[{""index"": 1, ""cas_rn"": ""112-59-4"", ""smiles"": ""CCCCCCOCCOCCO""}, {""index"": 2, ""cas_rn"": ""309-88-6"", ""smiles"": ""CCN(CC)C(F)(F)C(F)C(F)(F)F""}]","[{""index"": 1, ""cas_rn"": ""392-63-2"", ""smiles"": ""CCN(CC)C(=O)C(F)C(F)(F)F""}, {""index"": 2, ""cas_rn"": ""113435-95-3"", ""yield_pct"": ""70"", ""smiles"": ""CCCCCCOCCOCCF""}, {""index"": 3, ""cas_rn"": ""113456-61-4"", ""yield_pct"": ""15"", ""smiles"": ""CCCCCCOCCOCCOC(=O)C(F)C(F)(F)F""}]",[],[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",,
31-001-CAS-682984,31-001-CAS-682984,Reaction_20251110_1616 (2).rdf,Deoxy fluorination,75,,12.0,CCCCCCCCCCCCO.CCN(CC)C(F)(F)c1cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,CCCCCCCCCCCCF.CCN(CC)C(=O)c1cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.CCCCCCCCCCCCOC(=O)c1cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,CCCCCCCCCCCCO.CCN(CC)C(F)(F)c1cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1>>CCCCCCCCCCCCF.CCN(CC)C(=O)c1cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1.CCCCCCCCCCCCOC(=O)c1cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1,Fluorination of alcohols and diols with a novel fluorous deoxy-fluorination reagent,"Furuya, Tsukasa; Nomoto, Takashi; Fukuhara, Tsuyoshi; Hara, Shoji","Journal of Fluorine Chemistry (2009), 130(3), 348-353","Fluorination of alcohols and diols with a novel fluorous deoxy-fluorination reagent | Furuya, Tsukasa; Nomoto, Takashi; Fukuhara, Tsuyoshi; Hara, Shoji | Journal of Fluorine Chemistry (2009), 130(3), 348-353","112-53-8, 959705-51-2","334-68-9, 959705-61-4, 1186076-76-5",,,142-82-5,,,,,,,1,1,75,,,,,,,"{""1"": 75}","[{""index"": 1, ""cas_rn"": ""112-53-8"", ""smiles"": ""CCCCCCCCCCCCO""}, {""index"": 2, ""cas_rn"": ""959705-51-2"", ""smiles"": ""CCN(CC)C(F)(F)c1cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1""}]","[{""index"": 1, ""cas_rn"": ""334-68-9"", ""yield_pct"": ""75"", ""smiles"": ""CCCCCCCCCCCCF""}, {""index"": 2, ""cas_rn"": ""959705-61-4"", ""smiles"": ""CCN(CC)C(=O)c1cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1""}, {""index"": 3, ""cas_rn"": ""1186076-76-5"", ""smiles"": ""CCCCCCCCCCCCOC(=O)c1cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1""}]",[],[],"[{""index"": 1, ""cas_rn"": ""142-82-5""}]","green chemistry, N,N-diethyl-3,5-bis(1H,1H,2H,2H-perfluorodecyl)benzamide:1-fluorodecane:dodecyl 3,5-bis(1H,1H,2H,2H-perfluorodecyl)benzoate=87:7:6, tight screw cap Teflon PFA reaction vessel used",
31-012-CAS-20124655,31-012-CAS-20124655,Reaction_20251110_1616 (2).rdf,Deoxy fluorination,82,,,COc1cccc(C(=O)N2CCC(COc3ccc(CO)cc3)CC2)c1,COc1cccc(C(=O)N2CCC(COc3ccc(COCc4ccc(OCC5CCN(C(=O)c6cccc(OC)c6)CC5)cc4)cc3)CC2)c1.COc1cccc(C(=O)N2CCC(COc3ccc(CCl)cc3)CC2)c1,COc1cccc(C(=O)N2CCC(COc3ccc(CO)cc3)CC2)c1>>COc1cccc(C(=O)N2CCC(COc3ccc(COCc4ccc(OCC5CCN(C(=O)c6cccc(OC)c6)CC5)cc4)cc3)CC2)c1.COc1cccc(C(=O)N2CCC(COc3ccc(CCl)cc3)CC2)c1,In Pursuit of Fluorinated Sigma Receptor Ligand Candidates Related to [18F]-FPS*,"Jwad, Rasha S.; Pang, Alan H. C.; Hunter, Luke; Read, Roger W.","Australian Journal of Chemistry (2019), 72(3), 213-225","In Pursuit of Fluorinated Sigma Receptor Ligand Candidates Related to [18F]-FPS* | Jwad, Rasha S.; Pang, Alan H. C.; Hunter, Luke; Read, Roger W. | Australian Journal of Chemistry (2019), 72(3), 213-225",2304548-96-5,"2304549-01-5, 2304549-03-7","121-44-8, 124-63-0",,75-09-2,,,,,,,1,1,,82,,,,,,"{""2"": 82}","[{""index"": 1, ""cas_rn"": ""2304548-96-5"", ""smiles"": ""COc1cccc(C(=O)N2CCC(COc3ccc(CO)cc3)CC2)c1""}]","[{""index"": 1, ""cas_rn"": ""2304549-01-5"", ""smiles"": ""COc1cccc(C(=O)N2CCC(COc3ccc(COCc4ccc(OCC5CCN(C(=O)c6cccc(OC)c6)CC5)cc4)cc3)CC2)c1""}, {""index"": 2, ""cas_rn"": ""2304549-03-7"", ""yield_pct"": ""82"", ""smiles"": ""COc1cccc(C(=O)N2CCC(COc3ccc(CCl)cc3)CC2)c1""}]","[{""index"": 1, ""cas_rn"": ""121-44-8""}, {""index"": 2, ""cas_rn"": ""124-63-0""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",,
31-012-CAS-20124656,31-012-CAS-20124656,Reaction_20251110_1616 (2).rdf,Deoxy fluorination,76,,,COc1ccc(C(=O)N2CCC(COc3ccc(CO)cc3)CC2)cc1,COc1ccc(C(=O)N2CCC(COc3ccc(CCl)cc3)CC2)cc1.COc1ccc(C(=O)N2CCC(COc3ccc(COCc4ccc(OCC5CCN(C(=O)c6ccc(OC)cc6)CC5)cc4)cc3)CC2)cc1,COc1ccc(C(=O)N2CCC(COc3ccc(CO)cc3)CC2)cc1>>COc1ccc(C(=O)N2CCC(COc3ccc(CCl)cc3)CC2)cc1.COc1ccc(C(=O)N2CCC(COc3ccc(COCc4ccc(OCC5CCN(C(=O)c6ccc(OC)cc6)CC5)cc4)cc3)CC2)cc1,In Pursuit of Fluorinated Sigma Receptor Ligand Candidates Related to [18F]-FPS*,"Jwad, Rasha S.; Pang, Alan H. C.; Hunter, Luke; Read, Roger W.","Australian Journal of Chemistry (2019), 72(3), 213-225","In Pursuit of Fluorinated Sigma Receptor Ligand Candidates Related to [18F]-FPS* | Jwad, Rasha S.; Pang, Alan H. C.; Hunter, Luke; Read, Roger W. | Australian Journal of Chemistry (2019), 72(3), 213-225",2304548-97-6,"2304548-99-8, 2304549-00-4","121-44-8, 124-63-0",,75-09-2,,,,,,,1,1,76,,,,,,,"{""1"": 76}","[{""index"": 1, ""cas_rn"": ""2304548-97-6"", ""smiles"": ""COc1ccc(C(=O)N2CCC(COc3ccc(CO)cc3)CC2)cc1""}]","[{""index"": 1, ""cas_rn"": ""2304548-99-8"", ""yield_pct"": ""76"", ""smiles"": ""COc1ccc(C(=O)N2CCC(COc3ccc(CCl)cc3)CC2)cc1""}, {""index"": 2, ""cas_rn"": ""2304549-00-4"", ""smiles"": ""COc1ccc(C(=O)N2CCC(COc3ccc(COCc4ccc(OCC5CCN(C(=O)c6ccc(OC)cc6)CC5)cc4)cc3)CC2)cc1""}]","[{""index"": 1, ""cas_rn"": ""121-44-8""}, {""index"": 2, ""cas_rn"": ""124-63-0""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",,
31-022-CAS-23760217,31-022-CAS-23760217,Reaction_20251110_1616 (2).rdf,Deoxy fluorination,10,,,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.O=C(OCCC(F)(F)CO)c1ccccc1,O=C(OCCC(F)(F)CF)c1ccccc1.O=C(OCCC(F)(F)COS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1ccccc1,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.O=C(OCCC(F)(F)CO)c1ccccc1>>O=C(OCCC(F)(F)CF)c1ccccc1.O=C(OCCC(F)(F)COS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1ccccc1,Systematic investigation of lipophilicity modulation by aliphatic fluorination motifs,"Jeffries, Benjamin; Wang, Zhong; Felstead, Hannah R.; Le Questel, Jean-Yves; Scott, James S.; Chiarparin, Elisabetta; Graton, Jerome; Linclau, Bruno","Journal of Medicinal Chemistry (2020), 63(3), 1002-1031","Systematic investigation of lipophilicity modulation by aliphatic fluorination motifs | Jeffries, Benjamin; Wang, Zhong; Felstead, Hannah R.; Le Questel, Jean-Yves; Scott, James S.; Chiarparin, Elisabetta; Graton, Jerome; Linclau, Bruno | Journal of Medicinal Chemistry (2020), 63(3), 1002-1031","375-72-4, 2649366-32-3","2554614-91-2, 2554617-20-6","121-44-8, 73602-61-6, 144-55-8",,"75-05-8, 7732-18-5",,,,,,,2,1,10,70,,,,,,"{""1"": 10, ""2"": 70}","[{""index"": 1, ""cas_rn"": ""375-72-4"", ""smiles"": ""O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F""}, {""index"": 2, ""cas_rn"": ""2649366-32-3"", ""smiles"": ""O=C(OCCC(F)(F)CO)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""2554614-91-2"", ""yield_pct"": ""10"", ""smiles"": ""O=C(OCCC(F)(F)CF)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""2554617-20-6"", ""yield_pct"": ""70"", ""smiles"": ""O=C(OCCC(F)(F)COS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""121-44-8""}, {""index"": 2, ""cas_rn"": ""73602-61-6""}, {""index"": 3, ""cas_rn"": ""144-55-8""}]",[],"[{""index"": 1, ""cas_rn"": ""75-05-8""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",,
31-031-CAS-12112920,31-031-CAS-12112920,Reaction_20251110_1616 (2).rdf,Deoxy fluorination,78,,,OC[C@H](Cc1ccccc1)NCc1ccccc1.CCN(CC)C(F)(F)c1ccccc1,O=C(c1ccccc1)N(Cc1ccccc1)[C@H](CF)Cc1ccccc1,OC[C@H](Cc1ccccc1)NCc1ccccc1.CCN(CC)C(F)(F)c1ccccc1>>O=C(c1ccccc1)N(Cc1ccccc1)[C@H](CF)Cc1ccccc1,Synthesis of (fluoroalkyl)amines by deoxyfluorination of amino alcohols,"Nomoto, Takashi; Fukuhara, Tsuyoshi; Hara, Shoji","Synlett (2006), (11), 1744-1746","Synthesis of (fluoroalkyl)amines by deoxyfluorination of amino alcohols | Nomoto, Takashi; Fukuhara, Tsuyoshi; Hara, Shoji | Synlett (2006), (11), 1744-1746","42807-45-4, 90238-20-3",911053-73-1,,,,,,,,,"General/Typical Procedure: To a reactor with a TeflonTM PFA tube with a diameter of 10 mm sealed at one end, 1a (137 mg, 1 mmol) and DFBA (478 mg, 2.4 mmol) were introduced. The open end of the reactor was connected to a reflux condenser. Then, the reactor part was submitted to microwave-irradiation (IDX microwave oven for organic synthesis IMCR-25003) for 10 min and during the irradiation the temperature was kept at 70 °C. After cooling, the reaction mixture was poured into an aq solution of NaHCO3. The product was extracted with Et2O (3 ×) and the combined ethereal layers were dried over MgSO4. Purification by column chromatography (silica gel, hexane-Et2O) gave 2a. 2k, yield 78%.",1,1,78,,,,,,,"{""1"": 78}","[{""index"": 1, ""cas_rn"": ""42807-45-4"", ""smiles"": ""OC[C@H](Cc1ccccc1)NCc1ccccc1""}, {""index"": 2, ""cas_rn"": ""90238-20-3"", ""smiles"": ""CCN(CC)C(F)(F)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""911053-73-1"", ""yield_pct"": ""78"", ""smiles"": ""O=C(c1ccccc1)N(Cc1ccccc1)[C@H](CF)Cc1ccccc1""}]",[],[],[],"chemoselective, microwave irradiation, IDX microwave oven used, no solvent",
31-031-CAS-14250958,31-031-CAS-14250958,Reaction_20251110_1616.rdf,Deoxy fluorination,86,,,CC(C)C[C@@H](CO)NCc1ccccc1.CCN(CC)C(F)(F)c1ccccc1,CC(C)C[C@@H](CF)N(Cc1ccccc1)C(=O)c1ccccc1,CC(C)C[C@@H](CO)NCc1ccccc1.CCN(CC)C(F)(F)c1ccccc1>>CC(C)C[C@@H](CF)N(Cc1ccccc1)C(=O)c1ccccc1,Synthesis of (fluoroalkyl)amines by deoxyfluorination of amino alcohols,"Nomoto, Takashi; Fukuhara, Tsuyoshi; Hara, Shoji","Synlett (2006), (11), 1744-1746","Synthesis of (fluoroalkyl)amines by deoxyfluorination of amino alcohols | Nomoto, Takashi; Fukuhara, Tsuyoshi; Hara, Shoji | Synlett (2006), (11), 1744-1746","10249-88-4, 90238-20-3",911053-75-3,,,,,,,,,"General/Typical Procedure: To a reactor with a TeflonTM PFA tube with a diameter of 10 mm sealed at one end, 1a (137 mg, 1 mmol) and DFBA (478 mg, 2.4 mmol) were introduced. The open end of the reactor was connected to a reflux condenser. Then, the reactor part was submitted to microwave-irradiation (IDX microwave oven for organic synthesis IMCR-25003) for 10 min and during the irradiation the temperature was kept at 70 °C. After cooling, the reaction mixture was poured into an aq solution of NaHCO3. The product was extracted with Et2O (3 ×) and the combined ethereal layers were dried over MgSO4. Purification by column chromatography (silica gel, hexane-Et2O) gave 2a. 2l, yield 86%.",1,1,86,,,,,,,"{""1"": 86}","[{""index"": 1, ""cas_rn"": ""10249-88-4"", ""smiles"": ""CC(C)C[C@@H](CO)NCc1ccccc1""}, {""index"": 2, ""cas_rn"": ""90238-20-3"", ""smiles"": ""CCN(CC)C(F)(F)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""911053-75-3"", ""yield_pct"": ""86"", ""smiles"": ""CC(C)C[C@@H](CF)N(Cc1ccccc1)C(=O)c1ccccc1""}]",[],[],[],"chemoselective, microwave irradiation, IDX microwave oven used, no solvent",
31-031-CAS-2964872,31-031-CAS-2964872,Reaction_20251110_1616.rdf,Deoxy fluorination,84,,,C[C@@H](CO)NCc1ccccc1.CCN(CC)C(F)(F)c1ccccc1,C[C@@H](CF)N(Cc1ccccc1)C(=O)c1ccccc1,C[C@@H](CO)NCc1ccccc1.CCN(CC)C(F)(F)c1ccccc1>>C[C@@H](CF)N(Cc1ccccc1)C(=O)c1ccccc1,Synthesis of (fluoroalkyl)amines by deoxyfluorination of amino alcohols,"Nomoto, Takashi; Fukuhara, Tsuyoshi; Hara, Shoji","Synlett (2006), (11), 1744-1746","Synthesis of (fluoroalkyl)amines by deoxyfluorination of amino alcohols | Nomoto, Takashi; Fukuhara, Tsuyoshi; Hara, Shoji | Synlett (2006), (11), 1744-1746","6940-80-3, 90238-20-3",911053-80-0,,,,,,,,,"General/Typical Procedure: To a reactor with a TeflonTM PFA tube with a diameter of 10 mm sealed at one end, 1a (137 mg, 1 mmol) and DFBA (478 mg, 2.4 mmol) were introduced. The open end of the reactor was connected to a reflux condenser. Then, the reactor part was submitted to microwave-irradiation (IDX microwave oven for organic synthesis IMCR-25003) for 10 min and during the irradiation the temperature was kept at 70 °C. After cooling, the reaction mixture was poured into an aq solution of NaHCO3. The product was extracted with Et2O (3 ×) and the combined ethereal layers were dried over MgSO4. Purification by column chromatography (silica gel, hexane-Et2O) gave 2a. (S)-N-benzyl-N-(2-fluoro-1-methylethyl)benzamide (2j), yield 84%.",1,1,84,,,,,,,"{""1"": 84}","[{""index"": 1, ""cas_rn"": ""6940-80-3"", ""smiles"": ""C[C@@H](CO)NCc1ccccc1""}, {""index"": 2, ""cas_rn"": ""90238-20-3"", ""smiles"": ""CCN(CC)C(F)(F)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""911053-80-0"", ""yield_pct"": ""84"", ""smiles"": ""C[C@@H](CF)N(Cc1ccccc1)C(=O)c1ccccc1""}]",[],[],[],"chemoselective, microwave irradiation, IDX microwave oven used, no solvent",
