reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-311-CAS-10738099,31-311-CAS-10738099,Reaction_20251110_2105.rdf,Formation of Oximes,41,,,Cc1ccc(C(=O)/C(=N\O)c2ccc(C)cc2)cc1,Cc1ccc(C(=N/N)/C(=N\O)c2ccc(C)cc2)cc1,Cc1ccc(C(=O)/C(=N\O)c2ccc(C)cc2)cc1>>Cc1ccc(C(=N/N)/C(=N\O)c2ccc(C)cc2)cc1,"Configuration of 1,2-diketone hydrazone oximes","Gnichtel, Horst; Toepper, Bernhard","Liebigs Annalen der Chemie (1989), (11), 1071-4","Configuration of 1,2-diketone hydrazone oximes | Gnichtel, Horst; Toepper, Bernhard | Liebigs Annalen der Chemie (1989), (11), 1071-4",121733-34-4,121733-37-7,"64-19-7, 302-01-2",,64-17-5,,,,,,,1,1,41,,,,,,,"{""1"": 41}","[{""index"": 1, ""cas_rn"": ""121733-34-4"", ""smiles"": ""Cc1ccc(C(=O)/C(=N\\O)c2ccc(C)cc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""121733-37-7"", ""yield_pct"": ""41"", ""smiles"": ""Cc1ccc(C(=N/N)/C(=N\\O)c2ccc(C)cc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""64-19-7""}, {""index"": 2, ""cas_rn"": ""302-01-2""}]",[],"[{""index"": 1, ""cas_rn"": ""64-17-5""}]",,
31-311-CAS-17952863,31-311-CAS-17952863,Reaction_20251110_2105.rdf,Formation of Oximes,51,,,CON.Cl.C#CCOCC#CCCCC=O,C#CCOCC#CCCC/C=N/OC.C#CCOCC#CCCC/C=N\OC,CON.Cl.C#CCOCC#CCCCC=O>>C#CCOCC#CCCC/C=N/OC.C#CCOCC#CCCC/C=N\OC,"Aza Diels-Alder Reactions of Nitriles, N,N-Dimethylhydrazones and Oximino Ethers. Application in Formal [2+2+2] Cycloadditions for the Synthesis of Pyridines","Hamzik, Philip J.; Goutierre, Anne-Sophie; Sakai, Takeo; Danheiser, Rick L.","Journal of Organic Chemistry (2017), 82(24), 12975-12991","Aza Diels-Alder Reactions of Nitriles, N,N-Dimethylhydrazones and Oximino Ethers. Application in Formal [2+2+2] Cycloadditions for the Synthesis of Pyridines | Hamzik, Philip J.; Goutierre, Anne-Sophie; Sakai, Takeo; Danheiser, Rick L. | Journal of Organic Chemistry (2017), 82(24), 12975-12991","593-56-6, 1140383-99-8","2161350-82-7, 2161351-14-8",127-09-3,,75-09-2,,,,,,,1,1,51,27,,,,,,"{""1"": 51, ""2"": 27}","[{""index"": 1, ""cas_rn"": ""593-56-6"", ""smiles"": ""CON.Cl""}, {""index"": 2, ""cas_rn"": ""1140383-99-8"", ""smiles"": ""C#CCOCC#CCCCC=O""}]","[{""index"": 1, ""cas_rn"": ""2161350-82-7"", ""yield_pct"": ""51"", ""smiles"": ""C#CCOCC#CCCC/C=N/OC""}, {""index"": 2, ""cas_rn"": ""2161351-14-8"", ""yield_pct"": ""27"", ""smiles"": ""C#CCOCC#CCCC/C=N\\OC""}]","[{""index"": 1, ""cas_rn"": ""127-09-3""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",stereoselective,
31-311-CAS-17952864,31-311-CAS-17952864,Reaction_20251110_2105.rdf,Formation of Oximes,54,,,CON.Cl.CC(C)[Si](C#CC#CCOCC#CCCCC=O)(C(C)C)C(C)C,CO/N=C/CCCC#CCOCC#CC#C[Si](C(C)C)(C(C)C)C(C)C.CO/N=C\CCCC#CCOCC#CC#C[Si](C(C)C)(C(C)C)C(C)C,CON.Cl.CC(C)[Si](C#CC#CCOCC#CCCCC=O)(C(C)C)C(C)C>>CO/N=C/CCCC#CCOCC#CC#C[Si](C(C)C)(C(C)C)C(C)C.CO/N=C\CCCC#CCOCC#CC#C[Si](C(C)C)(C(C)C)C(C)C,"Aza Diels-Alder Reactions of Nitriles, N,N-Dimethylhydrazones and Oximino Ethers. Application in Formal [2+2+2] Cycloadditions for the Synthesis of Pyridines","Hamzik, Philip J.; Goutierre, Anne-Sophie; Sakai, Takeo; Danheiser, Rick L.","Journal of Organic Chemistry (2017), 82(24), 12975-12991","Aza Diels-Alder Reactions of Nitriles, N,N-Dimethylhydrazones and Oximino Ethers. Application in Formal [2+2+2] Cycloadditions for the Synthesis of Pyridines | Hamzik, Philip J.; Goutierre, Anne-Sophie; Sakai, Takeo; Danheiser, Rick L. | Journal of Organic Chemistry (2017), 82(24), 12975-12991","593-56-6, 2161350-89-4","2161350-70-3, 2161351-08-0",127-09-3,,75-09-2,,,,,,,1,1,54,38,,,,,,"{""1"": 54, ""2"": 38}","[{""index"": 1, ""cas_rn"": ""593-56-6"", ""smiles"": ""CON.Cl""}, {""index"": 2, ""cas_rn"": ""2161350-89-4"", ""smiles"": ""CC(C)[Si](C#CC#CCOCC#CCCCC=O)(C(C)C)C(C)C""}]","[{""index"": 1, ""cas_rn"": ""2161350-70-3"", ""yield_pct"": ""54"", ""smiles"": ""CO/N=C/CCCC#CCOCC#CC#C[Si](C(C)C)(C(C)C)C(C)C""}, {""index"": 2, ""cas_rn"": ""2161351-08-0"", ""yield_pct"": ""38"", ""smiles"": ""CO/N=C\\CCCC#CCOCC#CC#C[Si](C(C)C)(C(C)C)C(C)C""}]","[{""index"": 1, ""cas_rn"": ""127-09-3""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",stereoselective,
31-311-CAS-17952865,31-311-CAS-17952865,Reaction_20251110_2105.rdf,Formation of Oximes,37,,,CON.Cl.CC(C)[Si](C#CC#CCOCC#CCCCCC=O)(C(C)C)C(C)C,CO/N=C/CCCCC#CCOCC#CC#C[Si](C(C)C)(C(C)C)C(C)C.CO/N=C\CCCCC#CCOCC#CC#C[Si](C(C)C)(C(C)C)C(C)C,CON.Cl.CC(C)[Si](C#CC#CCOCC#CCCCCC=O)(C(C)C)C(C)C>>CO/N=C/CCCCC#CCOCC#CC#C[Si](C(C)C)(C(C)C)C(C)C.CO/N=C\CCCCC#CCOCC#CC#C[Si](C(C)C)(C(C)C)C(C)C,"Aza Diels-Alder Reactions of Nitriles, N,N-Dimethylhydrazones and Oximino Ethers. Application in Formal [2+2+2] Cycloadditions for the Synthesis of Pyridines","Hamzik, Philip J.; Goutierre, Anne-Sophie; Sakai, Takeo; Danheiser, Rick L.","Journal of Organic Chemistry (2017), 82(24), 12975-12991","Aza Diels-Alder Reactions of Nitriles, N,N-Dimethylhydrazones and Oximino Ethers. Application in Formal [2+2+2] Cycloadditions for the Synthesis of Pyridines | Hamzik, Philip J.; Goutierre, Anne-Sophie; Sakai, Takeo; Danheiser, Rick L. | Journal of Organic Chemistry (2017), 82(24), 12975-12991","593-56-6, 2161351-00-2","2161350-71-4, 2161351-09-1",127-09-3,,75-09-2,,,,,,,1,1,37,26,,,,,,"{""1"": 37, ""2"": 26}","[{""index"": 1, ""cas_rn"": ""593-56-6"", ""smiles"": ""CON.Cl""}, {""index"": 2, ""cas_rn"": ""2161351-00-2"", ""smiles"": ""CC(C)[Si](C#CC#CCOCC#CCCCCC=O)(C(C)C)C(C)C""}]","[{""index"": 1, ""cas_rn"": ""2161350-71-4"", ""yield_pct"": ""37"", ""smiles"": ""CO/N=C/CCCCC#CCOCC#CC#C[Si](C(C)C)(C(C)C)C(C)C""}, {""index"": 2, ""cas_rn"": ""2161351-09-1"", ""yield_pct"": ""26"", ""smiles"": ""CO/N=C\\CCCCC#CCOCC#CC#C[Si](C(C)C)(C(C)C)C(C)C""}]","[{""index"": 1, ""cas_rn"": ""127-09-3""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",stereoselective,
31-311-CAS-17952866,31-311-CAS-17952866,Reaction_20251110_2105.rdf,Formation of Oximes,43,,,CON.Cl.COC(=O)C(CC#CC#C[Si](C(C)C)(C(C)C)C(C)C)(CC#CCCCC=O)C(=O)OC,CO/N=C/CCCC#CCC(CC#CC#C[Si](C(C)C)(C(C)C)C(C)C)(C(=O)OC)C(=O)OC.CO/N=C\CCCC#CCC(CC#CC#C[Si](C(C)C)(C(C)C)C(C)C)(C(=O)OC)C(=O)OC,CON.Cl.COC(=O)C(CC#CC#C[Si](C(C)C)(C(C)C)C(C)C)(CC#CCCCC=O)C(=O)OC>>CO/N=C/CCCC#CCC(CC#CC#C[Si](C(C)C)(C(C)C)C(C)C)(C(=O)OC)C(=O)OC.CO/N=C\CCCC#CCC(CC#CC#C[Si](C(C)C)(C(C)C)C(C)C)(C(=O)OC)C(=O)OC,"Aza Diels-Alder Reactions of Nitriles, N,N-Dimethylhydrazones and Oximino Ethers. Application in Formal [2+2+2] Cycloadditions for the Synthesis of Pyridines","Hamzik, Philip J.; Goutierre, Anne-Sophie; Sakai, Takeo; Danheiser, Rick L.","Journal of Organic Chemistry (2017), 82(24), 12975-12991","Aza Diels-Alder Reactions of Nitriles, N,N-Dimethylhydrazones and Oximino Ethers. Application in Formal [2+2+2] Cycloadditions for the Synthesis of Pyridines | Hamzik, Philip J.; Goutierre, Anne-Sophie; Sakai, Takeo; Danheiser, Rick L. | Journal of Organic Chemistry (2017), 82(24), 12975-12991","593-56-6, 2161351-01-3","2161350-72-5, 2161351-10-4",127-09-3,,75-09-2,,,,,,,1,1,43,38,,,,,,"{""1"": 43, ""2"": 38}","[{""index"": 1, ""cas_rn"": ""593-56-6"", ""smiles"": ""CON.Cl""}, {""index"": 2, ""cas_rn"": ""2161351-01-3"", ""smiles"": ""COC(=O)C(CC#CC#C[Si](C(C)C)(C(C)C)C(C)C)(CC#CCCCC=O)C(=O)OC""}]","[{""index"": 1, ""cas_rn"": ""2161350-72-5"", ""yield_pct"": ""43"", ""smiles"": ""CO/N=C/CCCC#CCC(CC#CC#C[Si](C(C)C)(C(C)C)C(C)C)(C(=O)OC)C(=O)OC""}, {""index"": 2, ""cas_rn"": ""2161351-10-4"", ""yield_pct"": ""38"", ""smiles"": ""CO/N=C\\CCCC#CCC(CC#CC#C[Si](C(C)C)(C(C)C)C(C)C)(C(=O)OC)C(=O)OC""}]","[{""index"": 1, ""cas_rn"": ""127-09-3""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",stereoselective,
31-311-CAS-17952867,31-311-CAS-17952867,Reaction_20251110_2105.rdf,Formation of Oximes,44,,,CON.Cl.COC(=O)C#CCOCC#CCCCC=O,CO/N=C/CCCC#CCOCC#CC(=O)OC.CO/N=C\CCCC#CCOCC#CC(=O)OC,CON.Cl.COC(=O)C#CCOCC#CCCCC=O>>CO/N=C/CCCC#CCOCC#CC(=O)OC.CO/N=C\CCCC#CCOCC#CC(=O)OC,"Aza Diels-Alder Reactions of Nitriles, N,N-Dimethylhydrazones and Oximino Ethers. Application in Formal [2+2+2] Cycloadditions for the Synthesis of Pyridines","Hamzik, Philip J.; Goutierre, Anne-Sophie; Sakai, Takeo; Danheiser, Rick L.","Journal of Organic Chemistry (2017), 82(24), 12975-12991","Aza Diels-Alder Reactions of Nitriles, N,N-Dimethylhydrazones and Oximino Ethers. Application in Formal [2+2+2] Cycloadditions for the Synthesis of Pyridines | Hamzik, Philip J.; Goutierre, Anne-Sophie; Sakai, Takeo; Danheiser, Rick L. | Journal of Organic Chemistry (2017), 82(24), 12975-12991","593-56-6, 2161350-88-3","2161350-73-6, 2161351-11-5",127-09-3,,75-09-2,,,,,,,1,1,44,30,,,,,,"{""1"": 44, ""2"": 30}","[{""index"": 1, ""cas_rn"": ""593-56-6"", ""smiles"": ""CON.Cl""}, {""index"": 2, ""cas_rn"": ""2161350-88-3"", ""smiles"": ""COC(=O)C#CCOCC#CCCCC=O""}]","[{""index"": 1, ""cas_rn"": ""2161350-73-6"", ""yield_pct"": ""44"", ""smiles"": ""CO/N=C/CCCC#CCOCC#CC(=O)OC""}, {""index"": 2, ""cas_rn"": ""2161351-11-5"", ""yield_pct"": ""30"", ""smiles"": ""CO/N=C\\CCCC#CCOCC#CC(=O)OC""}]","[{""index"": 1, ""cas_rn"": ""127-09-3""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",stereoselective,
31-311-CAS-17952868,31-311-CAS-17952868,Reaction_20251110_2105.rdf,Formation of Oximes,36,,,CON.Cl.CC(C)(C)[Si](C)(C)OCCC#CC#CCOCC#CCCCC=O,CO/N=C/CCCC#CCOCC#CC#CCCO[Si](C)(C)C(C)(C)C.CO/N=C\CCCC#CCOCC#CC#CCCO[Si](C)(C)C(C)(C)C,CON.Cl.CC(C)(C)[Si](C)(C)OCCC#CC#CCOCC#CCCCC=O>>CO/N=C/CCCC#CCOCC#CC#CCCO[Si](C)(C)C(C)(C)C.CO/N=C\CCCC#CCOCC#CC#CCCO[Si](C)(C)C(C)(C)C,"Aza Diels-Alder Reactions of Nitriles, N,N-Dimethylhydrazones and Oximino Ethers. Application in Formal [2+2+2] Cycloadditions for the Synthesis of Pyridines","Hamzik, Philip J.; Goutierre, Anne-Sophie; Sakai, Takeo; Danheiser, Rick L.","Journal of Organic Chemistry (2017), 82(24), 12975-12991","Aza Diels-Alder Reactions of Nitriles, N,N-Dimethylhydrazones and Oximino Ethers. Application in Formal [2+2+2] Cycloadditions for the Synthesis of Pyridines | Hamzik, Philip J.; Goutierre, Anne-Sophie; Sakai, Takeo; Danheiser, Rick L. | Journal of Organic Chemistry (2017), 82(24), 12975-12991","593-56-6, 2161351-02-4","2161350-74-7, 2161351-12-6",127-09-3,,75-09-2,,,,,,,1,1,36,32,,,,,,"{""1"": 36, ""2"": 32}","[{""index"": 1, ""cas_rn"": ""593-56-6"", ""smiles"": ""CON.Cl""}, {""index"": 2, ""cas_rn"": ""2161351-02-4"", ""smiles"": ""CC(C)(C)[Si](C)(C)OCCC#CC#CCOCC#CCCCC=O""}]","[{""index"": 1, ""cas_rn"": ""2161350-74-7"", ""yield_pct"": ""36"", ""smiles"": ""CO/N=C/CCCC#CCOCC#CC#CCCO[Si](C)(C)C(C)(C)C""}, {""index"": 2, ""cas_rn"": ""2161351-12-6"", ""yield_pct"": ""32"", ""smiles"": ""CO/N=C\\CCCC#CCOCC#CC#CCCO[Si](C)(C)C(C)(C)C""}]","[{""index"": 1, ""cas_rn"": ""127-09-3""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",stereoselective,
31-311-CAS-17952869,31-311-CAS-17952869,Reaction_20251110_2105.rdf,Formation of Oximes,45,,,CON.Cl.O=CCCCC#CCOCC#Cc1ccccn1,CO/N=C/CCCC#CCOCC#Cc1ccccn1.CO/N=C\CCCC#CCOCC#Cc1ccccn1,CON.Cl.O=CCCCC#CCOCC#Cc1ccccn1>>CO/N=C/CCCC#CCOCC#Cc1ccccn1.CO/N=C\CCCC#CCOCC#Cc1ccccn1,"Aza Diels-Alder Reactions of Nitriles, N,N-Dimethylhydrazones and Oximino Ethers. Application in Formal [2+2+2] Cycloadditions for the Synthesis of Pyridines","Hamzik, Philip J.; Goutierre, Anne-Sophie; Sakai, Takeo; Danheiser, Rick L.","Journal of Organic Chemistry (2017), 82(24), 12975-12991","Aza Diels-Alder Reactions of Nitriles, N,N-Dimethylhydrazones and Oximino Ethers. Application in Formal [2+2+2] Cycloadditions for the Synthesis of Pyridines | Hamzik, Philip J.; Goutierre, Anne-Sophie; Sakai, Takeo; Danheiser, Rick L. | Journal of Organic Chemistry (2017), 82(24), 12975-12991","593-56-6, 2161351-03-5","2161350-75-8, 2161351-13-7",127-09-3,,75-09-2,,,,,,,1,1,45,45,,,,,,"{""1"": 45, ""2"": 45}","[{""index"": 1, ""cas_rn"": ""593-56-6"", ""smiles"": ""CON.Cl""}, {""index"": 2, ""cas_rn"": ""2161351-03-5"", ""smiles"": ""O=CCCCC#CCOCC#Cc1ccccn1""}]","[{""index"": 1, ""cas_rn"": ""2161350-75-8"", ""yield_pct"": ""45"", ""smiles"": ""CO/N=C/CCCC#CCOCC#Cc1ccccn1""}, {""index"": 2, ""cas_rn"": ""2161351-13-7"", ""yield_pct"": ""45"", ""smiles"": ""CO/N=C\\CCCC#CCOCC#Cc1ccccn1""}]","[{""index"": 1, ""cas_rn"": ""127-09-3""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",,
31-311-CAS-17952871,31-311-CAS-17952871,Reaction_20251110_2105.rdf,Formation of Oximes,90,,,CON.Cl.O=CCCCC#CCOCC#CS(=O)(=O)c1ccccc1,CO/N=C/CCCC#CCOCC#CS(=O)(=O)c1ccccc1,CON.Cl.O=CCCCC#CCOCC#CS(=O)(=O)c1ccccc1>>CO/N=C/CCCC#CCOCC#CS(=O)(=O)c1ccccc1,"Aza Diels-Alder Reactions of Nitriles, N,N-Dimethylhydrazones and Oximino Ethers. Application in Formal [2+2+2] Cycloadditions for the Synthesis of Pyridines","Hamzik, Philip J.; Goutierre, Anne-Sophie; Sakai, Takeo; Danheiser, Rick L.","Journal of Organic Chemistry (2017), 82(24), 12975-12991","Aza Diels-Alder Reactions of Nitriles, N,N-Dimethylhydrazones and Oximino Ethers. Application in Formal [2+2+2] Cycloadditions for the Synthesis of Pyridines | Hamzik, Philip J.; Goutierre, Anne-Sophie; Sakai, Takeo; Danheiser, Rick L. | Journal of Organic Chemistry (2017), 82(24), 12975-12991","593-56-6, 2161351-06-8",2161350-80-5,127-09-3,,75-09-2,,,,,,,1,1,90,,,,,,,"{""1"": 90}","[{""index"": 1, ""cas_rn"": ""593-56-6"", ""smiles"": ""CON.Cl""}, {""index"": 2, ""cas_rn"": ""2161351-06-8"", ""smiles"": ""O=CCCCC#CCOCC#CS(=O)(=O)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""2161350-80-5"", ""yield_pct"": ""90"", ""smiles"": ""CO/N=C/CCCC#CCOCC#CS(=O)(=O)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""127-09-3""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",,
31-311-CAS-5394304,31-311-CAS-5394304,Reaction_20251110_2105.rdf,Formation of Oximes,56,,,CC(=O)C(C)Cl,CC(=NO)C(C)Cl,CC(=O)C(C)Cl>>CC(=NO)C(C)Cl,Synthesis of α-hydrazino oximes,"Potekhin, A. A.; Aleksandrova, T. V.; Dokichev, V. A.; Solov'eva, L. V.","Zhurnal Organicheskoi Khimii (1990), 26(3), 537-44","Synthesis of α-hydrazino oximes | Potekhin, A. A.; Aleksandrova, T. V.; Dokichev, V. A.; Solov'eva, L. V. | Zhurnal Organicheskoi Khimii (1990), 26(3), 537-44",4091-39-8,667-45-8,"141-52-6, 5470-11-1",,60-29-7,,,,,,,1,1,56,,,,,,,"{""1"": 56}","[{""index"": 1, ""cas_rn"": ""4091-39-8"", ""smiles"": ""CC(=O)C(C)Cl""}]","[{""index"": 1, ""cas_rn"": ""667-45-8"", ""yield_pct"": ""56"", ""smiles"": ""CC(=NO)C(C)Cl""}]","[{""index"": 1, ""cas_rn"": ""141-52-6""}, {""index"": 2, ""cas_rn"": ""5470-11-1""}]",[],"[{""index"": 1, ""cas_rn"": ""60-29-7""}]",,
31-311-CAS-766530,31-311-CAS-766530,Reaction_20251110_2105.rdf,Formation of Oximes,29,,,Cc1ccc(C(=O)/C(=N/O)c2ccc(C)cc2)cc1,Cc1ccc(C(=N/N)/C(=N/O)c2ccc(C)cc2)cc1,Cc1ccc(C(=O)/C(=N/O)c2ccc(C)cc2)cc1>>Cc1ccc(C(=N/N)/C(=N/O)c2ccc(C)cc2)cc1,"Configuration of 1,2-diketone hydrazone oximes","Gnichtel, Horst; Toepper, Bernhard","Liebigs Annalen der Chemie (1989), (11), 1071-4","Configuration of 1,2-diketone hydrazone oximes | Gnichtel, Horst; Toepper, Bernhard | Liebigs Annalen der Chemie (1989), (11), 1071-4",121733-33-3,121733-35-5,"64-19-7, 302-01-2",,64-17-5,,,,,,,1,1,29,,,,,,,"{""1"": 29}","[{""index"": 1, ""cas_rn"": ""121733-33-3"", ""smiles"": ""Cc1ccc(C(=O)/C(=N/O)c2ccc(C)cc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""121733-35-5"", ""yield_pct"": ""29"", ""smiles"": ""Cc1ccc(C(=N/N)/C(=N/O)c2ccc(C)cc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""64-19-7""}, {""index"": 2, ""cas_rn"": ""302-01-2""}]",[],"[{""index"": 1, ""cas_rn"": ""64-17-5""}]",,
