reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-614-CAS-24157363,31-614-CAS-24157363,Reaction_20251110_2122.rdf,Groebke–Blackburn–Bienaymé,80,,,C#CCOc1ccc2ccccc2c1-c1nc2ccc(C)cn2c1NC1CCCCC1,CC1=CN2C(=NC3(C(C)=COc4ccc5ccccc5c43)/C2=N/C2CCCCC2)C=C1,C#CCOc1ccc2ccccc2c1-c1nc2ccc(C)cn2c1NC1CCCCC1>>CC1=CN2C(=NC3(C(C)=COc4ccc5ccccc5c43)/C2=N/C2CCCCC2)C=C1,"Synthesis of Spiro[chromene-imidazo[1,2-a]pyridin]-3'-imines via 6-exo-dig Cyclization Reaction","Nayebzadeh, Behrouz; Amiri, Kamran; Khosravi, Hormoz; Mirzaei, Saber; Rominger, Frank; Darin, Dmitry; Krasavin, Mikhail; Bijanzadeh, Hamid Reza; Balalaie, Saeed","Journal of Organic Chemistry (2021), 86(19), 13693-13701","Synthesis of Spiro[chromene-imidazo[1,2-a]pyridin]-3'-imines via 6-exo-dig Cyclization Reaction | Nayebzadeh, Behrouz; Amiri, Kamran; Khosravi, Hormoz; Mirzaei, Saber; Rominger, Frank; Darin, Dmitry; Krasavin, Mikhail; Bijanzadeh, Hamid Reza; Balalaie, Saeed | Journal of Organic Chemistry (2021), 86(19), 13693-13701",2712620-42-1,2712620-57-8,865-47-4,,67-68-5,,,,,,,1,1,80,,,,,,,"{""1"": 80}","[{""index"": 1, ""cas_rn"": ""2712620-42-1"", ""smiles"": ""C#CCOc1ccc2ccccc2c1-c1nc2ccc(C)cn2c1NC1CCCCC1""}]","[{""index"": 1, ""cas_rn"": ""2712620-57-8"", ""yield_pct"": ""80"", ""smiles"": ""CC1=CN2C(=NC3(C(C)=COc4ccc5ccccc5c43)/C2=N/C2CCCCC2)C=C1""}]","[{""index"": 1, ""cas_rn"": ""865-47-4""}]",[],"[{""index"": 1, ""cas_rn"": ""67-68-5""}]","stereoselective, Groebke-Blackburn-Bienayme reaction",
31-614-CAS-24157366,31-614-CAS-24157366,Reaction_20251110_2122.rdf,Groebke–Blackburn–Bienaymé,83,,,C#CCOc1ccc(Br)cc1-c1nc2ccc(C)cn2c1NC1CCCCC1,CC1=CN2C(=NC3(C(C)=COc4ccc(Br)cc43)/C2=N/C2CCCCC2)C=C1,C#CCOc1ccc(Br)cc1-c1nc2ccc(C)cn2c1NC1CCCCC1>>CC1=CN2C(=NC3(C(C)=COc4ccc(Br)cc43)/C2=N/C2CCCCC2)C=C1,"Synthesis of Spiro[chromene-imidazo[1,2-a]pyridin]-3'-imines via 6-exo-dig Cyclization Reaction","Nayebzadeh, Behrouz; Amiri, Kamran; Khosravi, Hormoz; Mirzaei, Saber; Rominger, Frank; Darin, Dmitry; Krasavin, Mikhail; Bijanzadeh, Hamid Reza; Balalaie, Saeed","Journal of Organic Chemistry (2021), 86(19), 13693-13701","Synthesis of Spiro[chromene-imidazo[1,2-a]pyridin]-3'-imines via 6-exo-dig Cyclization Reaction | Nayebzadeh, Behrouz; Amiri, Kamran; Khosravi, Hormoz; Mirzaei, Saber; Rominger, Frank; Darin, Dmitry; Krasavin, Mikhail; Bijanzadeh, Hamid Reza; Balalaie, Saeed | Journal of Organic Chemistry (2021), 86(19), 13693-13701",2712620-44-3,2712620-59-0,865-47-4,,67-68-5,,,,,,,1,1,83,,,,,,,"{""1"": 83}","[{""index"": 1, ""cas_rn"": ""2712620-44-3"", ""smiles"": ""C#CCOc1ccc(Br)cc1-c1nc2ccc(C)cn2c1NC1CCCCC1""}]","[{""index"": 1, ""cas_rn"": ""2712620-59-0"", ""yield_pct"": ""83"", ""smiles"": ""CC1=CN2C(=NC3(C(C)=COc4ccc(Br)cc43)/C2=N/C2CCCCC2)C=C1""}]","[{""index"": 1, ""cas_rn"": ""865-47-4""}]",[],"[{""index"": 1, ""cas_rn"": ""67-68-5""}]","stereoselective, Groebke-Blackburn-Bienayme reaction",
31-614-CAS-24157369,31-614-CAS-24157369,Reaction_20251110_2122.rdf,Groebke–Blackburn–Bienaymé,81,,,C#CCOc1ccccc1-c1nc2ccccn2c1NC1CCCCC1,CC1=COc2ccccc2C12N=C1C=CC=CN1/C2=N\C1CCCCC1,C#CCOc1ccccc1-c1nc2ccccn2c1NC1CCCCC1>>CC1=COc2ccccc2C12N=C1C=CC=CN1/C2=N\C1CCCCC1,"Synthesis of Spiro[chromene-imidazo[1,2-a]pyridin]-3'-imines via 6-exo-dig Cyclization Reaction","Nayebzadeh, Behrouz; Amiri, Kamran; Khosravi, Hormoz; Mirzaei, Saber; Rominger, Frank; Darin, Dmitry; Krasavin, Mikhail; Bijanzadeh, Hamid Reza; Balalaie, Saeed","Journal of Organic Chemistry (2021), 86(19), 13693-13701","Synthesis of Spiro[chromene-imidazo[1,2-a]pyridin]-3'-imines via 6-exo-dig Cyclization Reaction | Nayebzadeh, Behrouz; Amiri, Kamran; Khosravi, Hormoz; Mirzaei, Saber; Rominger, Frank; Darin, Dmitry; Krasavin, Mikhail; Bijanzadeh, Hamid Reza; Balalaie, Saeed | Journal of Organic Chemistry (2021), 86(19), 13693-13701",2712620-47-6,2712620-62-5,865-47-4,,67-68-5,,,,,,,1,1,81,,,,,,,"{""1"": 81}","[{""index"": 1, ""cas_rn"": ""2712620-47-6"", ""smiles"": ""C#CCOc1ccccc1-c1nc2ccccn2c1NC1CCCCC1""}]","[{""index"": 1, ""cas_rn"": ""2712620-62-5"", ""yield_pct"": ""81"", ""smiles"": ""CC1=COc2ccccc2C12N=C1C=CC=CN1/C2=N\\C1CCCCC1""}]","[{""index"": 1, ""cas_rn"": ""865-47-4""}]",[],"[{""index"": 1, ""cas_rn"": ""67-68-5""}]","stereoselective, Groebke-Blackburn-Bienayme reaction",
31-614-CAS-24157371,31-614-CAS-24157371,Reaction_20251110_2122.rdf,Groebke–Blackburn–Bienaymé,74,,,C#CCOc1cc(N(CC)CC)ccc1-c1nc2ccccn2c1NC1CCCCC1,CCN(CC)c1ccc2c(c1)OC=C(C)C21N=C2C=CC=CN2/C1=N\C1CCCCC1,C#CCOc1cc(N(CC)CC)ccc1-c1nc2ccccn2c1NC1CCCCC1>>CCN(CC)c1ccc2c(c1)OC=C(C)C21N=C2C=CC=CN2/C1=N\C1CCCCC1,"Synthesis of Spiro[chromene-imidazo[1,2-a]pyridin]-3'-imines via 6-exo-dig Cyclization Reaction","Nayebzadeh, Behrouz; Amiri, Kamran; Khosravi, Hormoz; Mirzaei, Saber; Rominger, Frank; Darin, Dmitry; Krasavin, Mikhail; Bijanzadeh, Hamid Reza; Balalaie, Saeed","Journal of Organic Chemistry (2021), 86(19), 13693-13701","Synthesis of Spiro[chromene-imidazo[1,2-a]pyridin]-3'-imines via 6-exo-dig Cyclization Reaction | Nayebzadeh, Behrouz; Amiri, Kamran; Khosravi, Hormoz; Mirzaei, Saber; Rominger, Frank; Darin, Dmitry; Krasavin, Mikhail; Bijanzadeh, Hamid Reza; Balalaie, Saeed | Journal of Organic Chemistry (2021), 86(19), 13693-13701",2712620-49-8,2712620-64-7,865-47-4,,67-68-5,,,,,,,1,1,74,,,,,,,"{""1"": 74}","[{""index"": 1, ""cas_rn"": ""2712620-49-8"", ""smiles"": ""C#CCOc1cc(N(CC)CC)ccc1-c1nc2ccccn2c1NC1CCCCC1""}]","[{""index"": 1, ""cas_rn"": ""2712620-64-7"", ""yield_pct"": ""74"", ""smiles"": ""CCN(CC)c1ccc2c(c1)OC=C(C)C21N=C2C=CC=CN2/C1=N\\C1CCCCC1""}]","[{""index"": 1, ""cas_rn"": ""865-47-4""}]",[],"[{""index"": 1, ""cas_rn"": ""67-68-5""}]","stereoselective, Groebke-Blackburn-Bienayme reaction",
31-614-CAS-24157372,31-614-CAS-24157372,Reaction_20251110_2122.rdf,Groebke–Blackburn–Bienaymé,74,,,C#CCOc1ccc(Cl)cc1-c1nc2ccccn2c1NC1CCCCC1,CC1=COc2ccc(Cl)cc2C12N=C1C=CC=CN1/C2=N\C1CCCCC1,C#CCOc1ccc(Cl)cc1-c1nc2ccccn2c1NC1CCCCC1>>CC1=COc2ccc(Cl)cc2C12N=C1C=CC=CN1/C2=N\C1CCCCC1,"Synthesis of Spiro[chromene-imidazo[1,2-a]pyridin]-3'-imines via 6-exo-dig Cyclization Reaction","Nayebzadeh, Behrouz; Amiri, Kamran; Khosravi, Hormoz; Mirzaei, Saber; Rominger, Frank; Darin, Dmitry; Krasavin, Mikhail; Bijanzadeh, Hamid Reza; Balalaie, Saeed","Journal of Organic Chemistry (2021), 86(19), 13693-13701","Synthesis of Spiro[chromene-imidazo[1,2-a]pyridin]-3'-imines via 6-exo-dig Cyclization Reaction | Nayebzadeh, Behrouz; Amiri, Kamran; Khosravi, Hormoz; Mirzaei, Saber; Rominger, Frank; Darin, Dmitry; Krasavin, Mikhail; Bijanzadeh, Hamid Reza; Balalaie, Saeed | Journal of Organic Chemistry (2021), 86(19), 13693-13701",2712620-52-3,2712620-67-0,865-47-4,,67-68-5,,,,,,,1,1,74,,,,,,,"{""1"": 74}","[{""index"": 1, ""cas_rn"": ""2712620-52-3"", ""smiles"": ""C#CCOc1ccc(Cl)cc1-c1nc2ccccn2c1NC1CCCCC1""}]","[{""index"": 1, ""cas_rn"": ""2712620-67-0"", ""yield_pct"": ""74"", ""smiles"": ""CC1=COc2ccc(Cl)cc2C12N=C1C=CC=CN1/C2=N\\C1CCCCC1""}]","[{""index"": 1, ""cas_rn"": ""865-47-4""}]",[],"[{""index"": 1, ""cas_rn"": ""67-68-5""}]","stereoselective, Groebke-Blackburn-Bienayme reaction",
31-614-CAS-24157373,31-614-CAS-24157373,Reaction_20251110_2122.rdf,Groebke–Blackburn–Bienaymé,83,,,C#CCOc1ccc2ccccc2c1-c1nc2ccccn2c1NC1CCCCC1,CC1=COc2ccc3ccccc3c2C12N=C1C=CC=CN1/C2=N\C1CCCCC1,C#CCOc1ccc2ccccc2c1-c1nc2ccccn2c1NC1CCCCC1>>CC1=COc2ccc3ccccc3c2C12N=C1C=CC=CN1/C2=N\C1CCCCC1,"Synthesis of Spiro[chromene-imidazo[1,2-a]pyridin]-3'-imines via 6-exo-dig Cyclization Reaction","Nayebzadeh, Behrouz; Amiri, Kamran; Khosravi, Hormoz; Mirzaei, Saber; Rominger, Frank; Darin, Dmitry; Krasavin, Mikhail; Bijanzadeh, Hamid Reza; Balalaie, Saeed","Journal of Organic Chemistry (2021), 86(19), 13693-13701","Synthesis of Spiro[chromene-imidazo[1,2-a]pyridin]-3'-imines via 6-exo-dig Cyclization Reaction | Nayebzadeh, Behrouz; Amiri, Kamran; Khosravi, Hormoz; Mirzaei, Saber; Rominger, Frank; Darin, Dmitry; Krasavin, Mikhail; Bijanzadeh, Hamid Reza; Balalaie, Saeed | Journal of Organic Chemistry (2021), 86(19), 13693-13701",2712620-50-1,2712620-65-8,865-47-4,,67-68-5,,,,,,,1,1,83,,,,,,,"{""1"": 83}","[{""index"": 1, ""cas_rn"": ""2712620-50-1"", ""smiles"": ""C#CCOc1ccc2ccccc2c1-c1nc2ccccn2c1NC1CCCCC1""}]","[{""index"": 1, ""cas_rn"": ""2712620-65-8"", ""yield_pct"": ""83"", ""smiles"": ""CC1=COc2ccc3ccccc3c2C12N=C1C=CC=CN1/C2=N\\C1CCCCC1""}]","[{""index"": 1, ""cas_rn"": ""865-47-4""}]",[],"[{""index"": 1, ""cas_rn"": ""67-68-5""}]","stereoselective, Groebke-Blackburn-Bienayme reaction",
31-614-CAS-24157377,31-614-CAS-24157377,Reaction_20251110_2122.rdf,Groebke–Blackburn–Bienaymé,73,,,C#CCOc1c(Br)cc(Br)cc1-c1nc2ccccn2c1NC1CCCCC1,CC1=COc2c(Br)cc(Br)cc2C12N=C1C=CC=CN1/C2=N\C1CCCCC1,C#CCOc1c(Br)cc(Br)cc1-c1nc2ccccn2c1NC1CCCCC1>>CC1=COc2c(Br)cc(Br)cc2C12N=C1C=CC=CN1/C2=N\C1CCCCC1,"Synthesis of Spiro[chromene-imidazo[1,2-a]pyridin]-3'-imines via 6-exo-dig Cyclization Reaction","Nayebzadeh, Behrouz; Amiri, Kamran; Khosravi, Hormoz; Mirzaei, Saber; Rominger, Frank; Darin, Dmitry; Krasavin, Mikhail; Bijanzadeh, Hamid Reza; Balalaie, Saeed","Journal of Organic Chemistry (2021), 86(19), 13693-13701","Synthesis of Spiro[chromene-imidazo[1,2-a]pyridin]-3'-imines via 6-exo-dig Cyclization Reaction | Nayebzadeh, Behrouz; Amiri, Kamran; Khosravi, Hormoz; Mirzaei, Saber; Rominger, Frank; Darin, Dmitry; Krasavin, Mikhail; Bijanzadeh, Hamid Reza; Balalaie, Saeed | Journal of Organic Chemistry (2021), 86(19), 13693-13701",2712620-48-7,2712620-63-6,865-47-4,,67-68-5,,,,,,,1,1,73,,,,,,,"{""1"": 73}","[{""index"": 1, ""cas_rn"": ""2712620-48-7"", ""smiles"": ""C#CCOc1c(Br)cc(Br)cc1-c1nc2ccccn2c1NC1CCCCC1""}]","[{""index"": 1, ""cas_rn"": ""2712620-63-6"", ""yield_pct"": ""73"", ""smiles"": ""CC1=COc2c(Br)cc(Br)cc2C12N=C1C=CC=CN1/C2=N\\C1CCCCC1""}]","[{""index"": 1, ""cas_rn"": ""865-47-4""}]",[],"[{""index"": 1, ""cas_rn"": ""67-68-5""}]","stereoselective, Groebke-Blackburn-Bienayme reaction",
31-614-CAS-24157378,31-614-CAS-24157378,Reaction_20251110_2122.rdf,Groebke–Blackburn–Bienaymé,89,,,C#CCOc1ccccc1-c1nc2ccc(C)cn2c1NC1CCCCC1,CC1=CN2C(=NC3(C(C)=COc4ccccc43)/C2=N/C2CCCCC2)C=C1,C#CCOc1ccccc1-c1nc2ccc(C)cn2c1NC1CCCCC1>>CC1=CN2C(=NC3(C(C)=COc4ccccc43)/C2=N/C2CCCCC2)C=C1,"Synthesis of Spiro[chromene-imidazo[1,2-a]pyridin]-3'-imines via 6-exo-dig Cyclization Reaction","Nayebzadeh, Behrouz; Amiri, Kamran; Khosravi, Hormoz; Mirzaei, Saber; Rominger, Frank; Darin, Dmitry; Krasavin, Mikhail; Bijanzadeh, Hamid Reza; Balalaie, Saeed","Journal of Organic Chemistry (2021), 86(19), 13693-13701","Synthesis of Spiro[chromene-imidazo[1,2-a]pyridin]-3'-imines via 6-exo-dig Cyclization Reaction | Nayebzadeh, Behrouz; Amiri, Kamran; Khosravi, Hormoz; Mirzaei, Saber; Rominger, Frank; Darin, Dmitry; Krasavin, Mikhail; Bijanzadeh, Hamid Reza; Balalaie, Saeed | Journal of Organic Chemistry (2021), 86(19), 13693-13701",2712620-38-5,2712620-54-5,865-47-4,,67-68-5,,,,,,,1,1,89,,,,,,,"{""1"": 89}","[{""index"": 1, ""cas_rn"": ""2712620-38-5"", ""smiles"": ""C#CCOc1ccccc1-c1nc2ccc(C)cn2c1NC1CCCCC1""}]","[{""index"": 1, ""cas_rn"": ""2712620-54-5"", ""yield_pct"": ""89"", ""smiles"": ""CC1=CN2C(=NC3(C(C)=COc4ccccc43)/C2=N/C2CCCCC2)C=C1""}]","[{""index"": 1, ""cas_rn"": ""865-47-4""}]",[],"[{""index"": 1, ""cas_rn"": ""67-68-5""}]","stereoselective, Groebke-Blackburn-Bienayme reaction, alternative preparation shown, optimization study, optimized on agent, solvent and reaction conditions",
31-614-CAS-24157379,31-614-CAS-24157379,Reaction_20251110_2122.rdf,Groebke–Blackburn–Bienaymé,90,,,C=C=COc1ccccc1-c1nc2ccc(C)cn2c1NC1CCCCC1,CC1=CN2C(=NC3(C(C)=COc4ccccc43)/C2=N/C2CCCCC2)C=C1,C=C=COc1ccccc1-c1nc2ccc(C)cn2c1NC1CCCCC1>>CC1=CN2C(=NC3(C(C)=COc4ccccc43)/C2=N/C2CCCCC2)C=C1,"Synthesis of Spiro[chromene-imidazo[1,2-a]pyridin]-3'-imines via 6-exo-dig Cyclization Reaction","Nayebzadeh, Behrouz; Amiri, Kamran; Khosravi, Hormoz; Mirzaei, Saber; Rominger, Frank; Darin, Dmitry; Krasavin, Mikhail; Bijanzadeh, Hamid Reza; Balalaie, Saeed","Journal of Organic Chemistry (2021), 86(19), 13693-13701","Synthesis of Spiro[chromene-imidazo[1,2-a]pyridin]-3'-imines via 6-exo-dig Cyclization Reaction | Nayebzadeh, Behrouz; Amiri, Kamran; Khosravi, Hormoz; Mirzaei, Saber; Rominger, Frank; Darin, Dmitry; Krasavin, Mikhail; Bijanzadeh, Hamid Reza; Balalaie, Saeed | Journal of Organic Chemistry (2021), 86(19), 13693-13701",2712620-39-6,2712620-54-5,865-47-4,,67-68-5,,,,,,,1,1,90,,,,,,,"{""1"": 90}","[{""index"": 1, ""cas_rn"": ""2712620-39-6"", ""smiles"": ""C=C=COc1ccccc1-c1nc2ccc(C)cn2c1NC1CCCCC1""}]","[{""index"": 1, ""cas_rn"": ""2712620-54-5"", ""yield_pct"": ""90"", ""smiles"": ""CC1=CN2C(=NC3(C(C)=COc4ccccc43)/C2=N/C2CCCCC2)C=C1""}]","[{""index"": 1, ""cas_rn"": ""865-47-4""}]",[],"[{""index"": 1, ""cas_rn"": ""67-68-5""}]","stereoselective, Groebke-Blackburn-Bienayme reaction, alternative preparation shown",
31-614-CAS-24157380,31-614-CAS-24157380,Reaction_20251110_2122.rdf,Groebke–Blackburn–Bienaymé,75,,,C#CCOc1ccc([N+](=O)[O-])cc1-c1nc2ccccn2c1NC1CCCCC1,CC1=COc2ccc([N+](=O)[O-])cc2C12N=C1C=CC=CN1/C2=N\C1CCCCC1,C#CCOc1ccc([N+](=O)[O-])cc1-c1nc2ccccn2c1NC1CCCCC1>>CC1=COc2ccc([N+](=O)[O-])cc2C12N=C1C=CC=CN1/C2=N\C1CCCCC1,"Synthesis of Spiro[chromene-imidazo[1,2-a]pyridin]-3'-imines via 6-exo-dig Cyclization Reaction","Nayebzadeh, Behrouz; Amiri, Kamran; Khosravi, Hormoz; Mirzaei, Saber; Rominger, Frank; Darin, Dmitry; Krasavin, Mikhail; Bijanzadeh, Hamid Reza; Balalaie, Saeed","Journal of Organic Chemistry (2021), 86(19), 13693-13701","Synthesis of Spiro[chromene-imidazo[1,2-a]pyridin]-3'-imines via 6-exo-dig Cyclization Reaction | Nayebzadeh, Behrouz; Amiri, Kamran; Khosravi, Hormoz; Mirzaei, Saber; Rominger, Frank; Darin, Dmitry; Krasavin, Mikhail; Bijanzadeh, Hamid Reza; Balalaie, Saeed | Journal of Organic Chemistry (2021), 86(19), 13693-13701",2712620-51-2,2712620-66-9,865-47-4,,67-68-5,,,,,,,1,1,75,,,,,,,"{""1"": 75}","[{""index"": 1, ""cas_rn"": ""2712620-51-2"", ""smiles"": ""C#CCOc1ccc([N+](=O)[O-])cc1-c1nc2ccccn2c1NC1CCCCC1""}]","[{""index"": 1, ""cas_rn"": ""2712620-66-9"", ""yield_pct"": ""75"", ""smiles"": ""CC1=COc2ccc([N+](=O)[O-])cc2C12N=C1C=CC=CN1/C2=N\\C1CCCCC1""}]","[{""index"": 1, ""cas_rn"": ""865-47-4""}]",[],"[{""index"": 1, ""cas_rn"": ""67-68-5""}]","stereoselective, Groebke-Blackburn-Bienayme reaction",
