reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-154-CAS-3367864,31-154-CAS-3367864,Reaction_20251104_2208.rdf,Hofmann rearrangement,,,,NC(=O)CC1(CC(=O)O)CCCCC1.Cc1ccc(S(=O)(=O)O)cc1,Cc1ccc(S(=O)(=O)O)cc1.NCC1(CC(=O)O)CCCCC1,NC(=O)CC1(CC(=O)O)CCCCC1.Cc1ccc(S(=O)(=O)O)cc1>>Cc1ccc(S(=O)(=O)O)cc1.NCC1(CC(=O)O)CCCCC1,Procedure for the preparation of gabapentin,"Angeli, Roberto; Demartis, Salvatore; Possenti, Marco","Italy, IT2005MI0196 A1 2005-05-11","Procedure for the preparation of gabapentin | Angeli, Roberto; Demartis, Salvatore; Possenti, Marco | Italy, IT2005MI0196 A1 2005-05-11","99189-60-3, 104-15-4",1174376-05-6,"1310-73-2, 7726-95-6",,7732-18-5,,,,,,,4,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""99189-60-3"", ""smiles"": ""NC(=O)CC1(CC(=O)O)CCCCC1""}, {""index"": 2, ""cas_rn"": ""104-15-4"", ""smiles"": ""Cc1ccc(S(=O)(=O)O)cc1""}]","[{""index"": 1, ""cas_rn"": ""1174376-05-6"", ""smiles"": ""Cc1ccc(S(=O)(=O)O)cc1.NCC1(CC(=O)O)CCCCC1""}]","[{""index"": 1, ""cas_rn"": ""1310-73-2""}, {""index"": 2, ""cas_rn"": ""7726-95-6""}]",[],"[{""index"": 1, ""cas_rn"": ""7732-18-5""}]","Hofmann rearrangement, solution of starting material from stage 1 is added dropwise to a solution of NaBrO from stage 2 in stage 3, higher reaction temperatures favor the formation of byproducts such as spiro cyclohexyl-pyrrolidin-2-one",
31-239-CAS-10987136,31-239-CAS-10987136,Reaction_20251104_2208 (1).rdf,Hofmann rearrangement,86,,,CCO.NC(=O)Cc1ccccc1C#Cc1ccccc1,CCOC(=O)N1Cc2ccccc2C=C1c1ccccc1,CCO.NC(=O)Cc1ccccc1C#Cc1ccccc1>>CCOC(=O)N1Cc2ccccc2C=C1c1ccccc1,"Platinum-Catalyzed, One-Pot Tandem Synthesis of Indoles and Isoquinolines via Sequential Rearrangement of Amides and Aminocyclization","Okamoto, Noriko; Takeda, Kei; Yanada, Reiko","Journal of Organic Chemistry (2010), 75(22), 7615-7625","Platinum-Catalyzed, One-Pot Tandem Synthesis of Indoles and Isoquinolines via Sequential Rearrangement of Amides and Aminocyclization | Okamoto, Noriko; Takeda, Kei; Yanada, Reiko | Journal of Organic Chemistry (2010), 75(22), 7615-7625","64-17-5, 1207252-55-8",1207252-57-0,3240-34-4,10025-65-7,95-50-1,,,,,,"General Procedure for the Preparation of Dihydroisoquinoline Carbamate. To a solution of 2-alkynylbenzylamide 5 (0.05 mmol), PhI(OAc)2 (0.06 mmol), and PtCl2 (0.005 mmol) in 1,2-dichlorobenzene (0.5 mL) was added alcohol (0.15 mmol), and the mixture was stirred at 100 °C. The reaction mixture was directly chromatographed on silica gel to afford the dihydroisoquinoline 6. Ethyl 3-Phenylisoquinoline-2(1H)-carboxylate (6a). The reaction mixture was chromatographed on silica gel [AcOEthexane (1:10)] to afford 6a as a yellow viscous oil. mp 114-115 °C (colorless plate from CHCl3-hexane); 1H NMR (CDCl3) δ 7.49 (2H, d, J = 6.9 Hz), 7.37-7.20 (7H, m), 6.53 (1H, s), 4.92 (2H, s), 3.89 (2H, br), 0.74 (3H, br); 13C NMR (CDCl3) δ 154.4, 140.2, 138.2, 132.5, 131.9, 128.2, 127.9, 127.7, 127.4, 126.0, 125.2, 125.1, 115.8, 61.8, 48.0, 13.8; IR (CHCl3, cm-1) 3034, 3009, 1699, 1622, 1402, 1379, 1342, 1236, 1198, 1167, 1020, 980;MS(EI)m/z=279(M+);HRMS(EI)m/z calcd for C18H17NO2 279.1259, found 279.1265.",1,1,86,,,,,,,"{""1"": 86}","[{""index"": 1, ""cas_rn"": ""64-17-5"", ""smiles"": ""CCO""}, {""index"": 2, ""cas_rn"": ""1207252-55-8"", ""smiles"": ""NC(=O)Cc1ccccc1C#Cc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""1207252-57-0"", ""yield_pct"": ""86"", ""smiles"": ""CCOC(=O)N1Cc2ccccc2C=C1c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""3240-34-4""}]","[{""index"": 1, ""cas_rn"": ""10025-65-7""}]","[{""index"": 1, ""cas_rn"": ""95-50-1""}]","regioselective, Hofmann-type rearrangement/cyclization tandem reaction",
31-239-CAS-13116935,31-239-CAS-13116935,Reaction_20251104_2208 (1).rdf,Hofmann rearrangement,92,,,CO.NC(=O)Cc1ccccc1C#Cc1ccccc1,COC(=O)N1Cc2ccccc2C=C1c1ccccc1,CO.NC(=O)Cc1ccccc1C#Cc1ccccc1>>COC(=O)N1Cc2ccccc2C=C1c1ccccc1,"Platinum-Catalyzed, One-Pot Tandem Synthesis of Indoles and Isoquinolines via Sequential Rearrangement of Amides and Aminocyclization","Okamoto, Noriko; Takeda, Kei; Yanada, Reiko","Journal of Organic Chemistry (2010), 75(22), 7615-7625","Platinum-Catalyzed, One-Pot Tandem Synthesis of Indoles and Isoquinolines via Sequential Rearrangement of Amides and Aminocyclization | Okamoto, Noriko; Takeda, Kei; Yanada, Reiko | Journal of Organic Chemistry (2010), 75(22), 7615-7625","67-56-1, 1207252-55-8",1207252-58-1,3240-34-4,10025-65-7,95-50-1,,,,,,"General/Typical Procedure: General Procedure for the Preparation of Dihydroisoquinoline Carbamate. To a solution of 2-alkynylbenzylamide 5 (0.05 mmol), PhI(OAc)2 (0.06 mmol), and PtCl2 (0.005 mmol) in 1,2-dichlorobenzene (0.5 mL) was added alcohol (0.15 mmol), and the mixture was stirred at 100 °C. The reaction mixture was directly chromatographed on silica gel to afford the dihydroisoquinoline 6. Methyl 3-Phenylisoquinoline-2(1H)-carboxylate (6b). The reaction mixturewas chromatographed on silica gel [AcOEt-hexane (1:10)] to afford 6b as a pale yellow solid. mp 113-116 °C (pale yellow plate from CHCl3); 1HNMR(CDCl3) δ 7.50 (2H, d, J = 7.6 Hz), 7.38 (2H, t, J = 7.6 Hz), 7.33-7.20 (5H, m), 6.58 (1H, s), 4.91 (2H, s), 3.46 (3H, br); 13C NMR (CDCl3) δ 155.0, 140.0, 137.6, 132.5, 132.0, 128.3, 128.0, 127.7, 125.8, 125.3, 125.0, 116.2, 52.8, 48.2; IR (CHCl3, cm-1) 1703, 1449, 1360, 1198, 808, 687, 673; MS (EI) m/z=265 (M+); HRMS (EI) m/z calcd for C17H15NO2 265.1103, found: 265.1111.",1,1,92,,,,,,,"{""1"": 92}","[{""index"": 1, ""cas_rn"": ""67-56-1"", ""smiles"": ""CO""}, {""index"": 2, ""cas_rn"": ""1207252-55-8"", ""smiles"": ""NC(=O)Cc1ccccc1C#Cc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""1207252-58-1"", ""yield_pct"": ""92"", ""smiles"": ""COC(=O)N1Cc2ccccc2C=C1c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""3240-34-4""}]","[{""index"": 1, ""cas_rn"": ""10025-65-7""}]","[{""index"": 1, ""cas_rn"": ""95-50-1""}]","regioselective, Hofmann-type rearrangement/cyclization tandem reaction",
31-239-CAS-13394220,31-239-CAS-13394220,Reaction_20251104_2208 (1).rdf,Hofmann rearrangement,66,,,CCO.CCCCC#Cc1ccccc1CC(N)=O,CCCCC1=Cc2ccccc2CN1C(=O)OCC,CCO.CCCCC#Cc1ccccc1CC(N)=O>>CCCCC1=Cc2ccccc2CN1C(=O)OCC,"Platinum-Catalyzed, One-Pot Tandem Synthesis of Indoles and Isoquinolines via Sequential Rearrangement of Amides and Aminocyclization","Okamoto, Noriko; Takeda, Kei; Yanada, Reiko","Journal of Organic Chemistry (2010), 75(22), 7615-7625","Platinum-Catalyzed, One-Pot Tandem Synthesis of Indoles and Isoquinolines via Sequential Rearrangement of Amides and Aminocyclization | Okamoto, Noriko; Takeda, Kei; Yanada, Reiko | Journal of Organic Chemistry (2010), 75(22), 7615-7625","64-17-5, 896101-36-3",1207252-60-5,3240-34-4,10025-65-7,95-50-1,,,,,,"General/Typical Procedure: General Procedure for the Preparation of Dihydroisoquinoline Carbamate. To a solution of 2-alkynylbenzylamide 5 (0.05 mmol), PhI(OAc)2 (0.06 mmol), and PtCl2 (0.005 mmol) in 1,2-dichlorobenzene (0.5 mL) was added alcohol (0.15 mmol), and the mixture was stirred at 100 °C. The reaction mixture was directly chromatographed on silica gel to afford the dihydroisoquinoline 6. Ethyl 3-Butylisoquinoline-2(1H)-carboxylate (6f). The reaction mixture was chromatographed on silica gel [AcOEt-hexane (1:20)] to afford 6f as a yellow oil. 1H NMR (CDCl3) δ 7.20 (1H, td, J = 7.4, 1.6 Hz), 7.16-7.12 (2H, m), 7.05 (1H, d, J = 6.9 Hz), 6.08 (1H, s), 4.71 (2H, s), 4.18 (2H, q, J = 7.1 Hz), 2.68 (2H, t, J = 7.6 Hz), 1.54-1.50 (2H, m), 1.41-1.37 (2H, m), 1.28 (3H, t, J = 7.2 Hz), 0.93 (3H, t, J = 7.2 Hz); 13C NMR (CDCl3) δ 153.8, 142.3, 132.5, 131.3, 127.6, 126.6, 124.8, 124.1, 114.9, 61.9, 48.0, 34.1, 30.7, 22.4, 14.5, 13.9; IR (CHCl3, cm-1) 1697, 1632, 1464, 1456, 1443, 1402, 1379, 1342, 1186, 1117, 662; MS (EI) m/z = 259 (M+); HRMS (EI) m/z calcd for C16H21NO2 259.1572, found 259.1572.",1,1,66,,,,,,,"{""1"": 66}","[{""index"": 1, ""cas_rn"": ""64-17-5"", ""smiles"": ""CCO""}, {""index"": 2, ""cas_rn"": ""896101-36-3"", ""smiles"": ""CCCCC#Cc1ccccc1CC(N)=O""}]","[{""index"": 1, ""cas_rn"": ""1207252-60-5"", ""yield_pct"": ""66"", ""smiles"": ""CCCCC1=Cc2ccccc2CN1C(=O)OCC""}]","[{""index"": 1, ""cas_rn"": ""3240-34-4""}]","[{""index"": 1, ""cas_rn"": ""10025-65-7""}]","[{""index"": 1, ""cas_rn"": ""95-50-1""}]","regioselective, Hofmann-type rearrangement/cyclization tandem reaction",
31-239-CAS-15238695,31-239-CAS-15238695,Reaction_20251104_2208 (1).rdf,Hofmann rearrangement,92,,,OCc1ccccc1.NC(=O)Cc1ccccc1C#Cc1ccccc1,O=C(OCc1ccccc1)N1Cc2ccccc2C=C1c1ccccc1,OCc1ccccc1.NC(=O)Cc1ccccc1C#Cc1ccccc1>>O=C(OCc1ccccc1)N1Cc2ccccc2C=C1c1ccccc1,"Platinum-Catalyzed, One-Pot Tandem Synthesis of Indoles and Isoquinolines via Sequential Rearrangement of Amides and Aminocyclization","Okamoto, Noriko; Takeda, Kei; Yanada, Reiko","Journal of Organic Chemistry (2010), 75(22), 7615-7625","Platinum-Catalyzed, One-Pot Tandem Synthesis of Indoles and Isoquinolines via Sequential Rearrangement of Amides and Aminocyclization | Okamoto, Noriko; Takeda, Kei; Yanada, Reiko | Journal of Organic Chemistry (2010), 75(22), 7615-7625","100-51-6, 1207252-55-8",1069130-86-4,3240-34-4,10025-65-7,95-50-1,,,,,,"General/Typical Procedure: General Procedure for the Preparation of Dihydroisoquinoline Carbamate. To a solution of 2-alkynylbenzylamide 5 (0.05 mmol), PhI(OAc)2 (0.06 mmol), and PtCl2 (0.005 mmol) in 1,2-dichlorobenzene (0.5 mL) was added alcohol (0.15 mmol), and the mixture was stirred at 100 °C. The reaction mixture was directly chromatographed on silica gel to afford the dihydroisoquinoline 6. Benzyl 3-Phenylisoquinoline-2(1H)-carboxylate (6c).The reaction mixture was chromatographed on silica gel [AcOEthexane (1:10)] to afford 6c as a yellow viscous oil. mp 143-144 °C (colorless plate from CHCl3-hexane); 1H NMR (CDCl3) δ 7.50 (2H, d, J = 7.6 Hz), 7.36-7.13 (11H, m), 6.55 (2H, br), 4.95 (2H, s), 4.90 (2H, br); 13C NMR (CDCl3) δ 154.3, 139.9, 138.0, 135.4, 132.5, 132.0, 128.5, 128.1, 128.0, 127.7, 127.6, 127.5, 126.1, 125.3, 125.1, 116.3, 67.8, 48.2; IR (CHCl3, cm-1) 3034, 1701, 1622, 1454, 1396, 1344, 1260, 1236, 1161, 1123, 968, 808; MS (EI) m/z=341 (M+);HRMS (EI) m/z calcd for C23H19NO2 341.1416, found 341.1408.",1,1,92,,,,,,,"{""1"": 92}","[{""index"": 1, ""cas_rn"": ""100-51-6"", ""smiles"": ""OCc1ccccc1""}, {""index"": 2, ""cas_rn"": ""1207252-55-8"", ""smiles"": ""NC(=O)Cc1ccccc1C#Cc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""1069130-86-4"", ""yield_pct"": ""92"", ""smiles"": ""O=C(OCc1ccccc1)N1Cc2ccccc2C=C1c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""3240-34-4""}]","[{""index"": 1, ""cas_rn"": ""10025-65-7""}]","[{""index"": 1, ""cas_rn"": ""95-50-1""}]","regioselective, Hofmann-type rearrangement/cyclization tandem reaction",
31-239-CAS-15524445,31-239-CAS-15524445,Reaction_20251104_2208 (1).rdf,Hofmann rearrangement,73,,,OCc1ccccc1.CCCCC#Cc1ccccc1CC(N)=O,CCCCC1=Cc2ccccc2CN1C(=O)OCc1ccccc1,OCc1ccccc1.CCCCC#Cc1ccccc1CC(N)=O>>CCCCC1=Cc2ccccc2CN1C(=O)OCc1ccccc1,"Platinum-Catalyzed, One-Pot Tandem Synthesis of Indoles and Isoquinolines via Sequential Rearrangement of Amides and Aminocyclization","Okamoto, Noriko; Takeda, Kei; Yanada, Reiko","Journal of Organic Chemistry (2010), 75(22), 7615-7625","Platinum-Catalyzed, One-Pot Tandem Synthesis of Indoles and Isoquinolines via Sequential Rearrangement of Amides and Aminocyclization | Okamoto, Noriko; Takeda, Kei; Yanada, Reiko | Journal of Organic Chemistry (2010), 75(22), 7615-7625","100-51-6, 896101-36-3",1255775-85-9,3240-34-4,10025-65-7,95-50-1,,,,,,"General/Typical Procedure: General Procedure for the Preparation of Dihydroisoquinoline Carbamate. To a solution of 2-alkynylbenzylamide 5 (0.05 mmol), PhI(OAc)2 (0.06 mmol), and PtCl2 (0.005 mmol) in 1,2-dichlorobenzene (0.5 mL) was added alcohol (0.15 mmol), and the mixture was stirred at 100 °C. The reaction mixture was directly chromatographed on silica gel to afford the dihydroisoquinoline 6. Benzyl 3-Butylisoquinoline-2(1H)-carboxylate (6g). The reaction mixture was chromatographed on silica gel [AcOEt-hexane (1:20)] to afford 6g as a yellow oil. 1H-NMR (CDCl3) δ : 7.36-7.31 (5H, m), 7.22-7.11 (3H, m), 7.04 (1H, d, J = 6.9 Hz), 6.08 (1H, s), 5.16 (2H, s), 4.73 (2H, s), 2.63 (2H, br), 1.47-1.43 (2H, m), 1.30 (2H, br), 0.87 (3H, t, J = 7.2 Hz). 13C-NMR (CDCl3) δ : 153.6, 142.2, 136.0, 132.4, 131.3, 128.5, 128.3, 128.2, 127.6, 126.7, 124.8, 124.2, 115.2, 67.8, 48.2, 34.0, 30.7, 22.3, 13.9. IR (CHCl3, cm-1) 3009, 2959, 2930, 1697, 1634, 1456, 1398, 1344, 1281, 1238, 1184, 1117, 810. MS (EI): m/z = 321 (M+). HRMS (EI): m/z calcd for C21H23NO2: 321.1729; found: 321.1727.",1,1,73,,,,,,,"{""1"": 73}","[{""index"": 1, ""cas_rn"": ""100-51-6"", ""smiles"": ""OCc1ccccc1""}, {""index"": 2, ""cas_rn"": ""896101-36-3"", ""smiles"": ""CCCCC#Cc1ccccc1CC(N)=O""}]","[{""index"": 1, ""cas_rn"": ""1255775-85-9"", ""yield_pct"": ""73"", ""smiles"": ""CCCCC1=Cc2ccccc2CN1C(=O)OCc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""3240-34-4""}]","[{""index"": 1, ""cas_rn"": ""10025-65-7""}]","[{""index"": 1, ""cas_rn"": ""95-50-1""}]","regioselective, Hofmann-type rearrangement/cyclization tandem reaction",
31-239-CAS-1850360,31-239-CAS-1850360,Reaction_20251104_2208 (1).rdf,Hofmann rearrangement,82,,,CCO.Cc1ccc(C#Cc2ccccc2CC(N)=O)cc1,CCOC(=O)N1Cc2ccccc2C=C1c1ccc(C)cc1,CCO.Cc1ccc(C#Cc2ccccc2CC(N)=O)cc1>>CCOC(=O)N1Cc2ccccc2C=C1c1ccc(C)cc1,"Platinum-Catalyzed, One-Pot Tandem Synthesis of Indoles and Isoquinolines via Sequential Rearrangement of Amides and Aminocyclization","Okamoto, Noriko; Takeda, Kei; Yanada, Reiko","Journal of Organic Chemistry (2010), 75(22), 7615-7625","Platinum-Catalyzed, One-Pot Tandem Synthesis of Indoles and Isoquinolines via Sequential Rearrangement of Amides and Aminocyclization | Okamoto, Noriko; Takeda, Kei; Yanada, Reiko | Journal of Organic Chemistry (2010), 75(22), 7615-7625","64-17-5, 1207252-56-9",1207252-59-2,3240-34-4,10025-65-7,95-50-1,,,,,,"General/Typical Procedure: General Procedure for the Preparation of Dihydroisoquinoline Carbamate. To a solution of 2-alkynylbenzylamide 5 (0.05 mmol), PhI(OAc)2 (0.06 mmol), and PtCl2 (0.005 mmol) in 1,2-dichlorobenzene (0.5 mL) was added alcohol (0.15 mmol), and the mixture was stirred at 100 °C. The reaction mixture was directly chromatographed on silica gel to afford the dihydroisoquinoline 6. Ethyl 3-p-Tolylisoquinoline-2(1H)-carboxylate (6d). The reaction mixture was chromatographed on silica gel [AcOEt-hexane (1:10)] to afford 6d as a yellow viscous oil. mp124-125 °C(colorless prismfromCHCl3-hexane); 1HNMR(CDCl3) δ 7.39 (2H, d, J = 8.2 Hz), 7.27-7.19 (4H, m), 7.17 (2H, d, J = 7.6 Hz), 6.50 (1H, s), 4.90 (2H, s), 3.91 (2H, br), 2.37 (3H, s), 0.79 (3H, br); 13C NMR (CDCl3) δ 154.4, 140.3, 137.8, 135.2, 132.7, 131.9, 128.9, 127.6, 127.2, 125.9, 125.1, 125.0, 115.2, 61.8, 48.1, 21.3, 13.9; IR (CHCl3, cm-1) 1697, 1454, 1400, 1377, 1342, 1260, 1117, 689; MS (EI) m/z=293 (M+);HRMS (EI) m/z calcd for C19H19NO2 293.1416, found 293.1416.",1,1,82,,,,,,,"{""1"": 82}","[{""index"": 1, ""cas_rn"": ""64-17-5"", ""smiles"": ""CCO""}, {""index"": 2, ""cas_rn"": ""1207252-56-9"", ""smiles"": ""Cc1ccc(C#Cc2ccccc2CC(N)=O)cc1""}]","[{""index"": 1, ""cas_rn"": ""1207252-59-2"", ""yield_pct"": ""82"", ""smiles"": ""CCOC(=O)N1Cc2ccccc2C=C1c1ccc(C)cc1""}]","[{""index"": 1, ""cas_rn"": ""3240-34-4""}]","[{""index"": 1, ""cas_rn"": ""10025-65-7""}]","[{""index"": 1, ""cas_rn"": ""95-50-1""}]","regioselective, Hofmann-type rearrangement/cyclization tandem reaction",
31-239-CAS-2065355,31-239-CAS-2065355,Reaction_20251104_2208 (1).rdf,Hofmann rearrangement,86,,,CCO.NC(=O)Cc1ccccc1C#Cc1ccccc1,CCOC(=O)N1Cc2ccccc2C=C1c1ccccc1,CCO.NC(=O)Cc1ccccc1C#Cc1ccccc1>>CCOC(=O)N1Cc2ccccc2C=C1c1ccccc1,Concise One-Pot Tandem Synthesis of Indoles and Isoquinolines from Amides,"Okamoto, Noriko; Miwa, Yoshihisa; Minami, Hideki; Takeda, Kei; Yanada, Reiko","Angewandte Chemie, International Edition (2009), 48(51), 9693-9696, S9693/1-S9693/34","Concise One-Pot Tandem Synthesis of Indoles and Isoquinolines from Amides | Okamoto, Noriko; Miwa, Yoshihisa; Minami, Hideki; Takeda, Kei; Yanada, Reiko | Angewandte Chemie, International Edition (2009), 48(51), 9693-9696, S9693/1-S9693/34","64-17-5, 1207252-55-8",1207252-57-0,3240-34-4,10025-65-7,95-50-1,,,,,,,1,1,86,,,,,,,"{""1"": 86}","[{""index"": 1, ""cas_rn"": ""64-17-5"", ""smiles"": ""CCO""}, {""index"": 2, ""cas_rn"": ""1207252-55-8"", ""smiles"": ""NC(=O)Cc1ccccc1C#Cc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""1207252-57-0"", ""yield_pct"": ""86"", ""smiles"": ""CCOC(=O)N1Cc2ccccc2C=C1c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""3240-34-4""}]","[{""index"": 1, ""cas_rn"": ""10025-65-7""}]","[{""index"": 1, ""cas_rn"": ""95-50-1""}]",regioselective,
31-239-CAS-2360729,31-239-CAS-2360729,Reaction_20251104_2208 (1).rdf,Hofmann rearrangement,66,,,CCO.CCCCC#Cc1ccccc1CC(N)=O,CCCCC1=Cc2ccccc2CN1C(=O)OCC,CCO.CCCCC#Cc1ccccc1CC(N)=O>>CCCCC1=Cc2ccccc2CN1C(=O)OCC,Concise One-Pot Tandem Synthesis of Indoles and Isoquinolines from Amides,"Okamoto, Noriko; Miwa, Yoshihisa; Minami, Hideki; Takeda, Kei; Yanada, Reiko","Angewandte Chemie, International Edition (2009), 48(51), 9693-9696, S9693/1-S9693/34","Concise One-Pot Tandem Synthesis of Indoles and Isoquinolines from Amides | Okamoto, Noriko; Miwa, Yoshihisa; Minami, Hideki; Takeda, Kei; Yanada, Reiko | Angewandte Chemie, International Edition (2009), 48(51), 9693-9696, S9693/1-S9693/34","64-17-5, 896101-36-3",1207252-60-5,3240-34-4,10025-65-7,95-50-1,,,,,,,1,1,66,,,,,,,"{""1"": 66}","[{""index"": 1, ""cas_rn"": ""64-17-5"", ""smiles"": ""CCO""}, {""index"": 2, ""cas_rn"": ""896101-36-3"", ""smiles"": ""CCCCC#Cc1ccccc1CC(N)=O""}]","[{""index"": 1, ""cas_rn"": ""1207252-60-5"", ""yield_pct"": ""66"", ""smiles"": ""CCCCC1=Cc2ccccc2CN1C(=O)OCC""}]","[{""index"": 1, ""cas_rn"": ""3240-34-4""}]","[{""index"": 1, ""cas_rn"": ""10025-65-7""}]","[{""index"": 1, ""cas_rn"": ""95-50-1""}]",regioselective,
31-239-CAS-3981774,31-239-CAS-3981774,Reaction_20251104_2208 (1).rdf,Hofmann rearrangement,82,,,OCc1ccccc1.Cc1ccc(C#Cc2ccccc2CC(N)=O)cc1,Cc1ccc(C2=Cc3ccccc3CN2C(=O)OCc2ccccc2)cc1,OCc1ccccc1.Cc1ccc(C#Cc2ccccc2CC(N)=O)cc1>>Cc1ccc(C2=Cc3ccccc3CN2C(=O)OCc2ccccc2)cc1,"Platinum-Catalyzed, One-Pot Tandem Synthesis of Indoles and Isoquinolines via Sequential Rearrangement of Amides and Aminocyclization","Okamoto, Noriko; Takeda, Kei; Yanada, Reiko","Journal of Organic Chemistry (2010), 75(22), 7615-7625","Platinum-Catalyzed, One-Pot Tandem Synthesis of Indoles and Isoquinolines via Sequential Rearrangement of Amides and Aminocyclization | Okamoto, Noriko; Takeda, Kei; Yanada, Reiko | Journal of Organic Chemistry (2010), 75(22), 7615-7625","100-51-6, 1207252-56-9",1255775-84-8,3240-34-4,10025-65-7,95-50-1,,,,,,"General/Typical Procedure: General Procedure for the Preparation of Dihydroisoquinoline Carbamate. To a solution of 2-alkynylbenzylamide 5 (0.05 mmol), PhI(OAc)2 (0.06 mmol), and PtCl2 (0.005 mmol) in 1,2-dichlorobenzene (0.5 mL) was added alcohol (0.15 mmol), and the mixture was stirred at 100 °C. The reaction mixture was directly chromatographed on silica gel to afford the dihydroisoquinoline 6. Benzyl 3-p-Tolylisoquinoline-2(1H)-carboxylate (6e). The reaction mixture was chromatographed on silica gel [AcOEt-hexane (1:20)] to afford 6e as a yellow viscous oil. 1H NMR (CDCl 3) δ 7.39-7.14 (11H, m), 6.62 (1H, br), 6.52 (1H, s), 4.92 (4H, br), 2.38 (3H, s); 13C NMR (CDCl3) δ 137.9, 132.6, 129.1, 128.0, 127.7, 127.6, 127.3, 126.0, 125.1, 125.0, 115.5, 67.7, 48.2, 21.3; IR (CHCl3, cm-1) 3034, 1701, 1620, 1512, 1485, 1454, 1441, 1396, 1344, 1310, 1260, 1198, 1161, 966; MS (EI) m/z = 355 (M+); HRMS (EI) m/z calcd for C24H21NO2 355.1572, found 355.1579.",1,1,82,,,,,,,"{""1"": 82}","[{""index"": 1, ""cas_rn"": ""100-51-6"", ""smiles"": ""OCc1ccccc1""}, {""index"": 2, ""cas_rn"": ""1207252-56-9"", ""smiles"": ""Cc1ccc(C#Cc2ccccc2CC(N)=O)cc1""}]","[{""index"": 1, ""cas_rn"": ""1255775-84-8"", ""yield_pct"": ""82"", ""smiles"": ""Cc1ccc(C2=Cc3ccccc3CN2C(=O)OCc2ccccc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""3240-34-4""}]","[{""index"": 1, ""cas_rn"": ""10025-65-7""}]","[{""index"": 1, ""cas_rn"": ""95-50-1""}]","regioselective, Hofmann-type rearrangement/cyclization tandem reaction",
