reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-301-CAS-21131293,31-301-CAS-21131293,Reaction_20251110_1440.rdf,Jones oxidation,85,,,CC(C)[Si](OCCC(O)c1ccco1)(C(C)C)C(C)C,CC(C)[Si](OCCC1OC(O)C=CC1=O)(C(C)C)C(C)C,CC(C)[Si](OCCC(O)c1ccco1)(C(C)C)C(C)C>>CC(C)[Si](OCCC1OC(O)C=CC1=O)(C(C)C)C(C)C,Catalytic Environmentally Friendly Protocol for Achmatowicz Rearrangement,"Li, Zhilong; Tong, Rongbiao","Journal of Organic Chemistry (2016), 81(11), 4847-4855","Catalytic Environmentally Friendly Protocol for Achmatowicz Rearrangement | Li, Zhilong; Tong, Rongbiao | Journal of Organic Chemistry (2016), 81(11), 4847-4855",1909255-38-4,1919039-77-2,"144-55-8, 37222-66-5",7758-02-3,"109-99-9, 7732-18-5",,,,,,,2,1,85,,,,,,,"{""1"": 85}","[{""index"": 1, ""cas_rn"": ""1909255-38-4"", ""smiles"": ""CC(C)[Si](OCCC(O)c1ccco1)(C(C)C)C(C)C""}]","[{""index"": 1, ""cas_rn"": ""1919039-77-2"", ""yield_pct"": ""85"", ""smiles"": ""CC(C)[Si](OCCC1OC(O)C=CC1=O)(C(C)C)C(C)C""}]","[{""index"": 1, ""cas_rn"": ""144-55-8""}, {""index"": 2, ""cas_rn"": ""37222-66-5""}]","[{""index"": 1, ""cas_rn"": ""7758-02-3""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]","green chemistry, Achmatowicz Rearrangement, optimized on reaction methods",
31-301-CAS-21165257,31-301-CAS-21165257,Reaction_20251110_1440.rdf,Jones oxidation,90,,,CC(C)[C@H]1COC(=O)N1C(=O)[C@@H](C)C(O)c1ccco1,CC(C)[C@H]1COC(=O)N1C(=O)[C@@H](C)C1OC(O)C=CC1=O,CC(C)[C@H]1COC(=O)N1C(=O)[C@@H](C)C(O)c1ccco1>>CC(C)[C@H]1COC(=O)N1C(=O)[C@@H](C)C1OC(O)C=CC1=O,Catalytic Environmentally Friendly Protocol for Achmatowicz Rearrangement,"Li, Zhilong; Tong, Rongbiao","Journal of Organic Chemistry (2016), 81(11), 4847-4855","Catalytic Environmentally Friendly Protocol for Achmatowicz Rearrangement | Li, Zhilong; Tong, Rongbiao | Journal of Organic Chemistry (2016), 81(11), 4847-4855",1919039-44-3,1919039-57-8,"144-55-8, 37222-66-5",7758-02-3,"109-99-9, 7732-18-5",,,,,,,2,1,90,,,,,,,"{""1"": 90}","[{""index"": 1, ""cas_rn"": ""1919039-44-3"", ""smiles"": ""CC(C)[C@H]1COC(=O)N1C(=O)[C@@H](C)C(O)c1ccco1""}]","[{""index"": 1, ""cas_rn"": ""1919039-57-8"", ""yield_pct"": ""90"", ""smiles"": ""CC(C)[C@H]1COC(=O)N1C(=O)[C@@H](C)C1OC(O)C=CC1=O""}]","[{""index"": 1, ""cas_rn"": ""144-55-8""}, {""index"": 2, ""cas_rn"": ""37222-66-5""}]","[{""index"": 1, ""cas_rn"": ""7758-02-3""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]","green chemistry, Achmatowicz Rearrangement, optimized on reaction methods",
31-301-CAS-21171299,31-301-CAS-21171299,Reaction_20251110_1440.rdf,Jones oxidation,87,,,CC(C)(O)c1ccco1,CC1(C)OC(O)C=CC1=O,CC(C)(O)c1ccco1>>CC1(C)OC(O)C=CC1=O,Catalytic Environmentally Friendly Protocol for Achmatowicz Rearrangement,"Li, Zhilong; Tong, Rongbiao","Journal of Organic Chemistry (2016), 81(11), 4847-4855","Catalytic Environmentally Friendly Protocol for Achmatowicz Rearrangement | Li, Zhilong; Tong, Rongbiao | Journal of Organic Chemistry (2016), 81(11), 4847-4855",6378-58-1,60617-91-6,"144-55-8, 37222-66-5",7758-02-3,"109-99-9, 7732-18-5",,,,,,,2,1,87,,,,,,,"{""1"": 87}","[{""index"": 1, ""cas_rn"": ""6378-58-1"", ""smiles"": ""CC(C)(O)c1ccco1""}]","[{""index"": 1, ""cas_rn"": ""60617-91-6"", ""yield_pct"": ""87"", ""smiles"": ""CC1(C)OC(O)C=CC1=O""}]","[{""index"": 1, ""cas_rn"": ""144-55-8""}, {""index"": 2, ""cas_rn"": ""37222-66-5""}]","[{""index"": 1, ""cas_rn"": ""7758-02-3""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]","green chemistry, Achmatowicz Rearrangement, optimized on reaction methods",
31-301-CAS-21171649,31-301-CAS-21171649,Reaction_20251110_1440.rdf,Jones oxidation,81,,,OC1(c2ccco2)CCCCC1,O=C1C=CC(O)OC12CCCCC2,OC1(c2ccco2)CCCCC1>>O=C1C=CC(O)OC12CCCCC2,Catalytic Environmentally Friendly Protocol for Achmatowicz Rearrangement,"Li, Zhilong; Tong, Rongbiao","Journal of Organic Chemistry (2016), 81(11), 4847-4855","Catalytic Environmentally Friendly Protocol for Achmatowicz Rearrangement | Li, Zhilong; Tong, Rongbiao | Journal of Organic Chemistry (2016), 81(11), 4847-4855",36169-67-2,36067-19-3,"144-55-8, 37222-66-5",7758-02-3,"109-99-9, 7732-18-5",,,,,,,2,1,81,,,,,,,"{""1"": 81}","[{""index"": 1, ""cas_rn"": ""36169-67-2"", ""smiles"": ""OC1(c2ccco2)CCCCC1""}]","[{""index"": 1, ""cas_rn"": ""36067-19-3"", ""yield_pct"": ""81"", ""smiles"": ""O=C1C=CC(O)OC12CCCCC2""}]","[{""index"": 1, ""cas_rn"": ""144-55-8""}, {""index"": 2, ""cas_rn"": ""37222-66-5""}]","[{""index"": 1, ""cas_rn"": ""7758-02-3""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]","green chemistry, Achmatowicz Rearrangement, optimized on reaction methods",
31-480-CAS-10921634,31-480-CAS-10921634,Reaction_20251110_1440.rdf,Jones oxidation,92,,,O=C(c1ccco1)C(O)c1ccco1,O=C(C(=O)c1ccco1)c1ccco1,O=C(c1ccco1)C(O)c1ccco1>>O=C(C(=O)c1ccco1)c1ccco1,Oxidation of benzoins to benzils with the Jones' reagent supported on graphite,"Lou, Ji-Dong; Ma, Yi-Chun; Vatanian, N.; Wang, Q.; Zhang, Ch.","Oxidation Communications (2010), 33(3), 550-554","Oxidation of benzoins to benzils with the Jones' reagent supported on graphite | Lou, Ji-Dong; Ma, Yi-Chun; Vatanian, N.; Wang, Q.; Zhang, Ch. | Oxidation Communications (2010), 33(3), 550-554",552-86-3,492-94-4,65272-70-0,,75-09-2,,,,,,,1,1,92,,,,,,,"{""1"": 92}","[{""index"": 1, ""cas_rn"": ""552-86-3"", ""smiles"": ""O=C(c1ccco1)C(O)c1ccco1""}]","[{""index"": 1, ""cas_rn"": ""492-94-4"", ""yield_pct"": ""92"", ""smiles"": ""O=C(C(=O)c1ccco1)c1ccco1""}]","[{""index"": 1, ""cas_rn"": ""65272-70-0""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]","solid-supported reagent, Jones oxidation, Jones reagent support on graphite, selective oxidation",
31-480-CAS-11256909,31-480-CAS-11256909,Reaction_20251110_1440.rdf,Jones oxidation,97,,,COC(=O)[C@]12CC[C@@H](C(C)=O)[C@@H]1[C@H]1CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,COC(=O)[C@]12CC[C@@H](C(C)=O)[C@@H]1[C@H]1CC[C@@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,COC(=O)[C@]12CC[C@@H](C(C)=O)[C@@H]1[C@H]1CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2>>COC(=O)[C@]12CC[C@@H](C(C)=O)[C@@H]1[C@H]1CC[C@@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,Incorporation of a Michael acceptor enhances the antitumor activity of triterpenoic acids,"Heller, Lucie; Schwarz, Stefan; Perl, Vincent; Koewitsch, Alexander; Siewert, Bianka; Csuk, Rene","European Journal of Medicinal Chemistry (2015), 101391-399","Incorporation of a Michael acceptor enhances the antitumor activity of triterpenoic acids | Heller, Lucie; Schwarz, Stefan; Perl, Vincent; Koewitsch, Alexander; Siewert, Bianka; Csuk, Rene | European Journal of Medicinal Chemistry (2015), 101391-399",4356-32-5,104158-56-7,"1333-82-0, 7664-93-9",,67-64-1,,,,,,,1,1,97,,,,,,,"{""1"": 97}","[{""index"": 1, ""cas_rn"": ""4356-32-5"", ""smiles"": ""COC(=O)[C@]12CC[C@@H](C(C)=O)[C@@H]1[C@H]1CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2""}]","[{""index"": 1, ""cas_rn"": ""104158-56-7"", ""yield_pct"": ""97"", ""smiles"": ""COC(=O)[C@]12CC[C@@H](C(C)=O)[C@@H]1[C@H]1CC[C@@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2""}]","[{""index"": 1, ""cas_rn"": ""1333-82-0""}, {""index"": 2, ""cas_rn"": ""7664-93-9""}]",[],"[{""index"": 1, ""cas_rn"": ""67-64-1""}]",,
31-480-CAS-12125394,31-480-CAS-12125394,Reaction_20251110_1440.rdf,Jones oxidation,93,,,OCC=Cc1ccccc1,O=CC=Cc1ccccc1,OCC=Cc1ccccc1>>O=CC=Cc1ccccc1,A new efficient oxidation of alcohols with Jones reagent supported on Kieselguhr,"Lou, Ji-Dong; Ma, Yi-Chun; Gao, Chun-Ling; Li, Li","Synthesis and Reactivity in Inorganic, Metal-Organic, and Nano-Metal Chemistry (2006), 36(5), 381-383","A new efficient oxidation of alcohols with Jones reagent supported on Kieselguhr | Lou, Ji-Dong; Ma, Yi-Chun; Gao, Chun-Ling; Li, Li | Synthesis and Reactivity in Inorganic, Metal-Organic, and Nano-Metal Chemistry (2006), 36(5), 381-383",104-54-1,104-55-2,,,75-09-2,,,,,,"General/Typical Procedure: Oxidation of Benzyl Alcohol to Benzaldehyde: Typical Procedure: To a vigorously stirred kieselguhr (2 g) Jones reagent [61 (0.4 mL, 3.3 mmol) is added slowly until the orange powder are produced. CH2Cl2 (10mL) is added to the obtained mixture. A solution of benzyl alcohol (108 mg, 1 mmol) in CH2Cl2 (2 mL) is then added slowly to the above stirred heterogeneous mixture at room temperature for 10 min. The progress of the reaction is monitored by TLC (aluminumbacked silica gel Merck 60 GF254 plates) using hexane-ethyl acetate (8:2) as eluent. The solid is filtered and washed with CH2Cl2 (3x5 mL). The combined filtrates are evaporated to give crude product, which is purified by preparative TLC with hexane.ethyl acetate (8:2). 103 mg (97%) benzaldehyde. Product: PhCH=CHCHO; Yield: 93%. b.p.(°C/mm): Found: 120-122/10; Reported: 248°C.",1,1,93,,,,,,,"{""1"": 93}","[{""index"": 1, ""cas_rn"": ""104-54-1"", ""smiles"": ""OCC=Cc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""104-55-2"", ""yield_pct"": ""93"", ""smiles"": ""O=CC=Cc1ccccc1""}]",[],[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]","chemoselective, Kieselguhr supported Jones reagent as agent",
31-480-CAS-1243849,31-480-CAS-1243849,Reaction_20251110_1440.rdf,Jones oxidation,91,,,CC(O)c1cccnc1Br,CC(=O)c1cccnc1Br,CC(O)c1cccnc1Br>>CC(=O)c1cccnc1Br,Silver-catalysed intramolecular cyclisation of 2-alkynylacetophenones and 3-acetyl-2-alkynylpyridines in the presence of ammonia,"Dell'Acqua, Monica; Abbiati, Giorgio; Arcadi, Antonio; Rossi, Elisabetta","Organic & Biomolecular Chemistry (2011), 9(22), 7836-7848","Silver-catalysed intramolecular cyclisation of 2-alkynylacetophenones and 3-acetyl-2-alkynylpyridines in the presence of ammonia | Dell'Acqua, Monica; Abbiati, Giorgio; Arcadi, Antonio; Rossi, Elisabetta | Organic & Biomolecular Chemistry (2011), 9(22), 7836-7848",84199-57-5,84199-61-1,1333-82-0,,67-64-1,,,,,,,1,1,91,,,,,,,"{""1"": 91}","[{""index"": 1, ""cas_rn"": ""84199-57-5"", ""smiles"": ""CC(O)c1cccnc1Br""}]","[{""index"": 1, ""cas_rn"": ""84199-61-1"", ""yield_pct"": ""91"", ""smiles"": ""CC(=O)c1cccnc1Br""}]","[{""index"": 1, ""cas_rn"": ""1333-82-0""}]",[],"[{""index"": 1, ""cas_rn"": ""67-64-1""}]","literature preparation, Jones oxidation",
31-480-CAS-12516816,31-480-CAS-12516816,Reaction_20251110_1440.rdf,Jones oxidation,90,,,CCCCCC(O)CCC(O)CCc1ccccc1,CCCCCC(=O)CCC(=O)CCc1ccccc1,CCCCCC(O)CCC(O)CCc1ccccc1>>CCCCCC(=O)CCC(=O)CCc1ccccc1,"Conversion of 1,4-Diketones into para-Disubstituted Benzenes","Ziffle, Vincent E.; Cheng, Ping; Clive, Derrick L. J.","Journal of Organic Chemistry (2010), 75(23), 8024-8038","Conversion of 1,4-Diketones into para-Disubstituted Benzenes | Ziffle, Vincent E.; Cheng, Ping; Clive, Derrick L. J. | Journal of Organic Chemistry (2010), 75(23), 8024-8038",1257308-83-0,1257308-84-1,,,"67-64-1, 67-56-1",,,,,,"1-Phenylundecane-3,6-dione (7). Jones reagent20 (7.0 M in acetone, 0.07 mL, 0.46 mmol) was added dropwise to a stirred and cooled (0 °C) solution of 6 (0.0175 g, 0.0662 mmol) in acetone (5 mL). After 10 min, the orange mixture was quenched with MeOH (5 mL), and stirring was continued for 30 min, by which time the mixture had become dark green. The mixture was diluted with EtOAc (20 mL), washed with water and brine, dried (Na2SO4), and evaporated. Flash chromatography of the residue over silica gel (0.7 x 16 cm), using EtOAc-petroleum ether mixtures from 15% to 25% EtOAc, gave 7 (0.0162 g, 94%) as an oil. 1-Phenylundecane-3,6-dione (7), yield 0.0162 g, 94% FTIR (CH2Cl2, cast microscope) 3028, 2956, 2931, 2872, 1712, 1604, 1454 cm-1; 1H NMR (CDCl3, 500 MHz) δ 0.90 (t, J = 7.0 Hz, 3 H), 1.23-1.37 (m, 4 H), 1.59 (quintet, J = 7.6 Hz, 2 H), 2.45 (t, J = 7.4 Hz, 2 H), 2.64-2.71 (m, 4 H), 2.80 (apparent t, J = 7.9 Hz, 2 H), 2.91 (t, J = 8.0 Hz, 2 H), 7.17-7.21 (m, 3 H), 7.26-7.30 (m, 2 H); 13C NMR (CDCl3, 125 MHz) δ 13.9 (q), 22.4 (t), 23.5 (t), 23.5 (t), 29.7 (t), 31.4 (t), 36.0 (t), 36.2 (t), 42.8 (t), 44.3 (t), 126.1 (d), 128.3 (d), 128.5 (d), 141.0 (s), 208.5 (s), 209.7 (s); exact mass m/z calcd for C17H24NaO2 (M + Na) 283.1669, found 283.1671.",3,1,90,,,,,,,"{""1"": 90}","[{""index"": 1, ""cas_rn"": ""1257308-83-0"", ""smiles"": ""CCCCCC(O)CCC(O)CCc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""1257308-84-1"", ""yield_pct"": ""90"", ""smiles"": ""CCCCCC(=O)CCC(=O)CCc1ccccc1""}]",[],[],"[{""index"": 1, ""cas_rn"": ""67-64-1""}, {""index"": 2, ""cas_rn"": ""67-56-1""}]","second stage dropwise addn. of reagent; third stage quench, Jones reagent used",
31-480-CAS-12558386,31-480-CAS-12558386,Reaction_20251110_1440.rdf,Jones oxidation,88,,,COC(=O)[C@]12CC[C@@H](C)[C@H](C)[C@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,COC(=O)[C@]12CC[C@@H](C)[C@H](C)[C@H]1C1=CC[C@@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,COC(=O)[C@]12CC[C@@H](C)[C@H](C)[C@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2>>COC(=O)[C@]12CC[C@@H](C)[C@H](C)[C@H]1C1=CC[C@@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2,Incorporation of a Michael acceptor enhances the antitumor activity of triterpenoic acids,"Heller, Lucie; Schwarz, Stefan; Perl, Vincent; Koewitsch, Alexander; Siewert, Bianka; Csuk, Rene","European Journal of Medicinal Chemistry (2015), 101391-399","Incorporation of a Michael acceptor enhances the antitumor activity of triterpenoic acids | Heller, Lucie; Schwarz, Stefan; Perl, Vincent; Koewitsch, Alexander; Siewert, Bianka; Csuk, Rene | European Journal of Medicinal Chemistry (2015), 101391-399",32208-45-0,989-72-0,"1333-82-0, 7664-93-9",,67-64-1,,,,,,,1,1,88,,,,,,,"{""1"": 88}","[{""index"": 1, ""cas_rn"": ""32208-45-0"", ""smiles"": ""COC(=O)[C@]12CC[C@@H](C)[C@H](C)[C@H]1C1=CC[C@@H]3[C@@]4(C)CC[C@H](O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2""}]","[{""index"": 1, ""cas_rn"": ""989-72-0"", ""yield_pct"": ""88"", ""smiles"": ""COC(=O)[C@]12CC[C@@H](C)[C@H](C)[C@H]1C1=CC[C@@H]3[C@@]4(C)CCC(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2""}]","[{""index"": 1, ""cas_rn"": ""1333-82-0""}, {""index"": 2, ""cas_rn"": ""7664-93-9""}]",[],"[{""index"": 1, ""cas_rn"": ""67-64-1""}]",,
