reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-049-CAS-14017760,31-049-CAS-14017760,3.rdf,Negishi coupling,88,,,Fc1c(Cl)cccc1[CH2][Zn][Br].CCOC(=O)c1cn([C@H](CO[Si](C)(C)C(C)(C)C)C(C)C)c2cc(F)c(I)cc2c1=O.CO,COc1cc2c(cc1Cc1cccc(Cl)c1F)c(=O)c(C(=O)O)cn2[C@H](CO)C(C)C,Fc1c(Cl)cccc1[CH2][Zn][Br].CCOC(=O)c1cn([C@H](CO[Si](C)(C)C(C)(C)C)C(C)C)c2cc(F)c(I)cc2c1=O.CO>>COc1cc2c(cc1Cc1cccc(Cl)c1F)c(=O)c(C(=O)O)cn2[C@H](CO)C(C)C,Quinolone Carboxylic Acids as a Novel Monoketo Acid Class of Human Immunodeficiency Virus Type 1 Integrase Inhibitors,"Sato, Motohide; Kawakami, Hiroshi; Motomura, Takahisa; Aramaki, Hisateru; Matsuda, Takashi; Yamashita, Masaki; Ito, Yoshiharu; Matsuzaki, Yuji; Yamataka, Kazunobu; Ikeda, Satoru; Shinkai, Hisashi","Journal of Medicinal Chemistry (2009), 52(15), 4869-4882","Quinolone Carboxylic Acids as a Novel Monoketo Acid Class of Human Immunodeficiency Virus Type 1 Integrase Inhibitors | Sato, Motohide; Kawakami, Hiroshi; Motomura, Takahisa; Aramaki, Hisateru; Matsuda, Takashi; Yamashita, Masaki; Ito, Yoshiharu; Matsuzaki, Yuji; Yamataka, Kazunobu; Ikeda, Satoru; Shinkai, Hisashi | Journal of Medicinal Chemistry (2009), 52(15), 4869-4882","869893-91-4, 870294-02-3, 67-56-1",697761-98-1,"124-41-4, 64-19-7","5518-52-5, 51364-51-3",109-99-9,,,,,,"Step 2. A round-bottomed flask was charged with 4-iodonitrobenzene (70.0 g, 281 mmol), Pd2(dba)3 (3.23 g, 5.62 mmol), and tri-2-furylphosphine (2.61 g, 11.24 mmol), evacuated, and backfilled with argon. To the mixture was added tetrahydrofuran (1000 mL) followed by 2,3-dichlorobenzylzinc chloride (421 mmol) under an argon atmosphere. The reaction mixture was stirred for 2 h at roomtemperature and diluted with saturated aqueous ammoniumchloride.A precipitate was filtered by Celite and washed with ethyl acetate. The combined filtrate was concentrated in vacuo. To the residue were added ethyl acetate and water.The organic phasewas separated,washed successively with water and brine, dried overmagnesium sulfate, and concentrated in vacuo. The residue was treated with n-hexane, and the resulting solid was collected by filtration to give 4-(2,3-dichlorobenzyl) nitrobenzene (60.2 g, 76%). A mixture of 1-((2S)-1-(tert-butyldimethylsilyloxy)pentan-2-yl)- 6-(3-chloro-2-fluorobenzyl)-7-fluoro-4-oxo-1,4-dihydroquinoline- 3-carboxylic acid ethyl ester (194 mg, 0.33 mmol), which was prepared from 2,4-difluoro-5-iodobenzoic acid and (S)-2- aminopentan-1-ol as described in steps 1-4 for the synthesis of 44, and 28% sodium methoxide in methanol (3.0 mL) was heated to reflux for 3 h, cooled, and filtered through Celite. The filtrate was acidified with acetic acid, and the suspension was filtered. The solid was washed successively with ethanol/ water (3/7 v/v) and n-hexane to give 48 (136 mg, 90%). 6-(3-Chloro-2-fluorobenzyl)-1-((2S)-1-hydroxy-3-methylbutan-2-yl)-7-methoxy-4-oxo-1,4-dihydroquinoline-3-carboxylic acid (49), yield 88% [α]D 25 -29.7_ (c 1.03, MeOH). Mp 151-152°C. 1H NMR (DMSO-d6) δ 15.43 (1H, br s), 8.87 (1H, s), 8.03 (1H, s), 7.50-7.44 (2H, m), 7.26-7.22 (1H, m), 7.21-7.16 (1H, m), 5.21- 5.18 (1H, m), 4.88 (1H, br s), 4.11 (2H, s), 4.04 (4H, s), 4.01-3.95 (4H, m), 3.82-3.75 (1H, m), 2.45-2.32 (1H, m), 1.16 (3H, d, J= 6.5 Hz), 0.73 (3H, d, J = 6.5 Hz). MS (ESI) m/z 448 (M þ H)þ. Anal. (C23H23ClFNO5) C, H, N.",3,1,88,,,,,,,"{""1"": 88}","[{""index"": 1, ""cas_rn"": ""869893-91-4"", ""smiles"": ""Fc1c(Cl)cccc1[CH2][Zn][Br]""}, {""index"": 2, ""cas_rn"": ""870294-02-3"", ""smiles"": ""CCOC(=O)c1cn([C@H](CO[Si](C)(C)C(C)(C)C)C(C)C)c2cc(F)c(I)cc2c1=O""}, {""index"": 3, ""cas_rn"": ""67-56-1"", ""smiles"": ""CO""}]","[{""index"": 1, ""cas_rn"": ""697761-98-1"", ""yield_pct"": ""88"", ""smiles"": ""COc1cc2c(cc1Cc1cccc(Cl)c1F)c(=O)c(C(=O)O)cn2[C@H](CO)C(C)C""}]","[{""index"": 1, ""cas_rn"": ""124-41-4""}, {""index"": 2, ""cas_rn"": ""64-19-7""}]","[{""index"": 1, ""cas_rn"": ""5518-52-5""}, {""index"": 2, ""cas_rn"": ""51364-51-3""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}]",Negishi coupling in stage 1,
31-049-CAS-16434916,31-049-CAS-16434916,5.rdf,Negishi coupling,76,,,Fc1c(Cl)cccc1[CH2][Zn][Br].COC(=O)c1cn([C@H](CO[Si](C)(C)C)C(C)C)c2cc(OC)c(I)cc2c1=O,COC(=O)c1cn([C@H](CO)C(C)C)c2cc(OC)c(Cc3cccc(Cl)c3F)cc2c1=O,Fc1c(Cl)cccc1[CH2][Zn][Br].COC(=O)c1cn([C@H](CO[Si](C)(C)C)C(C)C)c2cc(OC)c(I)cc2c1=O>>COC(=O)c1cn([C@H](CO)C(C)C)c2cc(OC)c(Cc3cccc(Cl)c3F)cc2c1=O,An Improved Synthesis of Elvitegravir,"Radl, Stanislav; Stach, Jan; Pisa, Ondrej; Cinibulk, Josef; Havlicek, Jaroslav; Zajicova, Marketa; Pekarek, Tomas","Journal of Heterocyclic Chemistry (2016), 53(6), 1738-1749","An Improved Synthesis of Elvitegravir | Radl, Stanislav; Stach, Jan; Pisa, Ondrej; Cinibulk, Josef; Havlicek, Jaroslav; Zajicova, Marketa; Pekarek, Tomas | Journal of Heterocyclic Chemistry (2016), 53(6), 1738-1749","869893-91-4, 1598419-24-9",1350172-03-0,,13965-03-2,109-99-9,,,,,,,1,1,76,,,,,,,"{""1"": 76}","[{""index"": 1, ""cas_rn"": ""869893-91-4"", ""smiles"": ""Fc1c(Cl)cccc1[CH2][Zn][Br]""}, {""index"": 2, ""cas_rn"": ""1598419-24-9"", ""smiles"": ""COC(=O)c1cn([C@H](CO[Si](C)(C)C)C(C)C)c2cc(OC)c(I)cc2c1=O""}]","[{""index"": 1, ""cas_rn"": ""1350172-03-0"", ""yield_pct"": ""76"", ""smiles"": ""COC(=O)c1cn([C@H](CO)C(C)C)c2cc(OC)c(Cc3cccc(Cl)c3F)cc2c1=O""}]",[],"[{""index"": 1, ""cas_rn"": ""13965-03-2""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}]","Negishi coupling, alternative preparation shown",
31-049-CAS-16434921,31-049-CAS-16434921,4.rdf,Negishi coupling,81,,,Fc1c(Cl)cccc1[CH2][Zn][Br].CCOC(=O)c1cn([C@H](CO[Si](C)(C)C)C(C)C)c2cc(OC)c(Br)cc2c1=O,CCOC(=O)c1cn([C@H](CO)C(C)C)c2cc(OC)c(Cc3cccc(Cl)c3F)cc2c1=O,Fc1c(Cl)cccc1[CH2][Zn][Br].CCOC(=O)c1cn([C@H](CO[Si](C)(C)C)C(C)C)c2cc(OC)c(Br)cc2c1=O>>CCOC(=O)c1cn([C@H](CO)C(C)C)c2cc(OC)c(Cc3cccc(Cl)c3F)cc2c1=O,An Improved Synthesis of Elvitegravir,"Radl, Stanislav; Stach, Jan; Pisa, Ondrej; Cinibulk, Josef; Havlicek, Jaroslav; Zajicova, Marketa; Pekarek, Tomas","Journal of Heterocyclic Chemistry (2016), 53(6), 1738-1749","An Improved Synthesis of Elvitegravir | Radl, Stanislav; Stach, Jan; Pisa, Ondrej; Cinibulk, Josef; Havlicek, Jaroslav; Zajicova, Marketa; Pekarek, Tomas | Journal of Heterocyclic Chemistry (2016), 53(6), 1738-1749","869893-91-4, 1598419-23-8",949465-91-2,,13965-03-2,109-99-9,,,,,,,1,1,81,,,,,,,"{""1"": 81}","[{""index"": 1, ""cas_rn"": ""869893-91-4"", ""smiles"": ""Fc1c(Cl)cccc1[CH2][Zn][Br]""}, {""index"": 2, ""cas_rn"": ""1598419-23-8"", ""smiles"": ""CCOC(=O)c1cn([C@H](CO[Si](C)(C)C)C(C)C)c2cc(OC)c(Br)cc2c1=O""}]","[{""index"": 1, ""cas_rn"": ""949465-91-2"", ""yield_pct"": ""81"", ""smiles"": ""CCOC(=O)c1cn([C@H](CO)C(C)C)c2cc(OC)c(Cc3cccc(Cl)c3F)cc2c1=O""}]",[],"[{""index"": 1, ""cas_rn"": ""13965-03-2""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}]",Negishi coupling,
31-049-CAS-17278827,31-049-CAS-17278827,5.rdf,Negishi coupling,72,,,CCOC(=O)c1cn([C@H](CO[Si](C)(C)C(C)(C)C)C(C)C)c2cc(F)c(I)cc2c1=O.Fc1c(Cl)cccc1[CH2][Zn][Br].CO.[Na],COc1cc2c(cc1Cc1cccc(Cl)c1F)c(=O)c(C(=O)O)cn2[C@H](CO)C(C)C,CCOC(=O)c1cn([C@H](CO[Si](C)(C)C(C)(C)C)C(C)C)c2cc(F)c(I)cc2c1=O.Fc1c(Cl)cccc1[CH2][Zn][Br].CO.[Na]>>COc1cc2c(cc1Cc1cccc(Cl)c1F)c(=O)c(C(=O)O)cn2[C@H](CO)C(C)C,Synthesis of elvitegravir,"Ma, Shuai; Zhao, Jun; Du, Weihong; Cao, Shenghua","Zhongguo Yiyao Gongye Zazhi (2014), 45(1), 5-8","Synthesis of elvitegravir | Ma, Shuai; Zhao, Jun; Du, Weihong; Cao, Shenghua | Zhongguo Yiyao Gongye Zazhi (2014), 45(1), 5-8","870294-02-3, 869893-91-4, 124-41-4",697761-98-1,12125-02-9,"5518-52-5, 32005-36-0","109-99-9, 7732-18-5, 67-56-1",,,,,,,4,1,72,,,,,,,"{""1"": 72}","[{""index"": 1, ""cas_rn"": ""870294-02-3"", ""smiles"": ""CCOC(=O)c1cn([C@H](CO[Si](C)(C)C(C)(C)C)C(C)C)c2cc(F)c(I)cc2c1=O""}, {""index"": 2, ""cas_rn"": ""869893-91-4"", ""smiles"": ""Fc1c(Cl)cccc1[CH2][Zn][Br]""}, {""index"": 3, ""cas_rn"": ""124-41-4"", ""smiles"": ""CO.[Na]""}]","[{""index"": 1, ""cas_rn"": ""697761-98-1"", ""yield_pct"": ""72"", ""smiles"": ""COc1cc2c(cc1Cc1cccc(Cl)c1F)c(=O)c(C(=O)O)cn2[C@H](CO)C(C)C""}]","[{""index"": 1, ""cas_rn"": ""12125-02-9""}]","[{""index"": 1, ""cas_rn"": ""5518-52-5""}, {""index"": 2, ""cas_rn"": ""32005-36-0""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}, {""index"": 3, ""cas_rn"": ""67-56-1""}]",,
31-057-CAS-10936207,31-057-CAS-10936207,5.rdf,Negishi coupling,87,,,Ic1cccs1.FC(Cl)=[C](F)[Zn][I].F/C(Cl)=[C](/F)[Zn]/[C](F)=C(\F)Cl,F/C(Cl)=C(/F)c1cccs1.F/C(Cl)=C(F)\C(F)=C(/F)c1cccs1,Ic1cccs1.FC(Cl)=[C](F)[Zn][I].F/C(Cl)=[C](/F)[Zn]/[C](F)=C(\F)Cl>>F/C(Cl)=C(/F)c1cccs1.F/C(Cl)=C(F)\C(F)=C(/F)c1cccs1,"Stereospecific synthesis of (E)- and (Z)-1-chloro-1,2-difluorostyrenes","Lim, Chongsoo; Burton, Donald J.","Journal of Fluorine Chemistry (2014), 16761-73","Stereospecific synthesis of (E)- and (Z)-1-chloro-1,2-difluorostyrenes | Lim, Chongsoo; Burton, Donald J. | Journal of Fluorine Chemistry (2014), 16761-73","3437-95-4, 1633353-00-0, 1633353-01-1","1633353-09-9, 1633353-15-7",,14221-01-3,68-12-2,,,,,,,1,1,87,3,,,,,,"{""1"": 87, ""2"": 3}","[{""index"": 1, ""cas_rn"": ""3437-95-4"", ""smiles"": ""Ic1cccs1""}, {""index"": 2, ""cas_rn"": ""1633353-00-0"", ""smiles"": ""FC(Cl)=[C](F)[Zn][I]""}, {""index"": 3, ""cas_rn"": ""1633353-01-1"", ""smiles"": ""F/C(Cl)=[C](/F)[Zn]/[C](F)=C(\\F)Cl""}]","[{""index"": 1, ""cas_rn"": ""1633353-09-9"", ""yield_pct"": ""87"", ""smiles"": ""F/C(Cl)=C(/F)c1cccs1""}, {""index"": 2, ""cas_rn"": ""1633353-15-7"", ""yield_pct"": ""3"", ""smiles"": ""F/C(Cl)=C(F)\\C(F)=C(/F)c1cccs1""}]",[],"[{""index"": 1, ""cas_rn"": ""14221-01-3""}]","[{""index"": 1, ""cas_rn"": ""68-12-2""}]",Negishi coupling,
31-057-CAS-2466980,31-057-CAS-2466980,5.rdf,Negishi coupling,88,,,Cc1ccc(I)cc1.FC(Cl)=[C](F)[Zn][I].F/C(Cl)=[C](/F)[Zn]/[C](F)=C(\F)Cl,Cc1ccc(/C(F)=C(\F)Cl)cc1.Cc1ccc(/C(F)=C(F)/C(F)=C(\F)Cl)cc1,Cc1ccc(I)cc1.FC(Cl)=[C](F)[Zn][I].F/C(Cl)=[C](/F)[Zn]/[C](F)=C(\F)Cl>>Cc1ccc(/C(F)=C(\F)Cl)cc1.Cc1ccc(/C(F)=C(F)/C(F)=C(\F)Cl)cc1,"Stereospecific synthesis of (E)- and (Z)-1-chloro-1,2-difluorostyrenes","Lim, Chongsoo; Burton, Donald J.","Journal of Fluorine Chemistry (2014), 16761-73","Stereospecific synthesis of (E)- and (Z)-1-chloro-1,2-difluorostyrenes | Lim, Chongsoo; Burton, Donald J. | Journal of Fluorine Chemistry (2014), 16761-73","624-31-7, 1633353-00-0, 1633353-01-1","7422-45-9, 1633353-13-5",,14221-01-3,68-12-2,,,,,,,1,1,88,2,,,,,,"{""1"": 88, ""2"": 2}","[{""index"": 1, ""cas_rn"": ""624-31-7"", ""smiles"": ""Cc1ccc(I)cc1""}, {""index"": 2, ""cas_rn"": ""1633353-00-0"", ""smiles"": ""FC(Cl)=[C](F)[Zn][I]""}, {""index"": 3, ""cas_rn"": ""1633353-01-1"", ""smiles"": ""F/C(Cl)=[C](/F)[Zn]/[C](F)=C(\\F)Cl""}]","[{""index"": 1, ""cas_rn"": ""7422-45-9"", ""yield_pct"": ""88"", ""smiles"": ""Cc1ccc(/C(F)=C(\\F)Cl)cc1""}, {""index"": 2, ""cas_rn"": ""1633353-13-5"", ""yield_pct"": ""2"", ""smiles"": ""Cc1ccc(/C(F)=C(F)/C(F)=C(\\F)Cl)cc1""}]",[],"[{""index"": 1, ""cas_rn"": ""14221-01-3""}]","[{""index"": 1, ""cas_rn"": ""68-12-2""}]","alternative preparation shown, Negishi coupling",
31-057-CAS-3898425,31-057-CAS-3898425,5.rdf,Negishi coupling,90,,,CC(=O)c1ccc(I)cc1.FC(Cl)=[C](F)[Zn][I].F/C(Cl)=[C](/F)[Zn]/[C](F)=C(\F)Cl,O=Cc1ccc(/C(F)=C(\F)Cl)cc1.CC(=O)c1ccc(/C(F)=C(F)/C(F)=C(\F)Cl)cc1,CC(=O)c1ccc(I)cc1.FC(Cl)=[C](F)[Zn][I].F/C(Cl)=[C](/F)[Zn]/[C](F)=C(\F)Cl>>O=Cc1ccc(/C(F)=C(\F)Cl)cc1.CC(=O)c1ccc(/C(F)=C(F)/C(F)=C(\F)Cl)cc1,"Stereospecific synthesis of (E)- and (Z)-1-chloro-1,2-difluorostyrenes","Lim, Chongsoo; Burton, Donald J.","Journal of Fluorine Chemistry (2014), 16761-73","Stereospecific synthesis of (E)- and (Z)-1-chloro-1,2-difluorostyrenes | Lim, Chongsoo; Burton, Donald J. | Journal of Fluorine Chemistry (2014), 16761-73","13329-40-3, 1633353-00-0, 1633353-01-1","1633353-10-2, 1633353-16-8",,14221-01-3,68-12-2,,,,,,,1,1,90,5,,,,,,"{""1"": 90, ""2"": 5}","[{""index"": 1, ""cas_rn"": ""13329-40-3"", ""smiles"": ""CC(=O)c1ccc(I)cc1""}, {""index"": 2, ""cas_rn"": ""1633353-00-0"", ""smiles"": ""FC(Cl)=[C](F)[Zn][I]""}, {""index"": 3, ""cas_rn"": ""1633353-01-1"", ""smiles"": ""F/C(Cl)=[C](/F)[Zn]/[C](F)=C(\\F)Cl""}]","[{""index"": 1, ""cas_rn"": ""1633353-10-2"", ""yield_pct"": ""90"", ""smiles"": ""O=Cc1ccc(/C(F)=C(\\F)Cl)cc1""}, {""index"": 2, ""cas_rn"": ""1633353-16-8"", ""yield_pct"": ""5"", ""smiles"": ""CC(=O)c1ccc(/C(F)=C(F)/C(F)=C(\\F)Cl)cc1""}]",[],"[{""index"": 1, ""cas_rn"": ""14221-01-3""}]","[{""index"": 1, ""cas_rn"": ""68-12-2""}]",Negishi coupling,
31-057-CAS-6346973,31-057-CAS-6346973,5.rdf,Negishi coupling,96,,,O=[N+]([O-])c1ccc(I)cc1.FC(Cl)=[C](F)[Zn][I].F/C(Cl)=[C](/F)[Zn]/[C](F)=C(\F)Cl,O=[N+]([O-])c1ccc(/C(F)=C(\F)Cl)cc1.O=[N+]([O-])c1ccc(/C(F)=C(F)/C(F)=C(\F)Cl)cc1,O=[N+]([O-])c1ccc(I)cc1.FC(Cl)=[C](F)[Zn][I].F/C(Cl)=[C](/F)[Zn]/[C](F)=C(\F)Cl>>O=[N+]([O-])c1ccc(/C(F)=C(\F)Cl)cc1.O=[N+]([O-])c1ccc(/C(F)=C(F)/C(F)=C(\F)Cl)cc1,"Stereospecific synthesis of (E)- and (Z)-1-chloro-1,2-difluorostyrenes","Lim, Chongsoo; Burton, Donald J.","Journal of Fluorine Chemistry (2014), 16761-73","Stereospecific synthesis of (E)- and (Z)-1-chloro-1,2-difluorostyrenes | Lim, Chongsoo; Burton, Donald J. | Journal of Fluorine Chemistry (2014), 16761-73","636-98-6, 1633353-00-0, 1633353-01-1","1633353-11-3, 1633353-17-9",,14221-01-3,68-12-2,,,,,,,1,1,96,10,,,,,,"{""1"": 96, ""2"": 10}","[{""index"": 1, ""cas_rn"": ""636-98-6"", ""smiles"": ""O=[N+]([O-])c1ccc(I)cc1""}, {""index"": 2, ""cas_rn"": ""1633353-00-0"", ""smiles"": ""FC(Cl)=[C](F)[Zn][I]""}, {""index"": 3, ""cas_rn"": ""1633353-01-1"", ""smiles"": ""F/C(Cl)=[C](/F)[Zn]/[C](F)=C(\\F)Cl""}]","[{""index"": 1, ""cas_rn"": ""1633353-11-3"", ""yield_pct"": ""96"", ""smiles"": ""O=[N+]([O-])c1ccc(/C(F)=C(\\F)Cl)cc1""}, {""index"": 2, ""cas_rn"": ""1633353-17-9"", ""yield_pct"": ""10"", ""smiles"": ""O=[N+]([O-])c1ccc(/C(F)=C(F)/C(F)=C(\\F)Cl)cc1""}]",[],"[{""index"": 1, ""cas_rn"": ""14221-01-3""}]","[{""index"": 1, ""cas_rn"": ""68-12-2""}]",Negishi coupling,
31-057-CAS-9144646,31-057-CAS-9144646,5.rdf,Negishi coupling,86,,,COc1ccc(I)cc1.FC(Cl)=[C](F)[Zn][I].F/C(Cl)=[C](/F)[Zn]/[C](F)=C(\F)Cl,COc1ccc(/C(F)=C(\F)Cl)cc1.COc1ccc(/C(F)=C(F)/C(F)=C(\F)Cl)cc1,COc1ccc(I)cc1.FC(Cl)=[C](F)[Zn][I].F/C(Cl)=[C](/F)[Zn]/[C](F)=C(\F)Cl>>COc1ccc(/C(F)=C(\F)Cl)cc1.COc1ccc(/C(F)=C(F)/C(F)=C(\F)Cl)cc1,"Stereospecific synthesis of (E)- and (Z)-1-chloro-1,2-difluorostyrenes","Lim, Chongsoo; Burton, Donald J.","Journal of Fluorine Chemistry (2014), 16761-73","Stereospecific synthesis of (E)- and (Z)-1-chloro-1,2-difluorostyrenes | Lim, Chongsoo; Burton, Donald J. | Journal of Fluorine Chemistry (2014), 16761-73","696-62-8, 1633353-00-0, 1633353-01-1","61855-57-0, 1633353-14-6",,14221-01-3,68-12-2,,,,,,,1,1,86,2,,,,,,"{""1"": 86, ""2"": 2}","[{""index"": 1, ""cas_rn"": ""696-62-8"", ""smiles"": ""COc1ccc(I)cc1""}, {""index"": 2, ""cas_rn"": ""1633353-00-0"", ""smiles"": ""FC(Cl)=[C](F)[Zn][I]""}, {""index"": 3, ""cas_rn"": ""1633353-01-1"", ""smiles"": ""F/C(Cl)=[C](/F)[Zn]/[C](F)=C(\\F)Cl""}]","[{""index"": 1, ""cas_rn"": ""61855-57-0"", ""yield_pct"": ""86"", ""smiles"": ""COc1ccc(/C(F)=C(\\F)Cl)cc1""}, {""index"": 2, ""cas_rn"": ""1633353-14-6"", ""yield_pct"": ""2"", ""smiles"": ""COc1ccc(/C(F)=C(F)/C(F)=C(\\F)Cl)cc1""}]",[],"[{""index"": 1, ""cas_rn"": ""14221-01-3""}]","[{""index"": 1, ""cas_rn"": ""68-12-2""}]",Negishi coupling,
31-084-CAS-13630035,31-084-CAS-13630035,5.rdf,Negishi coupling,88,,,[Br][Mg][c]1ccccc1.Fc1cc(Cl)cc(Cl)c1,Fc1cc(-c2ccccc2)cc(-c2ccccc2)c1.Fc1cc(Cl)cc(-c2ccccc2)c1,[Br][Mg][c]1ccccc1.Fc1cc(Cl)cc(Cl)c1>>Fc1cc(-c2ccccc2)cc(-c2ccccc2)c1.Fc1cc(Cl)cc(-c2ccccc2)c1,Selective and general exhaustive cross-coupling of di-chloroarenes with a deficit of nucleophiles mediated by a Pd-NHC complex,"Groombridge, Benjamin J.; Goldup, Stephen M.; Larrosa, Igor","Chemical Communications (Cambridge, United Kingdom) (2015), 51(18), 3832-3834","Selective and general exhaustive cross-coupling of di-chloroarenes with a deficit of nucleophiles mediated by a Pd-NHC complex | Groombridge, Benjamin J.; Goldup, Stephen M.; Larrosa, Igor | Chemical Communications (Cambridge, United Kingdom) (2015), 51(18), 3832-3834","100-58-3, 1435-46-7","1537218-88-4, 1651205-33-2",,1158652-41-5,109-99-9,,,,,,,1,1,88,3,,,,,,"{""1"": 88, ""2"": 3}","[{""index"": 1, ""cas_rn"": ""100-58-3"", ""smiles"": ""[Br][Mg][c]1ccccc1""}, {""index"": 2, ""cas_rn"": ""1435-46-7"", ""smiles"": ""Fc1cc(Cl)cc(Cl)c1""}]","[{""index"": 1, ""cas_rn"": ""1537218-88-4"", ""yield_pct"": ""88"", ""smiles"": ""Fc1cc(-c2ccccc2)cc(-c2ccccc2)c1""}, {""index"": 2, ""cas_rn"": ""1651205-33-2"", ""yield_pct"": ""3"", ""smiles"": ""Fc1cc(Cl)cc(-c2ccccc2)c1""}]",[],"[{""index"": 1, ""cas_rn"": ""1158652-41-5""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}]","microwave irradiation, Kumada coupling, sealed vial used",
