reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-006-CAS-13686222,31-006-CAS-13686222,Reaction_20251104_1553.rdf,Nozaki–Hiyama–Kishi,,,,C#CC(OCC)(OCC)OCC.C=C[C@@H]1C(=O)C[C@@H](C)[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1OCc1ccccc1,C=C[C@H]1[C@@H](OCc2ccccc2)[C@H](O[Si](C)(C)C(C)(C)C)[C@H](C)C[C@]1(O)C#CC(OCC)(OCC)OCC.C=C[C@H]1[C@@H](OCc2ccccc2)[C@H](O[Si](C)(C)C(C)(C)C)[C@H](C)C[C@]1(O)C#CC(=O)OCC,C#CC(OCC)(OCC)OCC.C=C[C@@H]1C(=O)C[C@@H](C)[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1OCc1ccccc1>>C=C[C@H]1[C@@H](OCc2ccccc2)[C@H](O[Si](C)(C)C(C)(C)C)[C@H](C)C[C@]1(O)C#CC(OCC)(OCC)OCC.C=C[C@H]1[C@@H](OCc2ccccc2)[C@H](O[Si](C)(C)C(C)(C)C)[C@H](C)C[C@]1(O)C#CC(=O)OCC,Total Synthesis of (-)-atrop-Abyssomicin C,"Bihelovic, Filip; Saicic, Radomir N.","Angewandte Chemie, International Edition (2012), 51(23), 5687-5691, S5687/1-S5687/62","Total Synthesis of (-)-atrop-Abyssomicin C | Bihelovic, Filip; Saicic, Radomir N. | Angewandte Chemie, International Edition (2012), 51(23), 5687-5691, S5687/1-S5687/62","42217-00-5, 1392307-57-1","1392307-58-2, 1392307-78-6","109-72-8, 7647-14-5",,"108-18-9, 108-88-3, 110-54-3, 7732-18-5",,,,,,,4,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""42217-00-5"", ""smiles"": ""C#CC(OCC)(OCC)OCC""}, {""index"": 2, ""cas_rn"": ""1392307-57-1"", ""smiles"": ""C=C[C@@H]1C(=O)C[C@@H](C)[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1OCc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""1392307-58-2"", ""smiles"": ""C=C[C@H]1[C@@H](OCc2ccccc2)[C@H](O[Si](C)(C)C(C)(C)C)[C@H](C)C[C@]1(O)C#CC(OCC)(OCC)OCC""}, {""index"": 2, ""cas_rn"": ""1392307-78-6"", ""smiles"": ""C=C[C@H]1[C@@H](OCc2ccccc2)[C@H](O[Si](C)(C)C(C)(C)C)[C@H](C)C[C@]1(O)C#CC(=O)OCC""}]","[{""index"": 1, ""cas_rn"": ""109-72-8""}, {""index"": 2, ""cas_rn"": ""7647-14-5""}]",[],"[{""index"": 1, ""cas_rn"": ""108-18-9""}, {""index"": 2, ""cas_rn"": ""108-88-3""}, {""index"": 3, ""cas_rn"": ""110-54-3""}, {""index"": 4, ""cas_rn"": ""7732-18-5""}]",stereoselective,
31-006-CAS-296043,31-006-CAS-296043,Reaction_20251104_1551.rdf,Nozaki–Hiyama–Kishi,75,,,C#CC(OCC)(OCC)OCC.C=C[C@@H]1C(=O)C[C@@H](C)[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1OCc1ccccc1,C=C[C@H]1[C@@H](OCc2ccccc2)[C@H](O)[C@H](C)C[C@]1(O)C#CC(=O)OCC,C#CC(OCC)(OCC)OCC.C=C[C@@H]1C(=O)C[C@@H](C)[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1OCc1ccccc1>>C=C[C@H]1[C@@H](OCc2ccccc2)[C@H](O)[C@H](C)C[C@]1(O)C#CC(=O)OCC,Total Synthesis of (-)-atrop-Abyssomicin C,"Bihelovic, Filip; Saicic, Radomir N.","Angewandte Chemie, International Edition (2012), 51(23), 5687-5691, S5687/1-S5687/62","Total Synthesis of (-)-atrop-Abyssomicin C | Bihelovic, Filip; Saicic, Radomir N. | Angewandte Chemie, International Edition (2012), 51(23), 5687-5691, S5687/1-S5687/62","42217-00-5, 1392307-57-1",1392307-60-6,"109-72-8, 7647-14-5, 7664-39-3",,"108-18-9, 108-88-3, 110-54-3, 7732-18-5, 75-05-8",,,,,,,5,1,75,,,,,,,"{""1"": 75}","[{""index"": 1, ""cas_rn"": ""42217-00-5"", ""smiles"": ""C#CC(OCC)(OCC)OCC""}, {""index"": 2, ""cas_rn"": ""1392307-57-1"", ""smiles"": ""C=C[C@@H]1C(=O)C[C@@H](C)[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1OCc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""1392307-60-6"", ""yield_pct"": ""75"", ""smiles"": ""C=C[C@H]1[C@@H](OCc2ccccc2)[C@H](O)[C@H](C)C[C@]1(O)C#CC(=O)OCC""}]","[{""index"": 1, ""cas_rn"": ""109-72-8""}, {""index"": 2, ""cas_rn"": ""7647-14-5""}, {""index"": 3, ""cas_rn"": ""7664-39-3""}]",[],"[{""index"": 1, ""cas_rn"": ""108-18-9""}, {""index"": 2, ""cas_rn"": ""108-88-3""}, {""index"": 3, ""cas_rn"": ""110-54-3""}, {""index"": 4, ""cas_rn"": ""7732-18-5""}, {""index"": 5, ""cas_rn"": ""75-05-8""}]",stereoselective (stage 3),
31-006-CAS-7090452,31-006-CAS-7090452,Reaction_20251104_1553.rdf,Nozaki–Hiyama–Kishi,,,,C#CC(OCC)(OCC)OCC.C=C[C@@H]1C(=O)C[C@@H](C)[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1OCc1ccccc1,C=C[C@H]1[C@@H](OCc2ccccc2)[C@H](O[Si](C)(C)C(C)(C)C)[C@H](C)C[C@]1(O)C#CC(OCC)(OCC)OCC.C=C[C@H]1[C@@H](OCc2ccccc2)[C@H](O[Si](C)(C)C(C)(C)C)[C@H](C)C[C@]1(O)C#CC(=O)OCC,C#CC(OCC)(OCC)OCC.C=C[C@@H]1C(=O)C[C@@H](C)[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1OCc1ccccc1>>C=C[C@H]1[C@@H](OCc2ccccc2)[C@H](O[Si](C)(C)C(C)(C)C)[C@H](C)C[C@]1(O)C#CC(OCC)(OCC)OCC.C=C[C@H]1[C@@H](OCc2ccccc2)[C@H](O[Si](C)(C)C(C)(C)C)[C@H](C)C[C@]1(O)C#CC(=O)OCC,Total synthesis and biological evaluation of (-)-atrop-abyssomicin C,"Bihelovic, Filip; Karadzic, Ivanka; Matovic, Radomir; Saicic, Radomir N.","Organic & Biomolecular Chemistry (2013), 11(33), 5413-5424","Total synthesis and biological evaluation of (-)-atrop-abyssomicin C | Bihelovic, Filip; Karadzic, Ivanka; Matovic, Radomir; Saicic, Radomir N. | Organic & Biomolecular Chemistry (2013), 11(33), 5413-5424","42217-00-5, 1392307-57-1","1392307-58-2, 1392307-78-6","4111-54-0, 7647-14-5",,"108-88-3, 7732-18-5",,,,,,,3,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""42217-00-5"", ""smiles"": ""C#CC(OCC)(OCC)OCC""}, {""index"": 2, ""cas_rn"": ""1392307-57-1"", ""smiles"": ""C=C[C@@H]1C(=O)C[C@@H](C)[C@@H](O[Si](C)(C)C(C)(C)C)[C@@H]1OCc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""1392307-58-2"", ""smiles"": ""C=C[C@H]1[C@@H](OCc2ccccc2)[C@H](O[Si](C)(C)C(C)(C)C)[C@H](C)C[C@]1(O)C#CC(OCC)(OCC)OCC""}, {""index"": 2, ""cas_rn"": ""1392307-78-6"", ""smiles"": ""C=C[C@H]1[C@@H](OCc2ccccc2)[C@H](O[Si](C)(C)C(C)(C)C)[C@H](C)C[C@]1(O)C#CC(=O)OCC""}]","[{""index"": 1, ""cas_rn"": ""4111-54-0""}, {""index"": 2, ""cas_rn"": ""7647-14-5""}]",[],"[{""index"": 1, ""cas_rn"": ""108-88-3""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",stereoselective,
31-047-CAS-23741495,31-047-CAS-23741495,Reaction_20251104_1553 (1).rdf,Nozaki–Hiyama–Kishi,47,,,O=CCCCOC(=O)c1ccccc1.C=C(Br)C[C@@H](CCCO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)OS(=O)(=O)c1ccc(C)cc1,C=C(C[C@@H](Cl)CCCO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)[C@H](O)CCCOC(=O)c1ccccc1.C=C(C[C@@H](Cl)CCCO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)[C@@H](O)CCCOC(=O)c1ccccc1,O=CCCCOC(=O)c1ccccc1.C=C(Br)C[C@@H](CCCO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)OS(=O)(=O)c1ccc(C)cc1>>C=C(C[C@@H](Cl)CCCO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)[C@H](O)CCCOC(=O)c1ccccc1.C=C(C[C@@H](Cl)CCCO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)[C@@H](O)CCCOC(=O)c1ccccc1,"Electrochemical Nozaki-Hiyama-Kishi Coupling: Scope, Applications, and Mechanism","Gao, Yang; Hill, David E.; Hao, Wei; McNicholas, Brendon J.; Vantourout, Julien C.; Hadt, Ryan G.; Reisman, Sarah E.; Blackmond, Donna G.; Baran, Phil S.","Journal of the American Chemical Society (2021), 143(25), 9478-9488","Electrochemical Nozaki-Hiyama-Kishi Coupling: Scope, Applications, and Mechanism | Gao, Yang; Hill, David E.; Hao, Wei; McNicholas, Brendon J.; Vantourout, Julien C.; Hadt, Ryan G.; Reisman, Sarah E.; Blackmond, Donna G.; Baran, Phil S. | Journal of the American Chemical Society (2021), 143(25), 9478-9488","22927-31-7, 871355-80-5","2654053-03-7, 2654053-04-8","1291-32-3, 1643-19-2","10049-05-5, 20734-58-1, 480444-15-3, 29046-78-4, 85575-93-5",75-05-8,,,,,,,2,1,47,8,,,,,,"{""1"": 47, ""2"": 8}","[{""index"": 1, ""cas_rn"": ""22927-31-7"", ""smiles"": ""O=CCCCOC(=O)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""871355-80-5"", ""smiles"": ""C=C(Br)C[C@@H](CCCO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)OS(=O)(=O)c1ccc(C)cc1""}]","[{""index"": 1, ""cas_rn"": ""2654053-03-7"", ""yield_pct"": ""47"", ""smiles"": ""C=C(C[C@@H](Cl)CCCO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)[C@H](O)CCCOC(=O)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""2654053-04-8"", ""yield_pct"": ""8"", ""smiles"": ""C=C(C[C@@H](Cl)CCCO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)[C@@H](O)CCCOC(=O)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""1291-32-3""}, {""index"": 2, ""cas_rn"": ""1643-19-2""}]","[{""index"": 1, ""cas_rn"": ""10049-05-5""}, {""index"": 2, ""cas_rn"": ""20734-58-1""}, {""index"": 3, ""cas_rn"": ""480444-15-3""}, {""index"": 4, ""cas_rn"": ""29046-78-4""}, {""index"": 5, ""cas_rn"": ""85575-93-5""}]","[{""index"": 1, ""cas_rn"": ""75-05-8""}]","electrochemical, stereoselective, Nozaki-Hiyama-Kishi reaction, nickel foam cathode and aluminum anode used (stage 2), sealed electrosyn vial used (stage 2), constant voltage, 2V (stage 2), in-situ generated Cr-complex (stage 1), sealed glovebox used (stage 1), alternative reaction condition gave lower yield",
31-049-CAS-10028999,31-049-CAS-10028999,Reaction_20251104_1553.rdf,Nozaki–Hiyama–Kishi,,,,IC(I)I.COCO[C@@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](C=O)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO[Si](C)(C)C(C)(C)C.COCO[C@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](C=O)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO[Si](C)(C)C(C)(C)C,COCO[C@@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](/C=C/I)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO[Si](C)(C)C(C)(C)C.COCO[C@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](/C=C/I)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO[Si](C)(C)C(C)(C)C.COCO[C@@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](/C=C/I)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO.COCO[C@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](/C=C/I)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO,IC(I)I.COCO[C@@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](C=O)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO[Si](C)(C)C(C)(C)C.COCO[C@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](C=O)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO[Si](C)(C)C(C)(C)C>>COCO[C@@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](/C=C/I)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO[Si](C)(C)C(C)(C)C.COCO[C@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](/C=C/I)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO[Si](C)(C)C(C)(C)C.COCO[C@@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](/C=C/I)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO.COCO[C@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](/C=C/I)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO,Total Synthesis of (-)-atrop-Abyssomicin C,"Bihelovic, Filip; Saicic, Radomir N.","Angewandte Chemie, International Edition (2012), 51(23), 5687-5691, S5687/1-S5687/62","Total Synthesis of (-)-atrop-Abyssomicin C | Bihelovic, Filip; Saicic, Radomir N. | Angewandte Chemie, International Edition (2012), 51(23), 5687-5691, S5687/1-S5687/62","75-47-8, 1392307-66-2, 1392307-67-3","1392307-68-4, 1392307-69-5, 1392307-70-8, 1392307-71-9",10049-05-5,,109-99-9,,,,,,,1,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""75-47-8"", ""smiles"": ""IC(I)I""}, {""index"": 2, ""cas_rn"": ""1392307-66-2"", ""smiles"": ""COCO[C@@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](C=O)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO[Si](C)(C)C(C)(C)C""}, {""index"": 3, ""cas_rn"": ""1392307-67-3"", ""smiles"": ""COCO[C@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](C=O)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO[Si](C)(C)C(C)(C)C""}]","[{""index"": 1, ""cas_rn"": ""1392307-68-4"", ""smiles"": ""COCO[C@@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](/C=C/I)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO[Si](C)(C)C(C)(C)C""}, {""index"": 2, ""cas_rn"": ""1392307-69-5"", ""smiles"": ""COCO[C@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](/C=C/I)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO[Si](C)(C)C(C)(C)C""}, {""index"": 3, ""cas_rn"": ""1392307-70-8"", ""smiles"": ""COCO[C@@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](/C=C/I)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO""}, {""index"": 4, ""cas_rn"": ""1392307-71-9"", ""smiles"": ""COCO[C@H](C1=C2O[C@H]3[C@H](OCc4ccccc4)[C@@H](/C=C/I)[C@@]2(C[C@H]3C)OC1=O)[C@H](C)C[C@H](C)CO""}]","[{""index"": 1, ""cas_rn"": ""10049-05-5""}]",[],"[{""index"": 1, ""cas_rn"": ""109-99-9""}]","stereoselective, 61% overall yield for the silylated compounds, Takai olefination, other products also detected (10% of desilylated products formed)",
31-049-CAS-7440426,31-049-CAS-7440426,Reaction_20251104_1553 (1).rdf,Nozaki–Hiyama–Kishi,33,,,COc1ccc(COCC=O)cc1.C=C[C@H](CCCCC)B1O[C@@H](C(OC)(c2ccccc2)c2ccccc2)[C@H](C(OC)(c2ccccc2)c2ccccc2)O1.IC(I)I,CCCCC/C=C\C[C@H](O)/C=C/I,COc1ccc(COCC=O)cc1.C=C[C@H](CCCCC)B1O[C@@H](C(OC)(c2ccccc2)c2ccccc2)[C@H](C(OC)(c2ccccc2)c2ccccc2)O1.IC(I)I>>CCCCC/C=C\C[C@H](O)/C=C/I,Total Synthesis of Solandelactones A and B,"Eichenauer, Nils C.; Nordschild, Anja C. M.; Bischop, Martina; Schumacher, Dominik; Mackwitz, Marcel K. W.; Tschersich, Roxanne; Wilhelm, Thorsten; Pietruszka, Joerg","European Journal of Organic Chemistry (2015), 2015(25), 5620-5632","Total Synthesis of Solandelactones A and B | Eichenauer, Nils C.; Nordschild, Anja C. M.; Bischop, Martina; Schumacher, Dominik; Mackwitz, Marcel K. W.; Tschersich, Roxanne; Wilhelm, Thorsten; Pietruszka, Joerg | European Journal of Organic Chemistry (2015), 2015(25), 5620-5632","121289-23-4, 1827638-63-0, 75-47-8",142748-85-4,"10139-51-2, 288-32-4, 67-68-5, 79-37-8, 121-44-8, 12125-02-9, 10049-05-5, 7647-14-5, 429-41-4",,"75-09-2, 75-05-8, 7732-18-5, 109-99-9",,,,,,,10,1,33,,,,,,,"{""1"": 33}","[{""index"": 1, ""cas_rn"": ""121289-23-4"", ""smiles"": ""COc1ccc(COCC=O)cc1""}, {""index"": 2, ""cas_rn"": ""1827638-63-0"", ""smiles"": ""C=C[C@H](CCCCC)B1O[C@@H](C(OC)(c2ccccc2)c2ccccc2)[C@H](C(OC)(c2ccccc2)c2ccccc2)O1""}, {""index"": 3, ""cas_rn"": ""75-47-8"", ""smiles"": ""IC(I)I""}]","[{""index"": 1, ""cas_rn"": ""142748-85-4"", ""yield_pct"": ""33"", ""smiles"": ""CCCCC/C=C\\C[C@H](O)/C=C/I""}]","[{""index"": 1, ""cas_rn"": ""10139-51-2""}, {""index"": 2, ""cas_rn"": ""288-32-4""}, {""index"": 3, ""cas_rn"": ""67-68-5""}, {""index"": 4, ""cas_rn"": ""79-37-8""}, {""index"": 5, ""cas_rn"": ""121-44-8""}, {""index"": 6, ""cas_rn"": ""12125-02-9""}, {""index"": 7, ""cas_rn"": ""10049-05-5""}, {""index"": 8, ""cas_rn"": ""7647-14-5""}, {""index"": 9, ""cas_rn"": ""429-41-4""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}, {""index"": 2, ""cas_rn"": ""75-05-8""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}, {""index"": 4, ""cas_rn"": ""109-99-9""}]","stereoselective, alternative preparation shown",
31-111-CAS-10442769,31-111-CAS-10442769,Reaction_20251104_1551.rdf,Nozaki–Hiyama–Kishi,75,,,C#CCCl.COc1ccc(C(C)=O)cc1,C#CC[C@@](C)(O)c1ccccc1,C#CCCl.COc1ccc(C(C)=O)cc1>>C#CC[C@@](C)(O)c1ccccc1,Three-Dimensional Correlation of Steric and Electronic Free Energy Relationships Guides Asymmetric Propargylation,"Harper, Kaid C.; Sigman, Matthew S.","Science (Washington, DC, United States) (2011), 333(6051), 1875-1878","Three-Dimensional Correlation of Steric and Electronic Free Energy Relationships Guides Asymmetric Propargylation | Harper, Kaid C.; Sigman, Matthew S. | Science (Washington, DC, United States) (2011), 333(6051), 1875-1878","624-65-7, 100-06-1",910787-11-0,"121-44-8, 7439-96-5, 7447-41-8, 10170-68-0, 75-77-4, 12125-02-9",1345249-38-8,"109-99-9, 7732-18-5",,,,,,,5,1,75,,,,,,,"{""1"": 75}","[{""index"": 1, ""cas_rn"": ""624-65-7"", ""smiles"": ""C#CCCl""}, {""index"": 2, ""cas_rn"": ""100-06-1"", ""smiles"": ""COc1ccc(C(C)=O)cc1""}]","[{""index"": 1, ""cas_rn"": ""910787-11-0"", ""yield_pct"": ""75"", ""smiles"": ""C#CC[C@@](C)(O)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""121-44-8""}, {""index"": 2, ""cas_rn"": ""7439-96-5""}, {""index"": 3, ""cas_rn"": ""7447-41-8""}, {""index"": 4, ""cas_rn"": ""10170-68-0""}, {""index"": 5, ""cas_rn"": ""75-77-4""}, {""index"": 6, ""cas_rn"": ""12125-02-9""}]","[{""index"": 1, ""cas_rn"": ""1345249-38-8""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]","stereoselective, 96:4 er, Teflon capped vial used, Nozaki-Hiyama-Kishi allylation, alternative preparation shown",
31-111-CAS-5049209,31-111-CAS-5049209,Reaction_20251104_1553 (1).rdf,Nozaki–Hiyama–Kishi,,,,C#CCBr.COc1ccc(C(C)=O)cc1,C#CC[C@@](C)(O)c1ccccc1,C#CCBr.COc1ccc(C(C)=O)cc1>>C#CC[C@@](C)(O)c1ccccc1,Three-Dimensional Correlation of Steric and Electronic Free Energy Relationships Guides Asymmetric Propargylation,"Harper, Kaid C.; Sigman, Matthew S.","Science (Washington, DC, United States) (2011), 333(6051), 1875-1878","Three-Dimensional Correlation of Steric and Electronic Free Energy Relationships Guides Asymmetric Propargylation | Harper, Kaid C.; Sigman, Matthew S. | Science (Washington, DC, United States) (2011), 333(6051), 1875-1878","106-96-7, 100-06-1",910787-11-0,"121-44-8, 7439-96-5, 7447-41-8, 10170-68-0, 75-77-4, 12125-02-9",1345249-47-9,"109-99-9, 7732-18-5",,,,,,,5,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""106-96-7"", ""smiles"": ""C#CCBr""}, {""index"": 2, ""cas_rn"": ""100-06-1"", ""smiles"": ""COc1ccc(C(C)=O)cc1""}]","[{""index"": 1, ""cas_rn"": ""910787-11-0"", ""smiles"": ""C#CC[C@@](C)(O)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""121-44-8""}, {""index"": 2, ""cas_rn"": ""7439-96-5""}, {""index"": 3, ""cas_rn"": ""7447-41-8""}, {""index"": 4, ""cas_rn"": ""10170-68-0""}, {""index"": 5, ""cas_rn"": ""75-77-4""}, {""index"": 6, ""cas_rn"": ""12125-02-9""}]","[{""index"": 1, ""cas_rn"": ""1345249-47-9""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]","stereoselective, 91:9 er, Teflon capped vial used, Nozaki-Hiyama-Kishi allylation, alternative preparation shown",
31-117-CAS-11172238,31-117-CAS-11172238,Reaction_20251104_1553 (1).rdf,Nozaki–Hiyama–Kishi,13,,,C=C(C)CCl.O=C/C=C/c1ccccc1,CC(C)=CC(=O)/C=C/c1ccccc1.C=C(C)C[C@@H](O)/C=C/c1ccccc1,C=C(C)CCl.O=C/C=C/c1ccccc1>>CC(C)=CC(=O)/C=C/c1ccccc1.C=C(C)C[C@@H](O)/C=C/c1ccccc1,Catalytic enantioselective Grignard Nozaki-Hiyama methallylation from the alcohol oxidation level: chloride compensates for π-complex instability,"Hassan, Abbas; Townsend, Ian A.; Krische, Michael J.","Chemical Communications (Cambridge, United Kingdom) (2011), 47(36), 10028-10030","Catalytic enantioselective Grignard Nozaki-Hiyama methallylation from the alcohol oxidation level: chloride compensates for π-complex instability | Hassan, Abbas; Townsend, Ian A.; Krische, Michael J. | Chemical Communications (Cambridge, United Kingdom) (2011), 47(36), 10028-10030","563-47-3, 14371-10-9","79629-17-7, 153324-71-1","67-63-0, 7778-53-2",1309435-39-9,109-99-9,,,,,,,1,1,13,82,,,,,,"{""1"": 13, ""2"": 82}","[{""index"": 1, ""cas_rn"": ""563-47-3"", ""smiles"": ""C=C(C)CCl""}, {""index"": 2, ""cas_rn"": ""14371-10-9"", ""smiles"": ""O=C/C=C/c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""79629-17-7"", ""yield_pct"": ""13"", ""smiles"": ""CC(C)=CC(=O)/C=C/c1ccccc1""}, {""index"": 2, ""cas_rn"": ""153324-71-1"", ""yield_pct"": ""82"", ""smiles"": ""C=C(C)C[C@@H](O)/C=C/c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""67-63-0""}, {""index"": 2, ""cas_rn"": ""7778-53-2""}]","[{""index"": 1, ""cas_rn"": ""1309435-39-9""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}]","stereoselective, Grignard Nozaki-Hiyama methallylation, sealed tube used, alternative preparation shown, 95% ee",
31-117-CAS-11447552,31-117-CAS-11447552,Reaction_20251104_1553 (1).rdf,Nozaki–Hiyama–Kishi,85,,,O=Cc1ccc2c(c1)OCO2.C=C(C)CCl,C=C(C)C[C@@H](O)c1ccc2c(c1)OCO2.CC(C)=CC(=O)c1ccc2c(c1)OCO2,O=Cc1ccc2c(c1)OCO2.C=C(C)CCl>>C=C(C)C[C@@H](O)c1ccc2c(c1)OCO2.CC(C)=CC(=O)c1ccc2c(c1)OCO2,Catalytic enantioselective Grignard Nozaki-Hiyama methallylation from the alcohol oxidation level: chloride compensates for π-complex instability,"Hassan, Abbas; Townsend, Ian A.; Krische, Michael J.","Chemical Communications (Cambridge, United Kingdom) (2011), 47(36), 10028-10030","Catalytic enantioselective Grignard Nozaki-Hiyama methallylation from the alcohol oxidation level: chloride compensates for π-complex instability | Hassan, Abbas; Townsend, Ian A.; Krische, Michael J. | Chemical Communications (Cambridge, United Kingdom) (2011), 47(36), 10028-10030","120-57-0, 563-47-3","1335128-67-0, 1335128-72-7","67-63-0, 7778-53-2",1309435-39-9,109-99-9,,,,,,,1,1,85,10,,,,,,"{""1"": 85, ""2"": 10}","[{""index"": 1, ""cas_rn"": ""120-57-0"", ""smiles"": ""O=Cc1ccc2c(c1)OCO2""}, {""index"": 2, ""cas_rn"": ""563-47-3"", ""smiles"": ""C=C(C)CCl""}]","[{""index"": 1, ""cas_rn"": ""1335128-67-0"", ""yield_pct"": ""85"", ""smiles"": ""C=C(C)C[C@@H](O)c1ccc2c(c1)OCO2""}, {""index"": 2, ""cas_rn"": ""1335128-72-7"", ""yield_pct"": ""10"", ""smiles"": ""CC(C)=CC(=O)c1ccc2c(c1)OCO2""}]","[{""index"": 1, ""cas_rn"": ""67-63-0""}, {""index"": 2, ""cas_rn"": ""7778-53-2""}]","[{""index"": 1, ""cas_rn"": ""1309435-39-9""}]","[{""index"": 1, ""cas_rn"": ""109-99-9""}]","stereoselective, Grignard Nozaki-Hiyama methallylation, sealed tube used, 96% ee, alternative preparation shown",
