reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-006-CAS-3388649,Olefin metathesis,70,,,C=CC[C@@H](OC(=O)C=C)[C@H]1OC(C)(C)O[C@@H]1/C=C/[C@@H](OC(C)=O)[C@H](C)OC(C)=O>>CC(=O)O[C@@H](C)[C@@H](/C=C/[C@@H](O)[C@H](O)[C@H]1CC=CC(=O)O1)OC(C)=O,"Tetrahedron: Asymmetry (2015), 26(17), 928-934","97-63-2, 2385-77-5",143949-25-1,"24057-28-1, 144-55-8",,67-56-1,,,,,,,2,1,70.0,,,,,,,
31-008-CAS-10624904,Olefin metathesis,85,,,CC(C)(C)[Si](C)(C)Cl.C=CCO[C@@H]1C[C@](CO)(C(=O)OC)O[C@@H]1C=C>>COC(=O)[C@@]1(CO[Si](C)(C)C(C)(C)C)C[C@H]2OCC=C[C@H]2O1,"Organic Letters (2015), 17(16), 3972-3974",1798803-16-3,1798803-17-4,"121-44-8, 144-55-8",1122-58-3,"75-09-2, 7732-18-5",,,,,,,2,1,85.0,,,,,,,
31-008-CAS-8408006,Olefin metathesis,100,,,C=CCC(O)CC=C.CC(C)(C)[Si](Cl)(c1ccccc1)c1ccccc1>>CC(C)(C)[Si](OC1CC=CC1)(c1ccccc1)c1ccccc1,"Angewandte Chemie, International Edition (2015), 54(16), 4919-4922","2641563-74-6, 76-05-1",2641560-84-9,"288-32-4, 144-55-8",172222-30-9,"75-09-2, 7732-18-5",,,,,,,3,1,100.0,,,,,,,ultrasound
31-041-CAS-13715362,Olefin metathesis,72,,,O=C(Cl)CCl.C=CCCN[C@@H](C=C)CCNC(=O)OC(C)(C)C>>CC(C)(C)OC(=O)N1CC[C@@H]2C=CCCN2C(=O)C1,"Organic & Biomolecular Chemistry (2015), 13(3), 859-865","100-42-5, 2055041-85-3",2055042-15-2,"7087-68-5, 12125-02-9",,"75-09-2, 7732-18-5",,,,,,,2,1,72.0,,,,,,,
31-049-CAS-10690597,Olefin metathesis,85,,,C=C[C@H](C)O[Si](C)(C)C(C)(C)C.C=CC[C@@]12CC(=O)C[C@@H]1CCN(S(=O)(=O)c1ccc(C)cc1)C2>>Cc1ccc(S(=O)(=O)N2CC[C@H]3CC(=O)C[C@@]3(C/C=C/[C@H](C)O)C2)cc1,"Angewandte Chemie, International Edition (2016), 55(13), 4332-4335",2245243-91-6,2245243-73-4,"7647-01-0, 144-55-8",301224-40-8,"75-09-2, 7732-18-5",,,,,,,3,1,85.0,,,,,,,stereoselective
31-049-CAS-21978458,Olefin metathesis,86,,,C=CC(CCc1ccccc1)O[Si](C)(C)CC(=C)C>>C/C(=C/C(O)CCc1ccccc1)CO,"Organic & Biomolecular Chemistry (2020), 18(12), 2297-2306",2414101-28-1,2414101-29-2,"298-14-6, 7722-84-1, 7789-23-3, 7772-98-7",246047-72-3,"75-09-2, 67-56-1, 109-99-9, 7732-18-5",,,,,,,3,1,86.0,,,,,,,"stereoselective, Grubbs ring closing metathesis reaction (stage 1), Tamao-Fleming oxidation (stages 2-3)"
31-113-CAS-16508482,Olefin metathesis,84,,,C=CCN(C(=O)OCC)c1c(Cl)cc(OC)cc1N(CC=C)c1ccc(Cl)cc1>>CCOC(=O)N1C/C=C\CN(c2ccc(Cl)cc2)c2cc(OC)ccc21,"ARKIVOC (Gainesville, FL, United States) (2016), (5), 69-88",2242418-99-9,1256929-20-0,,172222-30-9,75-09-2,,,,,,,1,1,84.0,,,,,,,"stereoselective, Ring-closing metathesis"
31-177-CAS-10437316,Olefin metathesis,74,,,C#CC(C)(CCCC=C)O[Si](C)(C)C(C)(C)C>>C=CC1=CCCCC1(C)O[Si](C)(C)C(C)(C)C,"Journal of Organic Chemistry (2015), 80(10), 5359-5363","1730-25-2, 2803280-63-7",2803280-26-2,,927429-61-6,108-88-3,,,,,,,1,1,74.0,,,,,,,"microwave irradiation, regioselective, Ring-closing enyne metathesis; optimized on catalyst, optimization study"
31-177-CAS-12204337,Olefin metathesis,99,,,C#CC(C)(OCC=C)c1ccccc1>>C=CC1=CCOC1(C)c1ccccc1,"ACS Catalysis (2015), 5(5), 2697-2701",217185-22-3,217185-25-6,"7782-44-7, 109-92-2",1255536-61-8,108-88-3,,,,,,,2,1,99.0,,,,,,,"Grubbs ring closing metathesis reaction, screw-cap vial used, aerobic"
31-177-CAS-14689025,Olefin metathesis,95,,,C#CC(C)(OCC=C)c1ccccc1>>C=CC1=CCOC1(C)c1ccccc1,"Journal of Organic Chemistry (2015), 80(10), 5359-5363",3710-30-3,110-83-8,,927429-61-6,108-88-3,,,,,,,1,1,95.0,,,,,,,"microwave irradiation, regioselective, Ring-closing enyne metathesis; optimized on catalyst, optimization study"
