reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-008-CAS-20117893,31-008-CAS-20117893,Reaction_20251111_2118.rdf,Oxidation IBX,71,,,OCCCCO.CC(C)[Si](Cl)(C(C)C)C(C)C,CC(C)[Si](OCCCC=O)(C(C)C)C(C)C,OCCCCO.CC(C)[Si](Cl)(C(C)C)C(C)C>>CC(C)[Si](OCCCC=O)(C(C)C)C(C)C,Structure-activity relationship studies of atpenin A5 analogs with chemical modification of the side chain moiety,"Ohtawa, Masaki; Yano, Keisuke; Miyao, Atsuyoshi; Hiura, Tohru; Sugiyama, Kouhei; Arima, Shiho; Kita, Kiyoshi; Omura, Satoshi; Nagamitsu, Tohru","Tetrahedron Letters (2019), 60(15), 1037-1042","Structure-activity relationship studies of atpenin A5 analogs with chemical modification of the side chain moiety | Ohtawa, Masaki; Yano, Keisuke; Miyao, Atsuyoshi; Hiura, Tohru; Sugiyama, Kouhei; Arima, Shiho; Kita, Kiyoshi; Omura, Satoshi; Nagamitsu, Tohru | Tetrahedron Letters (2019), 60(15), 1037-1042","110-63-4, 13154-24-0",157310-14-0,"7646-69-7, 64297-64-9",,"109-99-9, 67-68-5",,,,,,,2,1,71,,,,,,,"{""1"": 71}","[{""index"": 1, ""cas_rn"": ""110-63-4"", ""smiles"": ""OCCCCO""}, {""index"": 2, ""cas_rn"": ""13154-24-0"", ""smiles"": ""CC(C)[Si](Cl)(C(C)C)C(C)C""}]","[{""index"": 1, ""cas_rn"": ""157310-14-0"", ""yield_pct"": ""71"", ""smiles"": ""CC(C)[Si](OCCCC=O)(C(C)C)C(C)C""}]","[{""index"": 1, ""cas_rn"": ""7646-69-7""}, {""index"": 2, ""cas_rn"": ""64297-64-9""}]",[],"[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""67-68-5""}]",,
31-008-CAS-20895488,31-008-CAS-20895488,Reaction_20251111_2118 (2).rdf,Oxidation IBX,96,,,C=C(C)[C@H]1CC[C@@](C)(O)[C@H](O)C1.CI,CO[C@]1(C)CC[C@H](C(C)C)CC1=O,C=C(C)[C@H]1CC[C@@](C)(O)[C@H](O)C1.CI>>CO[C@]1(C)CC[C@H](C(C)C)CC1=O,"Synthesis of eunicellane-type bicycles embedding a 1,3-cyclohexadiene moiety","Frichert, Alex; Jones, Peter G.; Lindel, Thomas","Beilstein Journal of Organic Chemistry (2018), 142461-2467","Synthesis of eunicellane-type bicycles embedding a 1,3-cyclohexadiene moiety | Frichert, Alex; Jones, Peter G.; Lindel, Thomas | Beilstein Journal of Organic Chemistry (2018), 142461-2467","59121-82-3, 74-88-4",2389060-33-5,"1314-15-4, 64297-64-9, 20667-12-3",,"67-56-1, 141-78-6, 75-05-8",,,,,,,3,1,96,,,,,,,"{""1"": 96}","[{""index"": 1, ""cas_rn"": ""59121-82-3"", ""smiles"": ""C=C(C)[C@H]1CC[C@@](C)(O)[C@H](O)C1""}, {""index"": 2, ""cas_rn"": ""74-88-4"", ""smiles"": ""CI""}]","[{""index"": 1, ""cas_rn"": ""2389060-33-5"", ""yield_pct"": ""96"", ""smiles"": ""CO[C@]1(C)CC[C@H](C(C)C)CC1=O""}]","[{""index"": 1, ""cas_rn"": ""1314-15-4""}, {""index"": 2, ""cas_rn"": ""64297-64-9""}, {""index"": 3, ""cas_rn"": ""20667-12-3""}]",[],"[{""index"": 1, ""cas_rn"": ""67-56-1""}, {""index"": 2, ""cas_rn"": ""141-78-6""}, {""index"": 3, ""cas_rn"": ""75-05-8""}]",,
31-010-CAS-20895481,31-010-CAS-20895481,Reaction_20251111_2118 (3).rdf,Oxidation IBX,81,,,C=C(C)[C@H]1CC[C@@](C)(O)[C@H](O)C1.CC(C)(C)[Si](C)(C)OS(=O)(=O)C(F)(F)F,CC(C)[C@H]1CC[C@@](C)(O[Si](C)(C)C(C)(C)C)C(=O)C1,C=C(C)[C@H]1CC[C@@](C)(O)[C@H](O)C1.CC(C)(C)[Si](C)(C)OS(=O)(=O)C(F)(F)F>>CC(C)[C@H]1CC[C@@](C)(O[Si](C)(C)C(C)(C)C)C(=O)C1,"Synthesis of eunicellane-type bicycles embedding a 1,3-cyclohexadiene moiety","Frichert, Alex; Jones, Peter G.; Lindel, Thomas","Beilstein Journal of Organic Chemistry (2018), 142461-2467","Synthesis of eunicellane-type bicycles embedding a 1,3-cyclohexadiene moiety | Frichert, Alex; Jones, Peter G.; Lindel, Thomas | Beilstein Journal of Organic Chemistry (2018), 142461-2467","59121-82-3, 69739-34-0",2389060-25-5,"1314-15-4, 64297-64-9, 108-48-5, 7647-01-0",,"67-56-1, 141-78-6, 75-09-2, 7732-18-5",,,,,,,4,1,81,,,,,,,"{""1"": 81}","[{""index"": 1, ""cas_rn"": ""59121-82-3"", ""smiles"": ""C=C(C)[C@H]1CC[C@@](C)(O)[C@H](O)C1""}, {""index"": 2, ""cas_rn"": ""69739-34-0"", ""smiles"": ""CC(C)(C)[Si](C)(C)OS(=O)(=O)C(F)(F)F""}]","[{""index"": 1, ""cas_rn"": ""2389060-25-5"", ""yield_pct"": ""81"", ""smiles"": ""CC(C)[C@H]1CC[C@@](C)(O[Si](C)(C)C(C)(C)C)C(=O)C1""}]","[{""index"": 1, ""cas_rn"": ""1314-15-4""}, {""index"": 2, ""cas_rn"": ""64297-64-9""}, {""index"": 3, ""cas_rn"": ""108-48-5""}, {""index"": 4, ""cas_rn"": ""7647-01-0""}]",[],"[{""index"": 1, ""cas_rn"": ""67-56-1""}, {""index"": 2, ""cas_rn"": ""141-78-6""}, {""index"": 3, ""cas_rn"": ""75-09-2""}, {""index"": 4, ""cas_rn"": ""7732-18-5""}]",,
31-022-CAS-16366578,31-022-CAS-16366578,Reaction_20251111_2118 (3).rdf,Oxidation IBX,79,,,Cc1ccc(S(=O)(=O)Cl)cc1.COc1ccc(C2(CCO)CCC(O)CC2)cc1OC,COc1ccc(C2(CCOS(=O)(=O)c3ccc(C)cc3)C=CC(=O)CC2)cc1OC,Cc1ccc(S(=O)(=O)Cl)cc1.COc1ccc(C2(CCO)CCC(O)CC2)cc1OC>>COc1ccc(C2(CCOS(=O)(=O)c3ccc(C)cc3)C=CC(=O)CC2)cc1OC,"Total synthesis of Sceletium alkaloids (±)-joubertinamine, (±)-epijoubertinamine, (±)-tortuosamine and formal synthesis of (±)-mesembrine, (±)-N-formyltortuosamine","Bhosale, Viraj A.; Ukale, Dattatraya U.; Waghmode, Suresh B.","New Journal of Chemistry (2016), 40(11), 9432-9440","Total synthesis of Sceletium alkaloids (±)-joubertinamine, (±)-epijoubertinamine, (±)-tortuosamine and formal synthesis of (±)-mesembrine, (±)-N-formyltortuosamine | Bhosale, Viraj A.; Ukale, Dattatraya U.; Waghmode, Suresh B. | New Journal of Chemistry (2016), 40(11), 9432-9440","98-59-9, 2024582-46-3",2024582-48-5,"110-86-1, 64297-64-9",,"75-09-2, 67-68-5",,,,,,,2,1,79,,,,,,,"{""1"": 79}","[{""index"": 1, ""cas_rn"": ""98-59-9"", ""smiles"": ""Cc1ccc(S(=O)(=O)Cl)cc1""}, {""index"": 2, ""cas_rn"": ""2024582-46-3"", ""smiles"": ""COc1ccc(C2(CCO)CCC(O)CC2)cc1OC""}]","[{""index"": 1, ""cas_rn"": ""2024582-48-5"", ""yield_pct"": ""79"", ""smiles"": ""COc1ccc(C2(CCOS(=O)(=O)c3ccc(C)cc3)C=CC(=O)CC2)cc1OC""}]","[{""index"": 1, ""cas_rn"": ""110-86-1""}, {""index"": 2, ""cas_rn"": ""64297-64-9""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}, {""index"": 2, ""cas_rn"": ""67-68-5""}]",selective tosylation in stage 1,
31-022-CAS-16366585,31-022-CAS-16366585,Reaction_20251111_2118 (2).rdf,Oxidation IBX,91,,,Cc1ccc(S(=O)(=O)Cl)cc1.COc1ccc(C2(CCO)CCC(O)CC2)cc1OC,COc1ccc(C2(CCOS(=O)(=O)c3ccc(C)cc3)CCC(=O)CC2)cc1OC,Cc1ccc(S(=O)(=O)Cl)cc1.COc1ccc(C2(CCO)CCC(O)CC2)cc1OC>>COc1ccc(C2(CCOS(=O)(=O)c3ccc(C)cc3)CCC(=O)CC2)cc1OC,"Total synthesis of Sceletium alkaloids (±)-joubertinamine, (±)-epijoubertinamine, (±)-tortuosamine and formal synthesis of (±)-mesembrine, (±)-N-formyltortuosamine","Bhosale, Viraj A.; Ukale, Dattatraya U.; Waghmode, Suresh B.","New Journal of Chemistry (2016), 40(11), 9432-9440","Total synthesis of Sceletium alkaloids (±)-joubertinamine, (±)-epijoubertinamine, (±)-tortuosamine and formal synthesis of (±)-mesembrine, (±)-N-formyltortuosamine | Bhosale, Viraj A.; Ukale, Dattatraya U.; Waghmode, Suresh B. | New Journal of Chemistry (2016), 40(11), 9432-9440","98-59-9, 2024582-46-3",2024582-52-1,"110-86-1, 64297-64-9",,"75-09-2, 67-68-5",,,,,,,2,1,91,,,,,,,"{""1"": 91}","[{""index"": 1, ""cas_rn"": ""98-59-9"", ""smiles"": ""Cc1ccc(S(=O)(=O)Cl)cc1""}, {""index"": 2, ""cas_rn"": ""2024582-46-3"", ""smiles"": ""COc1ccc(C2(CCO)CCC(O)CC2)cc1OC""}]","[{""index"": 1, ""cas_rn"": ""2024582-52-1"", ""yield_pct"": ""91"", ""smiles"": ""COc1ccc(C2(CCOS(=O)(=O)c3ccc(C)cc3)CCC(=O)CC2)cc1OC""}]","[{""index"": 1, ""cas_rn"": ""110-86-1""}, {""index"": 2, ""cas_rn"": ""64297-64-9""}]",[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}, {""index"": 2, ""cas_rn"": ""67-68-5""}]","alternative preparation shown, selective tosylation in stage 1",
31-049-CAS-16402341,31-049-CAS-16402341,Reaction_20251111_2118 (2).rdf,Oxidation IBX,92,,,COCOc1ccc(OCc2ccccc2)c(C(O)c2c(OCc3ccccc3)ccc(OCOC)c2F)c1F,COCOc1ccc(O)c(C(=O)c2c(O)ccc(OCOC)c2F)c1F,COCOc1ccc(OCc2ccccc2)c(C(O)c2c(OCc3ccccc3)ccc(OCOC)c2F)c1F>>COCOc1ccc(O)c(C(=O)c2c(O)ccc(OCOC)c2F)c1F,Concise Total Synthesis of Elliptoxanthone A by Utilizing Aromatic Oxy-Cope Rearrangement for Efficient C-Isoprenylation of Xanthone Skeleton,"Fujimoto, Yuuki; Yanai, Hikaru; Matsumoto, Takashi","Synlett (2016), 27(15), 2229-2232","Concise Total Synthesis of Elliptoxanthone A by Utilizing Aromatic Oxy-Cope Rearrangement for Efficient C-Isoprenylation of Xanthone Skeleton | Fujimoto, Yuuki; Yanai, Hikaru; Matsumoto, Takashi | Synlett (2016), 27(15), 2229-2232",2021238-41-3,2021238-43-5,"64297-64-9, 7772-98-7, 1333-74-0",7440-05-3,"67-68-5, 7732-18-5, 141-78-6",,,,,,,3,1,92,,,,,,,"{""1"": 92}","[{""index"": 1, ""cas_rn"": ""2021238-41-3"", ""smiles"": ""COCOc1ccc(OCc2ccccc2)c(C(O)c2c(OCc3ccccc3)ccc(OCOC)c2F)c1F""}]","[{""index"": 1, ""cas_rn"": ""2021238-43-5"", ""yield_pct"": ""92"", ""smiles"": ""COCOc1ccc(O)c(C(=O)c2c(O)ccc(OCOC)c2F)c1F""}]","[{""index"": 1, ""cas_rn"": ""64297-64-9""}, {""index"": 2, ""cas_rn"": ""7772-98-7""}, {""index"": 3, ""cas_rn"": ""1333-74-0""}]","[{""index"": 1, ""cas_rn"": ""7440-05-3""}]","[{""index"": 1, ""cas_rn"": ""67-68-5""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}, {""index"": 3, ""cas_rn"": ""141-78-6""}]",,
31-049-CAS-20562564,31-049-CAS-20562564,Reaction_20251111_2118 (1).rdf,Oxidation IBX,86,,24.0,CC[C@@H](O[Si](C(C)C)(C(C)C)C(C)C)[C@@H](C)/C=C(\C)[C@@H](O)CC(=O)SCCNC(C)=O,CC[C@@H](O)[C@@H](C)/C=C(\C)C(=O)CC(=O)SCCNC(C)=O,CC[C@@H](O[Si](C(C)C)(C(C)C)C(C)C)[C@@H](C)/C=C(\C)[C@@H](O)CC(=O)SCCNC(C)=O>>CC[C@@H](O)[C@@H](C)/C=C(\C)C(=O)CC(=O)SCCNC(C)=O,"Tylosin polyketide synthase module 3: stereospecificity, stereoselectivity and steady-state kinetic analysis of β-processing domains via diffusible, synthetic substrates","Fiers, William D.; Dodge, Greg J.; Li, Yang; Smith, Janet L.; Fecik, Robert A.; Aldrich, Courtney C.","Chemical Science (2015), 6(8), 5027-5033","Tylosin polyketide synthase module 3: stereospecificity, stereoselectivity and steady-state kinetic analysis of β-processing domains via diffusible, synthetic substrates | Fiers, William D.; Dodge, Greg J.; Li, Yang; Smith, Janet L.; Fecik, Robert A.; Aldrich, Courtney C. | Chemical Science (2015), 6(8), 5027-5033",2374143-04-9,2374142-88-6,"64297-64-9, 7664-39-3, 144-55-8",,"141-78-6, 75-05-8, 7732-18-5",,,,,,,3,1,86,,,,,,,"{""1"": 86}","[{""index"": 1, ""cas_rn"": ""2374143-04-9"", ""smiles"": ""CC[C@@H](O[Si](C(C)C)(C(C)C)C(C)C)[C@@H](C)/C=C(\\C)[C@@H](O)CC(=O)SCCNC(C)=O""}]","[{""index"": 1, ""cas_rn"": ""2374142-88-6"", ""yield_pct"": ""86"", ""smiles"": ""CC[C@@H](O)[C@@H](C)/C=C(\\C)C(=O)CC(=O)SCCNC(C)=O""}]","[{""index"": 1, ""cas_rn"": ""64297-64-9""}, {""index"": 2, ""cas_rn"": ""7664-39-3""}, {""index"": 3, ""cas_rn"": ""144-55-8""}]",[],"[{""index"": 1, ""cas_rn"": ""141-78-6""}, {""index"": 2, ""cas_rn"": ""75-05-8""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}]","stereoselective, incremental addition of hydrofluoric acid after 24 hours (stage 2)",
31-085-CAS-16112330,31-085-CAS-16112330,Reaction_20251111_2118 (1).rdf,Oxidation IBX,87,,,c1ccc2[nH]ccc2c1.C=C(C(=O)OC)C(O)c1cccc(Cl)c1,COC(=O)C(Cc1c[nH]c2ccccc12)C(=O)c1cccc(Cl)c1,c1ccc2[nH]ccc2c1.C=C(C(=O)OC)C(O)c1cccc(Cl)c1>>COC(=O)C(Cc1c[nH]c2ccccc12)C(=O)c1cccc(Cl)c1,Diastereoselective Synthesis of Biologically Active Cyclopenta[b]indoles,"Santos, Marilia S.; Fernandes, Daniara C.; Rodrigues, Manoel T.; Regiani, Thais; Andricopulo, Adriano D.; Ruiz, Ana Lucia T. G.; Vendramini-Costa, Debora B.; de Carvalho, Joao E.; Eberlin, Marcos N.; Coelho, Fernando","Journal of Organic Chemistry (2016), 81(15), 6626-6639","Diastereoselective Synthesis of Biologically Active Cyclopenta[b]indoles | Santos, Marilia S.; Fernandes, Daniara C.; Rodrigues, Manoel T.; Regiani, Thais; Andricopulo, Adriano D.; Ruiz, Ana Lucia T. G.; Vendramini-Costa, Debora B.; de Carvalho, Joao E.; Eberlin, Marcos N.; Coelho, Fernando | Journal of Organic Chemistry (2016), 81(15), 6626-6639","120-72-9, 364364-56-7",1966106-12-6,64297-64-9,,75-05-8,,,,,,,1,1,87,,,,,,,"{""1"": 87}","[{""index"": 1, ""cas_rn"": ""120-72-9"", ""smiles"": ""c1ccc2[nH]ccc2c1""}, {""index"": 2, ""cas_rn"": ""364364-56-7"", ""smiles"": ""C=C(C(=O)OC)C(O)c1cccc(Cl)c1""}]","[{""index"": 1, ""cas_rn"": ""1966106-12-6"", ""yield_pct"": ""87"", ""smiles"": ""COC(=O)C(Cc1c[nH]c2ccccc12)C(=O)c1cccc(Cl)c1""}]","[{""index"": 1, ""cas_rn"": ""64297-64-9""}]",[],"[{""index"": 1, ""cas_rn"": ""75-05-8""}]","green chemistry-reagent, oxidative Michael addition",
31-085-CAS-16112331,31-085-CAS-16112331,Reaction_20251111_2118 (1).rdf,Oxidation IBX,88,,,c1ccc2[nH]ccc2c1.C=C(C(=O)OC)C(O)c1ccc(OC)cc1,COC(=O)C(Cc1c[nH]c2ccccc12)C(=O)c1ccc(OC)cc1,c1ccc2[nH]ccc2c1.C=C(C(=O)OC)C(O)c1ccc(OC)cc1>>COC(=O)C(Cc1c[nH]c2ccccc12)C(=O)c1ccc(OC)cc1,Diastereoselective Synthesis of Biologically Active Cyclopenta[b]indoles,"Santos, Marilia S.; Fernandes, Daniara C.; Rodrigues, Manoel T.; Regiani, Thais; Andricopulo, Adriano D.; Ruiz, Ana Lucia T. G.; Vendramini-Costa, Debora B.; de Carvalho, Joao E.; Eberlin, Marcos N.; Coelho, Fernando","Journal of Organic Chemistry (2016), 81(15), 6626-6639","Diastereoselective Synthesis of Biologically Active Cyclopenta[b]indoles | Santos, Marilia S.; Fernandes, Daniara C.; Rodrigues, Manoel T.; Regiani, Thais; Andricopulo, Adriano D.; Ruiz, Ana Lucia T. G.; Vendramini-Costa, Debora B.; de Carvalho, Joao E.; Eberlin, Marcos N.; Coelho, Fernando | Journal of Organic Chemistry (2016), 81(15), 6626-6639","120-72-9, 115240-92-1",1966106-13-7,64297-64-9,,75-05-8,,,,,,,1,1,88,,,,,,,"{""1"": 88}","[{""index"": 1, ""cas_rn"": ""120-72-9"", ""smiles"": ""c1ccc2[nH]ccc2c1""}, {""index"": 2, ""cas_rn"": ""115240-92-1"", ""smiles"": ""C=C(C(=O)OC)C(O)c1ccc(OC)cc1""}]","[{""index"": 1, ""cas_rn"": ""1966106-13-7"", ""yield_pct"": ""88"", ""smiles"": ""COC(=O)C(Cc1c[nH]c2ccccc12)C(=O)c1ccc(OC)cc1""}]","[{""index"": 1, ""cas_rn"": ""64297-64-9""}]",[],"[{""index"": 1, ""cas_rn"": ""75-05-8""}]","green chemistry-reagent, oxidative Michael addition",
31-085-CAS-16112332,31-085-CAS-16112332,Reaction_20251111_2118 (3).rdf,Oxidation IBX,79,,,COc1ccc2[nH]ccc2c1.C=C(C(=O)OC)C(O)c1ccc(OC)cc1,COC(=O)C(Cc1c[nH]c2ccc(OC)cc12)C(=O)c1ccc(OC)cc1,COc1ccc2[nH]ccc2c1.C=C(C(=O)OC)C(O)c1ccc(OC)cc1>>COC(=O)C(Cc1c[nH]c2ccc(OC)cc12)C(=O)c1ccc(OC)cc1,Diastereoselective Synthesis of Biologically Active Cyclopenta[b]indoles,"Santos, Marilia S.; Fernandes, Daniara C.; Rodrigues, Manoel T.; Regiani, Thais; Andricopulo, Adriano D.; Ruiz, Ana Lucia T. G.; Vendramini-Costa, Debora B.; de Carvalho, Joao E.; Eberlin, Marcos N.; Coelho, Fernando","Journal of Organic Chemistry (2016), 81(15), 6626-6639","Diastereoselective Synthesis of Biologically Active Cyclopenta[b]indoles | Santos, Marilia S.; Fernandes, Daniara C.; Rodrigues, Manoel T.; Regiani, Thais; Andricopulo, Adriano D.; Ruiz, Ana Lucia T. G.; Vendramini-Costa, Debora B.; de Carvalho, Joao E.; Eberlin, Marcos N.; Coelho, Fernando | Journal of Organic Chemistry (2016), 81(15), 6626-6639","1006-94-6, 115240-92-1",1966106-14-8,64297-64-9,,75-05-8,,,,,,,1,1,79,,,,,,,"{""1"": 79}","[{""index"": 1, ""cas_rn"": ""1006-94-6"", ""smiles"": ""COc1ccc2[nH]ccc2c1""}, {""index"": 2, ""cas_rn"": ""115240-92-1"", ""smiles"": ""C=C(C(=O)OC)C(O)c1ccc(OC)cc1""}]","[{""index"": 1, ""cas_rn"": ""1966106-14-8"", ""yield_pct"": ""79"", ""smiles"": ""COC(=O)C(Cc1c[nH]c2ccc(OC)cc12)C(=O)c1ccc(OC)cc1""}]","[{""index"": 1, ""cas_rn"": ""64297-64-9""}]",[],"[{""index"": 1, ""cas_rn"": ""75-05-8""}]","green chemistry-reagent, oxidative Michael addition",
