reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-207-CAS-10834198,31-207-CAS-10834198,Reaction_20251111_1428.rdf,Oxidation of Arylmethanes to Aldehydes,,,,Cc1ccc(C)cc1,Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(Cc2cc(C)ccc2C)cc1.Cc1ccc(COO)cc1.Cc1ccc(COC(=O)c2ccc(C)cc2)cc1.Cc1ccc(COCc2ccc(C)cc2)cc1,Cc1ccc(C)cc1>>Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(Cc2cc(C)ccc2C)cc1.Cc1ccc(COO)cc1.Cc1ccc(COC(=O)c2ccc(C)cc2)cc1.Cc1ccc(COCc2ccc(C)cc2)cc1,Photoactivated and photopassivated benzylic oxidation catalyzed by pristine and oxidized carbons,"Sereda, Grigoriy; Rajpara, Vikul","Catalysis Communications (2011), 12(7), 669-672","Photoactivated and photopassivated benzylic oxidation catalyzed by pristine and oxidized carbons | Sereda, Grigoriy; Rajpara, Vikul | Catalysis Communications (2011), 12(7), 669-672",106-42-3,"99-94-5, 104-87-0, 589-18-4, 721-45-9, 7523-31-1, 21086-87-3, 38460-98-9",7782-44-7,,,,,,,,,1,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""106-42-3"", ""smiles"": ""Cc1ccc(C)cc1""}]","[{""index"": 1, ""cas_rn"": ""99-94-5"", ""smiles"": ""Cc1ccc(C(=O)O)cc1""}, {""index"": 2, ""cas_rn"": ""104-87-0"", ""smiles"": ""Cc1ccc(C=O)cc1""}, {""index"": 3, ""cas_rn"": ""589-18-4"", ""smiles"": ""Cc1ccc(CO)cc1""}, {""index"": 4, ""cas_rn"": ""721-45-9"", ""smiles"": ""Cc1ccc(Cc2cc(C)ccc2C)cc1""}, {""index"": 5, ""cas_rn"": ""7523-31-1"", ""smiles"": ""Cc1ccc(COO)cc1""}, {""index"": 6, ""cas_rn"": ""21086-87-3"", ""smiles"": ""Cc1ccc(COC(=O)c2ccc(C)cc2)cc1""}, {""index"": 7, ""cas_rn"": ""38460-98-9"", ""smiles"": ""Cc1ccc(COCc2ccc(C)cc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""7782-44-7""}]",[],[],"green chemistry-catalyst, photochemical (ambient light), multiwall carbon nanotubes used as catalyst, reaction carried out in absence of light did not produce hydroperoxide product, optimization study, optimized on catalyst, mechanism studied, scalable",
31-207-CAS-13070619,31-207-CAS-13070619,Reaction_20251111_1428.rdf,Oxidation of Arylmethanes to Aldehydes,,,,Cc1ccc(C)cc1,Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(COO)cc1,Cc1ccc(C)cc1>>Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(COO)cc1,Benzylic oxidation and photooxidation by air in the presence of graphite and cyclohexene,"Sereda, Grigoriy; Rajpara, Vikul","Tetrahedron Letters (2007), 48(19), 3417-3421","Benzylic oxidation and photooxidation by air in the presence of graphite and cyclohexene | Sereda, Grigoriy; Rajpara, Vikul | Tetrahedron Letters (2007), 48(19), 3417-3421",106-42-3,"99-94-5, 104-87-0, 589-18-4, 7523-31-1","110-83-8, 7782-44-7",,,,,,,,,1,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""106-42-3"", ""smiles"": ""Cc1ccc(C)cc1""}]","[{""index"": 1, ""cas_rn"": ""99-94-5"", ""smiles"": ""Cc1ccc(C(=O)O)cc1""}, {""index"": 2, ""cas_rn"": ""104-87-0"", ""smiles"": ""Cc1ccc(C=O)cc1""}, {""index"": 3, ""cas_rn"": ""589-18-4"", ""smiles"": ""Cc1ccc(CO)cc1""}, {""index"": 4, ""cas_rn"": ""7523-31-1"", ""smiles"": ""Cc1ccc(COO)cc1""}]","[{""index"": 1, ""cas_rn"": ""110-83-8""}, {""index"": 2, ""cas_rn"": ""7782-44-7""}]",[],[],,
31-207-CAS-15199607,31-207-CAS-15199607,Reaction_20251111_1428.rdf,Oxidation of Arylmethanes to Aldehydes,,,,Cc1ccc(C)cc1,Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(COO)cc1,Cc1ccc(C)cc1>>Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(COO)cc1,Benzylic oxidation and photooxidation by air in the presence of graphite and cyclohexene,"Sereda, Grigoriy; Rajpara, Vikul","Tetrahedron Letters (2007), 48(19), 3417-3421","Benzylic oxidation and photooxidation by air in the presence of graphite and cyclohexene | Sereda, Grigoriy; Rajpara, Vikul | Tetrahedron Letters (2007), 48(19), 3417-3421",106-42-3,"99-94-5, 104-87-0, 589-18-4, 7523-31-1",,7782-42-5,,,,,,,,1,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""106-42-3"", ""smiles"": ""Cc1ccc(C)cc1""}]","[{""index"": 1, ""cas_rn"": ""99-94-5"", ""smiles"": ""Cc1ccc(C(=O)O)cc1""}, {""index"": 2, ""cas_rn"": ""104-87-0"", ""smiles"": ""Cc1ccc(C=O)cc1""}, {""index"": 3, ""cas_rn"": ""589-18-4"", ""smiles"": ""Cc1ccc(CO)cc1""}, {""index"": 4, ""cas_rn"": ""7523-31-1"", ""smiles"": ""Cc1ccc(COO)cc1""}]",[],"[{""index"": 1, ""cas_rn"": ""7782-42-5""}]",[],,
31-488-CAS-10933722,31-488-CAS-10933722,Reaction_20251111_1428.rdf,Oxidation of Arylmethanes to Aldehydes,,,,Cc1ccc(C)cc1,Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(COC(=O)c2ccc(C)cc2)cc1,Cc1ccc(C)cc1>>Cc1ccc(C(=O)O)cc1.Cc1ccc(C=O)cc1.Cc1ccc(CO)cc1.Cc1ccc(COC(=O)c2ccc(C)cc2)cc1,Benzylic oxidation and photooxidation by air in the presence of graphite and cyclohexene,"Sereda, Grigoriy; Rajpara, Vikul","Tetrahedron Letters (2007), 48(19), 3417-3421","Benzylic oxidation and photooxidation by air in the presence of graphite and cyclohexene | Sereda, Grigoriy; Rajpara, Vikul | Tetrahedron Letters (2007), 48(19), 3417-3421",106-42-3,"99-94-5, 104-87-0, 589-18-4, 21086-87-3","110-83-8, 7782-44-7",7782-42-5,,,,,,,,1,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""106-42-3"", ""smiles"": ""Cc1ccc(C)cc1""}]","[{""index"": 1, ""cas_rn"": ""99-94-5"", ""smiles"": ""Cc1ccc(C(=O)O)cc1""}, {""index"": 2, ""cas_rn"": ""104-87-0"", ""smiles"": ""Cc1ccc(C=O)cc1""}, {""index"": 3, ""cas_rn"": ""589-18-4"", ""smiles"": ""Cc1ccc(CO)cc1""}, {""index"": 4, ""cas_rn"": ""21086-87-3"", ""smiles"": ""Cc1ccc(COC(=O)c2ccc(C)cc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""110-83-8""}, {""index"": 2, ""cas_rn"": ""7782-44-7""}]","[{""index"": 1, ""cas_rn"": ""7782-42-5""}]",[],,
31-488-CAS-9304506,31-488-CAS-9304506,Reaction_20251111_1428.rdf,Oxidation of Arylmethanes to Aldehydes,41,,,Cc1ccc(Br)cc1,O=C(O)c1ccc(Br)cc1.O=Cc1ccc(Br)cc1,Cc1ccc(Br)cc1>>O=C(O)c1ccc(Br)cc1.O=Cc1ccc(Br)cc1,Dirhodium(II) Complexes of 2-(Sulfonylimino)pyrrolidine: Synthesis and Application in Catalytic Benzylic Oxidation,"Wusiman, Abudureheman; Tusun, Xiarepati; Lu, Chong-Dao","European Journal of Organic Chemistry (2012), 2012(16), 3088-3092, S3088/1-S3088/45","Dirhodium(II) Complexes of 2-(Sulfonylimino)pyrrolidine: Synthesis and Application in Catalytic Benzylic Oxidation | Wusiman, Abudureheman; Tusun, Xiarepati; Lu, Chong-Dao | European Journal of Organic Chemistry (2012), 2012(16), 3088-3092, S3088/1-S3088/45",106-38-7,"586-76-5, 1122-91-4",75-91-2,1384190-41-3,7732-18-5,,,,,,,2,1,41,17,,,,,,"{""1"": 41, ""2"": 17}","[{""index"": 1, ""cas_rn"": ""106-38-7"", ""smiles"": ""Cc1ccc(Br)cc1""}]","[{""index"": 1, ""cas_rn"": ""586-76-5"", ""yield_pct"": ""41"", ""smiles"": ""O=C(O)c1ccc(Br)cc1""}, {""index"": 2, ""cas_rn"": ""1122-91-4"", ""yield_pct"": ""17"", ""smiles"": ""O=Cc1ccc(Br)cc1""}]","[{""index"": 1, ""cas_rn"": ""75-91-2""}]","[{""index"": 1, ""cas_rn"": ""1384190-41-3""}]","[{""index"": 1, ""cas_rn"": ""7732-18-5""}]",sealed vial used,
31-491-CAS-15714771,31-491-CAS-15714771,Reaction_20251111_1428.rdf,Oxidation of Arylmethanes to Aldehydes,61,,,Cc1ccc(Cc2cncc(C)n2)cc1,Cc1ccc(C(=O)c2cncc(C=O)n2)cc1,Cc1ccc(Cc2cncc(C)n2)cc1>>Cc1ccc(C(=O)c2cncc(C=O)n2)cc1,Base metal-catalyzed benzylic oxidation of (aryl)(heteroaryl)methanes with molecular oxygen,"Sterckx, Hans; De Houwer, Johan; Mensch, Carl; Herrebout, Wouter; Tehrani, Kourosch Abbaspour; Maes, Bert U. W.","Beilstein Journal of Organic Chemistry (2016), 12144-153","Base metal-catalyzed benzylic oxidation of (aryl)(heteroaryl)methanes with molecular oxygen | Sterckx, Hans; De Houwer, Johan; Mensch, Carl; Herrebout, Wouter; Tehrani, Kourosch Abbaspour; Maes, Bert U. W. | Beilstein Journal of Organic Chemistry (2016), 12144-153",1874155-26-6,1874155-25-5,7782-44-7,7681-65-4,"64-19-7, 67-68-5",,,,,,,1,1,61,,,,,,,"{""1"": 61}","[{""index"": 1, ""cas_rn"": ""1874155-26-6"", ""smiles"": ""Cc1ccc(Cc2cncc(C)n2)cc1""}]","[{""index"": 1, ""cas_rn"": ""1874155-25-5"", ""yield_pct"": ""61"", ""smiles"": ""Cc1ccc(C(=O)c2cncc(C=O)n2)cc1""}]","[{""index"": 1, ""cas_rn"": ""7782-44-7""}]","[{""index"": 1, ""cas_rn"": ""7681-65-4""}]","[{""index"": 1, ""cas_rn"": ""64-19-7""}, {""index"": 2, ""cas_rn"": ""67-68-5""}]","green chemistry, scalable",
31-491-CAS-15714807,31-491-CAS-15714807,Reaction_20251111_1428.rdf,Oxidation of Arylmethanes to Aldehydes,62,,,Cc1ccc(Cc2cccc(C)n2)cc1,Cc1ccc(C(=O)c2cccc(C=O)n2)cc1,Cc1ccc(Cc2cccc(C)n2)cc1>>Cc1ccc(C(=O)c2cccc(C=O)n2)cc1,Base metal-catalyzed benzylic oxidation of (aryl)(heteroaryl)methanes with molecular oxygen,"Sterckx, Hans; De Houwer, Johan; Mensch, Carl; Herrebout, Wouter; Tehrani, Kourosch Abbaspour; Maes, Bert U. W.","Beilstein Journal of Organic Chemistry (2016), 12144-153","Base metal-catalyzed benzylic oxidation of (aryl)(heteroaryl)methanes with molecular oxygen | Sterckx, Hans; De Houwer, Johan; Mensch, Carl; Herrebout, Wouter; Tehrani, Kourosch Abbaspour; Maes, Bert U. W. | Beilstein Journal of Organic Chemistry (2016), 12144-153",112498-15-4,94071-17-7,7782-44-7,7681-65-4,"64-19-7, 67-68-5",,,,,,,1,1,62,,,,,,,"{""1"": 62}","[{""index"": 1, ""cas_rn"": ""112498-15-4"", ""smiles"": ""Cc1ccc(Cc2cccc(C)n2)cc1""}]","[{""index"": 1, ""cas_rn"": ""94071-17-7"", ""yield_pct"": ""62"", ""smiles"": ""Cc1ccc(C(=O)c2cccc(C=O)n2)cc1""}]","[{""index"": 1, ""cas_rn"": ""7782-44-7""}]","[{""index"": 1, ""cas_rn"": ""7681-65-4""}]","[{""index"": 1, ""cas_rn"": ""64-19-7""}, {""index"": 2, ""cas_rn"": ""67-68-5""}]","chemoselective, green chemistry",
31-495-CAS-11137549,31-495-CAS-11137549,Reaction_20251111_1428.rdf,Oxidation of Arylmethanes to Aldehydes,66,,,Cc1cccc([N+](=O)[O-])c1,O=Cc1cccc([N+](=O)[O-])c1,Cc1cccc([N+](=O)[O-])c1>>O=Cc1cccc([N+](=O)[O-])c1,Co(acac)2-catalyzed allylic and benzylic oxidation by tert-butyl hydroperoxide,"Han, Xiaoqiang; Zhou, Ziyuan; Wan, Chuan; Xiao, Yumei; Qin, Zhaohai","Synthesis (2013), 45(5), 615-620","Co(acac)2-catalyzed allylic and benzylic oxidation by tert-butyl hydroperoxide | Han, Xiaoqiang; Zhou, Ziyuan; Wan, Chuan; Xiao, Yumei; Qin, Zhaohai | Synthesis (2013), 45(5), 615-620",99-08-1,99-61-6,75-91-2,14024-48-7,67-64-1,,,,,,"General/Typical Procedure: Allylic and Benzylic Oxidation Mediated by Co(acac)2/tert-Butyl Hydroperoxide; General Procedure. To a soln of substrate 1 or 3 (10 mmol) and Co(acac)2 (257mg, 1 mmol) in acetone (20 mL), TBHP (5.14 g, 4.0 mmol, 4 equiv, 70%) was added dropwise and the mixture was stirred for at r.t. for 15 h. To the mixture was added aq brine and the soln was extracted Et2O (3 ×). The combined extracts were dried (anhyd MgSO4) and filtered, and the filtrate condensed under reduced pressure to give a crude product that was purified by column chromatography. Substrate: 3i, 3-Nitrobenzaldehyde (4i), Light yellow solid; yield: 1.00 g (66%). Temperature: 28°C. 1H NMR (300 MHz, CDCl3, 25 °C): δ = 10.14 (s, 1 H), 8.73-8.72 (m, 1 H), 8.52-8.48 (m, 1 H), 8.26-8.23 (m, 1 H), 7.81-7.76 (t, 1 H).",1,1,66,,,,,,,"{""1"": 66}","[{""index"": 1, ""cas_rn"": ""99-08-1"", ""smiles"": ""Cc1cccc([N+](=O)[O-])c1""}]","[{""index"": 1, ""cas_rn"": ""99-61-6"", ""yield_pct"": ""66"", ""smiles"": ""O=Cc1cccc([N+](=O)[O-])c1""}]","[{""index"": 1, ""cas_rn"": ""75-91-2""}]","[{""index"": 1, ""cas_rn"": ""14024-48-7""}]","[{""index"": 1, ""cas_rn"": ""67-64-1""}]",controlled oxidation,
31-495-CAS-13266515,31-495-CAS-13266515,Reaction_20251111_1428.rdf,Oxidation of Arylmethanes to Aldehydes,80,,,COc1cccc(C)c1,COc1cccc(C=O)c1,COc1cccc(C)c1>>COc1cccc(C=O)c1,Co(acac)2-catalyzed allylic and benzylic oxidation by tert-butyl hydroperoxide,"Han, Xiaoqiang; Zhou, Ziyuan; Wan, Chuan; Xiao, Yumei; Qin, Zhaohai","Synthesis (2013), 45(5), 615-620","Co(acac)2-catalyzed allylic and benzylic oxidation by tert-butyl hydroperoxide | Han, Xiaoqiang; Zhou, Ziyuan; Wan, Chuan; Xiao, Yumei; Qin, Zhaohai | Synthesis (2013), 45(5), 615-620",100-84-5,591-31-1,75-91-2,14024-48-7,67-64-1,,,,,,"General/Typical Procedure: Allylic and Benzylic Oxidation Mediated by Co(acac)2/tert-Butyl Hydroperoxide; General Procedure. To a soln of substrate 1 or 3 (10 mmol) and Co(acac)2 (257mg, 1 mmol) in acetone (20 mL), TBHP (5.14 g, 4.0 mmol, 4 equiv, 70%) was added dropwise and the mixture was stirred for at r.t. for 15 h. To the mixture was added aq brine and the soln was extracted Et2O (3 ×). The combined extracts were dried (anhyd MgSO4) and filtered, and the filtrate condensed under reduced pressure to give a crude product that was purified by column chromatography. Substrate: 3j, 3-Methoxybenzaldehyde (4j), Colorless liquid; yield: 1.09 g (80%). Temperature: 28°C. 1H NMR (300 MHz, CDCl3, 25 °C): δ = 9.97 (s, 1 H), 7.45-7.43 (m, 2 H), 7.41-7.38 (m, 1 H), 7.19-7.15 (m, 1 H), 3.86 (s, 3 H).",1,1,80,,,,,,,"{""1"": 80}","[{""index"": 1, ""cas_rn"": ""100-84-5"", ""smiles"": ""COc1cccc(C)c1""}]","[{""index"": 1, ""cas_rn"": ""591-31-1"", ""yield_pct"": ""80"", ""smiles"": ""COc1cccc(C=O)c1""}]","[{""index"": 1, ""cas_rn"": ""75-91-2""}]","[{""index"": 1, ""cas_rn"": ""14024-48-7""}]","[{""index"": 1, ""cas_rn"": ""67-64-1""}]",controlled oxidation,
31-495-CAS-15395895,31-495-CAS-15395895,Reaction_20251111_1428.rdf,Oxidation of Arylmethanes to Aldehydes,71,,,Cc1ccc(Cl)cc1,O=Cc1ccc(Cl)cc1,Cc1ccc(Cl)cc1>>O=Cc1ccc(Cl)cc1,Co(acac)2-catalyzed allylic and benzylic oxidation by tert-butyl hydroperoxide,"Han, Xiaoqiang; Zhou, Ziyuan; Wan, Chuan; Xiao, Yumei; Qin, Zhaohai","Synthesis (2013), 45(5), 615-620","Co(acac)2-catalyzed allylic and benzylic oxidation by tert-butyl hydroperoxide | Han, Xiaoqiang; Zhou, Ziyuan; Wan, Chuan; Xiao, Yumei; Qin, Zhaohai | Synthesis (2013), 45(5), 615-620",106-43-4,104-88-1,75-91-2,14024-48-7,67-64-1,,,,,,"General/Typical Procedure: Allylic and Benzylic Oxidation Mediated by Co(acac)2/tert-Butyl Hydroperoxide; General Procedure. To a soln of substrate 1 or 3 (10 mmol) and Co(acac)2 (257mg, 1 mmol) in acetone (20 mL), TBHP (5.14 g, 4.0 mmol, 4 equiv, 70%) was added dropwise and the mixture was stirred for at r.t. for 15 h. To the mixture was added aq brine and the soln was extracted Et2O (3 ×). The combined extracts were dried (anhyd MgSO4) and filtered, and the filtrate condensed under reduced pressure to give a crude product that was purified by column chromatography. Substrate: 3k, 4-Chlorobenzaldehyde (4k), White solid; yield: 1.00 g (71%).Temperature: 28°C. 1H NMR (300 MHz, CDCl3, 25 °C): δ = 9.98 (s, 1 H), 7.84-7.80 (m, 2 H), 7.53-7.50 (m, 2 H).",1,1,71,,,,,,,"{""1"": 71}","[{""index"": 1, ""cas_rn"": ""106-43-4"", ""smiles"": ""Cc1ccc(Cl)cc1""}]","[{""index"": 1, ""cas_rn"": ""104-88-1"", ""yield_pct"": ""71"", ""smiles"": ""O=Cc1ccc(Cl)cc1""}]","[{""index"": 1, ""cas_rn"": ""75-91-2""}]","[{""index"": 1, ""cas_rn"": ""14024-48-7""}]","[{""index"": 1, ""cas_rn"": ""67-64-1""}]",controlled oxidation,
