reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-085-CAS-18526277,31-085-CAS-18526277,Reaction_20251110_2143 (3).rdf,Paal–Knorr synthesis,16,,,c1ccc2[nH]ccc2c1.CC(=O)C(=CC(=O)c1ccccc1)C(C)=O,CC(=O)c1c(C)oc(-c2ccccc2)c1-c1c[nH]c2ccccc12.CC(=O)C(C(C)=O)C(C(=O)c1ccccc1)c1c[nH]c2ccccc12,c1ccc2[nH]ccc2c1.CC(=O)C(=CC(=O)c1ccccc1)C(C)=O>>CC(=O)c1c(C)oc(-c2ccccc2)c1-c1c[nH]c2ccccc12.CC(=O)C(C(C)=O)C(C(=O)c1ccccc1)c1c[nH]c2ccccc12,"Reaction of electron-deficient 3-acetyl-1-arylpent-2-ene-1,4-diones as a building block of heterocycles","Kawabata, Shun; Oishi, Akihiro; Nishino, Hiroshi","Heterocycles (2017), 94(8), 1479-1505","Reaction of electron-deficient 3-acetyl-1-arylpent-2-ene-1,4-diones as a building block of heterocycles | Kawabata, Shun; Oishi, Akihiro; Nishino, Hiroshi | Heterocycles (2017), 94(8), 1479-1505","120-72-9, 89201-18-3","1316302-66-5, 1883769-19-4",,,67-56-1,,,,,,,1,1,16,80,,,,,,"{""1"": 16, ""2"": 80}","[{""index"": 1, ""cas_rn"": ""120-72-9"", ""smiles"": ""c1ccc2[nH]ccc2c1""}, {""index"": 2, ""cas_rn"": ""89201-18-3"", ""smiles"": ""CC(=O)C(=CC(=O)c1ccccc1)C(C)=O""}]","[{""index"": 1, ""cas_rn"": ""1316302-66-5"", ""yield_pct"": ""16"", ""smiles"": ""CC(=O)c1c(C)oc(-c2ccccc2)c1-c1c[nH]c2ccccc12""}, {""index"": 2, ""cas_rn"": ""1883769-19-4"", ""yield_pct"": ""80"", ""smiles"": ""CC(=O)C(C(C)=O)C(C(=O)c1ccccc1)c1c[nH]c2ccccc12""}]",[],[],"[{""index"": 1, ""cas_rn"": ""67-56-1""}]","Michael addition, alternate reaction conditions also shown",
31-113-CAS-783443,31-113-CAS-783443,Reaction_20251110_2143.rdf,Paal–Knorr synthesis,95,,,CC(=O)CCC(C)=O.NCc1ccc(F)cc1,Cc1ccc(C)n1Cc1ccccc1,CC(=O)CCC(C)=O.NCc1ccc(F)cc1>>Cc1ccc(C)n1Cc1ccccc1,Unique chemoselective Paal-Knorr reaction catalyzed by MgI2 etherate under solvent-free conditions,"Zhang, Xingxian; Weng, Guodong; Zhang, Yongdong; Li, Pengcheng","Tetrahedron (2015), 71(18), 2595-2602","Unique chemoselective Paal-Knorr reaction catalyzed by MgI2 etherate under solvent-free conditions | Zhang, Xingxian; Weng, Guodong; Zhang, Yongdong; Li, Pengcheng | Tetrahedron (2015), 71(18), 2595-2602","110-13-4, 140-75-0",5044-20-2,,1698053-05-2,,,,,,,,1,1,95,,,,,,,"{""1"": 95}","[{""index"": 1, ""cas_rn"": ""110-13-4"", ""smiles"": ""CC(=O)CCC(C)=O""}, {""index"": 2, ""cas_rn"": ""140-75-0"", ""smiles"": ""NCc1ccc(F)cc1""}]","[{""index"": 1, ""cas_rn"": ""5044-20-2"", ""yield_pct"": ""95"", ""smiles"": ""Cc1ccc(C)n1Cc1ccccc1""}]",[],"[{""index"": 1, ""cas_rn"": ""1698053-05-2""}]",[],"chemoselective, green chemistry, no solvent, Paal-Knorr reaction",
31-118-CAS-19809507,31-118-CAS-19809507,Reaction_20251110_2143 (3).rdf,Paal–Knorr synthesis,76,,,N#CCC(=O)c1ccccc1.O=CC(=O)c1ccccc1,O=C(O)C(=O)c1ccccc1.N#Cc1c(-c2ccccc2)oc(-c2ccccc2)c1/C(C(N)=O)=C(/O)c1ccccc1,N#CCC(=O)c1ccccc1.O=CC(=O)c1ccccc1>>O=C(O)C(=O)c1ccccc1.N#Cc1c(-c2ccccc2)oc(-c2ccccc2)c1/C(C(N)=O)=C(/O)c1ccccc1,One-Pot Tandem Approach to Functionalized 3-Hydroxy-2-furanyl-acrylamides,"Mupparapu, Nagaraju; Khan, Shahnawaz; Bandhoria, Pankaj; Athimoolam, Shunmuganarayanan; Ahmed, Qazi Naveed","ACS Omega (2018), 3(5), 5445-5452","One-Pot Tandem Approach to Functionalized 3-Hydroxy-2-furanyl-acrylamides | Mupparapu, Nagaraju; Khan, Shahnawaz; Bandhoria, Pankaj; Athimoolam, Shunmuganarayanan; Ahmed, Qazi Naveed | ACS Omega (2018), 3(5), 5445-5452","614-16-4, 1074-12-0","611-73-4, 2225116-92-5","75-91-2, 121-44-8",,"108-88-3, 124-18-5",,,,,,,1,1,,76,,,,,,"{""2"": 76}","[{""index"": 1, ""cas_rn"": ""614-16-4"", ""smiles"": ""N#CCC(=O)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""1074-12-0"", ""smiles"": ""O=CC(=O)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""611-73-4"", ""smiles"": ""O=C(O)C(=O)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""2225116-92-5"", ""yield_pct"": ""76"", ""smiles"": ""N#Cc1c(-c2ccccc2)oc(-c2ccccc2)c1/C(C(N)=O)=C(/O)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""75-91-2""}, {""index"": 2, ""cas_rn"": ""121-44-8""}]",[],"[{""index"": 1, ""cas_rn"": ""108-88-3""}, {""index"": 2, ""cas_rn"": ""124-18-5""}]","stereoselective, Knoevenagel condensation followed by Michael addition, selective amidation, and Paal-Knorr cyclization, optimization study, optimized on base, optimized on oxidant, optimized on solvent, optimized on temperature",
31-118-CAS-19809508,31-118-CAS-19809508,Reaction_20251110_2143 (3).rdf,Paal–Knorr synthesis,70,,,N#CCC(=O)c1ccccc1.O=CC(=O)c1ccc(Cl)cc1,N#Cc1c(-c2ccccc2)oc(-c2ccc(Cl)cc2)c1/C(C(N)=O)=C(/O)c1ccccc1,N#CCC(=O)c1ccccc1.O=CC(=O)c1ccc(Cl)cc1>>N#Cc1c(-c2ccccc2)oc(-c2ccc(Cl)cc2)c1/C(C(N)=O)=C(/O)c1ccccc1,One-Pot Tandem Approach to Functionalized 3-Hydroxy-2-furanyl-acrylamides,"Mupparapu, Nagaraju; Khan, Shahnawaz; Bandhoria, Pankaj; Athimoolam, Shunmuganarayanan; Ahmed, Qazi Naveed","ACS Omega (2018), 3(5), 5445-5452","One-Pot Tandem Approach to Functionalized 3-Hydroxy-2-furanyl-acrylamides | Mupparapu, Nagaraju; Khan, Shahnawaz; Bandhoria, Pankaj; Athimoolam, Shunmuganarayanan; Ahmed, Qazi Naveed | ACS Omega (2018), 3(5), 5445-5452","614-16-4, 4998-15-6",2225116-93-6,"75-91-2, 121-44-8",,"108-88-3, 124-18-5",,,,,,,1,1,70,,,,,,,"{""1"": 70}","[{""index"": 1, ""cas_rn"": ""614-16-4"", ""smiles"": ""N#CCC(=O)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""4998-15-6"", ""smiles"": ""O=CC(=O)c1ccc(Cl)cc1""}]","[{""index"": 1, ""cas_rn"": ""2225116-93-6"", ""yield_pct"": ""70"", ""smiles"": ""N#Cc1c(-c2ccccc2)oc(-c2ccc(Cl)cc2)c1/C(C(N)=O)=C(/O)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""75-91-2""}, {""index"": 2, ""cas_rn"": ""121-44-8""}]",[],"[{""index"": 1, ""cas_rn"": ""108-88-3""}, {""index"": 2, ""cas_rn"": ""124-18-5""}]","stereoselective, Knoevenagel condensation followed by Michael addition, selective amidation, and Paal-Knorr cyclization",
31-118-CAS-19809509,31-118-CAS-19809509,Reaction_20251110_2143 (3).rdf,Paal–Knorr synthesis,72,,,N#CCC(=O)c1ccccc1.O=CC(=O)c1ccc(Br)cc1,N#Cc1c(-c2ccccc2)oc(-c2ccc(Br)cc2)c1/C(C(N)=O)=C(/O)c1ccccc1,N#CCC(=O)c1ccccc1.O=CC(=O)c1ccc(Br)cc1>>N#Cc1c(-c2ccccc2)oc(-c2ccc(Br)cc2)c1/C(C(N)=O)=C(/O)c1ccccc1,One-Pot Tandem Approach to Functionalized 3-Hydroxy-2-furanyl-acrylamides,"Mupparapu, Nagaraju; Khan, Shahnawaz; Bandhoria, Pankaj; Athimoolam, Shunmuganarayanan; Ahmed, Qazi Naveed","ACS Omega (2018), 3(5), 5445-5452","One-Pot Tandem Approach to Functionalized 3-Hydroxy-2-furanyl-acrylamides | Mupparapu, Nagaraju; Khan, Shahnawaz; Bandhoria, Pankaj; Athimoolam, Shunmuganarayanan; Ahmed, Qazi Naveed | ACS Omega (2018), 3(5), 5445-5452","614-16-4, 5195-29-9",2225116-94-7,"75-91-2, 121-44-8",,"108-88-3, 124-18-5",,,,,,,1,1,72,,,,,,,"{""1"": 72}","[{""index"": 1, ""cas_rn"": ""614-16-4"", ""smiles"": ""N#CCC(=O)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""5195-29-9"", ""smiles"": ""O=CC(=O)c1ccc(Br)cc1""}]","[{""index"": 1, ""cas_rn"": ""2225116-94-7"", ""yield_pct"": ""72"", ""smiles"": ""N#Cc1c(-c2ccccc2)oc(-c2ccc(Br)cc2)c1/C(C(N)=O)=C(/O)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""75-91-2""}, {""index"": 2, ""cas_rn"": ""121-44-8""}]",[],"[{""index"": 1, ""cas_rn"": ""108-88-3""}, {""index"": 2, ""cas_rn"": ""124-18-5""}]","stereoselective, Knoevenagel condensation followed by Michael addition, selective amidation, and Paal-Knorr cyclization",
31-118-CAS-19809515,31-118-CAS-19809515,Reaction_20251110_2143 (3).rdf,Paal–Knorr synthesis,74,,,N#CCC(=O)c1ccccc1.Cc1ccc(C(=O)C=O)cc1C,Cc1ccc(-c2oc(-c3ccccc3)c(C#N)c2/C(C(N)=O)=C(/O)c2ccccc2)cc1C,N#CCC(=O)c1ccccc1.Cc1ccc(C(=O)C=O)cc1C>>Cc1ccc(-c2oc(-c3ccccc3)c(C#N)c2/C(C(N)=O)=C(/O)c2ccccc2)cc1C,One-Pot Tandem Approach to Functionalized 3-Hydroxy-2-furanyl-acrylamides,"Mupparapu, Nagaraju; Khan, Shahnawaz; Bandhoria, Pankaj; Athimoolam, Shunmuganarayanan; Ahmed, Qazi Naveed","ACS Omega (2018), 3(5), 5445-5452","One-Pot Tandem Approach to Functionalized 3-Hydroxy-2-furanyl-acrylamides | Mupparapu, Nagaraju; Khan, Shahnawaz; Bandhoria, Pankaj; Athimoolam, Shunmuganarayanan; Ahmed, Qazi Naveed | ACS Omega (2018), 3(5), 5445-5452","614-16-4, 80688-36-4",2225117-00-8,"75-91-2, 121-44-8",,"108-88-3, 124-18-5",,,,,,,1,1,74,,,,,,,"{""1"": 74}","[{""index"": 1, ""cas_rn"": ""614-16-4"", ""smiles"": ""N#CCC(=O)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""80688-36-4"", ""smiles"": ""Cc1ccc(C(=O)C=O)cc1C""}]","[{""index"": 1, ""cas_rn"": ""2225117-00-8"", ""yield_pct"": ""74"", ""smiles"": ""Cc1ccc(-c2oc(-c3ccccc3)c(C#N)c2/C(C(N)=O)=C(/O)c2ccccc2)cc1C""}]","[{""index"": 1, ""cas_rn"": ""75-91-2""}, {""index"": 2, ""cas_rn"": ""121-44-8""}]",[],"[{""index"": 1, ""cas_rn"": ""108-88-3""}, {""index"": 2, ""cas_rn"": ""124-18-5""}]","stereoselective, Knoevenagel condensation followed by Michael addition, selective amidation, and Paal-Knorr cyclization",
31-118-CAS-19809517,31-118-CAS-19809517,Reaction_20251110_2143 (3).rdf,Paal–Knorr synthesis,73,,,N#CCC(=O)c1ccccc1.Cc1ccc(C(=O)C=O)cc1,Cc1ccc(-c2oc(-c3ccccc3)c(C#N)c2/C(C(N)=O)=C(/O)c2ccccc2)cc1,N#CCC(=O)c1ccccc1.Cc1ccc(C(=O)C=O)cc1>>Cc1ccc(-c2oc(-c3ccccc3)c(C#N)c2/C(C(N)=O)=C(/O)c2ccccc2)cc1,One-Pot Tandem Approach to Functionalized 3-Hydroxy-2-furanyl-acrylamides,"Mupparapu, Nagaraju; Khan, Shahnawaz; Bandhoria, Pankaj; Athimoolam, Shunmuganarayanan; Ahmed, Qazi Naveed","ACS Omega (2018), 3(5), 5445-5452","One-Pot Tandem Approach to Functionalized 3-Hydroxy-2-furanyl-acrylamides | Mupparapu, Nagaraju; Khan, Shahnawaz; Bandhoria, Pankaj; Athimoolam, Shunmuganarayanan; Ahmed, Qazi Naveed | ACS Omega (2018), 3(5), 5445-5452","614-16-4, 1075-47-4",2225117-01-9,"75-91-2, 121-44-8",,"108-88-3, 124-18-5",,,,,,,1,1,73,,,,,,,"{""1"": 73}","[{""index"": 1, ""cas_rn"": ""614-16-4"", ""smiles"": ""N#CCC(=O)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""1075-47-4"", ""smiles"": ""Cc1ccc(C(=O)C=O)cc1""}]","[{""index"": 1, ""cas_rn"": ""2225117-01-9"", ""yield_pct"": ""73"", ""smiles"": ""Cc1ccc(-c2oc(-c3ccccc3)c(C#N)c2/C(C(N)=O)=C(/O)c2ccccc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""75-91-2""}, {""index"": 2, ""cas_rn"": ""121-44-8""}]",[],"[{""index"": 1, ""cas_rn"": ""108-88-3""}, {""index"": 2, ""cas_rn"": ""124-18-5""}]","stereoselective, Knoevenagel condensation followed by Michael addition, selective amidation, and Paal-Knorr cyclization",
31-118-CAS-19809518,31-118-CAS-19809518,Reaction_20251110_2143 (3).rdf,Paal–Knorr synthesis,75,,,N#CCC(=O)c1ccccc1.CCc1ccc(C(=O)C=O)cc1,CCc1ccc(-c2oc(-c3ccccc3)c(C#N)c2/C(C(N)=O)=C(/O)c2ccccc2)cc1,N#CCC(=O)c1ccccc1.CCc1ccc(C(=O)C=O)cc1>>CCc1ccc(-c2oc(-c3ccccc3)c(C#N)c2/C(C(N)=O)=C(/O)c2ccccc2)cc1,One-Pot Tandem Approach to Functionalized 3-Hydroxy-2-furanyl-acrylamides,"Mupparapu, Nagaraju; Khan, Shahnawaz; Bandhoria, Pankaj; Athimoolam, Shunmuganarayanan; Ahmed, Qazi Naveed","ACS Omega (2018), 3(5), 5445-5452","One-Pot Tandem Approach to Functionalized 3-Hydroxy-2-furanyl-acrylamides | Mupparapu, Nagaraju; Khan, Shahnawaz; Bandhoria, Pankaj; Athimoolam, Shunmuganarayanan; Ahmed, Qazi Naveed | ACS Omega (2018), 3(5), 5445-5452","614-16-4, 14333-92-7",2225117-03-1,"75-91-2, 121-44-8",,"108-88-3, 124-18-5",,,,,,,1,1,75,,,,,,,"{""1"": 75}","[{""index"": 1, ""cas_rn"": ""614-16-4"", ""smiles"": ""N#CCC(=O)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""14333-92-7"", ""smiles"": ""CCc1ccc(C(=O)C=O)cc1""}]","[{""index"": 1, ""cas_rn"": ""2225117-03-1"", ""yield_pct"": ""75"", ""smiles"": ""CCc1ccc(-c2oc(-c3ccccc3)c(C#N)c2/C(C(N)=O)=C(/O)c2ccccc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""75-91-2""}, {""index"": 2, ""cas_rn"": ""121-44-8""}]",[],"[{""index"": 1, ""cas_rn"": ""108-88-3""}, {""index"": 2, ""cas_rn"": ""124-18-5""}]","stereoselective, Knoevenagel condensation followed by Michael addition, selective amidation, and Paal-Knorr cyclization",
31-118-CAS-19809519,31-118-CAS-19809519,Reaction_20251110_2143 (3).rdf,Paal–Knorr synthesis,72,,,O=CC(=O)c1ccccc1.Cc1ccc(C(=O)CC#N)cc1,Cc1ccc(/C(O)=C(/C(N)=O)c2c(-c3ccccc3)oc(-c3ccc(C)cc3)c2C#N)cc1,O=CC(=O)c1ccccc1.Cc1ccc(C(=O)CC#N)cc1>>Cc1ccc(/C(O)=C(/C(N)=O)c2c(-c3ccccc3)oc(-c3ccc(C)cc3)c2C#N)cc1,One-Pot Tandem Approach to Functionalized 3-Hydroxy-2-furanyl-acrylamides,"Mupparapu, Nagaraju; Khan, Shahnawaz; Bandhoria, Pankaj; Athimoolam, Shunmuganarayanan; Ahmed, Qazi Naveed","ACS Omega (2018), 3(5), 5445-5452","One-Pot Tandem Approach to Functionalized 3-Hydroxy-2-furanyl-acrylamides | Mupparapu, Nagaraju; Khan, Shahnawaz; Bandhoria, Pankaj; Athimoolam, Shunmuganarayanan; Ahmed, Qazi Naveed | ACS Omega (2018), 3(5), 5445-5452","1074-12-0, 7391-28-8",2225117-04-2,"75-91-2, 121-44-8",,"108-88-3, 124-18-5",,,,,,,1,1,72,,,,,,,"{""1"": 72}","[{""index"": 1, ""cas_rn"": ""1074-12-0"", ""smiles"": ""O=CC(=O)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""7391-28-8"", ""smiles"": ""Cc1ccc(C(=O)CC#N)cc1""}]","[{""index"": 1, ""cas_rn"": ""2225117-04-2"", ""yield_pct"": ""72"", ""smiles"": ""Cc1ccc(/C(O)=C(/C(N)=O)c2c(-c3ccccc3)oc(-c3ccc(C)cc3)c2C#N)cc1""}]","[{""index"": 1, ""cas_rn"": ""75-91-2""}, {""index"": 2, ""cas_rn"": ""121-44-8""}]",[],"[{""index"": 1, ""cas_rn"": ""108-88-3""}, {""index"": 2, ""cas_rn"": ""124-18-5""}]","stereoselective, Knoevenagel condensation followed by Michael addition, selective amidation, and Paal-Knorr cyclization, alternative reaction conditions gave lower yield, alternative preparation shown",
31-118-CAS-19809521,31-118-CAS-19809521,Reaction_20251110_2143 (3).rdf,Paal–Knorr synthesis,70,,,O=CC(=O)c1ccccc1.N#CCC(=O)c1ccc(Br)cc1,N#Cc1c(-c2ccc(Br)cc2)oc(-c2ccccc2)c1/C(C(N)=O)=C(/O)c1ccc(Br)cc1,O=CC(=O)c1ccccc1.N#CCC(=O)c1ccc(Br)cc1>>N#Cc1c(-c2ccc(Br)cc2)oc(-c2ccccc2)c1/C(C(N)=O)=C(/O)c1ccc(Br)cc1,One-Pot Tandem Approach to Functionalized 3-Hydroxy-2-furanyl-acrylamides,"Mupparapu, Nagaraju; Khan, Shahnawaz; Bandhoria, Pankaj; Athimoolam, Shunmuganarayanan; Ahmed, Qazi Naveed","ACS Omega (2018), 3(5), 5445-5452","One-Pot Tandem Approach to Functionalized 3-Hydroxy-2-furanyl-acrylamides | Mupparapu, Nagaraju; Khan, Shahnawaz; Bandhoria, Pankaj; Athimoolam, Shunmuganarayanan; Ahmed, Qazi Naveed | ACS Omega (2018), 3(5), 5445-5452","1074-12-0, 4592-94-3",2225117-05-3,"75-91-2, 121-44-8",,"108-88-3, 124-18-5",,,,,,,1,1,70,,,,,,,"{""1"": 70}","[{""index"": 1, ""cas_rn"": ""1074-12-0"", ""smiles"": ""O=CC(=O)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""4592-94-3"", ""smiles"": ""N#CCC(=O)c1ccc(Br)cc1""}]","[{""index"": 1, ""cas_rn"": ""2225117-05-3"", ""yield_pct"": ""70"", ""smiles"": ""N#Cc1c(-c2ccc(Br)cc2)oc(-c2ccccc2)c1/C(C(N)=O)=C(/O)c1ccc(Br)cc1""}]","[{""index"": 1, ""cas_rn"": ""75-91-2""}, {""index"": 2, ""cas_rn"": ""121-44-8""}]",[],"[{""index"": 1, ""cas_rn"": ""108-88-3""}, {""index"": 2, ""cas_rn"": ""124-18-5""}]","stereoselective, Knoevenagel condensation followed by Michael addition, selective amidation, and Paal-Knorr cyclization",
31-118-CAS-19809523,31-118-CAS-19809523,Reaction_20251110_2143 (3).rdf,Paal–Knorr synthesis,72,,,O=CC(=O)c1ccccc1.N#CCC(=O)c1ccc(Cl)cc1,N#Cc1c(-c2ccc(Cl)cc2)oc(-c2ccccc2)c1/C(C(N)=O)=C(/O)c1ccc(Cl)cc1,O=CC(=O)c1ccccc1.N#CCC(=O)c1ccc(Cl)cc1>>N#Cc1c(-c2ccc(Cl)cc2)oc(-c2ccccc2)c1/C(C(N)=O)=C(/O)c1ccc(Cl)cc1,One-Pot Tandem Approach to Functionalized 3-Hydroxy-2-furanyl-acrylamides,"Mupparapu, Nagaraju; Khan, Shahnawaz; Bandhoria, Pankaj; Athimoolam, Shunmuganarayanan; Ahmed, Qazi Naveed","ACS Omega (2018), 3(5), 5445-5452","One-Pot Tandem Approach to Functionalized 3-Hydroxy-2-furanyl-acrylamides | Mupparapu, Nagaraju; Khan, Shahnawaz; Bandhoria, Pankaj; Athimoolam, Shunmuganarayanan; Ahmed, Qazi Naveed | ACS Omega (2018), 3(5), 5445-5452","1074-12-0, 4640-66-8",2225117-07-5,"75-91-2, 121-44-8",,"108-88-3, 124-18-5",,,,,,,1,1,72,,,,,,,"{""1"": 72}","[{""index"": 1, ""cas_rn"": ""1074-12-0"", ""smiles"": ""O=CC(=O)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""4640-66-8"", ""smiles"": ""N#CCC(=O)c1ccc(Cl)cc1""}]","[{""index"": 1, ""cas_rn"": ""2225117-07-5"", ""yield_pct"": ""72"", ""smiles"": ""N#Cc1c(-c2ccc(Cl)cc2)oc(-c2ccccc2)c1/C(C(N)=O)=C(/O)c1ccc(Cl)cc1""}]","[{""index"": 1, ""cas_rn"": ""75-91-2""}, {""index"": 2, ""cas_rn"": ""121-44-8""}]",[],"[{""index"": 1, ""cas_rn"": ""108-88-3""}, {""index"": 2, ""cas_rn"": ""124-18-5""}]","stereoselective, Knoevenagel condensation followed by Michael addition, selective amidation, and Paal-Knorr cyclization",
