reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-022-CAS-18494980,SuFEx,,,,Cc1ccc(S(=O)(=O)Cl)cc1.CC(C)(C)OC(=O)N[C@H](CO)Cc1ccc2ccccc2c1>>Cc1ccc(S(=O)(=O)OC[C@H](Cc2ccc3ccccc3c2)NC(=O)OC(C)(C)C)cc1,"Angewandte Chemie, International Edition (2018), 57(7), 1939-1943","1761-61-1, 6829-40-9, 1819971-27-1","1339031-01-4, 3058662-73-7",121-44-8,,75-09-2,,,,,,,1,1,,,,,,,,
31-022-CAS-18494981,SuFEx,69,,,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.N[C@H](CO)Cc1ccc2ccccc2c1.Cc1ccc(S(=O)(=O)Cl)cc1>>Cc1ccc(S(=O)(=O)OC[C@H](Cc2ccc3ccccc3c2)NC(=O)OC(C)(C)C)cc1,"Angewandte Chemie, International Edition (2018), 57(7), 1939-1943","150-76-5, 2446069-72-1",2446070-03-5,121-44-8,,75-09-2,,,,,,,2,1,69,,,,,,,
31-022-CAS-19174352,SuFEx,80,,,Oc1ccccc1.CCOC(=O)c1ccccc1/C=C/S(=O)(=O)F>>CCOC(=O)c1ccccc1/C=C/S(=O)(=O)Oc1ccccc1,"European Journal of Organic Chemistry (2018), 2018(32), 4407-4410","533-31-3, 2948304-31-0",2948304-57-0,"144-55-8, 6674-22-2",,75-09-2,,,,,,,1,1,80,,,,,,,
31-022-CAS-19839508,SuFEx,90,,,COc1ccc(O)cc1.O=S(=O)(F)CCn1cc(-c2ccccc2)nn1>>COc1ccc(OS(=O)(=O)CCn2cc(-c3ccccc3)nn2)cc1,"European Journal of Organic Chemistry (2019), 2019(8), 1763-1769","1562377-04-1, 2293356-75-7",3058662-61-3,534-17-8,,75-05-8,,,,,,,1,1,90,,,,,,,
31-022-CAS-19839509,SuFEx,91,,,Oc1ccc(OCc2ccccc2)cc1.O=S(=O)(F)CCn1cc(-c2ccccc2)nn1>>O=S(=O)(CCn1cc(-c2ccccc2)nn1)Oc1ccc(OCc2ccccc2)cc1,"European Journal of Organic Chemistry (2019), 2019(8), 1763-1769","345-64-2, 368-91-2",3079982-04-7,534-17-8,,75-05-8,,,,,,,1,1,91,,,,,,,
31-022-CAS-19839510,SuFEx,87,,,Oc1cccc2cccnc12.O=S(=O)(F)CCn1cc(-c2ccccc2)nn1>>O=S(=O)(CCn1cc(-c2ccccc2)nn1)Oc1cccc2cccnc12,"European Journal of Organic Chemistry (2019), 2019(8), 1763-1769","98-59-9, 446-65-1",84877-44-1,534-17-8,,75-05-8,,,,,,,1,1,87,,,,,,,
31-022-CAS-20676630,SuFEx,76,,,Cc1ccc(O)cc1C.C=C(c1cccc(C(C)C)c1)S(=O)(=O)F>>C=C(c1cccc(C(C)C)c1)S(=O)(=O)Oc1ccc(C)c(C)c1,"European Journal of Organic Chemistry (2019), 2019(35), 6101-6105","99-07-0, 2451921-55-2",2610620-61-4,584-08-7,,75-05-8,,,,,,,1,1,76,,,,,,,chemoselective
31-022-CAS-21992351,SuFEx,99,,,Cc1ccc(O)cc1C.O=S(=O)(F)/C=C/N1CCCC1>>Cc1ccc(OS(=O)(=O)/C=C/N2CCCC2)cc1C,"Organic Letters (2020), 22(11), 4316-4321","108-95-2, 2260936-68-1",63059-26-7,1310-58-3,,75-05-8,,,,,,,1,1,99,,,,,,,
31-022-CAS-21992352,SuFEx,69,,,Oc1ccc2c(c1)OCO2.COc1ccccc1N1CCN(/C=C/S(=O)(=O)F)CC1>>COc1ccccc1N1CCN(/C=C/S(=O)(=O)Oc2ccc3c(c2)OCO3)CC1,"Organic Letters (2020), 22(11), 4316-4321","24424-99-5, 153223-09-7, 98-59-9",2174946-31-5,1310-58-3,,75-05-8,,,,,,,1,1,69,,,,,,,
31-022-CAS-21992353,SuFEx,88,,,CC(C)(C)c1ccc(O)cc1.O=S(=O)(F)/C=C/N1CCOCC1>>CC(C)(C)c1ccc(OS(=O)(=O)/C=C/N2CCOCC2)cc1,"Organic Letters (2020), 22(11), 4316-4321","455-16-3, 107018-37-1",3079981-82-8,1310-58-3,,75-05-8,,,,,,,1,1,88,,,,,,,
