reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-004-CAS-10531234,31-004-CAS-10531234,Reaction_20251105_2029.rdf,Sulfonamide formation,,,,CCS(=O)(=O)Cl.C=CCc1ccccc1N.CCOC(=O)CP(=O)(OCC)OCC,CCS(=O)(=O)Nc1ccccc1C/C=C/CO,CCS(=O)(=O)Cl.C=CCc1ccccc1N.CCOC(=O)CP(=O)(OCC)OCC>>CCS(=O)(=O)Nc1ccccc1C/C=C/CO,Hg(OTF)2-BINAPHANE-catalyzed enantioselective anilino sulfonamide allyl alcohol cyclization,"Yamamoto, Hirofumi; Ho, Elisabeth; Namba, Kosuke; Imagawa, Hiroshi; Nishizawa, Mugio","Chemistry - A European Journal (2010), 16(37), 11271-11274, S11271/1-S11271/114","Hg(OTF)2-BINAPHANE-catalyzed enantioselective anilino sulfonamide allyl alcohol cyclization | Yamamoto, Hirofumi; Ho, Elisabeth; Namba, Kosuke; Imagawa, Hiroshi; Nishizawa, Mugio | Chemistry - A European Journal (2010), 16(37), 11271-11274, S11271/1-S11271/114","594-44-5, 32704-22-6, 867-13-0",1258868-49-3,"110-86-1, 7529-22-8, 7790-28-5, 7646-69-7, 12125-02-9, 1191-15-7",20816-12-0,"67-66-3, 75-05-8, 7732-18-5, 60-29-7, 109-99-9, 75-09-2",,,,,,,7,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""594-44-5"", ""smiles"": ""CCS(=O)(=O)Cl""}, {""index"": 2, ""cas_rn"": ""32704-22-6"", ""smiles"": ""C=CCc1ccccc1N""}, {""index"": 3, ""cas_rn"": ""867-13-0"", ""smiles"": ""CCOC(=O)CP(=O)(OCC)OCC""}]","[{""index"": 1, ""cas_rn"": ""1258868-49-3"", ""smiles"": ""CCS(=O)(=O)Nc1ccccc1C/C=C/CO""}]","[{""index"": 1, ""cas_rn"": ""110-86-1""}, {""index"": 2, ""cas_rn"": ""7529-22-8""}, {""index"": 3, ""cas_rn"": ""7790-28-5""}, {""index"": 4, ""cas_rn"": ""7646-69-7""}, {""index"": 5, ""cas_rn"": ""12125-02-9""}, {""index"": 6, ""cas_rn"": ""1191-15-7""}]","[{""index"": 1, ""cas_rn"": ""20816-12-0""}]","[{""index"": 1, ""cas_rn"": ""67-66-3""}, {""index"": 2, ""cas_rn"": ""75-05-8""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}, {""index"": 4, ""cas_rn"": ""60-29-7""}, {""index"": 5, ""cas_rn"": ""109-99-9""}, {""index"": 6, ""cas_rn"": ""75-09-2""}]","stereoselective, Wittig reaction",
31-004-CAS-12655784,31-004-CAS-12655784,Reaction_20251105_2029.rdf,Sulfonamide formation,,,,CC(C)S(=O)(=O)Cl.C=CCc1ccccc1N.CCOC(=O)CP(=O)(OCC)OCC,CC(C)S(=O)(=O)Nc1ccccc1C/C=C/CO,CC(C)S(=O)(=O)Cl.C=CCc1ccccc1N.CCOC(=O)CP(=O)(OCC)OCC>>CC(C)S(=O)(=O)Nc1ccccc1C/C=C/CO,Hg(OTF)2-BINAPHANE-catalyzed enantioselective anilino sulfonamide allyl alcohol cyclization,"Yamamoto, Hirofumi; Ho, Elisabeth; Namba, Kosuke; Imagawa, Hiroshi; Nishizawa, Mugio","Chemistry - A European Journal (2010), 16(37), 11271-11274, S11271/1-S11271/114","Hg(OTF)2-BINAPHANE-catalyzed enantioselective anilino sulfonamide allyl alcohol cyclization | Yamamoto, Hirofumi; Ho, Elisabeth; Namba, Kosuke; Imagawa, Hiroshi; Nishizawa, Mugio | Chemistry - A European Journal (2010), 16(37), 11271-11274, S11271/1-S11271/114","10147-37-2, 32704-22-6, 867-13-0",1258868-50-6,"110-86-1, 7529-22-8, 7790-28-5, 7646-69-7, 12125-02-9, 1191-15-7",20816-12-0,"67-66-3, 75-05-8, 7732-18-5, 60-29-7, 109-99-9, 75-09-2",,,,,,,7,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""10147-37-2"", ""smiles"": ""CC(C)S(=O)(=O)Cl""}, {""index"": 2, ""cas_rn"": ""32704-22-6"", ""smiles"": ""C=CCc1ccccc1N""}, {""index"": 3, ""cas_rn"": ""867-13-0"", ""smiles"": ""CCOC(=O)CP(=O)(OCC)OCC""}]","[{""index"": 1, ""cas_rn"": ""1258868-50-6"", ""smiles"": ""CC(C)S(=O)(=O)Nc1ccccc1C/C=C/CO""}]","[{""index"": 1, ""cas_rn"": ""110-86-1""}, {""index"": 2, ""cas_rn"": ""7529-22-8""}, {""index"": 3, ""cas_rn"": ""7790-28-5""}, {""index"": 4, ""cas_rn"": ""7646-69-7""}, {""index"": 5, ""cas_rn"": ""12125-02-9""}, {""index"": 6, ""cas_rn"": ""1191-15-7""}]","[{""index"": 1, ""cas_rn"": ""20816-12-0""}]","[{""index"": 1, ""cas_rn"": ""67-66-3""}, {""index"": 2, ""cas_rn"": ""75-05-8""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}, {""index"": 4, ""cas_rn"": ""60-29-7""}, {""index"": 5, ""cas_rn"": ""109-99-9""}, {""index"": 6, ""cas_rn"": ""75-09-2""}]","stereoselective, Wittig reaction",
31-004-CAS-13263057,31-004-CAS-13263057,Reaction_20251105_2029.rdf,Sulfonamide formation,,,,O=S(=O)(Cl)c1ccccc1.C=CCc1ccccc1N.CCOC(=O)CP(=O)(OCC)OCC,O=S(=O)(Nc1ccccc1C/C=C/CO)c1ccccc1,O=S(=O)(Cl)c1ccccc1.C=CCc1ccccc1N.CCOC(=O)CP(=O)(OCC)OCC>>O=S(=O)(Nc1ccccc1C/C=C/CO)c1ccccc1,Hg(OTF)2-BINAPHANE-catalyzed enantioselective anilino sulfonamide allyl alcohol cyclization,"Yamamoto, Hirofumi; Ho, Elisabeth; Namba, Kosuke; Imagawa, Hiroshi; Nishizawa, Mugio","Chemistry - A European Journal (2010), 16(37), 11271-11274, S11271/1-S11271/114","Hg(OTF)2-BINAPHANE-catalyzed enantioselective anilino sulfonamide allyl alcohol cyclization | Yamamoto, Hirofumi; Ho, Elisabeth; Namba, Kosuke; Imagawa, Hiroshi; Nishizawa, Mugio | Chemistry - A European Journal (2010), 16(37), 11271-11274, S11271/1-S11271/114","98-09-9, 32704-22-6, 867-13-0",1258868-43-7,"110-86-1, 7529-22-8, 7790-28-5, 7646-69-7, 12125-02-9, 1191-15-7",20816-12-0,"67-66-3, 75-05-8, 7732-18-5, 60-29-7, 109-99-9, 75-09-2",,,,,,,7,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""98-09-9"", ""smiles"": ""O=S(=O)(Cl)c1ccccc1""}, {""index"": 2, ""cas_rn"": ""32704-22-6"", ""smiles"": ""C=CCc1ccccc1N""}, {""index"": 3, ""cas_rn"": ""867-13-0"", ""smiles"": ""CCOC(=O)CP(=O)(OCC)OCC""}]","[{""index"": 1, ""cas_rn"": ""1258868-43-7"", ""smiles"": ""O=S(=O)(Nc1ccccc1C/C=C/CO)c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""110-86-1""}, {""index"": 2, ""cas_rn"": ""7529-22-8""}, {""index"": 3, ""cas_rn"": ""7790-28-5""}, {""index"": 4, ""cas_rn"": ""7646-69-7""}, {""index"": 5, ""cas_rn"": ""12125-02-9""}, {""index"": 6, ""cas_rn"": ""1191-15-7""}]","[{""index"": 1, ""cas_rn"": ""20816-12-0""}]","[{""index"": 1, ""cas_rn"": ""67-66-3""}, {""index"": 2, ""cas_rn"": ""75-05-8""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}, {""index"": 4, ""cas_rn"": ""60-29-7""}, {""index"": 5, ""cas_rn"": ""109-99-9""}, {""index"": 6, ""cas_rn"": ""75-09-2""}]","stereoselective, Wittig reaction",
31-004-CAS-15401213,31-004-CAS-15401213,Reaction_20251105_2029.rdf,Sulfonamide formation,,,,Cc1cc(C)cc(S(=O)(=O)Cl)c1.C=CCc1ccccc1N.CCOC(=O)CP(=O)(OCC)OCC,Cc1cc(C)cc(S(=O)(=O)Nc2ccccc2C/C=C/CO)c1,Cc1cc(C)cc(S(=O)(=O)Cl)c1.C=CCc1ccccc1N.CCOC(=O)CP(=O)(OCC)OCC>>Cc1cc(C)cc(S(=O)(=O)Nc2ccccc2C/C=C/CO)c1,Hg(OTF)2-BINAPHANE-catalyzed enantioselective anilino sulfonamide allyl alcohol cyclization,"Yamamoto, Hirofumi; Ho, Elisabeth; Namba, Kosuke; Imagawa, Hiroshi; Nishizawa, Mugio","Chemistry - A European Journal (2010), 16(37), 11271-11274, S11271/1-S11271/114","Hg(OTF)2-BINAPHANE-catalyzed enantioselective anilino sulfonamide allyl alcohol cyclization | Yamamoto, Hirofumi; Ho, Elisabeth; Namba, Kosuke; Imagawa, Hiroshi; Nishizawa, Mugio | Chemistry - A European Journal (2010), 16(37), 11271-11274, S11271/1-S11271/114","2905-27-3, 32704-22-6, 867-13-0",1258868-44-8,"110-86-1, 7529-22-8, 7790-28-5, 7646-69-7, 12125-02-9, 1191-15-7",20816-12-0,"67-66-3, 75-05-8, 7732-18-5, 60-29-7, 109-99-9, 75-09-2",,,,,,,7,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""2905-27-3"", ""smiles"": ""Cc1cc(C)cc(S(=O)(=O)Cl)c1""}, {""index"": 2, ""cas_rn"": ""32704-22-6"", ""smiles"": ""C=CCc1ccccc1N""}, {""index"": 3, ""cas_rn"": ""867-13-0"", ""smiles"": ""CCOC(=O)CP(=O)(OCC)OCC""}]","[{""index"": 1, ""cas_rn"": ""1258868-44-8"", ""smiles"": ""Cc1cc(C)cc(S(=O)(=O)Nc2ccccc2C/C=C/CO)c1""}]","[{""index"": 1, ""cas_rn"": ""110-86-1""}, {""index"": 2, ""cas_rn"": ""7529-22-8""}, {""index"": 3, ""cas_rn"": ""7790-28-5""}, {""index"": 4, ""cas_rn"": ""7646-69-7""}, {""index"": 5, ""cas_rn"": ""12125-02-9""}, {""index"": 6, ""cas_rn"": ""1191-15-7""}]","[{""index"": 1, ""cas_rn"": ""20816-12-0""}]","[{""index"": 1, ""cas_rn"": ""67-66-3""}, {""index"": 2, ""cas_rn"": ""75-05-8""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}, {""index"": 4, ""cas_rn"": ""60-29-7""}, {""index"": 5, ""cas_rn"": ""109-99-9""}, {""index"": 6, ""cas_rn"": ""75-09-2""}]","stereoselective, Wittig reaction",
31-004-CAS-2012067,31-004-CAS-2012067,Reaction_20251105_2029.rdf,Sulfonamide formation,,,,Cc1cc(C)c(S(=O)(=O)Cl)c(C)c1.C=CCc1ccccc1N.CCOC(=O)CP(=O)(OCC)OCC,Cc1cc(C)c(S(=O)(=O)Nc2ccccc2C/C=C/CO)c(C)c1,Cc1cc(C)c(S(=O)(=O)Cl)c(C)c1.C=CCc1ccccc1N.CCOC(=O)CP(=O)(OCC)OCC>>Cc1cc(C)c(S(=O)(=O)Nc2ccccc2C/C=C/CO)c(C)c1,Hg(OTF)2-BINAPHANE-catalyzed enantioselective anilino sulfonamide allyl alcohol cyclization,"Yamamoto, Hirofumi; Ho, Elisabeth; Namba, Kosuke; Imagawa, Hiroshi; Nishizawa, Mugio","Chemistry - A European Journal (2010), 16(37), 11271-11274, S11271/1-S11271/114","Hg(OTF)2-BINAPHANE-catalyzed enantioselective anilino sulfonamide allyl alcohol cyclization | Yamamoto, Hirofumi; Ho, Elisabeth; Namba, Kosuke; Imagawa, Hiroshi; Nishizawa, Mugio | Chemistry - A European Journal (2010), 16(37), 11271-11274, S11271/1-S11271/114","773-64-8, 32704-22-6, 867-13-0",1258868-45-9,"110-86-1, 7529-22-8, 7790-28-5, 7646-69-7, 12125-02-9, 1191-15-7",20816-12-0,"67-66-3, 75-05-8, 7732-18-5, 60-29-7, 109-99-9, 75-09-2",,,,,,,7,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""773-64-8"", ""smiles"": ""Cc1cc(C)c(S(=O)(=O)Cl)c(C)c1""}, {""index"": 2, ""cas_rn"": ""32704-22-6"", ""smiles"": ""C=CCc1ccccc1N""}, {""index"": 3, ""cas_rn"": ""867-13-0"", ""smiles"": ""CCOC(=O)CP(=O)(OCC)OCC""}]","[{""index"": 1, ""cas_rn"": ""1258868-45-9"", ""smiles"": ""Cc1cc(C)c(S(=O)(=O)Nc2ccccc2C/C=C/CO)c(C)c1""}]","[{""index"": 1, ""cas_rn"": ""110-86-1""}, {""index"": 2, ""cas_rn"": ""7529-22-8""}, {""index"": 3, ""cas_rn"": ""7790-28-5""}, {""index"": 4, ""cas_rn"": ""7646-69-7""}, {""index"": 5, ""cas_rn"": ""12125-02-9""}, {""index"": 6, ""cas_rn"": ""1191-15-7""}]","[{""index"": 1, ""cas_rn"": ""20816-12-0""}]","[{""index"": 1, ""cas_rn"": ""67-66-3""}, {""index"": 2, ""cas_rn"": ""75-05-8""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}, {""index"": 4, ""cas_rn"": ""60-29-7""}, {""index"": 5, ""cas_rn"": ""109-99-9""}, {""index"": 6, ""cas_rn"": ""75-09-2""}]","stereoselective, Wittig reaction",
31-004-CAS-4137825,31-004-CAS-4137825,Reaction_20251105_2029.rdf,Sulfonamide formation,,,,O=S(=O)(Cl)c1ccc(-c2ccccc2)cc1.C=CCc1ccccc1N.CCOC(=O)CP(=O)(OCC)OCC,O=S(=O)(Nc1ccccc1C/C=C/CO)c1ccc(-c2ccccc2)cc1,O=S(=O)(Cl)c1ccc(-c2ccccc2)cc1.C=CCc1ccccc1N.CCOC(=O)CP(=O)(OCC)OCC>>O=S(=O)(Nc1ccccc1C/C=C/CO)c1ccc(-c2ccccc2)cc1,Hg(OTF)2-BINAPHANE-catalyzed enantioselective anilino sulfonamide allyl alcohol cyclization,"Yamamoto, Hirofumi; Ho, Elisabeth; Namba, Kosuke; Imagawa, Hiroshi; Nishizawa, Mugio","Chemistry - A European Journal (2010), 16(37), 11271-11274, S11271/1-S11271/114","Hg(OTF)2-BINAPHANE-catalyzed enantioselective anilino sulfonamide allyl alcohol cyclization | Yamamoto, Hirofumi; Ho, Elisabeth; Namba, Kosuke; Imagawa, Hiroshi; Nishizawa, Mugio | Chemistry - A European Journal (2010), 16(37), 11271-11274, S11271/1-S11271/114","1623-93-4, 32704-22-6, 867-13-0",1258868-46-0,"110-86-1, 7529-22-8, 7790-28-5, 7646-69-7, 12125-02-9, 1191-15-7",20816-12-0,"67-66-3, 75-05-8, 7732-18-5, 60-29-7, 109-99-9, 75-09-2",,,,,,,7,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""1623-93-4"", ""smiles"": ""O=S(=O)(Cl)c1ccc(-c2ccccc2)cc1""}, {""index"": 2, ""cas_rn"": ""32704-22-6"", ""smiles"": ""C=CCc1ccccc1N""}, {""index"": 3, ""cas_rn"": ""867-13-0"", ""smiles"": ""CCOC(=O)CP(=O)(OCC)OCC""}]","[{""index"": 1, ""cas_rn"": ""1258868-46-0"", ""smiles"": ""O=S(=O)(Nc1ccccc1C/C=C/CO)c1ccc(-c2ccccc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""110-86-1""}, {""index"": 2, ""cas_rn"": ""7529-22-8""}, {""index"": 3, ""cas_rn"": ""7790-28-5""}, {""index"": 4, ""cas_rn"": ""7646-69-7""}, {""index"": 5, ""cas_rn"": ""12125-02-9""}, {""index"": 6, ""cas_rn"": ""1191-15-7""}]","[{""index"": 1, ""cas_rn"": ""20816-12-0""}]","[{""index"": 1, ""cas_rn"": ""67-66-3""}, {""index"": 2, ""cas_rn"": ""75-05-8""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}, {""index"": 4, ""cas_rn"": ""60-29-7""}, {""index"": 5, ""cas_rn"": ""109-99-9""}, {""index"": 6, ""cas_rn"": ""75-09-2""}]","stereoselective, Wittig reaction",
31-004-CAS-6274945,31-004-CAS-6274945,Reaction_20251105_2029.rdf,Sulfonamide formation,,,,CC(C)(C)c1ccc(S(=O)(=O)Cl)cc1.C=CCc1ccccc1N.CCOC(=O)CP(=O)(OCC)OCC,CC(C)(C)c1ccc(S(=O)(=O)Nc2ccccc2C/C=C/CO)cc1,CC(C)(C)c1ccc(S(=O)(=O)Cl)cc1.C=CCc1ccccc1N.CCOC(=O)CP(=O)(OCC)OCC>>CC(C)(C)c1ccc(S(=O)(=O)Nc2ccccc2C/C=C/CO)cc1,Hg(OTF)2-BINAPHANE-catalyzed enantioselective anilino sulfonamide allyl alcohol cyclization,"Yamamoto, Hirofumi; Ho, Elisabeth; Namba, Kosuke; Imagawa, Hiroshi; Nishizawa, Mugio","Chemistry - A European Journal (2010), 16(37), 11271-11274, S11271/1-S11271/114","Hg(OTF)2-BINAPHANE-catalyzed enantioselective anilino sulfonamide allyl alcohol cyclization | Yamamoto, Hirofumi; Ho, Elisabeth; Namba, Kosuke; Imagawa, Hiroshi; Nishizawa, Mugio | Chemistry - A European Journal (2010), 16(37), 11271-11274, S11271/1-S11271/114","15084-51-2, 32704-22-6, 867-13-0",1258868-47-1,"110-86-1, 7529-22-8, 7790-28-5, 7646-69-7, 12125-02-9, 1191-15-7",20816-12-0,"67-66-3, 75-05-8, 7732-18-5, 60-29-7, 109-99-9, 75-09-2",,,,,,,7,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""15084-51-2"", ""smiles"": ""CC(C)(C)c1ccc(S(=O)(=O)Cl)cc1""}, {""index"": 2, ""cas_rn"": ""32704-22-6"", ""smiles"": ""C=CCc1ccccc1N""}, {""index"": 3, ""cas_rn"": ""867-13-0"", ""smiles"": ""CCOC(=O)CP(=O)(OCC)OCC""}]","[{""index"": 1, ""cas_rn"": ""1258868-47-1"", ""smiles"": ""CC(C)(C)c1ccc(S(=O)(=O)Nc2ccccc2C/C=C/CO)cc1""}]","[{""index"": 1, ""cas_rn"": ""110-86-1""}, {""index"": 2, ""cas_rn"": ""7529-22-8""}, {""index"": 3, ""cas_rn"": ""7790-28-5""}, {""index"": 4, ""cas_rn"": ""7646-69-7""}, {""index"": 5, ""cas_rn"": ""12125-02-9""}, {""index"": 6, ""cas_rn"": ""1191-15-7""}]","[{""index"": 1, ""cas_rn"": ""20816-12-0""}]","[{""index"": 1, ""cas_rn"": ""67-66-3""}, {""index"": 2, ""cas_rn"": ""75-05-8""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}, {""index"": 4, ""cas_rn"": ""60-29-7""}, {""index"": 5, ""cas_rn"": ""109-99-9""}, {""index"": 6, ""cas_rn"": ""75-09-2""}]","stereoselective, Wittig reaction",
31-004-CAS-8403864,31-004-CAS-8403864,Reaction_20251105_2029.rdf,Sulfonamide formation,,,,CS(=O)(=O)Cl.C=CCc1ccccc1N.CCOC(=O)CP(=O)(OCC)OCC,CS(=O)(=O)Nc1ccccc1C/C=C/CO,CS(=O)(=O)Cl.C=CCc1ccccc1N.CCOC(=O)CP(=O)(OCC)OCC>>CS(=O)(=O)Nc1ccccc1C/C=C/CO,Hg(OTF)2-BINAPHANE-catalyzed enantioselective anilino sulfonamide allyl alcohol cyclization,"Yamamoto, Hirofumi; Ho, Elisabeth; Namba, Kosuke; Imagawa, Hiroshi; Nishizawa, Mugio","Chemistry - A European Journal (2010), 16(37), 11271-11274, S11271/1-S11271/114","Hg(OTF)2-BINAPHANE-catalyzed enantioselective anilino sulfonamide allyl alcohol cyclization | Yamamoto, Hirofumi; Ho, Elisabeth; Namba, Kosuke; Imagawa, Hiroshi; Nishizawa, Mugio | Chemistry - A European Journal (2010), 16(37), 11271-11274, S11271/1-S11271/114","124-63-0, 32704-22-6, 867-13-0",1258868-48-2,"110-86-1, 7529-22-8, 7790-28-5, 7646-69-7, 12125-02-9, 1191-15-7",20816-12-0,"67-66-3, 75-05-8, 7732-18-5, 60-29-7, 109-99-9, 75-09-2",,,,,,,7,1,,,,,,,,{},"[{""index"": 1, ""cas_rn"": ""124-63-0"", ""smiles"": ""CS(=O)(=O)Cl""}, {""index"": 2, ""cas_rn"": ""32704-22-6"", ""smiles"": ""C=CCc1ccccc1N""}, {""index"": 3, ""cas_rn"": ""867-13-0"", ""smiles"": ""CCOC(=O)CP(=O)(OCC)OCC""}]","[{""index"": 1, ""cas_rn"": ""1258868-48-2"", ""smiles"": ""CS(=O)(=O)Nc1ccccc1C/C=C/CO""}]","[{""index"": 1, ""cas_rn"": ""110-86-1""}, {""index"": 2, ""cas_rn"": ""7529-22-8""}, {""index"": 3, ""cas_rn"": ""7790-28-5""}, {""index"": 4, ""cas_rn"": ""7646-69-7""}, {""index"": 5, ""cas_rn"": ""12125-02-9""}, {""index"": 6, ""cas_rn"": ""1191-15-7""}]","[{""index"": 1, ""cas_rn"": ""20816-12-0""}]","[{""index"": 1, ""cas_rn"": ""67-66-3""}, {""index"": 2, ""cas_rn"": ""75-05-8""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}, {""index"": 4, ""cas_rn"": ""60-29-7""}, {""index"": 5, ""cas_rn"": ""109-99-9""}, {""index"": 6, ""cas_rn"": ""75-09-2""}]","stereoselective, Wittig reaction",
31-008-CAS-10104231,31-008-CAS-10104231,Reaction_20251105_2029.rdf,Sulfonamide formation,51,,,Cc1ccc(S(=O)(=O)Cl)cc1.N[C@H](CO)C(=O)O.CC(C)(C)[Si](C)(C)Cl.Nc1ccccc1,Cc1ccc(S(=O)(=O)N[C@H](CO[Si](C)(C)C(C)(C)C)C(=O)Nc2ccccc2)cc1,Cc1ccc(S(=O)(=O)Cl)cc1.N[C@H](CO)C(=O)O.CC(C)(C)[Si](C)(C)Cl.Nc1ccccc1>>Cc1ccc(S(=O)(=O)N[C@H](CO[Si](C)(C)C(C)(C)C)C(=O)Nc2ccccc2)cc1,Palladium-Catalyzed Modular Synthesis of Substituted Piperazines and Related Nitrogen Heterocycles,"Montgomery, Thomas D.; Rawal, Viresh H.","Organic Letters (2016), 18(4), 740-743","Palladium-Catalyzed Modular Synthesis of Substituted Piperazines and Related Nitrogen Heterocycles | Montgomery, Thomas D.; Rawal, Viresh H. | Organic Letters (2016), 18(4), 740-743","98-59-9, 312-84-5, 18162-48-6, 62-53-3",1869927-34-3,"1310-73-2, 7647-01-0, 288-32-4, 7719-09-7",,"141-78-6, 7732-18-5, 109-99-9",,,,,,,7,1,51,,,,,,,"{""1"": 51}","[{""index"": 1, ""cas_rn"": ""98-59-9"", ""smiles"": ""Cc1ccc(S(=O)(=O)Cl)cc1""}, {""index"": 2, ""cas_rn"": ""312-84-5"", ""smiles"": ""N[C@H](CO)C(=O)O""}, {""index"": 3, ""cas_rn"": ""18162-48-6"", ""smiles"": ""CC(C)(C)[Si](C)(C)Cl""}, {""index"": 4, ""cas_rn"": ""62-53-3"", ""smiles"": ""Nc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""1869927-34-3"", ""yield_pct"": ""51"", ""smiles"": ""Cc1ccc(S(=O)(=O)N[C@H](CO[Si](C)(C)C(C)(C)C)C(=O)Nc2ccccc2)cc1""}]","[{""index"": 1, ""cas_rn"": ""1310-73-2""}, {""index"": 2, ""cas_rn"": ""7647-01-0""}, {""index"": 3, ""cas_rn"": ""288-32-4""}, {""index"": 4, ""cas_rn"": ""7719-09-7""}]",[],"[{""index"": 1, ""cas_rn"": ""141-78-6""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}, {""index"": 3, ""cas_rn"": ""109-99-9""}]",sealed tube used,
31-172-CAS-10251833,31-172-CAS-10251833,Reaction_20251105_2029.rdf,Sulfonamide formation,48,,0.083,O=C(O)CCCCC(=O)Nc1ccc([N+](=O)[O-])cc1Br.C#Cc1ccc(OC)cc1.O=S(=O)(Cl)c1ccc(F)cc1.C1CCNC1,COc1ccc(-c2cc3cc(NS(=O)(=O)c4ccc(N5CCCC5)cc4)ccc3[nH]2)cc1,O=C(O)CCCCC(=O)Nc1ccc([N+](=O)[O-])cc1Br.C#Cc1ccc(OC)cc1.O=S(=O)(Cl)c1ccc(F)cc1.C1CCNC1>>COc1ccc(-c2cc3cc(NS(=O)(=O)c4ccc(N5CCCC5)cc4)ccc3[nH]2)cc1,An engineered linker capable of promoting on-resin reactions for microwave-assisted solid-phase organic synthesis,"Sun, Li-Ping; Dai, Wei-Min","Angewandte Chemie, International Edition (2006), 45(43), 7255-7258","An engineered linker capable of promoting on-resin reactions for microwave-assisted solid-phase organic synthesis | Sun, Li-Ping; Dai, Wei-Min | Angewandte Chemie, International Edition (2006), 45(43), 7255-7258","919490-03-2, 768-60-5, 349-88-2, 123-75-1",919490-42-9,"110-89-4, 115057-37-9, 693-13-0, 2592-95-2, 29022-11-5, 7772-99-8, 142-71-2, 76-05-1","603-35-0, 7681-65-4, 13965-03-2","68-12-2, 121-44-8, 872-50-4, 75-09-2, 110-86-1, 109-99-9",,,resin-bound,,,,10,1,48,,,,,,,"{""1"": 48}","[{""index"": 1, ""cas_rn"": ""919490-03-2"", ""smiles"": ""O=C(O)CCCCC(=O)Nc1ccc([N+](=O)[O-])cc1Br""}, {""index"": 2, ""cas_rn"": ""768-60-5"", ""smiles"": ""C#Cc1ccc(OC)cc1""}, {""index"": 3, ""cas_rn"": ""349-88-2"", ""smiles"": ""O=S(=O)(Cl)c1ccc(F)cc1""}, {""index"": 4, ""cas_rn"": ""123-75-1"", ""smiles"": ""C1CCNC1""}]","[{""index"": 1, ""cas_rn"": ""919490-42-9"", ""yield_pct"": ""48"", ""smiles"": ""COc1ccc(-c2cc3cc(NS(=O)(=O)c4ccc(N5CCCC5)cc4)ccc3[nH]2)cc1""}]","[{""index"": 1, ""cas_rn"": ""110-89-4""}, {""index"": 2, ""cas_rn"": ""115057-37-9"", ""amd"": ""resin-bound""}, {""index"": 3, ""cas_rn"": ""693-13-0""}, {""index"": 4, ""cas_rn"": ""2592-95-2""}, {""index"": 5, ""cas_rn"": ""29022-11-5""}, {""index"": 6, ""cas_rn"": ""7772-99-8""}, {""index"": 7, ""cas_rn"": ""142-71-2""}, {""index"": 8, ""cas_rn"": ""76-05-1""}]","[{""index"": 1, ""cas_rn"": ""603-35-0""}, {""index"": 2, ""cas_rn"": ""7681-65-4""}, {""index"": 3, ""cas_rn"": ""13965-03-2""}]","[{""index"": 1, ""cas_rn"": ""68-12-2""}, {""index"": 2, ""cas_rn"": ""121-44-8""}, {""index"": 3, ""cas_rn"": ""872-50-4""}, {""index"": 4, ""cas_rn"": ""75-09-2""}, {""index"": 5, ""cas_rn"": ""110-86-1""}, {""index"": 6, ""cas_rn"": ""109-99-9""}]","microwave irradiation (for 5 min. can also be used second stage), microwave irradiation (stage 8), solid-supported reaction",
