reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-480-CAS-15777393,31-480-CAS-15777393,Reaction_20251110_1435.rdf,TPAPNMO. Catalytic Ru oxidations,89,,,COc1cccc(CO)c1OC(C)C,COc1cccc(C=O)c1OC(C)C,COc1cccc(CO)c1OC(C)C>>COc1cccc(C=O)c1OC(C)C,Selectivity Modulation of the Ley-Griffith TPAP Oxidation with N-Oxide Salts,"Moore, Peter W.; Jiao, Yanxiao; Mirzayans, Paul M.; Sheng, Lexter Ng Qi; Hooker, Jordan P.; Williams, Craig M.","European Journal of Organic Chemistry (2016), 2016(20), 3401-3407","Selectivity Modulation of the Ley-Griffith TPAP Oxidation with N-Oxide Salts | Moore, Peter W.; Jiao, Yanxiao; Mirzayans, Paul M.; Sheng, Lexter Ng Qi; Hooker, Jordan P.; Williams, Craig M. | European Journal of Organic Chemistry (2016), 2016(20), 3401-3407",99861-27-5,75792-35-7,1960452-05-4,114615-82-6,"75-05-8, 7732-18-5",,,,,,,3,1,89,,,,,,,"{""1"": 89}","[{""index"": 1, ""cas_rn"": ""99861-27-5"", ""smiles"": ""COc1cccc(CO)c1OC(C)C""}]","[{""index"": 1, ""cas_rn"": ""75792-35-7"", ""yield_pct"": ""89"", ""smiles"": ""COc1cccc(C=O)c1OC(C)C""}]","[{""index"": 1, ""cas_rn"": ""1960452-05-4""}]","[{""index"": 1, ""cas_rn"": ""114615-82-6""}]","[{""index"": 1, ""cas_rn"": ""75-05-8""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",optimization study (reagent),
31-480-CAS-15777410,31-480-CAS-15777410,Reaction_20251110_1435.rdf,TPAPNMO. Catalytic Ru oxidations,88,,,COc1ccc(CO)cc1,COc1ccc(C=O)cc1,COc1ccc(CO)cc1>>COc1ccc(C=O)cc1,Selectivity Modulation of the Ley-Griffith TPAP Oxidation with N-Oxide Salts,"Moore, Peter W.; Jiao, Yanxiao; Mirzayans, Paul M.; Sheng, Lexter Ng Qi; Hooker, Jordan P.; Williams, Craig M.","European Journal of Organic Chemistry (2016), 2016(20), 3401-3407","Selectivity Modulation of the Ley-Griffith TPAP Oxidation with N-Oxide Salts | Moore, Peter W.; Jiao, Yanxiao; Mirzayans, Paul M.; Sheng, Lexter Ng Qi; Hooker, Jordan P.; Williams, Craig M. | European Journal of Organic Chemistry (2016), 2016(20), 3401-3407",105-13-5,123-11-5,1960452-05-4,114615-82-6,"75-05-8, 7732-18-5",,,,,,,3,1,88,,,,,,,"{""1"": 88}","[{""index"": 1, ""cas_rn"": ""105-13-5"", ""smiles"": ""COc1ccc(CO)cc1""}]","[{""index"": 1, ""cas_rn"": ""123-11-5"", ""yield_pct"": ""88"", ""smiles"": ""COc1ccc(C=O)cc1""}]","[{""index"": 1, ""cas_rn"": ""1960452-05-4""}]","[{""index"": 1, ""cas_rn"": ""114615-82-6""}]","[{""index"": 1, ""cas_rn"": ""75-05-8""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",,
31-480-CAS-15777411,31-480-CAS-15777411,Reaction_20251110_1435.rdf,TPAPNMO. Catalytic Ru oxidations,97,,,OCc1ccc2c(c1)OCO2,O=Cc1ccc2c(c1)OCO2,OCc1ccc2c(c1)OCO2>>O=Cc1ccc2c(c1)OCO2,Selectivity Modulation of the Ley-Griffith TPAP Oxidation with N-Oxide Salts,"Moore, Peter W.; Jiao, Yanxiao; Mirzayans, Paul M.; Sheng, Lexter Ng Qi; Hooker, Jordan P.; Williams, Craig M.","European Journal of Organic Chemistry (2016), 2016(20), 3401-3407","Selectivity Modulation of the Ley-Griffith TPAP Oxidation with N-Oxide Salts | Moore, Peter W.; Jiao, Yanxiao; Mirzayans, Paul M.; Sheng, Lexter Ng Qi; Hooker, Jordan P.; Williams, Craig M. | European Journal of Organic Chemistry (2016), 2016(20), 3401-3407",495-76-1,120-57-0,1960452-05-4,114615-82-6,"75-05-8, 7732-18-5",,,,,,,3,1,97,,,,,,,"{""1"": 97}","[{""index"": 1, ""cas_rn"": ""495-76-1"", ""smiles"": ""OCc1ccc2c(c1)OCO2""}]","[{""index"": 1, ""cas_rn"": ""120-57-0"", ""yield_pct"": ""97"", ""smiles"": ""O=Cc1ccc2c(c1)OCO2""}]","[{""index"": 1, ""cas_rn"": ""1960452-05-4""}]","[{""index"": 1, ""cas_rn"": ""114615-82-6""}]","[{""index"": 1, ""cas_rn"": ""75-05-8""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",,
31-480-CAS-15777413,31-480-CAS-15777413,Reaction_20251110_1435.rdf,TPAPNMO. Catalytic Ru oxidations,82,,,COC(=O)c1ccc(CO)cc1,COC(=O)c1ccc(C=O)cc1,COC(=O)c1ccc(CO)cc1>>COC(=O)c1ccc(C=O)cc1,Selectivity Modulation of the Ley-Griffith TPAP Oxidation with N-Oxide Salts,"Moore, Peter W.; Jiao, Yanxiao; Mirzayans, Paul M.; Sheng, Lexter Ng Qi; Hooker, Jordan P.; Williams, Craig M.","European Journal of Organic Chemistry (2016), 2016(20), 3401-3407","Selectivity Modulation of the Ley-Griffith TPAP Oxidation with N-Oxide Salts | Moore, Peter W.; Jiao, Yanxiao; Mirzayans, Paul M.; Sheng, Lexter Ng Qi; Hooker, Jordan P.; Williams, Craig M. | European Journal of Organic Chemistry (2016), 2016(20), 3401-3407",6908-41-4,1571-08-0,1960452-05-4,114615-82-6,"75-05-8, 7732-18-5",,,,,,,3,1,82,,,,,,,"{""1"": 82}","[{""index"": 1, ""cas_rn"": ""6908-41-4"", ""smiles"": ""COC(=O)c1ccc(CO)cc1""}]","[{""index"": 1, ""cas_rn"": ""1571-08-0"", ""yield_pct"": ""82"", ""smiles"": ""COC(=O)c1ccc(C=O)cc1""}]","[{""index"": 1, ""cas_rn"": ""1960452-05-4""}]","[{""index"": 1, ""cas_rn"": ""114615-82-6""}]","[{""index"": 1, ""cas_rn"": ""75-05-8""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",,
31-480-CAS-15777414,31-480-CAS-15777414,Reaction_20251110_1435.rdf,TPAPNMO. Catalytic Ru oxidations,82,,,OC/C=C/c1ccccc1,O=C/C=C/c1ccccc1,OC/C=C/c1ccccc1>>O=C/C=C/c1ccccc1,Selectivity Modulation of the Ley-Griffith TPAP Oxidation with N-Oxide Salts,"Moore, Peter W.; Jiao, Yanxiao; Mirzayans, Paul M.; Sheng, Lexter Ng Qi; Hooker, Jordan P.; Williams, Craig M.","European Journal of Organic Chemistry (2016), 2016(20), 3401-3407","Selectivity Modulation of the Ley-Griffith TPAP Oxidation with N-Oxide Salts | Moore, Peter W.; Jiao, Yanxiao; Mirzayans, Paul M.; Sheng, Lexter Ng Qi; Hooker, Jordan P.; Williams, Craig M. | European Journal of Organic Chemistry (2016), 2016(20), 3401-3407",4407-36-7,14371-10-9,1960452-05-4,114615-82-6,"75-05-8, 7732-18-5",,,,,,,3,1,82,,,,,,,"{""1"": 82}","[{""index"": 1, ""cas_rn"": ""4407-36-7"", ""smiles"": ""OC/C=C/c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""14371-10-9"", ""yield_pct"": ""82"", ""smiles"": ""O=C/C=C/c1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""1960452-05-4""}]","[{""index"": 1, ""cas_rn"": ""114615-82-6""}]","[{""index"": 1, ""cas_rn"": ""75-05-8""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",,
31-480-CAS-15777415,31-480-CAS-15777415,Reaction_20251110_1435.rdf,TPAPNMO. Catalytic Ru oxidations,84,,,Cc1cc(CO)ccc1[N+](=O)[O-],Cc1cc(C=O)ccc1[N+](=O)[O-],Cc1cc(CO)ccc1[N+](=O)[O-]>>Cc1cc(C=O)ccc1[N+](=O)[O-],Selectivity Modulation of the Ley-Griffith TPAP Oxidation with N-Oxide Salts,"Moore, Peter W.; Jiao, Yanxiao; Mirzayans, Paul M.; Sheng, Lexter Ng Qi; Hooker, Jordan P.; Williams, Craig M.","European Journal of Organic Chemistry (2016), 2016(20), 3401-3407","Selectivity Modulation of the Ley-Griffith TPAP Oxidation with N-Oxide Salts | Moore, Peter W.; Jiao, Yanxiao; Mirzayans, Paul M.; Sheng, Lexter Ng Qi; Hooker, Jordan P.; Williams, Craig M. | European Journal of Organic Chemistry (2016), 2016(20), 3401-3407",80866-75-7,18515-67-8,1960452-05-4,114615-82-6,"75-05-8, 7732-18-5",,,,,,,3,1,84,,,,,,,"{""1"": 84}","[{""index"": 1, ""cas_rn"": ""80866-75-7"", ""smiles"": ""Cc1cc(CO)ccc1[N+](=O)[O-]""}]","[{""index"": 1, ""cas_rn"": ""18515-67-8"", ""yield_pct"": ""84"", ""smiles"": ""Cc1cc(C=O)ccc1[N+](=O)[O-]""}]","[{""index"": 1, ""cas_rn"": ""1960452-05-4""}]","[{""index"": 1, ""cas_rn"": ""114615-82-6""}]","[{""index"": 1, ""cas_rn"": ""75-05-8""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",,
31-480-CAS-15777416,31-480-CAS-15777416,Reaction_20251110_1435.rdf,TPAPNMO. Catalytic Ru oxidations,80,,,COc1ccccc1/C=C/CO,COc1ccccc1/C=C/C=O,COc1ccccc1/C=C/CO>>COc1ccccc1/C=C/C=O,Selectivity Modulation of the Ley-Griffith TPAP Oxidation with N-Oxide Salts,"Moore, Peter W.; Jiao, Yanxiao; Mirzayans, Paul M.; Sheng, Lexter Ng Qi; Hooker, Jordan P.; Williams, Craig M.","European Journal of Organic Chemistry (2016), 2016(20), 3401-3407","Selectivity Modulation of the Ley-Griffith TPAP Oxidation with N-Oxide Salts | Moore, Peter W.; Jiao, Yanxiao; Mirzayans, Paul M.; Sheng, Lexter Ng Qi; Hooker, Jordan P.; Williams, Craig M. | European Journal of Organic Chemistry (2016), 2016(20), 3401-3407",114568-19-3,60125-24-8,1960452-05-4,114615-82-6,"75-05-8, 7732-18-5",,,,,,,3,1,80,,,,,,,"{""1"": 80}","[{""index"": 1, ""cas_rn"": ""114568-19-3"", ""smiles"": ""COc1ccccc1/C=C/CO""}]","[{""index"": 1, ""cas_rn"": ""60125-24-8"", ""yield_pct"": ""80"", ""smiles"": ""COc1ccccc1/C=C/C=O""}]","[{""index"": 1, ""cas_rn"": ""1960452-05-4""}]","[{""index"": 1, ""cas_rn"": ""114615-82-6""}]","[{""index"": 1, ""cas_rn"": ""75-05-8""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",,
31-480-CAS-15777417,31-480-CAS-15777417,Reaction_20251110_1435.rdf,TPAPNMO. Catalytic Ru oxidations,85,,,CC1(C)[C@H]2CC=C(CO)[C@@H]1C2,CC1(C)[C@H]2CC=C(C=O)[C@@H]1C2,CC1(C)[C@H]2CC=C(CO)[C@@H]1C2>>CC1(C)[C@H]2CC=C(C=O)[C@@H]1C2,Selectivity Modulation of the Ley-Griffith TPAP Oxidation with N-Oxide Salts,"Moore, Peter W.; Jiao, Yanxiao; Mirzayans, Paul M.; Sheng, Lexter Ng Qi; Hooker, Jordan P.; Williams, Craig M.","European Journal of Organic Chemistry (2016), 2016(20), 3401-3407","Selectivity Modulation of the Ley-Griffith TPAP Oxidation with N-Oxide Salts | Moore, Peter W.; Jiao, Yanxiao; Mirzayans, Paul M.; Sheng, Lexter Ng Qi; Hooker, Jordan P.; Williams, Craig M. | European Journal of Organic Chemistry (2016), 2016(20), 3401-3407",19894-97-4,18486-69-6,1960452-05-4,114615-82-6,"75-05-8, 7732-18-5",,,,,,,3,1,85,,,,,,,"{""1"": 85}","[{""index"": 1, ""cas_rn"": ""19894-97-4"", ""smiles"": ""CC1(C)[C@H]2CC=C(CO)[C@@H]1C2""}]","[{""index"": 1, ""cas_rn"": ""18486-69-6"", ""yield_pct"": ""85"", ""smiles"": ""CC1(C)[C@H]2CC=C(C=O)[C@@H]1C2""}]","[{""index"": 1, ""cas_rn"": ""1960452-05-4""}]","[{""index"": 1, ""cas_rn"": ""114615-82-6""}]","[{""index"": 1, ""cas_rn"": ""75-05-8""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",,
31-480-CAS-15777418,31-480-CAS-15777418,Reaction_20251110_1435.rdf,TPAPNMO. Catalytic Ru oxidations,88,,,CC(C)c1ccc(CO)cc1,CC(C)c1ccc(C=O)cc1,CC(C)c1ccc(CO)cc1>>CC(C)c1ccc(C=O)cc1,Selectivity Modulation of the Ley-Griffith TPAP Oxidation with N-Oxide Salts,"Moore, Peter W.; Jiao, Yanxiao; Mirzayans, Paul M.; Sheng, Lexter Ng Qi; Hooker, Jordan P.; Williams, Craig M.","European Journal of Organic Chemistry (2016), 2016(20), 3401-3407","Selectivity Modulation of the Ley-Griffith TPAP Oxidation with N-Oxide Salts | Moore, Peter W.; Jiao, Yanxiao; Mirzayans, Paul M.; Sheng, Lexter Ng Qi; Hooker, Jordan P.; Williams, Craig M. | European Journal of Organic Chemistry (2016), 2016(20), 3401-3407",536-60-7,122-03-2,1960452-05-4,114615-82-6,"75-05-8, 7732-18-5",,,,,,,3,1,88,,,,,,,"{""1"": 88}","[{""index"": 1, ""cas_rn"": ""536-60-7"", ""smiles"": ""CC(C)c1ccc(CO)cc1""}]","[{""index"": 1, ""cas_rn"": ""122-03-2"", ""yield_pct"": ""88"", ""smiles"": ""CC(C)c1ccc(C=O)cc1""}]","[{""index"": 1, ""cas_rn"": ""1960452-05-4""}]","[{""index"": 1, ""cas_rn"": ""114615-82-6""}]","[{""index"": 1, ""cas_rn"": ""75-05-8""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",,
31-480-CAS-17073752,31-480-CAS-17073752,Reaction_20251110_1435.rdf,TPAPNMO. Catalytic Ru oxidations,81,,,CCC1(CO)CCCn2cccc21,CCC1(C=O)CCCn2cccc21,CCC1(CO)CCCn2cccc21>>CCC1(C=O)CCCn2cccc21,Formal Total Synthesis of (±)-Rhazinal: Evaluating the Radical Approach,"Hildebrandt, Sven; Weissbarth, Hendrik; Gansaeuer, Andreas","Synthesis (2017), 49(11), 2584-2588","Formal Total Synthesis of (±)-Rhazinal: Evaluating the Radical Approach | Hildebrandt, Sven; Weissbarth, Hendrik; Gansaeuer, Andreas | Synthesis (2017), 49(11), 2584-2588",1649439-18-8,1649439-19-9,7529-22-8,114615-82-6,75-05-8,,,,,,,1,1,81,,,,,,,"{""1"": 81}","[{""index"": 1, ""cas_rn"": ""1649439-18-8"", ""smiles"": ""CCC1(CO)CCCn2cccc21""}]","[{""index"": 1, ""cas_rn"": ""1649439-19-9"", ""yield_pct"": ""81"", ""smiles"": ""CCC1(C=O)CCCn2cccc21""}]","[{""index"": 1, ""cas_rn"": ""7529-22-8""}]","[{""index"": 1, ""cas_rn"": ""114615-82-6""}]","[{""index"": 1, ""cas_rn"": ""75-05-8""}]","Arbuzov reaction, alternate methods shown",
