reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-290-CAS-15986869,31-290-CAS-15986869,Reaction_20251110_2101.rdf,Tetrazine–TCO iEDDA,73,,,c1ccc(-c2nnc(-c3ccccc3)nn2)cc1.CCSc1nc(Cl)ncc1F,CCSc1nc(Cl)nc2c(-c3ccccc3)nnc(-c3ccccc3)c12,c1ccc(-c2nnc(-c3ccccc3)nn2)cc1.CCSc1nc(Cl)ncc1F>>CCSc1nc(Cl)nc2c(-c3ccccc3)nnc(-c3ccccc3)c12,"Single-Step Formation of Pyrimido[4,5-d]pyridazines by a Pyrimidine-Tetrazine Tandem Reaction","Galeta, Juraj; Sala, Michal; Dracinsky, Martin; Vrabel, Milan; Havlas, Zdenek; Nencka, Radim","Organic Letters (2016), 18(15), 3594-3597","Single-Step Formation of Pyrimido[4,5-d]pyridazines by a Pyrimidine-Tetrazine Tandem Reaction | Galeta, Juraj; Sala, Michal; Dracinsky, Martin; Vrabel, Milan; Havlas, Zdenek; Nencka, Radim | Organic Letters (2016), 18(15), 3594-3597","6830-78-0, 22462-40-4",1964444-25-4,"40949-94-8, 12125-02-9",,"108-88-3, 7732-18-5",,,,,,,2,1,73,,,,,,,"{""1"": 73}","[{""index"": 1, ""cas_rn"": ""6830-78-0"", ""smiles"": ""c1ccc(-c2nnc(-c3ccccc3)nn2)cc1""}, {""index"": 2, ""cas_rn"": ""22462-40-4"", ""smiles"": ""CCSc1nc(Cl)ncc1F""}]","[{""index"": 1, ""cas_rn"": ""1964444-25-4"", ""yield_pct"": ""73"", ""smiles"": ""CCSc1nc(Cl)nc2c(-c3ccccc3)nnc(-c3ccccc3)c12""}]","[{""index"": 1, ""cas_rn"": ""40949-94-8""}, {""index"": 2, ""cas_rn"": ""12125-02-9""}]",[],"[{""index"": 1, ""cas_rn"": ""108-88-3""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",,
31-290-CAS-16227898,31-290-CAS-16227898,Reaction_20251110_2101.rdf,Tetrazine–TCO iEDDA,96,,,C=Cc1ccc(OC)cc1.c1ccc(-c2nnc(-c3ccccn3)nn2)nc1,COc1ccc(-c2cc(-c3ccccn3)nnc2-c2ccccn2)cc1,C=Cc1ccc(OC)cc1.c1ccc(-c2nnc(-c3ccccn3)nn2)nc1>>COc1ccc(-c2cc(-c3ccccn3)nnc2-c2ccccn2)cc1,"Vinylboronic Acids as Fast Reacting, Synthetically Accessible, and Stable Bioorthogonal Reactants in the Carboni-Lindsey Reaction","Eising, Selma; Lelivelt, Francis; Bonger, Kimberly M.","Angewandte Chemie, International Edition (2016), 55(40), 12243-12247","Vinylboronic Acids as Fast Reacting, Synthetically Accessible, and Stable Bioorthogonal Reactants in the Carboni-Lindsey Reaction | Eising, Selma; Lelivelt, Francis; Bonger, Kimberly M. | Angewandte Chemie, International Edition (2016), 55(40), 12243-12247","637-69-4, 1671-87-0",1031820-38-8,118-75-2,,"67-56-1, 7732-18-5",,,,,,,2,1,96,,,,,,,"{""1"": 96}","[{""index"": 1, ""cas_rn"": ""637-69-4"", ""smiles"": ""C=Cc1ccc(OC)cc1""}, {""index"": 2, ""cas_rn"": ""1671-87-0"", ""smiles"": ""c1ccc(-c2nnc(-c3ccccn3)nn2)nc1""}]","[{""index"": 1, ""cas_rn"": ""1031820-38-8"", ""yield_pct"": ""96"", ""smiles"": ""COc1ccc(-c2cc(-c3ccccn3)nnc2-c2ccccn2)cc1""}]","[{""index"": 1, ""cas_rn"": ""118-75-2""}]",[],"[{""index"": 1, ""cas_rn"": ""67-56-1""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",Carboni-Lindsey reaction stage 1,
31-290-CAS-16298655,31-290-CAS-16298655,Reaction_20251110_2101.rdf,Tetrazine–TCO iEDDA,95,,,COC(=O)c1nnc(C(=O)OC)nn1.C1=C[C@H]2C[C@@H]1[C@H]1c3ccccc3[C@H]12,COC(=O)C1=NN=C(C(=O)OC)[C@H]2[C@H]3C[C@@H]([C@@H]12)[C@H]1c2ccccc2[C@@H]31,COC(=O)c1nnc(C(=O)OC)nn1.C1=C[C@H]2C[C@@H]1[C@H]1c3ccccc3[C@H]12>>COC(=O)C1=NN=C(C(=O)OC)[C@H]2[C@H]3C[C@@H]([C@@H]12)[C@H]1c2ccccc2[C@@H]31,Synthesis of Some Novel Norbornene-Fused Pyridazines as Potent Inhibitors of Carbonic Anhydrase and Acetylcholinesterase,"Kocak, Ramazan; Akin, Esra Turan; Kalin, Pinar; Talaz, Oktay; Saracoglu, Nurullah; Dastan, Arif; Guelcin, Ilhami; Durdagi, Serdar","Journal of Heterocyclic Chemistry (2016), 53(6), 2049-2056","Synthesis of Some Novel Norbornene-Fused Pyridazines as Potent Inhibitors of Carbonic Anhydrase and Acetylcholinesterase | Kocak, Ramazan; Akin, Esra Turan; Kalin, Pinar; Talaz, Oktay; Saracoglu, Nurullah; Dastan, Arif; Guelcin, Ilhami; Durdagi, Serdar | Journal of Heterocyclic Chemistry (2016), 53(6), 2049-2056","2166-14-5, 27297-13-8",1830056-40-0,,,75-09-2,,,,,,,1,1,95,,,,,,,"{""1"": 95}","[{""index"": 1, ""cas_rn"": ""2166-14-5"", ""smiles"": ""COC(=O)c1nnc(C(=O)OC)nn1""}, {""index"": 2, ""cas_rn"": ""27297-13-8"", ""smiles"": ""C1=C[C@H]2C[C@@H]1[C@H]1c3ccccc3[C@H]12""}]","[{""index"": 1, ""cas_rn"": ""1830056-40-0"", ""yield_pct"": ""95"", ""smiles"": ""COC(=O)C1=NN=C(C(=O)OC)[C@H]2[C@H]3C[C@@H]([C@@H]12)[C@H]1c2ccccc2[C@@H]31""}]",[],[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]","stereoselective, Diels-Alder reaction",
31-290-CAS-16298657,31-290-CAS-16298657,Reaction_20251110_2101.rdf,Tetrazine–TCO iEDDA,96,,,c1ccc(-c2nnc(-c3ccccn3)nn2)nc1.C1=C[C@H]2C[C@@H]1[C@H]1c3ccccc3[C@H]12,c1ccc(C2=NN=C(c3ccccn3)[C@H]3[C@H]4C[C@@H]([C@@H]23)[C@H]2c3ccccc3[C@@H]42)nc1,c1ccc(-c2nnc(-c3ccccn3)nn2)nc1.C1=C[C@H]2C[C@@H]1[C@H]1c3ccccc3[C@H]12>>c1ccc(C2=NN=C(c3ccccn3)[C@H]3[C@H]4C[C@@H]([C@@H]23)[C@H]2c3ccccc3[C@@H]42)nc1,Synthesis of Some Novel Norbornene-Fused Pyridazines as Potent Inhibitors of Carbonic Anhydrase and Acetylcholinesterase,"Kocak, Ramazan; Akin, Esra Turan; Kalin, Pinar; Talaz, Oktay; Saracoglu, Nurullah; Dastan, Arif; Guelcin, Ilhami; Durdagi, Serdar","Journal of Heterocyclic Chemistry (2016), 53(6), 2049-2056","Synthesis of Some Novel Norbornene-Fused Pyridazines as Potent Inhibitors of Carbonic Anhydrase and Acetylcholinesterase | Kocak, Ramazan; Akin, Esra Turan; Kalin, Pinar; Talaz, Oktay; Saracoglu, Nurullah; Dastan, Arif; Guelcin, Ilhami; Durdagi, Serdar | Journal of Heterocyclic Chemistry (2016), 53(6), 2049-2056","1671-87-0, 27297-13-8",1830056-41-1,,,75-09-2,,,,,,,1,1,96,,,,,,,"{""1"": 96}","[{""index"": 1, ""cas_rn"": ""1671-87-0"", ""smiles"": ""c1ccc(-c2nnc(-c3ccccn3)nn2)nc1""}, {""index"": 2, ""cas_rn"": ""27297-13-8"", ""smiles"": ""C1=C[C@H]2C[C@@H]1[C@H]1c3ccccc3[C@H]12""}]","[{""index"": 1, ""cas_rn"": ""1830056-41-1"", ""yield_pct"": ""96"", ""smiles"": ""c1ccc(C2=NN=C(c3ccccn3)[C@H]3[C@H]4C[C@@H]([C@@H]23)[C@H]2c3ccccc3[C@@H]42)nc1""}]",[],[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]","stereoselective, Diels-Alder reaction",
31-290-CAS-16403813,31-290-CAS-16403813,Reaction_20251110_2101.rdf,Tetrazine–TCO iEDDA,84,,,c1ccc(-c2nnc(-c3ccccc3)nn2)cc1.COc1ccc2c(c1)[Si](C)(C)c1cc(OC)ccc1-c1c-2c1=O,COc1ccc2c(c1)[Si](C)(C)c1cc(OC)ccc1-c1c(-c3ccccc3)nnc(-c3ccccc3)c1-2,c1ccc(-c2nnc(-c3ccccc3)nn2)cc1.COc1ccc2c(c1)[Si](C)(C)c1cc(OC)ccc1-c1c-2c1=O>>COc1ccc2c(c1)[Si](C)(C)c1cc(OC)ccc1-c1c(-c3ccccc3)nnc(-c3ccccc3)c1-2,"Photochemical Formation of Dibenzosilacyclohept-4-yne for Cu-Free Click Chemistry with Azides and 1,2,4,5-Tetrazines","Martinek, Marek; Filipova, Lenka; Galeta, Juraj; Ludvikova, Lucie; Klan, Petr","Organic Letters (2016), 18(19), 4892-4895","Photochemical Formation of Dibenzosilacyclohept-4-yne for Cu-Free Click Chemistry with Azides and 1,2,4,5-Tetrazines | Martinek, Marek; Filipova, Lenka; Galeta, Juraj; Ludvikova, Lucie; Klan, Petr | Organic Letters (2016), 18(19), 4892-4895","6830-78-0, 2045895-34-7",2045895-38-1,,,67-66-3,,,,,,,1,1,84,,,,,,,"{""1"": 84}","[{""index"": 1, ""cas_rn"": ""6830-78-0"", ""smiles"": ""c1ccc(-c2nnc(-c3ccccc3)nn2)cc1""}, {""index"": 2, ""cas_rn"": ""2045895-34-7"", ""smiles"": ""COc1ccc2c(c1)[Si](C)(C)c1cc(OC)ccc1-c1c-2c1=O""}]","[{""index"": 1, ""cas_rn"": ""2045895-38-1"", ""yield_pct"": ""84"", ""smiles"": ""COc1ccc2c(c1)[Si](C)(C)c1cc(OC)ccc1-c1c(-c3ccccc3)nnc(-c3ccccc3)c1-2""}]",[],[],"[{""index"": 1, ""cas_rn"": ""67-66-3""}]","photochemical, click reaction",
31-290-CAS-16403814,31-290-CAS-16403814,Reaction_20251110_2101.rdf,Tetrazine–TCO iEDDA,92,,,COC(=O)c1nnc(C(=O)OC)nn1.COc1ccc2c(c1)[Si](C)(C)c1cc(OC)ccc1-c1c-2c1=O,COC(=O)c1nnc(C(=O)OC)c2c1-c1ccc(OC)cc1[Si](C)(C)c1cc(OC)ccc1-2,COC(=O)c1nnc(C(=O)OC)nn1.COc1ccc2c(c1)[Si](C)(C)c1cc(OC)ccc1-c1c-2c1=O>>COC(=O)c1nnc(C(=O)OC)c2c1-c1ccc(OC)cc1[Si](C)(C)c1cc(OC)ccc1-2,"Photochemical Formation of Dibenzosilacyclohept-4-yne for Cu-Free Click Chemistry with Azides and 1,2,4,5-Tetrazines","Martinek, Marek; Filipova, Lenka; Galeta, Juraj; Ludvikova, Lucie; Klan, Petr","Organic Letters (2016), 18(19), 4892-4895","Photochemical Formation of Dibenzosilacyclohept-4-yne for Cu-Free Click Chemistry with Azides and 1,2,4,5-Tetrazines | Martinek, Marek; Filipova, Lenka; Galeta, Juraj; Ludvikova, Lucie; Klan, Petr | Organic Letters (2016), 18(19), 4892-4895","2166-14-5, 2045895-34-7",2045895-39-2,,,75-05-8,,,,,,,1,1,92,,,,,,,"{""1"": 92}","[{""index"": 1, ""cas_rn"": ""2166-14-5"", ""smiles"": ""COC(=O)c1nnc(C(=O)OC)nn1""}, {""index"": 2, ""cas_rn"": ""2045895-34-7"", ""smiles"": ""COc1ccc2c(c1)[Si](C)(C)c1cc(OC)ccc1-c1c-2c1=O""}]","[{""index"": 1, ""cas_rn"": ""2045895-39-2"", ""yield_pct"": ""92"", ""smiles"": ""COC(=O)c1nnc(C(=O)OC)c2c1-c1ccc(OC)cc1[Si](C)(C)c1cc(OC)ccc1-2""}]",[],[],"[{""index"": 1, ""cas_rn"": ""75-05-8""}]","photochemical, click reaction",
31-290-CAS-16403815,31-290-CAS-16403815,Reaction_20251110_2101.rdf,Tetrazine–TCO iEDDA,93,,,COc1ccc2c(c1)[Si](C)(C)c1cc(OC)ccc1-c1c-2c1=O.O=C(O)CCCC(=O)NCc1ccc(-c2nnc(-c3ccc(CNC(=O)CCCC(=O)O)cc3)nn2)cc1,COc1ccc2c(c1)[Si](C)(C)c1cc(OC)ccc1-c1c(-c3ccc(CNC(=O)CCCC(=O)O)cc3)nnc(-c3ccc(CNC(=O)CCCC(=O)O)cc3)c1-2,COc1ccc2c(c1)[Si](C)(C)c1cc(OC)ccc1-c1c-2c1=O.O=C(O)CCCC(=O)NCc1ccc(-c2nnc(-c3ccc(CNC(=O)CCCC(=O)O)cc3)nn2)cc1>>COc1ccc2c(c1)[Si](C)(C)c1cc(OC)ccc1-c1c(-c3ccc(CNC(=O)CCCC(=O)O)cc3)nnc(-c3ccc(CNC(=O)CCCC(=O)O)cc3)c1-2,"Photochemical Formation of Dibenzosilacyclohept-4-yne for Cu-Free Click Chemistry with Azides and 1,2,4,5-Tetrazines","Martinek, Marek; Filipova, Lenka; Galeta, Juraj; Ludvikova, Lucie; Klan, Petr","Organic Letters (2016), 18(19), 4892-4895","Photochemical Formation of Dibenzosilacyclohept-4-yne for Cu-Free Click Chemistry with Azides and 1,2,4,5-Tetrazines | Martinek, Marek; Filipova, Lenka; Galeta, Juraj; Ludvikova, Lucie; Klan, Petr | Organic Letters (2016), 18(19), 4892-4895","2045895-34-7, 2045895-37-0",2045895-40-5,,,67-56-1,,,,,,,1,1,93,,,,,,,"{""1"": 93}","[{""index"": 1, ""cas_rn"": ""2045895-34-7"", ""smiles"": ""COc1ccc2c(c1)[Si](C)(C)c1cc(OC)ccc1-c1c-2c1=O""}, {""index"": 2, ""cas_rn"": ""2045895-37-0"", ""smiles"": ""O=C(O)CCCC(=O)NCc1ccc(-c2nnc(-c3ccc(CNC(=O)CCCC(=O)O)cc3)nn2)cc1""}]","[{""index"": 1, ""cas_rn"": ""2045895-40-5"", ""yield_pct"": ""93"", ""smiles"": ""COc1ccc2c(c1)[Si](C)(C)c1cc(OC)ccc1-c1c(-c3ccc(CNC(=O)CCCC(=O)O)cc3)nnc(-c3ccc(CNC(=O)CCCC(=O)O)cc3)c1-2""}]",[],[],"[{""index"": 1, ""cas_rn"": ""67-56-1""}]","photochemical, click reaction",
31-290-CAS-16881454,31-290-CAS-16881454,Reaction_20251110_2101.rdf,Tetrazine–TCO iEDDA,57,,,c1ccc(-c2nnc(-c3ccccn3)nn2)nc1.C=COC[C@H](NC(=O)OCc1ccccc1)C(=O)OC,COC(=O)[C@H](CO)NC(=O)OCc1ccccc1.c1ccc(-c2ccc(-c3ccccn3)nn2)nc1,c1ccc(-c2nnc(-c3ccccn3)nn2)nc1.C=COC[C@H](NC(=O)OCc1ccccc1)C(=O)OC>>COC(=O)[C@H](CO)NC(=O)OCc1ccccc1.c1ccc(-c2ccc(-c3ccccn3)nn2)nc1,Vinyl Ether/Tetrazine Pair for the Traceless Release of Alcohols in Cells,"Jimenez-Moreno, Ester; Guo, Zijian; Oliveira, Bruno L.; Albuquerque, Ines S.; Kitowski, Annabel; Guerreiro, Ana; Boutureira, Omar; Rodrigues, Tiago; Jimenez-Oses, Gonzalo; Bernardes, Goncalo J. L.","Angewandte Chemie, International Edition (2017), 56(1), 243-247","Vinyl Ether/Tetrazine Pair for the Traceless Release of Alcohols in Cells | Jimenez-Moreno, Ester; Guo, Zijian; Oliveira, Bruno L.; Albuquerque, Ines S.; Kitowski, Annabel; Guerreiro, Ana; Boutureira, Omar; Rodrigues, Tiago; Jimenez-Oses, Gonzalo; Bernardes, Goncalo J. L. | Angewandte Chemie, International Edition (2017), 56(1), 243-247","1671-87-0, 2089318-00-1","1676-81-9, 36901-11-8",,,75-09-2,,,,,,,1,1,57,72,,,,,,"{""1"": 57, ""2"": 72}","[{""index"": 1, ""cas_rn"": ""1671-87-0"", ""smiles"": ""c1ccc(-c2nnc(-c3ccccn3)nn2)nc1""}, {""index"": 2, ""cas_rn"": ""2089318-00-1"", ""smiles"": ""C=COC[C@H](NC(=O)OCc1ccccc1)C(=O)OC""}]","[{""index"": 1, ""cas_rn"": ""1676-81-9"", ""yield_pct"": ""57"", ""smiles"": ""COC(=O)[C@H](CO)NC(=O)OCc1ccccc1""}, {""index"": 2, ""cas_rn"": ""36901-11-8"", ""yield_pct"": ""72"", ""smiles"": ""c1ccc(-c2ccc(-c3ccccn3)nn2)nc1""}]",[],[],"[{""index"": 1, ""cas_rn"": ""75-09-2""}]",,
31-290-CAS-17853471,31-290-CAS-17853471,Reaction_20251110_2101.rdf,Tetrazine–TCO iEDDA,75,,,c1ccc(-c2nnc(-c3ccccc3)nn2)cc1.C[Si]1(C)O[Si](C)(C)c2cc3c(cc21)C1C=CC3O1,C[Si]1(C)O[Si](C)(C)c2cc3cc4c(-c5ccccc5)nnc(-c5ccccc5)c4cc3cc21,c1ccc(-c2nnc(-c3ccccc3)nn2)cc1.C[Si]1(C)O[Si](C)(C)c2cc3c(cc21)C1C=CC3O1>>C[Si]1(C)O[Si](C)(C)c2cc3cc4c(-c5ccccc5)nnc(-c5ccccc5)c4cc3cc21,"One-step synthesis of benzo[g]phthalazines and naphtho[2,3-g]phthalazines from benzo- or naphtho-oxabicyclic alkene","Kong, Kundi; Zhang, Jie; Zhao, Peng; Lu, Huali; Chen, Zhijun; Cao, Weiguo; Chen, Jie; Chen, Yali","Tetrahedron (2017), 73(48), 6742-6746","One-step synthesis of benzo[g]phthalazines and naphtho[2,3-g]phthalazines from benzo- or naphtho-oxabicyclic alkene | Kong, Kundi; Zhang, Jie; Zhao, Peng; Lu, Huali; Chen, Zhijun; Cao, Weiguo; Chen, Jie; Chen, Yali | Tetrahedron (2017), 73(48), 6742-6746","6830-78-0, 442912-17-6",1884360-23-9,,,109-99-9,,,,,,,1,1,75,,,,,,,"{""1"": 75}","[{""index"": 1, ""cas_rn"": ""6830-78-0"", ""smiles"": ""c1ccc(-c2nnc(-c3ccccc3)nn2)cc1""}, {""index"": 2, ""cas_rn"": ""442912-17-6"", ""smiles"": ""C[Si]1(C)O[Si](C)(C)c2cc3c(cc21)C1C=CC3O1""}]","[{""index"": 1, ""cas_rn"": ""1884360-23-9"", ""yield_pct"": ""75"", ""smiles"": ""C[Si]1(C)O[Si](C)(C)c2cc3cc4c(-c5ccccc5)nnc(-c5ccccc5)c4cc3cc21""}]",[],[],"[{""index"": 1, ""cas_rn"": ""109-99-9""}]",Diels-Alder reaction,
31-290-CAS-17853476,31-290-CAS-17853476,Reaction_20251110_2101.rdf,Tetrazine–TCO iEDDA,89,,,c1ccc(-c2nnc(-c3ccccc3)nn2)cc1.C1=CC2OC1c1cc3ccccc3cc12,c1ccc(-c2nnc(-c3ccccc3)c3cc4cc5ccccc5cc4cc23)cc1,c1ccc(-c2nnc(-c3ccccc3)nn2)cc1.C1=CC2OC1c1cc3ccccc3cc12>>c1ccc(-c2nnc(-c3ccccc3)c3cc4cc5ccccc5cc4cc23)cc1,"One-step synthesis of benzo[g]phthalazines and naphtho[2,3-g]phthalazines from benzo- or naphtho-oxabicyclic alkene","Kong, Kundi; Zhang, Jie; Zhao, Peng; Lu, Huali; Chen, Zhijun; Cao, Weiguo; Chen, Jie; Chen, Yali","Tetrahedron (2017), 73(48), 6742-6746","One-step synthesis of benzo[g]phthalazines and naphtho[2,3-g]phthalazines from benzo- or naphtho-oxabicyclic alkene | Kong, Kundi; Zhang, Jie; Zhao, Peng; Lu, Huali; Chen, Zhijun; Cao, Weiguo; Chen, Jie; Chen, Yali | Tetrahedron (2017), 73(48), 6742-6746","6830-78-0, 22187-13-9",42189-20-8,,,109-99-9,,,,,,,1,1,89,,,,,,,"{""1"": 89}","[{""index"": 1, ""cas_rn"": ""6830-78-0"", ""smiles"": ""c1ccc(-c2nnc(-c3ccccc3)nn2)cc1""}, {""index"": 2, ""cas_rn"": ""22187-13-9"", ""smiles"": ""C1=CC2OC1c1cc3ccccc3cc12""}]","[{""index"": 1, ""cas_rn"": ""42189-20-8"", ""yield_pct"": ""89"", ""smiles"": ""c1ccc(-c2nnc(-c3ccccc3)c3cc4cc5ccccc5cc4cc23)cc1""}]",[],[],"[{""index"": 1, ""cas_rn"": ""109-99-9""}]",Diels-Alder reaction,
31-290-CAS-17853478,31-290-CAS-17853478,Reaction_20251110_2101.rdf,Tetrazine–TCO iEDDA,87,,,C1=CC2OC1c1cc3ccccc3cc12.FC(F)(F)c1ccc(-c2nnc(-c3ccc(C(F)(F)F)cc3)nn2)cc1,FC(F)(F)c1ccc(-c2nnc(-c3ccc(C(F)(F)F)cc3)c3cc4cc5ccccc5cc4cc23)cc1,C1=CC2OC1c1cc3ccccc3cc12.FC(F)(F)c1ccc(-c2nnc(-c3ccc(C(F)(F)F)cc3)nn2)cc1>>FC(F)(F)c1ccc(-c2nnc(-c3ccc(C(F)(F)F)cc3)c3cc4cc5ccccc5cc4cc23)cc1,"One-step synthesis of benzo[g]phthalazines and naphtho[2,3-g]phthalazines from benzo- or naphtho-oxabicyclic alkene","Kong, Kundi; Zhang, Jie; Zhao, Peng; Lu, Huali; Chen, Zhijun; Cao, Weiguo; Chen, Jie; Chen, Yali","Tetrahedron (2017), 73(48), 6742-6746","One-step synthesis of benzo[g]phthalazines and naphtho[2,3-g]phthalazines from benzo- or naphtho-oxabicyclic alkene | Kong, Kundi; Zhang, Jie; Zhao, Peng; Lu, Huali; Chen, Zhijun; Cao, Weiguo; Chen, Jie; Chen, Yali | Tetrahedron (2017), 73(48), 6742-6746","22187-13-9, 250645-59-1",1884360-29-5,,,109-99-9,,,,,,,1,1,87,,,,,,,"{""1"": 87}","[{""index"": 1, ""cas_rn"": ""22187-13-9"", ""smiles"": ""C1=CC2OC1c1cc3ccccc3cc12""}, {""index"": 2, ""cas_rn"": ""250645-59-1"", ""smiles"": ""FC(F)(F)c1ccc(-c2nnc(-c3ccc(C(F)(F)F)cc3)nn2)cc1""}]","[{""index"": 1, ""cas_rn"": ""1884360-29-5"", ""yield_pct"": ""87"", ""smiles"": ""FC(F)(F)c1ccc(-c2nnc(-c3ccc(C(F)(F)F)cc3)c3cc4cc5ccccc5cc4cc23)cc1""}]",[],[],"[{""index"": 1, ""cas_rn"": ""109-99-9""}]",Diels-Alder reaction,
