reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-012-CAS-23894548,31-012-CAS-23894548,Reaction_20251105_2034.rdf,Thioether formation,7,,,CCCCCCCCCCCCS.COc1ccc(C(C)O)cc1,COc1ccc(C(C)OC(C)c2ccc(OC)cc2)cc1.CCCCCCCCCCCCSC(C)c1ccc(OC)cc1,CCCCCCCCCCCCS.COc1ccc(C(C)O)cc1>>COc1ccc(C(C)OC(C)c2ccc(OC)cc2)cc1.CCCCCCCCCCCCSC(C)c1ccc(OC)cc1,Direct Nucleophilic Substitution of Alcohols Using an Immobilized Oxovanadium Catalyst,"Nishio, Tomoya; Yoshioka, Shin; Hasegawa, Kai; Yahata, Kenzo; Kanomata, Kyohei; Akai, Shuji","European Journal of Organic Chemistry (2021), 2021(31), 4417-4422","Direct Nucleophilic Substitution of Alcohols Using an Immobilized Oxovanadium Catalyst | Nishio, Tomoya; Yoshioka, Shin; Hasegawa, Kai; Yahata, Kenzo; Kanomata, Kyohei; Akai, Shuji | European Journal of Organic Chemistry (2021), 2021(31), 4417-4422","112-55-0, 3319-15-1","88288-58-8, 2674142-85-7",,18822-50-9,75-09-2,,,,silica supported,,,1,1,7,91,,,,,,"{""1"": 7, ""2"": 91}","[{""index"": 1, ""cas_rn"": ""112-55-0"", ""smiles"": ""CCCCCCCCCCCCS""}, {""index"": 2, ""cas_rn"": ""3319-15-1"", ""smiles"": ""COc1ccc(C(C)O)cc1""}]","[{""index"": 1, ""cas_rn"": ""88288-58-8"", ""yield_pct"": ""7"", ""smiles"": ""COc1ccc(C(C)OC(C)c2ccc(OC)cc2)cc1""}, {""index"": 2, ""cas_rn"": ""2674142-85-7"", ""yield_pct"": ""91"", ""smiles"": ""CCCCCCCCCCCCSC(C)c1ccc(OC)cc1""}]",[],"[{""index"": 1, ""cas_rn"": ""18822-50-9"", ""amd"": ""silica supported""}]","[{""index"": 1, ""cas_rn"": ""75-09-2""}]","chemoselective, solid-supported catalyst, products depend on reaction conditions, alternative preparation shown, silica support used, catalyst prepared and used, recyclable catalyst used, reusable catalyst used",
31-014-CAS-11004348,31-014-CAS-11004348,Reaction_20251105_2033 (2).rdf,Thioether formation,81,,,CC(C)S.ClCC1CO1,CC(C)SCC(O)CSC(C)C,CC(C)S.ClCC1CO1>>CC(C)SCC(O)CSC(C)C,Synthesis and characterisation of thioether functionalized gallium and indium alkoxides,"Barth, Sven; Biegger, Felix; Puchberger, Michael","Dalton Transactions (2015), 44(37), 16439-16445","Synthesis and characterisation of thioether functionalized gallium and indium alkoxides | Barth, Sven; Biegger, Felix; Puchberger, Michael | Dalton Transactions (2015), 44(37), 16439-16445","75-33-2, 106-89-8",1809033-89-3,7440-23-5,,64-17-5,,,,,,,1,1,81,,,,,,,"{""1"": 81}","[{""index"": 1, ""cas_rn"": ""75-33-2"", ""smiles"": ""CC(C)S""}, {""index"": 2, ""cas_rn"": ""106-89-8"", ""smiles"": ""ClCC1CO1""}]","[{""index"": 1, ""cas_rn"": ""1809033-89-3"", ""yield_pct"": ""81"", ""smiles"": ""CC(C)SCC(O)CSC(C)C""}]","[{""index"": 1, ""cas_rn"": ""7440-23-5""}]",[],"[{""index"": 1, ""cas_rn"": ""64-17-5""}]",alternative reaction conditions shown,
31-014-CAS-13307582,31-014-CAS-13307582,Reaction_20251105_2033 (1).rdf,Thioether formation,88,,,CCCCS.CCC1(CCl)CO1,CCCCSCC(O)(CC)CSCCCC,CCCCS.CCC1(CCl)CO1>>CCCCSCC(O)(CC)CSCCCC,Synthesis and characterisation of thioether functionalized gallium and indium alkoxides,"Barth, Sven; Biegger, Felix; Puchberger, Michael","Dalton Transactions (2015), 44(37), 16439-16445","Synthesis and characterisation of thioether functionalized gallium and indium alkoxides | Barth, Sven; Biegger, Felix; Puchberger, Michael | Dalton Transactions (2015), 44(37), 16439-16445","109-79-5, 75484-32-1",1809033-91-7,7440-23-5,,64-17-5,,,,,,,1,1,88,,,,,,,"{""1"": 88}","[{""index"": 1, ""cas_rn"": ""109-79-5"", ""smiles"": ""CCCCS""}, {""index"": 2, ""cas_rn"": ""75484-32-1"", ""smiles"": ""CCC1(CCl)CO1""}]","[{""index"": 1, ""cas_rn"": ""1809033-91-7"", ""yield_pct"": ""88"", ""smiles"": ""CCCCSCC(O)(CC)CSCCCC""}]","[{""index"": 1, ""cas_rn"": ""7440-23-5""}]",[],"[{""index"": 1, ""cas_rn"": ""64-17-5""}]",alternative reaction conditions shown,
31-014-CAS-2045729,31-014-CAS-2045729,Reaction_20251105_2033 (2).rdf,Thioether formation,82,,,CC(C)(C)S.CCC1(CCl)CO1,CCC(O)(CSC(C)(C)C)CSC(C)(C)C,CC(C)(C)S.CCC1(CCl)CO1>>CCC(O)(CSC(C)(C)C)CSC(C)(C)C,Synthesis and characterisation of thioether functionalized gallium and indium alkoxides,"Barth, Sven; Biegger, Felix; Puchberger, Michael","Dalton Transactions (2015), 44(37), 16439-16445","Synthesis and characterisation of thioether functionalized gallium and indium alkoxides | Barth, Sven; Biegger, Felix; Puchberger, Michael | Dalton Transactions (2015), 44(37), 16439-16445","75-66-1, 75484-32-1",1809033-92-8,7440-23-5,,64-17-5,,,,,,,1,1,82,,,,,,,"{""1"": 82}","[{""index"": 1, ""cas_rn"": ""75-66-1"", ""smiles"": ""CC(C)(C)S""}, {""index"": 2, ""cas_rn"": ""75484-32-1"", ""smiles"": ""CCC1(CCl)CO1""}]","[{""index"": 1, ""cas_rn"": ""1809033-92-8"", ""yield_pct"": ""82"", ""smiles"": ""CCC(O)(CSC(C)(C)C)CSC(C)(C)C""}]","[{""index"": 1, ""cas_rn"": ""7440-23-5""}]",[],"[{""index"": 1, ""cas_rn"": ""64-17-5""}]",alternative reaction conditions shown,
31-014-CAS-2204487,31-014-CAS-2204487,Reaction_20251105_2033.rdf,Thioether formation,93,,,ClCC1CO1.CCCCS,CCCCSCC(O)CSCCCC,ClCC1CO1.CCCCS>>CCCCSCC(O)CSCCCC,Synthesis and characterisation of thioether functionalized gallium and indium alkoxides,"Barth, Sven; Biegger, Felix; Puchberger, Michael","Dalton Transactions (2015), 44(37), 16439-16445","Synthesis and characterisation of thioether functionalized gallium and indium alkoxides | Barth, Sven; Biegger, Felix; Puchberger, Michael | Dalton Transactions (2015), 44(37), 16439-16445","106-89-8, 109-79-5",32338-86-6,7440-23-5,,64-17-5,,,,,,,1,1,93,,,,,,,"{""1"": 93}","[{""index"": 1, ""cas_rn"": ""106-89-8"", ""smiles"": ""ClCC1CO1""}, {""index"": 2, ""cas_rn"": ""109-79-5"", ""smiles"": ""CCCCS""}]","[{""index"": 1, ""cas_rn"": ""32338-86-6"", ""yield_pct"": ""93"", ""smiles"": ""CCCCSCC(O)CSCCCC""}]","[{""index"": 1, ""cas_rn"": ""7440-23-5""}]",[],"[{""index"": 1, ""cas_rn"": ""64-17-5""}]",alternative reaction conditions shown,
31-014-CAS-22407561,31-014-CAS-22407561,Reaction_20251105_2033.rdf,Thioether formation,99,,,CC(C)(C)S.ClCC1CO1,CC(C)(C)SCC(O)CSC(C)(C)C,CC(C)(C)S.ClCC1CO1>>CC(C)(C)SCC(O)CSC(C)(C)C,"Synthesis of functional 1,2-dithiolanes from 1,3-bis-tert-butyl thioethers","Scheutz, Georg M.; Rowell, Jonathan L.; Wang, Fu-Sheng; Abboud, Khalil A.; Peng, Chi-How; Sumerlin, Brent S.","Organic & Biomolecular Chemistry (2020), 18(33), 6509-6513","Synthesis of functional 1,2-dithiolanes from 1,3-bis-tert-butyl thioethers | Scheutz, Georg M.; Rowell, Jonathan L.; Wang, Fu-Sheng; Abboud, Khalil A.; Peng, Chi-How; Sumerlin, Brent S. | Organic & Biomolecular Chemistry (2020), 18(33), 6509-6513","75-66-1, 106-89-8",101855-82-7,"584-08-7, 1310-73-2",,"68-12-2, 60-29-7, 7732-18-5",,,,,,,2,1,99,,,,,,,"{""1"": 99}","[{""index"": 1, ""cas_rn"": ""75-66-1"", ""smiles"": ""CC(C)(C)S""}, {""index"": 2, ""cas_rn"": ""106-89-8"", ""smiles"": ""ClCC1CO1""}]","[{""index"": 1, ""cas_rn"": ""101855-82-7"", ""yield_pct"": ""99"", ""smiles"": ""CC(C)(C)SCC(O)CSC(C)(C)C""}]","[{""index"": 1, ""cas_rn"": ""584-08-7""}, {""index"": 2, ""cas_rn"": ""1310-73-2""}]",[],"[{""index"": 1, ""cas_rn"": ""68-12-2""}, {""index"": 2, ""cas_rn"": ""60-29-7""}, {""index"": 3, ""cas_rn"": ""7732-18-5""}]","regioselective, alternative preparation shown",
31-014-CAS-312035,31-014-CAS-312035,Reaction_20251105_2033 (2).rdf,Thioether formation,80,,,CC(C)(C)S.ClCC1CO1,CC(C)(C)SCC(O)CSC(C)(C)C,CC(C)(C)S.ClCC1CO1>>CC(C)(C)SCC(O)CSC(C)(C)C,Synthesis and characterisation of thioether functionalized gallium and indium alkoxides,"Barth, Sven; Biegger, Felix; Puchberger, Michael","Dalton Transactions (2015), 44(37), 16439-16445","Synthesis and characterisation of thioether functionalized gallium and indium alkoxides | Barth, Sven; Biegger, Felix; Puchberger, Michael | Dalton Transactions (2015), 44(37), 16439-16445","75-66-1, 106-89-8",101855-82-7,7440-23-5,,64-17-5,,,,,,,1,1,80,,,,,,,"{""1"": 80}","[{""index"": 1, ""cas_rn"": ""75-66-1"", ""smiles"": ""CC(C)(C)S""}, {""index"": 2, ""cas_rn"": ""106-89-8"", ""smiles"": ""ClCC1CO1""}]","[{""index"": 1, ""cas_rn"": ""101855-82-7"", ""yield_pct"": ""80"", ""smiles"": ""CC(C)(C)SCC(O)CSC(C)(C)C""}]","[{""index"": 1, ""cas_rn"": ""7440-23-5""}]",[],"[{""index"": 1, ""cas_rn"": ""64-17-5""}]",alternative reaction conditions shown,
31-014-CAS-4192451,31-014-CAS-4192451,Reaction_20251105_2033 (1).rdf,Thioether formation,88,,,CC(C)S.CCC1(CCl)CO1,CCC(O)(CSC(C)C)CSC(C)C,CC(C)S.CCC1(CCl)CO1>>CCC(O)(CSC(C)C)CSC(C)C,Synthesis and characterisation of thioether functionalized gallium and indium alkoxides,"Barth, Sven; Biegger, Felix; Puchberger, Michael","Dalton Transactions (2015), 44(37), 16439-16445","Synthesis and characterisation of thioether functionalized gallium and indium alkoxides | Barth, Sven; Biegger, Felix; Puchberger, Michael | Dalton Transactions (2015), 44(37), 16439-16445","75-33-2, 75484-32-1",1809033-93-9,7440-23-5,,64-17-5,,,,,,,1,1,88,,,,,,,"{""1"": 88}","[{""index"": 1, ""cas_rn"": ""75-33-2"", ""smiles"": ""CC(C)S""}, {""index"": 2, ""cas_rn"": ""75484-32-1"", ""smiles"": ""CCC1(CCl)CO1""}]","[{""index"": 1, ""cas_rn"": ""1809033-93-9"", ""yield_pct"": ""88"", ""smiles"": ""CCC(O)(CSC(C)C)CSC(C)C""}]","[{""index"": 1, ""cas_rn"": ""7440-23-5""}]",[],"[{""index"": 1, ""cas_rn"": ""64-17-5""}]",alternative reaction conditions shown,
31-026-CAS-10103095,31-026-CAS-10103095,Reaction_20251105_2033 (2).rdf,Thioether formation,85,,,Sc1ccccc1.CNc1ccccc1C(O)c1ccccc1OC,CNc1ccccc1[C@@H](Sc1ccccc1)c1ccccc1OC,Sc1ccccc1.CNc1ccccc1C(O)c1ccccc1OC>>CNc1ccccc1[C@@H](Sc1ccccc1)c1ccccc1OC,Asymmetric Bronsted Acid Catalyzed Substitution of Diaryl Methanols with Thiols and Alcohols for the Synthesis of Chiral Thioethers and Ethers,"Chatupheeraphat, Adisak; Liao, Hsuan-Hung; Mader, Steffen; Sako, Makoto; Sasai, Hiroaki; Atodiresei, Iuliana; Rueping, Magnus","Angewandte Chemie, International Edition (2016), 55(15), 4803-4807","Asymmetric Bronsted Acid Catalyzed Substitution of Diaryl Methanols with Thiols and Alcohols for the Synthesis of Chiral Thioethers and Ethers | Chatupheeraphat, Adisak; Liao, Hsuan-Hung; Mader, Steffen; Sako, Makoto; Sasai, Hiroaki; Atodiresei, Iuliana; Rueping, Magnus | Angewandte Chemie, International Edition (2016), 55(15), 4803-4807","108-98-5, 1884470-36-3",1884470-22-7,121-44-8,361342-51-0,108-88-3,,,,,,,2,1,85,,,,,,,"{""1"": 85}","[{""index"": 1, ""cas_rn"": ""108-98-5"", ""smiles"": ""Sc1ccccc1""}, {""index"": 2, ""cas_rn"": ""1884470-36-3"", ""smiles"": ""CNc1ccccc1C(O)c1ccccc1OC""}]","[{""index"": 1, ""cas_rn"": ""1884470-22-7"", ""yield_pct"": ""85"", ""smiles"": ""CNc1ccccc1[C@@H](Sc1ccccc1)c1ccccc1OC""}]","[{""index"": 1, ""cas_rn"": ""121-44-8""}]","[{""index"": 1, ""cas_rn"": ""361342-51-0""}]","[{""index"": 1, ""cas_rn"": ""108-88-3""}]","stereoselective, Michael addition",
31-026-CAS-10218256,31-026-CAS-10218256,Reaction_20251105_2033.rdf,Thioether formation,92,,,BrCc1ccccc1.IC1CCCCC1,c1ccc(CSC2CCCCC2)cc1,BrCc1ccccc1.IC1CCCCC1>>c1ccc(CSC2CCCCC2)cc1,One-Pot Metal-Free Synthesis of Benzyl Alkyl Sulfides,"Lu, Xiaogang; Wang, Hongmei; Gao, Runli; Pei, Chengxin","Phosphorus, Sulfur and Silicon and the Related Elements (2015), 190(1), 45-52","One-Pot Metal-Free Synthesis of Benzyl Alkyl Sulfides | Lu, Xiaogang; Wang, Hongmei; Gao, Runli; Pei, Chengxin | Phosphorus, Sulfur and Silicon and the Related Elements (2015), 190(1), 45-52","100-39-0, 626-62-0",19843-98-2,"62-56-6, 584-08-7",,68-12-2,,,,,,"General/Typical Procedure: Typical Procedure for the Reaction of Benzyl Bromide with Alkyl Halides and Thiourea Benzyl bromide (1 mmol), alkyl halide (1.1 mmol), thiourea (1.2 mmol), and K2CO3 (3 mmol) were added to 5 mL of DMF at 100°C. The reaction was stopped after the consumption of the benzyl bromide, which was monitored by gas chromatography (GC). Then, the reaction mixture was diluted with de-ionized water and extracted with CH2Cl2. The combined organic extracts were dried over anhydrous MgSO4, filtered, and concentrated by rotary evaporation to generate a crude product. Purification by silica gel chromatography eluting with n-hexane afforded pure thioethers. Benzyl(cyclohexyl)sulfane (4i). Colorless oil. 189 mg (0.918mmol, 91.8% yield). 1H NMR: δ 7.30-7.15 (m,5H), 3.65 (s, 1H), 2.37-2.33 (m, 1H), 1.54-1.45 (m, 2H), 1.35-1.19 (m, 6H), 0.87 (t, J = 7.0 Hz, 2H); 13C NMR: δ 140.09, 129.88, 129.29, 127.74, 36.96, 32.51, 32.14, 30.26, 29.54, 23.58, 14.49; HRMS (EI) calcd. for [C13H18S + H]+ requires m/z 206.1129, found 207.8443.",1,1,92,,,,,,,"{""1"": 92}","[{""index"": 1, ""cas_rn"": ""100-39-0"", ""smiles"": ""BrCc1ccccc1""}, {""index"": 2, ""cas_rn"": ""626-62-0"", ""smiles"": ""IC1CCCCC1""}]","[{""index"": 1, ""cas_rn"": ""19843-98-2"", ""yield_pct"": ""92"", ""smiles"": ""c1ccc(CSC2CCCCC2)cc1""}]","[{""index"": 1, ""cas_rn"": ""62-56-6""}, {""index"": 2, ""cas_rn"": ""584-08-7""}]",[],"[{""index"": 1, ""cas_rn"": ""68-12-2""}]","green chemistry, alternative preparation shown",
31-026-CAS-10249201,31-026-CAS-10249201,Reaction_20251105_2033 (1).rdf,Thioether formation,89,,,Cc1ccc(S)cc1.CCCCCl,CCCCSc1ccc(C)cc1,Cc1ccc(S)cc1.CCCCCl>>CCCCSc1ccc(C)cc1,Benign and efficient preparation of thioethers by solvent-free S-alkylation of thiols with alkyl halides catalyzed by potassium fluoride on alumina,"Nguyen, Kha Ngoc; Duus, Fritz; Luu, Thi Xuan Thi","Journal of Sulfur Chemistry (2016), 37(3), 349-360","Benign and efficient preparation of thioethers by solvent-free S-alkylation of thiols with alkyl halides catalyzed by potassium fluoride on alumina | Nguyen, Kha Ngoc; Duus, Fritz; Luu, Thi Xuan Thi | Journal of Sulfur Chemistry (2016), 37(3), 349-360","106-45-6, 109-69-3",21784-96-3,,7789-23-3,,,,,,,"General/Typical Procedure: S-alkylation of thiols into corresponding thioethers by KF/Al2O3 under solvent-free reaction conditions assisted by microwave irradiation (Method B) A suitable quantity of alkyl halides (1.5 mmol) and KF/Al2O3 (0.6 g) was added to a specific test tube (h = 9 cm, d = 1.5 cm) containing the thiol (1.5 mmol). The test tube was placed into a Discover CEM microwave oven. For each of the thiols, an irradiation program was fixed to operate at power of oven (4 W), reaction temperature (50°C) and reaction time (minutes), see Table 1. After cooling, the reaction mixture was extracted with dichloromethane (4 × 15 mL). The combined extracts were filtered, washed with water until neutral, and then dried by anhydrous Na2SO4. After removal of the solvent by rotary evaporation, the remaining crude product was analyzed by GC/MS and NMR spectroscopy. 4-Butylthiotoluene (Entry 4, Table 1). 1H NMR (CDCl3): δH = 7.25 (d, J = 8.0 Hz, 2H), 7.09 (d, J = 8.0 Hz, 2H), 2.88 (t, J = 7.5 Hz, 2H), 2.32 (s, 3H), 1.61 (quintet, J = 7 Hz, 2H), 1.44 (sextet, J = 7.5 Hz, 2H), 0.91 (t, J = 7.5 Hz, 3H). 13C NMR (CDCl3): δC = 135.81, 133.14, 129.77 (2C), 129.58 (2C), 34.04, 31.34, 21.91, 20.96, 13.62. MS: m/z = 180[M]+, 137, 124, 91.",1,1,89,,,,,,,"{""1"": 89}","[{""index"": 1, ""cas_rn"": ""106-45-6"", ""smiles"": ""Cc1ccc(S)cc1""}, {""index"": 2, ""cas_rn"": ""109-69-3"", ""smiles"": ""CCCCCl""}]","[{""index"": 1, ""cas_rn"": ""21784-96-3"", ""yield_pct"": ""89"", ""smiles"": ""CCCCSc1ccc(C)cc1""}]",[],"[{""index"": 1, ""cas_rn"": ""7789-23-3""}]",[],"green chemistry, green chemistry-catalyst, microwave irradiation (4W), solid-supported catalyst, potassium fluoride supported on alumina used as a catalyst, no solvent, alternative reaction conditions shown, catalyst prepared and used, recyclable catalyst, alternative preparation shown, optimization study, optimized on stoichiometry of catalyst",
