reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-006-CAS-21999972,Ugi 4-component reaction,76,,,O=C(O)c1ccccc1.CC(C)=O.[C-]#[N+]C1CCCCC1.CCOC(CCN)OCC>>CC(C)(C(=O)NC1CCCCC1)N(CCC=O)C(=O)c1ccccc1,"Journal of Organic Chemistry (2020), 85(11), 6910-6923","123-30-8, 590-93-2, 931-53-3, 1074-86-8",2569293-56-5,7647-01-0,,"67-56-1, 109-99-9, 7732-18-5",,,,,,,2,1,76,,,,,,,
31-043-CAS-21999891,Ugi 4-component reaction,76,,,O=C(O)c1ccccc1.CC(C)=O.[C-]#[N+]C1CCCCC1.COC(CN)OC>>CC1(C)C(=O)N(C2CCCCC2)C(N=[N+]=[N-])CN1C(=O)c1ccccc1,"Journal of Organic Chemistry (2020), 85(11), 6910-6923","87-51-4, 95-51-2, 931-53-3, 14371-10-9",2946746-99-0,"7647-01-0, 144-55-8, 4648-54-8, 109-63-7",,"67-56-1, 109-99-9, 7732-18-5, 75-09-2",,,,,,,6,1,76,,,,,,,Ugi reaction in stage 1
31-043-CAS-21999893,Ugi 4-component reaction,82,,,O=C(O)c1ccccc1.O=C1CCC1.[C-]#[N+]Cc1ccccc1.COC(CN)OC>>[N-]=[N+]=NC1CN(C(=O)c2ccccc2)C2(CCC2)C(=O)N1Cc1ccccc1,"Journal of Organic Chemistry (2020), 85(11), 6910-6923","64-18-6, 104-88-1, 106-47-8, 10349-38-9",2797985-72-7,"7647-01-0, 144-55-8, 4648-54-8, 109-63-7",,"67-56-1, 109-99-9, 7732-18-5, 75-09-2",,,,,,,6,1,82,,,,,,,Ugi reaction in stage 1
31-085-CAS-21999903,Ugi 4-component reaction,80,,,O=C(O)c1ccccc1.CC(C)=O.[C-]#[N+]Cc1ccccc1.COC(CN)OC.Cn1ccc2ccccc21>>Cn1cc(C2CN(C(=O)c3ccccc3)C(C)(C)C(=O)N2Cc2ccccc2)c2ccccc21,"Journal of Organic Chemistry (2020), 85(11), 6910-6923","62-53-3, 100-52-7, 79-11-8, 1885-81-0",2764829-46-9,"7647-01-0, 144-55-8, 109-63-7",,"67-56-1, 109-99-9, 7732-18-5, 75-09-2",,,,,,,6,1,80,,,,,,,Ugi reaction in stage 1
31-085-CAS-21999905,Ugi 4-component reaction,76,,,O=C(O)c1ccccc1.CC(C)=O.[C-]#[N+]C1CCCCC1.COC(CN)OC.Cn1ccc2ccccc21>>Cn1cc(C2CN(C(=O)c3ccccc3)C(C)(C)C(=O)N2C2CCCCC2)c2ccccc21,"Journal of Organic Chemistry (2020), 85(11), 6910-6923","74-89-5, 1829-21-6, 26260-02-6, 7188-38-7",2715145-94-9,"7647-01-0, 144-55-8, 109-63-7",,"67-56-1, 109-99-9, 7732-18-5, 75-09-2",,,,,,,6,1,76,,,,,,,Ugi reaction in stage 1
31-085-CAS-21999910,Ugi 4-component reaction,76,,,O=C(O)c1ccccc1.O=C1CCC1.[C-]#[N+]Cc1ccccc1.COC(CN)OC.Cn1ccc2ccccc21>>Cn1cc(C2CN(C(=O)c3ccccc3)C3(CCC3)C(=O)N2Cc2ccccc2)c2ccccc21,"Journal of Organic Chemistry (2020), 85(11), 6910-6923","590-92-1, 1121-60-4, 22483-09-6, 63609-01-8",2770268-65-8,"7647-01-0, 144-55-8, 109-63-7",,"67-56-1, 109-99-9, 7732-18-5, 75-09-2",,,,,,,6,1,76,,,,,,,Ugi reaction in stage 1
31-085-CAS-21999912,Ugi 4-component reaction,76,,,O=C(O)c1ccccc1.[C-]#[N+]C1CCCCC1.O=C1CCC1.COC(CN)OC.Cn1ccc2ccccc21>>Cn1cc(C2CN(C(=O)c3ccccc3)C3(CCC3)C(=O)N2C2CCCCC2)c2ccccc21,"Journal of Organic Chemistry (2020), 85(11), 6910-6923","128376-64-7, 214360-73-3, 797755-07-8, 2001005-89-4",2803466-13-7,"7647-01-0, 144-55-8, 109-63-7",,"67-56-1, 109-99-9, 7732-18-5, 75-09-2",,,,,,,6,1,76,,,,,,,Ugi reaction in stage 1
31-309-CAS-21589395,Ugi 4-component reaction,70,,,Cc1ccc(C(=O)C=O)cc1.NCCCBr.O=C(O)c1ccccc1[N+](=O)[O-].[C-]#[N+]C1CCCCC1>>Cc1ccc(/C(O)=C(/C(=O)NC2CCCCC2)N(CCCBr)C(=O)c2ccccc2[N+](=O)[O-])cc1,"Journal of Organic Chemistry (2020), 85(4), 2291-2302","2975-46-4, 7188-38-7, 1609111-16-1",2923762-23-4,,,67-56-1,,,,,,,2,1,70,,,,,,,Ugi reaction
31-309-CAS-21589398,Ugi 4-component reaction,79,,,Cc1ccc(C(=O)C=O)cc1.C#CCN.O=C(O)c1ccccc1[N+](=O)[O-].[C-]#[N+]C1CCCCC1>>C#CCN(C(=O)c1ccccc1[N+](=O)[O-])/C(C(=O)NC1CCCCC1)=C(/O)c1ccc(C)cc1,"Journal of Organic Chemistry (2020), 85(4), 2291-2302","471-25-0, 1122-91-4, 10340-91-7, 1935629-12-1",2761003-03-4,,,67-56-1,,,,,,,2,1,79,,,,,,,Ugi reaction
31-309-CAS-21589401,Ugi 4-component reaction,72,,,O=CC(=O)c1ccccc1.C#CCN.[C-]#[N+]C1CCCCC1.O=C(O)c1cc(Cl)ccc1[N+](=O)[O-]>>C#CCN(C(=O)c1cc(Cl)ccc1[N+](=O)[O-])/C(C(=O)NC1CCCCC1)=C(/O)c1ccccc1,"Journal of Organic Chemistry (2020), 85(4), 2291-2302","15231-41-1, 27996-87-8, 29022-11-5, 7188-38-7",2768590-56-1,,,67-56-1,,,,,,,2,1,72,,,,,,,Ugi reaction
