reaction_id,duplicate_reaction_ids,source_files,reaction_type,yield_pct,temperature_c,time_h,reactant_smiles,product_smiles,reaction_smiles,title,authors,citation,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,product_yields_json,reactants_json,products_json,reagents_json,catalysts_json,solvents_json,notes,structure_warnings
31-046-CAS-22845770,31-046-CAS-22845770,Reaction_20251105_2053 (1).rdf,Weinreb amide,77,,,ClCBr.CON(C)C(=O)CCc1ccccc1,O=C(CCc1ccccc1)C(Br)I,ClCBr.CON(C)C(=O)CCc1ccccc1>>O=C(CCc1ccccc1)C(Br)I,"Modular and Chemoselective Strategy for Accessing (Distinct) α,α-Dihaloketones from Weinreb Amides and Dihalomethyllithiums","Touqeer, Saad; Senatore, Raffaele; Malik, Monika; Urban, Ernst; Pace, Vittorio","Advanced Synthesis & Catalysis (2020), 362(22), 5056-5061","Modular and Chemoselective Strategy for Accessing (Distinct) α,α-Dihaloketones from Weinreb Amides and Dihalomethyllithiums | Touqeer, Saad; Senatore, Raffaele; Malik, Monika; Urban, Ernst; Pace, Vittorio | Advanced Synthesis & Catalysis (2020), 362(22), 5056-5061","74-97-5, 170646-96-5",2531013-52-0,"4111-54-0, 12125-02-9",,"109-99-9, 7732-18-5",,,,,,,2,1,77,,,,,,,"{""1"": 77}","[{""index"": 1, ""cas_rn"": ""74-97-5"", ""smiles"": ""ClCBr""}, {""index"": 2, ""cas_rn"": ""170646-96-5"", ""smiles"": ""CON(C)C(=O)CCc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""2531013-52-0"", ""yield_pct"": ""77"", ""smiles"": ""O=C(CCc1ccccc1)C(Br)I""}]","[{""index"": 1, ""cas_rn"": ""4111-54-0""}, {""index"": 2, ""cas_rn"": ""12125-02-9""}]",[],"[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",chemoselective,
31-049-CAS-19587767,31-049-CAS-19587767,Reaction_20251105_2053 (1).rdf,Weinreb amide,63,,,CCCCCCCCc1cc[c]([Mg][Br])cc1.CON(C)C(=O)C[C@@H]1C[C@@H](O[Si](C)(C)C(C)(C)C)CN1C(=O)OC(C)(C)C,CCCCCCCCc1ccc(C(=O)C[C@@H]2C[C@@H](O)CN2C(=O)OC(C)(C)C)cc1,CCCCCCCCc1cc[c]([Mg][Br])cc1.CON(C)C(=O)C[C@@H]1C[C@@H](O[Si](C)(C)C(C)(C)C)CN1C(=O)OC(C)(C)C>>CCCCCCCCc1ccc(C(=O)C[C@@H]2C[C@@H](O)CN2C(=O)OC(C)(C)C)cc1,In search of constrained FTY720 and phytosphingosine analogs as dual acting anticancer agents targeting metabolic and epigenetic pathways,"Garsi, Jean-Baptiste; Sernissi, Lorenzo; Vece, Vito; Hanessian, Stephen; McCracken, Alison N.; Simitian, Grigor; Edinger, Aimee L.","European Journal of Medicinal Chemistry (2018), 159217-242","In search of constrained FTY720 and phytosphingosine analogs as dual acting anticancer agents targeting metabolic and epigenetic pathways | Garsi, Jean-Baptiste; Sernissi, Lorenzo; Vece, Vito; Hanessian, Stephen; McCracken, Alison N.; Simitian, Grigor; Edinger, Aimee L. | European Journal of Medicinal Chemistry (2018), 159217-242","71691-02-6, 2248122-84-9",2248122-86-1,429-41-4,,"60-29-7, 109-99-9",,,,,,,2,1,63,,,,,,,"{""1"": 63}","[{""index"": 1, ""cas_rn"": ""71691-02-6"", ""smiles"": ""CCCCCCCCc1cc[c]([Mg][Br])cc1""}, {""index"": 2, ""cas_rn"": ""2248122-84-9"", ""smiles"": ""CON(C)C(=O)C[C@@H]1C[C@@H](O[Si](C)(C)C(C)(C)C)CN1C(=O)OC(C)(C)C""}]","[{""index"": 1, ""cas_rn"": ""2248122-86-1"", ""yield_pct"": ""63"", ""smiles"": ""CCCCCCCCc1ccc(C(=O)C[C@@H]2C[C@@H](O)CN2C(=O)OC(C)(C)C)cc1""}]","[{""index"": 1, ""cas_rn"": ""429-41-4""}]",[],"[{""index"": 1, ""cas_rn"": ""60-29-7""}, {""index"": 2, ""cas_rn"": ""109-99-9""}]",,
31-049-CAS-19587786,31-049-CAS-19587786,Reaction_20251105_2053 (1).rdf,Weinreb amide,44,,,CCCCCCCCc1cc[c]([Mg][Br])cc1.CON(C)C(=O)CC[C@H]1C[C@H](CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)CN1C(=O)OC(C)(C)C,CCCCCCCCc1ccc(C(=O)CC[C@H]2C[C@H](CO)CN2C(=O)OC(C)(C)C)cc1,CCCCCCCCc1cc[c]([Mg][Br])cc1.CON(C)C(=O)CC[C@H]1C[C@H](CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)CN1C(=O)OC(C)(C)C>>CCCCCCCCc1ccc(C(=O)CC[C@H]2C[C@H](CO)CN2C(=O)OC(C)(C)C)cc1,In search of constrained FTY720 and phytosphingosine analogs as dual acting anticancer agents targeting metabolic and epigenetic pathways,"Garsi, Jean-Baptiste; Sernissi, Lorenzo; Vece, Vito; Hanessian, Stephen; McCracken, Alison N.; Simitian, Grigor; Edinger, Aimee L.","European Journal of Medicinal Chemistry (2018), 159217-242","In search of constrained FTY720 and phytosphingosine analogs as dual acting anticancer agents targeting metabolic and epigenetic pathways | Garsi, Jean-Baptiste; Sernissi, Lorenzo; Vece, Vito; Hanessian, Stephen; McCracken, Alison N.; Simitian, Grigor; Edinger, Aimee L. | European Journal of Medicinal Chemistry (2018), 159217-242","71691-02-6, 2248123-08-0",2248123-09-1,429-41-4,,"60-29-7, 109-99-9",,,,,,,2,1,44,,,,,,,"{""1"": 44}","[{""index"": 1, ""cas_rn"": ""71691-02-6"", ""smiles"": ""CCCCCCCCc1cc[c]([Mg][Br])cc1""}, {""index"": 2, ""cas_rn"": ""2248123-08-0"", ""smiles"": ""CON(C)C(=O)CC[C@H]1C[C@H](CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)CN1C(=O)OC(C)(C)C""}]","[{""index"": 1, ""cas_rn"": ""2248123-09-1"", ""yield_pct"": ""44"", ""smiles"": ""CCCCCCCCc1ccc(C(=O)CC[C@H]2C[C@H](CO)CN2C(=O)OC(C)(C)C)cc1""}]","[{""index"": 1, ""cas_rn"": ""429-41-4""}]",[],"[{""index"": 1, ""cas_rn"": ""60-29-7""}, {""index"": 2, ""cas_rn"": ""109-99-9""}]",,
31-049-CAS-19587793,31-049-CAS-19587793,Reaction_20251105_2053 (1).rdf,Weinreb amide,59,,,CCCCCCCCc1cc[c]([Mg][Br])cc1.CON(C)C(=O)CC[C@@H]1C[C@@H](O[Si](C)(C)C(C)(C)C)CN1C(=O)OC(C)(C)C,CCCCCCCCc1ccc(C(=O)CC[C@@H]2C[C@@H](O)CN2C(=O)OC(C)(C)C)cc1,CCCCCCCCc1cc[c]([Mg][Br])cc1.CON(C)C(=O)CC[C@@H]1C[C@@H](O[Si](C)(C)C(C)(C)C)CN1C(=O)OC(C)(C)C>>CCCCCCCCc1ccc(C(=O)CC[C@@H]2C[C@@H](O)CN2C(=O)OC(C)(C)C)cc1,In search of constrained FTY720 and phytosphingosine analogs as dual acting anticancer agents targeting metabolic and epigenetic pathways,"Garsi, Jean-Baptiste; Sernissi, Lorenzo; Vece, Vito; Hanessian, Stephen; McCracken, Alison N.; Simitian, Grigor; Edinger, Aimee L.","European Journal of Medicinal Chemistry (2018), 159217-242","In search of constrained FTY720 and phytosphingosine analogs as dual acting anticancer agents targeting metabolic and epigenetic pathways | Garsi, Jean-Baptiste; Sernissi, Lorenzo; Vece, Vito; Hanessian, Stephen; McCracken, Alison N.; Simitian, Grigor; Edinger, Aimee L. | European Journal of Medicinal Chemistry (2018), 159217-242","71691-02-6, 2248123-17-1",2248123-18-2,429-41-4,,"60-29-7, 109-99-9",,,,,,,2,1,59,,,,,,,"{""1"": 59}","[{""index"": 1, ""cas_rn"": ""71691-02-6"", ""smiles"": ""CCCCCCCCc1cc[c]([Mg][Br])cc1""}, {""index"": 2, ""cas_rn"": ""2248123-17-1"", ""smiles"": ""CON(C)C(=O)CC[C@@H]1C[C@@H](O[Si](C)(C)C(C)(C)C)CN1C(=O)OC(C)(C)C""}]","[{""index"": 1, ""cas_rn"": ""2248123-18-2"", ""yield_pct"": ""59"", ""smiles"": ""CCCCCCCCc1ccc(C(=O)CC[C@@H]2C[C@@H](O)CN2C(=O)OC(C)(C)C)cc1""}]","[{""index"": 1, ""cas_rn"": ""429-41-4""}]",[],"[{""index"": 1, ""cas_rn"": ""60-29-7""}, {""index"": 2, ""cas_rn"": ""109-99-9""}]",,
31-049-CAS-19587811,31-049-CAS-19587811,Reaction_20251105_2053 (1).rdf,Weinreb amide,65,,,CCCCCCCCc1cc[c]([Mg][Br])cc1.CON(C)C(=O)[C@@H]1C[C@@H](O[Si](C)(C)C(C)(C)C)CN1C(=O)OC(C)(C)C,CCCCCCCCc1ccc(C(=O)[C@@H]2C[C@@H](O)CN2C(=O)OC(C)(C)C)cc1,CCCCCCCCc1cc[c]([Mg][Br])cc1.CON(C)C(=O)[C@@H]1C[C@@H](O[Si](C)(C)C(C)(C)C)CN1C(=O)OC(C)(C)C>>CCCCCCCCc1ccc(C(=O)[C@@H]2C[C@@H](O)CN2C(=O)OC(C)(C)C)cc1,In search of constrained FTY720 and phytosphingosine analogs as dual acting anticancer agents targeting metabolic and epigenetic pathways,"Garsi, Jean-Baptiste; Sernissi, Lorenzo; Vece, Vito; Hanessian, Stephen; McCracken, Alison N.; Simitian, Grigor; Edinger, Aimee L.","European Journal of Medicinal Chemistry (2018), 159217-242","In search of constrained FTY720 and phytosphingosine analogs as dual acting anticancer agents targeting metabolic and epigenetic pathways | Garsi, Jean-Baptiste; Sernissi, Lorenzo; Vece, Vito; Hanessian, Stephen; McCracken, Alison N.; Simitian, Grigor; Edinger, Aimee L. | European Journal of Medicinal Chemistry (2018), 159217-242","71691-02-6, 143790-20-9",2248123-40-0,7647-01-0,,"60-29-7, 123-91-1",,,,,,,2,1,65,,,,,,,"{""1"": 65}","[{""index"": 1, ""cas_rn"": ""71691-02-6"", ""smiles"": ""CCCCCCCCc1cc[c]([Mg][Br])cc1""}, {""index"": 2, ""cas_rn"": ""143790-20-9"", ""smiles"": ""CON(C)C(=O)[C@@H]1C[C@@H](O[Si](C)(C)C(C)(C)C)CN1C(=O)OC(C)(C)C""}]","[{""index"": 1, ""cas_rn"": ""2248123-40-0"", ""yield_pct"": ""65"", ""smiles"": ""CCCCCCCCc1ccc(C(=O)[C@@H]2C[C@@H](O)CN2C(=O)OC(C)(C)C)cc1""}]","[{""index"": 1, ""cas_rn"": ""7647-01-0""}]",[],"[{""index"": 1, ""cas_rn"": ""60-29-7""}, {""index"": 2, ""cas_rn"": ""123-91-1""}]",,
31-049-CAS-19587815,31-049-CAS-19587815,Reaction_20251105_2053 (1).rdf,Weinreb amide,62,,,CCCCCCCCc1cc[c]([Mg][Br])cc1.CON(C)C(=O)[C@H]1C[C@H](O[Si](C)(C)C(C)(C)C)CN1C(=O)OC(C)(C)C,CCCCCCCCc1ccc(C(=O)[C@H]2C[C@H](O)CN2C(=O)OC(C)(C)C)cc1,CCCCCCCCc1cc[c]([Mg][Br])cc1.CON(C)C(=O)[C@H]1C[C@H](O[Si](C)(C)C(C)(C)C)CN1C(=O)OC(C)(C)C>>CCCCCCCCc1ccc(C(=O)[C@H]2C[C@H](O)CN2C(=O)OC(C)(C)C)cc1,In search of constrained FTY720 and phytosphingosine analogs as dual acting anticancer agents targeting metabolic and epigenetic pathways,"Garsi, Jean-Baptiste; Sernissi, Lorenzo; Vece, Vito; Hanessian, Stephen; McCracken, Alison N.; Simitian, Grigor; Edinger, Aimee L.","European Journal of Medicinal Chemistry (2018), 159217-242","In search of constrained FTY720 and phytosphingosine analogs as dual acting anticancer agents targeting metabolic and epigenetic pathways | Garsi, Jean-Baptiste; Sernissi, Lorenzo; Vece, Vito; Hanessian, Stephen; McCracken, Alison N.; Simitian, Grigor; Edinger, Aimee L. | European Journal of Medicinal Chemistry (2018), 159217-242","71691-02-6, 2088455-63-2",2248123-41-1,7647-01-0,,"60-29-7, 123-91-1",,,,,,,2,1,62,,,,,,,"{""1"": 62}","[{""index"": 1, ""cas_rn"": ""71691-02-6"", ""smiles"": ""CCCCCCCCc1cc[c]([Mg][Br])cc1""}, {""index"": 2, ""cas_rn"": ""2088455-63-2"", ""smiles"": ""CON(C)C(=O)[C@H]1C[C@H](O[Si](C)(C)C(C)(C)C)CN1C(=O)OC(C)(C)C""}]","[{""index"": 1, ""cas_rn"": ""2248123-41-1"", ""yield_pct"": ""62"", ""smiles"": ""CCCCCCCCc1ccc(C(=O)[C@H]2C[C@H](O)CN2C(=O)OC(C)(C)C)cc1""}]","[{""index"": 1, ""cas_rn"": ""7647-01-0""}]",[],"[{""index"": 1, ""cas_rn"": ""60-29-7""}, {""index"": 2, ""cas_rn"": ""123-91-1""}]",,
31-049-CAS-19587823,31-049-CAS-19587823,Reaction_20251105_2053 (1).rdf,Weinreb amide,48,,,CCCCCCCCc1cc[c]([Mg][Br])cc1.CON(C)C(=O)[C@H]1C[C@H](CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)CN1C(=O)OC(C)(C)C,CCCCCCCCc1ccc(C(=O)[C@H]2C[C@H](CO)CN2C(=O)OC(C)(C)C)cc1,CCCCCCCCc1cc[c]([Mg][Br])cc1.CON(C)C(=O)[C@H]1C[C@H](CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)CN1C(=O)OC(C)(C)C>>CCCCCCCCc1ccc(C(=O)[C@H]2C[C@H](CO)CN2C(=O)OC(C)(C)C)cc1,In search of constrained FTY720 and phytosphingosine analogs as dual acting anticancer agents targeting metabolic and epigenetic pathways,"Garsi, Jean-Baptiste; Sernissi, Lorenzo; Vece, Vito; Hanessian, Stephen; McCracken, Alison N.; Simitian, Grigor; Edinger, Aimee L.","European Journal of Medicinal Chemistry (2018), 159217-242","In search of constrained FTY720 and phytosphingosine analogs as dual acting anticancer agents targeting metabolic and epigenetic pathways | Garsi, Jean-Baptiste; Sernissi, Lorenzo; Vece, Vito; Hanessian, Stephen; McCracken, Alison N.; Simitian, Grigor; Edinger, Aimee L. | European Journal of Medicinal Chemistry (2018), 159217-242","71691-02-6, 2248123-49-9",2248123-50-2,429-41-4,,"60-29-7, 109-99-9",,,,,,,2,1,48,,,,,,,"{""1"": 48}","[{""index"": 1, ""cas_rn"": ""71691-02-6"", ""smiles"": ""CCCCCCCCc1cc[c]([Mg][Br])cc1""}, {""index"": 2, ""cas_rn"": ""2248123-49-9"", ""smiles"": ""CON(C)C(=O)[C@H]1C[C@H](CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)CN1C(=O)OC(C)(C)C""}]","[{""index"": 1, ""cas_rn"": ""2248123-50-2"", ""yield_pct"": ""48"", ""smiles"": ""CCCCCCCCc1ccc(C(=O)[C@H]2C[C@H](CO)CN2C(=O)OC(C)(C)C)cc1""}]","[{""index"": 1, ""cas_rn"": ""429-41-4""}]",[],"[{""index"": 1, ""cas_rn"": ""60-29-7""}, {""index"": 2, ""cas_rn"": ""109-99-9""}]",,
31-049-CAS-19587828,31-049-CAS-19587828,Reaction_20251105_2053 (1).rdf,Weinreb amide,59,,,CON(C)C(=O)[C@@H]1C[C@@H](O[Si](C)(C)C(C)(C)C)CN1C(=O)OC(C)(C)C.CCCCCCCCc1ccc([CH2][Mg][Br])cc1,CCCCCCCCc1ccc(CC(=O)[C@@H]2C[C@@H](O)CN2C(=O)OC(C)(C)C)cc1,CON(C)C(=O)[C@@H]1C[C@@H](O[Si](C)(C)C(C)(C)C)CN1C(=O)OC(C)(C)C.CCCCCCCCc1ccc([CH2][Mg][Br])cc1>>CCCCCCCCc1ccc(CC(=O)[C@@H]2C[C@@H](O)CN2C(=O)OC(C)(C)C)cc1,In search of constrained FTY720 and phytosphingosine analogs as dual acting anticancer agents targeting metabolic and epigenetic pathways,"Garsi, Jean-Baptiste; Sernissi, Lorenzo; Vece, Vito; Hanessian, Stephen; McCracken, Alison N.; Simitian, Grigor; Edinger, Aimee L.","European Journal of Medicinal Chemistry (2018), 159217-242","In search of constrained FTY720 and phytosphingosine analogs as dual acting anticancer agents targeting metabolic and epigenetic pathways | Garsi, Jean-Baptiste; Sernissi, Lorenzo; Vece, Vito; Hanessian, Stephen; McCracken, Alison N.; Simitian, Grigor; Edinger, Aimee L. | European Journal of Medicinal Chemistry (2018), 159217-242","143790-20-9, 2248123-88-6",2248123-53-5,429-41-4,,"60-29-7, 109-99-9",,,,,,,2,1,59,,,,,,,"{""1"": 59}","[{""index"": 1, ""cas_rn"": ""143790-20-9"", ""smiles"": ""CON(C)C(=O)[C@@H]1C[C@@H](O[Si](C)(C)C(C)(C)C)CN1C(=O)OC(C)(C)C""}, {""index"": 2, ""cas_rn"": ""2248123-88-6"", ""smiles"": ""CCCCCCCCc1ccc([CH2][Mg][Br])cc1""}]","[{""index"": 1, ""cas_rn"": ""2248123-53-5"", ""yield_pct"": ""59"", ""smiles"": ""CCCCCCCCc1ccc(CC(=O)[C@@H]2C[C@@H](O)CN2C(=O)OC(C)(C)C)cc1""}]","[{""index"": 1, ""cas_rn"": ""429-41-4""}]",[],"[{""index"": 1, ""cas_rn"": ""60-29-7""}, {""index"": 2, ""cas_rn"": ""109-99-9""}]",,
31-049-CAS-19587831,31-049-CAS-19587831,Reaction_20251105_2053 (1).rdf,Weinreb amide,68,,,CON(C)C(=O)[C@H]1C[C@H](O[Si](C)(C)C(C)(C)C)CN1C(=O)OC(C)(C)C.CCCCCCCCc1ccc([CH2][Mg][Br])cc1,CCCCCCCCc1ccc(CC(=O)[C@H]2C[C@H](O)CN2C(=O)OC(C)(C)C)cc1,CON(C)C(=O)[C@H]1C[C@H](O[Si](C)(C)C(C)(C)C)CN1C(=O)OC(C)(C)C.CCCCCCCCc1ccc([CH2][Mg][Br])cc1>>CCCCCCCCc1ccc(CC(=O)[C@H]2C[C@H](O)CN2C(=O)OC(C)(C)C)cc1,In search of constrained FTY720 and phytosphingosine analogs as dual acting anticancer agents targeting metabolic and epigenetic pathways,"Garsi, Jean-Baptiste; Sernissi, Lorenzo; Vece, Vito; Hanessian, Stephen; McCracken, Alison N.; Simitian, Grigor; Edinger, Aimee L.","European Journal of Medicinal Chemistry (2018), 159217-242","In search of constrained FTY720 and phytosphingosine analogs as dual acting anticancer agents targeting metabolic and epigenetic pathways | Garsi, Jean-Baptiste; Sernissi, Lorenzo; Vece, Vito; Hanessian, Stephen; McCracken, Alison N.; Simitian, Grigor; Edinger, Aimee L. | European Journal of Medicinal Chemistry (2018), 159217-242","2088455-63-2, 2248123-88-6",2248123-54-6,429-41-4,,"60-29-7, 109-99-9",,,,,,,2,1,68,,,,,,,"{""1"": 68}","[{""index"": 1, ""cas_rn"": ""2088455-63-2"", ""smiles"": ""CON(C)C(=O)[C@H]1C[C@H](O[Si](C)(C)C(C)(C)C)CN1C(=O)OC(C)(C)C""}, {""index"": 2, ""cas_rn"": ""2248123-88-6"", ""smiles"": ""CCCCCCCCc1ccc([CH2][Mg][Br])cc1""}]","[{""index"": 1, ""cas_rn"": ""2248123-54-6"", ""yield_pct"": ""68"", ""smiles"": ""CCCCCCCCc1ccc(CC(=O)[C@H]2C[C@H](O)CN2C(=O)OC(C)(C)C)cc1""}]","[{""index"": 1, ""cas_rn"": ""429-41-4""}]",[],"[{""index"": 1, ""cas_rn"": ""60-29-7""}, {""index"": 2, ""cas_rn"": ""109-99-9""}]",,
31-117-CAS-19206288,31-117-CAS-19206288,Reaction_20251105_2053.rdf,Weinreb amide,38,,,C=C[CH2][Mg][Br].CON(C)C(=O)C[C@H]1CC[C@@H](CC(=O)N(C)OC)N1Cc1ccccc1,C/C=C/C(=O)C[C@H]1CC[C@@H](CC(=O)/C=C/C)N1Cc1ccccc1.C=CCC(=O)C[C@H]1CC[C@@H](CC(=O)CC=C)N1Cc1ccccc1,C=C[CH2][Mg][Br].CON(C)C(=O)C[C@H]1CC[C@@H](CC(=O)N(C)OC)N1Cc1ccccc1>>C/C=C/C(=O)C[C@H]1CC[C@@H](CC(=O)/C=C/C)N1Cc1ccccc1.C=CCC(=O)C[C@H]1CC[C@@H](CC(=O)CC=C)N1Cc1ccccc1,The dual reactivity of Weinreb amides applied to the late-stage divergent functionalisation of meso pyrrolidines,"Boufroura, Hamza; Sevaille, Laurent; Gigant, Nicolas; Drege, Emmanuelle; Joseph, Delphine","New Journal of Chemistry (2018), 42(15), 12403-12411","The dual reactivity of Weinreb amides applied to the late-stage divergent functionalisation of meso pyrrolidines | Boufroura, Hamza; Sevaille, Laurent; Gigant, Nicolas; Drege, Emmanuelle; Joseph, Delphine | New Journal of Chemistry (2018), 42(15), 12403-12411","1730-25-2, 2230306-81-5","2230306-98-4, 2230307-01-2",12125-02-9,,"109-99-9, 7732-18-5",,,,,,,2,1,38,18,,,,,,"{""1"": 38, ""2"": 18}","[{""index"": 1, ""cas_rn"": ""1730-25-2"", ""smiles"": ""C=C[CH2][Mg][Br]""}, {""index"": 2, ""cas_rn"": ""2230306-81-5"", ""smiles"": ""CON(C)C(=O)C[C@H]1CC[C@@H](CC(=O)N(C)OC)N1Cc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""2230306-98-4"", ""yield_pct"": ""38"", ""smiles"": ""C/C=C/C(=O)C[C@H]1CC[C@@H](CC(=O)/C=C/C)N1Cc1ccccc1""}, {""index"": 2, ""cas_rn"": ""2230307-01-2"", ""yield_pct"": ""18"", ""smiles"": ""C=CCC(=O)C[C@H]1CC[C@@H](CC(=O)CC=C)N1Cc1ccccc1""}]","[{""index"": 1, ""cas_rn"": ""12125-02-9""}]",[],"[{""index"": 1, ""cas_rn"": ""109-99-9""}, {""index"": 2, ""cas_rn"": ""7732-18-5""}]",chemoselective,
