source_reaction_type,reactive_site_1_display_label,reactive_site_1_signature,reactive_site_1_center_class,reactive_site_1_attachment_class,reactive_site_1_alpha_branched,reactive_site_2_display_label,reactive_site_2_signature,reactive_site_2_center_class,reactive_site_2_attachment_class,reactive_site_2_alpha_branched,yield_pct,z_score,condition_recipe_id,condition_display,temperature_c,time_h,concentration_m,atmosphere,condition_identity_uncertainty,procedure_text
CH-Activation,Ar–H,CH|ArH,,,,Ar–Br,LG|Ar|Br,,,,48.01,0.42,RCR1:87b53eda15e513de454dd82ff7dbc616cddf76bb30736276374ff28144380848,XantPhos Pd(allyl)Cl [catalyst]; XantPhos [ligand]; K2CO3 [base]; DMAc [solvent]; water [solvent]; KOPiv [additive],25,17,,,true,17 h at 25 °C
CH-Activation,Ar–H,CH|ArH,,,,Ar–Br,LG|Ar|Br,,,,76.99,1.34,RCR1:7610605e68e1ec7eee057b914e2c1496f53903a765a849b097074837a1168311,XantPhosPdCl2 [catalyst]; XantPhos [ligand]; K2CO3 [base]; anisole [solvent]; NMP [solvent]; KOPiv [additive],25,21,,,true,21 h at 25 °C
CH-Activation,Ar–H,CH|ArH,,,,Ar–Br,LG|Ar|Br,,,,39.24,0.14,RCR1:b5c95634759501e03c45d2f4c2d2c7d4c42ed8fbdcb4b934aa6f4190e3110c78,XantPhosPdCl2 [catalyst]; XantPhos [ligand]; K2CO3 [base]; NMI [base]; anisole [solvent]; KOPiv [additive],25,23,,,true,23 h at 25 °C
CH-Activation,Ar–H,CH|ArH,,,,Ar–Br,LG|Ar|Br,,,,24.36,-0.33,RCR1:a7544e0f624546c07f50791fa0b0cfc1cf858416afb4f5ff4439273100a0bc86,"XantPhosPdCl2 [catalyst]; XantPhos [ligand]; K2CO3 [base]; anisole [solvent]; KOPiv, water [additive]",25,47,,,true,47 h at 25 °C
CH-Activation,Ar–H,CH|ArH,,,,Ar–Br,LG|Ar|Br,,,,87.46,1.67,RCR1:e86c909bc2d15a10cc5712cd80570d11c02e62e8cb40c8200ec6141c5c430dc6,"XantPhosPdCl2 [catalyst]; Xantphos [ligand]; XantPhos [ligand]; K2CO3 [base]; anisole [solvent]; KOPiv, water [additive]",25,45,,,true,45 h at 25 °C
Suzuki-Miyaura,Ar–Br,LG|Ar|Br,,,,Ar–B(OR)₂,TM|Ar|B(OR)2,,,,38.07,-0.48,RCR1:9bad83d39c466ddcabded3b3b80ab6057cf95f1aec8acceb254ff4f9723dc731,PPh3)2PdCl2 [catalyst]; PPh3 [ligand]; K3PO4 [base]; PhMe [solvent]; water [solvent],25,4,,,true,4 h at 25 °C
Suzuki-Miyaura,Ar–Br,LG|Ar|Br,,,,Ar–B(OR)₂,TM|Ar|B(OR)2,,,,2.03,-1.67,RCR1:4f729bee2d5aa0c2efe65b1deddf71cf20f2ca9935df4c4befaf4dba54a120f6,PPh3)2PdCl2 [catalyst]; PPh3 [ligand]; K3PO4 [base]; THF [solvent]; water [solvent],25,3,,,true,3 h at 25 °C
Suzuki-Miyaura,Ar–Br,LG|Ar|Br,,,,Ar–B(OR)₂,TM|Ar|B(OR)2,,,,76.93,0.8,RCR1:df27d5731beb614e31b70d4a7eea385f1b4d3877647add9ca1fa27b9d786fc74,PPh3)2PdCl2 [catalyst]; PPh3 [ligand]; Na2CO3 [base]; THF [solvent]; water [solvent],25,24,,,true,24 h at 25 °C
Buchwald-Hartwig,Ar–NH₂,XH|N|H2|Ar,primary,,,Ar–Br,LG|Ar|Br,,,,2.87,-0.5,RCR1:dec72621560dc8bb1b202217251673ad60366e5d0af5dc0820a3f883a2c583fd,[Pd(allyl)(JohnPhos)]OTf [catalyst]; JohnPhos [ligand]; K2CO3 [base]; Dioxane [solvent],,,,,true,unknown time/temp
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,R¹R²–NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,0,-0.65,RCR1:facead2118f85549be8c1fe51dad094bc15d264d6b34a172643481e24c9ce853,P(tBu)3 Pd(crotyl)Cl [catalyst]; P(tBu)3 [ligand]; Cs2CO3 [base]; THF [solvent],,,,,true,
Suzuki-Miyaura,Ar–B(OR)₂,TM|Ar|B(OR)2,,,,Ar–Br,LG|Ar|Br,,,,40.06,0.81,RCR1:d459a37a41cd2e35d7c7a07cd5cb109c034f6fd96b98462d8fa5471c980d54bf,P(tBu)3 Pd(crotyl)Cl [catalyst]; P(tBu)3 [ligand]; NaHCO3 [base]; iPrOAc [solvent]; water [solvent],,,,,true,unknown time/temp
Buchwald-Hartwig,R¹R²–NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,Ar–Cl,LG|Ar|Cl,,,,11.66,-1.42,RCR1:26ad495d0f7331c1f20bf11bac704564996c20b83a482100f0967c33ba4f8657,XantPhosPdCl2 [catalyst]; XantPhos [ligand]; Cs2CO3 [base]; MeTHF [solvent],25,4,,,true,4 h at 25 °C
Buchwald-Hartwig,Ar–Cl,LG|Ar|Cl,,,,Ar–NH–R,"XH|N|H1|Ar,Alkyl",secondary,,,63.56,-0.35,RCR1:db58834c2415054863ed0df7494b7fc5eb06cb57f9423c94e7e0fb20e3ff6ccc,XantPhosPdCl2 [catalyst]; XantPhos [ligand]; Cs2CO3 [base]; MeTHF [solvent],25,5,,,true,5 h at 25 °C
Buchwald-Hartwig,Ar–NH–R,"XH|N|H1|Ar,Alkyl",secondary,,,Ar–Br,LG|Ar|Br,,,,2.2,-1.74,RCR1:68ded14d71907835c60927804dcf1b9dfe6022a85ce0c8fd62dbfbb514373faf,XantPhosPdCl2 [catalyst]; XantPhos [ligand]; Na2CO3 [base]; MeTHF [solvent],25,5,,,true,5 h at 25 °C
Buchwald-Hartwig,R¹R²–NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,Ar–Br,LG|Ar|Br,,,,0,-0.43,RCR1:9fe31acbc01c1f2ef62579ea9dac3508db882f86ac8f13725bd8a139adbd13af,XantPhosPdCl2 [catalyst]; XantPhos [ligand]; Cs2CO3 [base]; MeTHF [solvent],,,,,true,
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,R–NH₂ (α-C branched),XH|N|H2|Alkyl,primary,,true,0,-1.54,RCR1:f1bc4caa807a9377cd65621285400898a5cda283af5dd5958a70f2ec4191f738,XantPhosPdCl2 [catalyst]; XantPhos [ligand]; Na2CO3 [base]; MeTHF [solvent],,,,,true,
Buchwald-Hartwig,Ar–Br,LG|Ar|Br,,,,R–NH₂ (α-C branched),XH|N|H2|Alkyl,primary,,true,83.72,1.39,RCR1:238b89780046cd792a65af098122fb1a804fbf24bc5d19796ba979ffa9d09a5e,XantPhosPdCl2 [catalyst]; XantPhos [ligand]; Cs2CO3 [base]; MeTHF [solvent],25,21,,,true,21 h at 25 °C
Buchwald-Hartwig,R¹R²–NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,Ar–Br,LG|Ar|Br,,,,67.01,1.09,RCR1:47a06aad5cf21a7d9d939f34499200a6b921889be21171b074c5497d1f42137b,XantPhosPdCl2 [catalyst]; XantPhos [ligand]; Cs2CO3 [base]; Dioxane [solvent],,,,,true,unknown time/temp
Buchwald-Hartwig,R¹R²–NH,"XH|N|H1|Alkyl,Alkyl",secondary,,,Ar–Cl,LG|Ar|Cl,,,,2.28,-0.21,RCR1:b407552e42136948dbb9be901930d7344abf65c8dfa0e979d5f9eb97be4a2453,XantPhosPdCl2 [catalyst]; XantPhos [ligand]; Cs2CO3 [base]; MeTHF [solvent],25,16,,,true,16 h at 25 °C
Buchwald-Hartwig,Ar–NH–R,"XH|N|H1|Ar,Alkyl",secondary,,,Ar–Cl,LG|Ar|Cl,,,,0.77,-0.9,RCR1:1eb7e82a17de767e96342c2c1f0c80ef7fa5aae2882616a419d4d41b942d7ede,SPhos Pd G2 [catalyst]; SPhos [ligand]; Na2CO3 [base]; MeTHF [solvent],25,21,,,false,21 h at 25 °C
Buchwald-Hartwig,Ar¹Ar²–NH,"XH|N|H1|Ar,Ar",secondary,,,Ar–Br,LG|Ar|Br,,,,81.19,3.09,RCR1:238b89780046cd792a65af098122fb1a804fbf24bc5d19796ba979ffa9d09a5e,XantPhosPdCl2 [catalyst]; XantPhos [ligand]; Cs2CO3 [base]; MeTHF [solvent],25,21,,,true,21 h at 25 °C
Buchwald-Hartwig,Lactam,,,,,Ar–Cl,LG|Ar|Cl,,,,0,-0.46,RCR1:9fe31acbc01c1f2ef62579ea9dac3508db882f86ac8f13725bd8a139adbd13af,XantPhosPdCl2 [catalyst]; XantPhos [ligand]; Cs2CO3 [base]; MeTHF [solvent],,,,,true,
Buchwald-Hartwig,R–C(O)–NH₂,XH|N|H2|C(O)R,primary,,,Ar–Br,LG|Ar|Br,,,,22.57,0.22,RCR1:9bb8451308e16c569ad07999f2867419d4fe855a51977f23a2eb1781fb91a1c3,XantPhosPdCl2 [catalyst]; XantPhos [ligand]; Cs2CO3 [base]; MeTHF [solvent],25,20,,,true,20 h at 25 °C
Condensation,Lactam,,,,,R–NH₂,XH|N|H2|Alkyl,primary,,,45.57,0.96,RCR1:fba31e06bb5c600b79e200c8cebef0b2dc68b243401fc0519e67166ba7e10ee7,No ligand; NaOtBu [base]; PhMe [solvent]; PyBrOP [coupling_reagent],25,14,,,false,14 h at 25 °C
Condensation,Lactam,,,,,R–NH₂,XH|N|H2|Alkyl,primary,,,22.07,-0.69,RCR1:51d5165fe6ab4437fb065a3064e88e4d75c7151851d58ffb8a4c99779d96f29d,No ligand; NaOtBu [base]; TBME [solvent]; PyBrOP [coupling_reagent],,,,,true,"15 h at 25 °C, then 0 h at 60 °C"
