reaction_smiles,reaction_label,spectator_groups
c1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccccc32)C(=O)Nc2ccccc21,Benzyl–Br + HeteroAr–R–NH →,
C1CCNC1.CC(C)(C)c1ccc(Br)cc1>>CC(C)(C)c1ccccc1.CC(C)(C)c1ccc(O)cc1.CC(C)(C)c1ccc(N2CCCC2)cc1,Ar–Br + R1R2–NH → Ar–NR1R2,
Brc1ccccc1I.COc1ccc(-c2nc(-c3ccccc3O)[nH]c2-c2ccc(OC)cc2)cc1>>COc1ccc(-c2nc3n(c2-c2ccc(OC)cc2)-c2ccccc2Oc2ccccc2-3)cc1,(Ar–Br + AromN–H) OR (Ar–Br + Ar–OH) OR (Ar–I + AromN–H) OR (Ar–I + Ar–OH) →,
C1COCCN1.COc1ccc(Cl)cc1>>COc1ccc(N2CCOCC2)cc1,Ar–Cl + R1R2–NH → Ar–NR1R2,ether; ether
COc1ccc(I)cc1.CCCCNC(=O)c1ccccn1>>CCCCN(C(=O)c1ccccn1)c1ccc(OC)cc1,Ar–I + R–C(O)–NHR → Ar–N(C(O)–R)(R),ether; heteroaryl_nitrogen
Cc1cc(Cl)ccc1C(=O)Nc1cccc2cccnc12.O=C(O)c1cccnc1F.[Na]>>Cc1cc(Cl)cc2c1c(=O)n(-c1cccc3cccnc13)c1ncccc21,(HeteroAr–F + R–C(O)–NHR) OR (intramolecular Ar–Cl / R–C(O)–NHR) →,
NC(=O)C1CC1.O=[N+]([O-])c1ccc(Oc2ccnc(Cl)c2)c(F)c1>>O=C(Nc1cc(Oc2ccc([N+](=O)[O-])cc2F)ccn1)C1CC1,HeteroAr–Cl + R–C(O)–NH2 → HeteroAr–NH–C(O)–R,heteroaryl_nitrogen; ether; aryl_halide; nitro; tertiary_amine
c1ccc2c(c1)[nH]c1ccccc12.Ic1ccccc1>>c1ccc(-n2c3ccccc3c3ccccc32)cc1,Ar–I + AromN–H → Ar–AromN,
O=[N+]([O-])c1ccc(Cl)c2nonc12.CN(C)C(=O)[C@@H]1CCCN1>>CN(C)C(=O)[C@@H]1CCCN1c1ccc([N+](=O)[O-])c2nonc12,Ar–Cl + R1R2–NH → Ar–NR1R2,heteroaryl_nitrogen; heteroaryl_nitrogen; nitro; tertiary_amine; amide
COc1ccc2nc3cc(Cl)ccc3c(Cl)c2c1.O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCNCC1>>COc1ccc2nc3cc(Cl)ccc3c(N3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)CC3)c2c1,HeteroAr–Cl + R1R2–NH → HeteroAr–NR1R2,heteroaryl_nitrogen; aryl_halide; ether; amide; aryl_halide; heteroaryl_nitrogen
