row_index,reaction_id,detected_reaction_type,reaction_smiles,Reaction_Key,Reaction_Events,reference,yield,z_score
2324,C_N_Coupling,Unknown,Cc1cccc2c1NCC2.COC1=CC(C(N)=O)=C([I+]C2=C(C)C=C(C)C=C2C)C(OC)=C1.[F-][B+3]([F-])([F-])[F-]>>COc1cc(OC)c(N2CCc3cccc(C)c32)c(C(N)=O)c1,|Ar-Alkyl|Ar-Iodonium|Ar-NHR|Unclassified-Reactant -> Ar-NR2 | spectators: Ar-CONH2|Ar-OR,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:-1 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:amine | amb:0,"Angewandte Chemie, International Edition (2020), 59(23), 8844-8848",76,1.15
2325,C_N_Coupling,Unknown,Cc1cccc2c1NCC21CCCCC1.COC1=CC(C(N)=O)=C([I+]C2=C(C)C=C(C)C=C2C)C(OC)=C1.[F-][B+3]([F-])([F-])[F-]>>COc1cc(OC)c(N2CC3(CCCCC3)c3cccc(C)c32)c(C(N)=O)c1,|Ar-Alkyl|Ar-Iodonium|Ar-NHR|Unclassified-Reactant -> Ar-NR2 | spectators: Ar-CONH2|Ar-OR,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:-1 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:amine | amb:0,"Angewandte Chemie, International Edition (2020), 59(23), 8844-8848",74,-0.58
2326,C_N_Coupling,Unknown,Cc1cccc2c1NCC2.CC1=CC(C)=C([I+]C2=C(OC(C)C)C=C(OC(C)C)C=C2C(N)=O)C(C)=C1.[F-][B+3]([F-])([F-])[F-]>>Cc1cccc2c1N(c1c(OC(C)C)cc(OC(C)C)cc1C(N)=O)CC2,|Ar-Alkyl|Ar-Iodonium|Ar-NHR|Unclassified-Reactant -> Ar-NR2 | spectators: Ar-CONH2|Ar-OR,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:-1 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:amine | amb:0,"Angewandte Chemie, International Edition (2020), 59(23), 8844-8848",74,-0.58
2483,C_N_Coupling,Unknown,O=c1[nH][nH]c(=O)c2ccccc12.CC1=CC=C2C(=C1)[I+]C1=CC=CC=C12.[F-][B+3]([F-])([F-])[F-]>>Cc1ccc2c3ccccc3n3c(=O)c4ccccc4c(=O)n3c2c1,|Ar-Ar|Ar-Iodonium|AromN-H|Unclassified-Reactant -> HeteroAr-H | spectators: Ar-Alkyl|HeteroAr-H,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:0 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | amb:0,"Organic & Biomolecular Chemistry (2020), 18(25), 4824-4830",84,0.0
3070,C_N_Coupling,Unknown,C1=CC=C([I+]C2=CC=CC=C2)C=C1.[F-][B+3]([F-])([F-])[F-].O=c1[nH]ccc2ccnc(Cl)c12>>O=c1c2c(Cl)nccc2ccn1-c1ccccc1,|Ar-Iodonium|AromN-H|Unclassified-Reactant -> Ar-AromN | spectators: HeteroAr-Cl|HeteroAr-H|Pyridine,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:-1 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | amb:0,"ACS Combinatorial Science (2020), 22(9), 457-467",94,0.0
3071,C_N_Coupling,Unknown,O=c1[nH]ccc2ccnc(Cl)c12.CCC1=CC=C([I+]C2=CC=C(CC)C=C2)C=C1.[F-][B+3]([F-])([F-])[F-]>>CCc1ccc(-n2ccc3ccnc(Cl)c3c2=O)cc1,|Ar-Alkyl|Ar-Iodonium|AromN-H|Unclassified-Reactant -> Ar-AromN | spectators: HeteroAr-Cl|HeteroAr-H|Pyridine,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:-1 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | amb:0,"ACS Combinatorial Science (2020), 22(9), 457-467",87,-0.87
3072,C_N_Coupling,Unknown,CC(C)C1=CC=C([I+]C2=CC=C(C(C)C)C=C2)C=C1.[F-][B+3]([F-])([F-])[F-].O=c1[nH]ccc2ccnc(Cl)c12>>CC(C)c1ccc(-n2ccc3ccnc(Cl)c3c2=O)cc1,|Ar-Alkyl|Ar-Iodonium|AromN-H|Unclassified-Reactant -> Ar-AromN | spectators: HeteroAr-Cl|HeteroAr-H|Pyridine,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:-1 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | amb:0,"ACS Combinatorial Science (2020), 22(9), 457-467",87,-0.87
3073,C_N_Coupling,Unknown,CC(C)(C)C1=CC=C([I+]C2=CC=C(C(C)(C)C)C=C2)C=C1.[F-][B+3]([F-])([F-])[F-].O=c1[nH]ccc2ccnc(Cl)c12>>CC(C)(C)c1ccc(-n2ccc3ccnc(Cl)c3c2=O)cc1,|Ar-Alkyl|Ar-Iodonium|AromN-H|Unclassified-Reactant -> Ar-AromN | spectators: HeteroAr-Cl|HeteroAr-H|Pyridine,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:-1 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | amb:0,"ACS Combinatorial Science (2020), 22(9), 457-467",95,1.44
3074,C_N_Coupling,Unknown,CC1=CC=C([I+]C2=CC=C(C)C=C2)C=C1.[F-][B+3]([F-])([F-])[F-].O=c1[nH]ccc2ccnc(Cl)c12>>Cc1ccc(-n2ccc3ccnc(Cl)c3c2=O)cc1,|Ar-Alkyl|Ar-Iodonium|AromN-H|Unclassified-Reactant -> Ar-AromN | spectators: HeteroAr-Cl|HeteroAr-H|Pyridine,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:-1 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | amb:0,"ACS Combinatorial Science (2020), 22(9), 457-467",92,0.58
3075,C_N_Coupling,Unknown,COC1=CC=C([I+]C2=CC=C(OC)C=C2)C=C1.[F-][B+3]([F-])([F-])[F-].O=c1[nH]ccc2ccnc(Cl)c12>>COc1ccc(-n2ccc3ccnc(Cl)c3c2=O)cc1,|Ar-Iodonium|Ar-OR|AromN-H|Unclassified-Reactant -> Ar-AromN | spectators: HeteroAr-Cl|HeteroAr-H|Pyridine,redox:uncertain | redox_conf:0.20 | q:high(0.75) | q_reason:missing_bond_key | mol:unknown | ringd:-1 | ehyb:sp2_aromatic | eenv:aromatic_sp2 | nclass:alcohol_or_phenol | amb:0,"ACS Combinatorial Science (2020), 22(9), 457-467",95,0.0
