reaction_smiles,reaction_label,spectator_groups
Oc1ccccc1Cl.Oc1ccc(F)cc1.CCOC(=O)CCl>>CCOC(=O)COc1ccccc1Oc1ccc(F)cc1,2 × C–O substitution,aryl_halide; ester
Nc1ccccc1Br.COc1ccccc1O>>COc1ccccc1Oc1ccccc1N=[N+]=[N-],(Ar–Br + Ar–OH) OR (intramolecular Ar–Br / Ar–NH2) →,
CO.[Na].Clc1cncc(Cl)c1>>COc1cc(OC)c(Br)nc1Br,HeteroAr–Cl + R–OH →,
CCCCC(CC)CO.Brc1cccnc1>>Brc1ccncc1.CCCCC(CC)COc1cccnc1.CCCCC(CC)COc1ccncc1,HeteroAr–Br + R–OH → HeteroAr–O–R,heteroaryl_nitrogen
Oc1ccc(Br)cc1.O=C(O)c1cc(I)ccc1I>>O=c1c2cc(Br)ccc2oc2ccc(I)cc12,(Ar–C(O)OH + Ar–OH) OR (Ar–I + Ar–OH) OR (intramolecular Ar–Br / Ar–OH) →,
Cc1ccc(O)c(Br)c1.Brc1cnc(Br)cn1>>Cc1ccc(Oc2cncc(Oc3ccc(C)cc3Br)n2)c(Br)c1,(HeteroAr–Br + Ar–OH) OR (intramolecular Ar–Br / Ar–OH) →,
COc1ccc(O)cc1.COc1ccccc1Br>>COc1ccc(Oc2ccccc2OC)cc1,Ar–Br + Ar–OH → Ar–O–Ar,ether; ether
Cc1ccc(C(C)C)cc1O.O=[N+]([O-])c1ccc(Br)c([N+](=O)[O-])c1>>Cc1ccc(C(C)C)cc1Oc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],Ar–Br + Ar–OH → Ar–O–Ar,nitro; tertiary_amine; nitro; tertiary_amine
COc1ccc(O)cc1.N#Cc1ccccc1Br>>COc1ccc(Oc2ccccc2C#N)cc1,Ar–Br + Ar–OH → Ar–O–Ar,ether; nitrile
Oc1ccccc1Br.O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)cc1Cl>>O=[N+]([O-])c1cc([N+](=O)[O-])c(Oc2ccccc2Br)cc1Oc1ccccc1Br,(Ar–Cl + Ar–OH) OR (intramolecular Ar–Br / Ar–OH) →,
COc1ccc(O)cc1.CC(=O)c1ccc(Cl)cc1>>COc1ccc(Oc2ccc(C(C)=O)cc2)cc1,Ar–Cl + Ar–OH → Ar–O–Ar,ether; ketone
O=[N+]([O-])c1ccc(Cl)cc1.Oc1ccc(Cl)cc1>>O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2)cc1,Ar–Cl + Ar–OH → Ar–O–Ar,nitro; tertiary_amine; aryl_halide
Oc1ccc(Cl)cc1.CC(=O)c1ccc(Cl)cc1Cl>>CC(=O)c1ccc(Oc2ccc(Cl)cc2)cc1Cl,Ar–Cl + Ar–OH → Ar–O–Ar,aryl_halide; aryl_halide; ketone
Oc1ccc(F)cc1.CC(=O)c1ccc(F)cc1>>CC(=O)c1ccc(Oc2ccc(F)cc2)cc1,Ar–F + Ar–OH → Ar–O–Ar,aryl_halide; ketone
COc1cc(C=O)ccc1O.Fc1ccccc1C(F)(F)F>>COc1cc(C=O)ccc1Oc1ccccc1C(F)(F)F,Ar–F + Ar–OH → Ar–O–Ar,ether; aldehyde
Cc1ccccc1O.O=Cc1ccccc1I>>Cc1ccccc1Oc1ccccc1C=O,Ar–I + Ar–OH → Ar–O–Ar,aldehyde
Cc1ccccc1O.[Na].O=C(O)c1ccc(Cl)cc1Cl.[Na]>>Cc1ccccc1Oc1cc(Cl)ccc1C(=O)O,Ar–Cl + Ar–OH → Ar–O–Ar,aryl_halide; carboxylic_acid
CS(=O)(=O)c1cccc(F)c1.N#Cc1cnc2c(C(F)(F)F)cccc2c1-c1cccc(O)c1>>CS(=O)(=O)c1cccc(Oc2cccc(-c3c(C#N)cnc4c(C(F)(F)F)cccc34)c2)c1,Ar–F + Ar–OH → Ar–O–Ar,sulfone; nitrile; heteroaryl_nitrogen
Oc1ccc(-c2ccc(O)cc2)cc1.N#Cc1ccc(Cl)cc1>>N#Cc1ccc(Oc2ccc(-c3ccc(Oc4ccc(C#N)cc4)cc3)cc2)cc1,Ar–Cl + Ar–OH →,
Oc1ccc(F)cc1.N#Cc1ccc(I)cc1>>N#Cc1ccc(Oc2ccc(F)cc2)cc1,Ar–I + Ar–OH → Ar–O–Ar,aryl_halide; nitrile
O=[N+]([O-])c1cc(Cl)c(Cl)c(Cl)c1.COc1ccc(O)cc1S(=O)(=O)N1CCCCC1>>COc1ccc(Oc2c(Cl)cc([N+](=O)[O-])cc2Cl)cc1S(=O)(=O)N1CCCCC1,Ar–Cl + Ar–OH → Ar–O–Ar,aryl_halide; aryl_halide; nitro; tertiary_amine; sulfonamide; ether
COc1ccccc1O.N#Cc1cccc(F)c1>>COc1ccccc1Oc1cccc(C#N)c1,Ar–F + Ar–OH → Ar–O–Ar,ether; nitrile
Oc1ccccc1I.CC(=O)c1ccc(Cl)c([N+](=O)[O-])c1>>CC(=O)c1ccc(Oc2ccccc2I)c(N)c1,(Ar–Cl + Ar–OH) OR (intramolecular Ar–I / Ar–OH) →,
COc1ccc(I)cc1.C=CCc1ccccc1O>>C=CCc1ccccc1Oc1ccc(OC)cc1,Ar–I + Ar–OH → Ar–O–Ar,ether; alkene
COc1cc(F)ccc1[N+](=O)[O-].Oc1ccc(Br)cc1Br>>COc1cc(Oc2ccc(Br)cc2Br)ccc1[N+](=O)[O-],Ar–F + Ar–OH → Ar–O–Ar,ether; nitro; tertiary_amine; aryl_halide; aryl_halide
COc1ccc(O)cc1.Cc1ccccc1I>>COc1ccc(Oc2ccccc2C)cc1,Ar–I + Ar–OH → Ar–O–Ar,ether
COc1ccc(O)cc1.COc1ccc(C=O)c(F)c1>>COc1ccc(Oc2cc(OC)ccc2C=O)cc1,Ar–F + Ar–OH → Ar–O–Ar,ether; aldehyde; ether
FC(F)(F)c1ccc(Cl)cc1.Oc1ccc(O)cc1>>Oc1ccc(Oc2ccc(C(F)(F)F)cc2)cc1,Ar–Cl + Ar–OH → Ar–O–Ar,phenol
O=[N+]([O-])c1ccc(I)cc1.N#Cc1ccc(O)cc1>>N#Cc1ccc(Oc2ccc([N+](=O)[O-])cc2)cc1,Ar–I + Ar–OH → Ar–O–Ar,nitro; tertiary_amine; nitrile
Nc1ccc(C(c2ccc(N)cc2)c2ccc(O)cc2)cc1.CN(C)c1ccc(-c2nnc(-c3ccc(F)cc3)o2)cc1>>CN(C)c1ccc(-c2nnc(-c3ccc(Oc4ccc(C(c5ccc(N)cc5)c5ccc(N)cc5)cc4)cc3)o2)cc1,Ar–F + Ar–OH → Ar–O–Ar,primary_amine; primary_amine; heteroaryl_nitrogen; heteroaryl_nitrogen; tertiary_amine
