sample_row,reaction_smiles,cleaned_reaction_smiles,cleanup_applied,coordination_removed,counterion_removed,routing_route,routing_excluded,scope_excluded,scope_reason,decision,formed_motifs
0,OCC1CCCCO1.Fc1ccc(I)cc1>>Fc1ccc(OCC2CCCCO2)cc1,OCC1CCCCO1.Fc1ccc(I)cc1>>Fc1ccc(OCC2CCCCO2)cc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
1,Cc1ccc(Br)cc1.Cc1ccc(O)cc1>>Cc1ccc(Oc2ccc(C)cc2)cc1,Cc1ccc(Br)cc1.Cc1ccc(O)cc1>>Cc1ccc(Oc2ccc(C)cc2)cc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
2,Oc1cccc(C(F)(F)F)c1.COc1cc([N+](=O)[O-])c2ncccc2c1Br>>COc1cc([N+](=O)[O-])c2ncccc2c1Oc1cccc(C(F)(F)F)c1,Oc1cccc(C(F)(F)F)c1.COc1cc([N+](=O)[O-])c2ncccc2c1Br>>COc1cc([N+](=O)[O-])c2ncccc2c1Oc1cccc(C(F)(F)F)c1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,HeteroAr-OR
3,COCCOCCOCCO.[Na].Brc1ccc2cc3c(cc2c1)sc1c2cc4ccccc4cc2sc31>>COCCOCCOCCOc1ccc2cc3c(cc2c1)sc1c2cc4ccccc4cc2sc31,COCCOCCOCCO.[Na].Brc1ccc2cc3c(cc2c1)sc1c2cc4ccccc4cc2sc31>>COCCOCCOCCOc1ccc2cc3c(cc2c1)sc1c2cc4ccccc4cc2sc31,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
4,CC(C)(C)OC(=O)N1CCCCC1CCO.O=[N+]([O-])c1ccc(F)cc1>>CC(C)(C)OC(=O)N1CCCCC1CCOc1ccc([N+](=O)[O-])cc1,CC(C)(C)OC(=O)N1CCCCC1CCO.O=[N+]([O-])c1ccc(F)cc1>>CC(C)(C)OC(=O)N1CCCCC1CCOc1ccc([N+](=O)[O-])cc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
5,CCCCCCCCCCCCO.Brc1ccc2cc(Br)cc-2cc1>>CCCCCCCCCCCCOc1ccc2cc(Br)cc-2cc1,CCCCCCCCCCCCO.Brc1ccc2cc(Br)cc-2cc1>>CCCCCCCCCCCCOc1ccc2cc(Br)cc-2cc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
6,OC1CCOCC1.COc1cc(Br)cc(OC)c1>>COc1cc(OC)cc(OC2CCOCC2)c1,OC1CCOCC1.COc1cc(Br)cc(OC)c1>>COc1cc(OC)cc(OC2CCOCC2)c1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
7,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1.N#Cc1c(F)c(F)c(F)c(F)c1F>>CC(C)(c1ccc(Oc2c(F)c(F)c(C#N)c(F)c2F)cc1)c1ccc(Oc2c(F)c(F)c(C#N)c(F)c2F)cc1,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1.N#Cc1c(F)c(F)c(F)c(F)c1F>>CC(C)(c1ccc(Oc2c(F)c(F)c(C#N)c(F)c2F)cc1)c1ccc(Oc2c(F)c(F)c(C#N)c(F)c2F)cc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-CN|Ar-F|Ar-OR
8,COc1ccc(O)c2ccccc12.N#Cc1c(F)c(F)c(F)c(F)c1C#N>>COc1ccc(Oc2c(F)c(F)c(C#N)c(C#N)c2F)c2ccccc12,COc1ccc(O)c2ccccc12.N#Cc1c(F)c(F)c(F)c(F)c1C#N>>COc1ccc(Oc2c(F)c(F)c(C#N)c(C#N)c2F)c2ccccc12,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
9,CC(C)c1ccc(O)c(Br)c1.Brc1cnc(Br)cn1>>CC(C)c1ccc(Oc2cnc(Oc3ccc(C(C)C)cc3Br)cn2)c(Br)c1,CC(C)c1ccc(O)c(Br)c1.Brc1cnc(Br)cn1>>CC(C)c1ccc(Oc2cnc(Oc3ccc(C(C)C)cc3Br)cn2)c(Br)c1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,HeteroAr-OR
10,OCc1ccc(F)cc1.FC(F)(F)c1ccc(Br)cc1>>Fc1ccc(COc2ccc(C(F)(F)F)cc2)cc1,OCc1ccc(F)cc1.FC(F)(F)c1ccc(Br)cc1>>Fc1ccc(COc2ccc(C(F)(F)F)cc2)cc1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
11,COc1ccc(CCC(CCCCc2ccc(F)c([N+](=O)[O-])c2)(OC)OC)cc1O>>COc1ccc2cc1Oc1ccc(cc1[N+](=O)[O-])CCCCC(OC)(OC)CC2,COc1ccc(CCC(CCCCc2ccc(F)c([N+](=O)[O-])c2)(OC)OC)cc1O>>COc1ccc2cc1Oc1ccc(cc1[N+](=O)[O-])CCCCC(OC)(OC)CC2,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
12,Oc1cccc2ccccc12.Brc1cnnnc1>>c1ccc2c(Oc3cnnnc3)cccc2c1,Oc1cccc2ccccc12.Brc1cnnnc1>>c1ccc2c(Oc3cnnnc3)cccc2c1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,HeteroAr-OR
13,OCc1cccs1.O=[N+]([O-])c1ccc(F)cc1C(F)(F)F>>O=[N+]([O-])c1ccc(OCc2cccs2)cc1C(F)(F)F,OCc1cccs1.O=[N+]([O-])c1ccc(F)cc1C(F)(F)F>>O=[N+]([O-])c1ccc(OCc2cccs2)cc1C(F)(F)F,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
14,Oc1ccccc1.O=[N+]([O-])c1c(F)c(F)c(F)c(F)c1F>>O=[N+]([O-])c1c(F)c(F)c(Oc2ccccc2)c(F)c1F,Oc1ccccc1.O=[N+]([O-])c1c(F)c(F)c(F)c(F)c1F>>O=[N+]([O-])c1c(F)c(F)c(Oc2ccccc2)c(F)c1F,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
15,CC(=O)c1ccc(Br)cc1.COc1cc(O)cc(OC)c1OC>>COc1cc(Oc2ccc(C(C)=O)cc2)cc(OC)c1OC,CC(=O)c1ccc(Br)cc1.COc1cc(O)cc(OC)c1OC>>COc1cc(Oc2ccc(C(C)=O)cc2)cc(OC)c1OC,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
16,CCO.CCOC(=O)c1cccc(Br)c1>>CCOC(=O)c1cccc(OCC)c1,CCO.CCOC(=O)c1cccc(Br)c1>>CCOC(=O)c1cccc(OCC)c1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
17,Brc1ccc(Br)cc1.COc1cc(O)cc(OC)c1>>COc1cc(OC)cc(Oc2ccc(Oc3cc(OC)cc(OC)c3)cc2)c1,Brc1ccc(Br)cc1.COc1cc(O)cc(OC)c1>>COc1cc(OC)cc(Oc2ccc(Oc3cc(OC)cc(OC)c3)cc2)c1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
18,O=c1cc(O)c2ccccc2[nH]1.O=[N+]([O-])c1ccc(F)cc1>>O=c1cc(Oc2ccc([N+](=O)[O-])cc2)c2ccccc2[nH]1,O=c1cc(O)c2ccccc2[nH]1.O=[N+]([O-])c1ccc(F)cc1>>O=c1cc(Oc2ccc([N+](=O)[O-])cc2)c2ccccc2[nH]1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,HeteroAr-OR
19,COc1cc(O)cc(OC)c1.O=[N+]([O-])c1ccc(F)cc1>>COc1cc(OC)cc(Oc2ccc([N+](=O)[O-])cc2)c1,COc1cc(O)cc(OC)c1.O=[N+]([O-])c1ccc(F)cc1>>COc1cc(OC)cc(Oc2ccc([N+](=O)[O-])cc2)c1,0,0,0,eligible_taxonomy_benchmark,0,0,expected_bond_class_present,kept,Ar-OR
