canonical_reaction_smiles,reaction_display_label_detailed,original_reaction_type,detected_reaction_family,detection_status
Clc1nc(C(Cl)(Cl)Cl)ncc1-c1ccccc1.Sc1ccccc1.[Na]>>c1ccc(Sc2nc(C(Sc3ccccc3)Sc3ccccc3)ncc2-c2ccccc2)cc1,(Benzyl–Cl + Ar–SH) OR (HeteroAr–Cl + Ar–H) OR (HeteroAr–Cl + Ar–SH) OR (intramolecular HeteroAr–Cl / Ar–H) OR (intramolecular HeteroAr–Cl / HeteroAr–H) →,C_S_Coupling,,ambiguous_reactants
FC(F)(F)c1ccccc1I.Sc1ccccc1>>Oc1ccccc1Sc1ccccc1C(F)(F)F,(Ar¹–I + Ar²–H) OR (Ar¹–I + Ar²–SH) OR (intramolecular Ar–I / Ar–H) →,C_S_Coupling,,ambiguous_reactants
COc1ccc(S)cc1.Ic1cccnc1>>c1ccc(Sc2cccnc2)cc1,(HeteroAr–I + Ar–H) OR (HeteroAr–I + Ar–SH) OR (intramolecular HeteroAr–I / HeteroAr–H) →,C_S_Coupling,,ambiguous_reactants
FC(F)(F)c1ccc(Cl)cc1.Sc1ccccc1>>FC(F)(F)c1ccc(Sc2ccccc2)cc1.FC(F)(F)c1ccccc1,Ar¹–Cl + Ar²–SH → Ar¹–S–Ar²; edits: C–Cl bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
NCc1ccncc1.O=C(O)C(F)(F)F.O=C(O)N1CCN(C(=O)c2cc(F)c(F)cc2[N+](=O)[O-])CC1.OCCCS>>O=C(O)C(F)(F)F.O=C(c1cc(S(=O)(=O)CCCO)c(NCc2ccncc2)cc1[N+](=O)[O-])N1CCNCC1,(Ar–F + HeteroAr–H) OR (Ar–F + R–NH₂) OR (Ar–F + R–OH) OR (Ar–F + R–SH) OR (R¹–C(O)OH + R²–NH₂) OR (R¹–C(O)OH + R²–OH) OR (R¹–C(O)OH + R²–SH) OR (intramolecular Ar–F / Ar–H) →,C_S_Coupling,,ambiguous_reactants
Fc1cccc2ccc(Cl)nc12.Sc1cccc(Br)c1>>O=S(=O)(c1cccc(Br)c1)c1ccc2cccc(F)c2n1,(Ar¹–Br + Ar²–H) OR (Ar¹–F + Ar²–H) OR (Ar¹–F + Ar²–SH) OR (Ar–Br + HeteroAr–H) OR (HeteroAr–Cl + Ar–H) OR (HeteroAr–Cl + Ar–SH) OR (intramolecular Ar–Br / Ar–H) OR (intramolecular Ar–Br / Ar–SH) OR (intramolecular Ar–F / Ar–H) OR (intramolecular Ar–F / HeteroAr–H) OR (intramolecular HeteroAr–Cl / Ar–H) OR (intramolecular HeteroAr–Cl / HeteroAr–H) →,C_S_Coupling,,ambiguous_reactants
Clc1ccc2ccccc2n1.Sc1ccc2ccccc2c1>>O=S(=O)(c1ccc2ccccc2c1)c1ccc2ccccc2n1,(HeteroAr–Cl + Ar–H) OR (HeteroAr–Cl + Ar–SH) OR (intramolecular HeteroAr–Cl / Ar–H) OR (intramolecular HeteroAr–Cl / HeteroAr–H) →,C_S_Coupling,,ambiguous_reactants
COC(=O)C(CC1CCCC1)c1ccc(Cl)c([N+](=O)[O-])c1.CS.[Na]>>COC(=O)C(CC1CCCC1)c1ccc(S(C)(=O)=O)c([N+](=O)[O-])c1,(Ar–Cl + R–SH) OR (intramolecular Ar–Cl / Ar–H) OR (intramolecular Ar–Cl / activated C–H) →,C_S_Coupling,,ambiguous_reactants
N#Cc1cc(Cl)c(Cl)cc1C#N.Oc1ccccc1S>>N#Cc1cc2c(cc1C#N)Sc1ccccc1O2,Event 1: C–O substitution; edits: C–Cl bond cleavage; C–O bond formation; O–H loss | Event 2: C–S substitution; edits: C–Cl bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,,multi_event
N#Cc1ccc(Br)cc1.SCc1ccccc1>>N#Cc1ccc(SCc2ccccc2)cc1,Ar–Br + R–SH → Ar–S–R; edits: C–Br bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
Nc1ccccc1S.O=C(O)c1cc(Cl)ccc1I>>Nc1ccccc1Sc1ccc(Cl)cc1C(=O)O,Ar¹–I + Ar²–SH → Ar¹–S–Ar²; edits: C–I bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
O=Cc1cc2ccccc2nc1Cl.Sc1ccccc1>>O=Cc1cc2ccccc2nc1Sc1ccccc1,HeteroAr–Cl + Ar–SH → HeteroAr–S–Ar; edits: C–Cl bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl.Sc1ccccc1>>N#Cc1c(Cl)c(Cl)c(Sc2ccccc2)c(C#N)c1Cl,Ar¹–Cl + Ar²–SH → Ar¹–S–Ar²; edits: C–Cl bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
CNC(=O)c1ccccc1I.O=C(O)c1ccccc1S>>CNC(=O)c1ccccc1Sc1ccccc1C(=O)O,Ar¹–I + Ar²–SH → Ar¹–S–Ar²; edits: C–I bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
N#Cc1ccccc1Br.SCc1ccccc1>>CSc1ccccc1C#N,(Ar¹–Br + Ar²–H) OR (Ar–Br + R–SH) OR (intramolecular Ar–Br / Ar–H) →,C_S_Coupling,,ambiguous_reactants
O=[N+]([O-])c1ccc(Cl)cc1Cl.Sc1ccccc1.[Na]>>O=[N+]([O-])c1ccc(Sc2ccccc2)cc1Sc1ccccc1,(Ar¹–Cl + Ar²–H) OR (Ar¹–Cl + Ar²–SH) OR (intramolecular Ar–Cl / Ar–H) →,C_S_Coupling,,ambiguous_reactants
N#Cc1ccc(Br)cc1F.Sc1ccccc1>>N#Cc1ccc(Br)cc1Sc1ccccc1.N#Cc1ccc(Sc2ccccc2)cc1Sc1ccccc1,Ar¹–F + Ar²–SH → Ar¹–S–Ar²; edits: C–F bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
C=CCOC(=O)Nc1c(F)c(F)c(F)c(F)c1F.Sc1ccccc1.[Na]>>C=CCOC(=O)Nc1c(F)c(F)c(Sc2ccccc2)c(F)c1F,Ar¹–F + Ar²–SH → Ar¹–S–Ar²; edits: C–F bond cleavage; C–S bond formation; S–H loss,C_S_Coupling,c_s_coupling,family_overlay
