schema_version,reaction_id,source_row_number,admission_tier,admission_reasons,reaction_smiles,evidence_quality,reaction_label,reaction_label_status,yield_pct,condition_recipe_id,conditions_complete,catalyst_cas,reagent_cas,solvent_cas,electrophile_label,electrophile_context,electrophile_handle,electrophile_steric_class,electrophile_electronic_class,electrophile_flags,nucleophile_label,nucleophile_family,nucleophile_initial_h_count,nucleophile_contexts,nucleophile_availability,nucleophile_flags,product_connection_label,product_connection_json,spectator_group_ids,family_environment_json,reference,notes
1.1,31-031-CAS-13235233,2,rejected,unresolved_transformation,c1ccc2c(c1)CCN2.[N-]=[N+]=NCCC1(Br)C(=O)Nc2ccccc21>>[N-]=[N+]=NCC[C@@]1(N2CCc3ccccc32)C(=O)Nc2ccccc21,unresolved,,unavailable,90.0,COND1:catalyst=229184-98-9+373-02-4|reagent=7778-53-2|solvent=109-99-9,True,229184-98-9|373-02-4,7778-53-2,109-99-9,,,,,,,,,,,,,,,,,"Organic Letters (2014), 16(9), 2394-2397","stereoselective, 21% ee, optimization study (optimized on catalyst, base and solvent)"
1.1,31-172-CAS-22786914,30,rejected,unresolved_transformation,Clc1ncccc1Br>>Brc1cccn2nnnc12,unresolved,,unavailable,82.0,COND1:catalyst=unknown|reagent=26628-22-8+7647-01-0|solvent=64-17-5+7732-18-5,False,,26628-22-8|7647-01-0,64-17-5|7732-18-5,,,,,,,,,,,,,,,,,"Journal of the American Chemical Society (2020), 142(38), 16211-16217","safety, fume hood used, sealed tube used"
1.1,31-172-CAS-22805455,34,rejected,invalid_reaction_smiles,c1cn[nH]c1.CC1=C2C(=CC=C1)[I+]C1=CC=CC(C)=C12.[F-][P+5]([F-])([F-])([F-])([F-])[F-]>>Cc1cccc(I)c1-c1c(C)cccc1-n1cccn1,unresolved,,unavailable,71.0,COND1:catalyst=131457-46-0+15418-29-8|reagent=497-19-8|solvent=107-06-2,True,131457-46-0|15418-29-8,497-19-8,107-06-2,,,,,,,,,,,,,,,,,"Organic Letters (2020), 22(16), 6441-6446","chemoselective, regioselective, stereoselective"
1.1,31-172-CAS-23141142,39,rejected,unresolved_transformation,COc1ccc(Cl)cc1.CC(=O)CC(C)=O>>COc1ccc(-n2nc(C)cc2C)cc1,unresolved,,unavailable,84.0,COND1:catalyst=158923-11-6+69861-71-8|reagent=1310-58-3+7803-57-8|solvent=123-91-1,True,158923-11-6|69861-71-8,1310-58-3|7803-57-8,123-91-1,,,,,,,,,,,,,,,,,"Angewandte Chemie, International Edition (2021), 60(1), 399-408","glove box used,reaction in a sealed vial"
1.1,31-172-CAS-23234128,44,rejected,invalid_reaction_smiles,Cc1cc(F)cc(C)c1N.CC1=C2C(=CC=C1)[I+]C1=CC=CC(C)=C12.[F-][P+5]([F-])([F-])([F-])([F-])[F-]>>Cc1cc(F)cc(C)c1Nc1cccc(C)c1-c1c(C)cccc1I,unresolved,,unavailable,99.0,COND1:catalyst=1820961-26-9+7758-89-6|reagent=554-13-2|solvent=75-09-2,True,1820961-26-9|7758-89-6,554-13-2,75-09-2,,,,,,,,,,,,,,,,,"Angewandte Chemie, International Edition (2020), 59(45), 19899-19904","stereoselective, %ee = 95,cobalt catalyst prepared and used,reaction in a Schlenk tube"
1.1,31-172-CAS-23288659,47,rejected,unresolved_transformation,COc1ccc([N+](=O)[O-])cc1.COC(=O)c1cccc(Br)c1>>COC(=O)c1cccc(Nc2ccc(OC)cc2)c1,unresolved,,unavailable,74.0,COND1:catalyst=2016028-94-5|reagent=7087-68-5|solvent=108-88-3,True,2016028-94-5,7087-68-5,108-88-3,,,,,,,,,,,,,,,,,"Angewandte Chemie, International Edition (2021), 60(10), 5230-5234","photochemical (irradiated with two 9 W 390-395 nm LEDs), molecular sieves used, sealed tube used"
1.1,31-172-CAS-23326426,49,rejected,unresolved_transformation,Cc1ccc(NC(=O)c2ccccc2)c(-c2occc2Br)c1>>Cc1ccc2c(c1)c1occc1n2C(=O)c1ccccc1,unresolved,,unavailable,87.0,COND1:catalyst=110-70-3+68986-76-5|reagent=534-17-8|solvent=123-91-1,True,110-70-3|68986-76-5,534-17-8,123-91-1,,,,,,,,,,,,,,,,,"Journal of Organic Chemistry (2021), 86(6), 4671-4698",Ullmann Coupling
1.1,31-172-CAS-23511453,52,rejected,unresolved_transformation,CC(C)(C)N1C(=O)N1C(C)(C)C.CCOC(=O)/C=C(\C)c1ccccc1I>>CCOC(=O)c1c(C)c2ccccc2n1C(C)(C)C,unresolved,,unavailable,76.0,COND1:catalyst=14221-01-3+75-98-9|reagent=534-17-8|solvent=108-88-3,True,14221-01-3|75-98-9,534-17-8,108-88-3,,,,,,,,,,,,,,,,,"Organic Letters (2021), 23(9), 3646-3651",reaction in a sealed vial
1.1,31-172-CAS-24410002,62,rejected,unresolved_transformation,COc1cc(-c2cnc(F)c(F)c2)cc(OC)c1OC>>COc1cc(-c2c[nH]c(=NN)c(F)c2)cc(OC)c1OC,unresolved,,unavailable,76.0,COND1:catalyst=unknown|reagent=7803-57-8|solvent=67-63-0+7732-18-5,False,,7803-57-8,67-63-0|7732-18-5,,,,,,,,,,,,,,,,,"European Journal of Medicinal Chemistry (2021), 223113629",
1.1,31-614-CAS-24224542,67,rejected,unresolved_transformation,COC(=O)c1ccc(Br)c(N=C(Nc2ccc(OC)cc2C)C(F)(F)F)c1>>COC(=O)c1ccc2c(c1)nc(C(F)(F)F)n2-c1ccc(OC)cc1C,unresolved,,unavailable,92.0,COND1:catalyst=3375-31-3+76189-56-5|reagent=1310-73-2|solvent=108-88-3,True,3375-31-3|76189-56-5,1310-73-2,108-88-3,,,,,,,,,,,,,,,,,"Angewandte Chemie, International Edition (2021), 60(40), 21718-21722","stereoselective, Schlenk tube used, Buchwald Hartwig amination, 90% ee"
