schema_version,reaction_id,source_row_number,admission_tier,admission_reasons,reaction_smiles,evidence_quality,reaction_label,reaction_label_status,yield_pct,condition_recipe_id,conditions_complete,catalyst_cas,reagent_cas,solvent_cas,electrophile_label,electrophile_context,electrophile_handle,electrophile_steric_class,electrophile_electronic_class,electrophile_flags,nucleophile_label,nucleophile_family,nucleophile_contexts,nucleophile_availability,nucleophile_flags,product_connection_label,product_connection_json,spectator_group_ids,family_environment_json,reference,notes
1.1,31-008-CAS-9861313,2,review,missing_c_o_coupling_environment|missing_c_o_product_connection|not_verified_as_sp2_c_o_substitution|reaction_not_exactly_verified,Oc1ccccc1Cl.Oc1ccc(F)cc1.CCOC(=O)CCl>>CCOC(=O)COc1ccccc1Oc1ccc(F)cc1,reactant_grammar_only,(Ar–Cl + Ar–OH) OR (Ar–F + Ar–OH) →,source_family_ambiguous_reactants,84.0,COND1:catalyst=1643-19-2|reagent=584-08-7|solvent=68-12-2+78-93-3,True,1643-19-2,584-08-7,68-12-2|78-93-3,,,,,,,,,,,,,,,,"Huaxue Yanjiu Yu Yingyong (2005), 17(4), 538-540",
1.1,31-043-CAS-10545072,3,review,incomplete_condition_identity|missing_c_o_coupling_environment|missing_c_o_product_connection|not_verified_as_sp2_c_o_substitution|reaction_not_exactly_verified,Nc1ccccc1Br.COc1ccccc1O>>COc1ccccc1Oc1ccccc1N=[N+]=[N-],reactant_grammar_only,Ar–Br + Ar–OH →,source_family_reactant_only,77.0,COND1:catalyst=unknown|reagent=109-63-7+110-46-3+4648-54-8+54678-23-8+584-08-7+76-05-1|solvent=109-99-9+110-86-1+60-29-7+75-05-8+75-09-2,False,,109-63-7|110-46-3|4648-54-8|54678-23-8|584-08-7|76-05-1,109-99-9|110-86-1|60-29-7|75-05-8|75-09-2,,,,,,,,,,,,,,,,"Journal of Combinatorial Chemistry (2004), 6(4), 460-463","combinatorial, solid-supported reaction, fourth stage attachment to Merrifield resin, Ullman-Nicolaou reaction fifth stage"
1.1,31-084-CAS-22509262,4,review,incomplete_condition_identity|missing_c_o_coupling_environment|missing_c_o_product_connection|not_verified_as_sp2_c_o_substitution|reaction_not_exactly_verified,CO.[Na].Clc1cncc(Cl)c1>>COc1cc(OC)c(Br)nc1Br,reactant_grammar_only,HeteroAr–Cl + R–OH →,source_family_reactant_only,76.0,COND1:catalyst=unknown|reagent=7647-01-0+7664-93-9+7732-18-5+7757-83-7+7758-01-2+7758-02-3|solvent=68-12-2+7732-18-5,False,,7647-01-0|7664-93-9|7732-18-5|7757-83-7|7758-01-2|7758-02-3,68-12-2|7732-18-5,,,,,,,,,,,,,,,,"Angewandte Chemie, International Edition (2020), 59(29), 11881-11885",
1.1,31-084-CAS-22725389,5,review,incomplete_condition_identity|multiple_products,CCCCC(CC)CO.Brc1cccnc1>>Brc1ccncc1.CCCCC(CC)COc1cccnc1.CCCCC(CC)COc1ccncc1,exact_product_reconstruction,HeteroAr–Br + R–OH → HeteroAr–O–R,exact_product,23.0,COND1:catalyst=unknown|reagent=1310-58-3+17455-13-9|solvent=127-19-5,False,,1310-58-3|17455-13-9,127-19-5,HeteroAr–Br,HeteroAr,Br,open,neutral,heteroaryl_electrophile,R–OH,alcohol,Alkyl,free,,HeteroAr–O–R,"{""bond_order"": ""single"", ""concise_label"": ""HeteroAr–O–R"", ""connection_type"": ""C_O"", ""endpoint_1"": {""atom_index"": 1, ""component_index"": 1, ""context"": ""HeteroAr"", ""role"": ""electrophile"", ""source_site_id"": ""mol0:atom1:site0""}, ""endpoint_2"": {""atom_index"": 8, ""component_index"": 0, ""context"": ""O"", ""role"": ""nucleophile"", ""source_site_id"": ""mol0:atom8:site0""}, ""evidence"": ""exact_product_reconstruction"", ""schema_version"": ""1.0""}",heteroaryl_nitrogen,"{""evidence"": ""exact_product_reconstruction"", ""family_id"": ""c_o_coupling"", ""feature_version"": ""1.0"", ""flags"": [""electrophile:heteroaryl_electrophile""], ""partners"": [{""anchor_context"": ""HeteroAr"", ""chemist_label"": ""HeteroAr–Br"", ""competing_site_labels"": [], ""component_index"": 1, ""coordination_group_ids"": [], ""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.325}, ""features"": {}, ""flags"": [""heteroaryl_electrophile""], ""handle_token"": ""Br"", ""nearby_groups"": [{""distance"": 0, ""group_id"": ""aryl_halide"", ""label"": ""Ar–X"", ""tags"": [""competing_coupling_handle""]}, {""distance"": 2, ""group_id"": ""heteroaryl_nitrogen"", ""label"": ""HetAr–N"", ""tags"": [""basic"", ""metal_binding"", ""strong_metal_binding"", ""electron_withdrawing""]}], ""role"": ""electrophile"", ""site_id"": ""mol0:atom1:site0"", ""spectator_group_ids"": [""heteroaryl_nitrogen""], ""steric"": {""class"": ""open"", ""local_heavy_atoms_r2"": 6, ""method"": ""graph_local_v1"", ""ortho_substituent_count"": 0}, ""unprotected_xh_group_ids"": []}, {""anchor_context"": null, ""chemist_label"": ""R–OH"", ""competing_site_labels"": [], ""component_index"": 0, ""coordination_group_ids"": [], ""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""features"": {""availability"": ""free"", ""derived_family"": ""alcohol"", ""element"": ""O"", ""initial_h_count"": 1, ""retained_contexts"": [""Alkyl""]}, ""flags"": [], ""handle_token"": ""O"", ""nearby_groups"": [{""distance"": 0, ""group_id"": ""alcohol"", ""label"": ""R–OH"", ""tags"": [""nucleophilic"", ""unprotected_XH"", ""oxidation_sensitive"", ""metal_binding""]}], ""role"": ""nucleophile"", ""site_id"": ""mol0:atom8:site0"", ""spectator_group_ids"": [], ""steric"": {""carbon_neighbor_count"": 1, ""class"": ""primary"", ""local_heavy_atoms_r2"": 3, ""method"": ""graph_local_v1""}, ""unprotected_xh_group_ids"": []}]}","Chemical Science (2020), 11(38), 10517-10522","regioselective, glove box used, sealed tube used, selectivity >10:1"
1.1,31-091-CAS-1431656,6,review,missing_c_o_coupling_environment|missing_c_o_product_connection|not_verified_as_sp2_c_o_substitution|reaction_not_exactly_verified,Oc1ccc(Br)cc1.O=C(O)c1cc(I)ccc1I>>O=c1c2cc(Br)ccc2oc2ccc(I)cc12,reactant_grammar_only,Ar–I + Ar–OH →,source_family_reactant_only,85.0,COND1:catalyst=48209-28-5|reagent=534-17-8+7647-01-0+7664-93-9|solvent=108-88-3+141-78-6+7732-18-5,True,48209-28-5,534-17-8|7647-01-0|7664-93-9,108-88-3|141-78-6|7732-18-5,,,,,,,,,,,,,,,,"Journal of Medicinal Chemistry (2014), 57(23), 9796-9810",
1.1,31-113-CAS-23295451,7,review,incomplete_condition_identity|missing_c_o_coupling_environment|missing_c_o_product_connection|not_verified_as_sp2_c_o_substitution|reaction_not_exactly_verified,Cc1ccc(O)c(Br)c1.Brc1cnc(Br)cn1>>Cc1ccc(Oc2cncc(Oc3ccc(C)cc3Br)n2)c(Br)c1,reactant_grammar_only,HeteroAr–Br + Ar–OH →,source_family_reactant_only,80.0,COND1:catalyst=unknown|reagent=584-08-7|solvent=67-68-5,False,,584-08-7,67-68-5,,,,,,,,,,,,,,,,"Chemistry Letters (2020), 49(8), 921-924",
1.1,31-170-CAS-10121855,9,review,incomplete_condition_identity,Cc1ccc(C(C)C)cc1O.O=[N+]([O-])c1ccc(Br)c([N+](=O)[O-])c1>>Cc1ccc(C(C)C)cc1Oc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],exact_product_reconstruction,Ar–Br + Ar–OH → Ar–O–Ar,exact_product,88.0,COND1:catalyst=unknown|reagent=1310-73-2+1437326-26-5+946148-73-8|solvent=64-17-5+67-64-1+7732-18-5,False,,1310-73-2|1437326-26-5|946148-73-8,64-17-5|67-64-1|7732-18-5,Ar–Br,Ar,Br,ortho_substituted,neutral,,Ar–OH,phenol,Ar,free,,Ar–O–Ar,"{""bond_order"": ""single"", ""concise_label"": ""Ar–O–Ar"", ""connection_type"": ""C_O"", ""endpoint_1"": {""atom_index"": 6, ""component_index"": 1, ""context"": ""Ar"", ""role"": ""electrophile"", ""source_site_id"": ""mol0:atom6:site0""}, ""endpoint_2"": {""atom_index"": 10, ""component_index"": 0, ""context"": ""O"", ""role"": ""nucleophile"", ""source_site_id"": ""mol0:atom10:site0""}, ""evidence"": ""exact_product_reconstruction"", ""schema_version"": ""1.0""}",nitro|tertiary_amine,"{""evidence"": ""exact_product_reconstruction"", ""family_id"": ""c_o_coupling"", ""feature_version"": ""1.0"", ""flags"": [], ""partners"": [{""anchor_context"": ""Ar"", ""chemist_label"": ""Ar–Br"", ""competing_site_labels"": [], ""component_index"": 1, ""coordination_group_ids"": [], ""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.2}, ""features"": {}, ""flags"": [], ""handle_token"": ""Br"", ""nearby_groups"": [{""distance"": 0, ""group_id"": ""aryl_halide"", ""label"": ""Ar–X"", ""tags"": [""competing_coupling_handle""]}, {""distance"": 2, ""group_id"": ""nitro"", ""label"": ""NO2"", ""tags"": [""electron_withdrawing"", ""reduction_sensitive""]}, {""distance"": 2, ""group_id"": ""tertiary_amine"", ""label"": ""R3N"", ""tags"": [""basic"", ""nucleophilic"", ""metal_binding"", ""strong_metal_binding""]}], ""role"": ""electrophile"", ""site_id"": ""mol0:atom6:site0"", ""spectator_group_ids"": [""nitro"", ""tertiary_amine""], ""steric"": {""class"": ""ortho_substituted"", ""local_heavy_atoms_r2"": 7, ""method"": ""graph_local_v1"", ""ortho_substituent_count"": 1}, ""unprotected_xh_group_ids"": []}, {""anchor_context"": null, ""chemist_label"": ""Ar–OH"", ""competing_site_labels"": [], ""component_index"": 0, ""coordination_group_ids"": [], ""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""features"": {""availability"": ""free"", ""derived_family"": ""phenol"", ""element"": ""O"", ""initial_h_count"": 1, ""retained_contexts"": [""Ar""]}, ""flags"": [], ""handle_token"": ""O"", ""nearby_groups"": [{""distance"": 0, ""group_id"": ""phenol"", ""label"": ""Ar–OH"", ""tags"": [""acidic"", ""nucleophilic"", ""unprotected_XH"", ""metal_binding""]}], ""role"": ""nucleophile"", ""site_id"": ""mol0:atom10:site0"", ""spectator_group_ids"": [], ""steric"": {""carbon_neighbor_count"": 1, ""class"": ""primary"", ""local_heavy_atoms_r2"": 4, ""method"": ""graph_local_v1""}, ""unprotected_xh_group_ids"": []}]}","Synthetic Communications (2007), 37(12), 1957-1964","solid-supported reaction, optimized on solvents"
1.1,31-170-CAS-10142888,10,review,incomplete_condition_identity,COc1ccc(O)cc1.N#Cc1ccccc1Br>>COc1ccc(Oc2ccccc2C#N)cc1,exact_product_reconstruction,Ar–Br + Ar–OH → Ar–O–Ar,exact_product,82.0,COND1:catalyst=unknown|reagent=865-47-4|solvent=67-68-5,False,,865-47-4,67-68-5,Ar–Br,Ar,Br,ortho_substituted,electron_poor,,Ar–OH,phenol,Ar,free,,Ar–O–Ar,"{""bond_order"": ""single"", ""concise_label"": ""Ar–O–Ar"", ""connection_type"": ""C_O"", ""endpoint_1"": {""atom_index"": 7, ""component_index"": 1, ""context"": ""Ar"", ""role"": ""electrophile"", ""source_site_id"": ""mol0:atom7:site0""}, ""endpoint_2"": {""atom_index"": 6, ""component_index"": 0, ""context"": ""O"", ""role"": ""nucleophile"", ""source_site_id"": ""mol0:atom6:site0""}, ""evidence"": ""exact_product_reconstruction"", ""schema_version"": ""1.0""}",ether|nitrile,"{""evidence"": ""exact_product_reconstruction"", ""family_id"": ""c_o_coupling"", ""feature_version"": ""1.0"", ""flags"": [], ""partners"": [{""anchor_context"": ""Ar"", ""chemist_label"": ""Ar–Br"", ""competing_site_labels"": [], ""component_index"": 1, ""coordination_group_ids"": [], ""electronic"": {""class"": ""electron_poor"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.5}, ""features"": {}, ""flags"": [], ""handle_token"": ""Br"", ""nearby_groups"": [{""distance"": 0, ""group_id"": ""aryl_halide"", ""label"": ""Ar–X"", ""tags"": [""competing_coupling_handle""]}, {""distance"": 2, ""group_id"": ""nitrile"", ""label"": ""C≡N"", ""tags"": [""electron_withdrawing"", ""metal_binding""]}], ""role"": ""electrophile"", ""site_id"": ""mol0:atom7:site0"", ""spectator_group_ids"": [""nitrile""], ""steric"": {""class"": ""ortho_substituted"", ""local_heavy_atoms_r2"": 7, ""method"": ""graph_local_v1"", ""ortho_substituent_count"": 1}, ""unprotected_xh_group_ids"": []}, {""anchor_context"": null, ""chemist_label"": ""Ar–OH"", ""competing_site_labels"": [], ""component_index"": 0, ""coordination_group_ids"": [], ""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""features"": {""availability"": ""free"", ""derived_family"": ""phenol"", ""element"": ""O"", ""initial_h_count"": 1, ""retained_contexts"": [""Ar""]}, ""flags"": [], ""handle_token"": ""O"", ""nearby_groups"": [{""distance"": 0, ""group_id"": ""phenol"", ""label"": ""Ar–OH"", ""tags"": [""acidic"", ""nucleophilic"", ""unprotected_XH"", ""metal_binding""]}], ""role"": ""nucleophile"", ""site_id"": ""mol0:atom6:site0"", ""spectator_group_ids"": [""ether""], ""steric"": {""carbon_neighbor_count"": 1, ""class"": ""primary"", ""local_heavy_atoms_r2"": 4, ""method"": ""graph_local_v1""}, ""unprotected_xh_group_ids"": []}]}","Tetrahedron Letters (2012), 53(33), 4288-4292",sealed tube used
1.1,31-170-CAS-10336982,11,review,incomplete_condition_identity|missing_c_o_coupling_environment|missing_c_o_product_connection|not_verified_as_sp2_c_o_substitution|reaction_not_exactly_verified,Oc1ccccc1Br.O=[N+]([O-])c1cc([N+](=O)[O-])c(Cl)cc1Cl>>O=[N+]([O-])c1cc([N+](=O)[O-])c(Oc2ccccc2Br)cc1Oc1ccccc1Br,reactant_grammar_only,Ar–Cl + Ar–OH →,source_family_reactant_only,80.0,COND1:catalyst=unknown|reagent=7646-69-7|solvent=67-68-5,False,,7646-69-7,67-68-5,,,,,,,,,,,,,,,,"Chemistry of Materials (2005), 17(22), 5504-5511",
1.1,31-170-CAS-10356752,13,review,incomplete_condition_identity,O=[N+]([O-])c1ccc(Cl)cc1.Oc1ccc(Cl)cc1>>O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2)cc1,exact_product_reconstruction,Ar–Cl + Ar–OH → Ar–O–Ar,exact_product,94.0,COND1:catalyst=unknown|reagent=1310-58-3|solvent=unknown,False,,1310-58-3,,Ar–Cl,Ar,Cl,open,neutral,challenging_heteroatom_activation,Ar–OH,phenol,Ar,free,competing_reactive_handle,Ar–O–Ar,"{""bond_order"": ""single"", ""concise_label"": ""Ar–O–Ar"", ""connection_type"": ""C_O"", ""endpoint_1"": {""atom_index"": 6, ""component_index"": 0, ""context"": ""Ar"", ""role"": ""electrophile"", ""source_site_id"": ""mol0:atom6:site0""}, ""endpoint_2"": {""atom_index"": 0, ""component_index"": 1, ""context"": ""O"", ""role"": ""nucleophile"", ""source_site_id"": ""mol0:atom0:site0""}, ""evidence"": ""exact_product_reconstruction"", ""schema_version"": ""1.0""}",aryl_halide|nitro|tertiary_amine,"{""evidence"": ""exact_product_reconstruction"", ""family_id"": ""c_o_coupling"", ""feature_version"": ""1.0"", ""flags"": [""electrophile:challenging_heteroatom_activation"", ""nucleophile:competing_reactive_handle""], ""partners"": [{""anchor_context"": ""Ar"", ""chemist_label"": ""Ar–Cl"", ""competing_site_labels"": [], ""component_index"": 0, ""coordination_group_ids"": [], ""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""features"": {}, ""flags"": [""challenging_heteroatom_activation""], ""handle_token"": ""Cl"", ""nearby_groups"": [{""distance"": 0, ""group_id"": ""aryl_halide"", ""label"": ""Ar–X"", ""tags"": [""competing_coupling_handle""]}], ""role"": ""electrophile"", ""site_id"": ""mol0:atom6:site0"", ""spectator_group_ids"": [""nitro"", ""tertiary_amine""], ""steric"": {""class"": ""open"", ""local_heavy_atoms_r2"": 6, ""method"": ""graph_local_v1"", ""ortho_substituent_count"": 0}, ""unprotected_xh_group_ids"": []}, {""anchor_context"": null, ""chemist_label"": ""Ar–OH"", ""competing_site_labels"": [""Ar–Cl""], ""component_index"": 1, ""coordination_group_ids"": [], ""electronic"": {""class"": ""neutral"", ""method"": ""tag_distance_v1"", ""qualitative_sum"": 0.0}, ""features"": {""availability"": ""free"", ""derived_family"": ""phenol"", ""element"": ""O"", ""initial_h_count"": 1, ""retained_contexts"": [""Ar""]}, ""flags"": [""competing_reactive_handle""], ""handle_token"": ""O"", ""nearby_groups"": [{""distance"": 0, ""group_id"": ""phenol"", ""label"": ""Ar–OH"", ""tags"": [""acidic"", ""nucleophilic"", ""unprotected_XH"", ""metal_binding""]}], ""role"": ""nucleophile"", ""site_id"": ""mol0:atom0:site0"", ""spectator_group_ids"": [""aryl_halide""], ""steric"": {""carbon_neighbor_count"": 1, ""class"": ""primary"", ""local_heavy_atoms_r2"": 4, ""method"": ""graph_local_v1""}, ""unprotected_xh_group_ids"": []}]}","Huaxue Tongbao (2000), (7), 37-39",no solvent
