schema_version,reaction_id,source_row_number,admission_tier,admission_reasons,reaction_smiles,evidence_quality,reaction_label,reaction_label_status,yield_pct,condition_recipe_id,conditions_complete,catalyst_cas,reagent_cas,solvent_cas,electrophile_label,electrophile_context,electrophile_handle,electrophile_steric_class,electrophile_electronic_class,electrophile_flags,nucleophile_label,nucleophile_family,nucleophile_contexts,nucleophile_availability,nucleophile_flags,product_connection_label,product_connection_json,spectator_group_ids,family_environment_json,reference,notes
1.1,31-171-CAS-19110904,81,rejected,unresolved_transformation,COc1ccc2c(c1)C(CC(=O)N(C)OC)c1cc(OC)ccc1[I+]2.O=S(=O)([O-])C(F)(F)F.CC(=O)S.[K]>>COc1ccc(I)c([C@@H](CC(=O)N(C)OC)c2cc(OC)ccc2SC(C)=O)c1,unresolved,,unavailable,92.0,COND1:catalyst=2241321-21-9+34946-82-2|reagent=unknown|solvent=107-06-2,False,2241321-21-9|34946-82-2,,107-06-2,,,,,,,,,,,,,,,,"Journal of the American Chemical Society (2018), 140(30), 9400-9403","regioselective, stereoselective, reaction in a Schlenk tube,%ee = 91,regioisomeric ratio is greater than 20:1,catalyst prepared and used"
1.1,31-171-CAS-19294368,85,rejected,invalid_reaction_smiles,CC1=C2C(=CC=C1)[I+]C1=CC=CC(C)=C12.[F-][P+5]([F-])([F-])([F-])([F-])[F-].O=C(S)c1c(Cl)cc(Cl)cc1Cl.[K]>>Cc1cccc(I)c1-c1c(C)cccc1SC(=O)c1c(Cl)cc(Cl)cc1Cl,unresolved,,unavailable,96.0,COND1:catalyst=131457-46-0+64443-05-6|reagent=unknown|solvent=75-09-2,False,131457-46-0|64443-05-6,,75-09-2,,,,,,,,,,,,,,,,"Organic Letters (2018), 20(18), 5779-5783","stereoselective, 92% ee"
1.1,31-171-CAS-21823852,109,rejected,unresolved_transformation,Ic1ccc(I)cc1.CC(=O)S.[K]>>CC(=O)Sc1ccc(I)cc1,unresolved,,unavailable,71.0,COND1:catalyst=66-71-7+7681-65-4|reagent=unknown|solvent=108-88-3,False,66-71-7|7681-65-4,,108-88-3,,,,,,,,,,,,,,,,"Angewandte Chemie, International Edition (2020), 59(2), 882-889",
1.1,31-171-CAS-23408826,131,rejected,unresolved_transformation,CC(=O)S.[K].CC(=O)SCc1ccccc1I>>CC(=O)SCc1ccccc1SC(C)=O,unresolved,,unavailable,99.0,COND1:catalyst=66-71-7+7681-65-4|reagent=unknown|solvent=108-88-3,False,66-71-7|7681-65-4,,108-88-3,,,,,,,,,,,,,,,,"Chemistry - A European Journal (2021), 27(9), 3008-3012",Ullmann reaction
1.1,31-171-CAS-23412013,132,rejected,unresolved_transformation,CC(=O)S.[K].CC(=O)SCc1cccc(I)c1>>CC(=O)SCc1cccc(SC(C)=O)c1,unresolved,,unavailable,99.0,COND1:catalyst=66-71-7+7681-65-4|reagent=unknown|solvent=108-88-3,False,66-71-7|7681-65-4,,108-88-3,,,,,,,,,,,,,,,,"Chemistry - A European Journal (2021), 27(9), 3008-3012",Ullmann reaction
1.1,31-171-CAS-23577653,133,rejected,unresolved_transformation,FC(F)(F)S.[Cs].Cc1ccc(C)c2c1[I+]c1cccc(C)c1-2.O=S(=O)([O-])C(F)(F)F>>Cc1ccc(C)c(-c2c(C)cccc2SC(F)(F)F)c1I.Cc1ccc(C)c(-c2c(C)cccc2I)c1SC(F)(F)F,unresolved,,unavailable,77.0,COND1:catalyst=185346-09-2+64443-05-6|reagent=unknown|solvent=75-09-2,False,185346-09-2|64443-05-6,,75-09-2,,,,,,,,,,,,,,,,"Chemical Communications (Cambridge, United Kingdom) (2021), 57(32), 3881-3884","regioselective, stereoselective, glovebox used, sealed Schleck tube used, alternative preparation shown"
1.1,31-171-CAS-4145497,152,rejected,unresolved_transformation,N#CS.[Na].CS(=O)(=O)[O-].c1ccc([I+]c2ccccc2-c2ccccn2)cc1>>N#CSc1ccccc1-c1ccccn1,unresolved,,unavailable,80.0,COND1:catalyst=34946-82-2|reagent=unknown|solvent=67-64-1,False,34946-82-2,,67-64-1,,,,,,,,,,,,,,,,"Chemistry - A European Journal (2016), 22(2), 511-516",thermal
1.1,31-171-CAS-6811821,170,rejected,unresolved_transformation,O=C(S)c1ccccc1.Clc1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)c(I)c1.[Br-]>>Clc1ccc2cc(-c3ccccc3)sc2c1,unresolved,,unavailable,86.0,COND1:catalyst=66-71-7+7681-65-4|reagent=102-69-2|solvent=123-91-1,True,66-71-7|7681-65-4,102-69-2,123-91-1,,,,,,,,,,,,,,,,"Journal of Organic Chemistry (2013), 78(17), 8898-8903","chemoselective, Ullmann coupling followed by Wittig reaction"
1.1,31-614-CAS-35240356,241,rejected,unresolved_transformation,CCOC(=S)S.[K].COc1ccc([I+]c2cc([N+](=O)[O-])ccc2OC)cc1.O=S(=O)([O-])C(F)(F)F>>CCOC(=S)Sc1cc([N+](=O)[O-])ccc1OC,unresolved,,unavailable,90.0,COND1:catalyst=unknown|reagent=unknown|solvent=75-09-2,False,,,75-09-2,,,,,,,,,,,,,,,,"Organic Letters (2023), 25(1), 272-276",
1.1,31-614-CAS-35240375,242,rejected,unresolved_transformation,COC(=S)S.[K].O=S(=O)([O-])C(F)(F)F.c1ccc([I+]c2ccccc2)cc1>>COC(=S)Sc1ccccc1,unresolved,,unavailable,87.0,COND1:catalyst=unknown|reagent=unknown|solvent=75-09-2,False,,,75-09-2,,,,,,,,,,,,,,,,"Organic Letters (2023), 25(1), 272-276",
