schema_version,observation_id,reaction_id,canonical_reaction_id,source_dataset,source_row_number,source_declared_family,admission_tier,admission_reasons,reaction_smiles,canonical_reaction_smiles,evidence_quality,transformation_class,transformation_confidence,named_family,family_confidence,reaction_label,reaction_label_status,yield_pct,temperature_c,time_h,condition_recipe_id,raw_recipe_id,catalyst_cas,reagent_cas,solvent_cas,condition_resolved_count,condition_unresolved_count,condition_invalid_count,condition_identity_uncertainty,reaction_signature_id,signature_l0_exact,signature_l1_handle,signature_l2_transformation,signature_l3_bond_edit,signature_l4_environment,reaction_signature_json,reference
1.3,OBS1:d9addd51c62c718929061b69100a26bb3fd9eb73e797e9ff23d5380ca133f11b,31-004-CAS-17886130,CRX1:916c9886b24cbc9ba2bcefa4edceb5301f33acdb5cd3544bb709905e0d0deea3,suzuki_miyaura,13,Suzuki_Miyaura,rejected,no_usable_transformation_evidence,COc1ccc(B2O[C@@H]3[C@H](O2)[C@@H]2C(Br)=C[C@H]3n3c(=O)n(C)c(=O)n32)cc1>>COc1ccc(C2=C[C@@H]3[C@H](O)[C@H](O)[C@H]2n2c(=O)n(C)c(=O)n23)cc1,COc1ccc(B2O[C@@H]3[C@H](O2)[C@@H]2C(Br)=C[C@H]3n3c(=O)n(C)c(=O)n32)cc1>>COc1ccc(C2=C[C@@H]3[C@H](O)[C@H](O)[C@H]2n2c(=O)n(C)c(=O)n23)cc1,unresolved,,0.0,,0.0,,unavailable,73.0,,,COND1:catalyst=72287-26-4|reagent=121-44-8+7647-01-0|solvent=109-99-9+7732-18-5,RAWCOND1:42a78d7545c8c72923ffcbef688af830252a4ed9ee2100b5b526b4498d713f9d,72287-26-4,121-44-8|7647-01-0,109-99-9|7732-18-5,5,0,0,False,,,,,,,,"Angewandte Chemie, International Edition (2017), 56(47), 15049-15052"
1.3,OBS1:9ba977fa7216739c06f0f8d4c0104d7c2471e891563911cc7caa7b10978c21df,31-004-CAS-17886132,CRX1:ea31d2f04ae1332b3222c9a8ee98e5143559a68c1979cb2e40964707ca86c96c,suzuki_miyaura,14,Suzuki_Miyaura,rejected,no_usable_transformation_evidence,Cc1ccc(B2O[C@@H]3[C@H](O2)[C@@H]2C(Br)=C[C@H]3n3c(=O)n(C)c(=O)n32)cc1>>Cc1ccc(C2=C[C@@H]3[C@H](O)[C@H](O)[C@H]2n2c(=O)n(C)c(=O)n23)cc1,Cc1ccc(B2O[C@@H]3[C@H](O2)[C@@H]2C(Br)=C[C@H]3n3c(=O)n(C)c(=O)n32)cc1>>Cc1ccc(C2=C[C@@H]3[C@H](O)[C@H](O)[C@H]2n2c(=O)n(C)c(=O)n23)cc1,unresolved,,0.0,,0.0,,unavailable,85.0,,,COND1:catalyst=72287-26-4|reagent=121-44-8+7647-01-0|solvent=109-99-9+7732-18-5,RAWCOND1:42a78d7545c8c72923ffcbef688af830252a4ed9ee2100b5b526b4498d713f9d,72287-26-4,121-44-8|7647-01-0,109-99-9|7732-18-5,5,0,0,False,,,,,,,,"Angewandte Chemie, International Edition (2017), 56(47), 15049-15052"
1.3,OBS1:a3164acd2fccfa7482254b10d8645f45db29641503063bb2a7135e399aa525fc,31-004-CAS-17886135,CRX1:5586e6f03f116b5a2cd9f35d15cd7f5a39fcd5180af148f0dbb6c916137c850f,suzuki_miyaura,15,Suzuki_Miyaura,rejected,no_usable_transformation_evidence,Cn1c(=O)n2n(c1=O)[C@H]1C(Br)=C[C@@H]2[C@@H]2OB(c3ccc(Cl)cc3)O[C@@H]21>>Cn1c(=O)n2n(c1=O)[C@H]1C(c3ccc(Cl)cc3)=C[C@@H]2[C@H](O)[C@@H]1O,Cn1c(=O)n2n(c1=O)[C@H]1C(Br)=C[C@@H]2[C@@H]2OB(c3ccc(Cl)cc3)O[C@@H]21>>Cn1c(=O)n2n(c1=O)[C@H]1C(c3ccc(Cl)cc3)=C[C@@H]2[C@H](O)[C@@H]1O,unresolved,,0.0,,0.0,,unavailable,74.0,,,COND1:catalyst=72287-26-4|reagent=121-44-8+7647-01-0|solvent=109-99-9+7732-18-5,RAWCOND1:42a78d7545c8c72923ffcbef688af830252a4ed9ee2100b5b526b4498d713f9d,72287-26-4,121-44-8|7647-01-0,109-99-9|7732-18-5,5,0,0,False,,,,,,,,"Angewandte Chemie, International Edition (2017), 56(47), 15049-15052"
1.3,OBS1:77ff1eb73a58c8479abaf807d305a2e572443ade75dd2a0e26e6cf12e74e151c,31-004-CAS-17886136,CRX1:a67cda1642a4893e5483b620a8be2ff384316af094b5012a1bda5eadf6be1ad7,suzuki_miyaura,16,Suzuki_Miyaura,rejected,no_usable_transformation_evidence,Cn1c(=O)n2n(c1=O)[C@H]1C(Br)=C[C@@H]2[C@@H]2OB(c3ccc(F)cc3)O[C@@H]21>>Cn1c(=O)n2n(c1=O)[C@H]1C(c3ccc(F)cc3)=C[C@@H]2[C@H](O)[C@@H]1O,Cn1c(=O)n2n(c1=O)[C@H]1C(Br)=C[C@@H]2[C@@H]2OB(c3ccc(F)cc3)O[C@@H]21>>Cn1c(=O)n2n(c1=O)[C@H]1C(c3ccc(F)cc3)=C[C@@H]2[C@H](O)[C@@H]1O,unresolved,,0.0,,0.0,,unavailable,74.0,,,COND1:catalyst=72287-26-4|reagent=121-44-8+7647-01-0|solvent=109-99-9+7732-18-5,RAWCOND1:42a78d7545c8c72923ffcbef688af830252a4ed9ee2100b5b526b4498d713f9d,72287-26-4,121-44-8|7647-01-0,109-99-9|7732-18-5,5,0,0,False,,,,,,,,"Angewandte Chemie, International Edition (2017), 56(47), 15049-15052"
1.3,OBS1:1c556e5026f79373c8ae5bc3f3ac50a34edca03717228bd1fc45c26a5ba10dd3,31-026-CAS-23040224,CRX1:0c1d16c20d149d80907578ec88b4e3898efba7d20b4ad3cc7050ee73dd43badf,suzuki_miyaura,93,Suzuki_Miyaura,rejected,no_usable_transformation_evidence,BrC1(Br)CC1(Br)CCc1ccccc1.CC1(C)OB(c2ccccc2)OC1(C)C.Cl[Se]c1ccccc1>>CC1(C)OB([C@@]2(c3ccccc3)C[C@@]2(CCc2ccccc2)[Se]c2ccccc2)OC1(C)C,BrC1(Br)CC1(Br)CCc1ccccc1.CC1(C)OB(c2ccccc2)OC1(C)C.Cl[Se]c1ccccc1>>CC1(C)OB([C@@]2(c3ccccc3)C[C@@]2(CCc2ccccc2)[Se]c2ccccc2)OC1(C)C,unresolved,,0.0,,0.0,,unavailable,84.0,,,COND1:catalyst=unknown|reagent=109-72-8+144-55-8|solvent=110-54-3+60-29-7+7732-18-5,RAWCOND1:823480d20f1fe95411917d930026a2b3d0c13da9f4085f7cf0345a299cbd0577,,109-72-8|144-55-8,110-54-3|60-29-7|7732-18-5,5,0,0,False,,,,,,,,"Chemical Communications (Cambridge, United Kingdom) (2020), 56(99), 15545-15548"
1.3,OBS1:18239579e3f2634d955e61d59c48395031d74e8ec268cc2c737f819cf6699aa3,31-026-CAS-23043682,CRX1:b855d0431c9f6964c58108e4e1ea8c853f3d519e4ff0bdf845c2873d077d8b62,suzuki_miyaura,94,Suzuki_Miyaura,rejected,no_usable_transformation_evidence,BrC1(Br)CC1(Br)CCc1ccccc1.CC1(C)OB(c2ccc(C(F)(F)F)cc2)OC1(C)C.Cl[Se]c1ccccc1>>CC1(C)OB([C@@]2(c3ccc(C(F)(F)F)cc3)C[C@@]2(CCc2ccccc2)[Se]c2ccccc2)OC1(C)C,BrC1(Br)CC1(Br)CCc1ccccc1.CC1(C)OB(c2ccc(C(F)(F)F)cc2)OC1(C)C.Cl[Se]c1ccccc1>>CC1(C)OB([C@@]2(c3ccc(C(F)(F)F)cc3)C[C@@]2(CCc2ccccc2)[Se]c2ccccc2)OC1(C)C,unresolved,,0.0,,0.0,,unavailable,71.0,,,COND1:catalyst=unknown|reagent=109-72-8+144-55-8|solvent=110-54-3+60-29-7+7732-18-5,RAWCOND1:823480d20f1fe95411917d930026a2b3d0c13da9f4085f7cf0345a299cbd0577,,109-72-8|144-55-8,110-54-3|60-29-7|7732-18-5,5,0,0,False,,,,,,,,"Chemical Communications (Cambridge, United Kingdom) (2020), 56(99), 15545-15548"
1.3,OBS1:9f3e2ef08228bf3ed53cc8c582491dc3cf2ad50cea06ba892a95476d62061ac4,31-026-CAS-23044163,CRX1:29e60eef65d7135df7d2a3f8ea60fd89369584991c6ca0224ea7d2dd4c8c37c2,suzuki_miyaura,95,Suzuki_Miyaura,rejected,no_usable_transformation_evidence,BrC1(Br)CC1(Br)CCc1ccccc1.COc1ccc(B2OC(C)(C)C(C)(C)O2)cc1.Cl[Se]c1ccccc1>>COc1ccc([C@]2(B3OC(C)(C)C(C)(C)O3)C[C@@]2(CCc2ccccc2)[Se]c2ccccc2)cc1,BrC1(Br)CC1(Br)CCc1ccccc1.COc1ccc(B2OC(C)(C)C(C)(C)O2)cc1.Cl[Se]c1ccccc1>>COc1ccc([C@]2(B3OC(C)(C)C(C)(C)O3)C[C@@]2(CCc2ccccc2)[Se]c2ccccc2)cc1,unresolved,,0.0,,0.0,,unavailable,79.0,,,COND1:catalyst=unknown|reagent=109-72-8+144-55-8|solvent=110-54-3+60-29-7+7732-18-5,RAWCOND1:823480d20f1fe95411917d930026a2b3d0c13da9f4085f7cf0345a299cbd0577,,109-72-8|144-55-8,110-54-3|60-29-7|7732-18-5,5,0,0,False,,,,,,,,"Chemical Communications (Cambridge, United Kingdom) (2020), 56(99), 15545-15548"
1.3,OBS1:80d2effa2d545d1b5ee6cd755a40a5bc821116df45c58003862ab870315e0080,31-026-CAS-23045226,CRX1:5a6109273349b05c312e711d47cf2540c33b733357ae61d0d472b159099dfb42,suzuki_miyaura,96,Suzuki_Miyaura,rejected,no_usable_transformation_evidence,BrC1(Br)CC1(Br)CCc1ccccc1.COc1ccccc1B1OC(C)(C)C(C)(C)O1.Cl[Se]c1ccccc1>>COc1ccccc1[C@]1(B2OC(C)(C)C(C)(C)O2)C[C@@]1(CCc1ccccc1)[Se]c1ccccc1,BrC1(Br)CC1(Br)CCc1ccccc1.COc1ccccc1B1OC(C)(C)C(C)(C)O1.Cl[Se]c1ccccc1>>COc1ccccc1[C@]1(B2OC(C)(C)C(C)(C)O2)C[C@@]1(CCc1ccccc1)[Se]c1ccccc1,unresolved,,0.0,,0.0,,unavailable,73.0,,,COND1:catalyst=unknown|reagent=109-72-8+144-55-8|solvent=110-54-3+60-29-7+7732-18-5,RAWCOND1:823480d20f1fe95411917d930026a2b3d0c13da9f4085f7cf0345a299cbd0577,,109-72-8|144-55-8,110-54-3|60-29-7|7732-18-5,5,0,0,False,,,,,,,,"Chemical Communications (Cambridge, United Kingdom) (2020), 56(99), 15545-15548"
1.3,OBS1:d00718ef9dd7ce0f09f78378f4408f7a8e95e7ebe3d35addf78d1f3a9f956955,31-026-CAS-23046220,CRX1:655718688e1287cd5ed99e0dc76f252833c1433a09fd05d88267445f42153a32,suzuki_miyaura,97,Suzuki_Miyaura,rejected,no_usable_transformation_evidence,BrC1(Br)CC1(Br)CCc1ccccc1.CC1(C)OB(c2ccc3ccccc3c2)OC1(C)C.Cl[Se]c1ccccc1>>CC1(C)OB([C@@]2(c3ccc4ccccc4c3)C[C@@]2(CCc2ccccc2)[Se]c2ccccc2)OC1(C)C,BrC1(Br)CC1(Br)CCc1ccccc1.CC1(C)OB(c2ccc3ccccc3c2)OC1(C)C.Cl[Se]c1ccccc1>>CC1(C)OB([C@@]2(c3ccc4ccccc4c3)C[C@@]2(CCc2ccccc2)[Se]c2ccccc2)OC1(C)C,unresolved,,0.0,,0.0,,unavailable,81.0,,,COND1:catalyst=unknown|reagent=109-72-8+144-55-8|solvent=110-54-3+60-29-7+7732-18-5,RAWCOND1:823480d20f1fe95411917d930026a2b3d0c13da9f4085f7cf0345a299cbd0577,,109-72-8|144-55-8,110-54-3|60-29-7|7732-18-5,5,0,0,False,,,,,,,,"Chemical Communications (Cambridge, United Kingdom) (2020), 56(99), 15545-15548"
1.3,OBS1:02391870b1fe32d27f5f7245b6a4510be335477b4d78ae9ee9408088d134c9f8,31-031-CAS-11341308,CRX1:4e3724fba4d357692598f7fc6bd48996e983a11e0d8b9c48d32a75399cd8a810,suzuki_miyaura,98,Suzuki_Miyaura,rejected,no_usable_transformation_evidence,CCOC(=O)c1cc(Br)c[nH]1.CCI.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C>>CCOC(=O)c1cc(B2OC(C)(C)C(C)(C)O2)cn1CC,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.CCI.CCOC(=O)c1cc(Br)c[nH]1>>CCOC(=O)c1cc(B2OC(C)(C)C(C)(C)O2)cn1CC,unresolved,,0.0,,0.0,,unavailable,90.0,,,COND1:catalyst=3375-31-3|reagent=10581-12-1+584-08-7+58656-04-5+7440-44-0+7772-98-7|solvent=108-88-3+1634-04-4+68-12-2+7732-18-5,RAWCOND1:bc5665baf0ea3d37ee1d58276d4e2960e7f6a296458a834f9e535cc7236c6525,3375-31-3,10581-12-1|584-08-7|58656-04-5|7440-44-0|7772-98-7,108-88-3|1634-04-4|68-12-2|7732-18-5,10,0,0,False,,,,,,,,"Journal of Organic Chemistry (2015), 80(12), 6001-6011"
