fold,group,rows,ml_only_spearman,ml_only_apyr,ml_only_top1_hit_ge_50,ml_only_top1_hit_ge_70,ml_only_top3_hit_ge_50,ml_only_top3_hit_ge_70,prior_only_spearman,prior_only_apyr,prior_only_top1_hit_ge_50,prior_only_top1_hit_ge_70,prior_only_top3_hit_ge_50,prior_only_top3_hit_ge_70,retrieval_only_spearman,retrieval_only_apyr,retrieval_only_top1_hit_ge_50,retrieval_only_top1_hit_ge_70,retrieval_only_top3_hit_ge_50,retrieval_only_top3_hit_ge_70,hybrid_spearman,hybrid_apyr,hybrid_top1_hit_ge_50,hybrid_top1_hit_ge_70,hybrid_top3_hit_ge_50,hybrid_top3_hit_ge_70
1,CC(=O)c1cccc(S(N)(=O)=O)c1,16,0.9088235294117648,87.5,1.0,1.0,1.0,1.0,0.9470588235294116,87.5,1.0,1.0,1.0,1.0,0.8823529411764707,87.5,1.0,1.0,1.0,1.0,0.9147058823529413,87.5,1.0,1.0,1.0,1.0
2,CC(C)(C)OC(=O)N1CCC(S(N)(=O)=O)CC1,111,0.8314031927959474,93.69369369369369,1.0,0.0,1.0,0.0,0.8087987206028601,100.0,1.0,0.0,1.0,0.0,0.8270595539234403,92.34234234234233,0.0,0.0,1.0,0.0,0.8345973029971446,94.59459459459458,1.0,0.0,1.0,0.0
3,CC(C)c1cc(C(C)C)c(S(N)(=O)=O)c(C(C)C)c1,10,-0.006060606060606061,50.0,0.0,0.0,0.0,0.0,0.11515151515151514,56.666666666666664,0.0,0.0,0.0,0.0,0.12727272727272726,70.0,0.0,0.0,0.0,0.0,0.01818181818181818,50.0,0.0,0.0,0.0,0.0
4,CCOC(=O)c1ccccc1S(N)(=O)=O,222,0.6768285797741888,82.26351351351352,0.5,0.0,0.5,0.0,0.5015127362990813,99.77477477477478,1.0,1.0,1.0,1.0,0.6125808241617228,95.4954954954955,0.5,0.0,0.5,0.0,0.6679035437107036,86.93693693693695,0.5,0.0,0.5,0.0
5,CCOc1ccc(S(N)(=O)=O)cc1OCC,111,0.8462242151306232,97.8978978978979,1.0,1.0,1.0,1.0,0.7770067940673181,98.1981981981982,1.0,1.0,1.0,1.0,0.8345446528289929,96.84684684684686,1.0,1.0,1.0,1.0,0.8456450632809555,96.84684684684686,1.0,1.0,1.0,1.0
6,CN(C)C(=O)c1cccnc1S(N)(=O)=O,111,0.30357648204812,89.1891891891892,1.0,1.0,1.0,1.0,0.2876147060701595,89.1891891891892,1.0,1.0,1.0,1.0,0.2932482740623809,79.27927927927928,1.0,1.0,1.0,1.0,0.30123354956537374,89.1891891891892,1.0,1.0,1.0,1.0
7,CN(C)CCS(N)(=O)=O,222,0.4736590127614548,67.2972972972973,0.0,0.0,0.0,0.0,0.4590976860931728,78.15315315315316,0.0,0.0,0.0,0.0,0.48359062666242536,78.15315315315316,0.0,0.0,0.0,0.0,0.5019336759037097,78.15315315315316,0.0,0.0,0.0,0.0
8,CN(C)c1ccc(S(N)(=O)=O)cc1[N+](=O)[O-],16,0.6382352941176471,72.91666666666667,1.0,0.0,1.0,0.0,0.9235294117647058,62.5,1.0,0.0,1.0,0.0,0.6558823529411765,59.375,0.0,0.0,1.0,0.0,0.7529411764705882,59.375,1.0,0.0,1.0,0.0
9,COC(=O)c1cc(Br)cc(S(N)(=O)=O)c1,222,0.7624747732121688,27.92792792792793,0.0,0.0,1.0,0.5,0.7145993136624715,27.92792792792793,0.0,0.0,1.0,0.5,0.8264050997567265,27.92792792792793,0.0,0.0,1.0,1.0,0.8122115230377887,27.92792792792793,0.0,0.0,1.0,0.5
10,COC(=O)c1ccc(I)cc1S(N)(=O)=O,16,0.8441176470588234,81.25,1.0,0.0,1.0,1.0,0.7058823529411764,100.0,1.0,1.0,1.0,1.0,0.8647058823529412,93.75,1.0,0.0,1.0,1.0,0.8647058823529412,96.875,1.0,0.0,1.0,1.0
11,COC(=O)c1oc(S(N)(=O)=O)cc1C,222,0.8063701996304171,94.74474474474475,1.0,0.5,1.0,1.0,0.6617035110303038,97.74774774774775,1.0,1.0,1.0,1.0,0.730236126864674,76.92692692692692,1.0,0.5,1.0,1.0,0.7971222337089425,89.81981981981981,1.0,0.5,1.0,1.0
12,COCCCCS(N)(=O)=O,111,0.9508528305404077,100.0,1.0,1.0,1.0,1.0,0.8532648875326013,100.0,1.0,1.0,1.0,1.0,0.9371548915929043,100.0,1.0,1.0,1.0,1.0,0.9483958011327839,100.0,1.0,1.0,1.0,1.0
13,COCCOc1ccccc1S(N)(=O)=O,222,0.7565217822413142,97.44744744744746,1.0,1.0,1.0,1.0,0.6549062052727099,96.17117117117118,1.0,1.0,1.0,1.0,0.7132785063785255,96.17117117117118,1.0,1.0,1.0,1.0,0.7452956740510404,96.17117117117118,1.0,1.0,1.0,1.0
14,COc1cccc(CS(N)(=O)=O)c1,16,0.8941176470588235,93.75,1.0,0.0,1.0,1.0,0.9176470588235294,93.75,1.0,0.0,1.0,1.0,0.9,93.75,1.0,0.0,1.0,0.0,0.9264705882352942,93.75,1.0,0.0,1.0,1.0
15,COc1cccc2c(S(N)(=O)=O)cccc12,111,0.7518948742580598,98.64864864864865,1.0,0.0,1.0,1.0,0.7404609124075813,97.2972972972973,1.0,0.0,1.0,1.0,0.7129070826220842,98.64864864864865,1.0,0.0,1.0,1.0,0.7584498777133993,98.64864864864865,1.0,0.0,1.0,1.0
16,CS(N)(=O)=O,16,0.8911764705882352,81.25,1.0,0.0,1.0,0.0,0.9294117647058824,81.25,1.0,0.0,1.0,0.0,0.8294117647058824,90.625,1.0,0.0,1.0,0.0,0.888235294117647,81.25,1.0,0.0,1.0,0.0
17,C[Si](C)(C)CCS(N)(=O)=O,15,0.682142857142857,96.66666666666666,1.0,0.0,1.0,0.0,0.5392857142857141,100.0,1.0,0.0,1.0,0.0,0.6857142857142856,96.66666666666666,1.0,0.0,1.0,0.0,0.6749999999999999,96.66666666666666,1.0,0.0,1.0,0.0
