fold,group,rows,stage1_spearman,stage1_apyr,stage1_top1_hit_ge_50,stage1_top1_hit_ge_70,stage1_top3_hit_ge_50,stage1_top3_hit_ge_70,stage1_top5_hit_ge_50,stage1_top5_hit_ge_70,stage2_spearman,stage2_apyr,stage2_top1_hit_ge_50,stage2_top1_hit_ge_70,stage2_top3_hit_ge_50,stage2_top3_hit_ge_70,stage2_top5_hit_ge_50,stage2_top5_hit_ge_70,final_spearman,final_apyr,final_top1_hit_ge_50,final_top1_hit_ge_70,final_top3_hit_ge_50,final_top3_hit_ge_70,final_top5_hit_ge_50,final_top5_hit_ge_70
1,CC(=O)c1cccc(S(N)(=O)=O)c1,16,0.9470588235294116,87.5,1.0,1.0,1.0,1.0,1.0,1.0,0.9,87.5,1.0,1.0,1.0,1.0,1.0,1.0,0.9323529411764706,87.5,1.0,1.0,1.0,1.0,1.0,1.0
2,CC(C)(C)OC(=O)N1CCC(S(N)(=O)=O)CC1,111,0.8087987206028601,100.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8312715673755684,80.18018018018019,1.0,0.0,1.0,0.0,1.0,0.0,0.45339921824464513,94.59459459459458,1.0,0.0,1.0,0.0,1.0,0.0
3,CC(C)c1cc(C(C)C)c(S(N)(=O)=O)c(C(C)C)c1,10,0.11515151515151514,56.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,-0.04242424242424241,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04242424242424241,50.0,0.0,0.0,0.0,0.0,0.0,0.0
4,CCOC(=O)c1ccccc1S(N)(=O)=O,222,0.5015127362990813,99.77477477477478,1.0,1.0,1.0,1.0,1.0,1.0,0.6758633552767244,80.4054054054054,0.5,0.0,0.5,0.0,0.5,0.0,0.33907214472346436,79.95495495495496,0.5,0.0,0.5,0.5,0.5,0.5
5,CCOc1ccc(S(N)(=O)=O)cc1OCC,111,0.7770067940673181,98.1981981981982,1.0,1.0,1.0,1.0,1.0,1.0,0.8478388202872722,97.8978978978979,1.0,1.0,1.0,1.0,1.0,1.0,0.4644254765631614,99.0990990990991,1.0,1.0,1.0,1.0,1.0,1.0
6,CN(C)C(=O)c1cccnc1S(N)(=O)=O,111,0.2876147060701595,89.1891891891892,1.0,1.0,1.0,1.0,1.0,1.0,0.3034009814876147,89.1891891891892,1.0,1.0,1.0,1.0,1.0,1.0,0.2890660642790138,89.1891891891892,1.0,1.0,1.0,1.0,1.0,1.0
7,CN(C)CCS(N)(=O)=O,222,0.4590976860931728,78.15315315315316,0.0,0.0,0.0,0.0,0.0,0.0,0.4731906749220606,72.40990990990991,0.0,0.0,0.0,0.0,0.0,0.0,0.34453214208867683,78.15315315315316,0.0,0.0,0.0,0.0,0.0,0.0
8,CN(C)c1ccc(S(N)(=O)=O)cc1[N+](=O)[O-],16,0.9235294117647058,62.5,1.0,0.0,1.0,0.0,1.0,0.0,0.4970588235294117,72.91666666666667,0.0,0.0,1.0,0.0,1.0,0.0,0.8029411764705883,62.5,1.0,0.0,1.0,0.0,1.0,0.0
9,COC(=O)c1cc(Br)cc(S(N)(=O)=O)c1,222,0.7145993136624715,27.92792792792793,0.0,0.0,1.0,0.5,1.0,1.0,0.7635891993285862,27.92792792792793,0.0,0.0,1.0,0.5,1.0,1.0,0.45908333544948476,27.92792792792793,0.0,0.0,1.0,0.5,1.0,1.0
10,COC(=O)c1ccc(I)cc1S(N)(=O)=O,16,0.7058823529411764,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8294117647058824,81.25,1.0,0.0,1.0,1.0,1.0,1.0,0.8529411764705882,75.0,1.0,1.0,1.0,1.0,1.0,1.0
11,COC(=O)c1oc(S(N)(=O)=O)cc1C,222,0.6617035110303038,97.74774774774775,1.0,1.0,1.0,1.0,1.0,1.0,0.803951678032024,94.74474474474475,1.0,0.5,1.0,1.0,1.0,1.0,0.4528215068468869,94.74474474474475,1.0,1.0,1.0,1.0,1.0,1.0
12,COCCCCS(N)(=O)=O,111,0.8532648875326013,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.952704377701153,97.74774774774775,1.0,1.0,1.0,1.0,1.0,1.0,0.5449009913104211,100.0,1.0,1.0,1.0,1.0,1.0,1.0
13,COCCOc1ccccc1S(N)(=O)=O,222,0.6549062052727099,96.17117117117118,1.0,1.0,1.0,1.0,1.0,1.0,0.7576224563565013,97.44744744744746,1.0,1.0,1.0,1.0,1.0,1.0,0.3936596546619183,97.44744744744746,1.0,1.0,1.0,1.0,1.0,1.0
14,COc1cccc(CS(N)(=O)=O)c1,16,0.9176470588235294,93.75,1.0,0.0,1.0,1.0,1.0,1.0,0.8941176470588235,93.75,1.0,0.0,1.0,1.0,1.0,1.0,0.95,93.75,1.0,0.0,1.0,1.0,1.0,1.0
15,COc1cccc2c(S(N)(=O)=O)cccc12,111,0.7404609124075813,97.2972972972973,1.0,0.0,1.0,1.0,1.0,1.0,0.7538868230992405,98.64864864864865,1.0,0.0,1.0,1.0,1.0,1.0,0.3511933377784877,98.64864864864865,1.0,0.0,1.0,1.0,1.0,1.0
16,CS(N)(=O)=O,16,0.9294117647058824,81.25,1.0,0.0,1.0,0.0,1.0,0.0,0.8911764705882352,81.25,1.0,0.0,1.0,0.0,1.0,0.0,0.8911764705882352,81.25,1.0,0.0,1.0,0.0,1.0,0.0
17,C[Si](C)(C)CCS(N)(=O)=O,15,0.5392857142857141,100.0,1.0,0.0,1.0,0.0,1.0,0.0,0.682142857142857,96.66666666666666,1.0,0.0,1.0,0.0,1.0,0.0,0.657142857142857,96.66666666666666,1.0,0.0,1.0,0.0,1.0,0.0
18,Cc1c(Cl)cccc1S(N)(=O)=O,15,0.6749999999999999,100.0,1.0,0.0,1.0,0.0,1.0,0.0,0.39999999999999997,76.0,0.0,0.0,1.0,0.0,1.0,0.0,0.575,75.0,1.0,0.0,1.0,0.0,1.0,0.0
