catalyst,base,solvent,formed_motifs_tokens,spectator_groups_tokens,sulf_motif_tokens,bor_motif_tokens,sulf_motif_count,sulf_aryl_steric_max,sulf_alkyl_steric_max,sulf_aryl_electronic_avg,bor_motif_count,bor_aryl_steric_max,bor_alkyl_steric_max,bor_aryl_electronic_avg,ligand,acid,oxidant,reductant,additive,condensation_agent,other_reagent,catalyst_metal,base_strength_band,base_inorganic_band,solvent_class,solvent_proticity,solvent_polarity_band,catalyst_family,base_family,solvent_family,is_cu_catalyst,is_strong_base,is_polar_solvent,predicted_yield,reaction_smiles,sulfonamide_smiles,boronic_smiles
Cu(OAc)2,CsF,DCE,Ar-N(R)SO2R,F HeteroAr OR Pyridine,Ar-F Ar-SO2NH2 HeteroAr-H Pyridine,Ar-B(OH)2 Ar-OR,4.0,0.0,0.0,6.0,2.0,0.0,0.0,5.0,NA,NA,NA,NA,NA,NA,NA,Cu,medium,inorganic,chlorinated_aprotic,aprotic,medium,unknown,unknown,unknown,1.0,0.0,0.0,78.05647864255174,NS(=O)(=O)c1cccc(F)n1.COc1ccc(B(O)O)cc1>>COc1ccc(NS(=O)(=O)c2cccc(F)n2)cc1,NS(=O)(=O)c1cccc(F)n1,COc1ccc(B(O)O)cc1
Cu(OAc)2,DIPEA,MeCN,Ar-N(R)SO2R,F HeteroAr OR Pyridine,Ar-F Ar-SO2NH2 HeteroAr-H Pyridine,Ar-B(OH)2 Ar-OR,4.0,0.0,0.0,6.0,2.0,0.0,0.0,5.0,NA,NA,NA,NA,NA,NA,NA,Cu,weak,organic_or_unknown,polar_aprotic,aprotic,high,unknown,unknown,unknown,1.0,0.0,1.0,77.55460125838478,NS(=O)(=O)c1cccc(F)n1.COc1ccc(B(O)O)cc1>>COc1ccc(NS(=O)(=O)c2cccc(F)n2)cc1,NS(=O)(=O)c1cccc(F)n1,COc1ccc(B(O)O)cc1
Cu(OAc)2,Et3N,MeCN,Ar-N(R)SO2R,F HeteroAr OR Pyridine,Ar-F Ar-SO2NH2 HeteroAr-H Pyridine,Ar-B(OH)2 Ar-OR,4.0,0.0,0.0,6.0,2.0,0.0,0.0,5.0,NA,NA,NA,NA,NA,NA,NA,Cu,weak,organic_or_unknown,polar_aprotic,aprotic,high,unknown,unknown,unknown,1.0,0.0,1.0,76.74472290484384,NS(=O)(=O)c1cccc(F)n1.COc1ccc(B(O)O)cc1>>COc1ccc(NS(=O)(=O)c2cccc(F)n2)cc1,NS(=O)(=O)c1cccc(F)n1,COc1ccc(B(O)O)cc1
Cu(OAc)2,Et3N,DCE,Ar-N(R)SO2R,F HeteroAr OR Pyridine,Ar-F Ar-SO2NH2 HeteroAr-H Pyridine,Ar-B(OH)2 Ar-OR,4.0,0.0,0.0,6.0,2.0,0.0,0.0,5.0,NA,NA,NA,NA,NA,NA,NA,Cu,weak,organic_or_unknown,chlorinated_aprotic,aprotic,medium,unknown,unknown,unknown,1.0,0.0,0.0,75.08072449267412,NS(=O)(=O)c1cccc(F)n1.COc1ccc(B(O)O)cc1>>COc1ccc(NS(=O)(=O)c2cccc(F)n2)cc1,NS(=O)(=O)c1cccc(F)n1,COc1ccc(B(O)O)cc1
Cu(OAc)2,DIPEA,DCE,Ar-N(R)SO2R,F HeteroAr OR Pyridine,Ar-F Ar-SO2NH2 HeteroAr-H Pyridine,Ar-B(OH)2 Ar-OR,4.0,0.0,0.0,6.0,2.0,0.0,0.0,5.0,NA,NA,NA,NA,NA,NA,NA,Cu,weak,organic_or_unknown,chlorinated_aprotic,aprotic,medium,unknown,unknown,unknown,1.0,0.0,0.0,73.53140218774647,NS(=O)(=O)c1cccc(F)n1.COc1ccc(B(O)O)cc1>>COc1ccc(NS(=O)(=O)c2cccc(F)n2)cc1,NS(=O)(=O)c1cccc(F)n1,COc1ccc(B(O)O)cc1
Cu(OAc)2,KOtBu,DCE,Ar-N(R)SO2R,F HeteroAr OR Pyridine,Ar-F Ar-SO2NH2 HeteroAr-H Pyridine,Ar-B(OH)2 Ar-OR,4.0,0.0,0.0,6.0,2.0,0.0,0.0,5.0,NA,NA,NA,NA,NA,NA,NA,Cu,strong,inorganic,chlorinated_aprotic,aprotic,medium,unknown,unknown,unknown,1.0,1.0,0.0,71.10672973443629,NS(=O)(=O)c1cccc(F)n1.COc1ccc(B(O)O)cc1>>COc1ccc(NS(=O)(=O)c2cccc(F)n2)cc1,NS(=O)(=O)c1cccc(F)n1,COc1ccc(B(O)O)cc1
Cu(OAc)2,DMAP,MeCN,Ar-N(R)SO2R,F HeteroAr OR Pyridine,Ar-F Ar-SO2NH2 HeteroAr-H Pyridine,Ar-B(OH)2 Ar-OR,4.0,0.0,0.0,6.0,2.0,0.0,0.0,5.0,NA,NA,NA,NA,NA,NA,NA,Cu,weak,organic_or_unknown,polar_aprotic,aprotic,high,unknown,unknown,unknown,1.0,0.0,1.0,70.24325550927985,NS(=O)(=O)c1cccc(F)n1.COc1ccc(B(O)O)cc1>>COc1ccc(NS(=O)(=O)c2cccc(F)n2)cc1,NS(=O)(=O)c1cccc(F)n1,COc1ccc(B(O)O)cc1
[(CH3CN)4Cu]PF6,DIPEA,MeCN,Ar-N(R)SO2R,F HeteroAr OR Pyridine,Ar-F Ar-SO2NH2 HeteroAr-H Pyridine,Ar-B(OH)2 Ar-OR,4.0,0.0,0.0,6.0,2.0,0.0,0.0,5.0,NA,NA,NA,NA,NA,NA,NA,other_or_unknown,weak,organic_or_unknown,polar_aprotic,aprotic,high,unknown,unknown,unknown,0.0,0.0,1.0,69.98222567736416,NS(=O)(=O)c1cccc(F)n1.COc1ccc(B(O)O)cc1>>COc1ccc(NS(=O)(=O)c2cccc(F)n2)cc1,NS(=O)(=O)c1cccc(F)n1,COc1ccc(B(O)O)cc1
Cu(OAc)2,DMAP,DCE,Ar-N(R)SO2R,F HeteroAr OR Pyridine,Ar-F Ar-SO2NH2 HeteroAr-H Pyridine,Ar-B(OH)2 Ar-OR,4.0,0.0,0.0,6.0,2.0,0.0,0.0,5.0,NA,NA,NA,NA,NA,NA,NA,Cu,weak,organic_or_unknown,chlorinated_aprotic,aprotic,medium,unknown,unknown,unknown,1.0,0.0,0.0,69.41816481365399,NS(=O)(=O)c1cccc(F)n1.COc1ccc(B(O)O)cc1>>COc1ccc(NS(=O)(=O)c2cccc(F)n2)cc1,NS(=O)(=O)c1cccc(F)n1,COc1ccc(B(O)O)cc1
Cu(OAc)2,Cs2CO3,DCE,Ar-N(R)SO2R,F HeteroAr OR Pyridine,Ar-F Ar-SO2NH2 HeteroAr-H Pyridine,Ar-B(OH)2 Ar-OR,4.0,0.0,0.0,6.0,2.0,0.0,0.0,5.0,NA,NA,NA,NA,NA,NA,NA,Cu,medium,inorganic,chlorinated_aprotic,aprotic,medium,unknown,unknown,unknown,1.0,0.0,0.0,69.2616163170626,NS(=O)(=O)c1cccc(F)n1.COc1ccc(B(O)O)cc1>>COc1ccc(NS(=O)(=O)c2cccc(F)n2)cc1,NS(=O)(=O)c1cccc(F)n1,COc1ccc(B(O)O)cc1
