reaction_type,example,rxn_smiles_clean,reactants_smiles,products_smiles,conditions,row_num,success,elapsed_s,detected_reaction_type,confidence,reaction_key,reacted_motifs,formed_motifs,spectator_motifs,reactant_slot_evidence_motifs,product_motifs_reactive,quality_score,quality_level,quality_reasons,validation_method,validation_reason,event_fallback,event_families,events,anomalies,mechanisms,redox,role_summary_json,error
Suzuki,Simple Ph-Ph,Brc1ccccc1.c1ccc(B(O)O)cc1>>c1ccc(-c2ccccc2)cc1,Brc1ccccc1.c1ccc(B(O)O)cc1,c1ccc(-c2ccccc2)cc1,,1,True,0.987,Suzuki_miyaura,1.0,|Ar-B(OH)2|Ar-Br -> Ar-Ar | bond_formed: C(ar)-C(ar) | bond_formed_labeled: C(ar)-C(ar)[Ar-Ar] | bond_broken: Br-C(ar); B-C(ar) | events: LGDisp+C-C | mech: oa_based_coupling,Ar-B(OH)2;Ar-Br,Ar-Ar,,Ar-B(OH)2;Ar-Br,Ar-Ar,1.0,high,,slot_based_confirmed,Pattern consistent with slot-based detection,,substitution,c_c_bond_formation;leaving_group_displacement;intermolecular_or_multi_component,,oa_based_coupling,net_reduction,"{""agents"": {""agent_count"": 0, ""entries"": [], ""family_counts"": {}, ""flags"": {""acid"": false, ""additive"": false, ""base"": false, ""condensation_agent"": false, ""enzyme"": false, ""ligand"": false, ""metal_catalyst"": false, ""organo_catalyst"": false, ""other_reagent"": false, ""oxidant"": false, ""reductant"": false, ""solvent"": false}, ""role_counts"": {}, ""role_flags"": {}}, ""reactants"": {""has_multi_functional_substrates"": false, ""num_reactants"": 2, ""reactants"": [{""category"": ""Ar-Br"", ""has_alternatives"": false, ""is_expected"": true, ""member_type"": ""Ar-Br"", ""name"": """", ""position"": 0, ""role"": ""electrophile""}, {""category"": ""Ar-B*"", ""has_alternatives"": false, ""is_expected"": true, ""member_type"": ""Ar-B*"", ""name"": """", ""position"": 1, ""role"": ""nucleophile""}]}}",
Suzuki,Electron-poor ArCl,Clc1ccc(C#N)cc1.c1ccc(B(O)O)cc1>>N#Cc1ccc(-c2ccccc2)cc1,Clc1ccc(C#N)cc1.c1ccc(B(O)O)cc1,N#Cc1ccc(-c2ccccc2)cc1,,2,True,0.1,Suzuki_miyaura,1.0,|Ar-B(OH)2|Ar-Cl -> Ar-Ar | bond_formed: C(ar)-C(ar) | bond_formed_labeled: C(ar)-C(ar)[Ar-Ar] | bond_broken: C(ar)-Cl; B-C(ar) | spectators: Ar-CN | events: LGDisp+C-C | mech: oa_based_coupling,Ar-B(OH)2;Ar-Cl,Ar-Ar,Ar-CN,Ar-B(OH)2;Ar-CN;Ar-Cl,Ar-Ar,1.0,high,,slot_based_confirmed,Pattern consistent with slot-based detection,,substitution,c_c_bond_formation;leaving_group_displacement;intermolecular_or_multi_component,,oa_based_coupling,net_reduction,"{""agents"": {""agent_count"": 0, ""entries"": [], ""family_counts"": {}, ""flags"": {""acid"": false, ""additive"": false, ""base"": false, ""condensation_agent"": false, ""enzyme"": false, ""ligand"": false, ""metal_catalyst"": false, ""organo_catalyst"": false, ""other_reagent"": false, ""oxidant"": false, ""reductant"": false, ""solvent"": false}, ""role_counts"": {}, ""role_flags"": {}}, ""reactants"": {""has_multi_functional_substrates"": true, ""num_reactants"": 2, ""reactants"": [{""alternative_functional_groups"": [{""category"": ""Ar-CN"", ""member_type"": ""Ar-CN"", ""name"": """"}], ""category"": ""Ar-Cl"", ""has_alternatives"": true, ""is_expected"": true, ""member_type"": ""Ar-Cl"", ""name"": """", ""position"": 0, ""role"": ""electrophile""}, {""category"": ""Ar-B*"", ""has_alternatives"": false, ""is_expected"": true, ""member_type"": ""Ar-B*"", ""name"": """", ""position"": 1, ""role"": ""nucleophile""}]}}",
Suzuki,Electron-rich ArBr,Brc1ccc(OC)cc1.c1ccc(B(O)O)cc1>>COc1ccc(-c2ccccc2)cc1,Brc1ccc(OC)cc1.c1ccc(B(O)O)cc1,COc1ccc(-c2ccccc2)cc1,,3,True,0.102,Suzuki_miyaura,1.0,|Ar-B(OH)2|Ar-Br -> Ar-Ar | bond_formed: C(ar)-C(ar) | bond_formed_labeled: C(ar)-C(ar)[Ar-Ar] | bond_broken: Br-C(ar); B-C(ar) | spectators: Ar-OR | events: LGDisp+C-C | mech: oa_based_coupling,Ar-B(OH)2;Ar-Br,Ar-Ar,Ar-OR,Ar-B(OH)2;Ar-Br;Ar-OR,Ar-Ar,1.0,high,,slot_based_confirmed,Pattern consistent with slot-based detection,,substitution,c_c_bond_formation;leaving_group_displacement;intermolecular_or_multi_component,,oa_based_coupling,net_reduction,"{""agents"": {""agent_count"": 0, ""entries"": [], ""family_counts"": {}, ""flags"": {""acid"": false, ""additive"": false, ""base"": false, ""condensation_agent"": false, ""enzyme"": false, ""ligand"": false, ""metal_catalyst"": false, ""organo_catalyst"": false, ""other_reagent"": false, ""oxidant"": false, ""reductant"": false, ""solvent"": false}, ""role_counts"": {}, ""role_flags"": {}}, ""reactants"": {""has_multi_functional_substrates"": true, ""num_reactants"": 2, ""reactants"": [{""alternative_functional_groups"": [{""category"": ""Ar-OR"", ""member_type"": ""Ar-OR"", ""name"": """"}, {""category"": ""Ar-O*"", ""member_type"": ""Ar-O*"", ""name"": """"}, {""category"": ""Alkyl-OR"", ""member_type"": ""Alkyl-OR"", ""name"": """"}, {""category"": ""CH3-OR"", ""member_type"": ""CH3-OR"", ""name"": """"}, {""category"": ""Alkyl-O*"", ""member_type"": ""Alkyl-O*"", ""name"": """"}], ""category"": ""Ar-Br"", ""has_alternatives"": true, ""is_expected"": true, ""member_type"": ""Ar-Br"", ""name"": """", ""position"": 0, ""role"": ""electrophile""}, {""category"": ""Ar-B*"", ""has_alternatives"": false, ""is_expected"": true, ""member_type"": ""Ar-B*"", ""name"": """", ""position"": 1, ""role"": ""nucleophile""}]}}",
Suzuki,Heteroaryl pyridine,Ic1ccncc1.c1ccc(B(O)O)cc1>>c1ccc(-c2ccncc2)cc1,Ic1ccncc1.c1ccc(B(O)O)cc1,c1ccc(-c2ccncc2)cc1,,4,True,0.098,Suzuki_miyaura,1.0,|Ar-B(OH)2|HeteroAr-I -> HeteroAr-Ar | bond_formed: C(ar)-C(ar) | bond_formed_labeled: C(ar)-C(ar) | bond_broken: C(ar)-I; B-C(ar) | spectators: HeteroAr-H|Pyridine | events: LGDisp+C-C | mech: oa_based_coupling,Ar-B(OH)2;HeteroAr-I,HeteroAr-Ar,HeteroAr-H;Pyridine,Ar-B(OH)2;HeteroAr-H;HeteroAr-I;Pyridine,HeteroAr-Ar,1.0,high,,slot_based_confirmed,Pattern consistent with slot-based detection,,substitution,c_c_bond_formation;leaving_group_displacement;intermolecular_or_multi_component,,oa_based_coupling,net_reduction,"{""agents"": {""agent_count"": 0, ""entries"": [], ""family_counts"": {}, ""flags"": {""acid"": false, ""additive"": false, ""base"": false, ""condensation_agent"": false, ""enzyme"": false, ""ligand"": false, ""metal_catalyst"": false, ""organo_catalyst"": false, ""other_reagent"": false, ""oxidant"": false, ""reductant"": false, ""solvent"": false}, ""role_counts"": {}, ""role_flags"": {}}, ""reactants"": {""has_multi_functional_substrates"": true, ""num_reactants"": 2, ""reactants"": [{""alternative_functional_groups"": [{""category"": ""Ar-I"", ""member_type"": ""Ar-I"", ""name"": """"}], ""category"": ""HeteroAr-I"", ""has_alternatives"": true, ""is_expected"": true, ""member_type"": ""HeteroAr-I"", ""name"": """", ""position"": 0, ""role"": ""electrophile""}, {""category"": ""Ar-B*"", ""has_alternatives"": false, ""is_expected"": true, ""member_type"": ""Ar-B*"", ""name"": """", ""position"": 1, ""role"": ""nucleophile""}]}}",
Suzuki,CF3 substrate,Brc1ccc(C(F)(F)F)cc1.c1ccc(B(O)O)cc1>>FC(F)(F)c1ccc(-c2ccccc2)cc1,Brc1ccc(C(F)(F)F)cc1.c1ccc(B(O)O)cc1,FC(F)(F)c1ccc(-c2ccccc2)cc1,,5,True,0.119,Suzuki_miyaura,1.0,|Ar-B(OH)2|Ar-Br -> Ar-Ar | bond_formed: C(ar)-C(ar) | bond_formed_labeled: C(ar)-C(ar)[Ar-Ar] | bond_broken: Br-C(ar); B-C(ar) | spectators: Ar-CF3 | events: LGDisp+C-C | mech: oa_based_coupling,Ar-B(OH)2;Ar-Br,Ar-Ar,Ar-CF3,Ar-B(OH)2;Ar-Br;Ar-CF3,Ar-Ar,1.0,high,,slot_based_confirmed,Pattern consistent with slot-based detection,,substitution,c_c_bond_formation;leaving_group_displacement;intermolecular_or_multi_component,,oa_based_coupling,net_reduction,"{""agents"": {""agent_count"": 0, ""entries"": [], ""family_counts"": {}, ""flags"": {""acid"": false, ""additive"": false, ""base"": false, ""condensation_agent"": false, ""enzyme"": false, ""ligand"": false, ""metal_catalyst"": false, ""organo_catalyst"": false, ""other_reagent"": false, ""oxidant"": false, ""reductant"": false, ""solvent"": false}, ""role_counts"": {}, ""role_flags"": {}}, ""reactants"": {""has_multi_functional_substrates"": true, ""num_reactants"": 2, ""reactants"": [{""alternative_functional_groups"": [{""category"": ""Ar-Alkyl"", ""member_type"": ""Ar-Alkyl"", ""name"": """"}, {""category"": ""Ar-CF3"", ""member_type"": ""Ar-CF3"", ""name"": """"}, {""category"": ""Alkyl-F"", ""member_type"": ""Alkyl-F"", ""name"": """"}], ""category"": ""Ar-Br"", ""has_alternatives"": true, ""is_expected"": true, ""member_type"": ""Ar-Br"", ""name"": """", ""position"": 0, ""role"": ""electrophile""}, {""category"": ""Ar-B*"", ""has_alternatives"": false, ""is_expected"": true, ""member_type"": ""Ar-B*"", ""name"": """", ""position"": 1, ""role"": ""nucleophile""}]}}",
Suzuki,Naphthyl chloride,Clc1ccc2ccccc2c1.c1ccc(B(O)O)cc1>>c1ccc(-c2ccc3ccccc3c2)cc1,Clc1ccc2ccccc2c1.c1ccc(B(O)O)cc1,c1ccc(-c2ccc3ccccc3c2)cc1,,6,True,0.155,Suzuki_miyaura,1.0,|Ar-B(OH)2|Ar-Cl -> Ar-Ar | bond_formed: C(ar)-C(ar) | bond_formed_labeled: C(ar)-C(ar)[Ar-Ar] | bond_broken: C(ar)-Cl; B-C(ar) | events: LGDisp+C-C | mech: oa_based_coupling,Ar-B(OH)2;Ar-Cl,Ar-Ar,,Ar-B(OH)2;Ar-Cl,Ar-Ar,1.0,high,,slot_based_confirmed,Pattern consistent with slot-based detection,,substitution,c_c_bond_formation;leaving_group_displacement;intermolecular_or_multi_component,,oa_based_coupling,net_reduction,"{""agents"": {""agent_count"": 0, ""entries"": [], ""family_counts"": {}, ""flags"": {""acid"": false, ""additive"": false, ""base"": false, ""condensation_agent"": false, ""enzyme"": false, ""ligand"": false, ""metal_catalyst"": false, ""organo_catalyst"": false, ""other_reagent"": false, ""oxidant"": false, ""reductant"": false, ""solvent"": false}, ""role_counts"": {}, ""role_flags"": {}}, ""reactants"": {""has_multi_functional_substrates"": false, ""num_reactants"": 2, ""reactants"": [{""category"": ""Ar-Cl"", ""has_alternatives"": false, ""is_expected"": true, ""member_type"": ""Ar-Cl"", ""name"": """", ""position"": 0, ""role"": ""electrophile""}, {""category"": ""Ar-B*"", ""has_alternatives"": false, ""is_expected"": true, ""member_type"": ""Ar-B*"", ""name"": """", ""position"": 1, ""role"": ""nucleophile""}]}}",
Suzuki,Sterically hindered,Brc1cc(C)ccc1C.c1ccc(B(O)O)cc1>>Cc1ccc(C)c(-c2ccccc2)c1,Brc1cc(C)ccc1C.c1ccc(B(O)O)cc1,Cc1ccc(C)c(-c2ccccc2)c1,,7,True,0.12,Suzuki_miyaura,1.0,|Ar-B(OH)2|Ar-Br -> Ar-Ar | bond_formed: C(ar)-C(ar) | bond_formed_labeled: C(ar)-C(ar)[Ar-Ar] | bond_broken: Br-C(ar); B-C(ar) | spectators: Ar-Alkyl | events: LGDisp+C-C | mech: oa_based_coupling,Ar-B(OH)2;Ar-Br,Ar-Ar,Ar-Alkyl,Ar-Alkyl;Ar-B(OH)2;Ar-Br,Ar-Ar,1.0,high,,slot_based_confirmed,Pattern consistent with slot-based detection,,substitution,c_c_bond_formation;leaving_group_displacement;intermolecular_or_multi_component,,oa_based_coupling,net_reduction,"{""agents"": {""agent_count"": 0, ""entries"": [], ""family_counts"": {}, ""flags"": {""acid"": false, ""additive"": false, ""base"": false, ""condensation_agent"": false, ""enzyme"": false, ""ligand"": false, ""metal_catalyst"": false, ""organo_catalyst"": false, ""other_reagent"": false, ""oxidant"": false, ""reductant"": false, ""solvent"": false}, ""role_counts"": {}, ""role_flags"": {}}, ""reactants"": {""has_multi_functional_substrates"": true, ""num_reactants"": 2, ""reactants"": [{""alternative_functional_groups"": [{""category"": ""Ar-Alkyl"", ""member_type"": ""Ar-Alkyl"", ""name"": """"}], ""category"": ""Ar-Br"", ""has_alternatives"": true, ""is_expected"": true, ""member_type"": ""Ar-Br"", ""name"": """", ""position"": 0, ""role"": ""electrophile""}, {""category"": ""Ar-B*"", ""has_alternatives"": false, ""is_expected"": true, ""member_type"": ""Ar-B*"", ""name"": """", ""position"": 1, ""role"": ""nucleophile""}]}}",
Suzuki,Aryl triflate electrophile,Fc1ccc(OS(=O)(=O)C(F)(F)F)cc1.c1ccc(B(O)O)cc1>>Fc1ccc(-c2ccccc2)cc1,Fc1ccc(OS(=O)(=O)C(F)(F)F)cc1.c1ccc(B(O)O)cc1,Fc1ccc(-c2ccccc2)cc1,,8,True,0.124,Suzuki_miyaura,1.0,|Ar-B(OH)2|Ar-OTf -> Ar-Ar | spectators: Ar-F,Ar-B(OH)2;Ar-OTf,Ar-Ar,Ar-F,Ar-B(OH)2;Ar-F;Ar-OTf,Ar-Ar,0.25,low,missing_bond_key;broken_bond_element_without_reactant_motif:F;broken_bond_element_without_reactant_motif:O;broken_bond_element_without_reactant_motif:S;bond_key_consistency_penalty,slot_based_confirmed,Pattern consistent with slot-based detection,,,,bond_key_demoted_due_to_inconsistency,,uncertain,"{""agents"": {""agent_count"": 0, ""entries"": [], ""family_counts"": {}, ""flags"": {""acid"": false, ""additive"": false, ""base"": false, ""condensation_agent"": false, ""enzyme"": false, ""ligand"": false, ""metal_catalyst"": false, ""organo_catalyst"": false, ""other_reagent"": false, ""oxidant"": false, ""reductant"": false, ""solvent"": false}, ""role_counts"": {}, ""role_flags"": {}}, ""reactants"": {""has_multi_functional_substrates"": true, ""num_reactants"": 2, ""reactants"": [{""alternative_functional_groups"": [{""category"": ""Ar-OMs"", ""member_type"": ""Ar-OMs"", ""name"": """"}, {""category"": ""Ar-F"", ""member_type"": ""Ar-F"", ""name"": """"}, {""category"": ""Ar-OSO2R"", ""member_type"": ""Ar-OSO2R"", ""name"": """"}, {""category"": ""Ar-O*"", ""member_type"": ""Ar-O*"", ""name"": """"}, {""category"": ""Alkyl-F"", ""member_type"": ""Alkyl-F"", ""name"": """"}, {""category"": ""Alkyl-S*"", ""member_type"": ""Alkyl-S*"", ""name"": """"}], ""category"": ""Ar-OTf"", ""has_alternatives"": true, ""is_expected"": true, ""member_type"": ""Ar-OTf"", ""name"": """", ""position"": 0, ""role"": ""electrophile""}, {""category"": ""Ar-B*"", ""has_alternatives"": false, ""is_expected"": true, ""member_type"": ""Ar-B*"", ""name"": """", ""position"": 1, ""role"": ""nucleophile""}]}}",
Suzuki,Vinyl bromide + vinyl boronic acid,C/C=C/Br.C=CB(O)O>>C/C=C/C=C,C/C=C/Br.C=CB(O)O,C/C=C/C=C,,9,True,0.08,Suzuki_miyaura,1.0,|Alkenyl-B(OH)2|Alkenyl-Br -> Alkenyl-Alkenyl | bond_formed: C-C | bond_formed_labeled: C-C | bond_broken: Br-C; B-C | spectators: Alkyl-Alkenyl | events: LGDisp+C-C | mech: oa_based_coupling,Alkenyl-B(OH)2;Alkenyl-Br,Alkenyl-Alkenyl,Alkyl-Alkenyl,Alkenyl-B(OH)2;Alkenyl-Br;Alkyl-Alkenyl,Alkenyl-Alkenyl,1.0,high,,slot_based_confirmed,Pattern consistent with slot-based detection,,substitution,c_c_bond_formation;leaving_group_displacement;intermolecular_or_multi_component,,oa_based_coupling,net_reduction,"{""agents"": {""agent_count"": 0, ""entries"": [], ""family_counts"": {}, ""flags"": {""acid"": false, ""additive"": false, ""base"": false, ""condensation_agent"": false, ""enzyme"": false, ""ligand"": false, ""metal_catalyst"": false, ""organo_catalyst"": false, ""other_reagent"": false, ""oxidant"": false, ""reductant"": false, ""solvent"": false}, ""role_counts"": {}, ""role_flags"": {}}, ""reactants"": {""has_multi_functional_substrates"": true, ""num_reactants"": 2, ""reactants"": [{""alternative_functional_groups"": [{""category"": ""Alkyl-Alkenyl"", ""member_type"": ""Alkyl-Alkenyl"", ""name"": """"}], ""category"": ""Alkenyl-Br"", ""has_alternatives"": true, ""is_expected"": true, ""member_type"": ""Alkenyl-Br"", ""name"": """", ""position"": 0, ""role"": ""electrophile""}, {""category"": ""Alkenyl-B*"", ""has_alternatives"": false, ""is_expected"": true, ""member_type"": ""Alkenyl-B*"", ""name"": """", ""position"": 1, ""role"": ""nucleophile""}]}}",
Suzuki,Potassium aryltrifluoroborate,Brc1ccc(OC)cc1.[K+].[B-](F)(F)c2ccccc2>>COc1ccc(-c2ccccc2)cc1,Brc1ccc(OC)cc1.[K+].[B-](F)(F)c2ccccc2,COc1ccc(-c2ccccc2)cc1,,10,True,0.119,Suzuki_miyaura,1.0,|Ar-B*|Ar-Br|Inorganic -> Ar-Ar | bond_formed: C(ar)-C(ar) | bond_formed_labeled: C(ar)-C(ar)[Ar-Ar] | bond_broken: Br-C(ar); B-C(ar) | spectators: Ar-OR | events: LGDisp+C-C,Ar-B*;Ar-Br;Inorganic,Ar-Ar,Ar-OR,Ar-B*;Ar-Br;Ar-OR;Inorganic,Ar-Ar,1.0,high,,slot_based_confirmed,Pattern consistent with slot-based detection,,substitution,c_c_bond_formation;leaving_group_displacement;intermolecular_or_multi_component,,,net_reduction,"{""agents"": {""agent_count"": 0, ""entries"": [], ""family_counts"": {}, ""flags"": {""acid"": false, ""additive"": false, ""base"": false, ""condensation_agent"": false, ""enzyme"": false, ""ligand"": false, ""metal_catalyst"": false, ""organo_catalyst"": false, ""other_reagent"": false, ""oxidant"": false, ""reductant"": false, ""solvent"": false}, ""role_counts"": {}, ""role_flags"": {}}, ""reactants"": {""has_multi_functional_substrates"": true, ""num_reactants"": 2, ""reactants"": [{""alternative_functional_groups"": [{""category"": ""Ar-OR"", ""member_type"": ""Ar-OR"", ""name"": """"}, {""category"": ""Ar-O*"", ""member_type"": ""Ar-O*"", ""name"": """"}, {""category"": ""Alkyl-OR"", ""member_type"": ""Alkyl-OR"", ""name"": """"}, {""category"": ""CH3-OR"", ""member_type"": ""CH3-OR"", ""name"": """"}, {""category"": ""Alkyl-O*"", ""member_type"": ""Alkyl-O*"", ""name"": """"}], ""category"": ""Ar-Br"", ""has_alternatives"": true, ""is_expected"": true, ""member_type"": ""Ar-Br"", ""name"": """", ""position"": 0, ""role"": ""electrophile""}, {""category"": ""Ar-B*"", ""has_alternatives"": false, ""is_expected"": true, ""member_type"": ""Ar-B*"", ""name"": """", ""position"": 2, ""role"": ""nucleophile""}]}}",
