cluster_rank,cluster_count,cluster_id,motif_signature,event_signature,recommended_action,source_file,source_path,row_number,reaction_id,source_reaction_label,reaction_type,quality_level,quality_score,reasons,unclassified_motifs,outside_taxonomy_motifs,reaction_key,reaction_smiles
1,8,Ar-Alkyl -> Ar-Br|Bn-Br || events:intramolecular_likely,Ar-Alkyl -> Ar-Br|Bn-Br,intramolecular_likely,tighten_or_expand_slot_constraints,reaction_dataset_10x100_sample.csv,C:\Git-softwares\Condition-agent\results\reaction_dataset_10x100_sample.csv,555,31-084-CAS-8250238,"Allylic, Benzylic and Vinylic Halogenations",Unknown,high,1.0,unknown_reaction_type,,,|Ar-Alkyl -> Ar-Br|Bn-Br | bond_formed: Br-C(ar); Br-C; Br-C | bond_formed_labeled: Br-C(ar); Br-C; Br-C | spectators: Ar-OR,COc1cccc(C)c1C>>COc1ccc(Br)c(CBr)c1CBr
1,8,Ar-Alkyl -> Ar-Br|Bn-Br || events:intramolecular_likely,Ar-Alkyl -> Ar-Br|Bn-Br,intramolecular_likely,tighten_or_expand_slot_constraints,reaction_dataset_10x100_sample.csv,C:\Git-softwares\Condition-agent\results\reaction_dataset_10x100_sample.csv,552,31-084-CAS-7347013,"Allylic, Benzylic and Vinylic Halogenations",Unknown,high,1.0,unknown_reaction_type,,,|Ar-Alkyl -> Ar-Br|Bn-Br | bond_formed: Br-C(ar); Br-C; Br-C | bond_formed_labeled: Br-C(ar); Br-C; Br-C | spectators: Ar-OR,CCCCCCCCCCCCCCCCCCOc1ccc(OCCCCCCCCCCCCCCCCCC)c(C)c1C>>CCCCCCCCCCCCCCCCCCOc1cc(Br)c(OCCCCCCCCCCCCCCCCCC)c(CBr)c1CBr
1,8,Ar-Alkyl -> Ar-Br|Bn-Br || events:intramolecular_likely,Ar-Alkyl -> Ar-Br|Bn-Br,intramolecular_likely,tighten_or_expand_slot_constraints,reaction_dataset_10x100_sample.csv,C:\Git-softwares\Condition-agent\results\reaction_dataset_10x100_sample.csv,536,31-084-CAS-1863294,"Allylic, Benzylic and Vinylic Halogenations",Unknown,high,1.0,unknown_reaction_type,,,|Ar-Alkyl -> Ar-Br|Bn-Br | bond_formed: Br-C(ar); Br-C(ar); Br-C; Br-C(ar); Br-C(ar) | bond_formed_labeled: Br-C(ar); Br-C(ar); Br-C; Br-C(ar); Br-C(ar) | spectators: Ar-OH,Cc1ccc(O)cc1>>Oc1c(Br)c(Br)c(CBr)c(Br)c1Br
1,8,Ar-Alkyl -> Ar-Br|Bn-Br || events:intramolecular_likely,Ar-Alkyl -> Ar-Br|Bn-Br,intramolecular_likely,tighten_or_expand_slot_constraints,reaction_dataset_10x100_sample.csv,C:\Git-softwares\Condition-agent\results\reaction_dataset_10x100_sample.csv,541,31-084-CAS-2316643,"Allylic, Benzylic and Vinylic Halogenations",Unknown,high,1.0,unknown_reaction_type,,,|Ar-Alkyl -> Ar-Br|Bn-Br | bond_formed: Br-C(ar); Br-C | bond_formed_labeled: Br-C(ar); Br-C | spectators: Ar-Ar|Ar-CO2R,COC(=O)c1c(C)cc2cccccc1-2>>COC(=O)c1c2cccccc-2c(Br)c1CBr
1,8,Ar-Alkyl -> Ar-Br|Bn-Br || events:intramolecular_likely,Ar-Alkyl -> Ar-Br|Bn-Br,intramolecular_likely,tighten_or_expand_slot_constraints,reaction_dataset_10x100_sample.csv,C:\Git-softwares\Condition-agent\results\reaction_dataset_10x100_sample.csv,547,31-084-CAS-5943230,"Allylic, Benzylic and Vinylic Halogenations",Unknown,high,1.0,unknown_reaction_type,,,|Ar-Alkyl -> Ar-Br|Bn-Br | bond_formed: Br-C(ar); Br-C | bond_formed_labeled: Br-C(ar); Br-C | spectators: Ar-NHCOR|Ar-OH,Cc1cc(NC(=O)c2ccccc2)cc(C)c1O>>Cc1cc(NC(=O)c2ccccc2)c(Br)c(CBr)c1O
2,7,none -> R2CH-Br || events:intramolecular_likely,none -> R2CH-Br,intramolecular_likely,consider_new_reaction_family_or_multistep_bucket,reaction_dataset_10x100_sample.csv,C:\Git-softwares\Condition-agent\results\reaction_dataset_10x100_sample.csv,561,31-119-CAS-10061212,"Allylic, Benzylic and Vinylic Halogenations",Unknown,high,1.0,unknown_reaction_type,,,|[] -> R2CH-Br | bond_formed: Br-C; Br-C | bond_formed_labeled: Br-C; Br-C | spectators: Alkenyl-COR|R3C-CO2R|R_acidic-H,COC(=O)C12CC(C)(C)CC(C)(CC3=C1C(=O)CC(C)(C)C3)C2>>COC(=O)[C@]12CC(C)(C)C[C@](C)(C1)[C@H](Br)C1=C2C(=O)[C@H](Br)C(C)(C)C1
2,7,none -> R2CH-Br || events:intramolecular_likely,none -> R2CH-Br,intramolecular_likely,consider_new_reaction_family_or_multistep_bucket,reaction_dataset_10x100_sample.csv,C:\Git-softwares\Condition-agent\results\reaction_dataset_10x100_sample.csv,610,31-119-CAS-2301499,"Allylic, Benzylic and Vinylic Halogenations",Unknown,high,1.0,unknown_reaction_type,,,|[] -> R2CH-Br | bond_formed: Br-C | bond_formed_labeled: Br-C | spectators: Alkenyl-Cl|Ar-Alkyl|Ar-COR|R_acidic-H,Cc1ccc(C(=O)CC(Cl)=C(Cl)Cl)cc1>>Cc1ccc(C(=O)C(Br)C(Cl)=C(Cl)Cl)cc1
2,7,none -> R2CH-Br || events:intramolecular_likely,none -> R2CH-Br,intramolecular_likely,consider_new_reaction_family_or_multistep_bucket,reaction_dataset_10x100_sample.csv,C:\Git-softwares\Condition-agent\results\reaction_dataset_10x100_sample.csv,573,31-119-CAS-12644083,"Allylic, Benzylic and Vinylic Halogenations",Unknown,high,1.0,unknown_reaction_type,,,|[] -> R2CH-Br | bond_formed: Br-C; Br-C | bond_formed_labeled: Br-C; Br-C | spectators: Alkenyl-Br|Alkenyl-COR|Alkenyl-NR2|R2CH-NR2|R_acidic-H,O=C1C=C2CCC3C=C(Br)C1N23>>O=C1C(Br)=C2[C@H](Br)C[C@H]3C=C(Br)[C@@H]1N23
2,7,none -> R2CH-Br || events:intramolecular_likely,none -> R2CH-Br,intramolecular_likely,consider_new_reaction_family_or_multistep_bucket,reaction_dataset_10x100_sample.csv,C:\Git-softwares\Condition-agent\results\reaction_dataset_10x100_sample.csv,577,31-119-CAS-128654,"Allylic, Benzylic and Vinylic Halogenations",Unknown,high,1.0,unknown_reaction_type,,,|[] -> R2CH-Br | bond_formed: Br-C | bond_formed_labeled: Br-C | spectators: Alkenyl-Cl|Ar-COR|R_acidic-H,O=C(CC(Cl)=C(Cl)Cl)c1ccccc1>>O=C(c1ccccc1)C(Br)C(Cl)=C(Cl)Cl
2,7,none -> R2CH-Br || events:intramolecular_likely,none -> R2CH-Br,intramolecular_likely,consider_new_reaction_family_or_multistep_bucket,reaction_dataset_10x100_sample.csv,C:\Git-softwares\Condition-agent\results\reaction_dataset_10x100_sample.csv,609,31-119-CAS-2226320,"Allylic, Benzylic and Vinylic Halogenations",Unknown,high,1.0,unknown_reaction_type,,,|[] -> R2CH-Br | bond_formed: Br-C; Br-C | bond_formed_labeled: Br-C; Br-C | spectators: Alkenyl-COR|R3C-CO2H|R_acidic-H,CC1(C)CC(=O)C2=C(C1)CC1(C)CC(C)(C)CC2(C(=O)O)C1>>CC1(C)C[C@@]2(C(=O)O)C[C@@](C)(C1)[C@H](Br)C1=C2C(=O)[C@H](Br)C(C)(C)C1
