cluster_rank,cluster_count,cluster_id,motif_signature,event_signature,recommended_action,source_file,source_path,row_number,reaction_id,source_reaction_label,reaction_type,quality_level,quality_score,reasons,unclassified_motifs,outside_taxonomy_motifs,reaction_key,reaction_smiles
1,710,none -> none || events:none,none -> none,none,consider_new_reaction_family_or_multistep_bucket,Birch_reduction.csv,C:\Git-softwares\Condition-agent\data-processor\reaction_dataset\Birch_reduction.csv,378,31-243-CAS-1655476,Birch reduction,Unknown,low,0.3,low_reaction_key_quality|missing_formed_motifs|unclassified_motif|unknown_reaction_type,Unclassified-Reactant,,|[] -> [],[H-][B+3]([H-])([H-])P(C1=CC=CC=C1)(C1=CC=CC=C1)N(C)C1CC(C)CCC1C(C)C>>[H-][B+3]([H-])([H-])P(C1=CC=CC=C1)(C1C=CCC=C1)N(C)C1CC(C)CCC1C(C)C.[H-][B+3]([H-])([H-])P(C1=CC=CC=C1)(C1C=CCC=C1)N(C)C1CC(C)CCC1C(C)C
1,710,none -> none || events:none,none -> none,none,consider_new_reaction_family_or_multistep_bucket,Allylic_Benzylic_and_Vinylic_Halogenations.csv,C:\Git-softwares\Condition-agent\data-processor\reaction_dataset\Allylic_Benzylic_and_Vinylic_Halogenations.csv,517,31-203-CAS-16099945,"Allylic, Benzylic and Vinylic Halogenations",Unknown,low,0.3,low_reaction_key_quality|missing_formed_motifs|unclassified_motif|unknown_reaction_type,Unclassified-Reactant,,|[] -> [],CC1=CC(C)=C(C2=C3C=CC=N3[B+3]([F-])([F-])[N-]3C=CC=C23)C(C)=C1>>CC1=CC(C)=C(C2=C3C=C(Br)C(Br)=N3[B+3]([F-])([F-])[N-]3C2=CC(Br)=C3Br)C(C)=C1
1,710,none -> none || events:none,none -> none,none,consider_new_reaction_family_or_multistep_bucket,Catalytic_hydrogenation.csv,C:\Git-softwares\Condition-agent\data-processor\reaction_dataset\Catalytic_hydrogenation.csv,260,31-242-CAS-22879274,Catalytic hydrogenation,Unknown,low,0.3,low_reaction_key_quality|missing_formed_motifs|unknown_reaction_type,,,|[] -> [] | spectators: Ar-CO2R,CCC=CCCOC(=O)c1ccccc1>>CCCCCCOC(=O)c1ccccc1
1,710,none -> none || events:none,none -> none,none,consider_new_reaction_family_or_multistep_bucket,C_N_Coupling.csv,C:\Git-softwares\Condition-agent\data-processor\reaction_dataset\C_N_Coupling.csv,87,31-041-CAS-21971488,original_dataset,Unknown,unknown,0.0,empty_reaction_key|low_reaction_key_quality|missing_formed_motifs|unclassified_motif|unknown_reaction_type,Unclassified-Reactant,,,CNC=O.I[c-]12->[Fe+2]3456789(<-[cH]%10[cH]->3[cH]->4[cH-]->5[cH]->6%10)<-[cH]([cH]->7[cH]->81)[cH]->92>>CN(C=O)[c-]12->[Fe+2]3456789(<-[cH]%10[cH]->3[cH]->4[cH-]->5[cH]->6%10)<-[cH]([cH]->7[cH]->81)[cH]->92
1,710,none -> none || events:none,none -> none,none,consider_new_reaction_family_or_multistep_bucket,Brown_Hydroboration.csv,C:\Git-softwares\Condition-agent\data-processor\reaction_dataset\Brown_Hydroboration.csv,105,31-246-CAS-10880386,Brown Hydroboration,Unknown,low,0.3,low_reaction_key_quality|missing_formed_motifs|unclassified_motif|unknown_reaction_type,Unclassified-Reactant,,|[] -> [],C1CCOC1.CC1=CC[C@@H]2C[C@H]1C2(C)C.[H-][B+3]([H-])([H-])[CH3-].[Li+]>>CC1C2CC(C[CH-]1[B+3]([CH3-])([Cl-])O1CCCC1)C2(C)C
2,707,Alkyl-H -> Ar-Bpin || events:intermolecular_or_multi_component,Alkyl-H -> Ar-Bpin,intermolecular_or_multi_component,consider_new_reaction_family_or_multistep_bucket,Ircatalyzed_CH_borylation.csv,C:\Git-softwares\Condition-agent\data-processor\reaction_dataset\Ircatalyzed_CH_borylation.csv,70,31-142-CAS-16034923,Ir‑catalyzed C–H borylation,Unknown,high,0.85,mapping_warning|motif_outside_reaction_taxonomy|unknown_reaction_type,,Alkyl-H,|Alkyl-H -> Ar-Bpin | spectators: Ar-CHO|Ar-OR,COc1cccc(C=O)c1.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C>>COc1cc(C=O)cc(B2OC(C)(C)C(C)(C)O2)c1
2,707,Alkyl-H -> Ar-Bpin || events:intermolecular_or_multi_component,Alkyl-H -> Ar-Bpin,intermolecular_or_multi_component,consider_new_reaction_family_or_multistep_bucket,Ircatalyzed_CH_borylation.csv,C:\Git-softwares\Condition-agent\data-processor\reaction_dataset\Ircatalyzed_CH_borylation.csv,742,31-614-CAS-40331053,Ir‑catalyzed C–H borylation,Unknown,high,0.85,mapping_warning|motif_outside_reaction_taxonomy|unknown_reaction_type,,Alkyl-H,|Alkyl-H -> Ar-Bpin | spectators: Ar-Ar|Ar-Cl|Ar-F,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.Fc1cccc(-c2ccccc2-c2c(Cl)cccc2Cl)c1>>CC1(C)OB(c2ccc(Cl)c(-c3ccccc3-c3cccc(F)c3)c2Cl)OC1(C)C
2,707,Alkyl-H -> Ar-Bpin || events:intermolecular_or_multi_component,Alkyl-H -> Ar-Bpin,intermolecular_or_multi_component,consider_new_reaction_family_or_multistep_bucket,Ircatalyzed_CH_borylation.csv,C:\Git-softwares\Condition-agent\data-processor\reaction_dataset\Ircatalyzed_CH_borylation.csv,787,31-614-CAS-42482202,Ir‑catalyzed C–H borylation,Unknown,high,0.85,mapping_warning|motif_outside_reaction_taxonomy|unknown_reaction_type,,Alkyl-H,|Alkyl-H -> Ar-Bpin | spectators: Alkyl-NRCOR|Ar-CONR2,CC(C)N(C)C(=O)c1ccccc1.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C>>CC(C)N(C)C(=O)c1ccccc1B1OC(C)(C)C(C)(C)O1
2,707,Alkyl-H -> Ar-Bpin || events:intermolecular_or_multi_component,Alkyl-H -> Ar-Bpin,intermolecular_or_multi_component,consider_new_reaction_family_or_multistep_bucket,Ircatalyzed_CH_borylation.csv,C:\Git-softwares\Condition-agent\data-processor\reaction_dataset\Ircatalyzed_CH_borylation.csv,380,31-142-CAS-23370593,Ir‑catalyzed C–H borylation,Unknown,high,0.85,mapping_warning|motif_outside_reaction_taxonomy|unknown_reaction_type,,Alkyl-H,|Alkyl-H -> Ar-Bpin | spectators: Alkyl-NRCOR|Ar-CONR2,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.CCCCCCCCN(C)C(=O)c1ccccc1>>CCCCCCCCN(C)C(=O)c1ccccc1B1OC(C)(C)C(C)(C)O1
2,707,Alkyl-H -> Ar-Bpin || events:intermolecular_or_multi_component,Alkyl-H -> Ar-Bpin,intermolecular_or_multi_component,consider_new_reaction_family_or_multistep_bucket,Ircatalyzed_CH_borylation.csv,C:\Git-softwares\Condition-agent\data-processor\reaction_dataset\Ircatalyzed_CH_borylation.csv,126,31-142-CAS-17236178,Ir‑catalyzed C–H borylation,Unknown,high,0.85,mapping_warning|motif_outside_reaction_taxonomy|unknown_reaction_type,,Alkyl-H,|Alkyl-H -> Ar-Bpin | spectators: Ar-Alkyl|Ar-CO2R|Ar-F,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.CCOC(=O)c1cc(F)ccc1C>>CCOC(=O)c1cc(F)c(B2OC(C)(C)C(C)(C)O2)cc1C
