reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-310-CAS-11608519,Addition of Hydrazine Derivatives to Carbonyl Compounds,82,,,CC(=O)C(C)=NO.CC(C)OP(=O)(NN)c1ccccc1>>CC(=NO)C(C)=NNP(=O)(OC(C)C)c1ccccc1,"Molecules (2007), 12(8), 1632-1640","57-71-6, 1028100-51-7",1028100-52-8,7631-86-9,,71-43-2,,,,,,,1,1,82,,,,,,,anhydrous activated silica gel used
31-310-CAS-13739738,Addition of Hydrazine Derivatives to Carbonyl Compounds,78,,,CC(=NO)C(=O)c1ccccc1.CC(C)OP(=O)(NN)c1ccccc1>>CC(=NO)C(=NNP(=O)(OC(C)C)c1ccccc1)c1ccccc1,"Molecules (2007), 12(8), 1632-1640","57-71-6, 1028100-69-7",1028100-57-3,7631-86-9,,71-43-2,,,,,,,1,1,78,,,,,,,anhydrous activated silica gel used
31-310-CAS-14022464,Addition of Hydrazine Derivatives to Carbonyl Compounds,94,,,CC(=NO)C(=O)c1ccccc1.CCCCCOP(=O)(NN)c1ccccc1>>CCCCCOP(=O)(NN=C(C(C)=NO)c1ccccc1)c1ccccc1,"Molecules (2007), 12(8), 1632-1640","119-51-7, 1028100-68-6",1028100-56-2,7631-86-9,,71-43-2,,,,,,,1,1,94,,,,,,,anhydrous activated silica gel used
31-310-CAS-17952844,Addition of Hydrazine Derivatives to Carbonyl Compounds,98,,,CN(C)N.C#CCOCC#CCCCC=O>>C#CCOCC#CCCC/C=N/N(C)C,"Journal of Organic Chemistry (2017), 82(24), 12975-12991","119-51-7, 1028100-73-3",1028100-66-4,,,67-56-1,,,,,,,1,1,98,,,,,,,stereoselective
31-310-CAS-17952845,Addition of Hydrazine Derivatives to Carbonyl Compounds,62,,,CN(C)N.COC(=O)C#CCOCC#CCCCC=O>>COC(=O)C#CCOCC#CCCC/C=N/N(C)C,"Journal of Organic Chemistry (2017), 82(24), 12975-12991",29024-92-8,121733-36-6,,,109-99-9,,,,,,,1,1,62,,,,,,,stereoselective
31-310-CAS-17952846,Addition of Hydrazine Derivatives to Carbonyl Compounds,85,,,CN(C)N.CC(C)[Si](C#CC#CCOCC#CCCCC=O)(C(C)C)C(C)C>>CC(C)[Si](C#CC#CCOCC#CCCC/C=N/N(C)C)(C(C)C)C(C)C,"Journal of Organic Chemistry (2017), 82(24), 12975-12991","431-35-6, 1576-35-8",3070126-94-9,,,67-56-1,,,,,,,1,1,85,,,,,,,stereoselective
31-310-CAS-2495362,Addition of Hydrazine Derivatives to Carbonyl Compounds,85,,,CC(=NO)C(=O)c1ccccc1.CC(C)COP(=O)(NN)c1ccccc1>>CC(=NO)C(=NNP(=O)(OCC(C)C)c1ccccc1)c1ccccc1,"Molecules (2007), 12(8), 1632-1640","57-71-6, 1028100-71-1",1028100-61-9,7631-86-9,,71-43-2,,,,,,,1,1,85,,,,,,,anhydrous activated silica gel used
31-310-CAS-2829820,Addition of Hydrazine Derivatives to Carbonyl Compounds,85,,,CC(=O)C(C)=NO.CCCN(CCC)P(=O)(NN)c1ccccc1>>CCCN(CCC)P(=O)(NN=C(C)C(C)=NO)c1ccccc1,"Molecules (2007), 12(8), 1632-1640","119-51-7, 1028100-74-4",1028100-64-2,7631-86-9,,71-43-2,,,,,,,1,1,85,,,,,,,anhydrous activated silica gel used
31-310-CAS-3082946,Addition of Hydrazine Derivatives to Carbonyl Compounds,76,,,CC(=O)C(C)=NO.CC(C)CN(CC(C)C)P(=O)(NN)c1ccccc1>>CC(=NO)C(C)=NNP(=O)(c1ccccc1)N(CC(C)C)CC(C)C,"Molecules (2007), 12(8), 1632-1640","119-51-7, 1028100-70-0",1028100-60-8,7631-86-9,,71-43-2,,,,,,,1,1,76,,,,,,,anhydrous activated silica gel used
31-310-CAS-326928,Addition of Hydrazine Derivatives to Carbonyl Compounds,73,,,CC(=O)C(C)=NO.CCCCOP(=O)(NN)c1ccccc1>>CCCCOP(=O)(NN=C(C)C(C)=NO)c1ccccc1,"Molecules (2007), 12(8), 1632-1640","119-51-7, 1028100-69-7",1028100-58-4,7631-86-9,,71-43-2,,,,,,,1,1,73,,,,,,,anhydrous activated silica gel used
