reaction_smiles,detected_reaction_type,reaction_key
C=C(/C=C(/OC)O[Si](C)(C)C)O[Si](C)(C)C.Cc1cc(C)cc(C=NC(=O)OC(C)(C)C)c1>>COC(=O)CC(=O)C[C@@H](NC(=O)OC(C)(C)C)c1cc(C)cc(C)c1,Wacker_oxidation,|Alkenyl-Alkenyl|Alkenyl-OR|Alkyl-Si*|Ar-C=N -> RCH2-COR | spectators: Ar-Alkyl
COC(CCC(=O)CC(C)C)(OC)c1ccccc1.CCOC(O[Si](C)(C)C(C)(C)C)=C(OC)OC>>CCOC(=O)CC(CCC(=O)CC(C)C)(OC)c1ccccc1,Event:C-C,|Alkenyl-OR|Alkyl-Si* -> RCH2-CO2R | spectators: Ar-Alkyl|R3C-OR|RCH2-COR|R_acidic-H
CC(C)[C@H](O[Si](C)(C)C(C)(C)C)[C@@H](C)C=O.C=C(C=C(C)O[Si](C)(C)C)O[Si](C)(C)C>>CC(=O)CC(=O)C[C@H](O)[C@@H](C)[C@H](O[Si](C)(C)C(C)(C)C)C(C)C,Wacker_oxidation,|Alkenyl-Alkenyl|Alkyl-Si*|R2CH-CHO -> RCH2-COR | spectators: R_acidic-H
C=C/C=C(\C)CCC=O.C=C(/C=C(/OC)O[Si](C)(C)C)O[Si](C)(C)C>>C=C/C=C(\C)CC[C@@H](O)CC(=O)CC(=O)OC,Wacker_oxidation,|Alkenyl-Alkenyl|Alkenyl-OR|Alkyl-Si*|RCH2-CHO -> RCH2-COR | bond_formed: C-C | bond_formed_labeled: C-C | bond_broken: O-Si | spectators: R_acidic-H
COCN([Si](C)(C)C)[Si](C)(C)C.C[Si](C)(C)OC(=CCCCBr)O[Si](C)(C)C>>O=C(O)[C@H]1CCCNC1,Multi-Event:Ann+LGDisp+C-N+C-C,|Alkyl-Si*|RCH2-Br|RCH2-NR2|RCH2-OR -> R2CH-CO2H|RCH2-NHR|R_acidic-H | events: Ann+LGDisp+C-N+C-C
C[Si](C)(C)OC(=CCc1ccccc1)O[Si](C)(C)C.COCN([Si](C)(C)C)[Si](C)(C)C>>NC[C@H](Cc1ccccc1)C(=O)O,Event:C-C,|Alkyl-Si*|RCH2-NR2|RCH2-OR -> R2CH-CO2H|RCH2-NH2|R_acidic-H | spectators: Ar-Alkyl
COCN([Si](C)(C)C)[Si](C)(C)C.C[Si](C)(C)OC(=CCCc1ccccc1)O[Si](C)(C)C>>NC[C@H](CCc1ccccc1)C(=O)O,Event:C-C,|Alkyl-Si*|RCH2-NR2|RCH2-OR -> R2CH-CO2H|RCH2-NH2|R_acidic-H | bond_formed: C-C | bond_formed_labeled: C-C | bond_broken: N-Si; C-O; O-Si | spectators: Ar-Alkyl
C[Si](C)(C)OC(=CCc1ccccc1)O[Si](C)(C)C.COCN([Si](C)(C)C)[Si](C)(C)C.O=C(Cl)OCC1c2ccccc2-c2ccccc21>>O=C(NC[C@H](Cc1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21,Multi-Event:LGDisp+C-N+C-C,|Acyl-Cl|Alkyl-Si*|RCH2-NR2|RCH2-OR -> R2CH-CO2H|R_acidic-H | spectators: Ar-Alkyl|Ar-Ar | events: LGDisp+C-N+C-C
COCN([Si](C)(C)C)[Si](C)(C)C.CC[C@@H](C)CC=C(O[Si](C)(C)C)O[Si](C)(C)C>>CC[C@@H](C)C[C@@H](CN)C(=O)O,Event:C-C,|Alkyl-Si*|RCH2-NR2|RCH2-OR -> R2CH-CO2H|RCH2-NH2|R_acidic-H
COCN([Si](C)(C)C)[Si](C)(C)C.COCCCC=C(O[Si](C)(C)C)O[Si](C)(C)C>>COCCC[C@@H](CN)C(=O)O,Event:C-C,|Alkyl-Si*|RCH2-NR2|RCH2-OR -> R2CH-CO2H|RCH2-NH2|R_acidic-H
COCN([Si](C)(C)C)[Si](C)(C)C.C[Si](C)(C)OC(=CCCCc1ccccc1)O[Si](C)(C)C>>NC[C@H](CCCc1ccccc1)C(=O)O,Event:C-C,|Alkyl-Si*|RCH2-NR2|RCH2-OR -> R2CH-CO2H|RCH2-NH2|R_acidic-H | bond_formed: C-C | bond_formed_labeled: C-C | bond_broken: N-Si; C-O; O-Si | spectators: Ar-Alkyl
CC=C(O[Si](C)(C)C)O[Si](C)(C)C.COCN([Si](C)(C)C)[Si](C)(C)C>>C[C@@H](CN)C(=O)O,Event:C-C,|Alkyl-Si*|RCH2-NR2|RCH2-OR -> R2CH-CO2H|RCH2-NH2|R_acidic-H
O=Cc1ccccc1Cl.C/C=C(\O[Si](C)(C)C)c1ccccc1>>C[C@@H](C(=O)c1ccccc1)[C@@H](O)c1ccccc1Cl,Reduction_carbonyl,|Alkyl-Si*|Ar-Alkenyl|Ar-CHO -> Ar-Alkyl|R2CH-OH | bond_formed: C-C | bond_formed_labeled: C-C | bond_broken: O-Si | spectators: Ar-Cl
O=Cc1ccc(Cl)cc1.C/C=C(\O[Si](C)(C)C)c1ccccc1>>C[C@H](C(=O)c1ccccc1)[C@@H](O)c1ccccc1.C[C@@H](C(=O)c1ccccc1)[C@@H](O)c1ccccc1,Reduction_carbonyl,|Alkyl-Si*|Ar-Alkenyl|Ar-CHO|Ar-Cl -> Ar-Alkyl|R2CH-OH | events: Ann+LGDisp+C-O+C-C
C=C(O[Si](C)(C)C)c1ccccc1.O=C/C=C/c1ccccc1>>O=CCC(CC(=O)c1ccccc1)c1ccccc1.O=C(CC(O)/C=C/c1ccccc1)c1ccccc1,Wacker_oxidation,|Alkenyl-CHO|Alkyl-Si*|Ar-Alkenyl -> Ar-COR|RCH2-CHO | events: Ann+C-O+C-C
CCCCC/C=N/NC(=O)c1ccccc1.C=C(O[Si](C)(C)C)/C(C)=C/OC>>CCCCCC1CC(=O)C(C)=CN1NC(=O)c1ccccc1,Wacker_oxidation,|Alkenyl-Alkenyl|Alkenyl-OR|Alkyl-Si*|Ar-CONHR -> Alkenyl-COR | bond_formed: C-C; C-N | bond_formed_labeled: C-C; C-N | bond_broken: O-Si; C-O | events: Ann+C-N+C-C
Cc1ccc(C=Nc2ccccc2)cc1.C=C(/C=C/OC)O[Si](C)(C)C>>Cc1ccc(C2CC(=O)C=CN2c2ccccc2)cc1,Wacker_oxidation,|Alkenyl-Alkenyl|Alkenyl-OR|Alkyl-Si*|Ar-C=N -> Alkenyl-COR | spectators: Ar-Alkyl | events: Ann+C-N+C-C
CCCCCCC/C=N/NC(=O)c1ccccc1.C=C(/C=C/OC)O[Si](C)(C)C>>CCCCCCCC1CC(=O)C=CN1NC(=O)c1ccccc1,Wacker_oxidation,|Alkenyl-Alkenyl|Alkenyl-OR|Alkyl-Si*|Ar-CONHR -> Alkenyl-COR | events: Ann+C-N+C-C
C/C=N/NC(=O)c1ccccc1.C=C(O[Si](C)(C)C)/C(C)=C/OC>>CC1=CN(NC(=O)c2ccccc2)C(C)CC1=O,Wacker_oxidation,|Alkenyl-Alkenyl|Alkenyl-OR|Alkyl-Si*|Ar-CONHR -> Alkenyl-COR | bond_formed: C-N; C-C | bond_formed_labeled: C-N; C-C | bond_broken: C-O; O-Si | events: Ann+C-N+C-C
O=Cc1ccc(Br)cc1.C=C(/C=C/N(C)C)O[Si](C)(C)C(C)(C)C>>CN(C)/C=C/C(=O)CC(O)c1ccc(Br)cc1,Reduction_carbonyl,|Alkenyl-Alkenyl|Alkyl-Si*|Ar-CHO -> Ar-Alkyl|R2CH-OH | spectators: Alkenyl-NR2|Ar-Br|CH3-NR2
O=C1CCCCC1Cc1ccccc1.C=C(OCC)O[Si](C)(C)C(C)(C)C>>CCOC(=O)C[C@@]1(O[Si](C)(C)C(C)(C)C)CCCC[C@@H]1Cc1ccccc1,Event:C-C,|Alkenyl-OR|RCH2-COR|R_acidic-H -> RCH2-CO2R | spectators: Alkyl-Si*|Ar-Alkyl
CC(=O)c1ccccc1.C=C(O[Si](C)(C)C)c1ccccc1>>CC(O)(CC(=O)c1ccccc1)c1ccccc1,Event:C-C,|Alkyl-Si*|Ar-Alkenyl -> Ar-Alkyl|R3C-OH | bond_formed: C-C | bond_formed_labeled: C-C | bond_broken: O-Si | spectators: Ar-COR|R_acidic-H
O=Cc1ccccc1.C[Si](C)(C)OC1=CCCCC1>>O=C1CCCCC1C(O)c1ccccc1,Reduction_carbonyl,|Alkyl-Si*|Ar-CHO -> Ar-Alkyl|R2CH-OH
COC(=O)C(C)=O.C=C(O[Si](C)(C)C)c1ccc(OC)cc1>>COC(=O)[C@](C)(O)CC(=O)c1ccc(OC)cc1,Wacker_oxidation,|Alkyl-COR|Alkyl-Si*|Ar-Alkenyl -> Ar-COR | bond_formed: C-C | bond_formed_labeled: C-C | bond_broken: O-Si | spectators: Ar-OR|R_acidic-H
COC(OC)c1ccccc1.C=C(OCC)O[Si](C)(C)C>>CCOC(=O)CC(OC)c1ccccc1,Event:C-C,|Alkenyl-OR|Alkyl-Si* -> RCH2-CO2R|R_acidic-H | spectators: Ar-Alkyl|R2CH-OR
O=Cc1ccc(Br)cc1.C/C=C(\O[Si](C)(C)C)c1ccc(-c2ccccc2)cc1>>C[C@@H](C(=O)c1ccc(-c2ccccc2)cc1)[C@@H](O)c1ccc(Br)cc1,Reduction_carbonyl,|Alkyl-Si*|Ar-Alkenyl|Ar-CHO -> Ar-Alkyl|R2CH-OH | spectators: Ar-Ar|Ar-Br
O=Cc1ccc(Cl)cc1.C[Si](C)(C)Oc1ccco1>>O=C1C=C[C@@H]([C@H](O)c2ccc(Cl)cc2)O1,Reduction_carbonyl,|Alkyl-Si*|Ar-CHO -> Ar-Alkyl|R2CH-OH | bond_formed: C-C(ar) | bond_formed_labeled: C-C(ar)[Ar-Alkyl] | bond_broken: O-Si | spectators: Ar-Cl
CC(=O)c1ccccc1.CCOC(O[Si](C)(C)C)=C(C)C>>CCOC(=O)C(C)(C)C(C)(O)c1ccccc1,Reduction_carbonyl,|Alkenyl-OR|Alkyl-Si*|Ar-COR|R_acidic-H -> Ar-Alkyl|R3C-OH
O=Cc1ccccc1.COC(O[Si](C)(C)C)=C(C)C>>COC(=O)C(C)(C)[C@@H](O)c1ccccc1,Reduction_carbonyl,|Alkenyl-OR|Alkyl-Si*|Ar-CHO -> Ar-Alkyl|R2CH-OH
O=CC(=O)c1ccc(Br)cc1.C=C(O[Si](C)(C)C)c1ccccc1>>O=C(C[C@H](O)C(=O)c1ccc(Br)cc1)c1ccccc1,Wacker_oxidation,|Alkyl-Si*|Ar-Alkenyl -> Ar-COR | bond_formed: C-C | bond_formed_labeled: C-C | bond_broken: O-Si | spectators: Ar-Br|Ar-COR
CCCC=O.C/C=C(/C=C(\OC)O[Si](C)(C)C)OC>>CCC[C@H](O)[C@@H](C)/C(=C/C(=O)OC)OC,Reduction_carbonyl,|Alkenyl-Alkenyl|Alkyl-Si*|RCH2-CHO -> R2CH-OH | bond_formed: C-C | bond_formed_labeled: C-C | bond_broken: O-Si | spectators: Alkenyl-OR
O=Cc1ccccc1C(F)(F)F.C=C(O[Si](C)(C)C)c1ccccc1>>O=C(CC(O)c1ccccc1C(F)(F)F)c1ccccc1,Reduction_carbonyl,|Alkyl-Si*|Ar-Alkenyl|Ar-CHO -> Ar-Alkyl|R2CH-OH | spectators: Ar-CF3
Cc1ccccc1C=O.C/C=C(\O[Si](C)(C)C)c1ccccc1>>Cc1ccccc1[C@@H](O)[C@H](C)C(=O)c1ccccc1,Wacker_oxidation,|Alkyl-Si*|Ar-Alkenyl|Ar-CHO -> Ar-COR | bond_formed: C-C | bond_formed_labeled: C-C | bond_broken: O-Si | spectators: Ar-Alkyl
O=Cc1ccc(Br)cc1.C[Si](C)(C)OC1=CCCCC1>>C[Si](C)(C)O[C@H](c1ccc(Br)cc1)[C@H]1CCCCC1=O,Reduction_carbonyl,|Ar-CHO -> Ar-Alkyl | spectators: Alkyl-Si*|Ar-Br
O=CC=Cc1ccccc1.C/C=C(/CC)O[Si](C)(C)C>>CCC(=O)[C@H](C)[C@@H](O)C=Cc1ccccc1,Reduction_carbonyl,|Alkenyl-CHO|Alkyl-Si* -> R2CH-OH | bond_formed: C-C | bond_formed_labeled: C-C | bond_broken: O-Si | spectators: Ar-Alkenyl
COc1ccc(C=O)cc1.C=C(O[Si](C)(C)C)c1ccccc1>>COc1ccc(C(O)CC(=O)c2ccccc2)cc1,Reduction_carbonyl,|Alkyl-Si*|Ar-Alkenyl|Ar-CHO -> Ar-Alkyl|R2CH-OH | bond_formed: C-C | bond_formed_labeled: C-C | bond_broken: O-Si | spectators: Ar-OR
O=Cc1ccccc1.C[Si](C)(C)O/C1=C/CCCCCC1>>C[Si](C)(C)O[C@@H](c1ccccc1)[C@H]1CCCCCCC1=O,Reduction_carbonyl,|Ar-CHO -> Ar-Alkyl | spectators: Alkyl-Si*
CCCCC(=O)CCCC.C=C(O[Si](C)(C)C)c1ccccc1>>CCCCC(CCCC)(CC(=O)c1ccccc1)O[Si](C)(C)C,Wacker_oxidation,|Ar-Alkenyl|RCH2-COR|R_acidic-H -> Ar-COR | spectators: Alkyl-Si*
COC(OC)c1ccc(C)cc1.COC(O[Si](C)(C)C)=C(C)C>>COC(=O)C(C)(C)C(OC)c1ccc(C)cc1,Event:C-C,|Alkenyl-OR|Alkyl-Si* -> R3C-CO2R | spectators: Ar-Alkyl|R2CH-OR
CC(C=O)c1ccccc1.C=C(O[Si](C)(C)C)c1ccccc1>>C[C@@H](c1ccccc1)[C@@H](O)CC(=O)c1ccccc1,Wacker_oxidation,|Alkyl-Si*|Ar-Alkenyl|R2CH-CHO -> Ar-COR | bond_formed: C-C | bond_formed_labeled: C-C | bond_broken: O-Si | spectators: Ar-Alkyl|R_acidic-H
O=Cc1ccccc1.COC(O[Si](C)(C)C(C)(C)C)=C(C)C>>COC(=O)C(C)(C)C(O[Si](C)(C)C(C)(C)C)c1ccccc1,Reduction_carbonyl,|Alkenyl-OR|Ar-CHO -> Ar-Alkyl | spectators: Alkyl-Si*
CCCCCC=O.C=CC(C)=C(O[Si](C)(C)C)SC(C)(C)C>>CCCCC[C@@H](O)C/C=C(\C)C(=O)SC(C)(C)C,Reduction_carbonyl,|Alkenyl-Alkenyl|Alkenyl-SR|Alkyl-Si*|RCH2-CHO|R_acidic-H -> R2CH-OH
Cc1ccccc1C=O.C[Si](C)(C)Oc1ccco1>>Cc1ccccc1[C@@H](O)[C@H]1C=CC(=O)O1,Reduction_carbonyl,|Alkyl-Si*|Ar-CHO|HeteroAr-H -> R2CH-OH | spectators: Ar-Alkyl
O=C1CCCCC1.C=C(O[Si](C)(C)C)c1ccccc1>>O=C(CC1(O)CCCCC1)c1ccccc1,Wacker_oxidation,|Alkyl-Si*|Ar-Alkenyl|RCH2-COR|R_acidic-H -> Ar-COR
