reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-012-CAS-16839166,Anhydride coupling,78,,,Cc1ccc(N)cc1.C=CCO.CC(=O)OC(C)=O.OC1CCCCC1>>CC(=O)N1c2ccc(C)cc2CCC1OC1CCCCC1,"Organic Letters (2017), 19(6), 1374-1377","62-53-3, 108-31-6",14668-80-5,"75-98-9, 142-71-2","12354-85-7, 14104-20-2",108-93-0,,,,,,,1,1,78.0,,,,,,,
31-012-CAS-16839167,Anhydride coupling,78,,,Nc1ccc(Br)cc1.C=CCO.CC(=O)OC(C)=O.OC1CCCCC1>>CC(=O)N1c2ccc(Br)cc2CCC1OC1CCCCC1,"Organic Letters (2017), 19(6), 1374-1377","55423-98-8, 1701420-64-5",1701419-93-3,"75-98-9, 142-71-2","12354-85-7, 14104-20-2",108-93-0,,,,,,,1,1,78.0,,,,,,,
31-091-CAS-11106738,Anhydride coupling,97,,,O=c1[nH]c2ccccc2o1.CC(=O)OC(C)=O>>CC(=O)n1c(=O)oc2ccccc21,"Tetrahedron (2009), 65(18), 3704-3710","108-24-7, 1565-17-9",1312536-45-0,174501-65-6,,,,,,,,,1,1,97.0,,,,,,,"electrochemical, ionic liquid used"
31-091-CAS-12897052,Anhydride coupling,81,,,O=c1[nH]c2cc(Cl)ccc2o1.CCC(=O)OC(=O)CC>>CCC(=O)n1c(=O)oc2ccc(Cl)cc21,"Tetrahedron (2009), 65(18), 3704-3710","108-24-7, 1356239-43-4",1448331-91-6,174501-65-6,,,,,,,,,1,1,81.0,,,,,,,"electrochemical, ionic liquid used"
31-091-CAS-15716215,Anhydride coupling,89,,,c1ccc2[nH]ccc2c1.CCC(=O)OC(=O)CC>>CCC(=O)c1c[nH]c2ccccc12.CCC(=O)n1ccc2ccccc21.CCC(=O)c1cc2ccccc2[nH]1,"RSC Advances (2016), 6(43), 37031-37038","123-62-6, 10075-50-0","19620-91-8, 1373439-06-5, 1855896-75-1",,928410-41-7,,,,,,,,1,1,89.0,1.0,2.0,,,,,"chemoselective, green chemistry, green chemistry-catalyst, microwave irradiation, regioselective, Friedel-Crafts acylation, no solvent, catalyst prepared and used, recyclable catalyst, optimization study, optimized on catalyst"
31-091-CAS-15716216,Anhydride coupling,79,,,CCCC(=O)OC(=O)CCC.c1ccc2[nH]ccc2c1>>CCCC(=O)c1c[nH]c2ccccc12.CCCC(=O)n1ccc2ccccc21.CCCC(=O)c1cc2ccccc2[nH]1,"RSC Advances (2016), 6(43), 37031-37038","106-31-0, 10075-50-0","558469-84-4, 1349698-62-9, 1855896-76-2",,928410-41-7,,,,,,,,1,1,79.0,2.0,2.0,,,,,"chemoselective, green chemistry, green chemistry-catalyst, microwave irradiation, regioselective, Friedel-Crafts acylation, no solvent, catalyst prepared and used, recyclable catalyst"
31-091-CAS-18341561,Anhydride coupling,71,,,CC(C)(C)C(=O)OC(=O)C(C)(C)C.Clc1ccc2[nH]ccc2c1>>CC(C)(C)C(=O)c1c[nH]c2ccc(Cl)cc12.CC(C)(C)C(=O)n1ccc2cc(Cl)ccc21.CC(C)(C)C(=O)c1cc2cc(Cl)ccc2[nH]1,"RSC Advances (2017), 7(86), 54399-54406",,,,1646144-20-8,,,,,,,,1,1,71.0,1.0,1.0,,,,,"green chemistry, microwave irradiation, regioselective, no solvent, ionic liquid used as catalyst, other product also detected"
31-091-CAS-19633305,Anhydride coupling,78,,,c1ccc2[nH]ncc2c1.O=C(OC(=O)c1ccccc1)c1ccccc1>>O=C(c1ccccc1)n1ncc2ccccc21,"Organic Letters (2019), 21(2), 457-460","2082-59-9, 316143-56-3",1914918-62-9,"102-54-5, 3109-63-5",,75-05-8,,,,,,,2,1,78.0,,,,,,,"electrochemical, green chemistry, green chemistry-reagent, regioselective"
31-091-CAS-19633308,Anhydride coupling,79,,,c1ccc2[nH]ncc2c1.CCCCC(=O)OC(=O)CCCC>>CCCCC(=O)n1ncc2ccccc21,"Organic Letters (2019), 21(2), 457-460","62-53-3, 539821-20-0",845864-22-4,"102-54-5, 3109-63-5",,75-05-8,,,,,,,2,1,79.0,,,,,,,"electrochemical, green chemistry, green chemistry-reagent, regioselective"
31-091-CAS-19633312,Anhydride coupling,79,,,Ic1ccc2[nH]ncc2c1.O=C(OC(=O)c1ccccc1)c1ccccc1>>O=C(c1ccccc1)n1ncc2cc(I)ccc21,"Organic Letters (2019), 21(2), 457-460","108-31-6, 367-25-9",6954-64-9,"102-54-5, 3109-63-5",,75-05-8,,,,,,,2,1,79.0,,,,,,,"electrochemical, green chemistry, green chemistry-reagent, regioselective"
31-091-CAS-19633316,Anhydride coupling,84,,,COC(=O)c1cc(Br)cc2[nH]ncc12.O=C(OC(=O)c1ccccc1)c1ccccc1>>COC(=O)c1cc(Br)cc2c1cnn2C(=O)c1ccccc1,"Organic Letters (2019), 21(2), 457-460","63-91-2, 2420-87-3",1353894-60-6,"102-54-5, 3109-63-5",,75-05-8,,,,,,,2,1,84.0,,,,,,,"electrochemical, green chemistry, green chemistry-reagent, regioselective"
31-091-CAS-19633320,Anhydride coupling,81,,,c1ccc2[nH]ccc2c1.O=C(OC(=O)c1ccccc1)c1ccccc1>>O=C(c1ccccc1)n1ccc2ccccc21,"Organic Letters (2019), 21(2), 457-460","123-62-6, 3057197-18-6",3058572-60-1,"102-54-5, 3109-63-5",,75-05-8,,,,,,,2,1,81.0,,,,,,,"electrochemical, green chemistry, green chemistry-reagent"
31-091-CAS-1970953,Anhydride coupling,70,,,O=c1[nH]c2ccccc2o1.O=C(CCl)OC(=O)CCl>>O=C(CCl)n1c(=O)oc2ccccc21,"Tetrahedron (2009), 65(18), 3704-3710","108-24-7, 529-17-9",769-04-0,174501-65-6,,,,,,,,,1,1,70.0,,,,,,,"electrochemical, ionic liquid used"
31-172-CAS-2639918,Anhydride coupling,82,,,O=C1OC(=O)c2ccc(Br)c3cccc1c23.CCCCCCN>>CCCCCCNc1ccc2c3c(cccc13)C(=O)N(CCCCCC)C2=O,"Asian Journal of Biochemical and Pharmaceutical Research (2011), 1(1), 25-28","2577-90-4, 222618-95-3",222619-06-9,,,123-91-1,,,,,,,1,1,82.0,,,,,,,"excess amine used, mechanism studied"
31-250-CAS-16447282,Anhydride coupling,92,,,C=C(C)C(=O)OC(=O)C(=C)C.Cc1ccc(C(=O)C=C2NCCCN2)cc1>>Cc1ccc(C(=O)C2=C3NCCCN3C(=O)C(C)C2)cc1,"RSC Advances (2016), 6(105), 103057-103064","1209468-11-0, 2831345-29-8",2831345-23-2,,,123-91-1,,,,,,,1,1,92.0,,,,,,,"regioselective, optimization study, optimized on base, optimized on solvent, optimized on time"
31-250-CAS-16447306,Anhydride coupling,90,,,C=C(C)C(=O)OC(=O)C(=C)C.O=C(C=C1NCCN1)c1ccccc1Cl>>CC1CC(C(=O)c2ccccc2Cl)=C2NCCN2C1=O,"RSC Advances (2016), 6(105), 103057-103064","85-44-9, 5407-57-8",1344106-96-2,,,123-91-1,,,,,,,1,1,90.0,,,,,,,regioselective
31-250-CAS-16447309,Anhydride coupling,91,,,C=C(C)C(=O)OC(=O)C(=C)C.O=[N+]([O-])C=C1NCCN1>>CC1CC([N+](=O)[O-])=C2NCCN2C1=O,"RSC Advances (2016), 6(105), 103057-103064","56-40-6, 108-24-7",162817-92-7,,,123-91-1,,,,,,,1,1,91.0,,,,,,,regioselective
31-250-CAS-16447324,Anhydride coupling,92,,,CC=CC(=O)OC(=O)C=CC.O=C(C=C1NCCN1)c1ccccc1Cl>>CC1CC(=O)N2CCNC2=C1C(=O)c1ccccc1Cl,"RSC Advances (2016), 6(105), 103057-103064","106-31-0, 1907-65-9",1189567-27-8,,,123-91-1,,,,,,,1,1,92.0,,,,,,,regioselective
31-250-CAS-16447328,Anhydride coupling,87,,,C=C(C)C(=O)OC(=O)C(=C)C.N#Cc1ccc(CN2CCNC2=C[N+](=O)[O-])cc1>>CC1CC([N+](=O)[O-])=C2N(Cc3ccc(C#N)cc3)CCN2C1=O,"RSC Advances (2016), 6(105), 103057-103064","93-97-0, 1279701-78-8",1279701-63-1,,,123-91-1,,,,,,,1,1,87.0,,,,,,,regioselective
31-260-CAS-17915897,Anhydride coupling,86,,,Cc1ccc(S(=O)(=O)Nc2ccccc2S)cc1.CC(C)OC(=O)OC(=O)/C=C/c1ccc(C(F)(F)F)cc1>>Cc1ccc(S(=O)(=O)N2C(=O)C[C@H](c3ccc(C(F)(F)F)cc3)Sc3ccccc32)cc1,"Journal of Organic Chemistry (2017), 82(23), 12655-12668","123-62-6, 1448332-23-7",1448332-16-8,,885051-07-0,67-66-3,,,,,,,1,1,86.0,,,,,,,"regioselective, stereoselective, Michael addition (sulfa-), molecular sieves used"
31-260-CAS-17915930,Anhydride coupling,70,,,Cc1ccc(S(=O)(=O)Nc2ccccc2S)cc1.C=C(C(=O)OC(=O)C(C)(C)C)c1ccc(Cl)cc1>>Cc1ccc(S(=O)(=O)N2C(=O)[C@@H](c3ccc(Cl)cc3)CSc3ccccc32)cc1,"Journal of Organic Chemistry (2017), 82(23), 12655-12668","55-81-2, 649757-40-4",845864-84-8,,1203507-02-1,108-88-3,,,,,,,1,1,70.0,,,,,,,"regioselective, stereoselective, Michael addition (sulfa-)"
31-260-CAS-17915939,Anhydride coupling,91,,,Cc1ccc(S(=O)(=O)Nc2cc(Cl)ccc2S)cc1.C=C(C(=O)OC(=O)C(C)(C)C)c1cccc(Cl)c1>>Cc1ccc(S(=O)(=O)N2C(=O)[C@@H](c3cccc(Cl)c3)CSc3ccc(Cl)cc32)cc1,"Journal of Organic Chemistry (2017), 82(23), 12655-12668","2577-90-4, 222618-96-4",222619-08-1,,1203507-02-1,108-88-3,,,,,,,1,1,91.0,,,,,,,"regioselective, stereoselective, Michael addition (sulfa-)"
31-260-CAS-17915959,Anhydride coupling,71,,,COc1ccc(S)c(NS(=O)(=O)c2ccc(C)cc2)c1.CCOC(=O)/C(=C\c1ccccc1)C(=O)OC(=O)C(C)(C)C>>CCOC(=O)[C@H]1C(=O)N(S(=O)(=O)c2ccc(C)cc2)c2cc(OC)ccc2S[C@@H]1c1ccccc1,"Journal of Organic Chemistry (2017), 82(23), 12655-12668","1555-80-2, 3053777-49-1",3059944-75-8,,2162918-90-1,108-88-3,,,,,,,1,1,71.0,,,,,,,"regioselective, stereoselective, Michael addition (sulfa-), molecular sieves used"
31-260-CAS-17915963,Anhydride coupling,82,,,Cc1ccc(S(=O)(=O)Nc2ccccc2S)cc1.CCOC(=O)/C(=C\c1ccc(Br)cc1)C(=O)OC(=O)C(C)(C)C>>CCOC(=O)[C@H]1C(=O)N(S(=O)(=O)c2ccc(C)cc2)c2ccccc2S[C@@H]1c1ccc(Br)cc1,"Journal of Organic Chemistry (2017), 82(23), 12655-12668","59-88-1, 108-24-7",114-83-0,,2162918-90-1,108-88-3,,,,,,,1,1,82.0,,,,,,,"regioselective, stereoselective, Michael addition (sulfa-), molecular sieves used"
31-260-CAS-17916000,Anhydride coupling,75,,,Cc1ccc(S(=O)(=O)Nc2ccccc2S)cc1.CC(C)OC(=O)OC(=O)/C=C\c1ccccc1>>Cc1ccc(S(=O)(=O)N2C(=O)C[C@H](c3ccccc3)Sc3ccccc32)cc1,"Journal of Organic Chemistry (2017), 82(23), 12655-12668","39959-18-7, 3053777-35-5",3059944-55-4,,885051-07-0,67-66-3,,,,,,,1,1,75.0,,,,,,,"regioselective, stereoselective, alternative preparation shownMichael addition (sulfa-), molecular sieves used"
31-260-CAS-17916006,Anhydride coupling,83,,,Cc1ccc(S(=O)(=O)Nc2ccccc2S)cc1.C=C(C(=O)OC(=O)C(C)(C)C)c1ccccc1>>Cc1ccc(S(=O)(=O)N2C(=O)[C@@H](c3ccccc3)CSc3ccccc32)cc1,"Journal of Organic Chemistry (2017), 82(23), 12655-12668","1206800-17-0, 93-97-0",2270851-28-8,,,2037-26-5,,,,,,,1,1,83.0,,,,,,,"regioselective, stereoselective, Michael addition (sulfa-), molecular sieves used"
31-289-CAS-15583063,Anhydride coupling,72,,,Nc1ccccc1.O=C/C=C/c1ccc(-c2ccc(Cl)cc2Cl)o1.O=C1C=CC(=O)O1>>O=C(O)[C@@H]1c2cc(-c3ccc(Cl)cc3Cl)oc2C[C@H]2CN(c3ccccc3)C(=O)[C@@H]21,"Tetrahedron (2016), 72(18), 2239-2253","18600-42-5, 1375475-53-8",1392477-80-3,"7487-88-9, 16940-66-2",,"75-09-2, 109-99-9, 71-43-2",,,,,,,3,1,72.0,,,,,,,"stereoselective, Diels-Alder reaction"
31-289-CAS-15634202,Anhydride coupling,70,,,NCc1ccco1.O=C/C=C/c1ccco1.O=C1C=CC(=O)O1>>O=C(O)[C@@H]1c2ccoc2C[C@H]2CN(Cc3ccco3)C(=O)[C@@H]21,"Tetrahedron (2016), 72(18), 2239-2253","13360-63-9, 649757-42-6",845865-54-5,"7487-88-9, 16940-66-2",,"75-09-2, 67-56-1, 108-88-3",,,,,,,3,1,70.0,,,,,,,"stereoselective, Diels-Alder reaction"
31-289-CAS-15670020,Anhydride coupling,70,,,COc1ccc(N)cc1.O=C/C=C/c1ccc(-c2ccccc2Cl)o1.O=C1C=CC(=O)O1>>COc1ccc(N2C[C@@H]3Cc4oc(-c5ccccc5Cl)cc4[C@@H](C(=O)O)[C@H]3C2=O)cc1,"Tetrahedron (2016), 72(18), 2239-2253","110-68-9, 649757-39-1",845866-02-6,"7487-88-9, 16940-66-2",,"75-09-2, 109-99-9, 71-43-2",,,,,,,3,1,70.0,,,,,,,"stereoselective, Diels-Alder reaction"
