reaction_smiles,detected_reaction_type,reaction_key
Cc1ccc(N)cc1.C=CCO.CC(=O)OC(C)=O.OC1CCCCC1>>CC(=O)N1c2ccc(C)cc2CCC1OC1CCCCC1,Claisen_condensation,|Alkyl-CO2R|Allyl-OH|Ar-NH2|R2CH-OH -> Alkyl-NRCOR|Ar-Alkyl|Ar-NRCOR | spectators: Ar-Alkyl|R_acidic-H | events: Ann+C-N+C-C
Nc1ccc(Br)cc1.C=CCO.CC(=O)OC(C)=O.OC1CCCCC1>>CC(=O)N1c2ccc(Br)cc2CCC1OC1CCCCC1,Claisen_condensation,|Alkyl-CO2R|Allyl-OH|Ar-NH2|R2CH-OH -> Alkyl-NRCOR|Ar-Alkyl|Ar-NRCOR | spectators: Ar-Br|R_acidic-H | events: Ann+C-N+C-C
O=c1[nH]c2ccccc2o1.CC(=O)OC(C)=O>>CC(=O)n1c(=O)oc2ccccc21,Claisen_condensation,|Alkyl-CO2R|AromN-H -> [] | spectators: HeteroAr-H|Oxazole|R_acidic-H
O=c1[nH]c2cc(Cl)ccc2o1.CCC(=O)OC(=O)CC>>CCC(=O)n1c(=O)oc2ccc(Cl)cc21,Claisen_condensation,|AromN-H|RCH2-CO2R -> [] | spectators: HeteroAr-Cl|HeteroAr-H|Oxazole|R_acidic-H
c1ccc2[nH]ccc2c1.CCC(=O)OC(=O)CC>>CCC(=O)c1c[nH]c2ccccc12.CCC(=O)n1ccc2ccccc21.CCC(=O)c1cc2ccccc2[nH]1,Claisen_condensation,|RCH2-CO2R -> Ar-COR|HeteroAr-H|R_acidic-H | bond_formed: C-C; C-C(ar); C-C(ar); C-C(ar); C-N(ar); C-N(ar) | bond_formed_labeled: C-C; C-C(ar); C-C(ar); C-C(ar); C-N(ar); C-N(ar) | bond_broken: C-O | spectators: AromN-H|HeteroAr-H|Indole|R_acidic-H | events: Ann+C-N+C-C
CCCC(=O)OC(=O)CCC.c1ccc2[nH]ccc2c1>>CCCC(=O)c1c[nH]c2ccccc12.CCCC(=O)n1ccc2ccccc21.CCCC(=O)c1cc2ccccc2[nH]1,Claisen_condensation,|RCH2-CO2R -> Ar-COR|HeteroAr-H|R_acidic-H | bond_formed: C-C(ar); C-C(ar); C-C(ar); C-N(ar) | bond_formed_labeled: C-C(ar); C-C(ar); C-C(ar); C-N(ar) | bond_broken: C-O | spectators: AromN-H|HeteroAr-H|Indole|R_acidic-H | events: Ann+C-N+C-C
CC(C)(C)C(=O)OC(=O)C(C)(C)C.Clc1ccc2[nH]ccc2c1>>CC(C)(C)C(=O)c1c[nH]c2ccc(Cl)cc12.CC(C)(C)C(=O)n1ccc2cc(Cl)ccc21.CC(C)(C)C(=O)c1cc2cc(Cl)ccc2[nH]1,Claisen_condensation,|R3C-CO2R -> Ar-COR|HeteroAr-Cl|Indole | spectators: AromN-H|HeteroAr-Cl|HeteroAr-H|Indole | events: Ann+C-N+C-C
c1ccc2[nH]ncc2c1.O=C(OC(=O)c1ccccc1)c1ccccc1>>O=C(c1ccccc1)n1ncc2ccccc21,Claisen_condensation,|Ar-CO2R|AromN-H -> [] | spectators: HeteroAr-H|Pyrazole
c1ccc2[nH]ncc2c1.CCCCC(=O)OC(=O)CCCC>>CCCCC(=O)n1ncc2ccccc21,Claisen_condensation,|AromN-H|RCH2-CO2R -> [] | spectators: HeteroAr-H|Pyrazole|R_acidic-H
Ic1ccc2[nH]ncc2c1.O=C(OC(=O)c1ccccc1)c1ccccc1>>O=C(c1ccccc1)n1ncc2cc(I)ccc21,Claisen_condensation,|Ar-CO2R|AromN-H -> [] | spectators: HeteroAr-H|HeteroAr-I|Pyrazole
