reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-049-CAS-17748756,BAIB,26,,,COc1ccc([C@H](O)[C@H](CO)Oc2ccccc2OC)cc1OC>>COc1ccccc1O.COc1ccc(C=O)cc1OC.COc1ccc(C=C(C=O)Oc2ccccc2OC)cc1OC,"ChemSusChem (2017), 10(13), 2707-2713",80625-54-3,"100547-44-2, 111876-38-1, 247167-79-9, 247167-85-7",,"2564-83-2, 3240-34-4, 609-36-9",75-05-8,,,,,,,2,1,26,70,5,,,,,"chemoselective, optimization study (optimized on amine catalyst),retro-aldol reaction,conversion = greater than 99%"
31-049-CAS-17748768,BAIB,35,,,COc1ccccc1O[C@@H](CO)[C@@H](O)c1ccc2c(c1)OCO2>>COc1ccccc1O.O=Cc1ccc2c(c1)OCO2.COc1ccccc1OCC=O,"ChemSusChem (2017), 10(13), 2707-2713",7595-29-1,"90-05-1, 120-14-9, 18167-91-4",,"2564-83-2, 3240-34-4, 609-36-9",75-05-8,,,,,,,2,1,35,70,14,,,,,"chemoselective, alternative preparation shown,retro-aldol reaction in stage 2"
31-049-CAS-17748769,BAIB,79,,,COc1ccccc1O[C@H](CO)C(O)c1cc(OC)c(OC)c(OC)c1>>COc1cc(C=O)cc(OC)c1OC.COc1ccccc1O.COc1ccccc1OCC=O,"ChemSusChem (2017), 10(13), 2707-2713",7572-98-7,"90-05-1, 120-14-9, 18167-91-4",,"2564-83-2, 3240-34-4, 609-36-9",75-05-8,,,,,,,2,1,79,46,18,,,,,"chemoselective, retro-aldol reaction in stage 2,alternative preparation shown"
31-117-CAS-22511884,BAIB,1,,,CCC/C=C\C=C\CCCCCCCO>>CCC/C=C\C=C/CCCCCCC=O.CCC/C=C/C=C/CCCCCCC=O.CCC/C=C\C=C\CCCCCCC=O.CCC/C=C/C=C\CCCCCCC=O,"Organic Process Research & Development (2020), 24(7), 1335-1340",,,"3240-34-4, 7772-98-7",2564-83-2,"75-05-8, 7732-18-5",,,,,,,3,1,1,4,75,2,,,,
31-117-CAS-3475452,BAIB,2,,,CC/C=C/CCO>>CCC/C=C/C=O.CC/C=C/CC=O,"European Journal of Organic Chemistry (2012), 2012(21), 3978-4017, S3978/1-S3978/9",473-98-3,"4439-98-9, 13159-28-9",3240-34-4,2564-83-2,"75-09-2, 109-66-0",,,,,,,1,1,2,98,,,,,,alternative preparation shown
31-155-CAS-7946963,BAIB,89,,,C=C(C(O)/C=C/C(C)(O)CO)[C@@H]1C[C@@H](O)[C@@]2(C)[C@@H]1[C@@H]1[C@H](C)CC[C@@H]12>>C=C(C(=O)/C=C/C(C)=O)[C@@H]1CC(=O)[C@@]2(C)[C@@H]1[C@@H]1[C@H](C)CC[C@@H]12,"Bioorganic & Medicinal Chemistry Letters (2015), 25(12), 2479-2483",1807630-36-9,1807630-37-0,"3240-34-4, 7772-98-7",2564-83-2,"75-09-2, 7732-18-5",,,,,,,2,1,89,,,,,,,
31-201-CAS-3291128,BAIB,95,,,CC(=O)OI(OC(C)=O)c1ccccc1.CC(O)c1ccccc1>>CC(=O)OC(Br)C(=O)c1ccccc1,"Advanced Synthesis & Catalysis (2003), 345(5), 635-642",14313-18-9,2349-16-8,,,"75-09-2, 108-88-3",,,,,,,2,1,95,,,,,,,"solid-supported reaction, first stage was attachment to IRA-900 resin"
31-206-CAS-5049709,BAIB,75,,,CC1(C)CCC[C@@]2(C)[C@@H]3CC[C@@H]([C@@H]31)[C@@H]2CO>>CC1(C)CCCC2(C)C3COC4CC2C1C43.CC1(C)CCC[C@@]2(C)[C@@H]3CC[C@@H]([C@@H]31)[C@@H]2C=O,"Journal of Chemical Research, Synopses (1990), (8), 240-1","1452152-89-4, 1452152-90-7","1452152-92-9, 1452152-93-0","3240-34-4, 7553-56-2",,110-82-7,,,,,,,1,1,75,9,,,,,,photochemical
31-312-CAS-3440465,BAIB,84,,,CC(O)CCCCCCCCCO>>CC(O)CCCCCCCCC#N.CC(=O)CCCCCCCCC#N,"Synlett (2014), 25(9), 1275-1278, 4 pp.",2639759-17-2,"2639759-18-3, 2639759-19-4","631-61-8, 3240-34-4",2564-83-2,"75-05-8, 7732-18-5",,,,,,,1,1,84,8,,,,,,
31-320-CAS-18250946,BAIB,81,,,C#CCOCc1ccc(OC)cc1.CC1(C)OC[C@H](C=O)O1>>COc1ccc(COCC#CC(=O)[C@H]2COC(C)(C)O2)cc1,"Journal of Fluorine Chemistry (2013), 15270-76",1426310-06-6,1426310-07-7,"109-72-8, 12125-02-9, 2564-83-2, 3240-34-4, 7772-98-7",,"109-99-9, 110-54-3, 7732-18-5, 75-09-2",,,,,,,5,1,81,,,,,,,in-situ generated reactant in stage 1
