reaction_smiles,detected_reaction_type,reaction_key
COc1ccc2c(c1)CCN=C2Cc1ccc(OC)c(OCc2ccccc2)c1>>COC1=CCC2=C(CCNC2Cc2ccc(OC)c(O)c2)C1,Reduction_imine_to_amine,|Ar-C=N|Ar-OR|Bn-OR -> R2CH-NHR|RCH2-NHR | bond_broken: C-O | spectators: Ar-Alkyl
O=C(O)c1cccc2ccccc12.CCBr>>CCC1(C(=O)O)C=CCc2ccccc21,Multi-Event:LGDisp+C-C,|RCH2-Br -> Ar-Alkyl | bond_formed: C-C(ar) | bond_formed_labeled: C-C(ar)[Ar-Alkyl] | bond_broken: Br-C | events: LGDisp+C-C
O=C1Nc2ccccc2C(=O)N2CCC[C@@H]12.C=CCBr>>C=CC[C@@]12C=CCC[C@@H]1NC(=O)[C@@H]1CCCN1C2=O,Alkyl_Nucleophilic_Substitution,|Allyl-Br|Ar-CONR2 -> Alkyl-NHCOR | bond_formed: C-C(ar) | bond_formed_labeled: C-C(ar) | bond_broken: Br-C | spectators: Alkyl-NRCOR|R_acidic-H | events: LGDisp+C-C
CC1c2ccccc2C(=O)N1C.BrCc1ccccc1>>C[C@@H]1C2=CCC=C[C@]2(Cc2ccccc2)C(=O)N1C,Alkylation_friedel_crafts,|Ar-CONR2|Bn-Br -> Ar-Alkyl | bond_formed: C-C(ar) | bond_formed_labeled: C-C(ar)[Ar-Alkyl] | bond_broken: Br-C | spectators: Alkyl-NRCOR|Ar-Alkyl | events: LGDisp+C-C
COC[C@@H]1CCCN1C(=O)c1cc(-c2ccccc2)ccc1OC.C=CCBr>>C=CC[C@@]1(C(=O)N2CCC[C@H]2COC)C=C(c2ccccc2)CC=C1OC,Multi-Event:LGDisp+C-C,|Allyl-Br|Ar-Ar|Ar-CONR2 -> Ar-Alkenyl | bond_formed: C-C(ar) | bond_formed_labeled: C-C(ar)[Ar-Alkenyl] | bond_broken: Br-C | spectators: Alkyl-NRCOR|RCH2-OR | events: LGDisp+C-C
O=C1CCCc2ccccc21.ClCOCc1ccccc1>>O=C1CCCC2=CCC=CC12COCc1ccccc1,Oxidation_alcohol,|Ar-Alkyl|Ar-COR|RCH2-Cl -> RCH2-COR | bond_formed: C-C(ar) | bond_formed_labeled: C-C(ar) | bond_broken: C-Cl | spectators: Bn-OR|R_acidic-H | events: LGDisp+C-C
CC(C)(C)OC(=O)c1ccccc1.BrCc1ccccc1I>>CC(C)(C)OC(=O)C1(Cc2ccccc2I)C=CCC=C1,Alkylation_friedel_crafts,|Ar-CO2R|Bn-Br -> Ar-Alkyl | spectators: Ar-I | events: LGDisp+C-C
CCCCI.CC(C)(C)OC(=O)n1cccc1C(=O)N1CCCC1>>CCCCC1(C(=O)N2CCCC2)C=CCN1C(=O)OC(C)(C)C,Multi-Event:LGDisp+C-C,|Ar-CONR2|HeteroAr-H|RCH2-I -> R3C-CONR2 | spectators: Alkyl-NRCOR | events: LGDisp+C-C
O=C(O)c1cccc(F)c1.CCBr>>CCC1(C(=O)O)C=CCC(F)=C1,Halogenation_unsaturated,|RCH2-Br -> Alkenyl-F | bond_formed: C-C(ar) | bond_formed_labeled: C-C(ar) | bond_broken: Br-C | events: LGDisp+C-C
COc1cc(OC)cc(C(=O)O)c1.C=CCBr>>C=CCC1(C(=O)O)C=C(OC)CC(OC)=C1,Multi-Event:LGDisp+C-C,|Allyl-Br|Ar-CO2H|Ar-OR -> Alkenyl-OR|R3C-CO2H | events: LGDisp+C-C
