reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-026-CAS-22255932,C_S_Coupling,83,,,Sc1ccccc1.[Na].Clc1nc(C(Cl)(Cl)Cl)ncc1-c1ccccc1>>c1ccc(Sc2nc(C(Sc3ccccc3)Sc3ccccc3)ncc2-c2ccccc2)cc1,"Synthesis (2019), 51(2), 530-537","3032-81-3, 7217-59-6",3035281-18-3,7646-69-7,,109-99-9,,,,,,,1,1,83,,,,,,,
31-100-CAS-11729791,C_S_Coupling,76,,,Sc1ccccc1.FC(F)(F)c1ccccc1I>>Oc1ccccc1Sc1ccccc1C(F)(F)F,"Journal of the American Chemical Society (2010), 132(44), 15531-15533","2365-48-2, 1135021-79-2",1639850-01-3,"67-68-5, 534-17-8, 7647-14-5","7681-65-4, 106129-86-6","67-68-5, 7732-18-5",,,,,,"General/Typical Procedure: 2-(phenylthio)phenol (3a) A mixture of thiophenol 1a (0.5 mmol, 55.0 mg), iodobenzene 2a (0.6 mmol, 122.4 mg), CuI (10 mol %, 9.5 mg), L4 (10 mol %, 9.5 mg) and Cs2CO3 (2 equiv, 325.8 mg) in DMSO (2 mL) was stirred in N2 at 100C for 10 h. After completion of the reaction, the mixture was quenched with saturated salt water (10 mL), the solution was extracted with ethyl acetate (3 × 10 mL). The organic layers were combined, and dried over sodium sulfate. The pure product was obtained by flash column chromatography on silica gel. 2-(2-(trifluoromethyl)phenylthio)phenol(3g); Colorless liquid; Yield: 76%. 1H NMR (500 MHz, d6-DMSO): δ 10.16 (s, 1H), 7.75-7.74 (d, J= 7.8 Hz, 1H), 7.50-7.48 (d, J= 7.7 Hz, 1H), 7.37-7.36 (d, J= 7.6 Hz, 1H), 7.32-7.28 (m, 1H), 7.24-7.23 (d, J= 7.7 Hz, 1H), 7.00-6.98 (d, J= 8.1 Hz, 2H), 6.88-6.85 (t, J= 6.6 Hz, 1 H); 13C NMR (125 MHz, d6-DMSO): δ 158.94, 137.50, 136.48, 134.02, 132.25, 130.87, 127.96, 127.13, 121.41, 117.36. GC-MS (EI) [M]+: 270. HRMS (EI) calcd for C13H9F3OS [M]+: 270.0326; found 270.0333.",2,1,76,,,,,,,
31-111-CAS-22400241,C_S_Coupling,94,,,COc1ccc(S)cc1.Ic1cccnc1>>c1ccc(Sc2cccnc2)cc1,"Polyhedron (2020), 176114269","137-06-4, 2516-40-7",854060-05-2,584-08-7,"280-57-9, 7681-65-4",110-71-4,,,,,,,1,1,94,,,,,,,thermal
31-113-CAS-15199186,C_S_Coupling,3,,,FC(F)(F)c1ccc(Cl)cc1.Sc1ccccc1>>FC(F)(F)c1ccccc1.FC(F)(F)c1ccc(Sc2ccccc2)cc1,"Journal of the American Chemical Society (2014), 136(42), 14772-14779","2823435-55-6, 696-63-9","886-66-8, 2823435-44-3",865-48-5,1023743-21-6,108-88-3,,,,,,"General/Typical Procedure: General procedure for catalytic C-S coupling reactions. 1 (121 μL of 0.04 M stock solution in toluene, 0.0049 mmol) was combined with aryl halide (0.18 mmol) and NaOtBu (31 mg, 0.36 mmol) in a screw cap vial with a stir bar and dissolved in toluene (1.0 mL). The thiol reagent (0.16 mmol) was added to the sample along with the internal standard. For reactions with Fsubstituted aryl halides, benzotrifluoride (CF3C6H5) was used as the internal standard. For reactions with CF3-substituted aryl halides, fluorobenzene was used as the internal standard. Mesitylene was used as the internal standard for reactions containing no fluorine substituents. The reaction vial was sealed and heated in a 110°C oil bath. Reactions were monitored by 19F NMR or 1H NMR spectroscopy. Preparative scale reactions were performed by combining 1 (15 mg, 0.032 mmol), aryl halide (1.1 mmol), and NaOt Bu (192 mg, 2 mmol) in a screw cap vial with a teflon stir bar and dissolved in toluene. The thiol reagent (1.0 mmol) was then added. For product isolation, the sample was passed through a pad of Celite/silica gel and the volatiles were removed by vacuum. Products were identified by 1H NMR spectroscopy and the spectra for the known compounds were compared to those reported in the literature. 6 (C6H5)S(p-C6H4CF3) (c). 1H NMR (C6D6): δ 7.24 (d, J = 6.5 Hz, 2H), 7.05 (d, J = 6.5 Hz, 2H), 6.95 (d, J = 6.5 Hz, 3H), 6.89 (d, J = 9.5 Hz, 2H); 19F NMR (C6D6): δ -62.9 (s); 13C{1H} NMR (C6D6): δ 143.2 (s), 133.7 (s), 133.1 (s), 129.8 (s), 128.7 (s), 128.6 (s), 128.2 (q, J FC =33 Hz), 126.1 (q, J FC =4 Hz), 124.8 (q, J FC =273 Hz).",1,1,3,95,,,,,,"alternative preparation shown, scalable, screw-cap vial used"
31-144-CAS-11274147,C_S_Coupling,70,,,OCCCS.O=C(O)N1CCN(C(=O)c2cc(F)c(F)cc2[N+](=O)[O-])CC1.NCc1ccncc1.O=C(O)C(F)(F)F>>O=C(O)C(F)(F)F.O=C(c1cc(S(=O)(=O)CCCO)c(NCc2ccncc2)cc1[N+](=O)[O-])N1CCNCC1,"European Journal of Organic Chemistry (2001), (17), 3233-3246","108-98-5, 2252-51-9",60086-36-4,937-14-4,,"872-50-4, 75-09-2",,,,,,,4,1,70,,,,,,,attachment to Wang resin in first 3 stages
31-144-CAS-16190519,C_S_Coupling,72,,,Sc1cccc(Br)c1.Fc1cccc2ccc(Cl)nc12>>O=S(=O)(c1cccc(Br)c1)c1ccc2cccc(F)c2n1,"European Journal of Medicinal Chemistry (2016), 12292-101","10387-40-3, 2585064-09-9",2585064-10-2,"584-08-7, 937-14-4",,"68-12-2, 75-09-2",,,,,,,2,1,72,,,,,,,
31-144-CAS-19321213,C_S_Coupling,90,,,Sc1ccc2ccccc2c1.Clc1ccc2ccccc2n1>>O=S(=O)(c1ccc2ccccc2c1)c1ccc2ccccc2n1,"Organic Letters (2018), 20(20), 6601-6605","930-69-8, 299963-58-9",2098312-70-8,"1112-67-0, 10022-70-5",,"7732-18-5, 75-09-2",,,,,,,2,1,90,,,,,,,
31-144-CAS-3760133,C_S_Coupling,84,,,CS.[Na].COC(=O)C(CC1CCCC1)c1ccc(Cl)c([N+](=O)[O-])c1>>COC(=O)C(CC1CCCC1)c1ccc(S(C)(=O)=O)c([N+](=O)[O-])c1,"Journal of Medicinal Chemistry (2012), 55(16), 7021-7036","100-53-8, 3055442-76-4",3055442-77-5,,,67-68-5,,,,,,"3-Cyclopentyl-2-(4-methanesulfonyl-3-nitrophenyl)-propionic acid methyl ester (54): A solution of 2-(4-chloro-3-nitrophenyl)-3-cyclopentyl-propionic acid methyl ester (1.00 g, 3.21 mmol) and sodium methanesulfinate (0.36 g, 3.53 mmol) in dimethyl sulfoxide (3 mL) was heated at 130°C for 5 h. The black reaction mixture was then poured over ice (20 g), resulting in the formation of a brown sticky substance. The resulting mixture was then treated with ethyl acetate (50 mL) and water (50 mL), and the layers were separated. The aqueous layer was further extracted with ethyl acetate (2 x 50 mL). The combined organic layers were washed with a saturated aqueous sodium chloride solution, dried over magnesium sulfate, filtered, and concentrated in vacuo. Flash chromatography (Merck Silica gel 60, 230-400 mesh, 1/1 hexanes/ethyl acetate) afforded 3-cyclopentyl-2-(4-methanesulfonyl-3-nitrophenyl)-propionic acid methyl ester 54. Yield (0.95 g, 84%), yellow gel. FAB-HRMS m/e calcd for C16H21NO6S (M+H)+ 356.1169, found 356.1175. 1H NMR (300 MHz, CHLOROFORM-d) δ ppm 1.01 - 1.23 (m, 2 H) 1.39 - 1.96 (m, 8 H) 2.15 (dt, J=13.55, 7.69 Hz, 1 H) 3.42 - 3.49 (m, 3 H) 3.71 (s, 3 H) 3.74 - 3.89 (m, 1 H) 7.67 - 7.79 (m, 1 H) 7.83 (d, J=1.46 Hz, 1 H) 8.15 (d, J=8.06 Hz, 1 H).",1,1,84,,,,,,,
31-170-CAS-24162234,C_S_Coupling,98,,,Oc1ccccc1S.N#Cc1cc(Cl)c(Cl)cc1C#N>>N#Cc1cc2c(cc1C#N)Sc1ccccc1O2,"Chemistry - An Asian Journal (2021), 16(16), 2307-2313","108-98-5, 59142-68-6",1226773-47-2,"584-08-7, 7732-18-5",,68-12-2,,,,,,,2,1,98,,,,,,,reaction conducted in presence of air
31-171-CAS-10019803,C_S_Coupling,80,,,SCc1ccccc1.N#Cc1ccc(Br)cc1>>N#Cc1ccc(SCc2ccccc2)cc1,"Journal of Physical Chemistry A (2006), 110(32), 9949-9958","108-98-5, 402-43-7",53451-90-4,1310-58-3,,"64-17-5, 7732-18-5, 75-05-8",,,,,,"4-Cyanophenyl Benzyl Sulfide. To a solution of benzyl thiol (4.70 mL, 40 mmol) in 30 mL of ethanol (95%) was added potassium hydroxide (2.25 g, 40 mmol) at room temperature. This was stirred until the KOH was completely dissolved and a solution of 4-cyanobenzyl bromide (7.28 g, 40 mmol) in 50 mL of acetonitrile was added in one portion. The reaction mixture was heated to reflux for 30 h while the progress of the reaction was monitored by GC/MS. After completion of the reaction, the solvents were removed by rotary evaporation and the orange solid was purified by column chromatography (hexane:ethyl acetate = 5:1) followed by recrystallization from dichloromethane/hexanes at -20 °C. Yield 7.2 g (80% yield) of white fluffy needles. 1H NMR (400 MHz, CDCl3, ppm) δ H 4.23 (s, 2H), 7.29-7.40 (m, 7H), 7.51-7.53 (m, 2H). 13C NMR (400 MHz, CDCl3, ppm) δ C 37.50, 108.99, 119.23, 127.75, 128.12, 129.12, 129.20, 132.63, 136.14, 144.89. HRMS calcd for C14H12NS (M + 1) 226.0612, found 226.0695.",2,1,80,,,,,,,
