reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes,predicted_reaction_type,predicted_reaction_confidence,predicted_reaction_key,predicted_reaction_key_quality_level,predicted_reaction_key_quality_score,predicted_mapping_warning,prediction_error
31-113-CAS-5356524,Clemmensen reduction,70,,,CCOC(=O)CCC(=O)c1ccc2c(Br)c(OC)ccc2c1>>COc1ccc2cc(CCCC(=O)O)ccc2c1,"Indian Journal of Chemistry, Section B: Organic Chemistry Including Medicinal Chemistry (1976), 14B(1), 26-7",1271-79-0,1273-92-3,,,,,,,,,,1,1,70,,,,,,,,Claisen_condensation / Arylation_acidic_C_H,0.0,|Ar-Br|Ar-COR|RCH2-CO2R -> Ar-Alkyl|RCH2-CO2H | bond_broken: C-O; Br-C(ar) | spectators: Ar-OR|R_acidic-H | events: EsterHyd+LGDisp | reaction_types: Claisen_condensation+Arylation_acidic_C_H,high,0.85,0,
31-116-CAS-14180701,Clemmensen reduction,,,,CC(=O)c1ccccc1>>[2H]C([2H])([2H])C([2H])([2H])c1ccccc1,"Xiamen Daxue Xuebao, Ziran Kexueban (1985), 24(4), 527-31",579-74-8,14804-32-1,,7698-05-7,,,,,,,,1,1,,,,,,,,,Unknown,0.0,|Ar-COR|R_acidic-H -> Ar-Alkyl | bond_formed: C-H; C-H; C-H; C-H; C-H | bond_formed_labeled: C-H; C-H; C-H; C-H; C-H | bond_broken: C-O,high,1.0,0,
31-248-CAS-1924174,Clemmensen reduction,75,,,COc1cccc([C@]2(CC(C)=O)C=CN(C)C[C@@H]2C)c1>>COc1cccc([C@]23CCC[C@H](C2)N(C)C[C@@H]3C)c1,"Tetrahedron Letters (1999), 40(3), 403-406",4082-25-1,111222-56-1,7647-01-0,,67-56-1,,,,,,,1,1,75,,,,,,,stereoselective,Multi-Event:Ann+C-C,0.0,|Alkenyl-NR2|RCH2-COR -> R2CH-NR2 | bond_formed: C-C | bond_formed_labeled: C-C | bond_broken: C-O | spectators: Ar-Alkyl|Ar-OR|CH3-NR2|RCH2-NR2 | events: Ann+C-C,high,0.85,0,
31-352-CAS-7333655,Clemmensen reduction,61,,,COC(=O)[C@@]12CC[C@@]34C(=O)C(=O)[C@@H](C[C@@H]3C1)C[C@H]4[C@H]2O>>O=C(O)C12CCC34CCC(CC3C1)CC4C2,"Journal of Organic Chemistry (2014), 79(6), 2803-2808",99-90-1,1585-07-5,"7440-66-6, 7487-94-7, 7647-01-0",,"7732-18-5, 108-88-3",,,,,,"Dibarrelane-1-carboxylic Acid (9). To a solution of HgCl2 (330 mg, 1.22 mmol) in H2O (24 mL) was added Zn powder (12.0 g, 184 mmol), and the mixture was vigorously stirred for 1 h. The supernatant liquid was removed by decantation. To the residue were added concentrated HCl (60 mL), H2O (40 mL), and a solution of diketone 15 (559 mg, 2.02 mmol) in toluene (14 mL), and the twophase mixture was vigorously stirred and heated to reflux. Zn powder (9.0 g) was added portionwise until products converged on a single spot by TLC analysis. After it was cooled to room temperature, the mixture was diluted with Et2O/H2O and separated. The aqueous layer was extracted with CH2Cl2. The combined organic layers were washed with brine, dried over Na2SO4, filtered, and concentrated in vacuo. The residue was purified by silica gel chromatography with hexane/EtOAc (5/1). 9 (269 mg, 61% yield) as a colorless solid. R f = 0.38 (hexane/EtOAc 2/1); mp 144-145 °C (from CH2Cl2/hexane); 1H NMR (400 MHz, CDCl3) δ 2.10 (dddd, J = 13.3, 10.8, 1.4, 1.4 Hz, 2H), 1.89 (ddddd, J = 13.3, 10.8, 2.9, 1.4, 1.4 Hz, 2H), 1.73-1.58 (m, 5H), 1.53-1.44 (m, 4H), 1.33-1.22 (m, 6H); 13C NMR (100 MHz, CDCl3) δ 185.0, 41.1, 39.5, 37.5, 31.8, 30.7, 30.3, 28.7, 28.0, 26.6, 26.4; IR (ATR) 2925, 2855, 2654, 1686, 1458, 1412, 1282, 952 cm-1; HRMS (ESI-TOF) calcd for C14H20NaO2 243.1355, found 243.1350. Crystal data and structure refinement: Identification code: biscooh; Empirical formula: C14 H20 O2; Formula weight: 220.30; Temperature: 173 K; Wavelength: 0.71073 Å; Crystal system: Monoclinic; Space group: P2(1)/c; Unit cell dimensions: a = 6.7640(11) Å α= 90°. b = 10.5710(17) Å β= 93.658(2) °. c = 15.916(3) Å γ = 90°. Volume: 1135.7(3) Å3; Z: 4; Density (calculated): 1.288 Mg/m3; Absorption coefficient: 0.084 mm-1; F(000): 480; Crystal size: 0.57 x 0.34 x 0.32 mm3; Theta range for data collection: 2.31 to 27.60 °. Index ranges: -7<=h<=8, -9<=k<=13, -20<=l<=20; Reflections collected: 6005; Independent reflections: 2560 [R(int) = 0.1088]; Completeness to theta = 25.00°: 99.4 %; Absorption correction: Analytical; Max. and min. transmission: 0.9737 and 0.8794; Refinement method: Full-matrix least-squares on F2; Data / restraints / parameters: 2560 / 0 / 146; Goodness-of-fit on F2: 1.045; Final R indices [I>2sigma(I)]: R1 = 0.0639, wR2 = 0.1699; R indices (all data): R1 = 0.0671, wR2 = 0.1735; Largest diff. peak and hole: 0.379 and -0.489 e Å-3.",3,1,61,,,,,,,Clemmensen reduction; supernatant liquid obtained after stage 1 removed by decantation and residue used in stage 2; portionwise addition of Zn powder (stage 3),Oxidation_alcohol,0.0,|R2CH-COR|R2CH-OH|R3C-CO2R|R3C-COR -> R3C-CO2H | bond_broken: C-O,high,1.0,0,
31-479-CAS-659506,Clemmensen reduction,8,,,O=C(CCCCC(=O)c1ccccc1)c1ccccc1>>C(/C=C/c1ccccc1)=C\CCc1ccccc1,"Tetrahedron (1994), 50(9), 2949-54",3375-38-0,109248-93-3,7647-01-0,,,,,,,,,1,1,8,,,,,,,REFLUX,Wittig_reaction,0.0,|Ar-COR|R_acidic-H -> Alkenyl-Alkenyl|Ar-Alkenyl,high,0.85,1,
31-491-CAS-11838643,Clemmensen reduction,23,,,CC(=O)C(C)C(C)=O>>CCC(C)(O)C(C)=O,"Journal of the Chemical Society, Perkin Transactions 1: Organic and Bio-Organic Chemistry (1972-1999) (1979), (11), 2820-5",84602-27-7,6004-60-0,,7647-01-0,,,,,,,,1,1,23,,,,,,,,Reduction_carbonyl_to_alcohol,0.0,|R2CH-COR|R_acidic-H -> R3C-OH,high,0.75,0,
31-513-CAS-13057777,Clemmensen reduction,2,,,O=C(c1ccccc1)[C@@H]1CCCC[C@H]1C(=O)c1ccccc1>>OC(c1ccccc1)C1CCCCC1Cc1ccccc1,"Tetrahedron (1994), 50(9), 2949-54",104722-26-1,155816-62-9,64-19-7,,,,,,,,,1,1,2,,,,,,,REFLUX,Reduction_carbonyl_to_alcohol,0.0,|Ar-COR -> R2CH-OH | bond_broken: C-O,high,1.0,0,
31-531-CAS-11108939,Clemmensen reduction,2,,,O=C(c1ccccc1)C(O)c1ccccc1>>c1ccc(CCc2ccccc2)cc1.C(=C/c1ccccc1)\c1ccccc1,"Synthetic Communications (1996), 26(14), 2625-2631",826-56-2,"13943-77-6, 61370-27-2","64-18-6, 7440-66-6, 7487-94-7, 7647-01-0",,"64-17-5, 7732-18-5",,,,,,,1,1,2,67,,,,,,,Wittig_reaction,0.0,|Ar-COR|R2CH-OH|R_acidic-H -> Ar-Alkenyl | spectators: Ar-Alkyl | events: Ann+C-C,medium,0.7,1,
31-531-CAS-13514954,Clemmensen reduction,25,,,O=C(c1ccccc1)C(O)c1ccccc1>>c1ccc(CCc2ccccc2)cc1,"Indian Journal of Chemistry, Section B: Organic Chemistry Including Medicinal Chemistry (1981), 20B(2), 152-3",2243-09-6,570-46-7,,,,,,,,,,1,1,25,,,,,,,,Unknown,0.0,|Ar-COR|R2CH-OH -> Ar-Alkyl | bond_broken: C-O | spectators: Ar-Alkyl,high,1.0,0,
31-538-CAS-1001623,Clemmensen reduction,,,,COc1ccccc1C(C)=O>>CCc1ccccc1OC,"Journal of the Chemical Society, Chemical Communications (1986), (12), 893-4",614-47-1,1081-75-0,"7440-66-6, 7647-01-0",,,,,,,,,1,1,,,,,,,,,Unknown,0.0,|Ar-COR -> Ar-Alkyl | bond_broken: C-O | spectators: Ar-OR,high,1.0,0,
