reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-006-CAS-14636034,Julia-Kocienski Olefination,70,,,C[C@H]1OC(C)(C)O[C@@H]1/C=C/CS(=O)(=O)c1nnnn1-c1ccccc1.CC(C)c1ccc2nc(Cl)c(C=O)cc2c1>>CC(C)c1ccc2nc(Cl)c(/C=C/C=C/[C@@H](O)[C@@H](C)O)cc2c1,"RSC Advances (2014), 4(16), 8365-8375","1779-49-3, 2685740-20-7",2685740-21-8,40949-94-8,104-15-4,"109-99-9, 67-56-1",,,,,,,3,1,70,,,,,,,stereoselective
31-006-CAS-16550878,Julia-Kocienski Olefination,49,,,COc1ccccc1C=O.C[C@@H]1O[C@H](CS(=O)(=O)c2nnnn2-c2ccccc2)[C@H]2OC(C)(C)O[C@H]21>>COc1ccccc1/C=C/[C@H]1O[C@@H](C)[C@H](O)[C@@H]1O,"ARKIVOC (Gainesville, FL, United States) (2012), (6), 365-383","83685-87-4, 519002-88-1",2159072-88-3,"40949-94-8, 7732-18-5, 7647-01-0, 497-19-8",,"108-88-3, 110-71-4, 109-99-9, 7732-18-5",,,,,,,4,1,49,,,,,,,"stereoselective, Kocienski-Julia olefination, key step, excess aldehyde used, (6Z)-isomer also detected"
31-006-CAS-16550881,Julia-Kocienski Olefination,41,,,O=Cc1ccccc1C(F)(F)F.C[C@@H]1O[C@H](CS(=O)(=O)c2nnnn2-c2ccccc2)[C@H]2OC(C)(C)O[C@H]21>>C[C@@H]1O[C@H](/C=C/c2ccccc2C(F)(F)F)[C@@H](O)[C@H]1O,"ARKIVOC (Gainesville, FL, United States) (2012), (6), 365-383","1261359-86-7, 1261359-65-2",1487417-44-6,"40949-94-8, 7732-18-5, 7647-01-0, 497-19-8",,"108-88-3, 110-71-4, 109-99-9, 7732-18-5",,,,,,,4,1,41,,,,,,,"stereoselective, Kocienski-Julia olefination, key step, excess aldehyde used"
31-006-CAS-18392152,Julia-Kocienski Olefination,49,,,CC1(C)OC[C@H]([C@H](CC=O)O[Si](C)(C)C(C)(C)C)O1.CC(C)(C)[Si](C)(C)OCCCS(=O)(=O)c1nnnn1-c1ccccc1>>CC(C)(C)[Si](C)(C)OCC/C=C/C[C@H](O[Si](C)(C)C(C)(C)C)[C@H](O)CO,"Chemistry - A European Journal (2017), 23(68), 17191-17194","85924-41-0, 173289-75-3",173289-76-4,"40949-94-8, 12125-02-9, 7550-45-0, 144-55-8",,"108-88-3, 109-99-9, 7732-18-5, 75-09-2",,,,,,,4,1,49,,,,,,,stereoselective
31-006-CAS-23522517,Julia-Kocienski Olefination,89,,,CCCCCCCCCC=O.COC(CS(=O)(=O)c1nnnn1-c1ccccc1)OC>>CCCCCCCCC/C=C/C=O,"Journal of Organic Chemistry (2021), 86(9), 6969-6973","83-33-0, 1199582-10-9",1199582-45-0,"865-47-4, 7647-01-0",,"109-99-9, 141-78-6, 7732-18-5",,,,,,,2,1,89,,,,,,,"stereoselective, reactant also recovered as product,Julia-Kocienski reaction,optimization study (optimized on reaction conditions)"
31-006-CAS-5481844,Julia-Kocienski Olefination,71,,,C[C@H]1OC(C)(C)O[C@@H]1/C=C/CS(=O)(=O)c1nnnn1-c1ccccc1.Cc1ccc2cc(C=O)c(Cl)nc2c1>>Cc1ccc2cc(/C=C/C=C/[C@@H](O)[C@@H](C)O)c(Cl)nc2c1,"RSC Advances (2014), 4(16), 8365-8375","75-07-0, 1003924-66-0",1003924-79-5,40949-94-8,104-15-4,"109-99-9, 67-56-1",,,,,,,3,1,71,,,,,,,stereoselective
31-008-CAS-18392146,Julia-Kocienski Olefination,80,,,O=CC[C@H](O)[C@H](O)CO.COC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1.COC(C)(C)OC.CC(C)(C)[Si](C)(C)Cl>>COC(=O)/C=C/C[C@H](O[Si](C)(C)C(C)(C)C)[C@H]1COC(C)(C)O1,"Chemistry - A European Journal (2017), 23(68), 17191-17194","887705-97-7, 1427219-14-4",1821388-05-9,"121-44-8, 288-32-4, 144-55-8",104-15-4,"109-99-9, 67-64-1, 68-12-2, 7732-18-5",,,,,,,5,1,80,,,,,,,stereoselective
31-008-CAS-9932567,Julia-Kocienski Olefination,55,,,CC(C)(C)[Si](C)(C)Cl.COC(=O)[C@@H](C)CO.BrC(Br)(Br)Br>>C[C@H](C=C(Br)Br)CO[Si](C)(C)C(C)(C)C,"Chemistry - An Asian Journal (2008), 3(8-9), 1523-1534","1240411-71-5, 1240411-74-8",1240411-75-9,"288-32-4, 1191-15-7, 603-35-0",,"75-09-2, 108-88-3",,,,,,,3,1,55,,,,,,,
31-019-CAS-10779484,Julia-Kocienski Olefination,,,,O=C(O)c1ccc(CS(=O)(=O)c2nc3ccccc3s2)cc1.Cc1ccc(C=O)cc1.C=[N+]=[N-]>>COC(=O)c1ccc(/C=C/c2ccc(C)cc2)cc1,"Molecular Diversity (2010), 14(4), 847-853","1264481-73-3, 555-16-8, 334-88-3",136827-59-3,"6674-22-2, 76-05-1",,75-09-2,polymer-supported,,,,,"General/Typical Procedure: General procedure for the olefination of aldehydes with immobilized benzothiazol-2-yl sulfone (7) and immobilized 1-phenyl-1H-tetrazol-5-yl sulfone (13) Resin-bound sulfone 7/13 (0.13 mmol) was suspended in DCM (5 mL) and DBU (0.047 mL, 0.32 mmol, 2.5 equiv) was added at room temperature. After 15min, aldehyde 8 (0.33 mmol, 2.5 equiv) was added and the mixture was stirred for 24 h at the same temperature. Resin-bound alkene 9 was then treated with 5 mL of 10% TFA in DCM for 1 h. The mixture was filtered and the filtrate was evaporated under reduced pressure to give crude product. This crude material was dissolved in DCM and treated with diazomethane at 0 °C for 30 min. The solvent was evaporated under high vacuum and the residue was purified by flash column chromatography (hexane-AcOEt) to provide the desired alkene 10 (see Tables 1 and 2). Table 1 Solid-phase olefination of aldehydes with BT-sulfone 7 Entry 1 Product 10a Table 1 Solid-phase olefination of aldehydes with BT-sulfone 7 Entry 6 Product 10f Yield 32%.",4,1,,,,,,,,"solid-supported reaction, stereoselective, 4:1 E:Z, 32% overall yield, reactant on Wang resin, Julia-Kocienski coupling"
31-019-CAS-12909758,Julia-Kocienski Olefination,10,,,O=C(O)c1ccc(CS(=O)(=O)c2nc3ccccc3s2)cc1.COc1ccc(C=O)cc1.C=[N+]=[N-]>>COC(=O)c1ccc(/C=C/c2ccc(OC)cc2)cc1,"Molecular Diversity (2010), 14(4), 847-853","67-64-1, 910803-66-6",685-89-2,"6674-22-2, 76-05-1",,75-09-2,,,,,,"General/Typical Procedure: General procedure for the olefination of aldehydes with immobilized benzothiazol-2-yl sulfone (7) and immobilized 1-phenyl-1H-tetrazol-5-yl sulfone (13) Resin-bound sulfone 7/13 (0.13 mmol) was suspended in DCM (5 mL) and DBU (0.047 mL, 0.32 mmol, 2.5 equiv) was added at room temperature. After 15min, aldehyde 8 (0.33 mmol, 2.5 equiv) was added and the mixture was stirred for 24 h at the same temperature. Resin-bound alkene 9 was then treated with 5 mL of 10% TFA in DCM for 1 h. The mixture was filtered and the filtrate was evaporated under reduced pressure to give crude product. This crude material was dissolved in DCM and treated with diazomethane at 0 °C for 30 min. The solvent was evaporated under high vacuum and the residue was purified by flash column chromatography (hexane-AcOEt) to provide the desired alkene 10 (see Tables 1 and 2). Table 1 Solid-phase olefination of aldehydes with BT-sulfone 7 Entry 1 Product 10a (E) 4-[2-(4-Methoxy-phenyl)-vinyl]-benzoic acid methyl ester (10g) Entry 7 Product 10g Yield 10%. IR (film): νmax (cm−1) 2918 (OCH3), 1719 (CO), 1601, 1287, 1111, 845. 1H NMR (CDCl3 300 MHz): δ 8.19 (d, J = 8.34 Hz, 1H, ArH), 7.99-7.94 (m, 2H, ArH), 7.55-7.46 (m, 4H, ArH), 7.17 (d, J = 16.2Hz, 1H, Hvinyl), 6.99 (d, J = 16.2Hz, 1H, Hvinyl), 3.91 (s, 3H, OCH3), 3.84 (s, 3H, OCH3). 13C NMR (CDCl3 75 MHz): δ 166.9, 159.8, 142.2, 130.8, 130.3, 130.2, 130.0, 129.5, 128.4, 128.0, 126.0, 125.4, 114.2, 55.35, 52.0. HRMS (ESI) m/z 291.0985 [(MNa+), calcd for C17H16NaO3: 291.0992].",4,1,10,,,,,,,"solid-supported reaction, stereoselective, reactant on Wang resin, Julia-Kocienski coupling, alternative preparation shown"
31-019-CAS-3777541,Julia-Kocienski Olefination,,,,O=C(O)c1ccc(CS(=O)(=O)c2nc3ccccc3s2)cc1.O=C/C=C/c1ccccc1.C=[N+]=[N-]>>COC(=O)c1ccc(/C=C/C=C/c2ccccc2)cc1,"Molecular Diversity (2010), 14(4), 847-853","211919-65-2, 2314467-15-5",2314467-19-9,"6674-22-2, 76-05-1",,75-09-2,,,,,,"General/Typical Procedure: General procedure for the olefination of aldehydes with immobilized benzothiazol-2-yl sulfone (7) and immobilized 1-phenyl-1H-tetrazol-5-yl sulfone (13) Resin-bound sulfone 7/13 (0.13 mmol) was suspended in DCM (5 mL) and DBU (0.047 mL, 0.32 mmol, 2.5 equiv) was added at room temperature. After 15min, aldehyde 8 (0.33 mmol, 2.5 equiv) was added and the mixture was stirred for 24 h at the same temperature. Resin-bound alkene 9 was then treated with 5 mL of 10% TFA in DCM for 1 h. The mixture was filtered and the filtrate was evaporated under reduced pressure to give crude product. This crude material was dissolved in DCM and treated with diazomethane at 0 °C for 30 min. The solvent was evaporated under high vacuum and the residue was purified by flash column chromatography (hexane-AcOEt) to provide the desired alkene 10 (see Tables 1 and 2). Table 1 Solid-phase olefination of aldehydes with BT-sulfone 7 Entry 1 Product 10a (1E,3E) 4-(4-Phenyl-buta-1,3-dienyl)-benzoic acid methyl ester [10i (1E,3E)] (1Z,3E) 4-(4-Phenyl-buta-1,3-dienyl)-benzoic acid methyl ester [(10i 1Z,3E)] (inseperable from the 1E,3E isomer) Entry 9 Product 10i. Yield 70%. [10i (1E,3E)]: IR (film): νmax (cm−1) 3015, 2918, 1719 (CO), 1284, 1111, 986, 751. 1HNMR(CDCl3 300 MHz): δ 7.9 (d, J = 8.4Hz, 2H, ArH), 7.50-7.32 (m, 7H, ArH), 7.07 (dd, J = 14.9, 10.4Hz, 1H, Hvinyl), 6.96 (dd, J = 15.5, 10.4Hz 1H, Hvinyl), 6.74 (d, J = 15.5Hz, 1H, Hvinyl), 6.69 (d, J = 14.9Hz, 1H, Hvinyl), 3.91 (s, 3H OCH3). 13CNMR(CDCl3 75 MHz): δ 166.8, 141.8, 137.0, 134.5, 131.7, 131.5, 130.0, 128.76, 128.72, 127.9, 126.57, 126.15, 52.07. HRMS (ESI) m/z 287.1034 [(MNa+), calcd for C18H16NaO2: 287.1043]. [(10i 1Z,3E)] : 1HNMR (CDCl3 300 MHz): δ 8.04 (d J = 9Hz, 2H, ArH), 7.47-7.24 (m, 8H, ArH and Hvinyl), 6.75 (d, J = 15.5Hz, 1H, Hvinyl), 6.55-6.46 (m, 2H, Hvinyl), 3.94 (s, 3H OCH3). 13C NMR (CDCl3 75 MHz): δ 166.7, 142.23, 136.87, 13.4, 132.0, 131.6, 129.8, 128.8, 128.5, 128.3, 127.9, 127.8, 126.5, 126.4, 126, 124.5, 52.0.",4,1,,,,,,,,"solid-supported reaction, stereoselective, 70% overall yield, 1.3:1 (1E,3E):(1Z,3E), reactant on Wang resin, Julia-Kocienski coupling"
