reaction_smiles,detected_reaction_type,reaction_key
N#CCCCCl.CC(C)Nc1ccccc1>>CC(C)N(CCCCN)c1ccccc1,Alkyl_Nucleophilic_Substitution,|Ar-NHR|R2CH-NHR|RCH2-CN|RCH2-Cl -> Ar-NR2|R2CH-NR2|RCH2-NH2|RCH2-NR2 | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: C-Cl | events: LGDisp+C-N
CCNc1ccccc1.N#CCCCCl>>CCN(CCCCN)c1ccccc1,Alkyl_Nucleophilic_Substitution,|Ar-NHR|RCH2-CN|RCH2-Cl|RCH2-NHR -> Ar-NR2|RCH2-NH2|RCH2-NR2 | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: C-Cl | events: LGDisp+C-N
N#Cc1ccc(Br)cc1>>NCc1ccccc1,Reduction_nitrile_to_amine,|Ar-Br -> Bn-NH2 | bond_broken: Br-C(ar)
N#Cc1ccccc1C=O.NCc1cc(C(F)(F)F)cc(C(F)(F)F)c1>>O=C1NC(NCc2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2ccccc21,Reductive_amination,|Ar-CHO|Ar-CN|Bn-NH2 -> Bn-NHR|R2CH-NHR | spectators: Ar-CF3 | events: Ann+C-N
N#Cc1ccccc1.O=Cc1ccccc1.Oc1ccc2ccccc2c1>>O=C(NC(c1ccccc1)c1c(O)ccc2ccccc12)c1ccccc1,Multi-Event:C-N+C-C,|Ar-CHO|Ar-CN -> Ar-Alkyl|Ar-CONHR | bond_formed: C-N; C-C(ar) | bond_formed_labeled: C-N; C-C(ar)[Ar-Alkyl] | spectators: Ar-OH | events: C-N+C-C
CC(=O)c1ccccc1.N#Cc1ccccc1.O=Cc1ccccc1>>O=C(CC(NC(=O)c1ccccc1)c1ccccc1)c1ccccc1,Multi-Event:C-N+C-C,|Ar-CHO|Ar-CN|R_acidic-H -> Ar-CONHR | spectators: Ar-COR | events: C-N+C-C
CCCCN.N#Cc1ccccc1C=O>>CCCCNC1NC(=O)c2ccccc21,Reductive_amination,|Ar-CHO|Ar-CN|RCH2-NH2 -> R2CH-NHR|RCH2-NHR | bond_formed: C-N; C-N | bond_formed_labeled: C-N; C-N | events: Ann+C-N
NCc1ccc(Cl)cc1.N#Cc1ccccc1C=O>>O=C1NC(NCc2ccc(Cl)cc2)c2ccccc21,Reductive_amination,|Ar-CHO|Ar-CN|Bn-NH2 -> Bn-NHR|R2CH-NHR | bond_formed: C-N; C-N | bond_formed_labeled: C-N; C-N | spectators: Ar-Cl | events: Ann+C-N
CCC(C#N)=C1C2CC3CC(C2)CC1C3>>CCC(CN)C1C2CC3CC(C2)CC1C3,Reduction_nitrile_to_amine,|Alkenyl-CN -> RCH2-NH2
N#CC=Cc1ccccc1>>Cl.NCCCc1ccccc1,Reduction_nitrile_to_amine,|Alkenyl-CN|Ar-Alkenyl -> RCH2-NH2
CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.CCCC[C@H](C#N)/C=C/c1ccccc1>>CCCC[C@@H](CCc1ccccc1)CNC(=O)OC(C)(C)C,Event:C-N,|Ar-Alkenyl|Inorganic|R2CH-CN|R_acidic-H -> Ar-Alkyl
CC(=O)OC(C)=O.COc1ccc(CN2C(=O)[C@@]3(C[C@@H]3C#N)c3ccccc32)cc1>>COc1ccc(CN2C(=O)C(CCCNC(C)=O)c3ccccc32)cc1.COc1ccc(CN2C(=O)[C@@]3(C[C@@H]3CNC(C)=O)c3ccccc32)cc1,Claisen_condensation,|Alkyl-CO2R|R2CH-CN -> Alkyl-NHCOR | spectators: Ar-Alkyl|Ar-NRCOR|Ar-OR|Bn-LactamN|R_acidic-H | events: Ann+C-N+C-C
CC(=O)OC(C)=O.Cc1ccc2c(c1)[C@@]1(C[C@@H]1C#N)C(=O)N2C>>CC(=O)NCCCC1C(=O)N(C)c2ccc(C)cc21.CC(=O)NC[C@@H]1C[C@@]12C(=O)N(C)c1ccc(C)cc12,Claisen_condensation,|Alkyl-CO2R|R2CH-CN -> Alkyl-NHCOR | spectators: Alkyl-NRCOR|Ar-Alkyl|Ar-NRCOR|R_acidic-H | events: Ann+C-N+C-C
CC(=O)OC(C)=O.CN1C(=O)[C@]2(C[C@@H]2C#N)c2cc(F)ccc21>>CC(=O)NCCCC1C(=O)N(C)c2ccc(F)cc21.CC(=O)NC[C@@H]1C[C@@]12C(=O)N(C)c1ccc(F)cc12,Claisen_condensation,|Alkyl-CO2R|R2CH-CN -> Alkyl-NHCOR | spectators: Alkyl-NRCOR|Ar-Alkyl|Ar-F|Ar-NRCOR|R_acidic-H | events: Ann+C-N+C-C
CC(=O)OC(C)=O.N#C[C@H]1C[C@]12C(=O)N(Cc1ccccc1)c1ccc(F)cc12>>CC(=O)NCCCC1C(=O)N(Cc2ccccc2)c2ccc(F)cc21.CC(=O)NC[C@@H]1C[C@@]12C(=O)N(Cc1ccccc1)c1ccc(F)cc12,Claisen_condensation,|Alkyl-CO2R|R2CH-CN -> Alkyl-NHCOR | spectators: Ar-Alkyl|Ar-F|Ar-NRCOR|Bn-LactamN|R_acidic-H | events: Ann+C-N+C-C
CCCCC#N>>CCCCC1N[C@@H](CCCC)[C@H](CCCC)N1,Multi-Event:Ann+C-N,|RCH2-CN -> R2CH-NHR | bond_formed: C-N; C-N | bond_formed_labeled: C-N; C-N | events: Ann+C-N
COC1(C#N)CCCCCCC1>>COC1(CN)CCCCCCC1.O=C(O)C(=O)O,Reduction_nitrile_to_amine,|R3C-CN -> RCH2-NH2 | spectators: R3C-OR
