reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-008-CAS-1819465,Oxidation-BAIB,98,,,CC(C)(C)[Si](Cl)(c1ccccc1)c1ccccc1.CC(C)(/C=C/C=C/CO)CCCO>>CC(C)(/C=C/C=C/CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)CCC=O,"Synlett (2001), (1), 87-89",1146353-47-0,1146353-28-7,"2564-83-2, 3240-34-4",,,,,,,,,1,1,98,,,,,,,
31-049-CAS-17748769,Oxidation-BAIB,79,,,COc1ccccc1O[C@H](CO)C(O)c1cc(OC)c(OC)c(OC)c1>>COc1cc(C=O)cc(OC)c1OC.COc1ccccc1O.COc1ccccc1OCC=O,"ChemSusChem (2017), 10(13), 2707-2713",7572-98-7,"90-05-1, 120-14-9, 18167-91-4",,"2564-83-2, 3240-34-4, 609-36-9",75-05-8,,,,,,,2,1,79,46.0,18.0,,,,,"chemoselective, retro-aldol reaction in stage 2,alternative preparation shown"
31-117-CAS-3475452,Oxidation-BAIB,2,,,CC/C=C/CCO>>CCC/C=C/C=O.CC/C=C/CC=O,"European Journal of Organic Chemistry (2012), 2012(21), 3978-4017, S3978/1-S3978/9",473-98-3,"4439-98-9, 13159-28-9",3240-34-4,2564-83-2,"75-09-2, 109-66-0",,,,,,,1,1,2,98.0,,,,,,alternative preparation shown
31-312-CAS-3440465,Oxidation-BAIB,84,,,CC(O)CCCCCCCCCO>>CC(O)CCCCCCCCC#N.CC(=O)CCCCCCCCC#N,"Synlett (2014), 25(9), 1275-1278, 4 pp.",2639759-17-2,"2639759-18-3, 2639759-19-4","631-61-8, 3240-34-4",2564-83-2,"75-05-8, 7732-18-5",,,,,,,1,1,84,8.0,,,,,,
31-320-CAS-18290078,Oxidation-BAIB,93,,,C[Mg]Br.COc1ccc(C=O)cc1OC>>COc1ccc(C(C)=O)cc1OC,"RSC Advances (2014), 4(29), 15011-15013",141978-58-7,1076231-00-9,3240-34-4,,109-99-9,,,,,,,2,1,93,,,,,,,"green chemistry, optimization study, optimized on oxidant"
31-320-CAS-18295891,Oxidation-BAIB,73,,,C[Mg]Br.O=Cc1ccc2ccc3cccc4ccc1c2c34>>CC(=O)c1ccc2ccc3cccc4ccc1c2c34,"RSC Advances (2014), 4(29), 15011-15013",94853-54-0,74207-62-8,3240-34-4,,109-99-9,,,,,,,2,1,73,,,,,,,green chemistry
31-320-CAS-18296441,Oxidation-BAIB,92,,,C[Mg]Br.O=Cc1ccccc1>>CC(=O)c1ccccc1,"RSC Advances (2014), 4(29), 15011-15013",1863922-38-6,1863922-39-7,3240-34-4,,109-99-9,,,,,,,2,1,92,,,,,,,green chemistry
31-320-CAS-21115997,Oxidation-BAIB,82,,,COc1ccc(C=O)cc1OC.CCCC[Mg]Br>>CCCCC(=O)c1ccc(OC)c(OC)c1,"RSC Advances (2014), 4(29), 15011-15013",2409504-91-0,2133357-27-2,3240-34-4,,109-99-9,,,,,,,2,1,82,,,,,,,green chemistry
31-320-CAS-21116321,Oxidation-BAIB,86,,,COc1ccc(C=O)cc1OC.CC(C)[Mg]Br>>COc1ccc(C(=O)C(C)C)cc1OC,"RSC Advances (2014), 4(29), 15011-15013",7432-72-6,23598-28-9,3240-34-4,,109-99-9,,,,,,,2,1,86,,,,,,,green chemistry
31-353-CAS-12638314,Oxidation-BAIB,95,,,C[C@@H](CC[C@H](C)N1Cc2[nH]c3ccccc3c2C[C@H]1CO)N(Cc1ccccc1)C(=O)OC(C)(C)C>>C[C@@H](CC[C@H](C)N1Cc2[nH]c3ccccc3c2C[C@H]1C=O)NCc1ccccc1,"Journal of Organic Chemistry (2013), 78(23), 11656-11669",1456873-64-5,1456873-79-2,"2564-83-2, 3240-34-4",,7226-23-5,,,,,,"General/Typical Procedure: Step I. 2,2,6,6- Tetramethyl-1-piperidinyloxyl TEMPO (30 mg, 0.2 mmol, 0.2 equiv) and [bis(acetoxy)iodo]benzene BAIB (370 mg, 1.15 mmol, 1.15 equiv) were added to a stirred solution of specified alkanols (alkanol a-j, 1 mmol) in CH2Cl2 (4 mL), and the mixture was stirred at rt until complete conversion of alcohol (2-10 h) checked by TLC or GC/MS.",1,1,95,,,,,,,molecular sieves used
31-353-CAS-14779710,Oxidation-BAIB,95,,,C[C@@H](COCC[C@H](C)N1Cc2[nH]c3ccccc3c2C[C@H]1CO)N(Cc1ccccc1)C(=O)OC(C)(C)C>>C[C@@H](COCC[C@H](C)N1Cc2[nH]c3ccccc3c2C[C@H]1C=O)NCc1ccccc1,"Journal of Organic Chemistry (2013), 78(23), 11656-11669",19431-80-2,61824-43-9,"2564-83-2, 3240-34-4",,7226-23-5,,,,,,"General/Typical Procedure: Step I. 2,2,6,6- Tetramethyl-1-piperidinyloxyl TEMPO (30 mg, 0.2 mmol, 0.2 equiv) and [bis(acetoxy)iodo]benzene BAIB (370 mg, 1.15 mmol, 1.15 equiv) were added to a stirred solution of specified alkanols (alkanol a-j, 1 mmol) in CH2Cl2 (4 mL), and the mixture was stirred at rt until complete conversion of alcohol (2-10 h) checked by TLC or GC/MS.",1,1,95,,,,,,,molecular sieves used
31-353-CAS-15120191,Oxidation-BAIB,95,,,CC(C)(C)OC(=O)N(CCCN1Cc2[nH]c3ccccc3c2C[C@H]1CO)Cc1ccccc1>>O=C[C@@H]1Cc2c([nH]c3ccccc23)CN1CCCNCc1ccccc1,"Journal of Organic Chemistry (2013), 78(23), 11656-11669",2093267-83-3,2093928-51-7,"2564-83-2, 3240-34-4",,7226-23-5,,,,,,"General/Typical Procedure: Step I. 2,2,6,6- Tetramethyl-1-piperidinyloxyl TEMPO (30 mg, 0.2 mmol, 0.2 equiv) and [bis(acetoxy)iodo]benzene BAIB (370 mg, 1.15 mmol, 1.15 equiv) were added to a stirred solution of specified alkanols (alkanol a-j, 1 mmol) in CH2Cl2 (4 mL), and the mixture was stirred at rt until complete conversion of alcohol (2-10 h) checked by TLC or GC/MS.",1,1,95,,,,,,,molecular sieves used
31-353-CAS-15396749,Oxidation-BAIB,95,,,C[C@@H](O)[C@@H]1Cc2c([nH]c3ccccc23)CN1CCN(Cc1ccccc1)C(=O)OC(C)(C)C>>CC(=O)[C@@H]1Cc2c([nH]c3ccccc23)CN1CCNCc1ccccc1,"Journal of Organic Chemistry (2013), 78(23), 11656-11669",1456873-59-8,1456873-73-6,"2564-83-2, 3240-34-4",,7226-23-5,,,,,,"General/Typical Procedure: Step I. 2,2,6,6- Tetramethyl-1-piperidinyloxyl TEMPO (30 mg, 0.2 mmol, 0.2 equiv) and [bis(acetoxy)iodo]benzene BAIB (370 mg, 1.15 mmol, 1.15 equiv) were added to a stirred solution of specified alkanols (alkanol a-j, 1 mmol) in CH2Cl2 (4 mL), and the mixture was stirred at rt until complete conversion of alcohol (2-10 h) checked by TLC or GC/MS.",1,1,95,,,,,,,molecular sieves used
31-353-CAS-1702824,Oxidation-BAIB,95,,,CC(C)(C)OC(=O)N(CCCCN1Cc2[nH]c3ccccc3c2C[C@H]1CO)Cc1ccccc1>>O=C[C@@H]1Cc2c([nH]c3ccccc23)CN1CCCCNCc1ccccc1,"Journal of Organic Chemistry (2013), 78(23), 11656-11669",1456873-55-4,1456873-70-3,"2564-83-2, 3240-34-4",,7226-23-5,,,,,,"General/Typical Procedure: Step I. 2,2,6,6- Tetramethyl-1-piperidinyloxyl TEMPO (30 mg, 0.2 mmol, 0.2 equiv) and [bis(acetoxy)iodo]benzene BAIB (370 mg, 1.15 mmol, 1.15 equiv) were added to a stirred solution of specified alkanols (alkanol a-j, 1 mmol) in CH2Cl2 (4 mL), and the mixture was stirred at rt until complete conversion of alcohol (2-10 h) checked by TLC or GC/MS.",1,1,95,,,,,,,molecular sieves used
31-353-CAS-2005414,Oxidation-BAIB,95,,,CC(C)(C)OC(=O)N(CCCN1Cc2[nH]c3ccccc3c2C[C@H]1[C@H](O)c1ccccc1)Cc1ccccc1>>O=C(c1ccccc1)[C@@H]1Cc2c([nH]c3ccccc23)CN1CCCNCc1ccccc1,"Journal of Organic Chemistry (2013), 78(23), 11656-11669",1456874-63-7,1456874-85-3,"2564-83-2, 3240-34-4",,7226-23-5,,,,,,"General/Typical Procedure: Step I. 2,2,6,6- Tetramethyl-1-piperidinyloxyl TEMPO (30 mg, 0.2 mmol, 0.2 equiv) and [bis(acetoxy)iodo]benzene BAIB (370 mg, 1.15 mmol, 1.15 equiv) were added to a stirred solution of specified alkanols (alkanol a-j, 1 mmol) in CH2Cl2 (4 mL), and the mixture was stirred at rt until complete conversion of alcohol (2-10 h) checked by TLC or GC/MS.",1,1,95,,,,,,,molecular sieves used
31-353-CAS-3847382,Oxidation-BAIB,95,,,CC(C)(C)OC(=O)N(CCCCCN1Cc2[nH]c3ccccc3c2C[C@H]1CO)Cc1ccccc1>>O=C[C@@H]1Cc2c([nH]c3ccccc23)CN1CCCCCNCc1ccccc1,"Journal of Organic Chemistry (2013), 78(23), 11656-11669",1456873-62-3,1456873-77-0,"2564-83-2, 3240-34-4",,7226-23-5,,,,,,"General/Typical Procedure: Step I. 2,2,6,6- Tetramethyl-1-piperidinyloxyl TEMPO (30 mg, 0.2 mmol, 0.2 equiv) and [bis(acetoxy)iodo]benzene BAIB (370 mg, 1.15 mmol, 1.15 equiv) were added to a stirred solution of specified alkanols (alkanol a-j, 1 mmol) in CH2Cl2 (4 mL), and the mixture was stirred at rt until complete conversion of alcohol (2-10 h) checked by TLC or GC/MS.",1,1,95,,,,,,,molecular sieves used
