reaction_smiles,detected_reaction_type,reaction_key
O=Cc1cccnc1.CC1(C)O[C@H]2[C@@H](O1)[C@@H](N)C[C@H]1OC(C)(C)O[C@H]21>>O[C@@H]1[C@@H](O)[C@H](O)C[C@H](NCc2cccnc2)[C@@H]1O,Reductive_amination,|Ar-CHO|R2CH-NH2|R3C-OR -> Bn-NHR|R2CH-NHR | spectators: HeteroAr-H|Pyridine
O=Cc1ccc(O)c(C(=O)O)c1.CO.CNC.O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F>>COC(=O)c1cc(CN(C)C)ccc1OS(=O)(=O)C(F)(F)F,Alkyl_Nucleophilic_Substitution,|Alkyl-F|Ar-CHO|Ar-CO2H|Ar-OH|CH3-NHR|CH3-OH -> Bn-NR2|CH3-NR2 | events: Amid+C-N
NC1CCCCC1.CC(C)(C)OC(=O)N1CC(C=O)C1.Fc1ccccc1CCl>>Fc1ccccc1CN(CC1CNC1)C1CCCCC1,Reductive_amination,|Bn-Cl|R2CH-CHO|R2CH-NH2|R_acidic-H -> Bn-NR2|R2CH-NR2|RCH2-NHR|RCH2-NR2 | spectators: Ar-F | events: LGDisp+C-N
Nc1ccccc1.CC(C)(C)OC(=O)N1CC(C=O)C1.Fc1c(F)c(F)c(CBr)c(F)c1F.O=C(O)C(F)(F)F>>Fc1c(F)c(F)c(CN(CC2CNC2)c2ccccc2)c(F)c1F.O=C(O)C(F)(F)F,Alkyl_Nucleophilic_Substitution,|Ar-NH2|Bn-Br|R2CH-CHO|R_acidic-H -> Ar-NR2|Bn-NR2|RCH2-NHR|RCH2-NR2 | spectators: Alkyl-CO2H|Alkyl-F|Ar-F | events: LGDisp+C-N
OC1CC(OCc2ccccc2)CC1O.NCc1ccccc1.O=C(O)CC(=O)CC(=O)O>>O=C1C[C@@H]2C[C@@H](OCc3ccccc3)C[C@H](C1)N2Cc1ccccc1.O=C1C[C@@H]2C[C@H](OCc3ccccc3)C[C@H](C1)N2Cc1ccccc1,Oxidation_alcohol,|Bn-NH2|R2CH-OH|RCH2-CO2H -> RCH2-COR | spectators: Bn-OR|RCH2-COR|R_acidic-H | events: Amid+Ann+C-N+C-C
CCCC=O.c1ccc(COC[C@@H]2NC[C@H](OCc3ccccc3)[C@@H](OCc3ccccc3)[C@@H]2OCc2ccccc2)cc1>>CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@@H]1CO,Reductive_amination,|Bn-OR|R2CH-NHR|RCH2-CHO|RCH2-NHR -> R2CH-NR2|RCH2-NR2 | bond_formed: C-N | bond_formed_labeled: C-N | bond_broken: C-O
COc1cccc([C@@H](C)N)c1.O=Cc1ccc(OC(F)(F)F)c(-c2ccc(C(F)(F)F)cc2)c1>>C[C@@H](NCc1ccc(OC(F)(F)F)c(-c2ccc(C(F)(F)F)cc2)c1)c1ccccc1,Reductive_amination,|Ar-CHO|Ar-OR|R2CH-NH2 -> Bn-NHR|R2CH-NHR | spectators: Ar-Alkyl|Ar-Ar|Ar-CF3|Ar-OCF3
C1COCCN1.COc1c([N+](=O)[O-])cc(Cl)c2c1CCC(=O)CC2>>COc1c(N)ccc2c1CCC(N1CCOCC1)CC2,Reductive_amination / C_N_Coupling / Snar_cn / Reduction_nitro,|Ar-Cl|Ar-NO2|RCH2-COR|RCH2-NHR|R_acidic-H -> R2CH-NR2|RCH2-NR2 | spectators: Ar-Alkyl|Ar-OR|RCH2-OR | events: LGDisp+C-N | reaction_types: Reductive_amination+C_N_Coupling+Snar_cn+Reduction_nitro
C1COCCN1.O=Cc1cc(O)ccc1Br>>OB(O)c1ccc(O)cc1CN1CCOCC1,Reductive_amination / Miyaura_borylation,|Ar-Br|Ar-CHO|RCH2-NHR -> Bn-NR2|RCH2-NR2 | spectators: Ar-OH|RCH2-OR | events: LGDisp+C-N | reaction_types: Reductive_amination+Miyaura_borylation
COc1cccc(O)c1.NCCCNc1ccnc2cc(Br)ccc12.O=Cc1cccc2c1OCO2>>COc1cccc(Oc2ccc3c(NCCCNCc4cccc5c4OCO5)ccnc3c2)c1.Cl,Reductive_amination / C_O_Coupling,|Ar-CHO|Ar-OH|HeteroAr-Br|RCH2-NH2 -> Bn-NHR|RCH2-NHR | bond_formed: C(ar)-O; C-N | bond_formed_labeled: C(ar)-O; C-N | bond_broken: Br-C(ar); C-O | spectators: Ar-OR|HeteroAr-H|HeteroAr-NHR|Quinoline | events: LGDisp+C-N+C-O | reaction_types: Reductive_amination+C_O_Coupling
