reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-177-CAS-22712523,TEMPObleach (Oxidations). Primary alcohols → aldehydesacids,80,,,C=CCO.Fc1ccc(I)cc1>>O=CCCc1ccc(F)cc1,"Organic Chemistry Frontiers (2020), 7(19), 2965-2974","107-18-6, 352-34-1",63416-70-6,"56-37-1, 144-55-8",3375-31-3,68-12-2,,,,,,,1,1,80,,,,,,,Schlenk tube used
31-177-CAS-22712524,TEMPObleach (Oxidations). Primary alcohols → aldehydesacids,80,,,C=CCO.Clc1ccc(I)cc1>>O=CCCc1ccc(Cl)cc1,"Organic Chemistry Frontiers (2020), 7(19), 2965-2974","107-18-6, 637-87-6",75677-02-0,"56-37-1, 144-55-8",3375-31-3,68-12-2,,,,,,,1,1,80,,,,,,,"chemoselective, Schlenk tube used"
31-177-CAS-22712526,TEMPObleach (Oxidations). Primary alcohols → aldehydesacids,80,,,C=CCO.COC(=O)c1ccc(I)cc1>>COC(=O)c1ccc(CCC=O)cc1,"Organic Chemistry Frontiers (2020), 7(19), 2965-2974","107-18-6, 766-85-8",40138-66-7,"56-37-1, 144-55-8",3375-31-3,68-12-2,,,,,,,1,1,80,,,,,,,Schlenk tube used
31-177-CAS-22712527,TEMPObleach (Oxidations). Primary alcohols → aldehydesacids,80,,,C=CCO.Oc1ccc(I)cc1>>O=CCCc1ccc(O)cc1,"Organic Chemistry Frontiers (2020), 7(19), 2965-2974","107-18-6, 1262411-89-1",1262407-01-1,"56-37-1, 144-55-8",3375-31-3,68-12-2,,,,,,,1,1,80,,,,,,,Schlenk tube used
31-177-CAS-22712530,TEMPObleach (Oxidations). Primary alcohols → aldehydesacids,80,,,C=CCO.Cc1cc(F)cc(I)c1>>Cc1cc(F)cc(CCC=O)c1,"Organic Chemistry Frontiers (2020), 7(19), 2965-2974",3059860-22-6,3059860-96-4,"56-37-1, 144-55-8",3375-31-3,68-12-2,,,,,,,1,1,80,,,,,,,Schlenk tube used
31-177-CAS-22712531,TEMPObleach (Oxidations). Primary alcohols → aldehydesacids,80,,,C=CCO.Fc1ccc(I)cc1F>>O=CCCc1ccc(F)c(F)c1,"Organic Chemistry Frontiers (2020), 7(19), 2965-2974","107-18-6, 1121-86-4",245070-85-3,"56-37-1, 144-55-8",3375-31-3,68-12-2,,,,,,,1,1,80,,,,,,,Schlenk tube used
31-177-CAS-22712532,TEMPObleach (Oxidations). Primary alcohols → aldehydesacids,80,,,C=CCO.Fc1cc(I)ccc1Cl>>O=CCCc1ccc(Cl)c(F)c1,"Organic Chemistry Frontiers (2020), 7(19), 2965-2974",40982-30-7,24295-03-2,"56-37-1, 144-55-8",3375-31-3,68-12-2,,,,,,,1,1,80,,,,,,,Schlenk tube used
31-177-CAS-22712533,TEMPObleach (Oxidations). Primary alcohols → aldehydesacids,80,,,C=CCO.Cc1ccc(I)cc1C>>Cc1ccc(CCC=O)cc1C,"Organic Chemistry Frontiers (2020), 7(19), 2965-2974","107-18-6, 202982-67-0",1057671-10-9,"56-37-1, 144-55-8",3375-31-3,68-12-2,,,,,,,1,1,80,,,,,,,Schlenk tube used
31-177-CAS-22712534,TEMPObleach (Oxidations). Primary alcohols → aldehydesacids,80,,,C=CCO.Cc1ccc(I)cc1F>>Cc1ccc(CCC=O)cc1F,"Organic Chemistry Frontiers (2020), 7(19), 2965-2974",2584415-38-1,2584415-46-1,"56-37-1, 144-55-8",3375-31-3,68-12-2,,,,,,,1,1,80,,,,,,,Schlenk tube used
31-177-CAS-22712536,TEMPObleach (Oxidations). Primary alcohols → aldehydesacids,80,,,C=CCO.Ic1ccc2ccccc2c1>>O=CCCc1ccc2ccccc2c1,"Organic Chemistry Frontiers (2020), 7(19), 2965-2974",1737-27-5,711-38-6,"56-37-1, 144-55-8",3375-31-3,68-12-2,,,,,,,1,1,80,,,,,,,Schlenk tube used
