reaction_id,reaction_type,yield_pct,temperature_c,time_h,reaction_smiles,reference,reactant_cas,product_cas,reagent_cas,catalyst_cas,solvent_cas,reactant_amd,product_amd,reagent_amd,catalyst_amd,solvent_amd,experimental_procedure,stages,steps,product_yield_1,product_yield_2,product_yield_3,product_yield_4,product_yield_5,product_yield_6,product_yield_7,notes
31-043-CAS-21999893,Ugi 4-component reaction,82,,,O=C(O)c1ccccc1.O=C1CCC1.[C-]#[N+]Cc1ccccc1.COC(CN)OC>>[N-]=[N+]=NC1CN(C(=O)c2ccccc2)C2(CCC2)C(=O)N1Cc1ccccc1,"Journal of Organic Chemistry (2020), 85(11), 6910-6923","64-18-6, 104-88-1, 106-47-8, 10349-38-9",2797985-72-7,"7647-01-0, 144-55-8, 4648-54-8, 109-63-7",,"67-56-1, 109-99-9, 7732-18-5, 75-09-2",,,,,,,6,1,82,,,,,,,Ugi reaction in stage 1
31-085-CAS-21999905,Ugi 4-component reaction,76,,,O=C(O)c1ccccc1.CC(C)=O.[C-]#[N+]C1CCCCC1.COC(CN)OC.Cn1ccc2ccccc21>>Cn1cc(C2CN(C(=O)c3ccccc3)C(C)(C)C(=O)N2C2CCCCC2)c2ccccc21,"Journal of Organic Chemistry (2020), 85(11), 6910-6923","74-89-5, 1829-21-6, 26260-02-6, 7188-38-7",2715145-94-9,"7647-01-0, 144-55-8, 109-63-7",,"67-56-1, 109-99-9, 7732-18-5, 75-09-2",,,,,,,6,1,76,,,,,,,Ugi reaction in stage 1
31-309-CAS-21589404,Ugi 4-component reaction,82,,,O=CC(=O)c1ccccc1.C#CCCN.O=C(O)c1ccccc1[N+](=O)[O-].[C-]#[N+]C(C)(C)C>>C#CCCN(C(=O)c1ccccc1[N+](=O)[O-])/C(C(=O)NC(C)(C)C)=C(/O)c1ccccc1,"Journal of Organic Chemistry (2020), 85(4), 2291-2302","931-53-3, 29124-56-9, 1279718-16-9",3007602-01-6,,,67-56-1,,,,,,,2,1,82,,,,,,,Ugi reaction
31-309-CAS-22801040,Ugi 4-component reaction,72,,,O=CC(=O)c1ccccc1.CC(C)(N)C(C)(C)N.O=C(O)CCBr.[C-]#[N+]C1CCCCC1>>CC1(C)N=C(c2ccccc2)C2(C(=O)NC3CCCCC3)CCC(=O)N2C1(C)C,"Journal of Organic Chemistry (2020), 85(21), 14240-14245","27996-87-8, 68076-36-8, 71989-33-8, 7188-38-7",2768591-97-3,,,67-56-1,,,,,,,2,1,72,,,,,,,"chemoselective, Ugi reaction"
31-309-CAS-22801043,Ugi 4-component reaction,89,,,O=CC(=O)c1ccccc1.N[C@H]1CCCC[C@@H]1N.O=C(O)CCBr.[C-]#[N+]C1CCCCC1>>O=C1CC[C@]2(C(=O)NC3CCCCC3)C(c3ccccc3)=N[C@H]3CCCC[C@@H]3N12,"Journal of Organic Chemistry (2020), 85(21), 14240-14245","65-85-0, 91-00-9, 931-53-3, 15690-25-2",3093831-04-7,,,67-56-1,,,,,,,2,1,89,,,,,,,"chemoselective, stereoselective, d.r. > 95:5, Ugi reaction"
31-309-CAS-22801048,Ugi 4-component reaction,87,,,O=CC(=O)c1ccccc1.N[C@@H](c1ccccc1)[C@@H](N)c1ccccc1.O=C(O)CCBr.[C-]#[N+]CCCC>>CCCCNC(=O)[C@@]12CCC(=O)N1[C@@H](c1ccccc1)[C@H](c1ccccc1)N=C2c1ccccc1,"Journal of Organic Chemistry (2020), 85(21), 14240-14245","66-25-1, 100-01-6, 931-53-3",2382987-39-3,,,67-56-1,,,,,,,2,1,87,,,,,,,"chemoselective, stereoselective, d.r. > 95:5, Ugi reaction"
31-309-CAS-22801050,Ugi 4-component reaction,86,,,O=CC(=O)c1ccccc1.N[C@@H]1CCCC[C@@H]1N.O=C(O)CCBr.[C-]#[N+]C(C)(C)C>>CC(C)(C)NC(=O)[C@@]12CCC(=O)N1[C@H]1CCCC[C@H]1N=C2c1ccccc1,"Journal of Organic Chemistry (2020), 85(21), 14240-14245","15028-39-4, 590-92-1, 931-53-3, 1074-12-0",2795281-78-4,,,67-56-1,,,,,,,2,1,86,,,,,,,"chemoselective, stereoselective, d.r. > 95:5, Ugi reaction"
31-309-CAS-22801051,Ugi 4-component reaction,93,,,N[C@H](c1ccccc1)[C@@H](N)c1ccccc1.O=CC(=O)c1ccccc1.O=C(O)CCBr.[C-]#[N+]C1CCCCC1>>O=C1CC[C@]2(C(=O)NC3CCCCC3)C(c3ccccc3)=N[C@@H](c3ccccc3)[C@@H](c3ccccc3)N12,"Journal of Organic Chemistry (2020), 85(21), 14240-14245","98-09-9, 516-06-3, 104-84-7, 1122-91-4, 7188-38-7",2595234-75-4,,,67-56-1,,,,,,,2,1,93,,,,,,,"chemoselective, stereoselective, d.r. > 95:5, Ugi reaction"
31-309-CAS-23246712,Ugi 4-component reaction,72,,,O=C(O)c1ccccc1.NCc1ccccc1.[C-]#[N+]C(C)(C)C.N#Cc1ccc(C(=O)C=O)cc1>>CC(C)(C)NC(=O)C(=C(O)c1ccc(C#N)cc1)N(Cc1ccccc1)C(=O)c1ccccc1,"Beilstein Journal of Organic Chemistry (2020), 161963-1973","27996-87-8, 68076-36-8, 35661-40-6, 7188-38-7",2768590-84-5,,,67-56-1,,,,,,,1,1,72,,,,,,,Ugi reaction
31-353-CAS-22776740,Ugi 4-component reaction,92,,,Nc1ccccc1.CC(C)(C)OC(=O)n1cccc1C=O.C#CC(=O)O.[C-]#[N+]Cc1ccccc1>>O=C(NCc1ccccc1)C1c2cccn2C(=O)N1c1ccccc1.C#CC(=O)N(c1ccccc1)C(C(=O)NCc1ccccc1)c1ccc[nH]1,"Molecular Diversity (2020), 24(4), 1177-1184","590-92-1, 1121-60-4, 22483-09-6, 59795-89-0","2770268-37-4, 2770268-58-9",584-08-7,,"67-56-1, 75-05-8",,,,,,,3,1,92,21,,,,,,"microwave irradiation, optimization study, optimized on temperature, solvent, base and time, Ugi/cyclization reaction, thermal in stage 3"
