canonical_reaction_smiles,reaction_display_label_detailed,original_reaction_type,detected_reaction_family,detection_status,transformation_class,signature_id,evidence_quality,transformation_confidence,stereochemical_changes,reaction_completeness_status,product_heavy_atom_coverage,product_element_excess,partial_transformation_class,removed_fragment,installed_fragment,installed_fragment_key,fragment_source_status,fragment_source_candidates,missing_product_atom_elements,chemistry_status,condition_status,condition_stage_status,index_eligibility,admission_reasons,warnings,spectators,reactivity_profile
COC(C)(C)OC.O=C=O>>CC(C)=O.COC(=O)OC,,Acetal ketal formation,,unavailable,,,unresolved,0.0,,unresolved,,,,,,,,,,rejected,unresolved_retained,unassigned_multistage,ineligible,condition_identifier_uncertainty; multistage_conditions_not_structured; no_usable_transformation_evidence; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
O=Cc1ccccc1.c1ccc(C2CO2)cc1>>c1ccc(C2COC(c3ccccc3)O2)cc1,C=O + C–O → 3 × C–O; edits: C–O bond cleavage; C=O → C–O; C–O bond formation; C–O bond formation,Acetal ketal formation,,observed_edits,generic_graph_transformation,RS3:c87d77d3d9b40ddab5897c099e2be650f7760ddaf591e3b6c0332c4c7ec8b5d1,global_atom_correspondence,0.8,,verified,1.0,,,,,,,,,review,unresolved_retained,single_stage,eligible,condition_identifier_uncertainty; insufficient_edit_evidence,INFERRED_GLOBAL_ATOM_CORRESPONDENCE; PRODUCT_CONTRADICTED_GRAMMAR_CANDIDATES,,"P2 (R–CH=O): aldehyde, aryl conjugated; access moderate; carbonyl activation slightly poor"
CC(C)=O.CCCCOCC1CO1>>CCCCOCC1COC(C)(C)O1,C=O + C–O → 3 × C–O; edits: C–O bond cleavage; C=O → C–O; C–O bond formation; C–O bond formation,Acetal ketal formation,,observed_edits,generic_graph_transformation,RS3:0b57ccd056ea39f510a9e3747a6571a8f6fc540b78f163c94ec9c0712099b323,global_atom_correspondence,0.8,,verified,1.0,,,,,,,,,review,unresolved_retained,single_stage,eligible,condition_identifier_uncertainty; insufficient_edit_evidence,INFERRED_GLOBAL_ATOM_CORRESPONDENCE; PRODUCT_CONTRADICTED_GRAMMAR_CANDIDATES,,P1 (R₂C=O): ketone; access open; carbonyl activation slightly poor
C1CCC2OC2C1.CC(C)=O>>CC1(C)OC2CCCCC2O1,C=O + C–O → 3 × C–O; edits: C–O bond cleavage; C=O → C–O; C–O bond formation; C–O bond formation,Acetal ketal formation,,observed_edits,generic_graph_transformation,RS3:ff52c96ccbd4507142dea743eafddece99eaf318bb8d2ea95dfa906457252133,global_atom_correspondence,0.8,,verified,1.0,,,,,,,,,review,unresolved_retained,unassigned_multistage,review_only,condition_identifier_uncertainty; insufficient_edit_evidence; multistage_conditions_not_structured,INFERRED_GLOBAL_ATOM_CORRESPONDENCE; PRODUCT_CONTRADICTED_GRAMMAR_CANDIDATES,,P1 (R₂C=O): ketone; access open; carbonyl activation slightly poor
CC(C)=O.CC(C)OCC1CO1>>CC(C)OCC1COC(C)(C)O1,C=O + C–O → 3 × C–O; edits: C–O bond cleavage; C=O → C–O; C–O bond formation; C–O bond formation,Acetal ketal formation,,observed_edits,generic_graph_transformation,RS3:0b57ccd056ea39f510a9e3747a6571a8f6fc540b78f163c94ec9c0712099b323,global_atom_correspondence,0.8,,verified,1.0,,,,,,,,,review,unresolved_retained,single_stage,eligible,condition_identifier_uncertainty; insufficient_edit_evidence,INFERRED_GLOBAL_ATOM_CORRESPONDENCE; PRODUCT_CONTRADICTED_GRAMMAR_CANDIDATES,,P1 (R₂C=O): ketone; access open; carbonyl activation slightly poor
COc1ccccc1C=O.OCCO>>COC1(c2ccccc2)OCCO1,2 × C:C + C=O + C–C + C–H + 2 × O–H → 2 × C:C + C–C + C–H + 2 × C–O; edits: C:C bond cleavage; C=O bond cleavage; C:C → C–C; C–C → C:C; C:C bond formation; C–O bond formation; C–O bond formation; C–H loss; H gain at C; O–H loss; O–H loss,Acetal ketal formation,,observed_edits,generic_graph_transformation,RS3:3eda301991d1c326aa77414e192cfbf6bd0f9cd8533f0b329fcc9df0bbef33e2,global_atom_correspondence,0.8,,verified,1.0,,,,,,,,,review,resolved_complete,single_stage,eligible,insufficient_edit_evidence,INFERRED_GLOBAL_ATOM_CORRESPONDENCE; PRODUCT_CONTRADICTED_GRAMMAR_CANDIDATES,,"P1 (R–OH + R–OH): 1 coordinate O, localized, attached Alkyl: primary; access open; lone-pair availability medium; 1 coordinate O-H; lone pair localized/medium | P2 (Ar–H + R–CH=O): benzene (6-membered); ortho burden medium (1/2); electron demand slightly poor"
CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C.OCCO>>CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4CC5(CC[C@]4(C)[C@H]3CC[C@]12C)OCCO5,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,unresolved,,,,,,,,,,review,resolved_complete,single_stage,review_only,missing_verified_reaction_signature; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
CO.O=Cc1ccccc1F>>COC(OC)c1ccccc1Br,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.833333,"{""Br"":1,""C"":1}",,,,,,,,rejected,unresolved_retained,single_stage,ineligible,condition_identifier_uncertainty; insufficient_reactant_multiplicity; unaccounted_product_heavy_atoms,INSUFFICIENT_REACTANT_MULTIPLICITY; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
CC(C)(C)OO.CCCCO.O=Cc1cccc([N+](=O)[O-])c1>>CCCCOC(OOC(C)(C)C)c1cccc([N+](=O)[O-])c1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,unresolved,,,,,,,,,,review,resolved_complete,unassigned_multistage,review_only,missing_verified_reaction_signature; multistage_conditions_not_structured; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
CC(C)(C)OO.CCCCO.O=Cc1ccc([N+](=O)[O-])cc1>>CCCCOC(OOC(C)(C)C)c1ccc([N+](=O)[O-])cc1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,unresolved,,,,,,,,,,review,resolved_complete,unassigned_multistage,review_only,missing_verified_reaction_signature; multistage_conditions_not_structured; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
CC[Si](CC)(CC)OCCCC(=O)C1=CC(C)OC1=O.O=C1C=C(O)CC1>>C[C@H]1OC(=O)[C@H]2[C@@H]1C1=C(CCC1=O)O[C@@]21CCCO1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,unresolved,,,,,,,,,,review,unresolved_retained,unassigned_multistage,review_only,condition_identifier_uncertainty; missing_verified_reaction_signature; multistage_conditions_not_structured; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
CO.O=Cc1ccco1>>COC(OC)c1ccco1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,incomplete,0.9,"{""C"":1}",,,,,,,,rejected,unresolved_retained,single_stage,ineligible,condition_identifier_uncertainty; suspected_missing_reactant; unaccounted_product_heavy_atoms,MISSING_REACTANT_SUSPECTED; UNACCOUNTED_PRODUCT_HEAVY_ATOMS,,
O=Cc1ccc(O)cc1.OCC1(CO)CC2C=CC1C2>>Oc1ccc(C2OCC3(CO2)CC2C=CC3C2)cc1,,Acetal ketal formation,,product_contradicted_candidates,,,reactant_grammar_only,0.0,,unresolved,,,,,,,,,,review,resolved_complete,single_stage,review_only,missing_verified_reaction_signature; reaction_completeness_unresolved,REACTION_COMPLETENESS_UNRESOLVED,,
