"reaction_id","reaction_type","yield_pct","temperature_c","time_h","reaction_smiles","reference","reactant_cas","product_cas","reagent_cas","catalyst_cas","solvent_cas","reactant_amd","product_amd","reagent_amd","catalyst_amd","solvent_amd","experimental_procedure","stages","steps","product_yield_1","product_yield_2","product_yield_3","product_yield_4","product_yield_5","product_yield_6","product_yield_7","notes"
"31-043-CAS-22451763","Chan–Lam N‑arylation","20.0","","","Cc1ccc(B(O)O)cc1>>Cc1ccc(N)cc1.Cc1ccc(N)c(N=[N+]=[N-])c1","Advanced Synthesis & Catalysis (2020), 362(16), 3442-3446","","","75-98-9, 4648-54-8, 1336-21-6, 7647-14-5","16712-25-7","95-50-1, 141-78-6, 7732-18-5","","","","","","","2","1","20.0","3.0","","","","","","Schlenk tube used"
"31-146-CAS-10231181","Chan–Lam N‑arylation","78.0","","","COc1ccc(B(O)O)cc1O.COc1cc(-c2cccc(=O)[nH]2)cc(OC)c1OC>>COc1ccc(-n2c(-c3cc(OC)c(OC)c(OC)c3)cccc2=O)cc1O","European Journal of Medicinal Chemistry (2013), 64613-620","1765-93-1, 13623-52-4","2045402-54-6","110-86-1, 694-59-7","142-71-2","75-09-2","","","","","","","1","1","78.0","","","","","","","molecular sieves used, Chan-Lam coupling"
"31-146-CAS-10421775","Chan–Lam N‑arylation","86.0","","","Cc1cnc[nH]1.COc1ccc(B(O)O)cc1>>COc1ccc(-n2cnc(C)c2)cc1","Tetrahedron Letters (2014), 55(1), 31-35","288-32-4, 5720-06-9","10040-93-4","584-08-7","199852-14-7","67-63-0","","","","","","","1","1","86.0","","","","","","","catalyst prepared and used, aerobic, Chan-Lam cross-coupling"
"31-146-CAS-11179456","Chan–Lam N‑arylation","95.0","","","OB(O)c1ccccc1.Cc1ccc(N)cc1>>Cc1ccc(Nc2ccccc2)cc1","Tetrahedron Letters (2014), 55(1), 31-35","98-80-6, 106-49-0","620-84-8","584-08-7","199852-14-7","7732-18-5","","","","","","","1","1","95.0","","","","","","","green chemistry-solvent, catalyst prepared and used, aerobic, Chan-Lam cross-coupling, alternative preparation shown"
"31-146-CAS-11752114","Chan–Lam N‑arylation","38.0","","","OB(O)c1ccc(F)cc1.COc1cc(-c2cccc(=O)[nH]2)cc(OC)c1OC>>COc1cc(-c2cccc(=O)n2-c2ccc(F)cc2)cc(OC)c1OC","European Journal of Medicinal Chemistry (2013), 64613-620","1692-25-7, 902092-99-3","2244128-30-9","110-86-1, 694-59-7","142-71-2","75-09-2","","","","","","","1","1","38.0","","","","","","","molecular sieves used, Chan-Lam coupling"
"31-146-CAS-12368714","Chan–Lam N‑arylation","35.0","","","COc1ccc(B(O)O)cc1.COc1cc(-c2cccc(=O)[nH]2)cc(OC)c1OC>>COc1ccc(-n2c(-c3cc(OC)c(OC)c(OC)c3)cccc2=O)cc1","European Journal of Medicinal Chemistry (2013), 64613-620","288-32-4, 5570-19-4","23309-16-2","110-86-1, 694-59-7","142-71-2","75-09-2","","","","","","","1","1","35.0","","","","","","","molecular sieves used, Chan-Lam coupling"
"31-146-CAS-12974947","Chan–Lam N‑arylation","85.0","","","OB(O)c1ccccc1.Cc1cccc(N)c1>>Cc1cccc(Nc2ccccc2)c1","Tetrahedron Letters (2014), 55(1), 31-35","98-80-6, 108-44-1","1205-64-7","584-08-7","199852-14-7","7732-18-5","","","","","","","1","1","85.0","","","","","","","green chemistry-solvent, catalyst prepared and used, aerobic, Chan-Lam cross-coupling"
"31-146-CAS-13210039","Chan–Lam N‑arylation","76.0","","","Cc1ccc(N)cc1.OB(O)c1ccc(F)cc1>>Cc1ccc(Nc2ccc(F)cc2)cc1","Tetrahedron Letters (2014), 55(1), 31-35","51-17-2, 1679-18-1","297150-21-1","584-08-7","199852-14-7","7732-18-5","","","","","","","1","1","76.0","","","","","","","green chemistry-solvent, catalyst prepared and used, aerobic, Chan-Lam cross-coupling"
"31-146-CAS-13478470","Chan–Lam N‑arylation","88.0","","","c1c[nH]cn1.COc1ccc(B(O)O)cc1>>COc1ccc(-n2ccnc2)cc1","Tetrahedron Letters (2014), 55(1), 31-35","288-32-4, 5720-07-0","10040-95-6","584-08-7","199852-14-7","67-63-0","","","","","","","1","1","88.0","","","","","","","catalyst prepared and used, aerobic, Chan-Lam cross-coupling"
"31-146-CAS-13608182","Chan–Lam N‑arylation","26.0","","","Cc1ccc(=O)[nH]c1.N#Cc1ccc(B(O)O)cc1>>Cc1ccc(=O)n(-c2ccc(C#N)cc2)c1","Heterocyclic Communications (2012), 18(4), 193-197","54770-19-3, 122775-35-3","2025387-64-6","110-86-1","142-71-2","75-09-2","","","","","","","1","1","26.0","","","","","","","molecular sieves used, Chan-Lam-Evans reaction"
