"reaction_type","records","valid","invalid","exact_reconstruction","grammar_only","unresolved","labeled","named_family"
"Acetonide Deprotection","1","1","0","0","0","1","0","0"
"Acetonide Protection","1","1","0","0","0","1","0","0"
"Acyl chloride esterification","1","1","0","1","0","0","1","0"
"Aldol","5","5","0","0","0","5","0","0"
"Aldol addition","1","1","0","0","0","1","0","0"
"Aldol condensation","1","1","0","0","0","1","0","0"
"Allylic SN2","1","1","0","0","0","1","0","0"
"Allylic substitution","1","1","0","0","0","1","0","0"
"Amidation","2","2","0","2","0","0","2","0"
"Amide: 2-Methylbutyric acid + N-methylpiperazine","1","1","0","0","1","0","1","0"
"Amide: 2-Naphthoic acid + 4-aminopiperidine","1","1","0","1","0","0","1","0"
"Amide: 3-Chlorobenzoic acid + 4-picolylamine","1","1","0","1","0","0","1","0"
"Amide: 4-Bromobenzoic acid + morpholine","1","1","0","1","0","0","1","0"
"Amide: 4-Cyanobenzoic acid + butylamine","1","1","0","1","0","0","1","0"
"Amide: 4-Fluorobenzoic acid + phenethylamine","1","1","0","1","0","0","1","0"
"Amide: 4-Nitrobenzoic acid + tert-butylamine","1","1","0","1","0","0","1","0"
"Amide: Acetic acid + benzylamine","1","1","0","1","0","0","1","0"
"Amide: Acetic acid + pyrrolidine","1","1","0","1","0","0","1","0"
"Amide: Benzoic acid + aniline","1","1","0","1","0","0","1","0"
"Amide: Benzoic acid + N,N-dimethylaniline tertiary amide","1","1","0","0","0","1","0","0"
"Amide: Cyclohexanecarboxylic acid + tryptamine","1","1","0","1","0","0","1","0"
"Amide: DCC/NHS coupling","1","1","0","1","0","0","1","0"
"Amide: EDC/HOBt coupling","1","1","0","1","0","0","1","0"
"Amide: HATU/DIPEA coupling","1","1","0","0","1","0","1","0"
"Amide: Isonicotinic acid + aniline","1","1","0","1","0","0","1","0"
"Amide: Isovaleric acid + 4-chlorobenzylamine","1","1","0","1","0","0","1","0"
"Amide: Leucine + benzylamine","1","1","0","1","0","0","1","0"
"Amide: Octanoic acid + p-anisidine","1","1","0","1","0","0","1","0"
"Amide: p-Methoxybenzoic acid + cyclopropylamine","1","1","0","1","0","0","1","0"
"Amide: Phenylacetic acid + cyclohexylamine","1","1","0","0","1","0","1","0"
