schema_version,reaction_id,source_row_number,admission_tier,admission_reasons,reaction_smiles,evidence_quality,named_family,reaction_label,yield_pct,temperature_c,time_h,condition_recipe_id,conditions_complete,catalyst_cas,reagent_cas,solvent_cas,electrophile_label,electrophile_context,electrophile_handle,electrophile_steric_class,electrophile_electronic_class,electrophile_flags,transfer_label,transfer_context,transfer_handle,transfer_steric_class,transfer_electronic_class,transfer_flags,spectator_group_ids,family_environment_json,spectator_groups_json,reference,notes
1.0,31-085-CAS-18934341,5,rejected,unresolved_transformation,C=CC(=O)OC(C)(C)C.CCOC(=O)CCCBr.OB(O)c1ccc(Br)c2ccccc12>>CCOC(=O)CCCc1cc(Br)c2ccccc2c1/C=C/C(=O)OC(C)(C)C,unresolved,,,71.0,,,COND1:catalyst=3375-31-3+95-11-4|reagent=584-08-7+7782-44-7|solvent=127-19-5,True,3375-31-3|95-11-4,584-08-7|7782-44-7,127-19-5,,,,,,,,,,,,,,,[],"Angewandte Chemie, International Edition (2018), 57(24), 7161-7165","chemoselective, green chemistry-reagent, stereoselective, Borono-Catellani reaction,Schlenk tube used"
1.0,31-142-CAS-13764478,11,rejected,unresolved_transformation,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.O=C1Nc2cc(Br)ccc2C12CCCC2>>CC1(C)OB(c2ccc3c(c2)NC(=O)C32CCCC2)OC1(C)C,unresolved,,,50.0,,,COND1:catalyst=95464-05-4|reagent=127-08-2|solvent=68-12-2,True,95464-05-4,127-08-2,68-12-2,,,,,,,,,,,,,,,[],"Bioorganic & Medicinal Chemistry Letters (2011), 21(14), 4130-4133",microwave irradiation
1.0,31-142-CAS-5904867,12,rejected,unresolved_transformation,COc1ncc(Br)cn1.CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C>>COc1ncc(B2OC(C)(C)C(C)(C)O2)cn1,unresolved,,,98.0,,,COND1:catalyst=215788-72-0|reagent=127-08-2|solvent=108-88-3+110-71-4+64-17-5+7732-18-5,True,215788-72-0,127-08-2,108-88-3|110-71-4|64-17-5|7732-18-5,,,,,,,,,,,,,,,[],"Bioorganic & Medicinal Chemistry Letters (2011), 21(19), 5849-5853",
1.0,31-177-CAS-7116665,21,rejected,invalid_reaction_smiles,[F-][B+3]([F-])([F-])[C-]1=CCOCC1.[K+].BrC1=Cc2ccccc2NB1c1ccccc1>>C1=C(C2=Cc3ccccc3NB2c2ccccc2)CCOC1,unresolved,,,86.0,,,COND1:catalyst=72287-26-4|reagent=534-17-8|solvent=108-88-3+7732-18-5,True,72287-26-4,534-17-8,108-88-3|7732-18-5,,,,,,,,,,,,,,,[],"Journal of Organic Chemistry (2014), 79(22), 11199-11204","sealed vial used, Suzuki-Miyaura cross-coupling reaction"
1.0,31-179-CAS-17757616,71,rejected,unresolved_transformation,Cc1cccc(B(O)O)c1.FC(I)Cc1ccccc1>>Cc1cccc(C(F)Cc2ccccc2)c1,unresolved,,,86.0,,,COND1:catalyst=366-18-7+603-35-0+60871-84-3|reagent=584-08-7|solvent=123-91-1,True,366-18-7|603-35-0|60871-84-3,584-08-7,123-91-1,,,,,,,,,,,,,,,[],"Organic Letters (2017), 19(17), 4480-4483",reaction in a sealed tube
1.0,31-179-CAS-17931395,76,rejected,unresolved_transformation,FC(F)Cl.OB(O)c1ccc(COc2cccc3ccccc23)cc1>>FC(F)c1ccc(COc2cccc3ccccc23)cc1,unresolved,,,84.0,,,COND1:catalyst=161265-03-8+51364-51-3|reagent=123-31-9+584-08-7|solvent=123-91-1,True,161265-03-8|51364-51-3,123-31-9|584-08-7,123-91-1,,,,,,,,,,,,,,,[],"Nature Chemistry (2017), 9(9), 918-923","Suzuki coupling, sealed tube used"
1.0,31-179-CAS-17931398,77,rejected,unresolved_transformation,FC(F)Cl.C[Si](C)(C)c1ccc(B(O)O)cc1>>C[Si](C)(C)c1ccc(C(F)F)cc1,unresolved,,,82.0,,,COND1:catalyst=161265-03-8+51364-51-3|reagent=123-31-9+584-08-7|solvent=123-91-1,True,161265-03-8|51364-51-3,123-31-9|584-08-7,123-91-1,,,,,,,,,,,,,,,[],"Nature Chemistry (2017), 9(9), 918-923","Suzuki coupling, sealed tube used"
1.0,31-179-CAS-17931441,78,rejected,unresolved_transformation,COc1cc(N(C)S(=O)(=O)c2ccc(B3OCC(C)(C)CO3)cc2)nc(OC)n1.FC(F)Cl>>COc1cc(N(C)S(=O)(=O)c2ccc(C(F)F)cc2)nc(OC)n1,unresolved,,,72.0,,,COND1:catalyst=161265-03-8+51364-51-3|reagent=123-31-9+1310-58-3+584-08-7|solvent=123-91-1+67-56-1,True,161265-03-8|51364-51-3,123-31-9|1310-58-3|584-08-7,123-91-1|67-56-1,,,,,,,,,,,,,,,[],"Nature Chemistry (2017), 9(9), 918-923","sealed tube used, Suzuki coupling (stage 2)"
1.0,31-179-CAS-19607104,110,rejected,unresolved_transformation,O=Cc1ccccc1B(O)O.BrCC=Cc1ccccc1-c1ccccc1>>O=Cc1ccccc1C/C=C/c1ccccc1-c1ccccc1,unresolved,,,79.0,,,COND1:catalyst=32005-36-0|reagent=584-08-7|solvent=108-88-3,True,32005-36-0,584-08-7,108-88-3,,,,,,,,,,,,,,,[],"Chemical Communications (Cambridge, United Kingdom) (2018), 54(92), 12982-12985",reaction in a Schlenk flask
1.0,31-179-CAS-21097682,132,rejected,unresolved_transformation,COc1ccc(B2OB(c3ccc(OC)cc3)OB(c3ccc(OC)cc3)O2)cc1.FC(F)(F)c1ccc(I)cc1>>COc1ccc(-c2ccc(C(F)(F)F)cc2)cc1,unresolved,,,96.0,,,COND1:catalyst=unknown|reagent=12125-02-9+7646-85-7+865-47-4|solvent=7732-18-5+872-50-4,False,,12125-02-9|7646-85-7|865-47-4,7732-18-5|872-50-4,,,,,,,,,,,,,,,[],"Angewandte Chemie, International Edition (2018), 57(24), 7186-7190",alternative preparation shown
